"alg-geom/9504002","Serge Lvovsky","S. L'vovsky","On number of hypersurfaces containing projective curves","14 pages, no figures, AMSTeX v 2.1 with amsppt",,,,"alg-geom math.AG",,"  Generalizing a classical lemma of Castelnuovo, we characterize rational
normal curves (resp. linearly normal elliptic curves) as curves $C\subset
\PP^n$ such that the number of linearly independent hypersurfaces $Z\supset C$
of given degree~$m$ is maximal (resp. next to maximal).
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 17:25:19 GMT""}]","2008-02-03"
"gr-qc/9504005","Danny Birmingham","Danny Birmingham","Cobordism Effects in the Regge Calculus Approach to Quantum Cosmology","25 pages, latex, five figures (appended as uuencoded postscript file)","Phys.Rev. D52 (1995) 5760-5772","10.1103/PhysRevD.52.5760","ITFA-95-02","gr-qc",,"  We study the ground state wave function for a universe which is topologically
a lens space within the Regge calculus approach. By restricting the four
dimensional simplicial complex to be a cone over the boundary lens space,
described by a single internal edge length, and a single boundary edge length,
one can analyze in detail the analytic properties of the action in the space of
complex edge lengths. The classical extrema and convergent steepest descent
contours of integration yielding the wave function are found. Both the
Hartle-Hawking and Linde-Vilenkin type proposals are examined and, in all
cases, we find wave functions which predict Lorentzian oscillatory behaviour in
the late universe. A factorization property of topology changing amplitudes
within a restricted edge length class of cone type complexes is established.
The behaviour of the results under subdivision of the boundary universe is also
presented.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 20:03:12 GMT""}]","2009-10-28"
"gr-qc/9504006","Guillermo Mena","Guillermo A. Mena Marugan","CANONICAL QUANTIZATION OF CYLINDRICALLY SYMMETRIC MODELS","18 pages, latex, no figures","Phys.Rev.D53:3156-3161,1996","10.1103/PhysRevD.53.3156",,"gr-qc",,"  We carry out the canonical quantization of the Levi-Civit\`a family of static
and cylindrical solutions. The reduced phase space of this family of metrics is
proved to coincide with that corresponding to the Kasner model, including the
associated symplectic structures, except for that the respective domains of
definition of one of the phase space variables are not identical. Using this
result, we are able to construct a quantum model that describes spacetimes of
both the Levi-Civit\`a and the Kasner type, and in which the three-dimensional
spatial topology is not uniquely fixed. Finally, we quantize to completion the
subfamily of Levi-Civit\`a solutions which represent the exterior gravitational
field of a straight cosmic string. These solutions are conical geometries,ie,
Minkowski spacetime minus a wedge. The quantum theory obtained provides us with
predictions about the angular size of this wedge.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 14:00:19 GMT""}]","2010-11-01"
"hep-ex/9504001","Daniel R. Marlow","C. Lu, D. Marlow, C. Mindas, E. Prebys (Princeton University)","First Results from the BELLE DIRC Prototype","17 pages, LaTeX, eps figures",,,"Princeton HEP 95-2, BELLE Note #62","hep-ex",,"  The DIRC (Detection of Internally Reflected Cerenkov light) is a new type of
ring imaging Cerenkov detector, which detects images from Cerenkov light
produced in precisely machined quartz bars. The Cerenkov images are transported
along several meters of bar to the edge of the detector where they are
proximity focussed unto an array of conventional photomultiplier tubes. Results
from a prototype device comprising a 2 x 4 x 240 cm**3 quartz bar read by an
array of 480 PMT's are presented. Sample images, which are the first observed
in this type of detector, are shown. Measurements of the light yield
(approximately 20 photoelectrons per image) and the angular resolution are in
good agreement with Monte Carlo predictions.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 01:48:45 GMT""}]","2007-05-23"
"hep-lat/9504001","Mikko Laine","M. Laine","Exact relation of lattice and continuum parameters in three-dimensional
  SU(2)+Higgs theories","21 pages of Latex, whole ps-file including one figure added as
  uuencoded compressed postscript","Nucl.Phys. B451 (1995) 484-504","10.1016/0550-3213(95)00356-W","HU-TFT-95-23","hep-lat",,"  The essential features of the high-temperature electroweak phase transition
are contained in a three-dimensional super-renormalizable effective field
theory. We calculate the exact counterterms needed for lattice simulations of
the SU(2)-part of this theory. Scalar fields in both fundamental and adjoint
representations are included. The three-dimensional U(1)+Higgs theory is also
discussed.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 07:37:43 GMT""}]","2009-10-28"
"hep-lat/9504002","Satchitananda naik","Satchidananda Naik","Dimensional Reduction and Non-perturbative generation of magnetic mass
  in non-abelian gauge theory at finite temperature","9 pages, latex file, no figure","Nucl.Phys. B465 (1996) 117-126","10.1016/0550-3213(96)00060-0","MRI-PHY-95-2","hep-lat",,"  A non-perturbative mass of $0.2719 g^2 T$ is generated for the magnetic
sector of the $SU(2)$ gauge theory at high temperature due to the condensation
of Polyakov \cite{Pol} monopole and antimonopole which form a magnetic glue
ball. String tension for the spatial wilson loop is calculated which is of the
same order of magnitude and has same temperature dependence as obtained from
lattice simulation.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 04:18:31 GMT""}]","2009-10-28"
"hep-ph/9504217","Matthias Neubert","G. Martinelli, M. Neubert and C.T. Sachrajda","The Invisible Renormalon","20 pages LaTeX, 1 figure available as separate eps file","Nucl.Phys.B461:238-258,1996","10.1016/0550-3213(95)00613-3","CERN-TH.7540/94","hep-ph hep-lat hep-th",,"  We study the structure of renormalons in the Heavy Quark Effective Theory, by
expanding the heavy quark propagator in powers of $1/m_Q$. We demonstrate that
the way in which renormalons appear depends on the regularisation scheme used
to define the effective theory. In order to investigate the relation between
ultraviolet renormalons and power divergences of matrix elements of
higher-dimensional operators in the heavy quark expansion, we perform
calculations in dimensional regularisation and in three different cut-off
regularisation schemes. In the case of the kinetic energy operator, we find
that the leading ultraviolet renormalon which corresponds to a quadratic
divergence, is absent in all but one (the lattice) regularisation scheme. The
nature of this ``invisible renormalon'' remains unclear.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 17:41:40 GMT""}]","2016-09-01"
"hep-ph/9504219","Bryan Webber","Yu.L. Dokshitzer and B.R. Webber","Calculation of Power Corrections to Hadronic Event Shapes","8 pages (LaTeX) + 1 uuencoded postscript figure (after text)","Phys.Lett. B352 (1995) 451-455","10.1016/0370-2693(95)00548-Y","Cavendish-HEP-95/2, LU TP 95-8","hep-ph",,"  We compute power corrections to hadronic event shapes in $e^+e^-$
annihilation, assuming an infrared regular behaviour of the effective coupling
$\alpha_s$. With the integral of $\alpha_s$ over the infrared region as the
only non-perturbative parameter, also measured in heavy quark physics, we can
account for the empirical features of $1/Q$ corrections to the mean values of
various event shapes.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 17:40:37 GMT""}]","2009-10-28"
"hep-ph/9504220","John Collins","Xavier Artru and John Collins","Measuring transverse spin correlations by 4-particle correlations in
  $e^+ e^-\to 2 \ {\rm jets}$","19 pages in RevTeX 3.0 and epsf, with 3 figure files (tarred,
  compressed uuencoded encapsulated postcript). Postscript version of paper
  available at ftp://ftp.phys.psu.edu/pub/preprint/psuth158/psuth158.ps Revised
  version has extra references, and correction of misprint in Eq. (7)","Z.Phys.C69:277-286,1996","10.1007/s002880050028","PSU/TH/158","hep-ph",,"  The azimuthal distribution of pairs of particles in a jet is sensitive to the
transverse polarization of the quark initiating the jet, but with a sensitivity
that involves a nonperturbative analyzing power. We show in detail how to
measure the analyzing power from 4-hadron correlations in $e^+ e^- \to 2 \ {\rm
jets}$. We explain the combinations of particle flavor that are likely to give
the biggest effect.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 22:07:37 GMT""},{""version"":""v2"",""created"":""Tue, 18 Apr 1995 19:42:12 GMT""}]","2008-11-26"
"hep-ph/9504221","Sinisa Veseli","M. G. Olsson, S. Veseli, and K. Williams","On the validity of the reduced Salpeter equation","Latex (uses epsf macro), 24 pages of text, 12 postscript figures
  included. Slightly revised version, to appear in Phys. Rev. D","Phys.Rev. D53 (1996) 504-513","10.1103/PhysRevD.53.504","MADPH-95-883","hep-ph",,"  We adapt a general method to solve both the full and reduced Salpeter
equations and systematically explore the conditions under which these two
equations give equivalent results in meson dynamics. The effects of constituent
mass, angular momentum state, type of interaction, and the nature of
confinement are all considered in an effort to clearly delineate the range of
validity of the reduced Salpeter approximations. We find that for
$J\not{\hspace*{-1.0mm}=}0$ the solutions are strikingly similar for all
constituent masses. For zero angular momentum states the full and reduced
Salpeter equations give different results for small quark mass especially with
a large additive constant coordinate space potential. We also show that
$\frac{1}{m}$ corrections to heavy-light energy levels can be accurately
computed with the reduced equation.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 22:23:26 GMT""},{""version"":""v2"",""created"":""Fri, 6 Oct 1995 14:34:07 GMT""}]","2009-10-28"
"hep-ph/9504222","Hisakazu Minakata","Hisakazu Minakata","Neutrino Flavor Mixing Constrained by Accelerator and Reactor
  Experiments and Solar Neutrino Observation","13 pages, REVTeX, no figures, slightly revised with no change in
  conclusion","Phys.Lett.B356:61-67,1995","10.1016/0370-2693(95)00788-M","TMUP-HEL-9503","hep-ph",,"  We derive the constraints imposed on neutrino masses and mixing angles by
performing a combined analysis of the data from the Los Alamos and the other
terrestrial neutrino oscillation experiments with the assumption of the
flavor-mixing solutions to the solar neutrino problem. In a three-flavor mixing
scheme which ignores the possibility of sterile neutrinos, we obtain severe
constraints on the pattern of masses and flavor mixing of neutrinos. For
example, we show that in the standard Kobayashi-Maskawa type mixing matrix
$s_{13}^2 \lsim 10^{-2}$ independent of the choice of the solar neutrino
solutions. The constraint from the double $\beta$ decay is also discussed.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 05:13:14 GMT""},{""version"":""v2"",""created"":""Mon, 26 Jun 1995 06:11:59 GMT""}]","2010-11-01"
"hep-ph/9504223","Dirk Graudenz","DIRK GRAUDENZ (CERN)","THE PHYSICS OF THE STANDARD MODEL HIGGS BOSON AT THE LHC","6 pages (LaTeX); figures are included via epsfig; the corresponding
  postscript files are uuencoded",,,"CERN-TH/95-77","hep-ph",,"  Some topics related to Standard Model Higgs boson physics at the Large Hadron
Collider are reviewed. Emphasis is put on an overview of QCD corrections to
Higgs boson decay and production processes. (Invited talk presented at the
XXXth Rencontres de Moriond, Les Arcs 1800, March 19-26, 1995; to appear in the
proceedings of the conference.)
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 07:38:43 GMT""}]","2007-05-23"
"hep-ph/9504224",,"V. Berezinsky, A. Dolgov and M. Kachelriess","Curvature Radiation by Ultrarelativistic Protons","5 pages, revtex, to appear in Physics Letters B","Phys.Lett.B351:261-265,1995","10.1016/0370-2693(95)99097-L",,"hep-ph astro-ph",,"  We study pion curvature radiation by a proton, i.e. pion emission by a proton
moving along a curved trajectory. We suggest an approximate semiclassical
solution and the exact solution for which we assume that a proton moves in a
fictitious magnetic field with the Larmor radius equal to the curvature radius
of the real trajectory. As possible application we consider the pion radiation
by ultrahigh energy protons moving along curved magnetic field lines. Such
situation can occur in the magnetosphere of a young pulsar, in the
magnetosphere of the accretion disk around a black hole, and in the vicinity of
a superconducting cosmic string. The decay products of these pions, such as
high energy photons or neutrinos, can give the observable consequences of the
considered mechanism.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 08:42:29 GMT""}]","2010-11-01"
"hep-ph/9504225","Claus Slotta","C.Slotta, J.Sollfrank and U.Heinz","Rapidity Dependence of Strange Particle Ratios in Nuclear Collisions","uses REVTeX, 14 pages, 17 ps-figures (uuencoded) added with figures
  command",,"10.1063/1.48712","TPR-95-04","hep-ph",,"  It was recently found that in sulphur-induced nuclear collisions at 200 A GeV
the observed strange hadron abundances can be explained within a thermodynamic
model where baryons and mesons separately are in a state of relative chemical
equilibrium, with overall strangeness being slightly undersaturated, but
distributed among the strange hadron channels according to relative chemical
equilibrium with a vanishing strange quark chemical potential. We develop a
consistent thermodynamic formulation of the concept of relative chemical
equilibrium and show how to introduce into the partition function deviations
from absolute chemical equilibrium, e.~g.~an undersaturation of overall
strangeness or the breaking of chemical equilibrium between mesons and baryons.
We then proceed to test on the available data the hypothesis that the strange
quark chemical potential vanishes everywhere, and that the rapidity
distributions of all the observed hadrons can be explained in terms of one
common, rapidity-dependent function $\mu_{\rm q}(\eta)$ for the baryon chemical
potential only. The aim of this study is to shed light on the observed strong
rapidity dependence of the strange baryon ratios in the NA36 experiment.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 09:57:42 GMT""}]","2009-10-28"
"hep-ph/9504226","Isamu Watanabe","Isamu Watanabe","""Intermediate Mass Higgs Study at $\gamma \gamma$ Colliders""","compressed and uuencoded PostScript file, 15 pages",,,"OCHA-PP-58","hep-ph",,"  We present the efficient technique to extract the signal of the intermediate
mass Higgs boson from the backgrounds at future $\gamma \gamma$ colliders. For
a clear Higgs detection, it is important to fit the original electron
accelerator energy depending on the Higgs mass, to set the polarization of the
photon beams and to apply the efficient $b$ quark tagging method. We
demonstrate the extraction of information of Higgs parameters and the new
physics from the observable physical quantities. It is clearly shown that a
future $\gamma \gamma$ collider will have a rich potential for study on the new
physics, as well as the Higgs physics.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 10:35:52 GMT""}]","2007-05-23"
"hep-ph/9504227",,"P.Zenczykowski","Are ""Penguins"" Black-and-White?","23 pages, LaTeX","Phys.Rev. D54 (1996) 907-913","10.1103/PhysRevD.54.907","INP Cracow PH/1665 (1995)","hep-ph",,"  Contributions of low energy ""eye"" and ""figure-eight"" quark diagrams to the $K
\rightarrow \pi$ weak transitions are studied in a hadron- level
phenomenological approach. It is shown that these contributions may be
estimated by considering meson-cloud effects. If all intermediate mesons under
consideration are degenerate only the ""eye"" (low-energy penguin) diagram is
nonvanishing. When allowance is made for smaller mass of pseudoscalar mesons,
the contribution of ""figure-eight"" diagrams turns out to enhance the $\Delta I
= \frac{1}{2}$ (suppress the $\Delta I = \frac{3}{2}$) amplitudes naturally.
The overall long-distance-induced enhancement of the ratio of the $\Delta I =
\frac{1}{2}$ amplitudes over the $\Delta I = \frac{3}{2}$ amplitudes is
estimated at around 4-8.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 12:57:00 GMT""}]","2009-10-28"
"hep-ph/9504229",,"N. Brambilla, E. Montaldi and G. M. Prosperi (University of Milan)","Bethe--Salpeter equation in QCD","23 pages, revtex","Phys.Rev.D54:3506-3525,1996","10.1103/PhysRevD.54.3506","IFUM 499/FT","hep-ph hep-th",,"  We extend to regular QCD the derivation of a confining $ q \bar{q}$
Bethe--Salpeter equation previously given for the simplest model of scalar QCD
in which quarks are treated as spinless particles. We start from the same
assumptions on the Wilson loop integral already adopted in the derivation of a
semirelativistic heavy quark potential. We show that, by standard
approximations, an effective meson squared mass operator can be obtained from
our BS kernel and that, from this, by ${1\over m^2}$ expansion the
corresponding Wilson loop potential can be reobtained, spin--dependent and
velocity--dependent terms included. We also show that, on the contrary,
neglecting spin--dependent terms, relativistic flux tube model is reproduced.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 11:53:50 GMT""}]","2014-11-17"
"hep-ph/9504230",,"K.Golec-Biernat and J.Kwiecinski","QCD Analysis of Deep Inelastic Diffractive Scattering at HERA","8 pages,LaTeX,5 uuencoded postscript figures (after text)","Phys.Lett.B353:329-334,1995","10.1016/0370-2693(95)00589-D","INP Cracow Report No.1670/PH","hep-ph",,"  The QCD analysis of deep inelastic diffractive scattering is performed
assuming the dominance of the ""soft"" pomeron exchange and simple, physically
motivated parametrization of parton distributions in a pomeron. Results of the
analysis are compared with the recent data obtained by the H1 collaboration at
HERA. Both the LO and NLO approximations are considered and the theoretical
predictions concerning the quantity $R=F_L^D/F_T^D$ for diffractive structure
functions are presented.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 14:50:00 GMT""}]","2008-11-26"
"hep-ph/9504231","Lellouch","K. C. Bowler, et al. ( UKQCD Collaboration )","Lattice Study of Semi-Leptonic $B$ Decays: I. $\bar B\to D\ell\bar\nu$
  Decays","53 pages, latex file, requires revtex version 3.0; 11 postscript
  figures","Phys.Rev.D52:5067-5094,1995","10.1103/PhysRevD.52.5067","Edinburgh Preprint 93/525, Luminy Preprint CPT-95/P.3179,
  Southampton Preprint SHEP 95-06","hep-ph hep-lat",,"  We present a study of semi-leptonic $\bar B\tp D\ell\bar\nu$ decays in
quenched lattice QCD through a calculation of the matrix element $\la D|\bar
c\gamma_\mu b|\bar B\ra$ on a $24^3\times 48$ lattice at $\beta=6.2$, using an
$\ord{a}$-improved fermion action. We perform the calculation for several
values of the initial and final heavy-quark masses around the charm mass, and
three values of the light-(anti)quark mass around the strange mass. We extract
the form factors $h^+$ and $h^-$. After radiative corrections, we find that
$h^+$ displays no dependence on the heavy-quark mass, enabling us to identify
it with an Isgur-Wise function. Thus, we obtain Isgur-Wise functions relevant
for $\bar B_s\to D_s^{(*)}\ell\bar\nu $ and $\bar B\to D^{(*)}\ell\bar\nu $
decays. We then use these functions, in conjunction with heavy-quark effective
theory, to extract $V_{cb}$ with no free parameters from the $\bar B\to
D^*\ell\bar\nu $ decay rate measured by the ALEPH, ARGUS and CLEO
collaborations. We also use our Isgur-Wise functions and heavy-quark effective
theory to calculate branching ratios for $\bar B_s\to D_s^{(*)}\ell\bar\nu $
and $\bar B\to D^{(*)}\ell\bar\nu $ decays.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 13:46:12 GMT""}]","2009-10-09"
"hep-ph/9504232","Mark Gibbs","M.J. Gibbs and B.R. Webber","HERBVI - a program for simulation of baryon- and lepton- number
  violating processes","19 pages, standard LaTeX, no figures","Comput.Phys.Commun. 90 (1995) 369-380","10.1016/0010-4655(95)00073-O","Cavendish-HEP-94/16, Liverpool-HEP-95/201","hep-ph",,"  We describe a Monte Carlo event generator for the simulation of baryon- and
lepton-number violating processes at supercolliders. The package, {\HERBVI}, is
designed as a hard-process generator interfacing to the general hadronic event
simulation program {\HW}. In view of the very high multiplicity of gauge bosons
expected in such processes, particular attention is paid to the efficient
generation of multiparticle phase space. The program also takes account of the
expected colour structure of baryon-number violating vertices, which has
important implications for the hadronization of the final state.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 13:32:42 GMT""}]","2009-10-28"
"hep-ph/9504236","Grzegorz Wilk","Q.J.Liu, W.Q.Chao and G.Wilk","Energy and Atomic Mass Dependence of Nuclear Stopping Power in
  Relativistic Heavy-Ion Collisions in Interacting Gluon Model","10 pages in compressed uuencoded file","Mod.Phys.Lett. A10 (1995) 1905-1914","10.1142/S0217732395002052",,"hep-ph",,"  We present a Monte-Carlo simulation of energy deposition process in
relativistic heavy-ion collisions based on a new realization of the
Interacting-Gluon-Model (IGM) for high energy $N-N$ collisions. In particular
we show results for proton spectra from collisions of $E_{lab}=200 \ GeV/N$
$^{32}$S beam incident on $^{32}$S target and analyze the energy and mass
dependence of nuclear stopping power predicted by our model. Theoretical
predictions for proton rapidity distributions of both $^{208}$Pb + $^{208}$Pb
collisions at $E_{lab}=160 \ GeV/N$ CERN SPS and $^{197}$Au + $^{197}$Au at
$\sqrt{s_{NN}}=200 \ GeV$ BNL RHIC are given.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 10:34:15 GMT""}]","2015-06-25"
"hep-th/9504012","Alan Steif","Alan R. Steif","Supergeometry of Three Dimensional Black Holes","12 pages, harvmac, discussion of rotating black hole added, some
  minor corrections, reference added","Phys.Rev. D53 (1996) 5521-5526","10.1103/PhysRevD.53.5521","UCD-PHY-95-11","hep-th gr-qc",,"  We show how the supersymmetric properties of three dimensional black holes
can be obtained algebraically. The black hole solutions are constructed as
quotients of the supergroup $OSp(1|\,2;R)$ by a discrete subgroup of its
isometry supergroup. The generators of the action of the isometry supergroup
which commute with these identifications are found. These yield the
supersymmetries for the black hole as found in recent studies as well as the
usual geometric isometries. It is also shown that in the limit of vanishing
cosmological constant, the black hole vacuum becomes a null orbifold, a
solution previously discussed in the context of string theory.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 17:50:49 GMT""},{""version"":""v2"",""created"":""Fri, 2 Feb 1996 02:47:26 GMT""}]","2009-10-28"
"hep-th/9504013","Gabriele Ferretti","Gabriele Ferretti","On the Large N Limit of 3D and 4D Hermitian Matrix Models","Number 0.519689 in eqs (36) and (37) should be replaced by 0.303152.
  The critical exponents were computed with the correct number entry and are
  therefore UNCHANGED","Nucl.Phys. B450 (1995) 713-729","10.1016/0550-3213(95)00382-3","ITP 95-99","hep-th cond-mat",,"  The large N limit of the hermitian matrix model in three and four Euclidean
space-time dimensions is studied with the help of the approximate
Renormalization Group recursion formula. The planar graphs contributing to wave
function, mass and coupling constant renormalization are identified and summed
in this approximation. In four dimensions the model fails to have an
interacting continuum limit, but in three dimensions there is a non trivial
fixed point for the approximate RG relations. The critical exponents of the
three dimensional model at this fixed point are $\nu = 0.665069$ and
$\eta=0.19882$. The existence (or non existence) of the fixed point and the
critical exponents display a fairly high degree of universality since they do
not seem to depend on the specific (non universal) assumptions made in the
approximation.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 18:22:44 GMT""},{""version"":""v2"",""created"":""Tue, 11 Apr 1995 13:50:08 GMT""}]","2009-10-28"
"hep-th/9504014","Emili Elizalde","E. Elizalde, C.O. Lousto, S.D. Odintsov and A. Romeo","GUTs in Curved Spacetime: Running Gravitational Constants, Newtonian
  Potential and the Quantum Corrected Gravitational Equations","LaTeX, 27 pages, 2 uu-figures","Phys.Rev.D52:2202-2213,1995","10.1103/PhysRevD.52.2202","UB-ECM-PF 95/7","hep-th",,"  The running coupling constants (in particular, the gravitational one) are
studied in asymptotically free GUTs and in finite GUTs in curved spacetime,
with explicit examples. The running gravitational coupling is used to calculate
the leading quantum GUT corrections to the Newtonian potential, which turn out
to be of logarithmic form in asymptotically free GUTs. A comparison with the
effective theory for the conformal factor ---where leading quantum corrections
to the Newtonian potential are again logarithmic--- is made. A totally
asymptotically free $O(N)$ GUT with quantum higher derivative gravity is then
constructed, using the technique of introducing renormalization group (RG)
potentials in the space of couplings. RG equations for the cosmological and
gravitational couplings in this theory are derived, and solved numerically,
showing the influence of higher-derivative quantum gravity on the Newtonian
potential. The RG-improved effective gravitational Lagrangian for
asymptotically free massive GUTs is calculated in the strong (almost constant)
curvature regime, and the non-singular De Sitter solution to the quantum
corrected gravitational equations is subsequently discussed. Finally, possible
extensions of the results here obtained are briefly outlined.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 12:53:42 GMT""}]","2009-09-17"
"hep-th/9504015",,"Laurent Baulieu","On The Symmetries Of Topological Quantum Field Theories","23 pages, Latex, no figures, corrected due to the fact that some line
  lengths were exceeding 80 characters","Int.J.Mod.Phys. A10 (1995) 4483-4500",,"PAR--LPTHE 95--04","hep-th",,"  We display properties of the general formalism which associates to any given
gauge symmetry a topological action and a system of topological BRST and
anti-BRST equations. We emphasize the distinction between the antighosts of the
geometrical BRST equations and the antighosts occuring in field theory. We
propose a transmutation mechanism between these objects. We illustrate our
general presentation by examples.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 13:40:27 GMT""},{""version"":""v2"",""created"":""Thu, 6 Apr 1995 13:33:41 GMT""}]","2008-02-03"
"hep-th/9504017","Teruhiko Kawano","Teruhiko Kawano","Weyl Anomalies of Strings in Temporal Gauge","20 pages, RevTeX","Prog.Theor.Phys. 93 (1995) 455-470","10.1143/PTP.93.455","KUNS-1316","hep-th",,"  We consider two-dimensional quantum gravity coupled to matter in the temporal
gauge, using the Polyakov path integral. We show that the integration over the
metric can be explicitly performed under some plausible assumptions. We also
discuss that the critical dimensions in string theory may not be determined in
the temporal gauge.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 15:30:05 GMT""}]","2016-09-06"
"hep-th/9504018",,"J.D. Kim","Boundary Reflection Matrix in Perturbative Quantum Field Theory","15 pages, a change in Acknowledgement","Phys.Lett. B353 (1995) 213-221","10.1016/0370-2693(95)00586-A","DTP/95-11","hep-th",,"  We study boundary reflection matrix for the quantum field theory defined on a
half line using Feynman's perturbation theory. The boundary reflection matrix
can be extracted directly from the two-point correlation function. This enables
us to determine the boundary reflection matrix for affine Toda field theory
with the Neumann boundary condition modulo `a mysterious factor half'.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 15:30:48 GMT""},{""version"":""v2"",""created"":""Thu, 6 Apr 1995 10:06:26 GMT""}]","2009-10-28"
"q-alg/9504002","Donin Joseph","J. Donin, L. Makar-Limanov","Quantization of quadratic Poisson brackets on a polynomial algebra of
  three variables","13 pages, Latex",,,,"q-alg math.QA",,"  Poisson brackets (P.b) are the natural initial terms for the deformation
quantization of commutative algebras. There is an open problem whether any
Poisson bracket on the polynomial algebra of $n$ variables can be quantized. It
is known (Poincare-Birkhoff-Witt theorem) that any linear P.b. for all $n$ can
be quantized. On the other hand, it is easy to show that in case $n=2$ any P.b.
is quantizable as well. Quadratic P.b. appear as the unitial terms for the
quantization of polynomial algebras as quadratic algebras. The problem of the
quantization of quadratic P.b. is also open. In the paper we show that in case
$n=3$ any quadratic P.b can be quantized. Moreover, the quantization is given
as the quotient algebra of tensor algebra of three variables by relations which
are similar to those in the Poincare-Birkhoff-Witt theorem. The proof uses a
classification of all quadratic Poisson brackets of three variables, which we
also give in the paper. In Appendix we give explicit algebraic constructions of
the quantized algebras appeared here to show that they are related to algebras
of global dimension three considered by M.Artin, W.Schelter, J.Tate, and M.Van
Den Bergh from a different point of view.
","[{""version"":""v1"",""created"":""Wed, 5 Apr 1995 09:39:24 GMT""}]","2008-02-03"
"quant-ph/9504003","Luanne Neumann","Henry P. Stapp","Quantum Mechanical Coherence, Resonance, and Mind","36 pages, no figures, latexed, uses math_macros.tex (can get
  math_macros.tex from e-print archive), full postscript available from
  http://theor1.lbl.gov/www/theorgroup/papers/36915.ps",,,"LBL-36815","quant-ph",,"  Norbert Wiener and J.B.S. Haldane suggested during the early thirties that
the profound changes in our conception of matter entailed by quantum theory
opens the way for our thoughts, and other experiential or mind-like qualities,
to play a role in nature that is causally interactive and effective, rather
than purely epiphenomenal, as required by classical mechanics. The mathematical
basis of this suggestion is described here, and it is then shown how, by giving
mind this efficacious role in natural process, the classical character of our
perceptions of the quantum universe can be seen to be a consequence of
evolutionary pressures for the survival of the species.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 16:09:44 GMT""}]","2007-05-23"
"quant-ph/9504004","Hoi-Kwong Lo","Hoi-Kwong Lo","Quantum Coding Theorem for Mixed States","Overlap with some unpublished work noted. Limitation clarified. 11
  pages, REVTEX, amsfonts",,"10.1016/0030-4018(95)00406-X","IASSNS-HEP-95/23","quant-ph hep-th",,"  We prove a theorem for coding mixed-state quantum signals. For a class of
coding schemes, the von Neumann entropy $S$ of the density operator describing
an ensemble of mixed quantum signal states is shown to be equal to the number
of spin-$1/2$ systems necessary to represent the signal faithfully. This
generalizes previous works on coding pure quantum signal states and is
analogous to the Shannon's noiseless coding theorem of classical information
theory. We also discuss an example of a more general class of coding schemes
which {\em beat} the limit set by our theorem.
","[{""version"":""v1"",""created"":""Tue, 4 Apr 1995 20:40:25 GMT""},{""version"":""v2"",""created"":""Wed, 19 Apr 1995 00:55:13 GMT""}]","2015-06-26"
