"astro-ph/9504060","Ted Pyne","Ted Pyne and Mark Birkinshaw","Beyond the Thin Lens Approximation","37 pages plus 3 appended figures, plain TeX. Submitted to ApJ","Astrophys.J. 458 (1996) 46","10.1086/176791",,"astro-ph gr-qc",,"  We obtain analytic formulae for the null geodesics of
Friedmann-Lema\^{\i}tre-Robertson-Walker spacetimes with scalar perturbations
in the longitudinal gauge. From these we provide a rigorous derivation of the
cosmological lens equation, and obtain an expression for the magnification of a
bundle of light rays without restriction to static or thin lens scenarios. We
show how the usual magnification matrix naturally emerges in the appropriate
limits.
","[{""version"":""v1"",""created"":""Wed, 19 Apr 1995 18:50:25 GMT""}]","2009-10-28"
"hep-ph/9504348","""V. A."" Khoze","VALERY A. KHOZE","ON MEASURING THE $\gamma \gamma$ WIDTH OF THE INTERMEDIATE- MASS HIGGS
  AT A PHOTON LINEAR COLLIDER","7 pages, LATEX file, hard copies of 2 figs. availabl upon request",,,"Talk at the Photon'95, Sheffield, April 8-15, 1995","hep-ph",,"  The identification of the intermediate-mass Higgs process $\gamma \gamma
\rightarrow H \rightarrow b\overline{b}$ will be one of the most important
goals of a future photon linear collider. Backgrounds from the continuum
$\gamma \gamma \rightarrow c\overline{c}, b\overline{b}$ leading-order
processes can be suppressed by using polarized photon beams in the $J_z = 0$
initial-state. The radiative processes $\gamma \gamma \rightarrow c\overline{c}
g, b\overline{b} g$ can mimic the two-jet topology of the Higgs signal and
provide the dominant background in the $J_z = 0$ channel. Particularly
problematic is the $\gamma \gamma \rightarrow c\overline{c} g \rightarrow 2$
jets process. The effects of imposing additional cuts are investigated and it
is shown that the radiative background could be reduced to a manageable level.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 14:13:36 GMT""}]","2009-09-25"
"hep-th/9504097","Jan De Boer","Jan de Boer, Bas Peeters, Kostas Skenderis and Peter van Nieuwenhuizen","Loop calculations in quantum-mechanical non-linear sigma models","17 pages, LaTeX, and one figure","Nucl.Phys. B446 (1995) 211-222","10.1016/0550-3213(95)00241-J","ITP-SB-95-12","hep-th",,"  By carefully analyzing the relations between operator methods and the
discretized and continuum path integral formulations of quantum-mechanical
systems, we have found the correct Feynman rules for one-dimensional path
integrals in curved spacetime. Although the prescription how to deal with the
products of distributions that appear in the computation of Feynman diagrams in
configuration space is surprising, this prescription follows unambiguously from
the discretized path integral. We check our results by an explicit two-loop
calculation.
","[{""version"":""v1"",""created"":""Wed, 19 Apr 1995 17:30:23 GMT""}]","2009-10-28"
"hep-th/9504098","Hector DE Vega","H.J. de Vega and N. S\'anchez","STRING THEORY IN COSMOLOGICAL SPACETIMES","A few minor corrections. Lectures delivered at the Erice School
  `Current Topics in Astrofundamental Physics', 4-16 September 1994, 42 pages,
  LaTex. Figures available from the authors",,,"LPTHE-Paris-95-14 DEMIRM-Paris-95009","hep-th",,"  Progress on string theory in curved spacetimes since 1992 are reviewed. After
a short introduction on strings in Minkowski and curved spacetimes, we focus on
strings in cosmological spacetimes. The classical behaviour of strings in FRW
and inflationary spacetimes is now understood in a large extent from various
types of explicit string solutions. Three different types of behaviour appear
in cosmological spacetimes: {\bf unstable, dual} to unstable and {\bf stable}.
For the unstable strings, the energy and size grow for large scale factors $R
\to \infty$, proportional to $R$. For the dual to unstable strings, the energy
and size blow up for $R\to 0$ as $1/R$. For stable strings, the energy and
proper size are bounded. (In Minkowski spacetime, all string solutions are of
the stable type).Recent progress on self-consistent solutions to the Einstein
equations for string dominated universes is reviewed. The energy-momentum
tensor for a gas of strings is then considered as source of the spacetime
geometry and from the above string behaviours the string equation of state is
determined. The self-consistent string solution exhibits the realistic matter
dominated behaviour $R \sim (X^0)^{2/3}\; $ for large times and the radiation
dominated behaviour $R \sim (X^0)^{1/2}\;$ for early times. Finally, we report
on the exact integrability of the string equations plus the constraints in de
Sitter spacetime that allows to systematically find {\bf exact} string
solutions by soliton methods and the multistring solutions. {\bf Multistring
solutions} are a new feature in curved spacetimes. That is, a single
world-sheet simultaneously describes many different and independent strings.
This phenomenon has no analogue in flat spacetime and follows to the coupling
of the strings with the geometry.
","[{""version"":""v1"",""created"":""Wed, 19 Apr 1995 17:29:42 GMT""},{""version"":""v2"",""created"":""Thu, 25 May 1995 12:39:00 GMT""}]","2009-09-25"
"hep-th/9504099","Nobuyoshi Ohta","Nobuyoshi Ohta and Takashi Shimizu","UNIVERSAL STRING AND SMALL $N=4$ SUPERSTRING","10 pages, latex","Phys.Lett.B355:127-134,1995","10.1016/0370-2693(95)00738-7","OU-HET 210","hep-th",,"  It was previously shown that most of the superstrings can be obtained from
those with higher world-sheet supersymmetry as spontaneously broken phases. In
this paper, we show that the small $N=4$ superstring, which was left out of
this hierarchy of the universal string, can be obtained from the large $N=4$
strings. We also show that the $N=2$ string is a special vacuum of small $N=4$
string. Thus all the known superstring theories can be derived from a universal
string by spontaneous breakdown of supersymmetry.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 04:32:20 GMT""}]","2010-11-01"
"hep-th/9504100","NaN","R. J. Cova (Universidad del Zulia, University of Durham), W. J.
  Zakrzewski (University of Durham)","Static skyrmions in (2+1)-dimensions","10 pages, 4 figures, latex","Proc. Quantum Systems, Minsk, World Sci (1994), 84-88",,"CPT-41318","hep-th",,"  In the spirit of previous papers, but using more general field
configurations, the non-linear O(3) model in (2+1)-D, modified by the addition
of both a potential-like term and a Skyrme-like term, is considered. The
instanton solutions are numerically evolved in time and some of their stability
properties studied. They are found to be stable, and a repulsive force is seen
to exist among them. These results, which are restricted to the case of zero
speed systems, confirm those obtained in previous investigations, in which a
similar problem was studied for a different choice of the potential-like term.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 10:39:46 GMT""},{""version"":""v2"",""created"":""Sun, 23 Apr 1995 17:36:14 GMT""}]","2009-08-28"
"hep-th/9504101","Colatto Luiz Paulo","L. P. Colatto and J. L. Matheus-Valle","On q-Deformed Supersymmetric Classical Mechanical Models","No figures, 14 pages, Latex, revised version","J.Math.Phys. 37 (1996) 6121-6129","10.1063/1.531767","ICTP preprint IC/95/96","hep-th",,"  Based on the idea of quantum groups and paragrassmann variables, we presenta
generalization of supersymmetric classical mechanics with a deformation
parameter $q= \exp{\frac{2 \pi i}{k}}$ dealing with the $k =3$ case. The
coordinates of the $q$-superspace are a commuting parameter $t$ and a
paragrassmann variable $\theta$, where $% \theta^3 = 0$. The generator and
covariant derivative are obtained, as well as the action for some possible
superfields.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 11:49:19 GMT""},{""version"":""v2"",""created"":""Mon, 23 Oct 1995 14:23:18 GMT""},{""version"":""v3"",""created"":""Tue, 24 Oct 1995 14:25:22 GMT""}]","2009-10-28"
"hep-th/9504102","Ulf Danielsson","Ulf H. Danielsson and Bo Sundborg","The Moduli Space and Monodromies of N=2 Supersymmetric \(SO(2r+1) \)
  Yang-Mills Theory","Latex, 12 pages, three tarred, compressed and uuencoded figures","Phys.Lett. B358 (1995) 273-280","10.1016/0370-2693(95)01010-N","USITP-95-06, UUITP-4/95","hep-th",,"  We write down the weak-coupling limit of N=2 supersymmetric Yang-Mills theory
with arbitrary gauge group \( G \). We find the weak-coupling monodromies
represented in terms of \( Sp(2r,\bzeta ) \) matrices depending on paths closed
up to Weyl transformations in the Cartan space of complex dimension r, the rank
of the group. There is a one to one relation between Weyl orbits of these paths
and elements of a generalized braid group defined from \( G \). We check that
these weak-coupling monodromies behave correctly in limits of the moduli space
corresponding to restrictions to subgroups. In the case of $SO(2r+1)$ we write
down the complex curve representing the solution of the theory. We show that
the curve has the correct monodromies.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 13:12:57 GMT""}]","2009-10-28"
"hep-th/9504103","Dana Fine","Dana Stanley Fine","Topological Sectors and Measures on Moduli Space in Quantum Yang-Mills
  on a Riemann Surface","13 pages, Latex (v. 2.09), figure available on request, revised to
  add 2 new references, clarify exposition, fix typos. Version to appear in J.
  Math. Phys., Spring 1996","J.Math.Phys. 37 (1996) 1161-1170","10.1063/1.531453",,"hep-th",,"  Previous path integral treatments of Yang-Mills on a Riemann surface
automatically sum over principal fiber bundles of all possible topological
types in computing quantum expectations. This paper extends the path integral
formulation to treat separately each topological sector. The formulation is
sufficiently explicit to calculate Wilson line expectations exactly. Further,
it suggests two new measures on the moduli space of flat connections, one of
which proves to agree with the small-volume limit of the Yang-Mills measure.
\copyright {\em 1996 American Institute of Physics.}
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 14:15:23 GMT""},{""version"":""v2"",""created"":""Mon, 29 Jan 1996 18:31:35 GMT""}]","2009-10-28"
"hep-th/9504104","Ali Yegulalp","Ali Yegulalp (Princeton University)","New Boundary Conformal Field Theories Indexed by the Simply-Laced Lie
  Algebras","24 pages in plain tex, requires harvmac.tex","Nucl.Phys. B450 (1995) 641-662","10.1016/0550-3213(95)00330-U","PUPT-1538","hep-th",,"  We consider the field theory of $N$ massless bosons which are free except for
an interaction localized on the boundary of their 1+1 dimensional world. The
boundary action is the sum of two pieces: a periodic potential and a coupling
to a uniform abelian gauge field. Such models arise in open string theory and
dissipative quantum mechanics, and possibly in edge state tunneling in the
fractional quantized Hall effect. We explicitly show that conformal invariance
is unbroken for certain special choices of the gauge field and the periodic
potential. These special cases are naturally indexed by semi-simple, simply
laced Lie algebras. For each such algebra, we have a discrete series of
conformally invariant theories where the potential and gauge field are
conveniently given in terms of the weight lattice of the algebra. We compute
the exact boundary state for these theories, which explicitly shows the group
structure. The partition function and correlation functions are easily computed
using the boundary state result.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 15:58:53 GMT""}]","2009-10-28"
"hep-th/9504106","Ling-Lie Chau","Ling-Lie Chau and Itaru Yamanaka (UC Davis)","Conserved Monodromy RTT=TTR Algebra in the Quantum Self-Dual Yang-Mills
  System","11 pages, uses phyzzx",,,,"hep-th",,"  We find a conserved monodromy matrix differential operator T in the quantum
Self-Dual Yang-Mills (SDYM) system and show that it satisfies the exchange
algebra RTT=TTR. From its two infinitesimal forms, we obtain the infinite
conserved quantum nonlocal-charge algebras and the infinite conserved Yangian
algebras. It is remarkable that such conserved algebras exist in a
four-dimensional nontrivial quantum field theory with interactions.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 15:11:01 GMT""}]","2007-05-23"
"nucl-th/9504018","Dirk Rischke","Dirk H. Rischke, Stefan Bernard, Joachim A. Maruhn","Relativistic Hydrodynamics for Heavy--Ion Collisions -- I. General
  Aspects and Expansion into Vacuum","31 pages, 16 uuencoded figures","Nucl.Phys. A595 (1995) 346-382","10.1016/0375-9474(95)00355-1","CU-TP-692","nucl-th hep-ph",,"  We present algorithms to solve relativistic hydrodynamics in 3+1--dimensional
situations without apparent symmetry to simplify the solution. In simulations
of heavy--ion collisions, these numerical schemes have to deal with the
physical vacuum and with equations of state with a first order phase transition
between hadron matter and a quark--gluon plasma. We investigate their
performance for the one--dimensional expansion of baryon-free nuclear matter
into the vacuum, which is an analytically solvable test problem that
incorporates both the aspect of the vacuum as well as that of a phase
transition in the equation of state. The dependence of the lifetime of the
mixed phase on the initial energy density is discussed.
","[{""version"":""v1"",""created"":""Wed, 19 Apr 1995 19:02:22 GMT""}]","2009-10-28"
"nucl-th/9504019","David J. Dean","K. Langanke, D.J. Dean, P.B. Radha, Y. Alhassid, and S.E. Koonin","Shell-model Monte Carlo studies of fp-shell nuclei","20 pages, 7 figures, Caltech Preprint-",,"10.1103/PhysRevC.52.718",,"nucl-th",,"  We study the gross properties of even-even and $N=Z$ nuclei with $A=48-64$
using shell-model Monte Carlo methods. Our calculations account for all $0
\hbar \omega$ configurations in the $fp$-shell and employ the modified
Kuo-Brown interaction KB3. We find good agreement with data for masses and
total $B(E2)$ strengths, the latter employing effective charges $e_p=1.35e$ and
$e_n=0.35e$. The calculated total Gamow-Teller strengths agree consistently
with the $B(GT_+)$-values deduced from $(n,p)$ data if the shell model results
are renormalized by $0.64$, as has already been established for $sd$-shell
nuclei. The present calculations therefore suggest that this renormalization
(i.e., $g_A=1$ in the nuclear medium) is universal.
","[{""version"":""v1"",""created"":""Wed, 19 Apr 1995 22:46:42 GMT""}]","2009-10-28"
"nucl-th/9504020",,"S.A.Rakityansky, S.A.Sofianos, V.B.Belyaev, and W.Sandhas","Threshold scattering of the eta-meson off light nuclei","8 pages, no figures, RevTeX, submitted to Phys.Lett.B","Phys.Lett. B359 (1995) 33-38","10.1016/0370-2693(95)01057-W",,"nucl-th",,"  The scattering lengths of eta-meson collisions with light nuclei d,t,3He, and
4He are calculated on the basis of few-body equations in coherent
approximation. It is found that the eta-nucleus scattering length depends
strongly on the number of nucleons and the potential-range parameter. By taking
into account the off-shell behavior of the eta-N amplitude, the eta-4He
scattering length increases considerably.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 15:56:37 GMT""}]","2009-10-28"
"q-alg/9504010","A. Kazarnovski-Krol","A.Kazarnovski-Krol","Cycles for asymptotic solutions and Weyl group","29 pages (including figures), Ams-Tex, 13 Postscript figures",,,,"q-alg math.QA",,"  In this paper cycles for asymptotic solutions for Heckman-Opdam
hypergeometric system of type $A_n$ are described. Cycles are enumerated by
elements of symmetric group. Leading asymptotic and leading coefficient are
calculated. Value of certain multiple integral over special cycles is
calculated with the help of result of Opdam.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 02:39:27 GMT""},{""version"":""v2"",""created"":""Thu, 11 May 1995 01:37:45 GMT""}]","2008-02-03"
"q-alg/9504011","Vitaly Tarasov","Vitaly Tarasov and Alexander Varchenko","Bases of Bethe Vectors and Difference Equations with Regular Singular
  Points","20 pages, (amstex.tex (ver. 2.1) is required)",,,"Kyoto-Math 95-04","q-alg math.QA",,"  We prove that Bethe vectors generically form a base in a tensor product of
irreducible heighest weight $gl_2$-modules or $U_q(gl_2)$-modules. We apply
this result to difference equations with regular singular points. We show that
if such an equation has local solutionss at each of its singular point, then
generically it has a polynomial solution.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 03:25:51 GMT""}]","2008-02-03"
"quant-ph/9504015","Markus Thoma","Klaus Schertler, Markus H. Thoma","COMBINATORIAL COMPUTATION OF CLEBSCH-GORDAN COEFFICIENTS","13 pages, REVTEX","Annalen Phys. 5 (1996) 103",,"UGI-95-04","quant-ph",,"  The addition of angular momenta can be reduced to elementary coupling
processes of spin-$\frac{1}{2}$-particles. In this way, a method is developed
which allows for a non-recursive, simultaneous computation of all
Clebsch-Gordan coefficients concerning the addition of two angular momenta. The
relevant equations can be interpreted easily, analogously to simple
probabilistic considerations. They provide an improved understanding of the
addition of angular momenta as well as a practicable evaluation of
Clebsch-Gordan coefficients in an easier way than within the well-known
methods.
","[{""version"":""v1"",""created"":""Thu, 20 Apr 1995 11:42:03 GMT""}]","2007-05-23"
