"alg-geom/9501004","Dr. Mueller-Stach","Stefan M\""uller-Stach","${\bf C}^*$-extensions of tori, higher Chow groups and applications to
  incidence equivalence relations for algebraic cycles.","14 pages, Latex2e, no figures",,,,"alg-geom math.AG",,"  Let X be a smooth projective variety of dimension n. If $p+q=n+1$ then Bloch
has defined a ${\bf G}_m$-biextension E over the product of the Chow groups
$CH^p_0(X)$ and $CH^q_0(X)$ of homologically trivial cycles. We prove that E is
the pullback of the Poincare biextension over the product of intermediate
Jacobians in characteristic zero. This is used to study various equivalence
relations for algebraic cycles. In particular we reprove Murres result that
Griffiths conjecture holds for codimension two cycles, i.e. every codim. two
cycle algebraically and incidence equivalent to zero has torsion Abel-Jacobi
invariant.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 10:58:25 GMT""},{""version"":""v2"",""created"":""Fri, 13 Jan 1995 16:10:55 GMT""}]","2014-10-24"
"hep-ph/9501246","Ananda B. Santra","A. N. Kamal and A. B. Santra","Nonfactorization and the decays $D_s^+ \to \phi \pi^+, \phi \rho^+$ and
  $\phi l^+ \nu_l$","15 pages, Latex, four figure (available on request);","Z.Phys. C71 (1996) 101-106","10.1007/s002880050152","Alberta Thy-1-95; January,1995","hep-ph",,"  In six chosen scenarios for the $q^2$ dependence of the form factors involved
in $D_s^+ \rightarrow \phi $ transition, we have determined the allowed domain
of $x = A_2(0) / A_1(0)$ and $y = V(0)/A_1(0)$ from the experimentally measured
ratios $R_{sl} = \Gamma(D_s^+ \rightarrow \phi l^+ \nu_l)/\Gamma(D_s^+
\rightarrow \phi \pi^+)$ and $R_h = \Gamma(D_s^+ \rightarrow \phi
\rho^+)/\Gamma(D_s^+ \rightarrow \phi \pi^+)$ in a scheme that uses the $N_c
=3$ value of the phenomenological parameter $a_1$ and includes nonfactorized
contribution. We find that the experimentally measured values of $x$ and $y$
from semileptonic decays of $D_s^+$ favor solutions which have significant
nonfactorized contribution, and, in particular, $R_{sl}$ favors solutions in
scenarios where $A_1(q^2)$ is either flat or decreasing with $q^2$.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 17:45:13 GMT""}]","2016-09-01"
"hep-ph/9501247",,"D. Ring, S. Urano, and R. Arnowitt","Planck Scale Physics and the Testability of SU(5) Supergravity GUT","12 pages, REVTeX, 2 figures included in an uuencoded Z-compressed
  PostScript file. Ready to print PostScript version (with figures) may be
  picked up at ftp://phys.tamu.edu/urano/planck/paper_prep.ps","Phys.Rev.D52:6623-6626,1995","10.1103/PhysRevD.52.6623","CTP-TAMU-01/95","hep-ph",,"  GUT scale threshold corrections in minimal SU(5) supergravity grand
unification are discussed. It is shown that predictions may be made despite
uncertainties associated with the high energy scale. A bound relating the
strong coupling constant to the mass scales associated with proton decay and
supersymmetry is derived, and a sensitive probe of the underlying theory is
outlined. In particular, low energy measurements can in principle determine the
presence of Planck scale ($ 1 / {{\rm M}_{\rm Pl}} $) terms.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 20:33:17 GMT""}]","2016-09-01"
"hep-ph/9501248","J. W. F. Valle","E. Akhmedov, A. Joshipura, S. Ranfone and J. W. F. Valle","Left-right symmetry and Neutrino Stability","17 pages, latex, 2 compressed figures","Nucl.Phys.B441:61-75,1995","10.1016/0550-3213(95)00072-Z",,"hep-ph",,"  We consider a left-right symmetric model in which neutrinos acquire mass due
to the spontaneous violation of both the gauged $B-L$ and a global $U(1)$
symmetry broken by the vacuum expectation value (VEV) of a gauge singlet scalar
boson $\VEV{\sigma}$. For suitable choices of $\VEV{\sigma}$ consistent with
all laboratory and astrophysical observations neutrinos will be unstable
against majoron emission. All neutrino masses in the keV to MeV range are
possible, since the expected neutrino decay lifetimes can be short enough to
dilute their relic density below the cosmologically required level. A wide
variety of possible new phenomena, associated to the presence of left-right
symmetry and/or the global symmetry at the TeV scale, could therefore be
observable, without conflict with cosmology. The latter includes the
possibility of invisibly decaying higgs bosons, which can be searched at LEP,
NLC and LHC.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 19:23:10 GMT""}]","2016-09-01"
"hep-ph/9501249",,"Kenneth Lane","Technicolor","16 pages, TeX using harmac macros, no figures",,,"BUHEP-94-26","hep-ph",,"  Technicolor, with extended technicolor, is the theory of dynamical
electroweak and flavor symmetry breaking at energies far below the Planck
scale. To motivate it, I describe the most important difficulties of the
standard electroweak model of symmetry breaking by elementary scalar bosons. I
then tell how technicolor deals with these difficulties in a way that is both
technically and physically natural. Finally, I discuss the problems of
technicolor, both past and present. (This is the written version of an invited
talk given at the International Conference on the History of Original Ideas and
Basic Discoveries in Particle Physics, Erice, Sicily, 29 July--4 August 1994.)
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 00:57:57 GMT""}]","2016-09-01"
"hep-ph/9501250","Axel de la Macorra P.","Axel de la Macorra","Vanishing of the Cosmological Constant, Stability of the Dilaton and
  Inflation","9 pages, LaTeX, 3 figures compressed and uuencoded","Int.J.Mod.Phys. D5 (1996) 567",,"IFUNAM-FT-94-64","hep-ph astro-ph hep-th",,"  We study the possibility of canceling the cosmological constant in
supergravity string models. We show that with a suitable choice of
superpotential the vacuum energy may vanish with the dilaton field at its
minimum and supersymmetry broken with a large hierarchy. We derive the
condition for which the introduction of a chiral potential, e.g. the inflaton
potential, does not destabilize the dilaton field even in the region where the
scalar potential takes positive values. This allows for an inflationary
potential with the dilaton frozen at its minimum.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 01:49:51 GMT""}]","2016-09-01"
"hep-ph/9501251","Heath O'Connell","H. B. O'Connell, B. C. Pearce, A. W. Thomas, A. G. Williams","Rho-omega mixing, vector meson dominance and the pion form-factor","52 pages with 14 figures. This published version includes updated
  references and minor changes to text","Prog.Part.Nucl.Phys.39:201-252,1997","10.1016/S0146-6410(97)00044-6","ADP-95-1/T168","hep-ph nucl-th",,"  We review the current status of rho-omega mixing and discuss its implication
for our understanding of charge-symmetry breaking. In order to place this work
in context we also review the photon-hadron coupling within the framework of
vector meson dominance. This leads naturally to a discussion of the
electromagnetic form-factor of the pion and of nuclear shadowing.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 02:12:05 GMT""},{""version"":""v2"",""created"":""Wed, 11 Jan 1995 02:54:25 GMT""},{""version"":""v3"",""created"":""Wed, 13 Aug 1997 15:26:56 GMT""}]","2008-11-26"
"hep-ph/9501253","Mark Gibbs","M.J. Gibbs","Electroweak instantons at non-zero Weinberg angle","uuencoded postscript, 10 pages.","Phys.Lett. B348 (1995) 149-154","10.1016/0370-2693(95)00126-6","Cavendish-HEP-94/5","hep-ph",,"  Previous calculations of instanton effects in electroweak theory have
concentrated on the case of zero Weinberg angle $\theta_w$, where the U(1)
hypercharge field decouples. In this paper we extend the instanton calculation
to non-zero $\theta_w$, by constructing a perturbation expansion. This allows
for the first time the study of photon production at B and L number violating
verticies. We find that the orientation of the instanton solution in isospin
space has to be carefully considered to avoid unphysical results.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 10:59:02 GMT""}]","2016-09-01"
"hep-ph/9501254","Bertini Marc","M.Bertini, M.Giffon, E.Predazzi","Do we need two Pomerons?","The title has been modified and some references added","Phys.Lett. B349 (1995) 561-568","10.1016/0370-2693(95)00245-G","LYCEN 9504","hep-ph",,"  We show that one single Pomeron compatible with the Froissart limit, can
account for all the present HERA data.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 14:29:45 GMT""},{""version"":""v2"",""created"":""Wed, 1 Feb 1995 17:53:54 GMT""}]","2009-10-28"
"hep-ph/9501255",,"K.Huitu, J.Maalampi and M.Raidal","Phenomenological implications of supersymmetry in left-right electroweak
  model.","LATEX, 12 pages, figures obtainable from the authors, talk given in
  ""The First Arctic Workshop on Future Physics and Accelerators,"" August, 1994
  Saariselk\""a, Finland.",,,"HU-SEFTR 1994-19,","hep-ph",,"  The basics of a supersymmetric left-right model are reviewed. The production
and subsequent decays of the doubly charged triplet higgsino $
\tilde\Delta^{\pm\pm}$ in the Next Linear Collider are discussed. The slepton
pair production in the framework of this model is also analysed.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 15:15:38 GMT""}]","2016-09-01"
"hep-th/9501025","Frank Witte","F.M.C. Witte and S.P. Klevansky (Inst. f. Theoretical Physics, Univ.
  Heidelberg. Philosophenweg 19, 69120, Heidelberg, Germany)","$\lambda \phi^{4}$ non equilibrium dynamics and kinetic field theory","Latex, 30 pages, 10 figures not included pscript files can be
  obtained from witte@hybrid.tphys.uni-heidelberg.de",,,"HD-TVP-94-22","hep-th",,"  Off-shellness and inhomogeneities are in the non-equilibrium dynamics of the
lambda phi^4 model are studied using the closed timepath formalism reformulated
as kinetic field theory. We take into account initial correlations up to the
4-point functions. The model is shown to exhibit a SO(1,1) symmetry broken by
interactions and initial conditions. The divergence of the corresponding
Noethercurrent is calculated and the Ward-Takahashi relations for the broken
symmetry are given. They constitute a set of generalized integrated kinetic
equations for the general n-point functions. We demonstrate that
energy-momentum conservation follows from the transport equations. As an
application we discuss inhomogeneities and general non-equilibrium conditions
in the free field model. In our solution we identify the casimir-effect.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 09:42:45 GMT""}]","2009-09-25"
"hep-th/9501026",,"I. G. Avramidi and R. Schimming","The Heat Kernel Coefficients to the Matrix Schr\""odinger Operator","16 pages, Plain TeX, 33 KB, no figures","J.Math.Phys. 36 (1995) 5042-5054","10.1063/1.531213","University of Greifswald (December, 1994)","hep-th",,"  The heat kernel coefficients $H_k$ to the Schr\""odinger operator with a
matrix potential are investigated. We present algorithms and explicit
expressions for the Taylor coefficients of the $H_k$. Special terms are
discussed, and for the one-dimensional case some improved algorithms are
derived.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 10:44:36 GMT""}]","2009-10-28"
"hep-th/9501027","Yousuf M. Musakhanov","V.I.Matveev, M.M.Musakhanov and D.U.Matrasulov","Dirac Electron in the Electric Dipole Field","6 pages, latex",,,"API-TH-95-01","hep-th",,"  Dirac equation for the finite dipole potential is solved by the method of the
join of the asymptotics. The formulas for the near continuum state energy term
of a relativistic electron-dipole system are obtained analytically. Two cases
are considered: $Z < 137$ and $Z >137$
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 10:56:05 GMT""}]","2016-09-06"
"hep-th/9501028","Anna Koubek","Anni Koubek","A method to determine the operator content of perturbed conformal field
  theories","12 pages. LaTeX. To appear in Phys. Lett. B.; error which caused the
  truncation of the file by the mailer has been removed and this should be now
  the COMPLETE paper.","Phys.Lett. B346 (1995) 275-283","10.1016/0370-2693(94)01680-B","DAMTP-94/89","hep-th",,"  A method to determine the full structure of the space of local operators of
massive integrable field theories, based on the form factor bootstrap approach
is presented. This method is applied to the integrable perturbations of the
Ising conformal point. It is found that the content of local operators can be
expressed in terms of fermionic sum representations of the characters $\c(q)$
of the Virasoro irreducible representations of the minimal model $\M_{3,4}$.
The space of operators factorises into chiral components as $Z=\sum \c(q)
\c(\q)$, but with the relation $\q=q^{-1}$.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 13:58:16 GMT""},{""version"":""v2"",""created"":""Mon, 16 Jan 1995 10:10:23 GMT""},{""version"":""v3"",""created"":""Wed, 18 Jan 1995 14:00:17 GMT""}]","2016-09-06"
"hep-th/9501029","Anna Koubek","A. Koubek,","The space of local operators in perturbed conformal field theories,","38 pages, LaTeX, to appear in Nuclear Physics B.","Nucl.Phys. B435 (1995) 703-734","10.1016/0550-3213(94)00560-2","DAMTP-94/85,","hep-th",,"  The space of local operators in massive deformations of conformal field
theories is analysed. For several model systems it is shown that one can define
chiral sectors in the theory, such that the chiral field content is in a
one-to-one correspondence with that of the underlying conformal field theory.
The full space of operators consists of the descendent spaces of all scalar
fields. If the theory contains asymptotic states which satisfy generalised
statistics, the form factor equations admit in addition also solutions
corresponding to the descendent spaces of the para-fermionic operators of the
same spin as the asymptotic states. The derivation of these results uses
$q$-sum expressions for the characters and $q$-difference equations used in
proving Rogers-Ramanujan type identities.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 14:18:00 GMT""}]","2016-09-06"
"hep-th/9501031","Troyan Sergei","G. S. Danilov","The calculation of Feynman diagrams in the superstring perturbation
  theory","48 pages, LATEX","Phys.Rev.D51:4359,1995; Erratum-ibid.D52:6201,1995;
  Phys.Rev.D52:6201,1995","10.1103/PhysRevD.51.4359 10.1103/PhysRevD.52.6201","Preprint PNPI-2023, 1994","hep-th",,"  The method of the calculation of the multi-loop superstring amplitudes is
proposed. The amplitudes are calculated from the equations that are none other
than Ward identities. They are derived from the requirement that the discussed
amplitudes are independent from a choice of gauge of both the vierbein and the
gravitino field. The amplitudes are calculated in the terms of the superfields
vacuum correlators on the complex (1|1) supermanifolds. The superconformal
Schottky groups appropriate for this aim are built for all the spinor
structures. The calculation of the multi- loop boson emission amplitudes in the
closed, oriented Ramond-Neveu-Schwarz superstring theory is discussed in
details. The main problem arises for those spinor structures that correspond to
the Ramond fermion loops. Indeed, in this case the superfield vacuum
correlators can not be derived by a simple extension of the boson string
results. The method of the calculation of the above correlators is proposed.
The discussed amplitudes due to all the even spinor structures is given in the
explicit form.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 15:15:08 GMT""}]","2014-11-18"
"math/9501211","Stephen Montgomery-Smith","N. Asmar, Stephen J. Montgomery-Smith","Analytic measures and Bochner measurability",,"Bull. Sc. Math. 122, (1998), 39-66",,,"math.FA",,"  Let $\Sigma$ be a $\sigma$-algebra over $\Omega$, and let $M(\Sigma)$ denote
the Banach space of complex measures. Consider a representation $T_t$ for
$t\in\Bbb R$ acting on $M(\Sigma)$. We show that under certain, very weak
hypotheses, that if for a given $\mu \in M(\Sigma)$ and all $A \in \Sigma$ the
map $t \mapsto T_t \mu(A)$ is in $H^\infty(\Bbb R)$, then it follows that the
map $t \mapsto T_t \mu$ is Bochner measurable. The proof is based upon the idea
of the Analytic Radon Nikod\'ym Property.
  Straightforward applications yield a new and simpler proof of Forelli's main
result concerning analytic measures ({\it Analytic and quasi-invariant
measures}, Acta Math., {\bf 118} (1967), 33--59).
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 00:00:00 GMT""},{""version"":""v2"",""created"":""Mon, 6 Dec 1999 16:39:21 GMT""}]","2008-02-03"
"q-alg/9501008","Vladimir Roubtsov","A.Bugrij, V.Rubtsov, V.Shadura","Covariant Differential and Integral Calculi for Lattice (l,q)-deformed
  Fields","23 pages, Amstex","Hadronic J. 20 (1997) 191-211",,"ITP-94-54E","q-alg cond-mat hep-th math.QA",,"  Using the Hecke $\hat R$-matrix, we give a definition of the lattice
$(l,q)$-deformed $n$-component boson and Grassmann fields. Here $l$ is a
deformation parameter for the commutation relations of ""values"" of these fields
in two arbitrary lattice sites and $q$ is a deformation parameter for
$n$-component $q$-boson or $q$-Grassmann variable. In framework of the
Wess-Zumino approach to the noncommutative differential calculus the
commutation relations between differentials and derivatives of these fields are
determined. The $SL_q(n,C)$-invariant generalization of the Berezin integration
for the lattice $n$-component $(l,q)$-Grassmann field is suggested. We show
that the Gaussian functional integral for this field is expressed through the
$(l,q)$-deformed counterpart of the Pfaffian.
","[{""version"":""v1"",""created"":""Mon, 9 Jan 1995 16:00:38 GMT""}]","2008-02-03"
"quant-ph/9501009",,"Lajos Diosi","Selective continuous quantum measurements: Restricted path integrals and
  wave equations","5 pages, LaTex",,,,"quant-ph",,"  We discuss both the restricted path integral (RPI) and the wave equation (WE)
techniques in the theory of continuous quantum measurements. We intend to make
Mensky's fresh review complete by transforming his ""effective"" WE with complex
Hamiltonian into Ito-differential equations.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 15:51:00 GMT""}]","2016-09-08"
"quant-ph/9501010",,"S. De Martino, S. De Siena and F. Illuminati","Dymanics of Generalized Coherent States","8 pages, plain latex, no figures","Mod.Phys.Lett. B9 (1995) 823","10.1142/S0217984995000772","DFPD 94/TH/66, December 1994","quant-ph cond-mat hep-th",,"  We show that generalized coherent states follow Schr\""{o}dinger dynamics in
time-dependent potentials. The normalized wave-packets follow a classical
evolution without spreading; in turn, the Schr\""{o}dinger potential depends on
the state through the classical trajectory. This feedback mechanism with
continuous dynamical re-adjustement allows the packets to remain coherent
indefinetely.
","[{""version"":""v1"",""created"":""Tue, 10 Jan 1995 13:35:36 GMT""}]","2016-09-08"
