"acc-phys/9510006","George Parzen","G. Parzen (Brookhaven National Laboratory)","Linear Parameters and the Decoupling Matrix for Linearly Coupled Motion
  in 6 Dimensional Phase Space","18 pages, gzipped postscript paper (125k)",,,"BNL-61552","acc-phys physics.acc-ph",,"  It will be shown that starting from a coordinate system where the 6 phase
space coordinates are linearly coupled, one can go to a new coordinate system
where the motion is uncoupled by means of a linear transformation. The original
coupled coordinates and the new uncoupled coordinates are related by a 6x6
matrix, R. R will be called the decoupling matrix. It will be shown that of the
36 elements of the 6x6 decoupling matrix R, only 12 elements are independent.
This may be contrasted with the results for motion in 4-dimensional phase
space, where R has 4 independent elements. A set of equations is given from
which the 12 elements of R can be computed from the one period transfer
matrix.This set of equations also allows the linear parameters for the
uncoupled coordinates to be computed from the one period transfer matrix. An
alternative procedure for computing the linear parameters and the 12
independent elements of the decoupling matrix R is also given which depends on
computing the eigenvectors of the one period transfer matrix. These results can
be used in a tracking program, where the one period transfer matrix can be
computed by multiplying the transfer matrices of all the elements in a period,
to compute the linear parameters and the elements of the decoupling matrix R.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 14:47:54 GMT""}]","2008-02-03"
"hep-th/9510219","Pavel Saponov","V.E. Rochev and P.A. Saponov","Singular Perturbations in Quantum Field Theory","Talk given at XVIII International Workshop on HEP and QFT in
  Protvino, June 26 - 30 1995 and at X International Workshop on HEP and QFT in
  Zvenigorod, September 20 - 26 1995. LaTex, 7 pages",,,,"hep-th",,"  In this talk we discuss a new approximation scheme for non-perturbative
calculations in a quantum field theory which is based on the fact that the
Schwinger equation of a quantum field model belongs to the class of singularly
perturbed equations. The self-interacting scalar field and the Gross-Neveu
model are taken as the examples and some non-perturbative solutions of an
equation for the propagator are found for these models. The application to QCD
is also discussed.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 16:47:08 GMT""}]","2007-05-23"
"hep-th/9510220",,"Igor Bandos, Dmitrij Sorokin and Dmitrij Volkov","New supersymmetric generalization of the Liouville equation","10 pages, LaTeX, no figures. The component structure of the
  supersymmetric non--linear equations corrected, misprints eliminated","Phys.Lett. B372 (1996) 77-82","10.1016/0370-2693(96)00023-8","Preprint DFPD 95/TH/58","hep-th",,"  We present new $n=(1,1)$ and $n=(1,0)$ supersymmetric generalization of the
Liouville equation, which originate from a geometrical approach to describing
the classical dynamics of Green--Schwarz superstrings in $N=2,~D=3$ and
$N=1,~D=3$ target superspace. Considered are a zero curvature representation
and B\""acklund transformations associated with the supersymmetric non--linear
equations.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 16:55:37 GMT""},{""version"":""v2"",""created"":""Sun, 5 Nov 1995 17:18:27 GMT""}]","2009-10-28"
"hep-th/9510221","Vladimir Nesterenko","G. Lambiase and V.V. Nesterenko","Quark mass correction to the string potential","34 pages, LATEX","Phys.Rev. D54 (1996) 6387-6398","10.1103/PhysRevD.54.6387","JINR Preprint E2-95-443","hep-th",,"  A consistent method for calculating the interquark potential generated by the
relativistic string with massive ends is proposed. In this approach the
interquark potential in the model of the Nambu--Goto string with point--like
masses at its ends is calculated. At first the calculation is done in the
one--loop approximation and then the variational estimation is performed. The
quark mass correction results in decreasing the critical distance
(deconfinement radius). When quark mass decreases the critical distance also
decreases. For obtaining a finite result under summation over eigenfrequencies
of the Nambu--Goto string with massive ends a suitable mode--by--mode
subtraction is proposed. This renormalization procedure proves to be completely
unique. In the framework of the developed approach the one--loop interquark
potential in the model of the relativistic string with rigidity is also
calculated.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 20:24:02 GMT""}]","2009-10-28"
"hep-th/9510222","Nathan Seiberg","D. Kutasov, A. Schwimmer and N. Seiberg","Chiral Rings, Singularity Theory and Electric-Magnetic Duality","50 pages, uses harvmac","Nucl.Phys.B459:455-496,1996","10.1016/0550-3213(95)00599-4","EFI-95-68, WIS/95/27, RU-95-75","hep-th hep-ph",,"  We study in detail the space of perturbations of a pair of dual $N=1$
supersymmetric theories based on an $SU(N_c)$ gauge theory with an adjoint $X$
and fundamentals with a superpotential which is polynomial in $X$. The
equivalence between them depends on non-trivial facts about polynomial
equations, i.e.\ singularity theory. The classical chiral rings of the two
theories are different. Quantum mechanically there are new relations in the
chiral rings which ensure their equivalence. Duality interchanges ``trivial''
classical relations in one theory with quantum relations in the other and vice
versa. We also speculate about the behavior of the theory without the
superpotential.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 18:55:31 GMT""}]","2009-09-15"
"hep-th/9510223","Keith Dienes","Keith R. Dienes, Alon E. Faraggi, and John March-Russell","String Unification, Higher-Level Gauge Symmetries, and Exotic
  Hypercharge Normalizations","59 pages, standard LaTeX, 4 figures (Encapsulated PostScript).
  Expanded references","Nucl.Phys. B467 (1996) 44-99","10.1016/0550-3213(96)00085-5","IASSNS-HEP-95/25 (October 1995)","hep-th hep-ph",,"  We explore the extent to which string theories with higher-level gauge
symmetries and non-standard hypercharge normalizations can reconcile the
discrepancy between the string unification scale and the GUT scale extrapolated
from the Minimal Supersymmetric Standard Model (MSSM). We determine the
phenomenologically allowed regions of (k_Y,k_2,k_3) parameter space, and
investigate the proposal that there might exist string models with exotic
hypercharge normalizations k_Y which are less than their usual value k_Y=5/3.
For a broad class of heterotic string models (encompassing most realistic
string models which have been constructed), we prove that k_Y >= 5/3. Beyond
this class, however, we show that there exist consistent MSSM embeddings which
lead to k_Y < 5/3. We also consider the constraints imposed on k_Y by demanding
charge integrality of all unconfined string states, and show that only a
limited set of hypercolor confining groups and corresponding values of k_Y are
possible.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 02:29:10 GMT""},{""version"":""v2"",""created"":""Thu, 16 Nov 1995 21:33:29 GMT""}]","2009-10-28"
"hep-th/9510224",,"A.Gorsky, A.Marshakov","Towards effective topological gauge theories on spectral curves","misprints are corrected, format is improved","Phys.Lett. B375 (1996) 127-134","10.1016/0370-2693(96)00209-2","UUITP-7/95, FIAN/TD-19/95, ITEP/TH-9/95","hep-th",,"  We discuss a general approach to the nonperturbative treatment of quantum
field theories based on existence of effective gauge theory on auxiliary
''spectral"" Riemann curve. We propose an effective formulation for the exact
solutions to some examples of $2d$ string models and $4d$ supersymmetric
Yang-Mills theories and consider their natural generalizations.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 20:58:10 GMT""},{""version"":""v2"",""created"":""Thu, 2 Nov 1995 20:11:25 GMT""},{""version"":""v3"",""created"":""Mon, 22 Jan 1996 16:03:30 GMT""}]","2009-10-28"
"hep-th/9510225","Cumrun Vafa","M. Bershadsky, V. Sadov and C. Vafa","D-Strings on D-Manifolds","23 pages, with 3 figures. A compact example is added","Nucl.Phys. B463 (1996) 398-414","10.1016/0550-3213(96)00024-7","HUTP-95/A035,IASSNS-HEP-95-77","hep-th",,"  We study the mechanism for appearance of massless solitons in type II string
compactifications. We find that by combining $T$-duality with strong/weak
duality of type IIB in 10 dimensions enhanced gauge symmetries and massless
solitonic hypermultiplets encountered in Calabi-Yau compactifications can be
studied perturbatively using D-strings (the strong/weak dual to type IIB
string) compactified on ``D-manifolds''. In particular the nearly massless
solitonic states of the type IIB compactifications correspond to elementary
states of D-strings. As examples we consider the D-string description of
enhanced gauge symmetries for type IIA string compactification on ALE spaces
with $A_n$ singularities and type IIB on a class of singular Calabi-Yau
threefolds. The class we study includes as a special case the conifold
singularity in which case the perturbative spectrum of the D-string includes
the expected massless hypermultiplet with degeneracy one.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 20:40:14 GMT""},{""version"":""v2"",""created"":""Fri, 1 Dec 1995 20:19:57 GMT""}]","2009-10-28"
"hep-th/9510226","Edgardo Salomon Cheb Terrab","E.S. Cheb-Terrab (Symb. Comp. Group, DFT-UERJ, Brazil)","Symbolic Computing with Grassman Variables","11 pages, LaTeX, submitted to Journal of Symbolic Computation.
  Soft-package: file grassman.txt, available at ftp://152.92.4.69/grassman/",,,"IF-UERJ-95-27","hep-th",,"  A package of Maple 5.3 commands for doing calculations with anticommutative
variables is presented.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 03:38:33 GMT""}]","2007-05-23"
"hep-th/9510227","Andy Strominger","Joseph Polchinski and Andrew Strominger","New Vacua for Type II String Theory","13 pages, Revtex","Phys.Lett.B388:736-742,1996","10.1016/S0370-2693(96)01219-1","UCSBTH-95-30, NSF-ITP-95-136","hep-th",,"  Lorentz-invariant expectation values for antisymmetric tensor field strengths
in Calabi-Yau compactification of IIA string theory are considered. These are
found to impart magnetic and/or electric charges to the dilaton hypermultiplet.
This results in a potential which can have supersymmetric minima at zero
coupling or at conifold points in the moduli space. The latter occurs whenever
the dilaton charge is aligned with that of the light black hole at the
conifold. It is shown that there is a flat direction extending from the
conifold along which there is a black hole condensate whose strength is of
order the string coupling $g_s$. It is speculated that these new vacua
correspond to string compactification on generalized Calabi-Yau spaces which
have $c_1=0$ but are not Kahler.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 23:12:56 GMT""}]","2009-09-17"
"hep-th/9510228","Matt Strassler","P. Pouliot and M.J. Strassler (Rutgers University)","A Chiral $SU(N)$ Gauge Theory and its Non-Chiral $Spin(8)$ Dual","13 pages, uses harvmac","Phys.Lett.B370:76-82,1996","10.1016/0370-2693(95)01554-X","RU-95-67","hep-th",,"  We study supersymmetric $SU(N-4)$ gauge theories with a symmetric tensor and
$N$ antifundamental representations. The theory with $W=0$ has a dual
description in terms of a non-chiral $Spin(8)$ theory with one spinor and $N$
vectors. This duality flows to the $SO(N)$ duality of Seiberg and to a duality
proposed by one of us. It also flows to dualities for a number of $Spin(m)$
theories, $m\le 8$. For $N=6$, when an ${\cal N}=2$ SUSY superpotential is
added, the singularities of Seiberg and Witten are recovered. For $N\le 6$, a
mass for the spinor generates the branches of $SO(8)$ theories found by
Intriligator and Seiberg. Other phenomena include a classical constraint mapped
to an anomaly equation under duality and an intricate consistency check on the
renormalization group flow.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 05:09:47 GMT""}]","2014-11-18"
"hep-th/9510229","Ashoke Sen","Ashoke Sen","A Note on Marginally Stable Bound States in Type II String Theory","LaTeX file, 6 pages","Phys.Rev.D54:2964-2967,1996","10.1103/PhysRevD.54.2964","MRI/PHY/23-95","hep-th",,"  Spectrum of elementary string states in type II string theory contains
ultra-short multiplets that are marginally stable. $U$-duality transformation
converts these states into bound states at threshold of $p$-branes carrying
Ramond-Ramond charges, and wrapped around $p$-cycles of a torus. We propose a
test for the existence of these marginally stable bound states. Using the
recent results of Polchinski and of Witten, we argue that the spectrum of bound
states of $p$-branes is in agreement with the prediction of $U$-duality.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 13:01:53 GMT""}]","2009-09-15"
"hep-th/9510230","Georg Junker","Georg Junker, Stephan Matthiesen and Akira Inomata","Classical and quasi-classical aspects of supersymmetric quantum
  mechanics","LaTeX209, amsfonts, 8 pages",,,,"hep-th cond-mat quant-ph",,"  A recent development of the studies on classical and quasi-classical
properties of supersymmetric quantum mechanics in Witten's version is reviewed.
First, classical mechanics of a supersymmetric system is considered. Solutions
of the classical equations of motion are given and their properties are
discussed in some detail. The corresponding quantum model is constructed by
canonical quantization. The quantum model is analyzed by Feynman's path
integral within a stationary-phase approximation. A quasi-classical
quantization rule is derived, which is applicable when supersymmetry is exact
or spontaneously broken.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 08:47:28 GMT""}]","2016-09-06"
"hep-th/9510232",,"A.I.Bugrij, V.N.Shadura (Bogoliubov Institute for Theoretical Physics,
  Kiev, Ukraine)","Three-loop contributions to the free energy of $\lambda\varphi^4$ QFT","11 pages, LaTeX file",,,,"hep-th",,"  The massive scalar field with $\lambda\varphi^4$ interaction placed in
$(3+1)$ dimensional box is considered. The sizes of the box are $V\times \beta$
$(V=L^3$ is the volume, $T=1/\beta$ is the temperature). The free energy is
evaluated up to the 2nd order of $PT$. The averaging on the vacuum fluctuations
is separated from the averaging on the thermal fluctuations explicitly. As
result the free-energy is expressed through the scattering amplitudes. We find
that in 3-loop approximation the expression for free energy coincides with the
ansatz of Bernstein, Dashen, Ma suggested on the base of $S$-matrix formulation
of statistical mechanics. The obtained expressions are generalized for higher
order of $PT$.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 12:13:32 GMT""},{""version"":""v2"",""created"":""Wed, 1 Nov 1995 20:13:54 GMT""}]","2008-02-03"
"math/9510210",,"Jie Wu","A Product Decomposition of $\Omega^3_0\Sigma${\bf R}$P^2$",,,,"MSRI 1995-080","math.AT",,"  We give a specific product decomposition of the base-point path connected
component of the triple loop space of the suspension of the projective plane.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 00:00:00 GMT""}]","2008-02-03"
"mtrl-th/9510005","Bernd Kohler","Jun-Hyung Cho, Matthias Scheffler","Ab initio pseudopotential study of Fe, Co, and Ni employing the
  spin-polarized LAPW approach","RevTeX, 14 pages, 2 figures in uufiles form",,"10.1103/PhysRevB.53.10685",,"mtrl-th cond-mat.mtrl-sci",,"  The ground-state properties of Fe, Co, and Ni are studied with the
linear-augmented-plane-wave (LAPW) method and norm-conserving pseudopotentials.
The calculated lattice constant, bulk modulus, and magnetic moment with both
the local-spin-density approximation (LSDA) and the generalized gradient
approximation (GGA) are in good agreement with those of all-electron
calculations, respectively. The GGA results show a substantial improvement over
the LSDA results, i.e., better agreement with experiment. The accurate
treatment of the nonlinear core-valence exchange and correlation interaction is
found to be essential for the determination of the magnetic properties of 3d
transition metals. The present study demonstrates the successful application of
the LAPW pseudopotential approach to the calculation of ground-state properties
of magnetic 3d transition metals.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 09:07:54 GMT""}]","2009-10-28"
"mtrl-th/9510006","Bernd Kohler","Catherine Stampfl, Matthias Scheffler","Theoretical study of O adlayers on Ru(0001)","RevTeX, 6 pages, 4 figures",,"10.1103/PhysRevB.54.2868",,"mtrl-th cond-mat.mtrl-sci",,"  Recent experiments performed at high pressures indicate that ruthenium can
support unusually high concentrations of oxygen at the surface. To investigate
the structure and stability of high coverage oxygen structures, we performed
density functional theory calculations, within the generalized gradient
approximation, for O adlayers on Ru(0001) from low coverage up to a full
monolayer. We achieve quantitative agreement with previous low energy electron
diffraction intensity analyses for the (2x2) and (2x1) phases and predict that
an O adlayer with a (1x1) periodicity and coverage of 1 monolayer can form on
Ru(0001), where the O adatoms occupy hcp-hollow sites.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 13:17:17 GMT""}]","2009-10-28"
"nucl-th/9510060","Eugenio Marco","E. Marco, E. Oset and P. Fern\'andez de C\'ordoba","Mesonic and Binding Contributions to the EMC Effect in a Relativistic
  Many Body Approach","31 pages, LaTeX, 11 PostScript figures, final version to appear in
  Nuclear Physics A","Nucl.Phys. A611 (1996) 484-513","10.1016/S0375-9474(96)00289-8",,"nucl-th hep-ph",,"  We revise the conventional nuclear effects of Fermi motion, binding and
pionic effects in deep inelastic lepton scattering using a relativistic
formalism for an interacting Fermi sea and the local density approximation to
translate results from nuclear matter to finite nuclei. In addition we also
consider effects from rho-meson renormalization in the nucleus. The use of
nucleon Green's functions in terms of their spectral functions offers a precise
way to account for Fermi motion and binding. On the other hand the use of many
body Feynman diagrams in a relativistic framework allows one to avoid using
prescriptions given in the past to introduce relativistic corrections in a non
relativistic formalism. We show that with realistic nucleon spectral functions
and meson nucleus selfenergies one can get a reasonable description of the EMC
effect for x > 0.15, outside the shadowing region.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 08:47:29 GMT""},{""version"":""v2"",""created"":""Wed, 18 Dec 1996 12:01:31 GMT""}]","2009-10-28"
"nucl-th/9510062",,"W. Haeberli and Barry R. Holstein","Parity Violation and the Nucleon-Nucleon System","52 page standard Latex file, contribution to the volume ""Symmetries
  in Nuclear Physics,"" ed. W.C. Haxton and E. Henley",,"10.1142/9789812831446_0002",,"nucl-th hep-ph nucl-ex",,"  The status of the field of nuclear parity violation---both experimental and
theoretical---is reviewed, with special emphasis on those results which have
been obtained since the 1985 review article by Adelberger and Haxton.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 15:55:10 GMT""}]","2016-11-03"
"q-alg/9510026","Terry Gannon","Terry Gannon","Kac-Peterson, Perron-Frobenius, and the Classification of Conformal
  Field Theories","32 pages, plain tex",,,,"q-alg hep-th math.QA",,"  The classification of CFTs has an important subproblem, namely classifiying
the partition functions for WZW theories. This subproblem is intimately
connected to the modular behaviour of the characters of affine algebras. This
paper addresses the classification of the largest class of these -- the natural
generalization to any affine algebra of the A-series, D-series, and
$E_7$-exceptional appearing in the A-D-E classification of
Cappelli-Itzykson-Zuber for $A_1^{(1)}$. We give a programme for classifying
these for any algebra, and explicitly do this for the most interesting case:
$A_r^{(1)}$ at any level k. The exceptionals appear at (r,k)=(1,16), (2,9),
(3,8), (4,5), (7,4), (8,3) and (15,2).
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 17:32:54 GMT""}]","2008-02-03"
"quant-ph/9510030","Marc Jaekel","Marc-Thierry Jaekel (Laboratoire de Physique Th\'eorique de l'Ecole
  Normale Sup\'erieure) and Serge Reynaud (Laboratoire Kastler-Brossel)","Acceleration of Quantum Fields","16 pages, to appear in Brazilian Journal of Physics, special issue on
  Quantum Optics, ed. L. Davidovich","Braz.J.Phys.25:315-323,1995",,"LPTENS 95/30","quant-ph",,"  We analyze the transformation of quantum fields under conformal coordinate
transformations from inertial to accelerated frames, in the simple case of
scalar massless fields in a two-dimensional spacetime, through the
transformation of particle number and its spectral density. Particle number is
found to be invariant under conformal coordinate transformations to uniformly
accelerated frames, which extends the property already known for vacuum.
Transformation of spectral density of particle number exhibits a redistribution
of particles in the frequency spectrum. This redistribution is determined by
derivatives of phase operators with respect to frequency, that is by time and
position operators defined in such a manner that the redistribution of
particles appears as a Doppler shift which depends on position in spacetime, in
conformity with Einstein equivalence principle.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 09:41:47 GMT""}]","2008-11-26"
