"adap-org/9509003","Yu Shi","Yu Shi (Dept. of Phys., fudan University, China)","Self-organization, ergodicity breaking, phase transition and
  synchronization in two-dimensional traffic-flow model","16 pages. LaTeX, some minor errors corrected",,,,"adap-org nlin.AO",,"  Analytical investigation is made on the two-dimensional traffic-flow model
with alternative movement and exclude-volume effect between right and up arrows
[Phys. Rev. {\bf A} 46 R6124 (1992)]. Several exact results are obtained,
including the upper critical density above which there are only jamming
configurations, and the lower critical density below which there are only
moving configurations. The observed jamming transition takes place at another
critical density $p_{c}(N)$, which is in the intermidiate region between the
lower and upper critical densities. It is derived that
$p_{c}(N)\,=\,CN^{\alpha}$, where $C$ and $\alpha$ are determined to be
respectively $0.76$ and $-0.14$ from previous numerical simulation. This
transition is suggested to be a second-order phase transition, the order
parameter is found. The nature of self-organization, ergodicity breaking and
synchronization are discussed, Comparison with the sandpile model is made.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 17:35:17 GMT""},{""version"":""v2"",""created"":""Fri, 6 Oct 1995 17:59:42 GMT""},{""version"":""v3"",""created"":""Mon, 20 Nov 1995 09:59:40 GMT""}]","2008-02-03"
"hep-lat/9510013","Akira Ukawa","JLQCD Collaboration","Analysis of Hadron Propagators with One Thousand Configurations on a
  $24^3\times 64$ Lattice at $\beta=6.0$","contribution to Lattice 95 (presented by A. Ukawa), 4 pages, 4
  postscript figures (file name for figures modified)","Nucl.Phys.Proc.Suppl. 47 (1996) 354-357","10.1016/0920-5632(96)00072-2","UTHEP-323","hep-lat",,"  Statistical properties of effective mass are analyzed. We show from a general
ground that effective mass as a function of time should not exhibit long
plateaux whatever high statistics simulations are made: the mass should
fluctuate beyond the one standard deviation of error bars after a few time
slices for large times where the ground state dominates. This explains the
difficulty of obtaining long plateaux experienced in previous simulations.
Implications of the observation for global $\chi^2$ fits are discussed, and
results for hadron masses are presented.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 07:38:58 GMT""}]","2015-06-25"
"hep-lat/9510014","Akira Ukawa","S. Aoki, A. Ukawa and T. Umemura","Fate of the Critical Line and Chiral Transition in Finite-Temperature
  Lattice QCD with the Wilson Quark Action","contribution to Lattice 95 (poster session), 4 pages, 4 postscript
  figures","Nucl.Phys.Proc.Suppl. 47 (1996) 511-514","10.1016/0920-5632(96)00111-9","UTHEP-324","hep-lat",,"  Finite-temperature phase structure of lattice QCD with the Wilson quark
action is analyzed. We show that the critical line at finite temperatures,
defined to be the line of vanishing pion screening mass, turns back toward
strong coupling, forming a cusp on the $(\beta, K)$ plane, and that the line of
thermal transition runs past the tip of the cusp without touching the critical
line. Previous results are discussed in the light of our findings.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 07:12:16 GMT""}]","2009-10-28"
"hep-ph/9510232","Christian Weiss","D.I. Diakonov, M.V. Polyakov and C. Weiss","Hadronic matrix elements of gluon operators in the instanton vacuum","40 pp. The discussion of the value of g_A^0 and of ref.[36] has been
  updated. A trivial error in formulas of section 5 has been corrected. This is
  the final version to appear in Nucl. Phys. B","Nucl.Phys.B461:539-580,1996","10.1016/0550-3213(95)00675-3","Bochum preprint RUB-TPII-27/95 and PNPI preprint PNPI-TH-2076","hep-ph hep-lat",,"  We propose a method to evaluate hadronic matrix elements of QCD gluon
operators in the instanton vacuum. We construct the ground state of the
interacting instanton ensemble for non-zero $\vartheta$--angle using a
variational principle. A method to study the $\vartheta$--dependence of
observables on the lattice is suggested. We then derive the effective fermion
action, which allows to calculate hadronic correlation functions in a
$1/N_c$--expansion (Nambu--Jona-Lasinio type effective fermion theory). Gluon
operators are systematically represented as effective fermion operators.
Physical matrix elements are obtained after integrating the correlation
functions over fluctuations of the numbers of instantons. The influence of the
fermion determinant on the topological susceptibility is taken into account.
Our effective description gives matrix elements fully consistent with the trace
and $U(1)_A$ anomalies. The approach allows to consistently evaluate the
nucleon matrix elements of various gluon and mixed quark--gluon operators in a
chiral soliton picture of the nucleon.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 17:23:52 GMT""},{""version"":""v2"",""created"":""Tue, 6 Feb 1996 13:44:05 GMT""}]","2008-11-26"
"hep-ph/9510233","Cheuk-Yin Wong","Cheuk-Yin Wong and Zhong-Qi Wang","Excess Dileptons in High-Energy Nucleus-Nucleus Collisions","11 pages (REVTeX), includes 2 uuencoded compressed postscript figures","Phys.Lett. B367 (1996) 50-54","10.1016/0370-2693(95)01471-3","ORNL-CTP-95-06","hep-ph",,"  It has been observed recently that while continuum dilepton production and
open charm production in high-energy $pA$ collisions can be described in terms
of the superposition of $pp$ collisions, dilepton yields in S+U collisions are
in excess of similar extrapolations. This feature can be explained as arising
from the interaction of gluons produced in different soft baryon-baryon
collisions, leading to additional open-charm pairs in nucleus-nucleus
collisions but not in $pA$ collisions.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 18:19:39 GMT""}]","2015-06-25"
"hep-ph/9510234","Dandi Wu","Dan-di Wu (Prairie View A&M University)","Cascade Global Symmetry and Quark Mass Hierarchy","5 pages, Latex file. Figures on request (a contribution to the
  Workshop on Part. Theo. & Phenomenology, May 17-19, 1995, Ames, Iowa)",,,"PVAMU-HEP-5-95","hep-ph",,"  Cascade global symmetry and multi-vacuum expectation values are combined to
produce an {\bf initial} texture of the quark mass matrices. Required
corrections to the initial texture zeros ({\bf ITZ)} are all at the order of
$10^{-3}m_t$ or less. The possibility of {\bf radiative corrections} as the
source of the complete mass matrices is briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 20:33:45 GMT""}]","2009-09-25"
"hep-ph/9510235","T. P. Cheng","T. P. Cheng and Ling-Fong Li","Antiquark Polarization inside the Proton is Small","LaTex and RevTex, 7 pages, sub for pub in the Phys. Lett. B Corrected
  an equation number error, and revised the Author/Abstract field in the
  original E-preprint submission. Latex and Revtex. Sub to Phys. Lett. B","Phys.Lett. B366 (1996) 365-370; Erratum-ibid. B381 (1996) 487","10.1016/0370-2693(95)01373-3","CMU-HEP95-15","hep-ph",,"  Quark contributions to the proton spin as deduced from polarized DIS of
leptons off a nucleon target, and the octet baryon magnetic moments, can be
used to deduce the antiquark polarizations $\Delta_{\overline{q}}$ inside the
proton. In this way, the 1992 analysis by Karl is shown to imply
$\Delta_{\overline{q}}\simeq 0.$ Such a spin structure fits nicely into the
chiral quark interpretation of the proton spin and flavor puzzles.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 22:10:52 GMT""},{""version"":""v2"",""created"":""Sun, 8 Oct 1995 20:37:34 GMT""}]","2015-06-25"
"hep-ph/9510236","T. P. Cheng","T. P. Cheng and Ling-Fong Li","Chiral quark perspective of the proton spin and flavor puzzles","LaTex and RevTex, 6 pages. Talk presented by T. P. Cheng at
  EPS-HEP95, Brussels, July 1995",,,"CMU-HEP95-16","hep-ph",,"  The chiral quark model with a broken U(3) symmetry gives a simple and unified
account for the proton spin and flavor puzzles, as well as the octet baryon
magnetic moments.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 22:27:25 GMT""}]","2007-05-23"
"hep-ph/9510237","Li Xiao-yuan","Xiaoyuan Li and Yi Liao","Axial Vector Couplings of the Nucleon in Chiral Quark Model
  Incorporating $ U(1)_A$ Anomaly Effects","11 pages REVtex, 2 figures sent upon request","Phys.Lett.B379:219-224,1996","10.1016/0370-2693(96)00406-6","AS-ITP-95-32","hep-ph",,"  Renormalization of the axial vector currents due to Goldstone loops is
studied in a simple extension of Manohar - Georgi chiral quark model which
incorporates $U(1)_A$ anomaly effects. The polarized strage quark sea in the
polarized nucleon results from different renormalization of the flavor singlet
and octet currents and is in reasonable agreement with the experiment.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 01:56:27 GMT""}]","2009-09-25"
"hep-ph/9510238","Andre Likhoded","A.V.Berezhnoy, V.V.Kiselev, A.K.Likhoded","Photonic production of P-wave states of B_c mesons","7 pages, REVTEX file, 6 figures (uuencoded compressed tar-file)","Phys.Lett.B381:341-347,1996; Phys.Atom.Nucl.59:1959-1966,1996;
  Yad.Fiz.59N11:2032-2040,1996","10.1016/0370-2693(96)00562-X","IHEP 95-119, Protvino","hep-ph",,"  Numerical calculations for the production of $P$-wave levels of $B_c$
quarkonium in $\gamma\gamma$ collisions are performed in the leading
$O(\alpha_s^2\alpha_{em}^2)$ order of perturbation theory. The total
cross-section of $P$-wave state production is about 10 \% of that for the
$S$-wave levels. The contribution of fragmentation component ($6+6$ diagrams)
is low, and the basic contribution is determined by the recombination mechanism
($8$ Feynman diagrams). The gauge invariant term of the $\bar b\to B_c$
fragmentation ($6$ diagrams) quite accurately reproduces the result of the
fragmentation model, whereas there is a strong deviation of the $c\to B_c$
fragmentation term from the predictions of the fragmentation model.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 11:32:12 GMT""}]","2011-01-27"
"hep-ph/9510239","Chung-Yi Wu","Chung-Yi Wu (National Cheng Kung University)","Structural Aspects of the Proton in the Chiral Quark Model","10 pages, LaTeX","Mod.Phys.Lett. A12 (1997) 1145-1152","10.1142/S0217732397001175","NCKU-HEP/95-05","hep-ph",,"  We calculate with chiral symmetry the parton contents of the proton based on
a two-component wave function. The calculation results give significant
sea-quark contents and, especially, the intrinsic gluon polarization produced
at a more fundamental level.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 14:50:56 GMT""},{""version"":""v2"",""created"":""Sat, 7 Oct 1995 05:14:34 GMT""}]","2009-10-28"
"hep-ph/9510242","H. S. Song","J. S. Shim, S. W. Baek and H. S. Song","Polarization effects in electroweak vector boson productions","17 pages, figures are included , RevTex","J.KoreanPhys.Soc.29:293-299,1996",,"SNUTP 95-074","hep-ph",,"  The electroweak production processes of vector bosons, $e^+ e^- \rightarrow Z
\gamma$, $\gamma e \rightarrow Ze$, and $\gamma e \rightarrow W \nu$ are
considered simultaneousely and in the Standard model the covariant polarization
density matrices of vector bosons for these processes are obtained explicitly
from one of the processes, $\gamma e \rightarrow Z e$. The effect of the photon
polarization as well as the vector meson polarization is considered and some
special cases are discussed.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 11:06:48 GMT""}]","2008-11-26"
"hep-ph/9510243","Thomas Gehrmann","T. Gehrmann and W.J. Stirling","Present Status of Polarized Parton Distributions","Talk given by TG at the Workshop on the Prospects of Spin Physics at
  HERA, DESY-Zeuthen, August 28-31, 1995, 9 pages, LATeX, 4 figures availabe as
  .uu-file",,,"DTP/95/78","hep-ph",,"  A review of the present knowledge on polarized parton distributions is given.
The effects of perturbative evolution on these distributions are discussed
qualitatively and a comparison of various recent parametrizations is made.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 15:07:08 GMT""}]","2007-05-23"
"hep-ph/9510244","Sergio Lupia","Sergio Lupia (Max-Planck-Institut fuer Physik, Muenchen)","Moment analysis of energy spectra and the effect of running coupling","12 pages, LaTeX, uses epsfig.sty, 3 figures appended as uuencoded
  Z-compressed tarred PS-files, to be published in Proc. of XXVth International
  Symposium on Multiparticle Dynamics, Stara Lesna, Slovakia, September 12-16,
  1995",,,"MPI-PhT/95-94","hep-ph",,"  Single particle inclusive energy spectra in $e^+e^-$ annihilation are
analyzed in terms of moments. By assuming Local Parton Hadron Duality (LPHD),
experimental data in a wide c.m. energy range from 3 GeV up to LEP energy are
compared to the theoretical predictions of Modified Leading Log Approximation
(MLLA) of QCD with and without taking into account the running of $\alpha_s$.
MLLA with running coupling (Limiting Spectrum) is found to reproduce
experimental results very well, while the model with fixed coupling is
inconsistent with data. Rescaled cumulants are shown to be sensitive to the
running of $\alpha_s$ in the asymptotic regime, while the Lorentz-invariant
distribution, $E dn/d^3p$, points out this effect at very small energy $E$ of
few hundreds MeV. These results give a direct evidence of the running of the
QCD coupling in inclusive energy spectra and lend further support to the LPHD
picture.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 15:37:20 GMT""}]","2007-05-23"
"hep-ph/9510245","Harry Blundell","Harry G. Blundell, Stephen Godfrey and Brian Phelps (Ottawa-Carleton
  Institute for Physics)","Properties of the Strange Axial Mesons in the Relativized Quark Model","Revised version to be published in Phys. Rev. D. Minor changes. Latex
  file uses revtex version 3 and epsfig, 4 postcript figures are attached. The
  full postcript version with embedded figures is available at
  ftp://ftp.physics.carleton.ca/pub/theory/godfrey/ocipc9512.ps.Z","Phys.Rev. D53 (1996) 3712-3722","10.1103/PhysRevD.53.3712","OCIP/C 95-12","hep-ph",,"  We studied properties of the strange axial mesons in the relativized quark
model. We calculated the $K_1$ decay constant in the quark model and showed how
it can be used to extract the $K_1 (^3P_1) - K_1 (^1P_1)$ mixing angle
($\theta_K$) from the weak decay $\tau \to K_1 \nu_\tau$. The ratio $BR(\tau
\to \nu_\tau K_1 (1270))/BR(\tau\to \nu_\tau K_1(1400))$ is the most sensitive
measurement and also the most reliable since the largest of the theoretical
uncertainties factor out. However the current bounds extracted from the
TPC/Two-Gamma collaboration measurements are rather weak: we typically obtain
$-30^o \lesssim \theta_K \lesssim 50^o$ at 68\% C.L. We also calculated the
strong OZI-allowed decays in the pseudoscalar emission model and the flux-tube
breaking model and extracted a $^3P_1 - ^1P_1$ mixing angle of $\theta_K \simeq
45^o$. Our analysis also indicates that the heavy quark limit does not give a
good description of the strange mesons.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 15:56:34 GMT""},{""version"":""v2"",""created"":""Tue, 27 Feb 1996 20:33:57 GMT""}]","2009-10-28"
"hep-th/9510023",,"Cesar Gomez (Instituto de Matematicas y Fisica Fundamental, CSIC) and
  Rafael Hernandez (Departamento de Fisica Teorica, UAM)","Electric-Magnetic Duality and Effective Field Theories","45 pages. LaTex file",,,"FTUAM 95/36","hep-th",,"  Lectures given by C.G. in the Advanced School on Effective Theories
(Almu\~{n}ecar, Granada, 1995) on duality in N=2 supersymmetric Yang-Mills, and
the coupling to gravity.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 16:48:06 GMT""}]","2007-05-23"
"hep-th/9510024","H. S. Song","J. S. Shim and H. S. Song","Factorization in processes of graviton scattering off electron for Z and
  W productions","9 pages, figures are included , RevTex","Phys.Rev.D53:1005-1008,1996","10.1103/PhysRevD.53.1005","SNUTP 95-087","hep-th",,"  The study of factorization in linearized gravity is extended to the graviton
scattering processes with an electron for the massive vector boson productions
such as $g e \rightarrow Z e$ and $g e \rightarrow W \nu_e$. It is shown that
every transition amplitude is completely factorized due to gravitational gauge
invariance and Lorentz invariance. Also the explicit values of vector boson
polarizations are obtained.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 11:09:07 GMT""}]","2011-09-09"
"hep-th/9510025",,"Marcello Ciafaloni","k-Factorization","Latex file, 9 pages",,,"CERN Preprint 95-237","hep-th",,"  I review the k-factorization method to combine the high-energy behaviour in
QCD with the renormalization group. Resummation formulas for coefficient
functions and anomalous dimensions are derived, and their applications to
small-x scaling violations in structure functions are briefly discussed.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 14:26:39 GMT""}]","2007-05-23"
"hep-th/9510026","T. Jacobson","Theodore A. Jacobson","Introduction to Black Hole Microscopy","Latex file, 26 pages; 12 figures included using psfig",,,"Utrecht preprint THU-95/23","hep-th gr-qc",,"  The aim of these notes is both to review the standard understanding of the
Hawking effect, and to discuss the modifications to this understanding that
might be required by new physics at short distances. The fundamentals of the
Unruh effect are reviewed, and then the Hawking effect is explained as a
``gravitational Unruh effect"", with particular attention to the
state-dependence of this picture. The order of magnitude of deviations from the
thermal spectrum of Hawking radiation is estimated under various hypotheses on
physics at short distances. The behavior of black hole radiation in a linear
model with altered short distance physics---the Unruh model---is discussed in
detail. [Based on lectures given at the First Mexican School on Gravitation and
Mathematical Physics, Guanajuato, December 1994.]
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 14:29:44 GMT""}]","2007-05-23"
"hep-th/9510027",,"G. Veneziano","String Cosmology: Basic Ideas and General Results","Latex file + 3 figures. Talk presented at the 3rd Colloque
  Cosmologie, Paris, 7-9 June 95",,,"CERN Preprint 95-254","hep-th",,"  After recalling a few basic concepts from cosmology and string theory, I will
outline the main ideas/assumptions underlying (our own group's approach to)
string cosmology and show how these lead to the definition of a two-parameter
family of ``minimal"" models. I will then briefly explain how to compute, in
terms of those parameters, the spectrum of scalar, tensor and electromagnetic
perturbations, and mention their most relevant physical consequences. More
details on the latter part of this talk can be found in Maurizio Gasperini's
contribution to these proceedings.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 14:49:52 GMT""}]","2007-05-23"
"hep-th/9510028","Ioannis Bakas","E. Alvarez, L. Alvarez-Gaume and I. Bakas","Supersymmetry and Dualities","19 pages, latex, no figures","Nucl.Phys.Proc.Suppl. 46 (1996) 16-29","10.1016/0920-5632(96)00003-5","CERN-TH/95-258, FTUAM/95-34","hep-th",,"  Duality transformations with respect to rotational isometries relate
supersymmetric with non-supersymmetric backgrounds in string theory. We find
that non-local world-sheet effects have to be taken into account in order to
restore supersymmetry at the string level. The underlying superconformal
algebra remains the same, but in this case T-duality relates local with
non-local realizations of the algebra in terms of parafermions. This is another
example where stringy effects resolve paradoxes of the effective field theory.
(Contribution to the proceedings of the Trieste conference on S-Duality and
Mirror Symmetry; to appear in Nucl Phys B Proc Suppl)
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 15:43:40 GMT""}]","2009-10-28"
"hep-th/9510029","Tom Anthony Kendall","Stephen W. Hawking","Virtual Black Holes","24p, LaTeX, 3 postscript figures included with epsf sent in a
  seperate uuencoded file","Phys.Rev. D53 (1996) 3099-3107","10.1103/PhysRevD.53.3099","DAMTP/R-95/50","hep-th gr-qc",,"  One would expect spacetime to have a foam-like structure on the Planck scale
with a very high topology. If spacetime is simply connected (which is assumed
in this paper), the non-trivial homology occurs in dimension two, and spacetime
can be regarded as being essentially the topological sum of $S^2\times S^2$ and
$K3$ bubbles. Comparison with the instantons for pair creation of black holes
shows that the $S^2\times S^2$ bubbles can be interpreted as closed loops of
virtual black holes. It is shown that scattering in such topological
fluctuations leads to loss of quantum coherence, or in other words, to a
superscattering matrix $\$ $ that does not factorise into an $S$ matrix and its
adjoint. This loss of quantum coherence is very small at low energies for
everything except scalar fields, leading to the prediction that we may never
observe the Higgs particle. Another possible observational consequence may be
that the $\theta $ angle of QCD is zero without having to invoke the
problematical existence of a light axion. The picture of virtual black holes
given here also suggests that macroscopic black holes will evaporate down to
the Planck size and then disappear in the sea of virtual black holes.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 15:09:21 GMT""}]","2009-10-28"
"nucl-th/9510012",,"V.R. Manfredi, M. Rosa-Clot, L. Salasnich, S. Taddei","Quantum Chaos in Vibrational Nuclei: the Green Function Approach","Latex, 17 pages, 6 figures (available upon request), to be published
  in Int. J. Mod. Phys. E","Int.J.Mod.Phys. E5 (1996) 521","10.1142/S0218301396000268",,"nucl-th",,"  We show that the collective vibrational model of atomic nuclei displays
quantum chaos. To avoid the problems related to the tunneling effects, a Green
function deterministic numerical method has been used to evaluate the energy
levels.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 09:26:38 GMT""}]","2015-06-26"
"nucl-th/9510013","Heenen P.-H.","P. Bonche, H. Flocard and P.-H. Heenen","Microscopic study of superdeformation in the A=150 mass region","13 pages, 14 figures","Nucl.Phys. A598 (1996) 169-186","10.1016/0375-9474(95)00491-2",,"nucl-th",,"  The cranked Hartree-Fock-Bogoliubov method presented in previous studies of
superdeformed bands in Hg and Pb isotopes is applied to the study of
superdeformed bands in Gd150, Dy152, Dy151 and Tb151. The same
density-dependent zero-range pairing interaction used in the A=190 mass region
leads to a similarly good agreement with the experimental data. In particular,
our results confirm the importance of a correct treatment of pairing
correlations in Gd150 to reproduce its experimental dynamical moment of
inertia. The quasi-particle spectra obtained for all the nuclei studied here
are compatible with the experimental results obtained for excited bands in this
mass region. The quality of our results opens the possibility of studying
microscopically very subtle phenomena like the properties of identical bands.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 10:45:05 GMT""}]","2009-10-28"
"patt-sol/9510001","Nandini Chatterji","Nandini Chatterjee and Neelima Gupte (Department of Physics,
  University of Pune, Pune, India)","Synchronisation in Coupled Sine Circle Maps","uuencoded, 1 rextex file 14 pages, 3 postscript figures",,"10.1103/PhysRevE.53.4457",,"patt-sol nlin.PS",,"  We study the spatially synchronized and temporally periodic solutions of a
1-d lattice of coupled sine circle maps. We carry out an analytic stability
analysis of this spatially synchronized and temporally periodic case and obtain
the stability matrix in a neat block diagonal form. We find spatially
synchronized behaviour over a substantial range of parameter space. We have
also extended the analysis to higher spatial periods with similar results.
Numerical simulations for various temporal periods of the synchronized
solution, reveal that the entire structure of the Arnold tongues and the
devil's staircase seen in the case of the single circle map can also be
observed for the synchronized coupled sine circle map lattice. Our formalism
should be useful in the study of spatially periodic behaviour in other coupled
map lattices.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 18:19:25 GMT""}]","2009-10-28"
"q-alg/9510007","Piotr Hajac","Piotr M. Hajac","The Einstein Action for Algebras of Matrix Valued Functions - Toy Models","9 pages, AMS-LaTeX, serious typesetting problems due to 2.09-2.e
  incompatibility removed, reference added",,"10.1063/1.531662",,"q-alg gr-qc math-ph math.MP math.QA",,"  Two toy models are considered within the framework of noncommutative
differential geometry. In the first one, the Einstein action of the Levi-Civita
connection is computed for the algebra of matrix valued functions on a torus.
It is shown that, assuming some constraints on the metric, this action splits
into a classical-like, a quantum-like and a mixed term. In the second model, an
analogue of the Palatini method of variation is applied to obtain critical
points of the Einstein action functional for $M\sb 4(R)$. It is pointed out
that a solution to the Palatini variational problem is not necessarily a
Levi-Civita connection. In this model, no additional assumptions regarding
metrics are made.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 02:42:54 GMT""},{""version"":""v2"",""created"":""Mon, 28 Sep 1998 17:07:43 GMT""}]","2009-10-28"
"q-alg/9510008","Louis Funar","Louis Funar (Institut Fourier, Grenoble, France)","Vassiliev invariants I: Braid groups and rational homotopy theory","expository paper, uuencoded PS file",,,"UJF 321","q-alg math.QA",,"  We get a detailed account of Vassiliev type invariants starting with Chen's
theory of iterated integrals and Malcev's completion of discrete groups. The
canonical injection of the group of pure braids into its completion is
identified with the universal Kontsevich-Vassiliev invariant.Further we discuss
the extension of this morphism to the whole braid group and the multiplication
law for the last one.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 13:37:26 GMT""}]","2008-02-03"
"q-alg/9510009","Bernhard Drabant","Yuri Bespalov and Bernhard Drabant","Hopf (Bi-)Modules and Crossed Modules in Braided Monoidal Categories","uuencoded compressed postscript file, 20 pages",,,"UVA-FWI-95-18","q-alg math.QA",,"  Hopf (bi-)modules and crossed modules over a bialgebra B in a braided
monoidal category C are considered. The (braided) monoidal equivalence of both
categories is proved provided B is a Hopf algebra (with invertible antipode).
Bialgebra projections and Hopf bimodule bialgebras over a Hopf algebra in C are
found to be isomorphic categories. As a consequence a generalization of the
Radford-Majid criterion for a braided Hopf algebra to be a cross product is
obtained. The results of this paper turn out to be fundamental for the
construction of (bicovariant) differential calculi on braided Hopf algebras.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 15:07:39 GMT""}]","2008-02-03"
"quant-ph/9510006","Vasilios G. Koures","Vasilios G. Koures (U. of Utah)","Solving the Coulomb Schrodinger Equation in d=2+1 via Sinc Collocation","17 pages, Latex, 6 uuencoded postscript figures (figs.uu)",,"10.1006/jcph.1996.0191","UTAH-IDR-CP-05","quant-ph chem-ph cond-mat hep-th",,"  We solve the non-relativistic Coulomb Shrodinger equation in d = 2+1 via sinc
collocation. We get excellent convergence using a generalized sinc basis set in
position space. Since convergence in position space could not be obtained with
more common numerical techniques, this result helps to corroborate the
conjecture that the use of a localized basis set within the context of light
cone quantization can yield much better convergence. All of the computations
presented here were performed on an IBM-compatible PC with an Intel 486DX2-66
microchip.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 17:08:14 GMT""}]","2015-06-26"
"quant-ph/9510007","Rainer Plaga","R.Plaga","Proposal for an experimental test of the many-worlds interpretation of
  quantum mechanics","17 pages, standard LaTex, no pictures, comments welcome, revised
  version corrects typing error in mixing time","Found.Phys.27:559,1997","10.1007/BF02550677",,"quant-ph",,"  The many-worlds interpretation of quantum mechanics predicts the formation of
distinct parallel worlds as a result of a quantum mechanical measurement.
Communication among these parallel worlds would experimentally rule out
alternatives to this interpretation. A procedure for ``interworld'' exchange of
information and energy, using only state of the art quantum optical equipment,
is described. A single ion is isolated from its environment in an ion trap.
Then a quantum mechanical measurement with two discrete outcomes is performed
on another system, resulting in the formation of two parallel worlds. Depending
on the outcome of this measurement the ion is excited from only one of the
parallel worlds before the ion decoheres through its interaction with the
environment. A detection of this excitation in the other parallel world is
direct evidence for the many-worlds interpretation. This method could have
important practical applications in physics and beyond.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 12:50:25 GMT""},{""version"":""v2"",""created"":""Mon, 9 Oct 1995 12:59:57 GMT""},{""version"":""v3"",""created"":""Fri, 10 Nov 1995 10:35:33 GMT""}]","2014-11-18"
