"alg-geom/9510005","Richard Wentworth","Georgios Daskalopoulos, and Richard Wentworth","On the Brill-Noether Problem for Vector Bundles","LaTeX 2e (amsart)",,,,"alg-geom math.AG",,"  On an arbitrary compact Riemann surface, necessary and sufficient conditions
are found for the existence of semistable vector bundles with slope between
zero and one and a prescribed number of linearly independent holomorphic
sections. Existence is achieved by minimizing the Yang-Mills-Higgs functional.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 01:15:47 GMT""}]","2008-02-03"
"gr-qc/9510008","Jong Hyun Kung","J.H. Kung","Strong Energy Condition in $R + R^2$ Gravity","Submitted to Phy. Rev. D.,15 pages, 2 figures, Latex file","Phys.Rev.D53:3017-3021,1996","10.1103/PhysRevD.53.3017",,"gr-qc",,"  In this paper, we study Raychaudhuri's equation in the background of $R +
\beta R^2$ gravity with a phenomenological matter ($\rho \propto a(t)^{-n}$).
We conclude that even though the Strong Energy Condition (S.E.C.) for
Einstein's gravity, which guarantees singularity, is $n\geq 2$ for $\rho
\propto a(t)^{-n}$, a perturbative analysis of Raychaudhuri's equation in the
background of $R + \beta R^2$ gravity reveals that the big bang singularity may
not be guaranteed for $n > 4$. We derive the following Strong Energy Conditions
for $R + \beta R^2$ ($\beta \not= 0$):
  1) For $k<0$ FRW metric, S.E.C. is ($0\leq n\leq 4$)
  i.e., $-\rho_n \leq p_n \leq {1\over 3}\rho_n$.
  2) For $k=0$ FRW metric, S.E.C. is ( $1\leq n\leq 4$)
  i.e., $-{2\over 3}\rho_n \leq p_n \leq {1\over 3}\rho_n$.
  3) For $k>0$ FRW metric, S.E.C. is ($2\leq n\leq 4$)
  i.e., $-{1\over 3}\rho_n \leq p_n \leq {1\over 3}\rho_n$.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 21:37:28 GMT""}]","2011-09-09"
"gr-qc/9510009","Alan Rendall","Alan D. Rendall","Solutions of the Einstein equations with matter","21 pages, contribution to proceedings of GR14 conference",,,,"gr-qc",,"  Recent results on solutions of the Einstein equations with matter are
surveyed and a number of open questions are stated. The first group of results
presented concern asymptotically flat spacetimes, both stationary and
dynamical. Then there is a discussion of solutions of the equations describing
matter in special relativity and Newtonian gravitational theory and their
relevance for general relativity. Next spatially compact solutions of the
Einstein-matter equations are presented. Finally some remarks are made on the
methods which have been used, and could be used in the future, to study
solutions of the Einstein equations with matter.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 09:37:42 GMT""}]","2007-05-23"
"hep-lat/9510008","Simon Catterall","S. Catterall","Lattice Quantum Gravity: Review and Recent Developments","12 pages, 8 figures",,"10.1016/0920-5632(96)00032-1",,"hep-lat",,"  We review the status of different approaches to lattice quantum gravity
indicating the successes and problems of each. Recent developments within the
dynamical triangulation formulation are then described. Plenary talk at LATTICE
95 July 11-15, Melbourne, Australia.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 23:04:48 GMT""}]","2009-10-28"
"hep-lat/9510009","Brian Gough","Brian Gough, Tetsuya Onogi, Jim Simone","Effects of Improvement: $f_\pi$ and $m_q$","4 pages, 2 postscript figures, uuencoded tar file, LaTeX, epsf.sty,
  Contribution to Lattice 95","Nucl.Phys.Proc.Suppl.47:333-336,1996","10.1016/0920-5632(96)00068-0","FNAL-CONF-95/284-T","hep-lat",,"  We present a study of the effects of improvement on light-quark physics using
the Fermilab formalism. The calculations were performed at three different
lattice spacings, with the SW action and traditional Wilson action (both
tadpole improved). We find that $O(a)$ effects for the decay constant $f_\pi$
and quark mass $m_q$ can be successfully removed using the tadpole-improved SW
action in the light-quark regime.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 23:11:04 GMT""}]","2009-03-09"
"hep-ph/9510223","Rudolph Hwa","I.M. Dremin and R. C. Hwa","Multiplicity Distributions of Squeezed Isospin States","17 pages, 6 figures sent upon request (hwa@oregon.uoregon.edu)","Phys.Rev.D53:1216-1223,1996","10.1103/PhysRevD.53.1216","OITS-578","hep-ph nucl-th",,"  Multiplicity distributions of neutral and charged particles arising from
squeezed coherent states are investigated. Projections onto global isospin
states are considered. We show how a small amount of squeezing can
significantly change the multiplicity distributions. The formalism is proposed
to describe the phenomenological properties of neutral and charged particles
anomalously produced in hadronic and nuclear collisions at very high energies.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 17:15:26 GMT""}]","2011-08-11"
"hep-ph/9510224","S. Pokorski","Stefan pokorski","Status of the Minimal Supersymmetric Standard Model","21 pages + 4 figures submitted as uencoded Z-compressed file created
  by csh script uufiles",,,"MPI -PhT/95-90","hep-ph",,"  Recent results in study of the Minimal Supersymmetric Standard Model as the
effective low energy theory give important hints for experimental search for
supersymmetry. Also, in the bottom-up approach to explore weak scale - GUT
scale connection, they constrain strongly physics at the GUT scale. Several
theoretical ideas about the GUT physics are in stunning agreement with the low
energy data.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 18:11:41 GMT""}]","2007-05-23"
"hep-ph/9510225","John Terning","John Terning (Boston University)","Naturally Light Scalars","12 pages, LaTeX","Phys.Rev.D53:2284-2287,1996","10.1103/PhysRevD.53.2284","BUHEP-95-28","hep-ph",,"  I argue that in certain chiral gauge theories composite scalars associated
with chiral symmetry breaking can be light (i.e. lighter than naive scaling
from QCD would suggest) without any fine-tuning. These scalars will be even
lighter in chiral gauge theories that produce chiral symmetry breaking without
confinement. I construct a model which demonstrates this last possibility.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 20:12:26 GMT""}]","2009-12-30"
"hep-ph/9510226","J. Gunion","J.F. Gunion (U.C. Davis)","Physics at a $\mu^+\mu^-$ Collider","4 pages, full uuencoded postscript file with inserted figures has
  been submitted, to appear in the Proceedings of the 1995 Brussells EPS
  meeting, full postscript file including figures also available via anonymous
  ftp at ftp://ucdhep.ucdavis.edu/gunion/ , get mupmum_eps.ps",,,"UCD-95-35","hep-ph",,"  A brief overview of the physics capabilities of a $\mu^+\mu^-$ collider is
given, with particular focus on special Higgs sector opportunities.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 02:53:05 GMT""}]","2007-05-23"
"hep-ph/9510227","Alexey A. Petrov","John F. Donoghue, Alexey A. Petrov (U Mass, Amherst)","Is $B \to X_s \gamma$ equal to $b \to s \gamma$ ? Spectator
  contributions to rare inclusive B decays","17 pages, 3 Postscript figures, uses epsf.sty","Phys.Rev. D53 (1996) 3664-3671","10.1103/PhysRevD.53.3664","UMHEP-423","hep-ph",,"  In $B \to X_s \gamma $ there are perturbative $QCD$ corrections at order
$\alpha_s$ not only to the single quark line process $ b \to s \gamma$ but also
coming from a set of diagrams where the weak interaction vertex involves a
gluon which interacts with the spectator quark in the B hadron. We discuss the
impact of the full set of these diagrams. These can influence the decay rate
and also the line shape of the photon spectrum as they favor a softer photon
energy than does the pure spectator decay $b \to s \gamma$. A subset of these
diagrams generate differences in the decay rates for charged and neutral B's ,
$B^+ \to X_s \gamma$ vs. $B^0 \to X_s \gamma$ which can be searched for
experimentally, although our calculation indicates that the effect will be hard
to observe. Bound state effects turn out to be required to give rise to
spectator corrections to the decay rate at order $\alpha_s$. The resulting
contribution to the total rate is rather small (of about $5 \% $ ), although
the effect is somewhat larger on portions of the photon spectrum.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 02:22:35 GMT""}]","2009-10-28"
"hep-ph/9510228","Noriaki Kitazawa","N.Kitazawa and T.Yanagida","A viable one-family technicolor model","14 pages. revtex. Five figures are added as a uuencoded Z-compressed
  .tar file created by csh script uufiles","Phys.Lett. B383 (1996) 78-86","10.1016/0370-2693(96)00705-8","TMUP-HEL-9505, UT-720","hep-ph",,"  We construct a one-family technicolor model which is consistent with the
precision experiments on the electroweak interaction. The Majorana mass of the
right-handed techni-neutrino is introduced and the techni-$U(1)_{B-L}$ symmetry
is gauged to obtain the correct breaking of the electroweak symmetry. The
tree-level kinetic mixing between the techni-$U(1)_{B-L}$ and $U(1)_Y$ gauge
bosons plays an important role for having the consistent value of the $S$
parameter.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 03:20:41 GMT""}]","2009-10-28"
"hep-ph/9510229","""M. R."" Pennington","M.R. Pennington","Hadron '95 --- Summary: Part I","23 pages, latex, 1 PS-figure included, other figures can be obtained
  from the Author",,,"DTP-95/86","hep-ph",,"  Part I of this summary is concerned with selected results on natural parity
states presented at this conference, in particular the glueball candidates the
$f_0(1510)$ and $\xi(2230)$. Unnatural parity and exotic states are discussed
by Suh-Urk Chung
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 08:59:17 GMT""}]","2007-05-23"
"hep-ph/9510230",,"A. Jakovac, A. Patkos, P. Petreczky","Controlling a Non-Polynomial Reduced Finite Temperature Action in the
  U(1) Higgs Model","12 pages, LaTeX, 1 figure appended","Phys.Lett.B367:283-289,1996","10.1016/0370-2693(95)01387-3",,"hep-ph",,"  An effective theory is constructed for the scalar electrodynamics via 2-loop
integration over all non-static fields and the screened electric component of
the vector-potential. Non-polynomial terms of the action are preserved and
included into the 2-loop calculation of the effective potential of the reduced
theory. Also the inclusion of some non-local terms is shown to be important.
The effect of non-polynomial operators on the symmetry restoring phase
transition is quantitatively compared to results from a local,
superrenormalisable approximate effective theory.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 12:29:12 GMT""}]","2014-11-17"
"hep-ph/9510231",,"Mauro Anselmino (University and INFN, Torino) and Francesco Murgia
  (INFN, Cagliari)","$\chi_{c2} \to \rho\rho$ and the $rho$ polarization in massless
  perturbative QCD: how to test the distribution amplitudes","9 pages + 4 figures, REVTEX 3.0, figures appended as uuencoded,
  compressed postscript file","Phys.Rev.D53:5314-5317,1996","10.1103/PhysRevD.53.5314","INFNCA-TH9520, DFTT 58/95","hep-ph",,"  We compute the helicity density matrix of $\rho$ vector mesons produced in
the two-body decays of polarized $\chi_{c2}$'s in the framework of massless
perturbative QCD. The $\chi_{c2}$'s are either exclusively or inclusively
produced in $p \, \bar p$ or $p \, p$ interactions, via quark-antiquark
annihilation or gluon fusion. Our results show unambiguous significant
differences depending on the choice of the $\rho$ distribution amplitudes and
allow to discriminate between different proposed models.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 14:53:25 GMT""}]","2011-07-19"
"hep-th/9510016","M. B. Green","Michael B. Green","Boundary Effects in String Theory","Talk presented at the Strings '95 Conference, USC (March 1995).
  Latex, 10 pages",,,"CERN-TH/95-252","hep-th",,"  Some of the properties of string theory defined on world-sheets with
boundaries are reviewed. Particular emphasis is put on the possibility of
identifying string configurations (\lq D-instantons' and \lq D-branes') that
give rise to stringy non-perturbative effects.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 17:09:39 GMT""}]","2007-05-23"
"hep-th/9510017","Joe Polchinski","Joseph Polchinski","Dirichlet-Branes and Ramond-Ramond Charges","LaTeX, 10 pages. Minor typos corrected in eq. 8, 9, 13. References
  added to [11]","Phys.Rev.Lett.75:4724-4727,1995","10.1103/PhysRevLett.75.4724","NSF-ITP-95-122","hep-th",,"  We show that Dirichlet-branes, extended objects defined by mixed
Dirichlet-Neumann boundary conditions in string theory, break half of the
supersymmetries of the type~II superstring and carry a complete set of electric
and magnetic Ramond-Ramond charges. We also find that the product of the
electric and magnetic charges is a single Dirac unit, and that the quantum of
charge takes the value required by string duality. This is strong evidence that
the Dirchlet-branes are intrinsic to type II string theory and are the
Ramond-Ramond sources required by string duality. We also note the existence of
a previously overlooked 9-form potential in the IIa string, which gives rise to
an effective cosmological constant of undetermined magnitude.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 03:05:55 GMT""},{""version"":""v2"",""created"":""Mon, 9 Oct 1995 03:57:58 GMT""},{""version"":""v3"",""created"":""Wed, 8 Nov 1995 01:12:39 GMT""}]","2009-07-09"
"hep-th/9510018",,"Izawa K.-I","On Effective Superpotentials in Supersymmetric Gauge Theories","6 pages, phyzzx","Prog.Theor.Phys. 95 (1996) 199-201","10.1143/PTP.95.199","UT-725","hep-th",,"  Effective superpotentials are considered which include glueball chiral
superfields among their arguments in supersymmetric gauge theories. It is seen
that the accommodation of glueball superfields is suitable for their complete
determination.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 03:38:22 GMT""}]","2009-10-28"
"hep-th/9510019","Michael Trunk","Michael Trunk","The five-dimensional Kepler Problem as an SU(2) Gauge System: Algebraic
  Constraint Quantization","29 pages, Latex, no figures","Int.J.Mod.Phys. A11 (1996) 2329-2356","10.1142/S0217751X96001176",,"hep-th gr-qc",,"  Starting from the structural similarity between the quantum theory of gauge
systems and that of the Kepler problem, an SU(2) gauge description of the
five-dimensional Kepler problem is given. This non-abelian gauge system is used
as a testing ground for the application of an algebraic constraint quantization
scheme which can be formulated entirely in terms of observable quantities. For
the quantum mechanical reduction only the quadratic Casimir of the constraint
algebra, interpreted as an observable, is needed.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 10:16:44 GMT""}]","2015-06-26"
"hep-th/9510020",,"J.S.Dowker","Functional determinants on Moebius corners","11p,PlainTeX",,"10.1007/978-3-663-01204-7_23","MUTP/95/17","hep-th",,"  A general method of finding functional determinants is presented that depends
on the asymptotic behaviour of the resolvent. Its application to the case of a
bounded trihedral corner for which the eigenvalues are known only implicitly is
outlined and a generalisation of Barnes' product form of multiple gamma
functions is given
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 10:38:05 GMT""}]","2022-04-13"
"hep-th/9510021","Jan Willem v. Holten","J.W. van Holten","D = 1 Supergravity and Spinning Particles","18 pages, a4, no figures, references added",,"10.1142/9789812830425_0010","NIKHEF/95-055","hep-th",,"  In this paper I review the multiplet calculus of $N = 1$, $D = 1$ local
supersymmetry with applications to the construction of models for spinning
particles in background fields, and models with space-time supersymmetry. New
features include a non-linear realization of the local supersymmetry algebra
and the coupling to anti-symmetric tensor fields of both odd and even rank. The
non-linear realization allows the construction of a $D = 1$
cosmological-constant term, which provides a mass term in the equations of
motion.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 13:17:55 GMT""},{""version"":""v2"",""created"":""Thu, 30 Nov 1995 13:18:24 GMT""}]","2016-11-03"
"hep-th/9510022","Ingo Gaida","Ingo Gaida and Dieter Luest","On-Mass-Shell Gaugino Condensation in Z_{N} Orbifold Compactifications","Standard-Latex","Phys.Lett.B367:104-112,1996","10.1016/0370-2693(95)01423-3","HUB-EP-95/19","hep-th",,"  We discuss non-perturbative aspects of string effective field theories with
N=1 supersymmetry in four dimensions. By the use of a scalar potential, which
is on-shell invariant under the supersymmetric duality of the dilaton, we study
gaugino condensation in (2,2) symmetric Z_{N} orbifold compactifications. The
duality under consideration relates a two-form antisymmetric tensor to a
pseudoscalar. We show, that our approach is independent of the
superfield-representation of the dilaton and preserves the U(1)_{PQ}
Peccei-Quinn symmetry exactly.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 15:54:25 GMT""}]","2009-10-07"
"hep-th/9510032","L. Sowcire","L. Sow Cir\'e and T. T. Truong","Quantum Group Approach to a soluble vertex model with generalized
  ice-rule","LaTeX files. 19 pages. Figures included using LaTeX format. Uses
  uufiles","Int. J. Mod. Phys. A11 (1996) 1747","10.1142/S0217751X96000936","LMPM/95-15","hep-th",,"  Using the representation of the quantum group $SL_q$(2) by the Weyl
ope\-ra\-tors of the canonical commutation relations in quantum mechanics, we
construct and solve a new vertex model on a square lattice. Random variables on
horizontal bonds are Ising variables, and those on the vertical bonds take half
positive integer values. The vertices is subjected to a genera\-li\-zed form of
the so-called ``ice-rule'', its property are studied in details and its free
energy calculated with the method of quantum inverse scattering. Remarkably in
analogy with the usual six-vertex model, there exists a ``Free-Fermion'' limit
with a novel rich operator structure. The existing algebraic structure suggests
a possible connection with a lattice neutral plasma of charges, via the
Fermion-Boson correspondence.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 15:18:54 GMT""}]","2015-06-26"
"nucl-th/9510010","Uzikov U. N.","L.A. Kondratyuk, Yu.N. Uzikov (JINR, Dubna, Russia)","Two step mechanism of $\eta , \eta', \omega , \phi $ meson prodction in
  $pD \to ^3He $ reaction$","10 pages, 6 figures; Ref.[5] changed","Phys.At.Nucl. 60, N3 (1997) 468-477",,"E4-95-389","nucl-th",,"  The differential cross sections of $pD\to ^3He X$ reactions, where $X=\eta, \
\eta'\ ,\omega, \ \phi $, are calculated on the basis of a two-step mechanism
involving the subprocesses $pp\to d\pi ^+$ and $\pi^+n\to Xp $. It is shown
that this model describes well the form of energy dependence of available
experimental cross sections at the final c.m.s. momentum $p^*$=0.4-1$ GeV/c$
for the $\eta $ and at $p^*=0-0.5$ GeV/c for the $\omega $ meson as well as the
ratios $R(\eta'/\eta) $ and $R(\phi/\omega)$. The absolute value of the cross
section is underestimated by an overall normalization factor of about 3 for
$\eta, \ \eta '$ and by nearly one order of magnitude for $\omega$ and $\phi$.
The spin-spin correlations are predicted for the reaction ${\vec D}{\vec p}\to
^3He X$ in the forward-backward approximations for the elementary amplitudes.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 16:27:27 GMT""},{""version"":""v2"",""created"":""Thu, 5 Oct 1995 10:39:09 GMT""},{""version"":""v3"",""created"":""Fri, 6 Oct 1995 08:11:10 GMT""}]","2008-02-03"
"nucl-th/9510011","Benjamin Svetitsky","G. Kalbermann, J. M. Eisenberg, and B. Svetitsky","Hot nuclear matter with dilatons","10 pages, LaTeX with equation.sty (optional) and epsfig.sty, 11
  figures packed with uufiles. Final, published version (small changes from
  original preprint)","Nucl.Phys. A600 (1996) 436-444","10.1016/0375-9474(96)00015-2","TAUP-2294-95","nucl-th hep-ph",,"  We study hot nuclear matter in a model based on nucleon interactions deriving
from the exchange of scalar and vector mesons. The main new feature of our work
is the treatment of the scale breaking of quantum chromodynamics through the
introduction of a dilaton field. Although the dilaton effects are quite small
quantitatively, they affect the high-temperature phase transition appreciably.
We find that inclusion of the dilaton leads to a metastable high-density state
at zero pressure, similar to that found by Glendenning who considered instead
the admixture of higher baryon resonances.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 13:34:42 GMT""},{""version"":""v2"",""created"":""Mon, 10 Jun 1996 16:31:08 GMT""}]","2009-10-28"
"q-alg/9510006",,"Toshiki Nakashima","Crystallized Peter-Weyl type decomposition for level 0 part of modified
  quantum algebra $\widetilde U_q(\widehat{sl_2})_0$","32 pages, LaTex. Some parts in section 4 and 5 are corrected or
  improved",,,,"q-alg math.QA",,"  We shall give some criteria for the existence of the Peter-Weyl type
decomposition for modified quantum algebra, which is motivated by the fact that
modified quantum algebra has commutative two crystal structures. We shall apply
the criteria to the crystal base of the level 0 part of the modified quantum
affine algebra $\widetilde U_q(\widehat{sl_2})_0$ and give more precise
description of Peter-Weyl type decomposition.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 21:58:54 GMT""},{""version"":""v2"",""created"":""Wed, 22 Nov 1995 06:13:21 GMT""}]","2008-02-03"
"quant-ph/9510003",,"N.E. Mavromatos and D.V. Nanopoulos","On a possible connection of non-critical strings to certain aspects of
  quantum brain function","Invited talk by D.V. Nanopoulos at the `four-seas conference',
  Trieste (Italy), 25 June-1 July 1995; latex file, 9 pages, one macro:
  4seas95.sty, available from archives",,,"CPT-TAMU-38-95, ACT-13-95","quant-ph hep-th",,"  We review certain aspects of brain function which could be associated with
non-critical (Liouville) string theory. In particular we simulate the physics
of brain microtubules (MT) by using a (completely integrable) non-critical
string, we discuss the collapse of the wave function as a result of quantum
gravity effects due to abrupt conformational changes of the MT protein dimers,
and we propose a new mechanism for memory coding.
","[{""version"":""v1"",""created"":""Wed, 4 Oct 1995 23:32:29 GMT""}]","2007-05-23"
"quant-ph/9510004","Jun Liu","J\`un L\'iu","The Real Significance of the Electromagnetic Potentials","30kb, 11 pages RevTex",,,,"quant-ph",,"  The importance of the potential is revealed in a newly discovered effect of
the potential. This paper explore the same issue introduced in quant-ph/9506038
from several different aspects including electron optics and relativity. Some
people fail to recognize this effect due to a wrong application of gauge
invariance.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 08:30:27 GMT""}]","2016-08-15"
"quant-ph/9510005",,"Karl Svozil","Quantum algorithmic information theory","latex, amsfonts; series of lectures given at the summer school
  ""Chaitin Complexity and Applications"", Mangalia, June 27th - July 6th, 1995,
  Mangalia, Romania",,,,"quant-ph",,"  The agenda of quantum algorithmic information theory, ordered `top-down,' is
the quantum halting amplitude, followed by the quantum algorithmic information
content, which in turn requires the theory of quantum computation. The
fundamental atoms processed by quantum computation are the quantum bits which
are dealt with in quantum information theory. The theory of quantum computation
will be based upon a model of universal quantum computer whose elementary unit
is a two-port interferometer capable of arbitrary $U(2)$ transformations. Basic
to all these considerations is quantum theory, in particular Hilbert space
quantum mechanics.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 12:09:46 GMT""}]","2007-05-23"
