"alg-geom/9510013","Dr. Steven Duplij Physik","Steven Duplij","Second N=1 Superanalog of Complex Structure","9 pages, Standard LaTeX","J. Math. Phys. v.38 (1997) 1035-1040","10.1063/1.531882","KL-TH-95/23","alg-geom hep-th math.AG",,"  We found another N=1 odd superanalog of complex structure (the even one is
widely used in the theory of super Riemann surfaces). New N=1
superconformal-like transformations are similar to anti-holomorphic ones of
nonsupersymmetric complex function theory. They are dual to the ordinary
superconformal transformations subject to the Berezinian addition formula
presented, noninvertible, highly degenerated and twist parity of the tangent
space in the standard basis. They also lead to the ''mixed cocycle condition''
which can be used in building noninvertible objects analogous to super Riemann
surfaces. A new parametrization for the superconformal group is presented which
allows us to extend it to a semigroup and to unify the description of old and
new transformations.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 11:05:00 GMT""}]","2009-10-28"
"hep-ph/9510341","Carlos Wagner","C.E.M. Wagner","Physics at LEP and Yukawa Coupling Unification","9 pages, Latex, talk presented at the Conference SUSY95, Palaiseau,
  France, May 1995, to appear in the Proceedings",,,"CERN-TH/95-261","hep-ph",,"  We discuss the impact of the recent precision measurements at LEP on the
minimal supersymmetric standard model. We show that the values of $\tan\beta$
necessary to induce large positive corrections to $R_b$ are the same as the
ones preferred by the unification of the bottom and $\tau$ Yukawa couplings in
the MSSM for the current measured value of $M_t$. We discuss the relevance of
the preferred parameter space for the Higgs and sparticle searches at LEP2.
Remarkably, it follows that the LEP measurements can provide information about
the structure of soft supersymmetry breaking parameters at $M_{GUT}$. Finally,
we briefly discuss the properties of a supersymmetric model with four
generations, for which the fit to $R_b$ naturally improves with respect to the
one in the Standard Model.
","[{""version"":""v1"",""created"":""Wed, 18 Oct 1995 20:02:22 GMT""}]","2007-05-23"
"hep-ph/9510342","Matt Strassler","M.J. Strassler (Rutgers University)","Generating a Fermion Mass Hierarchy in a Composite Supersymmetric
  Standard Model","14 pages, uses harvmac","Phys.Lett. B376 (1996) 119-126","10.1016/0370-2693(96)00243-2","RU-95-69","hep-ph hep-th",,"  A mechanism is suggested by which the dynamics of confinement could be
responsible for the fermion mass matrix. In this approach the large top quark
Yukawa coupling is generated naturally during confinement, while those of the
other quarks and leptons stem from non-renormalizable couplings at the Planck
scale and are suppressed. Below the confinement scale(s) the effective theory
is minimal supersymmetric $SU(5)$ or the supersymmetric standard model.
Particles in the $\bar 5$ representations of $SU(5)$ are fundamental while
those in the $10$ and $5$ are composite. The standard model gauge group is
weakly coupled and predictions of unification can be preserved. A hierarchy in
confinement scales helps generate a hierarchical spectrum of quark and lepton
masses and ensures the Kobayashi-Maskawa matrix is nearly diagonal. However,
the most natural outcome is that the strange quark is heavier than the charm
quark; additional structure is required to evade this conclusion. No attempt
has been made to address the issues of $SU(5)$ breaking, SUSY breaking,
doublet/triplet splitting or the $\mu$ parameter. While the models presented
here are neither elegant nor complete, they are remarkable in that they can be
analyzed without uncontrollable dynamical assumptions.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 04:29:55 GMT""}]","2009-10-28"
"hep-ph/9510343","Petr G. Silvestrov","S.V.Faleev, P.G.Silvestrov","The Status of Renormalon","13 pages, Latex, 7 Postscript figures",,,"BUDKERINP-95-86","hep-ph hep-th",,"  It is shown that the series of renormalon--type graphs, which consist in the
chain of insertions to one soft(hard) gluon(photon) line is in fact ill
defined. Each new type of insertions, which appears in the higher orders of
perturbation theory, generates the correction to renormalon of the order of
$\sim 1$. However, this series of the corrections to the asymptotics although
have no small parameter but hopefully is not the asymptotic one. The
consideration based on the use of the renormalization group equation for
effective charge is supported by the direct diagrammatic picture.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 07:05:17 GMT""},{""version"":""v2"",""created"":""Wed, 15 Nov 1995 10:33:21 GMT""}]","2008-02-03"
"hep-ph/9510344",,"Barry R. Holstein","Chiral Perturbation Theory: a Primer","42 pages, standard Latex file, lectures delivered at National Summer
  School in Nuclear Physics, June 1995",,,,"hep-ph nucl-th",,"  Recently methods have been developed which exploit the chiral symmetry of QCD
in order to make rigorous contact with low energy particle physics
phenomenology. In these lectures we present a pedagogical introduction to these
techniques.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 13:22:54 GMT""}]","2009-09-25"
"hep-ph/9510345",,"J. Kwiecinski","Summary of the Theory Part of the International Conference on Elastic
  and Diffractive Scattering","10 pages, LATEX; ""Frontiers in Strong Interactions"" (VIth Blois
  Workshop), Chateau de Blois, France, June 20 -24, 1995",,,"INP 1700/PH","hep-ph",,"  The theory part of the conference is summarized with certain emphasis on the
results concerning the pomeron in soft and hard processes.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 14:45:00 GMT""}]","2007-05-23"
"hep-ph/9510346",,"G. Altarelli, S. Petrarca, F. Rapuano","The Pion Structure Function in a Constituent Model","9 pages, 3 figures","Phys.Lett. B373 (1996) 200-206","10.1016/0370-2693(96)00131-1","CERN-TH/95-273","hep-ph nucl-th",,"  Using the recent relatively precise experimental results on the pion
structure function, obtained from Drell--Yan processes, we quantitatively test
an old model where the structure function of any hadron is determined by that
of its constituent quarks. In this model the pion structure function can be
predicted from the known nucleon structure function. We find that the data
support the model, at least as a good first approximation.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 15:03:34 GMT""}]","2009-10-28"
"hep-th/9510131","Anjan Kundu","Anjan Kundu","Exact Bethe ansatz solution of nonultralocal quantum mKdV model","12 pages, latex, no figures","Mod.Phys.Lett. A10 (1995) 2955-2966","10.1142/S0217732395003094","SINP-TNP/95-15","hep-th math.QA nlin.SI q-alg solv-int",,"  A lattice regularized Lax operator for the nonultralocal modified Korteweg de
Vries (mKdV) equation is proposed at the quantum level with the basic operators
satisfying a $q$-deformed braided algebra. Finding further the associated
quantum $R$ and $Z$-matrices the exact integrability of the model is proved
through the braided quantum Yang--Baxter equation, a suitably generalized
equation for the nonultralocal models. Using the algebraic Bethe ansatz the
eigenvalue problem of the quantum mKdV model is exactly solved and its
connection with the spin-$\ha$ XXZ chain is established, facilitating the
investigation of the corresponding conformal properties.
","[{""version"":""v1"",""created"":""Wed, 18 Oct 1995 23:53:00 GMT""}]","2009-10-28"
"hep-th/9510134","Juan Maldacena","Curtis G. Callan, Jr., Juan M. Maldacena and Amanda W. Peet (Princeton
  University)","Extremal Black Holes As Fundamental Strings","38 pages, 1 encapsulated postscript figure, uses harvmac.tex and
  epsf.tex","Nucl.Phys. B475 (1996) 645-678","10.1016/0550-3213(96)00315-X","PUPT-1565","hep-th",,"  We show that polarization dependent string-string scattering provides new
evidence for the identification of the Dabholkar-Harvey (DH) string solution
with the heterotic string itself. First, we construct excited versions of the
DH solution which carry arbitrary left-moving waves yet are annihilated by half
the supersymmetries. These solutions correspond in a natural way to
Bogomolny-bound-saturating excitations of the ground state of the heterotic
string. When the excited string solutions are compactified to four dimensions,
they reduce to Sen's family of extremal black hole solutions of the toroidally
compactified heterotic string. We then study the large impact parameter
scattering of two such string solutions. We develop methods which go beyond the
metric on moduli space approximation and allow us to read off the subleading
polarization dependent scattering amplitudes. We find perfect agreement with
heterotic string tree amplitude predictions for the scattering of corresponding
string states. Taken together, these results clearly identify the string states
responsible for Sen's extremal black hole entropy. We end with a brief
discussion of implications for the black hole information problem.
","[{""version"":""v1"",""created"":""Wed, 18 Oct 1995 16:26:15 GMT""}]","2012-08-27"
"hep-th/9510135","Edward Witten","Edward Witten","Bound States Of Strings And $p$-Branes","25 pages, harvmac. Added references","Nucl.Phys.B460:335-350,1996","10.1016/0550-3213(95)00610-9",,"hep-th",,"  The recent discovery of an explicit conformal field theory description of
Type II $p$-branes makes it possible to investigate the existence of bound
states of such objects. In particular, it is possible with reasonable precision
to verify the prediction that the Type IIB superstring in ten dimensions has a
family of soliton and bound state strings permuted by $SL(2,{\bf Z})$. The
space-time coordinates enter tantalizingly in the formalism as non-commuting
matrices.
","[{""version"":""v1"",""created"":""Wed, 18 Oct 1995 17:49:12 GMT""},{""version"":""v2"",""created"":""Mon, 23 Oct 1995 13:40:43 GMT""}]","2010-04-07"
"hep-th/9510136","Victor Rivelles","Victor O. Rivelles","The Several Guises of the BRST Symmetry","3 pages, revtex","Phys. Rev. D 53, 3247 (1996)","10.1103/PhysRevD.53.3247","IFUSP-P/1183","hep-th",,"  We present several forms in which the BRST transformations of QCD in
covariant gauges can be cast. They can be non-local and even not manifestly
covariant. These transformations may be obtained in the path integral formalism
by non standard integrations in the ghost sector or by performing changes of
ghost variables which leave the action and the path integral measure invariant.
For different changes of ghost variables in the BRST and anti-BRST
transformations these two transformations no longer anticommute.
","[{""version"":""v1"",""created"":""Wed, 18 Oct 1995 18:56:38 GMT""}]","2016-08-24"
"hep-th/9510138","Mans Henningson","M. Henningson","Discontinuous BPS spectra in $N = 2$ gauge theory","10 pages, uses harvmac","Nucl.Phys. B461 (1996) 101-108","10.1016/0550-3213(96)00009-0","YCTP-P14-95","hep-th",,"  We consider the spectrum of BPS saturated states in $N = 2$ gauge theories in
four dimensions. This spectrum may be discontinuous across real codimension one
submanifolds of marginal stability in the moduli space of vacua. An example,
which can be treated with semiclassical methods in the weak coupling limit, is
the decay of quark-soliton bound states. For a quark and a soliton of
electric-magnetic charge vectors $Q$ and $Q^\prime$ respectively, we find that
as the manifold of marginal stability is crossed, the number of soliton states
changes by a factor of $2^{Q \cdot Q^\prime}$, where the dot denotes the
symplectic product.
","[{""version"":""v1"",""created"":""Wed, 18 Oct 1995 21:57:07 GMT""}]","2009-10-28"
"hep-th/9510139","Abdalla Elcio","E. Abdalla","Towards a solution of two dimensional QCD","8 pages, to appear in the proceedings of Trieste workshop on strings,
  gravity and related topics, 1995",,,,"hep-th",,"  Using the well-known result for the fermionic determinant in terms of a WZW
theory, we write QCD$_2$ in bosonized form. After some manipulations we give
two versions of the theory, where it is factorized as a product of the
conformally invariant WZW models, ghost terms, and a WZW action perturbed off
criticality. We first prove that the latter is an integrable model.
Furthermore, as a consequence of the BRST analysis, there are several
constraints. Second-class constraints also show up. Using the integrability
condition we find higher conservation laws, their action on the asymptotic
states, and we propose an exact $S$-matrix for the physical excitations. The
vacuum structure is analysed, and we prove that a finite number of different
vacua exist. An outline of possible generalizations of the procedure is given.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 08:08:20 GMT""}]","2007-05-23"
"hep-th/9510140",,"Ivan G. Avramidi","Covariant methods for the calculation of the effective action in quantum
  field theory and investigation of higher-derivative quantum gravity","159 pages, LaTeX, 328 KB, 1 table, figures are produced by LaTeX, 174
  references; Serious misprints in eqs. (2.165), (4.54)--(4.55), (4.62)--(4.63)
  and many other typos are fixed; Many cosmetic changes; English is thoroughly
  revised",,,"PhD thesis, Moscow State University (1986); UDK 530.12:531.51","hep-th gr-qc",,"  The main results are: 1. A manifestly covariant technique for the calculation
of De Witt coefficients is elaborated; 2. The coefficients $a_3$ and $a_4$ are
calculated; 3. Covariant methods for the study of the nonlocal structure of the
effective action are developed. The terms of first and second order in
background fields in De Witt coefficients are calculated. The summation of
these terms is carried out and nonlocal covariant expression for the Green
function, the heat kernel and the effective action are obtained. It is shown
that in the conform-invariant case the Green function is finite. A finite
effective action in the conform-invariant case of massless scalar field in
two-dimensional space is obtained; 4. The off-shell one-loop divergences of the
effective action in arbitrary covariant gauge as well as those of the `unique'
effective action in higher-derivative quantum gravity are calculated; The
ultraviolet asymptotics of coupling constants are found. It is shown that in
the `physical' region of coupling constants (no tachyons!) the conformal sector
has `zero-charge' behavior contrary to previous authors. This means that the
theory goes beyond the limits of weak conformal coupling at higher energies. In
other words, the condition of conformal stability of flat background is
incompatible with the asymptotic freedom in the conformal sector. There is a
stable non-flat ground state but only in the case of positive definite
Euclidean action. In this case the theory is asymptotically free both in tensor
and conformal sectors. The off-shell one-loop effective action in arbitrary
covariant gauge and the `unique' effective action on De Sitter background are
calculated.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 15:02:29 GMT""},{""version"":""v2"",""created"":""Fri, 20 Oct 1995 12:09:23 GMT""},{""version"":""v3"",""created"":""Thu, 14 Mar 1996 10:32:02 GMT""}]","2008-02-03"
"hep-th/9510142","Paul Aspinwall","Paul S. Aspinwall","An N=2 Dual Pair and a Phase Transition","LaTeX, 21 pages, minor corrections","Nucl.Phys.B460:57-76,1996","10.1016/0550-3213(95)00611-7","CLNS-95/1366","hep-th",,"  We carefully analyze the N=2 dual pair of string theories in four dimensions
introduced by Ferrara, Harvey, Strominger and Vafa. The analysis shows that a
second discrete degree of freedom must be switched on in addition to the known
`Wilson line' to achieve a non-perturbatively consistent theory. We also
identify the phase transition this model undergoes into another dual pair via a
process analogous to a conifold transition. This provides the first known
example of a phase transition which is understood from both the type II and the
heterotic string picture.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 15:27:13 GMT""},{""version"":""v2"",""created"":""Wed, 25 Oct 1995 18:57:59 GMT""}]","2008-11-26"
"nucl-th/9510038",,"M. Sambataro","Baryon Mapping of Quark Systems","22 pages, LateX, to appear in Phys. Rev. C","Phys.Rev.C52:3378-3385,1995","10.1103/PhysRevC.52.3378",,"nucl-th",,"  We discuss a mapping procedure from a space of colorless three-quark clusters
into a space of elementary baryons and illustrate it in the context of a
three-color extension of the Lipkin model recently developed. Special attention
is addressed to the problem of the formation of unphysical states in the mapped
space. A correspondence is established between quark and baryon spaces and the
baryon image of a generic quark operator is defined both in its Hermitian and
non-Hermitian forms. Its spectrum (identical in the two cases) is found to
consist of a physical part containing the same eigenvalues of the quark
operator in the cluster space and an unphysical part consisting only of zero
eigenvalues. A physical subspace of the baryon space is also defined where the
latter eigenvalues are suppressed. The procedure discussed is quite general and
applications of it can be thought also in the correspondence between systems of
2n fermions and n bosons.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 11:09:32 GMT""}]","2008-11-26"
"nucl-th/9510039",,"S. Wycech, J. Skalski, R. Smolanczuk, J. Dobaczewski and J.R. Rook","Antiprotonic studies of nuclear neutron haloes","Paper submitted to Phys. Rev. C in 9 October 1995, 24 pages in
  revtex, 3 postscript figures in 2 compressed and uuencoded separate files","Phys.Rev.C54:1832-1842,1996","10.1103/PhysRevC.54.1832",,"nucl-th",,"  Nuclear capture of antiprotons from atomic states is studied. Partial widths
for single nucleon capture events leading to cold residual nuclei are
calculated. Recent CERN experiments that compare the neutron and proton
captures are analysed. Nuclear density distributions at extreme nuclear surface
are calculated and tested against the experimental results.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 15:31:56 GMT""},{""version"":""v2"",""created"":""Fri, 20 Oct 1995 14:10:38 GMT""}]","2008-11-26"
"q-alg/9510017","Dmitry Pak","D.G. Pak (Tashkent State University)","Representation of $SU_q(2)$-covariant $q$-Lie Algebra in Terms of
  Differential Operators","11 pages, latex",,,"NIIPF-95-7","q-alg math.QA",,"  A three-dimensional $q$-Lie algebra of $SU_q(2)$ is realized in terms of
first- and second-order differential operators. Starting from the $q$-Lie
algebra one has constructed a left-covariant differential calculus on the
quantum group. The proposed construction is inverse to the standard Woronowicz
approach; the left-invariant vector fields are introduced as initial objects
whereas the differential 1-forms are defined in a dual manner.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 10:16:23 GMT""}]","2008-02-03"
"quant-ph/9510018","Asher Peres","Asher Peres","Generalized Kochen-Specker Theorem","7 pages, LaTeX, to appear in Foundations of Physics (1996)","Found.Phys. 26 (1996) 807-812","10.1007/BF02058634",,"quant-ph",,"  A generalized Kochen-Specker theorem is proved. It is shown that there exist
sets of $n$ projection operators, representing $n$ yes-no questions about a
quantum system, such that none of the $2^n$ possible answers is compatible with
sum rules imposed by quantum mechanics. Namely, if a subset of commuting
projection operators sums up to a matrix having only even or only odd
eigenvalues, the number of ``yes'' answers ought to be even or odd,
respectively. This requirement may lead to contradictions. An example is
provided, involving nine projection operators in a 4-dimensional space.
","[{""version"":""v1"",""created"":""Thu, 19 Oct 1995 10:04:10 GMT""}]","2009-10-28"
