"adap-org/9512002","Tsuyoshi Hondo","Tsuyoshi Hondou (Grad. Sch. Info. Sci., Tohoku University, Japan) and
  Yasuji Sawada (Res. Inst. Elec. Comm., Tohoku University, Japan)","Comment on ""White-Noise-Induced Transport in Periodic Structures""","2 pages (Latex); submitted to Europhys.Lett",,"10.1209/epl/i1996-00572-5",,"adap-org nlin.AO",,"  In the paper by J.\L uczka {\em et al.} ({\em Europhys. Lett.}, {\bf 31}
(1995) 431), the authors reported by rigorous calculation that an additive
Poissonian white shot noise can induce a macroscopic current of a dissipative
particle in a periodic potential -- even {\em in the absence} of spatial
asymmetry of the potential. We argue that their main result is an obvious one
caused by the spatially broken symmetry of a probability distribution of the
additive noise, unlike the similar result caused by chaotic noise which has a
symmetric probability distribution ({\em J.Phys.Soc.Jpn.}, {\bf 63} (1994)
2014).
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 11:30:05 GMT""},{""version"":""v2"",""created"":""Wed, 27 Dec 1995 07:44:30 GMT""}]","2009-10-28"
"hep-ph/9512397","Michael Sotiropoulos","Michael G. Sotiropoulos (University of Southampton)","Wide-angle elastic scattering and color randomization","18 pages, latex2e, 4 uuencoded figures, included","Phys.Rev. D54 (1996) 808-816","10.1103/PhysRevD.54.808","SHEP 95/39, December 1995","hep-ph",,"  Baryon-baryon elastic scattering is considered in the independent scattering
(Landshoff) mechanism. It is suggested that for scattering at moderate
energies, direct and interchange quark channels contribute with equal color
coefficients because the quark color is randomized by soft gluon exchange
during the hadronization stage. With this assumption, it is shown that the
ratio of cross sections $R_{\overline{p} p/ p p}$ at CM angle $\theta = 90^0$
decreases from a high energy value of $R_{\pbar p / pp} \approx 1/2.7$, down to
$R_{\pbar p / pp} \approx 1/28$, compatible with experimental data at moderate
energies. This sizable fall in the ratio seems to be characteristic of the
Landshoff mechanism, in which changes at the quark level have a strong effect
precisely because the hadronic process occurs via multiple quark scatterings.
The effect of color randomization on the angular distribution of proton-proton
elastic scattering and the cross section ratio $R_{np/pp}$ is also discussed.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 1995 23:49:50 GMT""}]","2009-10-28"
"hep-ph/9512398","Bhaskar Dutta","N. G. Deshpande, B. Dutta and E. Keith","Intermediate scale as a source of lepton flavor violation in SUSY SO(10)","12 pages (Latex), 3 PS Figures (uuencoded, epsf.tex), small addition
  to discussion in the text, as to appear in Phys. Rev. D Rapid Communications","Phys.Rev.D54:730-734,1996","10.1103/PhysRevD.54.R730","OITS-595, UCRHEP-T157","hep-ph",,"  In supersymmetric SO(10) grand unified models, we examine the lepton flavor
violation process $\mu \rightarrow e\gamma$ from having the SU(2)$_R\times
$U(1)$_{B-L}$ gauge symmetry broken at an intermediate scale $M_I$ below the
SO(10) grand unification scale $M_G$. Even in the case that supersymmetry is
broken by universal soft terms introduced at the scale $M_G$, we find
significant rates for $\mu\rightarrow e\gamma$ with $M_I \sim 10^{12}$ GeV or
less. These rates are further enhanced if the universal soft terms appear at a
scale greater than $M_G$.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 00:55:52 GMT""},{""version"":""v2"",""created"":""Fri, 24 May 1996 01:04:13 GMT""}]","2009-09-28"
"hep-ph/9512399",,"Christopher D. Carone (LBNL), Lawrence J. Hall and Hitoshi Murayama
  (LBNL and UC Berkeley)","$(S_3)^3$ flavor symmetry and $p\to K^0 e^+$","26 pp. LaTeX","Phys.Rev.D53:6282-6291,1996","10.1103/PhysRevD.53.6282","LBL-38047, UCB-PTH-95/43","hep-ph",,"  We show how to incorporate the lepton sector in a supersymmetric theory of
flavor based on the discrete flavor group $(S_3)^3$. Assuming that all possible
nonrenormalizable operators are generated at the Planck scale, we show that the
transformation properties of the leptons and of the flavor-symmetry breaking
fields are uniquely determined. We then demonstrate that the model has a viable
phenomenology and makes one very striking prediction: the nucleon decays
predominantly to $K l$ where $l$ is a {\em first} generation lepton. We show
that the modes $n \rightarrow K^0 \bar{\nu}_e$, $p\rightarrow K^+ \bar{\nu}_e$,
and $p\rightarrow K^0 e^+$ occur at comparable rates, and could well be
discovered simultaneously at the SuperKamiokande experiment.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 01:18:38 GMT""}]","2008-11-26"
"hep-ph/9512400","Jisuke Kubo","Jisuke Kubo, Myriam Mondragon, George Zoupanos","Top Quark Mass Predictions from Gauge-Yukawa Unification","28 pages",,,"Max-Planck-Institue MPI-PhT/95-132","hep-ph",,"  Gauge-Yukawa Unification (GYU) is a renormalization group invariant
functional relation among gauge and Yukawa couplings which holds beyond the
unification point in Grand Unified Theories (GUTs). Here, GYU is obtained by
requiring finiteness and reduction of couplings to all orders in perturbation
theory. We examine the consequences of GYU in various supersymmetric GUTs and
in particular the predictions for the top quark mass. These predictions are
such that they distinguish already GYU from ordinary GUTs. Moreover, when more
accurate measurements of the top quark mass are available, it is expected that
it will be possible to discriminate among the various GYUs.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 05:03:41 GMT""}]","2007-05-23"
"hep-ph/9512401","Esteban Roulet","A. Riotto and E. Roulet","Vacuum decay along supersymmetric flat directions","12 pages, uuencoded latex file + 4 ps figures","Phys.Lett.B377:60-66,1996","10.1016/0370-2693(96)00313-9","SISSA-95/163/EP, Fermilab-Pub-95/400-A","hep-ph astro-ph",,"  It has been recently realized that within the Minimal Supersymmetric Standard
Model, for certain patterns of superpartner masses, consistent with all the
present experimental constraints, the scalar potential may develop at some
scale $Q_0$ unbounded color/charge breaking directions involving the sfermion
fields, and that these patterns are then excluded unless some new physics is
invoked at or below the scale $Q_0$. We reanalyze this observation and point
out that such patterns of superpartner masses at the weak scale are {\it not}
ruled out when taking into account the probability of decay for the metastable
color conserving minimum along these color breaking unbounded directions. It
turns out that the color conserving minimum, although metastable, has a
lifetime longer than the present age of the Universe and can survive both
quantum tunneling and the effects of high temperatures in the early Universe,
causing the color/charge breaking effects to be in practice not dangerous.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 08:26:57 GMT""}]","2008-11-26"
"hep-ph/9512402","Andrei Belitsky","A.V. Belitsky","Hadronic Component of the Photon Spin Dependent Structure Function
  $g_1^{\gamma}$ from QCD","12 pages, Latex, 1 Postscript figure, uses epsf.sty. The
  applicability region of the final formula are re-analyzed","J.Phys.G22:1315-1324,1996","10.1088/0954-3899/22/9/004","JINR E2-95-493","hep-ph",,"  We calculate the spin dependent structure function of the polarized virtual
photon $g_1^{\gamma}(x,Q^2,p^2)$, especially its hadronic part, using the OPE
in the inverse powers of the target photon virtuality. Some model is accepted
to achieve a correct analytical behaviour in the photon squared mass. This
enables extrapolation to the case of a real photon.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 15:00:55 GMT""},{""version"":""v2"",""created"":""Sun, 28 Apr 1996 14:26:21 GMT""}]","2009-09-25"
"hep-ph/9512403",,"Daniele Dominici","Degenerate BESS at future $e^+e^-$ colliders","10 pages, Tex, uses epsf.tex, 4uuencoded figures on separate file",,,,"hep-ph",,"  An effective lagrangian describing a strong interacting electroweak sector is
considered. It contains new vector and axial-vector resonances all degenerate
in mass and mixed with $W$ and $Z$. The model, for large mass of these
degenerate gauge bosons, becomes identical to the standard model in the limit
of infinite Higgs mass. The limits on the parameter space of this model from
future $e^+e^-$ colliders are presented.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 10:03:34 GMT""}]","2007-05-23"
"hep-ph/9512404",,"M. Knecht, B. Moussallam, J. Stern and N. Fuchs","Determination of Two-Loop $\pi\pi$ Scattering Amplitude Parameters","A mistake in formulas (48) is corrected, as well as the corresponding
  numerical values (49)","Nucl.Phys. B471 (1996) 445-470","10.1016/0550-3213(96)00187-3","IPNO/TH 95-64 and PURD-TH-95-10","hep-ph",,"  The chiral expansion of the $\pi\pi$ amplitude to the order of two loops was
expressed in terms of six independent parameters in a previous paper: four of
these are shown here to satisfy sum rules. Their derivation, where crossing
symmetry plays a key role, is explained. Their convergence properties are
studied and their practical evaluation, in terms of the available data on
$\pi\pi$ phase shifts above 0.5 GeV, is discussed. Below 0.5 GeV, the chiral
amplitude itself is employed, such that the parameters are determined in a
self-consistent way. Some care is devoted to the estimate of the errors.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 14:47:50 GMT""},{""version"":""v2"",""created"":""Wed, 7 Feb 1996 12:30:56 GMT""}]","2009-10-28"
"hep-ph/9512405","Bertini Marc","M. Giffon, E. Predazzi, A. Samokhin","A simple recipe to detect possible C-Odd effects in high energy $\bar p
  p$ and $pp$","10 pages in TeX, no figure","Phys.Lett. B375 (1996) 315-319","10.1016/0370-2693(96)00218-3","DFTT 72/95","hep-ph",,"  We provide a theorem to suggest that $t=0$ data may already be sufficient to
detect possible asymptotic C-odd (Odderon) contributions. This can be done by
comparing $\bar p p$ and $pp$ $t=0$ observables such as total cross sections,
forward angular distributions and ratios of real to imaginary forward
amplitudes for which well defined model independent correlations {must} exist
which could already show up at RHIC energy but definitely at LHC energies.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 15:02:26 GMT""}]","2009-10-28"
"hep-ph/9512410","Gonzalo Parente Bermudez","A.V. Kotikov and G. Parente","The Gluon Distribution as a Function of F$_2$ and dF$_2$/dlnQ$^2$ at
  small x. The Next-to-Leading Analysis","9 pages, latex, 6 figures (uuencoded compressed tar-file). Figures
  are also available on request","Phys.Lett. B379 (1996) 195-201","10.1016/0370-2693(96)00389-9","ENSLAPP-A-573/95, US-FT-29-95","hep-ph",,"  We present a set of formulae to extract the gluon distribution function from
the deep inelastic structure function F$_2$ and its derivative dF$_2$/dlnQ$^2$
at small x in the leading and next-to-leading order of perturbation theory. The
detailed analysis is given for new HERA data. The values of the gluon
distribution are found in the range $10^{-4} \leq x \leq 10^{-2}$ at $Q^2=20$
GeV$^2$.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 10:59:22 GMT""}]","2009-10-28"
"hep-th/9512180","Massimo Porrati","S. Ferrara, L. Girardello and M. Porrati","Spontaneous Breaking of N=2 to N=1 in Rigid and Local Supersymmetric
  Theories","9 pages, plain Latex","Phys.Lett. B376 (1996) 275-281","10.1016/0370-2693(96)00229-8","NYU-TH-95/12/01, CERN-TH/95-346","hep-th",,"  We analyze the relation between rigid and local supersymmetric N=2 field
theories, when half of the supersymmetries are spontaneously broken. In
particular, we show that the recently found partial supersymmety breaking
induced by electric and magnetic Fayet-Iliopoulos terms in rigid theories can
be obtained by a suitable flat limit of previously constructed N=2 supergravity
models with partial super-Higgs in the observable sector.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 1995 18:41:54 GMT""}]","2009-10-28"
"hep-th/9512181","Chris Hull","C.M. Hull","String Dynamics at Strong Coupling","64 pages, phyzzx macro, no figures. Version to appear in Nucl. Phys.
  B. Comments added and discussion of type I strings and D=7 heterotic string
  modified","Nucl.Phys.B468:113-154,1996","10.1016/0550-3213(96)00096-X","QMW-95-50","hep-th",,"  The dynamics of superstring, supergravity and M theories and their
compactifications are probed by studying the various perturbation theories that
emerge in the strong and weak coupling limits for various directions in
coupling constant space. The results support the picture of an underlying
non-perturbative theory that, when expanded perturbatively in different
coupling constants, gives different perturbation theories, which can be
perturbative superstring theories or superparticle theories. The $p$-brane
spectrum is considered in detail and a criterion found to establish which
$p$-branes govern the strong coupling dynamics. In many cases there are
competing conjectures in the literature, and this analysis decides between
them. In other cases, new results are found. The chiral six-dimensional theory
resulting from compactifying the type IIB string on $K_3$ is studied in detail
and it is found that certain strong coupling limits appear to give new
theories, some of which hint at the possibility of a twelve-dimensional origin.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 1995 18:53:23 GMT""},{""version"":""v2"",""created"":""Fri, 8 Mar 1996 19:04:07 GMT""}]","2011-05-05"
"hep-th/9512182","Barry McCoy","Alexander Berkovich, Barry M. McCoy and Anne Schilling","N=2 Supersymmetry and Bailey Pairs","32 pages in harvmac, no figures","Physica A228 (1996) 33","10.1016/S0378-4371(96)00054-4","BONN-TH-95-24 and ITPSB 95-57","hep-th",,"  We demonstrate that the Bailey pair formulation of Rogers-Ramanujan
identities unifies the calculations of the characters of $N=1$ and $N=2$
supersymmetric conformal field theories with the counterpart theory with no
supersymmetry. We illustrate this construction for the $M(3,4)$ (Ising) model
where the Bailey pairs have been given by Slater. We then present the general
unitary case. We demonstrate that the model $M(p,p+1)$ is derived from
$M(p-1,p)$ by a Bailey renormalization flow and conclude by obtaining the $N=1$
model $SM(p,p+2)$ and the unitary $N=2$ model with central charge $c=3(1-2/p).$
","[{""version"":""v1"",""created"":""Thu, 21 Dec 1995 18:00:21 GMT""}]","2015-06-26"
"hep-th/9512183","Nicholas Philip Warner","N.P. Warner","Supersymmetric, Integrable Boundary Field Theories","11 pages, latex with espcrc2.tex/espcrc2.sty Contribution to the
  proceedings of the ICTP workshop on Recent Developments in Statistical
  Mechanics and Quantum Field Theory","Nucl.Phys.Proc.Suppl.45A:154-163,1996",,"USC-95/027","hep-th",,"  Quantum integrable models that possess $N=2$ supersymmetry are investigated
on the half-space. Conformal perturbation theory is used to identify some $N=2$
supersymmetric boundary integrable models, and the effective boundary
Landau-Ginzburg actions are constructed. It is found that $N=2$ supersymmetry
largely determines the boundary action in terms of the bulk, and in particular,
the boundary bosonic potential is $|W|^2$, where $W$ is the bulk
superpotential. Supersymmetry is also discussed from the perspective of the
affine quantum group symmetry of exact scattering matrices, and exact $N=2$
supersymmetry preserving boundary reflection matrices are described.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 01:31:08 GMT""}]","2011-07-19"
"hep-th/9512184","Andrei Zelnikov","V.P.Frolov, D.V.Fursaev, and A.I.Zelnikov","Black Hole Entropy: Off-Shell vs On-Shell","47 pages, latex, 7 postscript figures have been included since the
  first submission of the article","Phys.Rev.D54:2711-2731,1996","10.1103/PhysRevD.54.2711","Alberta Thy 33-95","hep-th gr-qc",,"  Different methods of calculation of quantum corrections to the
thermodynamical characteristics of a black hole are discussed and compared. The
relation between on-shell and off-shell approaches is established. The
off-shell methods are used to explicitly demonstrate that the thermodynamical
entropy $S^{TD}$ of a black hole, defined by the first thermodynamical law,
differs from the statistical-mechanical entropy $S^{SM}$, determined as
$S^{SM}=-\mbox{Tr}(\hat{\rho}^H\ln\hat{\rho}^H)$ for the density matrix
$\hat{\rho}^H$ of a black hole. It is shown that the observable thermodynamical
black hole entropy can be presented in the form $S^{TD}=\pi {\bar
r}_+^2+S^{SM}-S^{SM}_{Rindler}$. Here ${\bar r}_+$ is the radius of the horizon
shifted because of the quantum backreaction effect, and $S^{SM}_{Rindler}$ is
the statistical-mechanical entropy calculated in the Rindler space.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 06:10:46 GMT""},{""version"":""v2"",""created"":""Thu, 28 Dec 1995 23:17:08 GMT""}]","2008-11-26"
"hep-th/9512185","Aleksey I. Alekseev","A.I. Alekseev","Asymptotic solution of Schwinger -- Dyson equation for the gluon
  propagator in the infrared region","11 pages, LATEX",,,"IHEP-95-139","hep-th",,"  The equation for the gluon propagator in the approach of
Baker-Ball-Zachariasen is considered. The possibility of non-integer power
infrared behaviour is studied, $D(q) \sim (q^2)^{-c}$, $q^2 \rightarrow 0$. It
is shown that the characteristic equation for the exponent has no solutions at
$-1\leq c\leq 3$. The approximations made to obtain the closed integral
equation are analysed and the conclusion on the infrared behaviour of the gluon
propagator $D(q) \sim 1/(q^2)^2$, $q^2 \rightarrow 0$ is made when the
transverse part of the triple gluon vertex is taken into account.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 13:42:23 GMT""}]","2007-05-23"
"hep-th/9512186","A. Khare","Avinash Khare","A Class of Exact Solutions For N-Anyons in a N-body Potential","10 pages, no figure, latex file","Phys.Lett.A221:365-369,1996","10.1016/0375-9601(96)00608-1","IP-BBSR/95-111, December (1995)","hep-th cond-mat",,"  A class of exact solutions are obtained for the problem of N-anyons
interacting via the N-body potential $V (\vec x_1,\vec x_2,...,\vec x_N)$ =
$-{e^2\over\sqrt{{1\over N}\sum_{i<j} (\vec x_i-\vec x_j)^2}}$ Unlike the
oscillator case the resulting spectrum is not linear in the anyon parameter
$\alpha (0\leq \alpha\leq 1)$. However, a la oscillator case, cross-over
between the ground states is shown to occur for N-anyons $(N\geq 3)$
experiencing the above potential.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 1995 22:21:26 GMT""}]","2008-11-26"
"hep-th/9512187","Jose Navarro Salas","J. Cruz and J. Navarro-Salas","Solvable Models for radiating Black Holes and Area-preserving
  Diffeomorphisms","10 pages, plain LaTeX, uses amssymb.sty","Phys.Lett. B375 (1996) 47-53","10.1016/0370-2693(96)00246-8","FTUV/95-31, IFIC/95-33","hep-th",,"  Solvable theories of 2D dilaton gravity can be obtained from a Liouville
theory by suitable field redefinitions. In this paper we propose a new
framework to generate 2D dilaton gravity models which can also be exactly
solved in the semiclassical approximation. Our approach is based on the
recently introduced scheme to quantize massless scalar fields coupled to 2D
gravity maintaining invariance under area-preserving diffeomorphisms and Weyl
transformations. Starting from the CGHS model with the new effective action we
reestablish the full diffeomorphism invariance by means of an adequate family
of field redefinitions. The original theory is therefore mapped into a large
family of solvable models. We focus our analysis on the one-parameter class of
models interpolating between the Russo-Susskind-Thorlacius model and the
Bose-Parker-Peleg model. Finally we shall briefly indicate how can we extend
our approach to spherically symmetric Einstein gravity coupled to 2D conformal
matter.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 11:49:37 GMT""}]","2009-10-28"
"hep-th/9512188","Mirjam Cvetic","Kwan-Leung Chan, Mirjam Cvetic (University of Pennsylvania)","Massless BPS-Saturated States on the Two-Torus Moduli Sub-Space of
  Heterotic String","7 pages, uses RevTeX (minor typos corrected, to appear in Phys. Lett.
  B)","Phys.Lett.B375:98-102,1996","10.1016/0370-2693(96)00212-2","IASSNS-HEP-95/117, UPR-687-T","hep-th",,"  Within a four-dimensional, toroidally compactified heterotic string, we
identify (quantized) charge vectors of electrically charged BPS-saturated
states (along with the tower of SL(2,Z) related dyonic states), which preserve
1/2 of N=4 supersymmetry and become massless along the hyper-surfaces of
enhanced gauge symmetry of the two-torus moduli sub-space. In addition, we
identify charge vectors of the dyonic BPS-saturated states (along with the
tower of SL(2,Z) related states), which preserve 1/4 of N=4 supersymmetry, and
become massless at two points with the maximal gauge symmetry enhancement.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 15:21:30 GMT""},{""version"":""v2"",""created"":""Sat, 23 Dec 1995 22:21:50 GMT""},{""version"":""v3"",""created"":""Thu, 29 Feb 1996 21:31:23 GMT""}]","2009-09-17"
"math/9512223","Vladimir Peller","Vladimir Peller, Sergei Treil","Approximation by analytic matrix functions. The four block problem",,,,"MSRI 1995-106","math.CA",,"  We study the problem of finding a superoptimal solution to the four block
problem. Given a bounded block matrix function
$\left(\begin{array}{cc}\Phi_{11}
&\Phi_{12}\\\Phi_{21}&\Phi_{22}\end{array}\right)$ on the unit circle the four
block problem is to minimize the $L^\infty$ norm of $\left(\begin{array}{cc}
\Phi_{11}-F&\Phi_{12}\\\Phi_{21}&\Phi_{22}\end{array}\right)$ over $F\in
H^\infty$. Such a minimizing $F$ (an optimal solution) is almost never unique.
We consider the problem to find a superoptimal solution which minimizes not
only the supremum of the matrix norms but also the suprema of all further
singular values. We give a natural condition under which the superoptimal
solution is unique.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 00:00:00 GMT""}]","2008-02-03"
"nucl-th/9512031","Dick Furnstahl","R. J. Furnstahl (Ohio State) and Hua-Bin Tang (Minnesota)","An Effective Lagrangian Approach to Nuclei","17 slides, LaTeX2e with epsf.sty, plus 7 figures in separate files;
  poster for INPC95 conference, August 1995",,,"OSU-95-0316","nucl-th",,"  The construction of a general effective lagrangian consistent with the
symmetries of QCD and intended for applications to finite-density systems is
discussed. The low-energy structure of the composite nucleon is described
within the theory from vector-meson dominance. Results are given for finite
nuclei and nuclear matter at one-loop order. All of the coupling constants,
appropriately defined according to naive dimensonal analysis, are found to be
natural.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 1995 18:43:50 GMT""}]","2007-05-23"
"nucl-th/9512032","Marcus Bleicher","L. Gerland, C. Spieles, M. Bleicher, P. Papazoglou, J. Brachmann, A.
  Dumitru, H. St\""ocker, W. Greiner (Institut f\""ur Theoretische Physik,
  Frankfurt), J. Schaffner (Niels Bohr Institute, Copenhagen), C. Greiner
  (Institut f\""ur Theoretische Physik, Giessen)","Hypermatter - Properties and Formation in Relativistic Nuclear
  Collisions","33 pages, many Postscript figures. Some pictures (which were too
  large to archive) can be obtained by request from the Authors. E-mail:
  bleicher@th.physik.uni-frankfurt.de",,,,"nucl-th hep-ex nucl-ex",,"  The extension of the Periodic System into hitherto unexplored domains -
antimatter and hypermatter - is discussed. Starting from an analysis of hyperon
and single hypernuclear properties we investigate the structure of
multi-hyperon objects (MEMOs) using an extended relativistic meson field
theory. These are contrasted with multi-strange quark states (strangelets).
Their production mechanism is studied for relativistic collisions of heavy ions
from present day experiments at AGS and SPS to future opportunities at RHIC and
LHC. It is pointed out that absolutely stable hypermatter is unlikely to be
produced in heavy ion collisions. New attention should be focused on short
lived metastable hyperclusters ($\tau \propto 10^{-10}$s) and on intensity
interferometry of multi-strange-baryon correlations.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 13:39:33 GMT""},{""version"":""v2"",""created"":""Tue, 2 Jan 1996 12:48:03 GMT""}]","2008-02-03"
"q-alg/9512024","Yi-Zhi Huang","Yi-Zhi Huang","Intertwining Operator Algebras, Genus-Zero Modular Functors and
  Genus-Zero Conformal Field Theories","20 pages, AMS-LaTeX file",,,,"q-alg hep-th math.QA",,"  We describe the construction of the genus-zero parts of conformal field
theories in the sense of G. Segal from representations of vertex operator
algebras satisfying certain conditions. The construction is divided into four
steps and each step gives a mathematical structure of independent interest.
These mathematical structures are intertwining operator algebras, genus-zero
modular functors, genus-zero holomorphic weakly conformal field theories, and
genus-zero conformal field theories.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 05:05:55 GMT""}]","2008-02-03"
"q-alg/9512025","Javier Mas","Javier Mas, Marcos Seco","The algebra of q-pseudodifferential symbols and the q-W_{KP}^n algebra","28 pages. Section 5 revised. Misprints corrected. References added",,"10.1063/1.531745","US-FT-32/95","q-alg math.QA",,"  In this paper we continue with the program to explore the topography of the
space of W-type algebras. In the present case, the starting point is the work
of Khesin, Lyubashenko and Roger on the algebra of q-deformed
pseudodifferential symbols and their associated integrable hierarchies. The
analysis goes on by studying the associated hamiltonian structures for which
compact expressions are found. The fundamental Poisson brackets yield
q-deformations of W_{KP} and related W-type algebras which, in specific cases,
coincide with the ones constructed by Frenkel and Reshetikhin. The construction
underlies a continuous correspondence between the hamiltonian structures of the
Toda lattice and the KP hierarchies.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 14:53:46 GMT""},{""version"":""v2"",""created"":""Fri, 22 Dec 1995 21:06:56 GMT""},{""version"":""v3"",""created"":""Tue, 20 Feb 1996 05:23:10 GMT""}]","2009-10-28"
"quant-ph/9512023","Christopher Fuchs","Christopher A. Fuchs and Asher Peres","Quantum State Disturbance vs. Information Gain: Uncertainty Relations
  for Quantum Information","20 pages, standard LaTeX, four png figures (also available from the
  authors: peres@photon.technion.ac.il and cfuchs@tangelo.phys.unm.edu)",,"10.1103/PhysRevA.53.2038",,"quant-ph",,"  When an observer wants to identify a quantum state, which is known to be one
of a given set of non-orthogonal states, the act of observation causes a
disturbance to that state. We investigate the tradeoff between the information
gain and that disturbance. This issue has important applications in quantum
cryptography. The optimal detection method, for a given tolerated disturbance,
is explicitly found in the case of two equiprobable non-orthogonal pure states.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 04:04:49 GMT""}]","2009-10-28"
"quant-ph/9512024","Oliver Rudolph","Oliver Rudolph","Consistent Histories and Operational Quantum Physics","48 pages, uses amssymb.sty, no figures LaTeX 2.09 version replaced by
  LaTeX2e version, minor changes","Int. J. Theor. Phys. 35 (1996) 1581","10.1007/BF02302260","DESY 95-238","quant-ph",,"  In this work a generalization of the consistent histories approach to quantum
mechanics is presented. We first critically review the consistent histories
approach to nonrelativistic quantum mechanics in a mathematically rigorous way
and give some general comments about it. We investigate to what extent the
consistent histories scheme is compatible with the results of the operational
formulation of quantum mechanics. According to the operational approach
nonrelativistic quantum mechanics is most generally formulated in terms of
effects, states and operations. We formulate a generalized consistent histories
theory using the concepts and the terminology which have proven useful in the
operational formulation of quantum mechanics. The logical rule of the logical
interpretation of quantum mechanics is generalized to the present context. The
algebraic structure of the generalized theory is studied in detail.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 13:41:03 GMT""},{""version"":""v2"",""created"":""Fri, 7 Jun 1996 11:46:34 GMT""}]","2009-10-28"
"quant-ph/9512025",,"Andreas Zoupas","Phase Space Localization and Approach to Thermal Equilibrium for a Class
  of Open Systems","10 pages, Latex",,"10.1016/0375-9601(96)00414-8","Imperial/TP/95-96/15","quant-ph",,"  We analyse the evolution of a quantum oscillator in a finite temperature
environment using the quantum state diffusion (QSD) picture. Following a
treatment similar to that of reference [7] we identify stationary solutions of
the corresponding It\^o equation. We prove their global stability and compute
typical time scales characterizing the localization process. The recovery of
the density matrix in approximately diagonal form enables us to verify the
approach to thermal equilibrium in the long time limit and we comment on the
connection between QSD and the decoherent histories approach.
","[{""version"":""v1"",""created"":""Fri, 22 Dec 1995 15:31:54 GMT""}]","2009-10-28"
