"adap-org/9512001","M. Ploszajczak","Robert Botet and Marek Ploszajczak","Scaling and universality in binary fragmenting with inhibition","14 pages, latex file, figures available upon request; Physica A, in
  print",,"10.1016/0378-4371(95)00337-1","GANIL preprint: GANIL 94-28","adap-org nlin.AO",,"  We investigate a new model of binary fragmentation with inhibition, driven by
the white noise. In a broad range of fragmentation probabilities, the power-law
spatiotemporal correlations are found to arise due to self-organized
criticality (SOC). We find in the SOC phase a non-trivial power spectrum of the
temporal sequence of the fragmentation events. The $1/f$~ behaviour is
recovered in the irreversible, near-equilibrium part of this phase.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 09:57:28 GMT""}]","2015-06-24"
"cond-mat/9512104","Harald Kallabis","T.J. Newman, Harald Kallabis","Strong coupling probe for the Kardar-Parisi-Zhang equation","18 pages, RevTex, to appear in J. Phys. I France",,"10.1051/jp1:1996162",,"cond-mat",,"  We present an exact solution of the {\it deterministic} Kardar-Parisi-Zhang
(KPZ) equation under the influence of a local driving force $f$. For substrate
dimension $d \le 2$ we recover the well-known result that for arbitrarily small
$f>0$, the interface develops a non-zero velocity $v(f)$. Novel behaviour is
found in the strong-coupling regime for $d > 2$, in which $f$ must exceed a
critical force $f_c$ in order to drive the interface with constant velocity. We
find $v(f) \sim (f-f_c)^{\alpha (d)}$ for $f \searrow f_{c}$. In particular,
the exponent $\alpha (d) = 2/(d-2)$ for $2<d<4$, but saturates at $\alpha(d)=1$
for $d>4$, indicating that for this simple problem, there exists a finite upper
critical dimension $d_u=4$. For $d>2$ the surface distortion caused by the
applied force scales logarithmically with distance within a critical radius
$R_{c} \sim (f-f_{c})^{-\nu(d)}$, where $\nu(d) = \alpha (d)/2$. Connections
between these results, and the critical properties of the weak/strong-coupling
transition in the noisy KPZ equation are pursued.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 14:39:03 GMT""}]","2009-10-28"
"cond-mat/9512106","Vincent Bayot","L. Langer, V. Bayot, E. Grivei, J.-P. Issi, J.P. Heremans, C.H. Olk,
  L. Stockman, C. Van Haesendonck, Y. Bruynseraede","Quantum transport in a multiwalled carbon nanotube","Phys. Rev. Letters (in press) - 14 pages",,"10.1103/PhysRevLett.76.479","VB-951130","cond-mat",,"  We report on electrical resistance measurements of an individual carbon
nanotube down to a temperature T=20 mK. The conductance exhibits a ln T
dependence and saturates at low temperature. A magnetic field applied
perpendicular to the tube axis, increases the conductance and produces
aperiodic fluctuations. The data find a global and coherent interpretation in
terms of two-dimensional weak localization and universal conductance
fluctuations in mesoscopic conductors. The dimensionality of the electronic
system is discussed in terms of the peculiar structure of carbon nanotubes.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 15:41:02 GMT""},{""version"":""v2"",""created"":""Thu, 14 Dec 1995 09:03:26 GMT""}]","2009-10-28"
"dg-ga/9512006",,"Stefano Demichelis","Energy of embedded surfaces invariant under Moebius tranformations,
  addendum","Plain-tex file",,,,"dg-ga math.DG",,"  In a previous preprint we defined an energy associated to every embedding of
a surface into $R^n$ or $S^n$. This energy is invariant under Moebius
tranformations and the ""round"" sphere is its only absolute minimum. Here we
sketch a proof of the compactness property for a variant of it. The details
will appear elsewhere.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 15:27:58 GMT""}]","2008-02-03"
"gr-qc/9512027","Kenneth Dalton","Kenneth Dalton","Electromagnetism and Gravitation","20 pages, LaTeX","Hadronic J. 17 (1994) 483-501",,,"gr-qc",,"  The classical concept of ""mass density"" is not fundamental to the quantum
theory of matter. Therefore, mass density cannot be the source of gravitation.
Here, we treat electromagnetic energy, momentum, and stress as its source. The
resulting theory predicts that the gravitational potential near any charged
elementary particle is many orders of magnitude greater than the Newtonian
value.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 16:30:30 GMT""},{""version"":""v2"",""created"":""Mon, 10 Mar 1997 19:54:38 GMT""}]","2008-02-03"
"hep-lat/9512019","Shamir Yigal","Yigal Shamir","The Standard Model from a New Phase Transition on the Lattice","16 pages, revtex, one figure. Clarifications made, mainly in sections
  3 and 6 that deal with the fermion action, to appear in Phys Rev D","Phys.Rev.D57:132-146,1998","10.1103/PhysRevD.57.132","TAUP-2306-95","hep-lat hep-ph hep-th",,"  Several years ago it was conjectured in the so-called Roma Approach, that
gauge fixing is an essential ingredient in the lattice formulation of chiral
gauge theories. In this paper we discuss in detail how the gauge-fixing
approach may be realized. As in the usual (gauge invariant) lattice
formulation, the continuum limit corresponds to a gaussian fixed point, that
now controls both the transversal and the longitudinal modes of the gauge
field. A key role is played by a new phase transition separating a conventional
Higgs or Higgs-confinement phase, from a phase with broken rotational
invariance. In the continuum limit we expect to find a scaling region, where
the lattice correlators reproduce the euclidean correlation functions of the
target (chiral) gauge theory, in the corresponding continuum gauge.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 08:49:22 GMT""},{""version"":""v2"",""created"":""Wed, 22 May 1996 08:49:34 GMT""},{""version"":""v3"",""created"":""Tue, 20 May 1997 08:17:20 GMT""},{""version"":""v4"",""created"":""Wed, 15 Oct 1997 09:15:08 GMT""}]","2011-07-19"
"hep-ph/9512286","Raymond S. Willey","R.S.Willey (University of Pittsburgh)","Reconciliation of effective potential calculations of the lower bound
  for the Higgs boson mass","3 pages, LaTex",,,,"hep-ph",,"  We comment on different results from three recent effective potential
calculations of the Higgs mass lower bound.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 17:06:29 GMT""}]","2007-05-23"
"hep-ph/9512287","John F. Donoghue","John F. Donoghue (Univ. of Massachusetts, Amherst)","Gravity and Effective Field Theory: A Talk for Phenomenologists","4 pages, Latex, no figures, Invited talk at the Intl. Symposium on
  Particle Theory and Phenomenology (Iowa State Univ., May 1995) to be
  published in the proceedings. (Readers desiring a more thorough treatment are
  referred instead to gr-qc/9512024, cross-listed below)",,,,"hep-ph",,"  I briefly summarized some recent work which uses the techniques of effective
field theory to make quantum predictions in general relativity. In contrast to
conventional expectations, these are in fact well behaved. The leading quantum
correction to the interaction of two heavy masses is used as a specific
example.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 19:23:20 GMT""}]","2007-05-23"
"hep-ph/9512288","Jorge L. Lopez","J. Ellis, J. Lopez, and D. Nanopoulos","Supersymmetry and R_b in the light of LEP 1.5","10 pages (LaTeX), 2 figures (uuencoded)","Phys.Lett.B372:95-100,1996","10.1016/0370-2693(96)00058-5","CERN-TH/95-314","hep-ph",,"  We re-examine the possible magnitude of the supersymmetric contribution to
$R_b\equiv\Gamma(Z^0\to\bar b b)/\Gamma(Z^0\to{\rm all})$ in the light of the
constraints imposed by the absence of light charginos at LEP~1.5, implementing
also other available phenomenological constraints. We find the supersymmetric
contribution to be $R^{\rm susy}_b < 0.0017$, and discuss the extent to which
this upper bound could be strengthened by future constraints on the chargino
and top-squark masses. Such values of $R^{\rm susy}_b$ tend to disfavor a
supersymmetry explanation of the apparent $R_b$ discrepancy.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 22:18:55 GMT""}]","2009-09-11"
"hep-ph/9512289","Martin Einhorn","Ganesh Devaraj and Martin B. Einhorn","Left-Right Asymetry From Supersymmetry in Polarized M{\o}ller Scattering","11 pages; Latex file; uses axodraw.sty. Revised 12/13 for
  typographical error. Withdrawn 12/15 to correct an error; will resubmit",,,"UM-TH-95-30","hep-ph",,"  We calculate the leading contribution to the left-right asymmetry in
polarized M{\o}ller scattering from the superpartners in the Minimal
Supersymmetric Standard Model (MSSM), using an effective lagrangian approach.
We determine the maximum asymmetry that can result from the superpartners in
the MSSM under different scenarios, and discuss the feasibility of a
high-precision, low-energy ($\sqrt{s}\approx 200~{\rm MeV}$) M{\o}ller
scattering experiment to see supersymmetry.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 01:59:00 GMT""},{""version"":""v2"",""created"":""Wed, 13 Dec 1995 16:02:11 GMT""},{""version"":""v3"",""created"":""Fri, 15 Dec 1995 19:15:58 GMT""}]","2008-02-03"
"hep-ph/9512290","Antonio Ferrera","Antonio Ferrera (Tufts University) and Alejandra Melfo (International
  School for Advanced Studies, Trieste)","Bubble Collisions and Defect Formation in a Damping Environment","19 pages. 7 uuencoded and compressed figures (2 Mgs) available on
  request","Phys.Rev. D53 (1996) 6852-6862","10.1103/PhysRevD.53.6852","TUTP-95-5, SISSA Ref.158/95/A, CAT-95/05","hep-ph astro-ph",,"  Within the context of a first-order phase transition in the early Universe,
we study the collision process for vacuum bubbles expanding in a plasma. The
effects of the plasma are simulated by introducing a damping term in the
equations of motion for a $U(1)$ global field. We find that Lorentz-contracted
spherically symmetric domain walls adequately describe the overdamped motion of
the bubbles in the thin wall approximation, and study the process of collision
and phase equilibration both numerically and analytically. With an analytical
model for the phase propagation in 1+1 dimensions, we prove that the phase
waves generated in the bubble merging are reflected by the walls of the true
vacuum cavity, giving rise to a long-lived oscillating state that delays the
phase equilibration. The existence of such a state in the 3+1 dimensional model
is then confirmed by numerical simulations, and the consequences for the
formation of vortices in three-bubble collisions are considered.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 19:55:54 GMT""}]","2009-10-28"
"hep-ph/9512291",,"K. Goulianos","Renormalized diffractive cross sections at HERA and the structure of the
  pomeron","10 pages 3 eps uu-encoded figures, Talk given at the VI-th Blois
  Workshop, Frontiers in Strong Interactions Chateau de Blois, France, June
  20-24, 1995. Please send any Comments/questions to
  dino@physics.rockefeller.edu",,,"RU 95/E-39","hep-ph",,"  A phenomenological renormalization scheme for hadronic diffraction is
proposed, which achieves unitarization without the need for ""screening
corrections"". Predictions for diffractive photoproduction cross sections at
HERA are presented and compared with experimental results. A new interpretation
of hard and deep inelastic diffractive data emerges, in which the momentum sum
rule is obeyed by the constituents of a pomeron described as a mixture of quark
and gluon color singlets in a ratio dictated by asymptopia.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 03:53:03 GMT""},{""version"":""v2"",""created"":""Thu, 14 Dec 1995 18:23:04 GMT""}]","2008-02-03"
"hep-ph/9512292","Tim Stelzer","T. Stelzer and S. Willenbrock","Spin Correlation in Top-Quark Production at Hadron Colliders","Version to appear in Phys. Lett. B","Phys.Lett.B374:169-172,1996","10.1016/0370-2693(96)00178-5","ILL-(TH)-95-33","hep-ph",,"  We propose techniques to observe the correlation of the spins of top quarks
and antiquarks at the Tevatron and the LHC. Observation of the spin correlation
would confirm that the top quark decays before its spin flips, and would place
a lower bound on the top-quark width and V_tb. The spin correlation may also be
a useful tool to study the weak decay amplitude of the top quark.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 08:09:12 GMT""},{""version"":""v2"",""created"":""Thu, 22 Feb 1996 19:02:25 GMT""},{""version"":""v3"",""created"":""Tue, 19 Mar 1996 15:49:24 GMT""}]","2008-11-26"
"hep-ph/9512293","Yongbin He","Yong-Bin He, Wei-Qin Chao and Chong-Shou Gao","Different Nuclear Dependence of $J/\psi$ and $\psi^{\prime}$ Production
  in p-A and A-p Collisions","12 pages(REVTeX), 3 uuencoded figures",,,"CCAST-95-10","hep-ph",,"  While presently available p-A data observe that the nuclear dependence of
$J/\psi$ and $\psi^{\prime}$ production is the same within errors, we show that
different nuclear dependence of $J/\psi$ and $\psi^{\prime}$ production in the
kinematic region uncovered by the present p-A data can be predicted based on
two different nuclear absorption scenarios. It is found that the predicted
production ratio $\sigma (\psi^{\prime})/\sigma (J/\psi)$ at positive $x_F$ in
A-p collisions is mainly determined by nuclear absorption, and hence allows
direct experimental test of nuclear absorption scenarios.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 07:05:23 GMT""}]","2007-05-23"
"hep-ph/9512294","Herbert Weigel","L. Gamberg, H. Weigel, U. Z\""uckert and H. Reinhardt","Heavy Quark Solitons in the Nambu--Jona-Lasinio Model","16 pages REVTEX, one postscript figure, to appear in Phys. Rev. D","Phys.Rev. D54 (1996) 5812-5819","10.1103/PhysRevD.54.5812","UNITU-THEP-18/1995","hep-ph",,"  The Nambu--Jona-Lasinio model (NJL) is extended to incorporate heavy quark
spin-symmetry. In this model baryons containing one heavy quark are analyzed as
bound-states of light baryons, represented as chiral solitons, and mesons
containing one heavy quark. From related studies in Skyrme type models, the
ground-state heavy baryon is known to arise for the heavy meson in a P--wave
configuration. In the limit of an infinitely large quark mass the heavy meson
wave-function is sharply peaked at the center of the chiral soliton. Therefore
the bound state equation reduces to an eigenvalue problem for the coefficients
of the operators contained in the most general P-wave {\it ansatz} for the
heavy meson. Within the NJL model a novel feature arises from the coupling of
the heavy meson to the various light quark states. In this respect conceptual
differences to Skyrme model calculations are discovered: The strongest bound
state is given by a heavy meson configuration which is completely decoupled
from the grand spin zero channel of the light quarks.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 09:56:25 GMT""},{""version"":""v2"",""created"":""Fri, 16 Aug 1996 16:08:58 GMT""}]","2016-08-15"
"hep-ph/9512297",,"M.G.Ryskin, Yu.M.Shabelski and A.G.Shuvaev","$F_2/xG(x,Q^2)$ Ratio at Small $x$ and the Role of the Contribution from
  Infrared Region","12 pages (LaTeX) + 8 uuencoded-compressed-tar postcript figures in a
  separate file","Z.Phys. C73 (1996) 111-118; Yad.Fiz. 60 (1997) 340-348",,"US-FT/30-95","hep-ph",,"  We consider the light quark electroproduction cross section and show that the
contribution coming from the infrared ($q_T<300\, MeV$) region is not
negligible. It changes the $F_2(x,Q^2)/xG(x,Q^2)$ ratio by 20-30\% (or even
more) for small $x$ and $Q^2\sim 4\, GeV^2$.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 11:11:11 GMT""},{""version"":""v2"",""created"":""Thu, 14 Dec 1995 03:44:40 GMT""}]","2008-02-03"
"hep-th/9512083",,"Dennis Bonatsos, C. Daskaloyannis and P. Kolokotronis","Generalized Deformed Oscillators and Algebras","LaTeX, 15 pages; Lecture given at the Fifth Hellenic School and
  Workshops on Elementary Particle Physics (Corfu, Greece, 3-24 September 1995)",,,"ECT*/DEC/95-05","hep-th math.QA q-alg",,"  The generalized deformed oscillator schemes introduced as unified frameworks
of various deformed oscillators are proved to be equivalent, their unified
representation leading to a correspondence between the deformed oscillator and
the N=2 supersymmetric quantum mechanics (SUSY-QM) scheme. In addition, several
physical systems (two identical particles in two dimensions, isotropic
oscillator and Kepler system in a 2-dim curved space) and mathematical
structures (quadratic algebra QH(3), finite W algebra $\bar {\rm W}_0$) are
shown to possess the structure of a generalized deformed su(2) algebra, the
representation theory of which is known. Furthermore, the generalized deformed
parafermionic oscillator is identified with the algebra of several physical
systems (isotropic oscillator and Kepler system in 2-dim curved space,
Fokas--Lagerstrom, Smorodinsky--Winternitz and Holt potentials) and
mathematical constructions (generalized deformed su(2) algebra, finite W
algebras $\bar {\rm W}_0$ and W$_3^{(2)}$). The fact that the Holt potential is
characterized by the W$_3^{(2)}$ symmetry is obtained as a by-product.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 18:23:20 GMT""}]","2008-02-03"
"hep-th/9512087","Marco Picco","Vladimir Dotsenko, Marco Picco and Pierre Pujol","Randomly coupled minimal models","12 pages, latex, 1 eps figures; new results added",,"10.1016/0370-2693(96)00759-9","PAR--LPTHE 95/63","hep-th cond-mat",,"  Using 1-loop renormalisation group equations, we analyze the effect of
randomness on multi-critical unitary minimal conformal models. We study the
case of two randomly coupled $M_p$ models and found that they flow in two
decoupled $M_{p-1}$ models, in the infra-red limit. This result is then extend
to the case with $M$ randomly coupled $M_p$ models, which will flow toward $M$
decoupled $M_{p-1}$.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 20:01:52 GMT""},{""version"":""v2"",""created"":""Sun, 21 Apr 1996 16:16:07 GMT""}]","2009-10-28"
"hep-th/9512088",,"S. Baskal and Y. S. Kim","Four-potentials and Maxwell Field Tensors from $SL(2,C)$ Spinors as
  Infinite-Momentum/Zero-Mass Limits of their Massive Counterparts","10 pages, RevTeX",,,,"hep-th",,"  Four $SL(2,C)$ spinors are considered within the framework of Wigner's little
groups which dictate internal space-time symmetries of relativistic particles.
It is indicated that the little group for a massive particle at rest is $O(3)$,
while it is $O(3)$-like for a moving massive particle. The little group becomes
like $E(2)$ in the infinite-momentum/zero-mass limit. Spin-$\frac{1}{2}$
particles are studied in detail, and the origin of the gauge degrees of freedom
for massless particles is clarified. There are sixteen different combinations
of direct products of two $SL(2,C)$ spinors for spin-1 and spin-0 particles.
The state vectors for the $O(3)$ and $O(3)$-like little groups are constructed.
It is shown that in the infinite-momentum/zero-mass limit, these state vectors
become scalars, four-potentials and the Maxwell field tensor. It is revealed
that the Maxwell field tensor so obtained corresponds to some of the state
vectors constructed by Weinberg in 1964.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 22:54:32 GMT""},{""version"":""v2"",""created"":""Thu, 14 Dec 1995 16:47:16 GMT""}]","2008-02-03"
"hep-th/9512089",,"J. Rahmfeld","Extremal Black Holes as Bound States","9 pages, LaTex, to appear in PLB, references added","Phys.Lett. B372 (1996) 198-203","10.1016/0370-2693(96)00063-9",,"hep-th",,"  We consider a simple static extremal multi-black hole solution with
constituents charged under different $U(1)$ fields. Each of the constituents by
itself is an extremal dilatonic black hole of coupling $a=\srt$. For a special
case with two electrically and two magnetically charged black holes the
multi-black hole solution interpolates between the familiar
$a=\sqrt{3},1,\frac{1}{\sqrt{3}}$ and $0$ solutions, depending on how many
black holes are placed at infinity. This proves the hypothesis that black holes
with the above dilaton couplings arise in string theory as bound states of
fundamental $a=\sqrt{3}$ states with zero binding energy. We also generalize
the result to states where the action does not admit a single scalar truncation
and show that a wide class of dyonic black holes in toroidally compactified
string theory can be viewed as bound states of fundamental $a=\srt$ black
holes.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 07:49:15 GMT""},{""version"":""v2"",""created"":""Thu, 15 Feb 1996 07:28:10 GMT""}]","2009-10-28"
"hep-th/9512090","Holger Frahm","Fabian H. L. Essler, Holger Frahm, Alexander R. Its, Vladimir E.
  Korepin","Determinant representation for a quantum correlation function of the
  lattice sine-Gordon model","30 pages Latex2e, 2 Figures, epsf. Significantly extended and revised
  version","J.Phys.A30:219-244,1997","10.1088/0305-4470/30/1/016","OUTP-95-67S, ITP-UH-28/95, ITP-SB-95-48, YITP-96-26","hep-th cond-mat",,"  We consider a completely integrable lattice regularization of the sine-Gordon
model with discrete space and continuous time. We derive a determinant
representation for a correlation function which in the continuum limit turns
into the correlation function of local fields. The determinant is then embedded
into a system of integrable integro-differential equations. The leading
asymptotic behaviour of the correlation function is described in terms of the
solution of a Riemann Hilbert Problem (RHP) related to the system of
integro-differential equations. The leading term in the asymptotical
decomposition of the solution of the RHP is obtained.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 08:00:52 GMT""},{""version"":""v2"",""created"":""Thu, 8 Aug 1996 12:08:27 GMT""}]","2008-11-26"
"hep-th/9512091","Gabriele Veneziano","G. Veneziano","String Cosmology: Concepts and Consequences","21p, latex, epsf, 3 figures in uuencoded file","Helv.Phys.Acta 69 (1996) 553-569",,"CERN-TH/95-301","hep-th",,"  After recalling a few basic concepts from cosmology and string theory, I will
discuss the main ideas/assumptions underlying string cosmology and show how
these lead to a two-parameter family of ``minimal"" models. I will then explain
how to compute, in terms of those parameters, the spectrum of scalar, tensor
and electromagnetic perturbations, point at their ($T$ and $S$-type) duality
symmetries, and mention their most relevant physical consequences.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 10:17:18 GMT""}]","2007-05-23"
"hep-th/9512092","Alexei Semikhatov","A M Semikhatov and I Yu Tipunin (P N Lebedev Physics Institute)","$sl(2)_{-4}$ WZW Model as an N=4 Supersymmetric Bosonic String with
  $c=-2$ matter","LaTeX 2.09, 23 pages, no figures","Int.J.Mod.Phys.A11:2721-2748,1996","10.1142/S0217751X96001322",,"hep-th",,"  We consider the sl(2) current algebra at level k=-4 when the sl(2) BRST
operator is nilpotent. We formulate a spectral sequence converging to the
cohomology of this BRST operator. At the second term of the spectral sequence,
we observe an N=4 algebra. This algebra is generated in a c=-2 bosonic string
whose BRST operator Q_{string} represents the next term in the spectral
sequence. We realize the cohomology of the irreducible modules as
Q_{string}-primitives of the N=4 singular vectors and point out their relation
to Lian--Zuckerman states of c=-2 matter. The relation between sl(2)_{-4} WZW
model and c=-2 bosonic string is established both at the level of BRST
cohomology and at the level of an explicit operator construction. The relation
of the N=4 algebra to the known symmetries of matter+gravity systems is also
investigated.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 13:37:00 GMT""}]","2011-07-19"
"hep-th/9512093","Dasmahapatra S.","Srinandan Dasmahapatra and Paul Martin","On the algebraic approach to cubic lattice Potts models","20 pages, in LaTeX (to be published in J. Phys. A)","J.Phys.A29:263-278,1996","10.1088/0305-4470/29/2/006","CMPS/95-110","hep-th",,"  We consider Diagram algebras, $\Dg(G)$ (generalized Temperley-Lieb algebras)
defined for a large class of graphs $G$, including those of relevance for cubic
lattice Potts models, and study their structure for generic $Q$. We find that
these algebras are too large to play the precisely analogous role in three
dimensions to that played by the Temperley-Lieb algebras for generic $Q$ in the
planar case. We outline measures to extract the quotient algebra that would
illuminate the physics of three dimensional Potts models.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 14:40:33 GMT""}]","2008-11-26"
"hep-th/9512099","Randall Guedes Teixeira","B. M. Pimentel and R. G. Teixeira","Hamilton-Jacobi formulation for singular systems with second order
  Lagrangians","Latex, 21 pages, no figures (Changes made to solve problems, caused
  by a macro, that some users had to Tex the paper. The paper itself has no
  changes.)","NuovoCim.B111:841-854,1996","10.1007/BF02749015",,"hep-th",,"  Recently the Hamilton-Jacobi formulation for first order constrained systems
has been developed. In such formalism the equations of motion are written as
total differential equations in many variables. We generalize the
Hamilton-Jacobi formulation for singular systems with second order Lagrangians
and apply this new formulation to Podolsky electrodynamics, comparing with the
results obtained through Dirac's method.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 15:27:20 GMT""},{""version"":""v2"",""created"":""Sun, 17 Dec 1995 01:45:54 GMT""}]","2008-11-26"
"math/9512219",,"Norberto Salinas, Maria Victoria Velasco","Reducing essential eigenvalues in the boundary of the numerical range",,,,"MSRI 1995-101","math.SP math.FA",,"  We examine a purely geometric property of a point in the boundary of the
numerical range of a (Hilbert space) operator that implies that such a point is
a reducing essential eigenvalue of the given operator. Roughly speaking, such a
property means that the boundary curve of the numerical range has infinite
curvature at that point (we must exclude however linear verteces because they
may be reducing eigenvalues without being reducing essential eigenvalues). This
result allows us to give an elegant proof of a conjecture of Joel Anderson:
{\it A compact perturbation of a scalar multiple of the identity operator can
not have the closure of its numerical range equal to half a disk (neither equal
to any acute circular sector).}
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 00:00:00 GMT""}]","2016-09-06"
"nucl-th/9512018","M. Ploszajczak","M.Ploszajczak, A.A.Shanenko and V.D.Toneev (GANIL-Caen, France)","Towards a New Strategy of Searching for QCD Phase Transition in Heavy
  Ion Collisions","12 pages, latex file, figures available upon request",,,"GANIL preprint: GANIL 95-29","nucl-th",,"  We reconsider the Hung and Shuryak arguments in favour of searching for the
deconfinement phase transition in heavy ion collisions {\em downward} from the
nominal SPS energy, at $E_{lab} \approx 30 \ GeV/A$ where the fireball lifetime
is the longest one. Using the recent lattice QCD data and the mixed phase
model, we show that the deconfinement transition might occur at the bombarding
energies as low as $E_{lab}=3 - 5 \ GeV/A$. Attention is drawn to the study of
the mixed phase of nuclear matter in the collision energy range $E_{lab}= 2-10
\ GeV/A$.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 17:00:29 GMT""}]","2009-09-25"
"nucl-th/9512019",,"P. Finocchiaro, M. Belkacem, T. Kubo, V. Latora, and A. Bonasera","Second Order Phase Transitions : From Infinite to Finite Systems","RevTex file, 17 pages + 9 figures available upon request from
  Belkacem@vaxlns.lns.infn.it","Nucl.Phys. A600 (1996) 236-250","10.1016/0375-9474(96)00040-1",,"nucl-th",,"  We investigate the Equation of State (EOS) of classical systems having 300
and 512 particles confined in a box with periodic boundary conditions. We show
that such a system, independently on the number of particles investigated, has
a critical density of about 1/3 the ground state density and a critical
temperature of about $2.5~ MeV$. The mass distribution at the critical point
exhibits a power law with $\tau = 2.23$. Making use of the grand partition
function of Fisher's droplet model, we obtain an analytical EOS around the
critical point in good agreement with the one extracted from the numerical
simulations.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 14:59:07 GMT""}]","2009-10-28"
"nucl-th/9512020","Barabanov A. L.","A.L.Barabanov","Model for Resonance Enhancement of P- and T-noninvariant Effects in
  Neutron Reactions","44 text pages, LaTeX, 8 Postscript figures included as tared,
  compressed and uuencoded files","Nucl.Phys. A614 (1997) 1-43","10.1016/S0375-9474(96)00454-X","Preprint IAE-5922/2, 1995","nucl-th nucl-ex",,"  We consider a simplified model for resonant neutron-nucleus interaction with
coupled channels. An analytical solution is given for two coupled channels and
arbitrary neutron orbital momentum. A case of a week channel coupling,
corresponding to narrow Breit-Wigner resonance, is analyzed in details. As far
as the total width of a resonance coincides with the neutron width, the model
is directly appropriate only for light nuclei. We study a mixing of two narrow
s- and p-wave resonances by P- and P-,T-noninvariant potentials in the first
order of perturbation theory. As an example a close-lying pair of s- and p-wave
resonances of the $^{35}$Cl nucleus is considered. The favorable possibilities
are shown to exist on thick targets for measurements beyond the resonance
widths. In particular, an interference minimum near s-wave resonance is of
interest for P-odd neutron spin rotation on light spinless nuclei.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 15:05:29 GMT""},{""version"":""v2"",""created"":""Thu, 14 Dec 1995 15:04:10 GMT""}]","2009-10-28"
"plasm-ph/9512001","Douglass E. Post","D. E. Post, B. Braams, J. Mandrekas, W. Stacey and N. Putvinskaya","Power Balance in the ITER Plasma and Divertor","Preprint for the Plasma Edge Theory Conference, Monterey, Dec.4-6,
  1995, 5 pages, gzipped postscript",,"10.1002/ctpp.2150360226",,"plasm-ph physics.plasm-ph",,"  It is planned to use atomic processes to spread out most of the heating power
over the first wall and side walls to reduce the heat loads on the plasma
facing components in ITER to ~ 50 MW. Calculations indicate that there will be
100 MW in bremstrahlung radiation from the plasma center, 50 MW of radiation
from the plasma edge inside the separatrix and 100 MW of radiation from the
scrape-off layer and divertor plasma, leaving 50 MW of power to be deposited on
the divertor plates. The radiation losses are enhanced by the injection of
impurities such as Neon or Argon at acceptably low levels (~0.1 % Argon, etc.)
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 21:41:34 GMT""}]","2009-10-28"
"q-alg/9512013","Pavel Stovicek","P. Stovicek","Antiholomorphic representations for orthogonal and symplectic quantum
  groups","AMSTeX file",,,,"q-alg math.QA",,"  The coadjoint orbits for the series $B_l,\ C_l$ and $D_l$ are considered in
the case when the base point is a multiple of a fundamental weight. A
quantization of the big cell is suggested by means of introducing a
$\ast$-algebra generated by holomorphic coordinate functions. Starting from
this algebraic structure the irreducible representations of the deformed
universal enveloping algebra are derived as acting in the vector space of
polynomials in quantum coordinate functions.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 18:19:54 GMT""}]","2008-02-03"
