"alg-geom/9512012","Fernando Torres","Fernando Torres","Remarks on numerical semigroups","Latex2e, ICTP preprint",,,,"alg-geom math.AG",,"  We extend results on Weierstrass semigroups at ramified points of double
covering of curves to any numerical semigroup whose genus is large enough. As
an application we strengthen the properties concerning Weierstrass weights in
\cited{To}.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 06:21:54 GMT""}]","2008-02-03"
"hep-ph/9512345",,"B. Ananthanarayan and Q. Shafi","Radiative Electroweak Breaking with Pseudogoldstone Higgs Doublets","18 pages plain LaTeX (to be run twice) and 11 figures available
  separately from uuencoded files","Phys.Rev.D54:3488-3496,1996","10.1103/PhysRevD.54.3488","UNIL-TP-5/95, BA-95-17","hep-ph",,"  We consider a realistic example of supersymmetric grand unification based on
$SU(3)_c \times SU(3)_L \times SU(3)_R$ in which the electroweak (EW) higgs
doublets are `light' as a consequence of the `pseudogoldstone' mechanism. We
discuss radiative EW breaking in this model, exploring in particular the
`small' (order unity) and `large' $(\approx m_t/m_b)$ $\tan \beta$ regions by
studying the variations of $r (\equiv \sqrt{\mu^2_{1,2}/\mu^2_3})$, where
$\mu^2_{1,2,3}$ are the well known MSSM parameters evaluated at the GUT scale.
For $r$ sufficiently close to unity the quantity $\tan \beta$ can be of order
unity, but the converse is not always true.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 09:23:08 GMT""}]","2011-05-12"
"hep-ph/9512346",,"G.Montagna(Pavia), O.Nicrosini(CERN-Pavia), F.Piccinini(Pavia),
  F.M.Renard(Montpellier) and C.Verzegnassi(Lecce)","Z' Reservation at LEP2","10 pages, LaTeX, 3 uuencoded ps figures","Phys.Lett. B371 (1996) 277-284","10.1016/0370-2693(96)00012-3","PM/95-40","hep-ph",,"  We consider the possibility that one extra $Z\equiv Z'$ exists with arbitrary
mass and fermion couplings that do not violate (charged) lepton universality.
We show that, in such a situation, a functional relationship is generated
between the \underline{deviations} from the SM values of three leptonic
observables of two-fermion production at future $e^+e^-$ colliders that is
completely independent of the values of the $Z'$ mass and couplings. This
selects a certain region in the 3-d space of the deviations that is
\underline{characteristic} of the model ($Z'$ ""reservation""). As a specific and
relevant example, we show the picture that would emerge at LEP2 under realistic
experimental conditions.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 09:46:26 GMT""}]","2009-10-28"
"hep-ph/9512347","Shoichi Sasaki Rcnp","H. Suganuma(RCNP), K. Itakura(Tokyo Univ.), H. Toki(RCNP) and O.
  Miyamura(Hiroshima Univ.)","Correlation between Instantons and QCD-monopoles in the Abelian Gauge","Talk presented by H. Suganuma at International Workshop on
  ``Nonperturbative Approaches to QCD'', ECT, Trento, 10 - 29 July 1995, 18
  pages, Plain Tex, uses PHYZZX( 17 figures - available on request from
  suganuma@miho.rcnp.osaka-u.ac.jp )",,,,"hep-ph hep-lat",,"  The correlation between instantons and QCD-monopoles is studied both in the
lattice gauge theory and in the continuum theory. From a simple topological
consideration, instantons are expected to live only around the QCD-monopole
trajectory in the abelian gauge. First, the instanton solution is analytically
studied in the Polyakov-like gauge, where $A_4(x)$ is diagonalized. The world
line of the QCD-monopole is found to be penetrate the center of each instanton
inevitably. For the single-instanton solution, the QCD-monopole trajectory
becomes a simple straight line. On the other hand, in the multi-instanton
system, the QCD-monopole trajectory often has complicated topology including a
loop or a folded structure, and is unstable against a small fluctuation of the
location and the size of instantons. We also study the thermal instanton system
in the Polyakov-like gauge. At the high-temperature limit, the monopole
trajectory becomes straight lines in the temporal direction. The topology of
the QCD-monopole trajectory is drastically changed at a high temperature.
Second, the correlation between instantons and QCD-monopoles is studied in the
maximally abelian (MA) gauge and/or the Polyakov gauge using the SU(2) lattice
with $16^4$. The abelian link variable $u_\mu (s)$ is decomposed into the
singular (monopole-dominating) part $u_\mu ^{Ds}(s)$ and the regular
(photon-dominating) part $u_\mu ^{Ph}(s)$. The instanton numbers, $Q({\rm Ds})$
and $Q({\rm Ph})$, are measured using the SU(2) variables, $U_\mu ^{Ds}(s)$ and
$U_\mu ^{Ph}(s)$, which are reconstructed by multiplying the off-diagonal
matter factor to $u_\mu ^{Ds}(s)$ and $u_\mu ^{Ph}(s)$, respectively. A strong
correlation is found between $Q({\rm Ds})$ in the singular part and the
ordinary topological charge $Q({\rm SU(2)})$ even after the Cabibbo-Marinari
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 11:23:49 GMT""},{""version"":""v2"",""created"":""Fri, 22 Dec 1995 06:57:09 GMT""}]","2008-02-03"
"hep-ph/9512348","Narison Stephan","Stephan Narison (LPM-Montpellier)","Heavy quarkonia mass-splittings in QCD: test of the $1/m$-expansion and
  estimates of $<\alpha_s G^2>$ and $\alpha_s$","Version to appear in Phys. Lett. B which contains more discussions on
  the estimate of the gluon condensate and $\alpha_s$","Phys.Lett.B387:162-172,1996","10.1016/0370-2693(96)00954-9","PM 95/51","hep-ph",,"  New double ratios of exponential moments of different two-point functions,
which are less sensitive to the heavy quark mass and to the continuum effects
than the commonly used ratio of moments, are presented for a more refined
analysis of the mass-splittings between the different heavy quarkonia states.
We show that at the $c$ and $b$ quark mass scales the $1/m$-expansion does not
converge for these quarkonia channels, while a connection of our mass and width
formulae, with the potential model ones is done. Using the present value of the
QCD coupling $\alpha_s$, we deduce the value: $<\alpha_s G^2> = (7.5\pm
2.5)\times 10^{-2}$ GeV$^4$ of the gluon condensate from $M_\psi - M_{\eta_c}$
and $M_{\chi_b} - M_\Upsilon$, which we compare with the ones from different
fits of the heavy and light quark channels. We also find that
$M_{\chi_c(P^1_1)} - M_{\chi_c(P^3_1)}$ is gouverned by the radiative
corrections and gives $\alpha_s$(1.3 GeV) = 0.64$^{+0.36}_{-0.18}$ for 4
flavours, implying $\alpha_s(M_Z) = 0.127\pm 0.011$. Our predictions for the
splittings of different heavy quarkonia states are summarized in Table 2,
where, in particular, we find $M_{\Upsilon}-M_{\eta_b}\approx 63^{-29}_{+51}$
MeV implying the possible observation of the $\eta_b$ in the
$\Upsilon$-radiative decay.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 10:37:20 GMT""},{""version"":""v2"",""created"":""Fri, 2 Aug 1996 09:48:32 GMT""}]","2011-07-19"
"hep-ph/9512349","Carlo Giunti","S.M. Bilenky and C. Giunti","Possible tests for sterile neutrinos","Latex file, 6 pages including 1 figure. The postscript file of text
  and figures is available at http://www.to.infn.it/teorici/giunti/papers.html
  or ftp://ftp.to.infn.it/pub/giunti/1995/dftt-84-95/dftt-84-95.ps","Nucl.Phys.Proc.Suppl. 48 (1996) 381-383","10.1016/0920-5632(96)00278-2","DFTT 84/95. Talk presented by S.M. Bilenky at TAUP 95","hep-ph",,"  It is shown that the future SNO and Super-Kamiokande experiments, in which
high energy $^8\mathrm{B}$ neutrinos will be detected through the observation
of CC, NC and $\nu$--$e$ elastic scattering processes, could allow to reveal in
a model independent way the presence of sterile neutrinos in the flux of solar
neutrinos on the earth.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 12:47:52 GMT""}]","2009-10-28"
"hep-ph/9512350","Hyun-Chul Kim","Hyun-Chul Kim, A. Blotz, M.V. Polyakov and K. Goeke","Electromagnetic Properties of the SU(3) Octet Baryons in the
  semibosonized Nambu--Jona-Lasinio Model","4 pages with three figures. Talk given at 7th International
  Conference on the Structure of Baryons, Santa Fe, New Mexico, 3-7 Oct 1995",,,"RUB-TPII-29/95","hep-ph",,"  The electromagnetic properties of the SU(3) octet baryons are investigated in
the semibosonized SU(3) Nambu--Jona-Lasinio model.The rotational $1/N_c$ and
strange quark mass corrections in linear order are taken into account. It turns
out that the model is in good agreement with the experimental data.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 14:19:47 GMT""}]","2007-05-23"
"hep-ph/9512351","Hyun-Chul Kim","Hyun-Chul Kim, M.V. Polyakov and K. Goeke","Nucleon Tensor Charges in the Chiral Quark--Soliton Model","4 pages with 1 figure Talk given at 7th International Conference on
  the Structure of Baryons, Santa Fe, New Mexico, 3-7 Oct 1995",,,"RUB-TPII-31/95","hep-ph",,"  We investigate the singlet $g_T^{(0)}$ and isovector $g_T^{(3)}$ tensor
charges of the nucleon, which are deeply related to the first moment of the
leading twist transversity quark distribution $h_1(x)$, in the chiral
quark-soliton model. With rotational $O(1/N_c) $ corrections taken into
account, we obtain $g_T^{(0)}=0.69$ and $g_T^{(3)}=1.45$ at a low normalization
poin of several hundreds MeV.
  Within the same approximation and parameters the model yields
$g_A^{(0)}=0.36$, $g_A^{(3)}=1.21$ for axial charges and correct
octet--decuplet mass splitting. We show how the chiral quark-soliton model
interpolates between the nonrelativistic quark model and the Skyrme model.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 14:12:44 GMT""}]","2007-05-23"
"hep-ph/9512352","V. Gribov","V.N. Gribov","Bound states of massless fermions as a source for new physics","9 pages, LaTex, 11 figures (pictex) in separate file. Opening lecture
  given at the 33rd course of the International School of Subnuclear Physics,
  Erice, Sicily (1995)",,,"TK-95-35","hep-ph",,"  The contribution of interactions at short and large distances to particle
masses is discussed in the framework of the standard model.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 14:15:51 GMT""}]","2007-05-23"
"hep-ph/9512353","Carlo Giunti","S.M. Bilenky, A. Bottino, C. Giunti and C. W. Kim","Neutrino oscillations with three-generation mixings and mass hierarchy","Latex file, 6 pages including 1 figure. The postscript file of text
  and figures is available at http://www.to.infn.it/teorici/giunti/papers.html
  or ftp://ftp.to.infn.it/pub/giunti/1995/dftt-83-95/dftt-83-95.ps","Nucl.Phys.Proc.Suppl. 48 (1996) 198-200","10.1016/0920-5632(96)00237-X","DFTT 83/95. Talk presented by C. Giunti at TAUP 95","hep-ph",,"  We have analyzed the results of reactor and accelerator neutrino oscillation
experiments in a model with mixing of three neutrino fields and a neutrino mass
hierarchy. It is shown that $ \nu_\mu \leftrightarrows \nu_e $ oscillations
with $ 0.6 \le \Delta m^2 \le 100 \, \mathrm{eV}^2 $ and amplitude larger than
$ 2 \times 10^{-3} $ are not compatible with the existing limits on neutrino
oscillations if the non-diagonal elements of the mixing matrix are small. Thus,
if the excess of positron events recently observed in the LSND experiment is
due to $ \bar\nu_\mu \to \bar\nu_e $ oscillations, the mixing in the lepton
sector is basically different from the CKM mixing of quarks.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 13:28:28 GMT""}]","2009-10-28"
"hep-th/9512128","Victor Gurarie","V. Gurarie and A. Migdal","Instantons in Burgers Equation","11 pages, LATEX","Phys.Rev. E54 (1996) 4908-4914","10.1103/PhysRevE.54.4908","PUPT-1583","hep-th chao-dyn cond-mat nlin.CD",,"  The instanton solution for the forced Burgers equation is found. This
solution describes the exponential tail of the probability distribution
function of velocity differences in the region where shock waves are absent.
The results agree with the one found recently by Polyakov, who used the
operator product conjecture. If this conjecture is true, then our WKB
asymptotics of the Wyld functional integral is exact to all orders of the
perturbative expansion around the instanton solution. We explicitly checked
this in the first order. We also generalized our solution for the arbitrary
dimension of Burgers (=KPZ) equation. As a result we found the angular
dependence of the velocity difference PDF.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 01:12:14 GMT""},{""version"":""v2"",""created"":""Tue, 26 Dec 1995 22:03:55 GMT""},{""version"":""v3"",""created"":""Sun, 31 Dec 1995 23:05:08 GMT""}]","2009-10-28"
"hep-th/9512132","Paul Federbush","Paul Federbush ( University of Michigan )","Chiral Anomalies? A Voice for Choice","8 pages, LaTeX, revision treats only abelian anomaly, relates theory
  to Wess-Zumino model",,,,"hep-th",,"  We consider theories with gauged chiral fermions in which there are abelian
anomalies, and no nonabelian anomalies (but there may be nonabelian gauge
fields present). We construct an associated theory that is gauge invariant,
renormalizable, and with the same particle content, by adding a finite number
of terms to the action. Alternatively one can view the new theory as arising
from the original theory by using another regularization, one that is gauge
invariant. The situation is reminiscent of the mechanism of adding Fadeev-Popov
ghosts to an unsatisfactory gauge theory, to arrive at the usual quantization
procedure. The models developed herein are much like the abelian Wess-Zumino
model (an abelian effective theory with a Wess-Zumino counter term), but unlike
the W-Z model are renormalizable!
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 16:00:48 GMT""},{""version"":""v2"",""created"":""Thu, 15 Feb 1996 20:53:29 GMT""}]","2008-02-03"
"hep-th/9512134","Preitschopf","C.R. Preitschopf","Octonions and Supersymmetry","8 pages, latex",,,"HUB-IEP 95/31","hep-th",,"  We apply the techniques of $S^7$-algebras to the construction of N=5-8
superconformal algebras and of S{\bf O}(1,9), a modification of SO(1,9) which
commutes with $S^7$-transformations. We discuss the relevance of S{\bf O}(1,9)
for off-shell super-Maxwell theory in D=(1,9).
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 23:04:04 GMT""}]","2007-05-23"
"hep-th/9512135","Dave Robertson","Stephen S. Pinsky and David G. Robertson","Light-Front QCD(1+1) Coupled to Chiral Adjoint Fermions","14 pages, RevTeX, two figures requiring BoxedEPS.tex. References
  added and some typos corrected","Phys.Lett. B379 (1996) 169-178","10.1016/0370-2693(96)00252-3","OHSTPY-HEP-TH-95-034","hep-th",,"  We consider SU(N) gauge theory in 1+1 dimensions coupled to chiral fermions
in the adjoint representation of the gauge group. With all fields in the
adjoint representation the gauge group is actually SU(N)/Z_N, which possesses
nontrivial topology. In particular, there are N distinct topological sectors
and the physical vacuum state has a structure analogous to a \theta vacuum. We
show how this feature is realized in light-front quantization for the case N=2,
using discretization as an infrared regulator. In the discretized form of the
theory the nontrivial vacuum structure is associated with the zero momentum
mode of the gauge field A^+. We find exact expressions for the degenerate
vacuum states and the analog of the \theta vacuum. The model also possess a
condensate which we calculate. We discuss the difference between this chiral
light-front theory and the theories that have previously been considered in the
equal-time approach.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 21:35:02 GMT""},{""version"":""v2"",""created"":""Mon, 25 Dec 1995 05:08:16 GMT""}]","2009-10-28"
"hep-th/9512136","Henric Rhedin","Henric Rhedin","Gauged WZNW models and coset constructions in relation to string
  theories","105 pages, plain latex, Ph.D. Thesis",,,"ISBN 91-628-1839-2","hep-th",,"  We start by giving a brief introduction to string theory with emphasis on the
example of the bosonic string. In order to fully appreciate string theory it is
necessary to study the dynamics of the surface that the string traces out when
moving in space-time. This is described by what is known as conformal field
theory, which is the subject of chapter two. After this digression we return to
string theory to give some insight into how the results of the articles
contained in this thesis could provide with interesting ingredients for
constructions of realistic string theories. This is also continued on to some
extent in chapter seven and eight. The articles in this thesis are discussing
mainly two subjects, gauged WZNW models and affine branching functions. The
background for those issues is given in chapter seven and eight. In the
articles contained in this thesis we use two major tools. First affine Lie
algebras and its representation theory, and secondly BRST quantization. In
chapter four and five we deal with affine Lie algebras, and in chapter six we
try to illuminate some issues on BRST quantization.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 21:40:16 GMT""}]","2016-09-06"
"hep-th/9512137","Robert C. Myers","R.R. Khuri and R.C. Myers","Low-Energy Scattering of Black Holes and p-branes in String Theory","plain TeX, needs harvmac, 6 pages; Talk by RRK to appear in
  Proceedings of Sixth Canadian Conference on General Relativity and
  Relativistic Astrophysics; for details see hep-th/9512061","Fields Inst. Comm. 15 (1997) 273",,"McGill/95-25, CERN-TH/95-345","hep-th",,"  We discuss the low-energy dynamics of generalized extremal higher membrane
black hole solutions of string theory and higher membrane theories following
Manton's prescription for multi-soliton solutions. A flat metric is found for
those solutions which possess $\kappa$-symmetry on the worldvolume.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 21:48:35 GMT""}]","2007-05-23"
"hep-th/9512138","Rolf Schimmrigk","Bruce Hunt and Rolf Schimmrigk","Heterotic Gauge Structure of Type II K3 Fibrations","15 pages, 3 eps figures","Phys.Lett. B381 (1996) 427-436","10.1016/0370-2693(96)00575-8","NSF-ITP-95-158, BONN-TH-95-20","hep-th",,"  We show that certain classes of K3 fibered Calabi-Yau manifolds derive from
orbifolds of global products of K3 surfaces and particular types of curves.
This observation explains why the gauge groups of the heterotic duals are
determined by the structure of a single K3 surface and provides the dual
heterotic picture of conifold transitions between K3 fibrations. Abstracting
our construction from the special case of K3 hypersurfaces to general K3
manifolds with an appropriate automorphism, we show how to construct Calabi-Yau
threefold duals for heterotic theories with arbitrary gauge groups. This
generalization reveals that the previous limit on the Euler number of
Calabi-Yau manifolds is an artifact of the restriction to the framework of
hypersurfaces.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 07:50:59 GMT""}]","2009-10-28"
"hep-th/9512139",,"Antoine Van Proeyen","Vector multiplets in N=2 supersymmetry and its associated moduli spaces","40 pages, latex, no figures. Lectures given in the 1995 Trieste
  summer school in high energy physics and cosmology. Minor corrections and 1
  reference added",,,"KUL-TF-95/39","hep-th",,"  An introduction to $N=2$ rigid and local supersymmetry is given. The
construction of the actions of vector multiplets is reviewed, defining special
K\""ahler manifolds. Symplectic transformations lead to either isometries or
symplectic reparametrizations. Writing down a symplectic formulation of special
geometry clarifies the relation to the moduli spaces of a Riemann surface or a
Calabi-Yau 3-fold. The scheme for obtaining perturbative and non-perturbative
corrections to a supersymmetry model is explained. The Seiberg-Witten model is
reviewed as an example of the identification of duality symmetries with
monodromies and symmetries of the associated moduli space of a Riemann surface.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 14:46:09 GMT""},{""version"":""v2"",""created"":""Thu, 1 Feb 1996 16:48:27 GMT""}]","2008-02-03"
"hep-th/9512140",,"S. Elitzur, A. Forge, A. Giveon, E. Rabinovici","Summary of Results in N=1 Supersymmetric SU(2) Gauge Theories","13 pages","Nucl.Phys.Proc.Suppl. 49 (1996) 174-182; Fortsch.Phys. 44 (1996)
  539-550","10.1016/0920-5632(96)00333-7","CERN-TH/95-329","hep-th",,"  We summarize some results in 4d, N=1 supersymmetric SU(2) gauge theories: the
exact effective superpotentials, the vacuum structure, and the exact effective
Abelian couplings for arbitrary bare masses and Yukawa couplings.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 10:47:40 GMT""}]","2009-10-28"
"hep-th/9512141","Shoichi Sasaki Rcnp","H. Suganuma(RCNP), K. Itakura(Tokyo Univ.) and H. Toki(RCNP)","Instanton and QCD-monopole Trajectory in the Abelian Dominating System","17 pages, Plain Tex, uses PHYZZX (12 figures - available on request
  from suganuma@miho.rcnp.osaka-u.ac.jp )",,,,"hep-th",,"  Correlation between instantons and QCD-monopoles is studied in the
abelian-gauge-fixed QCD. From a simple topological consideration, instantons
are expected to appear only around the QCD-monopole trajectory in the
abelian-dominating system. The QCD-monopole in the multi-instanton solution is
studied in the Polyakov-like gauge, where $A_4(x)$ is diagonalized. The world
line of the QCD-monopole is found to be penetrate the center of each instanton.
For the single-instanton solution, the QCD-monopole trajectory becomes a simple
straight line. On the other hand, in the multi-instanton system, the
QCD-monopole trajectory often has complicated topology including a loop or a
folded structure, and is unstable against a small fluctuation of the location
and the size of instantons. We also study the thermal instanton system in the
Polyakov-like gauge. At the high-temperature limit, the monopole trajectory
becomes straight lines in the temporal direction. The topology of the
QCD-monopole trajectory is drastically changed at a high temperature.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 11:25:17 GMT""},{""version"":""v2"",""created"":""Fri, 22 Dec 1995 06:57:48 GMT""}]","2008-02-03"
"hep-th/9512142",,"R. Shaisultanov","On the string-inspired approach to QED in external field","14 pages,Revtex,no figures","Phys.Lett. B378 (1996) 354-356","10.1016/0370-2693(96)00359-0",,"hep-th",,"  Strassler's formulation of the string-derived Bern-Kosower formalism is
extended to consider QED processes in homogeneous constant external field. A
compact expression for the contribution of the one-loop with arbitrary number
of external photon lines is given for scalar QED. Extension to spinor QED is
shortly discussed.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 13:41:34 GMT""}]","2009-10-28"
"hep-th/9512143","Michael Faux","P. Claus, B. de Wit, M. Faux, B. Kleijn, R. Siebelink and P. Termonia","The Vector-Tensor Supermultiplet with Gauged Central Charge","8 pages, LATEX","Phys.Lett. B373 (1996) 81-88","10.1016/0370-2693(96)00101-3","KUL-TF-95/38, THU-TH-95/35, ULB-TH-95/16","hep-th",,"  The vector-tensor multiplet is coupled off-shell to an N=2 vector multiplet
such that its central charge transformations are realized locally. A gauged
central charge is a necessary prerequisite for a coupling to supergravity and
the strategy underlying our construction uses the potential for such a coupling
as a guiding principle. The results for the action and transformation rules
take a nonlinear form and necessarily include a Chern-Simons term. After a
duality transformation the action is encoded in a homogeneous holomorphic
function consistent with special geometry.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 13:46:39 GMT""}]","2009-10-28"
"hep-th/9512144",,"R. Shaisultanov","Backreaction in spinor QED and decoherence functional","14 pages,Revtex,no figures",,,,"hep-th",,"  Using the Schwinger-Keldysh (closed time path or CTP) and Feynman-Vernon
influence functional formalisms we obtain an expression for the influence
functional in terms of Bogoliubov coefficients for the case of spinor quantum
electrodynamics. Then we derive a CTP effective action in semiclassical
approximation and its cumulant expansion. Using it we obtain a equation for the
description of the charged particle creation in electric field and of
backreaction of charged quantum fields and their fluctuations on time evolution
of this electric field. Also an intimate connection between CTP effective
action and decoherence functional will allow us to analyze how macroscopic
electromagnetic fields are ``measured'' through interaction with charges and
thereby rendered classical.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 13:42:40 GMT""}]","2007-05-23"
"hep-th/9512145","David Kutasov","David Kutasov","Orbifolds and Solitons","9 pages, harvmac; a few additional comments and references","Phys.Lett. B383 (1996) 48-53","10.1016/0370-2693(96)00708-3","EFI-95-79","hep-th",,"  We propose a conformal field theory description of a solitonic heterotic
string in type $IIA$ superstring theory compactified on $K3$, generalizing
previous work by J. Harvey, A. Strominger and A. Sen. In ten dimensions the
construction gives a fivebrane which is related to the fundamental type $II$
string by electric -- magnetic duality, and to the Dirichlet fivebrane of type
$IIB$ string theory by $SL(2, Z)$.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 14:44:09 GMT""},{""version"":""v2"",""created"":""Thu, 9 May 1996 18:25:51 GMT""}]","2009-10-28"
"hep-th/9512146","Rafael Ferraro","Rafael Ferraro and Claudio Simeone","Canonical Gauges in the Path Integral for Parametrized Systems","19 pages (TeX manuscript)","J.Math.Phys. 38 (1997) 599","10.1063/1.532006",,"hep-th gr-qc",,"  It is well known that --differing from ordinary gauge systems-- canonical
gauges are not admissible in the path integral for parametrized systems. This
is the case for the relativistic particle and gravitation. However, a time
dependent canonical transformation can turn a parametrized system into an
ordinary gauge system. It is shown how to build a canonical transformation such
that the fixation of the new coordinates is equivalent to the fixation of the
original ones; this aim can be achieved only if the Hamiltonian constraint
allows for an intrinsic global time. Thus the resulting action, describing an
ordinary gauge system and allowing for canonical gauges, can be used in the
path integral for the quantum propagator associated with the original
variables.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 12:22:00 GMT""},{""version"":""v2"",""created"":""Tue, 19 Dec 1995 12:45:00 GMT""}]","2009-10-28"
"hep-th/9512150","Robert Becker","Victor Kac (MIT), Andrey Radul (Howard University)","Representation theory of the vertex algebra $W_{1 + \infty}$","26 pages, AMS-TeX, all macros included",,,,"hep-th",,"  In our paper~\cite{KR} we began a systematic study of representations of the
universal central extension $\widehat{\Cal D}\/$ of the Lie algebra of
differential operators on the circle. This study was continued in the
paper~\cite{FKRW} in the framework of vertex algebra theory. It was shown that
the associated to $\widehat {\Cal D}\/$ simple vertex algebra $W_{1+ \infty,
N}\/$ with positive integral central charge $N\/$ is isomorphic to the
classical vertex algebra $W (gl_N)$, which led to a classification of modules
over $W_{1 + \infty, N}$. In the present paper we study the remaining
non-trivial case, that of a negative central charge $-N$. The basic tool is the
decomposition of $N\/$ pairs of free charged bosons with respect to $gl_N\/$
and the commuting with $gl_N\/$ Lie algebra of infinite matrices
$\widehat{gl}$.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 21:13:03 GMT""}]","2007-05-23"
"math/9512209",,"Spiros A. Argyros, S. Merkourakis, A. Tsarpalias","Convex unconditionality and summability of weakly null sequences",,,,"Banach Archive 12/19/95","math.FA",,"  It is proved that every normalized weakly null \sq\ has a sub\sq\ which is
convexly unconditional. Further, an Hierarchy of summability methods is
introduced and with this we give a complete classification of the complexity of
weakly null \sq s.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 00:00:00 GMT""}]","2016-09-06"
"mtrl-th/9512002","Goranka Bilalbegovic","G. Bilalbegovic (Institute Rudjer Boskovic, Zagreb, Croatia)","Wetting of the Au(110) substrate: Homoepitaxial islands and layers","7 twocolumn pages, RevTeX, 6 figures in gif format (Postscript
  available on request), to appear in Phys. Rev. B","Phy. Rev. B 53, 1616 (1996)","10.1103/PhysRevB.53.1616",,"mtrl-th cond-mat.mtrl-sci",,"  The morphology of epitaxial structures formed in solidification of liquid Au
films on the Au(110) surface was studied by molecular dynamics simulation based
on a many--body interatomic potential. The (1x2) reconstructed and smooth phase
at the temperature T=500 K, as well as a deconstructed and rough phase of the
Au(110) substrate at T=900 K, were investigated. The three--dimensional islands
with the (111) oriented facets were formed in solidification of thinner liquid
films. At the same time, the substrate below these islands underwent a weak
faceting process. Conversely, the solidification of thicker liquid films
resulted in the flat solid films. The two surface phases of the Au(110)
substrate induced different structure of these epitaxial solid films. The films
were studied via construction of the Voronoi polyhedra, density profiles, and
surface stress calculations.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 10:13:29 GMT""},{""version"":""v2"",""created"":""Wed, 20 Dec 1995 13:34:28 GMT""}]","2009-10-28"
"nucl-ex/9512003",,"M. D'Agostino, A. S. Botvina, P. M. Milazzo, M. Bruno, G. J. Kunde, D.
  R. Bowman, L. Celano, N. Colonna, J. D. Dinius, A. Ferrero, M. L. Fiandri, C.
  K. Gelbke, T. Glasmacher, F. Gramegna, D. O. Handzy, D. Horn, W. C. Hsi, M.
  Huang, I. Iori, M. A. Lisa, W. G. Lynch, L. Manduci, G. V. Margagliotti, P.
  F. Mastinu, I. N. Mishustin, C. P. Montoya, A. Moroni, G. F. Peaslee, F.
  Petruzzelli, L. Phair, R. Rui, C. Schwarz, M. B. Tsang, G. Vannini, C.
  Williams","Statistical Multifragmentation in Central Au+Au Collisions at 35 MeV/u","Latex file, 8 pages + 4 postscript figures available upon request
  from Dagostino@axpbo4.bo.infn.it","Phys.Lett. B371 (1996) 175-180","10.1016/0370-2693(96)00008-1",,"nucl-ex",,"  Multifragment disintegrations, measured for central Au + Au collisions at E/A
= 35 MeV, are analyzed with the Statistical Multifragmentation Model. Charge
distributions, mean fragment energies, and two-fragment correlation functions
are well reproduced by the statistical breakup of a large, diluted and
thermalized system slightly above the multifragmentation threshold.
","[{""version"":""v1"",""created"":""Tue, 19 Dec 1995 15:54:12 GMT""},{""version"":""v2"",""created"":""Wed, 20 Dec 1995 11:27:50 GMT""}]","2009-10-28"
"nucl-th/9512024",,"C.E.Aguiar, T.Kodama, R.A.M.S.Nazareth, and G.Pech","Charm Production in Flux Tubes","14 pages, LaTex, 5 Postscript figures, to appear in Phys.Rev.C","Phys.Rev.C53:448-452,1996","10.1103/PhysRevC.53.448","ECT*/Jul/95-03","nucl-th hep-ph",,"  We argue that the non-perturbative Schwinger mechanism may play an important
role in the hadronic production of charm. We present a flux tube model which
assumes that the colliding hadrons become color charged because of gluon
exchange, and that a single non-elementary flux tube is built up as they
recede. The strong chromoelectric field inside this tube creates quark pairs
(including charmed ones) and the ensuing color screening breaks the tube into
excited hadronic clusters. On their turn these clusters, or `fireballs', decay
statistically into the final hadrons. The model is able to account for the soft
production of charmed, strange and lighter hadrons within a unified framework.
","[{""version"":""v1"",""created"":""Mon, 18 Dec 1995 16:13:25 GMT""}]","2008-11-26"
