"alg-geom/9512008",,"Peter Schenzel","Applications of Koszul homology to numbers of generators and syzygies","To appear in J. Pure Appl. Algebra, LaTeX2e",,,,"alg-geom math.AC math.AG",,"  Several spectral sequence techniques are used in order to derive information
about the structure of finite free resolutions of graded modules. These results
cover estimates of the minimal number of generators of defining ideals of
projective varieties. There are also investigations about the shifts and the
dimension of Betti numbers.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 10:56:44 GMT""}]","2008-02-03"
"hep-ph/9512273","Kirsten Buttner","Kirsten B\""uttner","Solutions to the Schwinger-Dyson equation for the gluon and their
  implications for confinement","8 pages, latex, 2 figures, Invited talk given at the ELFE Summer
  School and Workshop on Confinement Physics, Cambridge, June 1995",,,"DTP-95/66","hep-ph",,"  Using the Schwinger-Dyson equations the possible infrared behaviour of the
gluon propagator is studied. Previous work performed in axial gauges is
reviewed, the approximations needed detailed and the difficulties of their
justification discussed. We then turn to the Landau gauge and investigate the
possibility of a gluon propagator less singular than $1/p^{2}$ when $p^{2}
\rightarrow 0$. We find that this infrared softened behaviour of the gluon
propagator is inconsistent; only an infrared enhanced gluon, as singular as
$1/p^{4}$ when $p^{2} \rightarrow 0$ is consistent with the truncated
Schwinger-Dyson equation. The implications for confinement and for the
modelling of the Pomeron are discussed.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 15:11:12 GMT""}]","2007-05-23"
"hep-ph/9512274",,"Piotr Zenczykowski (Inst.Nucl.Physics, Krakow)","The puzzle of the quark model: Weak radiative hyperon decays","10 pages, LaTeX, reformatted to dispense with the use of the
  espcrc2.sty file, to appear in the Proceedings of the conference ""Production
  and Decay of Hyperons, Charm and Beauty Hadrons"", Strasbourg, September 5-8,
  1995","Nucl.Phys.Proc.Suppl. 50 (1996) 211-215","10.1016/0920-5632(96)00393-3","1702/PH - INP, Krakow, November 1995","hep-ph",,"  Weak radiative hyperon decays present us with a long-standing puzzle, namely
the question of validity of a hadron-level theorem proved by Hara. We briefly
discuss the conflict between expectations based on Hara's theorem and
experiment as well as the way in which the quark model evades the theorem.
Violation of Hara's theorem in the quark model is traced back to the issue of
hadron compositeness and the nonequivalence of standard ways of imposing
gauge-invariance condition at quark and hadron levels. This suggests that our
understanding of nonlocal composite nature of hadrons may require some
important change.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 13:36:00 GMT""},{""version"":""v2"",""created"":""Thu, 14 Dec 1995 12:09:00 GMT""}]","2009-10-28"
"hep-ph/9512275",,"Thomas D. Cohen","Large-$N_c$ and Chiral Limits of QCD and Models of the Baryon","18 pages. Replaced version is the one which will appear in print",,,,"hep-ph",,"  Two ideas have greatly contributed to our understanding of baryon structure
in the framework of Quantum Chromodynamics (QCD). The first, chiral symmetry,
received its fundamental justification from QCD and has been developed into the
powerful technique of chiral perturbation theory. The other notion is the
large-$N_c$ limit, namely the behavior of QCD in the limit where there are a
large number of colors. Like chiral symmetry, the large-$N_c$ limit predicts
many relations between baryon matrix elements. These so-called
``model-independent'' predictions should agree with each other, but
paradoxically that is not always the case. The paradox is resolved by
recognizing that the two limiting processes (large-$N_c$ and the chiral limit)
do not commute. This noncommutivity can be traced to the special role played by
the $\Delta$ resonance in large-$N_c$ QCD. This gives rise to a new parameter
in the effective theory of baryons.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 15:47:36 GMT""},{""version"":""v2"",""created"":""Tue, 12 Dec 1995 16:14:11 GMT""},{""version"":""v3"",""created"":""Mon, 18 Mar 1996 14:54:36 GMT""}]","2009-09-25"
"hep-th/9512061","Robert C. Myers","R.R. Khuri and R.C. Myers","Rusty Scatter Branes","LaTeX, 15 pages","Nucl.Phys. B466 (1996) 60-74","10.1016/0550-3213(96)00076-4","McGill/95-61, CERN-TH/95-331","hep-th gr-qc",,"  We derive double dimensional reduction/oxidation in a framework where it is
applicable to describe general non-static (and anisotropic) $p$-brane
solutions. Given this procedure, we are able to relate the dynamical
interaction potential for parallel extremal $p$-branes in $D$ dimensions to
that for extremal black holes in $D-p$ dimensions. In particular, we find that
to leading order the potential vanishes for all $\kappa$-symmetric $p$-branes.
","[{""version"":""v1"",""created"":""Sun, 10 Dec 1995 16:23:12 GMT""}]","2009-10-28"
"hep-th/9512062","Paul Townsend","P.K. Townsend","D-branes from M-branes","Version to appear in Physics Letters B. Incorporates minor revisions
  to previous revised version. 16 pp","Phys.Lett. B373 (1996) 68-75","10.1016/0370-2693(96)00104-9","R/95/59","hep-th",,"  The 2-brane and 4-brane solutions of ten dimensional IIA supergravity have a
dual interpretation as Dirichlet-branes, or `D-branes', of type IIA superstring
theory and as `M-branes' of an $S^1$-compactified eleven dimensional
supermembrane theory, or M-theory. This eleven-dimensional connection is used
to determine the ten-dimensional Lorentz covariant worldvolume action for the
Dirichlet super 2-brane, and its coupling to background spacetime fields. It is
further used to show that the 2-brane can carry the Ramond-Ramond charge of the
Dirichlet 0-brane as a topological charge, and an interpretation of the 2-brane
as a 0-brane condensate is suggested. Similar results are found for the
Dirichlet 4-brane via its interpretation as a double-dimensional reduction of
the eleven-dimensional fivebrane. It is suggested that the latter be
interpreted as a D-brane of an open eleven-dimensional supermembrane.
","[{""version"":""v1"",""created"":""Sun, 10 Dec 1995 18:48:02 GMT""},{""version"":""v2"",""created"":""Mon, 8 Jan 1996 15:10:57 GMT""},{""version"":""v3"",""created"":""Tue, 9 Jan 1996 11:52:23 GMT""},{""version"":""v4"",""created"":""Wed, 31 Jan 1996 18:05:58 GMT""}]","2009-10-28"
"hep-th/9512063","Jose L. Fernandez-Barbon","J.L.F. Barbon and S. Ramgoolam","Some properties of unstable monopoles in Super-QCD","15 pages. harvmac","Phys.Rev. D55 (1997) 1013-1020","10.1103/PhysRevD.55.1013","PUPT-95-1580","hep-th",,"  We study embeddings of the Prasad-Sommerfield monopole solution in SU(N)
Super-QCD (N>2), where the role of the Higgs field is played by the squarks in
the fundamental representation. Classically, the resulting configurations live
in a phase with unbroken SU(k) subgroups of SU(N) (as a result they are not
topologically stable). The structure of zero modes is such that they can be
naturally interpreted as massive chiral superfields with R charge one and
baryon number zero, transforming in the adjoint representation of a dual gauge
group defined using the Goddard-Nuyts-Olive (GNO) framework. We discuss the
possible applications of these monopoles to N=1 duality, and more generally the
possibility of relating GNO-type dual gauge groups to those appearing in N=1
duality.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 03:03:03 GMT""}]","2009-10-28"
"hep-th/9512064","Shinya Wada","Hideaki Aoyama, Toshiyuki Harano, Masatoshi Sato, Shinya Wada","Valley Instanton versus Constrained Instanton","37 pages, 8 eps figures, LaTeX, uses epsf.sty, citesort.sty and
  wrapfig2.sty. Minor modifications","Nucl.Phys. B466 (1996) 127-158","10.1016/0550-3213(96)00066-1","KUCP-0084, KUNS-1369 HE(TH)95/19","hep-th",,"  Based on the new valley equation, we propose the most plausible method for
constructing instanton-like configurations in the theory where the presence of
a mass scale prevents the existence of the classical solution with a finite
radius. We call the resulting instanton-like configuration as valley instanton.
The detail comparison between the valley instanton and the constrained
instanton in $\phi^4$ theory and the gauge-Higgs system are carried out. For
instanton-like configurations with large radii, there appear remarkable
differences between them. These differences are essential in calculating the
baryon number violating processes with multi bosons.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 08:50:05 GMT""},{""version"":""v2"",""created"":""Wed, 13 Dec 1995 05:01:26 GMT""},{""version"":""v3"",""created"":""Thu, 14 Dec 1995 03:06:24 GMT""}]","2009-10-28"
"hep-th/9512065","Takashi Yamamoto","H. Awata, Y. Matsuo and T. Yamamoto","Collective Field Description of Spin Calogero-Sutherland Models","14 pages, one figure, LaTeX, with minor corrections","J.Phys.A29:3089-3098,1996","10.1088/0305-4470/29/12/016","YITP/95-20","hep-th cond-mat",,"  Using the collective field technique, we give the description of the spin
Calogero-Sutherland Model (CSM) in terms of free bosons. This approach can be
applicable for arbitrary coupling constant and provides the bosonized
Hamiltonian of the spin CSM. The boson Fock space can be identified with the
Hilbert space of the spin CSM in the large $N$ limit. We show that the
eigenstates corresponding to the Young diagram with a single row or column are
represented by the vertex operators. We also derive a dual description of the
Hamiltonian and comment on the construction of the general eigenstates.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 08:29:10 GMT""},{""version"":""v2"",""created"":""Tue, 12 Dec 1995 12:23:31 GMT""},{""version"":""v3"",""created"":""Wed, 13 Dec 1995 07:28:36 GMT""}]","2008-11-26"
"hep-th/9512066","Paul Howe","P.S. Howe","Twistors and supersymmetry","11 pages, latex",,,"ENSLAPP-A-564/594","hep-th",,"  An overview is given of the application of twistor geometric ideas to
supersymmetry with particular emphasis on the construction of superspaces
associated with four-dimensional spacetime. Talk given at Leuven conference,
July 1995.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 10:45:00 GMT""}]","2007-05-23"
"hep-th/9512067",,"G. Sartori and V. Talamini","Four Dimensional Orbit Spaces of Compact Coregular Linear Groups","23 pages, plain LaTeX, a review that has not distributed regularly","IJGT 2 (1994) 13",,,"hep-th",,"  All four dimensional orbit spaces of compact coregular linear groups have
been determined. The results are obtained through the integration of a
universal differential equation, that only requires as input the number of
elements of an integrity basis of the ideal of polynomial invariants of the
linear group. Our results are relevant and lead to universality properties in
the physics of spontaneous symmetry breaking at the classical level.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 11:57:07 GMT""}]","2007-05-23"
"hep-th/9512068","Jan Willem van Holten","J.W. van Holten","Fermions and world-line supersymmetry","Contr. Proc. Buckow Symposium (1995); latex, 12 pages","Nucl.Phys.Proc.Suppl. 49 (1996) 319-325","10.1016/0920-5632(96)00351-9","NIKHEF/95-067","hep-th",,"  The world-line path-integral representation of fermion propagators is
discussed. Particular attention is paid to the representation of $\gamma_5$,
which is connected to the realization of manifest world-line supersymmetry.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 13:49:11 GMT""}]","2009-10-28"
"hep-th/9512069",,"Emilio N. M. Cirillo, Giuseppe Gonnella, Alessandro Pelizzola","Folding transition of the triangular lattice in a discrete
  three--dimensional space","11 pages, latex file, 2 postscript figures","Phys. Rev. E 53, (1996) 3253.","10.1103/PhysRevE.53.3253","Bari-th/221-95","hep-th cond-mat",,"  A vertex model introduced by M. Bowick, P. Di Francesco, O. Golinelli, and E.
Guitter (cond-mat/9502063) describing the folding of the triangular lattice
onto the face centered cubic lattice has been studied in the hexagon
approximation of the cluster variation method. The model describes the
behaviour of a polymerized membrane in a discrete three--dimensional space. We
have introduced a curvature energy and a symmetry breaking field and studied
the phase diagram of the resulting model. By varying the curvature energy
parameter, a first-order transition has been found between a flat and a folded
phase for any value of the symmetry breaking field.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 15:21:41 GMT""}]","2009-10-28"
"hep-th/9512071","Alan MacFarlane","N Linden A J Macfarlane (DAMTP, Cambridge) J W van Holten (NIKHEF,
  Amsterdam)","Particle Motion in a Yang-Mills Field: Wong's Equations and Spin
  One-half Analogues","6 pages, latex file, to appear in Czech J Phys","Czech.J.Phys.46:209-215,1996","10.1007/BF01688813",,"hep-th",,"  A complete, straightforward and natural Lagrangian description is given for
the classical non-relativistic dynamics of a particle with colour or internal
symmetry degrees of freedom moving in a background Yang-Mills field. This
provides a new simple Lagrangian formalism for Wong's equations for spinless
particles, and presents also their generalisation, in gauge covariant form, for
spin-$\frack$ particles, within a complete Lagrangian formalism.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 15:38:38 GMT""}]","2011-04-15"
"math/9512202","Menachem Kojman","Menachem Kojman and Saharon Shelah","A ZFC Dowker space in $\aleph_{\omega+1}$: an application of pcf theory
  to topology",,,,"Logic E-prints December 11, 1995; Shelah [KjSh:609]","math.LO",,"  A ZFC Dowker space is constructed which has cardinality $\aleph_{\omega+1}$.
This provides a bound in ZFC to the first cardinal in which there is a ZFC
Dowker space.
  The space we construct is a closed and cofinal subspace of M.~E.~Rudin's
Dowker space from 1971. A theorem from pcf theory used in the proof, but
otherwise the proof is elementary.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 00:00:00 GMT""}]","2016-09-06"
"math/9512217",,"Bjorn Poonen","The Complete Classification of Rational Preperiodic Points of Quadratic
  Polynomials over Q: A Refined Conjecture",,,,"MSRI 1995-099","math.NT math.DS",,"  We classify the graphs that can occur as the graph of rational preperiodic
points of a quadratic polynomial over $\bold Q$, assuming the conjecture that
it is impossible to have rational points of period $4$ or higher. In
particular, we show under this assumption that the number of preperiodic points
is at most~$9$. Elliptic curves of small conductor and the genus~$2$ modular
curves $X_1(13)$, $X_1(16)$, and $X_1(18)$ all arise as curves classifying
quadratic polynomials with various combinations of preperiodic points. To
complete the classification, we compute the rational points on a non-modular
genus~$2$ curve by performing a $2$-descent on its Jacobian and afterwards
applying a variant of the method of Chabauty and Coleman.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 00:00:00 GMT""}]","2016-09-06"
"quant-ph/9512012","Dirk Sondermann","Almut Beige and Gerhard C. Hegerfeldt","Projection Postulate and Atomic Quantum Zeno Effect","25 pages, LaTeX, no figures; to appear in Phys. Rev. A","Phys.Rev.A53:53-65,1996","10.1103/PhysRevA.53.53",,"quant-ph",,"  The projection postulate has been used to predict a slow-down of the time
evolution of the state of a system under rapidly repeated measurements, and
ultimately a freezing of the state. To test this so-called quantum Zeno effect
an experiment was performed by Itano et al. (Phys. Rev. A 41, 2295 (1990)) in
which an atomic-level measurement was realized by means of a short laser pulse.
The relevance of the results has given rise to controversies in the literature.
In particular the projection postulate and its applicability in this experiment
have been cast into doubt. In this paper we show analytically that for a wide
range of parameters such a short laser pulse acts as an effective level
measurement to which the usual projection postulate applies with high accuracy.
The corrections to the ideal reductions and their accumulation over n pulses
are calculated. Our conclusion is that the projection postulate is an excellent
pragmatic tool for a quick and simple understanding of the slow-down of time
evolution in experiments of this type. However, corrections have to be
included, and an actual freezing does not seem possible because of the finite
duration of measurements.
","[{""version"":""v1"",""created"":""Mon, 11 Dec 1995 14:21:20 GMT""}]","2008-11-26"
