"astro-ph/9505069","Jorge Cervantes","J.L. Cervantes-Cota and H. Dehnen","Induced gravity inflation in the standard model of particle physics","20 pages,4 figures using epsf, Latex","Nucl.Phys. B442 (1995) 391-412","10.1016/0550-3213(95)00128-X",,"astro-ph hep-th",,"  We are considering the cosmological consequences of an induced gravity theory
coupled to the minimal standard model of particle physics. The non-minimal
coupling parameter between gravity and the Higgs field must then be very large,
yielding some new cosmological consequences for the early Universe and new
constraints on the Higgs mass. As an outcome, new inflation is only possible
for very special initial conditions producing first a short contraction era
after which an inflationary expansion automatically follows; a chaotic
inflationary scenario is successfully achieved. The contrast of density
perturbations required to explain the seed of astronomic structures are
obtained for very large values of the Higgs mass ($M_{H} >> G_{F}^{-1/2}$),
otherwise the perturbations have a small amplitude; in any case, the spectral
index of scalar perturbations agrees with the observed one.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 19:00:03 GMT""}]","2009-10-28"
"hep-ph/9505325","Katsuhiko Suzuki","Katsuhiko Suzuki","Pion structure function in nuclear medium","16 pages (LaTeX), 5 figures are available as uuencoded PS files upon
  request","Phys.Lett. B368 (1996) 1-6","10.1016/0370-2693(95)01462-4","TMU-NT950501","hep-ph",,"  We study the pion structure function in nuclear medium using the Nambu and
Jona-Lasinio model, and its implication for the nuclear pion enhancement of the
sea quark distribution in nuclei. By using the operator product expansion,
medium effect of the nuclear matter is incorporated in calculations of the
twist-2 operators. We find density dependence of the pion structure function is
rather weak around the nuclear matter density. We also discuss how the medium
modification of the pion structure affects the sea quark enhancement in the
nucleus.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 11:10:47 GMT""}]","2009-10-28"
"hep-ph/9505326","Steve King","S. F. King and P. L. White","Resolving the Constrained Minimal and Next-to-Minimal Supersymmetric
  Standard Models","76 pages, latex, no macros, uuencoded figures included separately.
  This version (to appear in Phys. Rev. D) contains various minor changes","Phys. Rev. D 52, 4183 (1995)","10.1103/PhysRevD.52.4183","SHEP 95-17, OUTP-9519P","hep-ph",,"  We perform a detailed analysis of the next-to-minimal supersymmetric standard
model (NMSSM), imposing the constraints of two-loop gauge coupling unification,
universal soft supersymmetry breaking and the correct pattern of electroweak
symmetry breaking. We compare our results with those for the minimal
supersymmetric standard model (MSSM) using closely related techniques and, as
far as possible, a common set of input and output variables. In general, in the
constrained NMSSM, there are much stronger correlations between parameters than
in the constrained MSSM, and we map out the allowed parameter space. We also
give a detailed discussion of how to resolve the two models experimentally,
concentrating primarily on the prospects at LEPII.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 11:21:04 GMT""},{""version"":""v2"",""created"":""Thu, 5 Oct 1995 15:52:42 GMT""},{""version"":""v3"",""created"":""Fri, 6 Oct 1995 11:13:07 GMT""}]","2016-08-24"
"hep-ph/9505327","Antonio Pich","A. Pich and J.P. Silva","Constraining new interactions with leptonic tau decays","24 pages, latex, no figures","Phys.Rev. D52 (1995) 4006-4018","10.1103/PhysRevD.52.4006","FTUV/95-21; IFIC/95-21","hep-ph",,"  The recent measurements of the Michel parameters in tau decays enable, for
the first time, a thorough analysis of the leptonic sector. In general, in
models beyond the Standard Model, these parameters will be altered through
changes in the W and Z couplings, and/or through interactions mediated by new
gauge bosons. We perform a complete, model independent analysis of the
constraints imposed by the present data on such boson-mediated interactions,
and point out the existence of useful relations among the couplings.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 12:24:28 GMT""}]","2009-10-28"
"hep-ph/9505328",,"M. Praszalowicz(Krakov), A. Blotz(Stony Brook), K. Goeke(Bochum)","The Constituent Quark Limit and the Skyrmion Limit of the Chiral Quark
  Soliton Model","One additional reference, 14 pages, latex, revtex, pictex","Phys.Lett. B354 (1995) 415-422","10.1016/0370-2693(95)00653-3","SUNY-NTG-95-13","hep-ph",,"  We calculate $g_A^3$ and $g_A^0$ in the Chiral Quark-Soliton Model (or
equivalently in semibosonized Nambu--Jona-Lasinio model) in the limit of small
and large soliton size. In small soliton limit we recover the results of the
Constituent Quark Model. The agreement between the two models is achieved due
to the recently calculated $1/\Nc$ contributions to $g_A^3$ and to $g_A^0$. In
the case of $g_A^3$ these terms arise from the {\it time-ordering} of the
collective operators. For large solitons simple scaling arguments show that the
$1/\Nc$ contributions vanish with the inverse power of the soliton size.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 15:39:26 GMT""},{""version"":""v2"",""created"":""Wed, 24 May 1995 15:59:03 GMT""}]","2009-10-28"
"hep-ph/9505330","James V. Steele","James V. Steele, Hidenaga Yamagishi, and Ismail Zahed","Master Formula Approach to Chiral Symmetry Breaking: Pi-Pi scattering","17 pages, LaTeX, 1 postscript file of 12 figures in addition.
  Equation 2 is changed, the rest is the same","Nucl.Phys. A615 (1997) 305-324","10.1016/S0375-9474(96)00488-5","SUNY-NTG-95-14","hep-ph",,"  The master formula approach to chiral symmetry breaking is used to analyze
the phase shifts for $\pi\pi$ scattering in the elastic region. The results are
in excellent agreement with the data for the phase shifts up to the K-K bar
threshold. Our analysis shows that the pi-pi data near threshold in the scalar
channel favors a large quark condensate in the vacuum, i.e. <q bar q> \sim
-(240 MeV)^3.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 13:23:00 GMT""},{""version"":""v2"",""created"":""Sun, 28 May 1995 22:23:00 GMT""}]","2009-10-28"
"hep-th/9505090","Tonatiuh Matos","Tonatiuh Matos (CINVESTAV-Mexico)","COMMENT ON ""Integrable Systems in Stringy Gravity""","2 pages, revtex, no figures",,,"CINVESTAV-fis gfm 05/95","hep-th",,"  This is a comment on the article ""Integrable Systems in Stringy Gravity"" by
D. V. Gal'tsov, Phys. Rev. Lett. 74, 2863, (1995).
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 00:54:01 GMT""}]","2007-05-23"
"hep-th/9505098",,"Luis E. Ibanez","Strings, Unification and dilaton/moduli-induced SUSY-breaking","Few missprints fixed; reference added",,,"FTUAM-95-15","hep-th hep-ph",,"  I discuss several issues concerning the use of string models as unified
theories of all interactions. After a short review of gauge coupling
unification in the string context, I discuss possible motivations for the
construction of $SU(5)$ and $SO(10)$ String-GUTs. I describe the construction
of such String-GUTs using different orbifold techniques and emphasize those
properties which could be general. Although $SO(10)$ and $SU(5)$ String-GUTs
are relatively easy to build, the spectrum bellow the GUT scale is in general
bigger than that of the MSSM and includes colour octets and $SU(2)$ triplets.
The phenomenological prospects of these theories are discussed. I then turn to
discuss soft SUSY-breaking terms obtained under the assumption of
dilaton/moduli dominance in SUSY-breaking string schemes. I underline the
unique finiteness pr of the soft terms induced by the dilaton sector. These
improved finiteness properties seem to be related to the underlying $SU(1,1)$
structure of the dilaton couplings. I conclude with an outlook and some
speculations regarding $N=1$ duality.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 16:17:36 GMT""},{""version"":""v2"",""created"":""Wed, 24 May 1995 09:28:54 GMT""}]","2008-02-03"
"hep-th/9505099","R. Mohayaee","R. Mohayaee and L. Wenham","Higher-loop anomalies in chiral gravities","21 pages, latex, 12 figures as uuencoded postscript. To appear in
  Nucl. Phys. B","Nucl.Phys. B454 (1995) 207-226","10.1016/0550-3213(95)00401-D","Imperial/TP/94-95/33","hep-th",,"  The one-loop anomalies for chiral $W_{3}$ gravity are derived using the
Fujikawa regularisation method. The expected two-loop anomalies are then
obtained by imposing the Wess-Zumino consistency conditions on the one-loop
results. The anomalies found in this way agree with those already known from
explicit Feynman diagram calculations. We then directly verify that the order
$\hbar^2$ non-local BRST Ward identity anomalies, arising from the ``dressing''
of the one-loop results, satisfy Lam's theorem. It is also shown that in a
rigorous calculation of $Q^2$ anomaly for the BRST charge, one recovers both
the non-local as well as the local anomalies. We further verify that, in chiral
gravities, the non-local anomalies in the BRST Ward identity can be obtained by
the application of the anomalous operator $Q^2$, calculated using operator
products, to an appropriately defined gauge fermion. Finally, we give arguments
to show why this relation should hold generally in reparametrisation-invariant
theories.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 17:31:13 GMT""},{""version"":""v2"",""created"":""Wed, 6 Sep 1995 16:46:51 GMT""}]","2009-10-28"
"hep-th/9505101",,"Pietro Antonio Grassi","Stability and renormalization of Yang-Mills theory with Background Field
  Method: a regularization independent proof","25 pages, Latex 2.09, no figures","Nucl.Phys. B462 (1996) 524-550","10.1016/0550-3213(96)00017-X","IFUM452/FT-95","hep-th",,"  In this paper the stability and the renormalizability of Yang-Mills theory in
the Background Field Gauge are studied. By means of Ward Identities of
Background gauge invariance and Slavnov-Taylor Identities the stability of the
classical model is proved and, in a regularization independent way, its
renormalizability is verified. A prescription on how to build the counterterms
is given and the possible anomalies which may appear for Ward Identities and
for Slavnov-Taylor Identities are shown.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 09:31:15 GMT""}]","2009-10-28"
"hep-th/9505102",,"F.Gliozzi, R.Tateo","Thermodynamic Bethe Ansatz and Threefold Triangulations","17 pages, 2 eps figures, enlarged version to appear in IJMPA","Int.J.Mod.Phys. A11 (1996) 4051-4064","10.1142/S0217751X96001905","DFTT-27/95 , DTP-19/95","hep-th",,"  In the Thermodynamic Bethe Ansatz approach to 2D integrable, ADE-related
quantum field theories one derives a set of algebraic functional equations (a
Y-system) which play a prominent role. This set of equations is mapped into the
problem of finding finite triangulations of certain 3D manifolds. This mapping
allows us to find a general explanation of the periodicity of the Y-system. For
the $A_N$ related theories and more generally for the various restrictions of
the fractionally-supersymmetric sine-Gordon models, we find an explicit,
surprisingly simple solution of such functional equations in terms of a single
unknown function of the rapidity. The recently-found dilogarithm functional
equations associated to the Y-system simply express the invariance of the
volume of a manifold for deformations of its triangulations.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 12:46:38 GMT""},{""version"":""v2"",""created"":""Thu, 16 May 1996 17:20:23 GMT""}]","2009-10-28"
"hep-th/9505104","Krzywicki","Z. Burda, J.-P. Kownacki and A. Krzywicki","Towards a Non-Perturbative Renormalization of Euclidean Quantum Gravity","12 pages Latex + 1 PS fig","Phys.Lett. B356 (1995) 466-471","10.1016/0370-2693(95)00852-C","LPTHE Orsay 95/34","hep-th hep-lat",,"  A real space renormalization group technique, based on the hierarchical
baby-universe structure of a typical dynamically triangulated manifold, is used
to study scaling properties of 2d and 4d lattice quantum gravity. In 4d, the
$\beta$-function is defined and calculated numerically. An evidence for the
existence of an ultraviolet stable fixed point of the theory is presented
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 14:34:20 GMT""}]","2009-10-28"
"hep-th/9505105","Cumrun Vafa","Shamit Kachru and Cumrun Vafa","Exact Results for N=2 Compactifications of Heterotic Strings","30 pages, Expansions and Modifications on more potential dual pairs
  involving K3 fibrations. Version to appear in Nuclear Physics B","Nucl.Phys.B450:69-89,1995","10.1016/0550-3213(95)00307-E","HUTP-95/A016","hep-th",,"  We search for $N=2$, $d=4$ theories which can be realized both as heterotic
string compactifications on $K_{3}\times T^{2}$ and as type II string
compactifications on Calabi-Yau threefolds. In such cases, the exact
non-perturbative superpotential of one string theory is given in terms of tree
level computations in the other string theory. In particular we find concrete
examples which provide the stringy realization of the results of Seiberg and
Witten on N=2 Yang-Mills theory, corrected by gravitational/stringy effects. We
also discuss some examples which shed light on how the moduli spaces of
different N=2 heterotic vacua are connected.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 13:45:07 GMT""},{""version"":""v2"",""created"":""Wed, 24 May 1995 19:38:11 GMT""},{""version"":""v3"",""created"":""Tue, 1 Aug 1995 15:24:27 GMT""}]","2009-07-09"
"hep-th/9505109","D'Hoker","Eric D'Hoker","Invariant Effective Actions and Cohomology","15 pages, Plain TeX, no figures",,,"UCLA/95/TEP/11","hep-th",,"  We review the correspondence between effective actions resulting from
non-invariant Lagrangian densities, for Goldstone bosons arising from
spontaneous breakdown of a symmetry group G to a subgroup H, and non-trivial
generators of the de Rham cohomology of G/H. We summarize the construction of
cohomology generators in terms of symmetric tensors with certain invariance and
vanishing properties with respect to G and H. The resulting actions in four
dimensions arise either from products of generators of lower degree such as the
Goldstone-Wilczek current, or are of the Wess-Zumino-Witten type. Actions in
three dimensions arise as Chern-Simons terms evaluated on composite gauge
fields and may induce fractional spin on solitons. {Contribution to the
Proceedings of STRINGS 95, held at University of Southern California, March 13
- 18, 1995.}
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 01:33:49 GMT""}]","2007-05-23"
"mtrl-th/9505007","Gian-Marco Rignanese","G.-M. Rignanese, Ph. Ghosez, J.-C. Charlier, J.-P. Michenaud, X. Gonze","A scaling hypothesis for corrections to total energy and stress in
  plane- wave based ab initio calculations","41 pages, Revtex 3.0, 10 figures","Phys. Rev. B 52, 8160 (1995).","10.1103/PhysRevB.52.8160",,"mtrl-th cond-mat.mtrl-sci",,"  We present a new technique aimed at preventing plane-wave based total energy
and stress calculations from the effect of abrupt changes in basis set size.
This s cheme relies on the interpolation of energy as a function of the number
of plane waves, and on a scaling hypothesis that allows to perform the
interpolation for a unique reference volume. From a theoretical point of view,
the new method is compared to those already pr oposed in the literature, and
its more rigorous derivation is emphasized. From a practical point of view, we
illustrate the importance of the correction o n different materials (Si,
BaTiO3, and He) corresponding to different types of b onding, and to different
k-point samplings and cut-off energies. Then, we compare the different
approaches for the calculation of the lattice par ameter, the bulk modulus, and
its derivative versus pressure in bulk silicon.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 16:35:14 GMT""},{""version"":""v2"",""created"":""Wed, 17 May 1995 08:46:43 GMT""},{""version"":""v3"",""created"":""Thu, 18 May 1995 07:52:15 GMT""}]","2009-10-28"
"mtrl-th/9505008","Karin M. Rabe","S. Ogut and K. M. Rabe","Polymorphism and metastability in NbN: Structural predictions from first
  principles","11 pages, in RevTex, 3 uuencoded figures",,"10.1103/PhysRevB.52.R8585",,"mtrl-th cond-mat.mtrl-sci",,"  We use ab initio pseudopotential total energy calculations with a plane wave
basis set to investigate the structural energetics of various phases of
polymorphic NbN. Particular attention is given to its recently discovered
superconducting phase with a $T_c$ of 16.4 K, reported to have the NbO
structure type. Results of total energy calculations show that it is in fact
energetically unfavorable for NbN to form in this cubic structure, and its
predicted theoretical lattice constant is significantly smaller than the
experimental value. Various approaches to the identification of an alternative
structure are discussed. In preliminary investigations, we have found two new
structures that are energetically more favorable than the NbO structure.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 13:48:19 GMT""}]","2015-06-26"
"nucl-ex/9505002","Gerhard Raimann","G. Raimann, A. Ozawa, R.N. Boyd, F.R. Chloupek, M. Fujimaki, K.
  Kimura, T. Kobayashi, J.J. Kolata, S. Kubono, I. Tanihata, Y. Watanabe, K.
  Yoshida","Study of the levels in $^{17}$C above the $^{16}$C + neutron threshold","14 pages RevTeX, gzipped postscript of paper and 6 postscript
  figures, minor changes to text, accepted for publication in Phys.Rev.C,
  available at ftp://www-physics.mps.ohio-state.edu/pub/nucex/b17","Phys.Rev.C 53 (1996) 1, 453.","10.1103/PhysRevC.53.453",,"nucl-ex astro-ph",,"  The $\beta$-delayed neutron decay of $^{17}$B was studied using a radioactive
ion beam. The neutron energies, measured via time-of-flight, give information
on states in $^{17}$C above the $^{16}$C + neutron threshold. States in
$^{17}$C were found at excitation energies of 2.25(2) MeV, 2.64(2) MeV and
3.82(5) MeV, and possibly at 1.18(1) MeV. These low lying states are of
possible interest for nuclear physics as well as for astrophysics.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 00:27:12 GMT""},{""version"":""v2"",""created"":""Tue, 17 Oct 1995 23:03:26 GMT""}]","2009-10-28"
"nucl-th/9505020",,"X.W. Pan, T.T.S. Kuo, M. Vallieres and D.H. Feng","Nuclear Shell Model Calculations with Fundamental Nucleon-Nucleon
  Interactions","16 pages, 4 figures. To appear in Phys. Rep. 1995",,"10.1016/0370-1573(95)00045-3",,"nucl-th",,"  Some fundamental Nucleon-Nucleon interactions and their applications to
finite nuclei are reviewed. Results for the few-body systems and from
Shell-Model calculations are discussed and compared to point out the advantages
and disadvantages of the different Nucleon-Nucleon interactions. The recently
developed Drexel University Shell Model (DUSM) code is mentioned.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 19:44:34 GMT""}]","2015-06-26"
"nucl-th/9505021","Yang Lu","Yang Lu and R.D. Amado","Nucleon-Antinucleon Annihilation in Large Nc QCD with rho and omega
  Mesons","A LaTex file which generates 22 pages of text. 17 postscript figures
  and a table-style file available by anonymous ftp at
  ftp://dept.physics.upenn.edu/pub/yanglu/ . (Check the file READ.ME there for
  information.) Submitted to Phys.Rev.C","Phys.Rev.C52:2158-2171,1995","10.1103/PhysRevC.52.2158",,"nucl-th",,"  We use classical/large Nc (number of colors) QCD to study
nucleon--antinucleon annihilation at rest. We include pion, rho and omega
fields in the classical dynamics, starting from the nonlinear sigma model. We
begin with a spherical blob of pionic matter with zero baryon number and energy
of twice the nucleon mass. This evolves according to the classical dynamics to
pion and vector meson fields into the radiation zone. The radiation fields are
quantized using the method of coherent states modified to include isospin and
four momentum conservation. Empirical information is extracted from that
coherent state. We find good agreement with data for single particle momentum
and number spectra, and with branching ratios to many annihilation channels.
All this emerges with nearly no free parameters.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 22:03:10 GMT""}]","2008-11-26"
"nucl-th/9505022",,"S. A. Rakityansky, S. A. Sofianos, and K. Amos","A METHOD OF CALCULATING THE JOST FUNCTION FOR ANALYTIC POTENTIALS","LaTex, 63K, 20 pages","NuovoCim.B111:363-380,1996","10.1007/BF02724658",,"nucl-th",,"  A combination of the variable-constant and complex coordinate rotation
methods is used to solve the two-body Schr\""odinger equation. The latter is
replaced by a system of linear first-order differential equations, which
enables one to perform direct calculation of the Jost function for all complex
momenta of physical interest, including the spectral points corresponding to
bound and resonance states. Explicit forms of the equations, appropriate for
central, noncentral, and Coulomb-tailed potentials are given. Within the
proposed method, the scattering, bound, virtual, and resonance state problems
can be treated in a unified way. The effectiveness of the method is
demonstrated by a numerical example.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 15:18:42 GMT""}]","2008-11-26"
"nucl-th/9505024",,"Wolfgang Bauer and Alexander Botvina","Pre-Equilibrium Particle Emission and Critical Exponent Analysis","9 pages + 4 postscript figures (uuencoded and included)","Phys.Rev.C52:R1760-R1763,1995","10.1103/PhysRevC.52.R1760",,"nucl-th",,"  In two different phase transition models of nuclear fragmentation we show
that the emission of pre-equilibrium particles and mixing of events from
different classes cannot be ignored in the analysis of nuclear fragmentation
data in terms of critical exponents, and we show how the apparent values of the
extracted exponents are affected.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 15:32:00 GMT""}]","2008-11-26"
"q-alg/9505017",,"S.Sachse, R. Weixler","ISO_q(3) and ISO_q(2,1)","10 pages, 12 figures, Latex",,"10.1063/1.531405","LMU-TPW 95-6","q-alg math.QA",,"  We prove the embedding of $ ISO_q(3) \hook ISU^{ex}_{\sqrt{q}}(2) $ and $
ISO_q(2,1) \hook ISL^{ex}_q(2,R)$ as $^*$-algebras and give a Hilbert space
representation of $ISU^{ex}_{\sqrt{q}}(2)$
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 15:00:30 GMT""}]","2009-10-28"
"quant-ph/9505013","B. M. Birla Science Centre","M.V.Altaiski (Centre for Applicable Mathematics and Computer Sciences,
  B.M. Birla Science Centre)","Wavelet basis for the Schr\""{o}dinger equation","LaTeX 4 pages, 7Kb",,,"BSC-CAMCS-95-05-04","quant-ph",,"  The self-similar representation for the Schr\""{o}dinger equation is derived.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 16:19:16 GMT""}]","2007-05-23"
"solv-int/9505003","Adler","V.E. Adler and I.T. Habibullin (Ufa Institute of Mathematics, Russian
  Academy of Sciences, Chernyshevsky str. 112, 450000 Ufa, Russia)","Integrable boundary conditions for the Toda lattice",,,"10.1088/0305-4470/28/23/021",,"solv-int nlin.SI",,"  The problem of construction of the boundary conditions for the Toda lattice
compatible with its higher symmetries is considered. It is demonstrated that
this problem is reduced to finding of the differential constraints consistent
with the ZS-AKNS hierarchy. A method of their construction is offered based on
the B\""acklund transformations. It is shown that the generalized Toda lattices
corresponding to the non-exceptional Lie algebras of finite growth can be
obtained by imposing one of the four simplest integrable boundary conditions on
the both ends of the lattice. This fact allows, in particular, to solve the
problem of reduction of the series $A$ Toda lattices into the series $D$ ones.
Deformations of the found boundary conditions are presented which leads to the
Painlev\'e type equations.
  Key words: Toda lattice, boundary conditions, integrability, B\""acklund
transformation, Lie algebras, Painlev\'e equations
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 03:00:01 GMT""}]","2016-09-08"
