"alg-geom/9505017","Ichiro Shimada","Ichiro Shimada","On projective plane curves whose complements have finite non-abelian
  fundamental groups","15 pages, Plain TeX",,,,"alg-geom math.AG",,"  We construct new examples of singular projective plane curves whose
complements have finite and non-abelian fundamental groups, by generalizing the
classical three cuspidal quartic curve discovered by Zariski.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 20:18:51 GMT""}]","2008-02-03"
"hep-ph/9505321","Alexander Studenikin","R.N.Faustov, V.O.Galkin and A.Yu.Mishurov","Exclusive semileptonic decays of B mesons into light mesons in the
  relativistic quark model","11 pages, Latex, 3 figures","Phys.Lett.B356:516-524,1995; ERRATUM-ibid.B367:391,1996","10.1016/0370-2693(95)00782-G",,"hep-ph",,"  The exclusive semileptonic $B\to \pi(\rho) e\nu$ decays are studied in the
framework of the relativistic quark model based on the quasipotential approach
in quantum field theory. The large recoil momentum of the final $\pi(\rho)$
meson allows for the expansion of the decay form factors at $q^2=0$ in the
inverse powers of $b$-quark mass. This considerably simplifies the analysis of
these decays. The $1/m_b$ expansion is carried out up to the first order. It is
found that the $q^2$-dependence of the axial form factor $A_1$ is different
from the $q^2$-behaviour of other form factors. We find $\Gamma(B\to \pi
e\nu)=(3.1\pm 0.6)\times \vert V_{ub}\vert ^2\times 10^{12}$s${}^{-1}$ and
$\Gamma(B\to \rho e\nu)=(5.7\pm 1.2)\times \vert V_{ub}\vert ^2\times
10^{12}$s${}^{-1}$. The relation between semileptonic and rare radiative
$B$-decays is discussed.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 10:23:39 GMT""},{""version"":""v2"",""created"":""Fri, 2 Jun 1995 11:32:48 GMT""}]","2011-01-27"
"hep-th/9505085","Vyjayanthi Chari","Vyjayanthi Chari and Andrew Pressley","Yangians, Integrable Quantum Systems and Dorey's rule","We have made corrections to the results for the Yangians associated
  to the non--simply laced algebras","Commun.Math.Phys. 181 (1996) 265-302","10.1007/BF02101006",,"hep-th math.QA q-alg",,"  We study tensor products of fundamental representations of Yangians and show
that the fundamental quotients of such tensor products are given by Dorey's
rule.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 19:03:02 GMT""},{""version"":""v2"",""created"":""Thu, 17 Aug 1995 19:27:57 GMT""}]","2009-10-28"
"hep-th/9505086","Andre LeClair","Andre LeClair","Quantum Theory of Self-Induced Transparency","15 pages, one figure, uses harvmac and epsf","Nucl.Phys. B450 (1995) 753-767","10.1016/0550-3213(95)00337-R","CLNS 95/1340","hep-th cond-mat",,"  It is known that classical electromagnetic radiation at a frequency in
resonance with energy splittings of atoms in a dielectric medium can be
described using the classical sine-Gordon equation. In this paper we quantize
the electromagnetic field and compute quantum corrections to the classical
results by using known results from the sine-Gordon quantum field theory. In
particular, we compute the intensity of spontaneously emitted radiation using
the thermodynamic Bethe ansatz with boundary interactions.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 19:17:05 GMT""}]","2009-10-28"
"hep-th/9505087","Mark Wexler","Mark Wexler","An approximation for random surfaces on arbitrary target spaces","31 pages, uuencoded Postscript (also available at
  http://parthe.lpthe.jussieu.fr/~wexler/ )",,,"PAR-LPTHE 95/28","hep-th hep-lat",,"  A perturbative technique, the low-temperature expansion, is developed for
matrix models of random surfaces. It can be applied to models with arbitrary
target spaces, including ones with c>1. As a simple illustration, the series is
worked out to 10th order for the surface coupled to a q-state Potts model.
Accurate estimates for, e.g., $\gamma_{str}$ are obtained both in the low q
(c<1) and high q (branched polymer) regimes, including the logarithmic
corrections to scaling.
","[{""version"":""v1"",""created"":""Mon, 15 May 1995 21:17:55 GMT""}]","2007-05-23"
"hep-th/9505088","Matt Strassler","R.G. Leigh and M.J. Strassler (Rutgers University)","Duality of Sp(2N) and SO(N) Supersymmetric Gauge Theories with Adjoint
  Matter","14 pages, no figures, uses harvmac","Phys.Lett. B356 (1995) 492-499","10.1016/0370-2693(95)00871-H","RU-95-30","hep-th",,"  We discuss electric-magnetic duality in two new classes of supersymmetric
Yang-Mills theories. The models have gauge group $Sp(2\nc)$ or $SO(\nc)$ with
matter in both the adjoint and defining representations. By perturbing these
theories with various superpotentials, we find a variety of new infrared fixed
points with dual descriptions. This work is complementary to that of Kutasov
and Schwimmer on $SU(\nc)$ and of Intriligator on other models involving
$Sp(2\nc)$ and $SO(\nc)$.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 05:30:03 GMT""}]","2009-10-28"
"hep-th/9505089","Philip Gibbs","Phil E. Gibbs","Event-Symmetric Physics","37 pages, TeX",,,"PEG-04-95","hep-th",,"  I examine various aspects of event-symmetric physics such as phase changes,
symmetry breaking and duality by studying a number of simple toy-models.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 07:46:01 GMT""}]","2007-05-23"
"hep-th/9505091","Olivier Babelon","J. Avan, O. Babelon, E. Billey","The Gervais-Neveu-Felder equation and the quantum Calogero-Moser systems","Comments and References added","Commun.Math.Phys. 178 (1996) 281-300","10.1007/BF02099449","PAR LPTHE 95-25","hep-th",,"  We quantize the spin Calogero-Moser model in the $R$-matrix formalism. The
quantum $R$-matrix of the model is dynamical. This $R$-matrix has already
appeared in Gervais-Neveu's quantization of Toda field theory and in Felder's
quantization of the Knizhnik-Zamolodchikov-Bernard equation.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 10:19:26 GMT""},{""version"":""v2"",""created"":""Thu, 18 May 1995 14:18:44 GMT""},{""version"":""v3"",""created"":""Fri, 19 May 1995 12:45:01 GMT""},{""version"":""v4"",""created"":""Tue, 7 Nov 1995 13:26:58 GMT""}]","2009-10-28"
"hep-th/9505092","Christof Gattringer","Christof Gattringer","On the U(1)-Problem of QED_2","Seminar talk given at the 1995 Schladming winter-school (to appear in
  the proceedings), 7 pages, Latex2e",,"10.1007/BFb0102565","MPI-Ph/95-42, UNIGRZ-UTP-15-05-95","hep-th",,"  QED_2 with mass and flavor has in common many features with QCD, and thus is
an interesting toy model relevant for four dimensional physics. The model is
constructed using Euclidean path integrals and mass perturbation series. The
vacuum functional is carefully decomposed into clustering states being the
analogue of the theta-vacuum of QCD. Finally the clustering theory can be
mapped onto a generalized Sine-Gordon model. Having at hand this bosonized
version, several lessons on the theta-vacuum, the U(1)-problem and
Witten-Veneziano-type formulas will be drawn. This sheds light on the
corresponding structures of QCD.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 12:33:17 GMT""}]","2015-06-26"
"hep-th/9505093",,"J. C. Brunelli and Ashok Das","Supersymmetric Two Boson Equation, Its Reductions and the Nonstandard
  Supersymmetric KP Hierarchy","44 pages, plain TeX","Int.J.Mod.Phys. A10 (1995) 4563-4600","10.1142/S0217751X95002114","UR-1422, ER-40685-871","hep-th",,"  In this paper, we review various properties of the supersymmetric Two Boson
(sTB) system. We discuss the equation and its nonstandard Lax representation.
We construct the local conserved charges as well as the Hamiltoniam structures
of the system. We show how this system leads to various other known
supersymmetric integrable models under appropriate field redefinition. We
discuss the sTB and the supersymmetric nonlinear Schr\""odinger (sNLS) equations
as constrained, nonstandard supersymmetric Kadomtsev-Petviashvili (sKP) systems
and point out that the nonstandard sKP systems naturally unify all the KP and
mKP flows while leading to a new integrable supersymmetrization of the KP
equation. We construct the nonlocal conserved charges associated with the sTB
system and show that the algebra of charges corresponds to a graded, cubic
algebra. We also point out that the sTB system has a hidden supersymmetry
making it an $N=2$ extended supersymmetric system.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 15:18:30 GMT""}]","2015-06-26"
"hep-th/9505094","Modanese Giovanni","G. Modanese","Theoretical analysis of a reported weak gravitational shielding effect","LaTex, 9 pages, no figures. Updated and improved version, to appear
  on Europhys. Lett","Europhys.Lett.35:413-418,1996","10.1209/epl/i1996-00129-8","MPI-PhT/95-44","hep-th cond-mat gr-qc hep-ph supr-con",,"  Under special conditions (Meissner-effect levitation in a high frequency
magnetic field and rapid rotation) a disk of high-$T_c$ superconducting
material has recently been found to produce a weak shielding of the
gravitational field. We show that this phenomenon has no explanation in the
standard gravity theories, except possibly in the non-perturbative Euclidean
quantum theory.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 15:02:04 GMT""},{""version"":""v2"",""created"":""Sat, 15 Jun 1996 16:38:18 GMT""}]","2010-12-17"
"hep-th/9505095",,"R. Amorim and J. Barcelos-Neto","BV QUANTIZATION OF A VECTOR-TENSOR GAUGE THEORY WITH TOPOLOGICAL
  COUPLING","10 pages, Latex","Mod.Phys.Lett. A10 (1995) 917-924","10.1142/S0217732395001009",,"hep-th",,"  We use the BV quantization method for a theory with coupled tensor and vector
gauge fields through a topological term. We consider in details the
reducibility of the tensorial sector as well as the appearance of a mass term
in the effective vectorial theory .
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 15:23:41 GMT""}]","2015-06-26"
"hep-th/9505096",,"R. Amorim and J. Barcelos-Neto","ON THE EQUIVALENCE AMONG SOME CHIRAL-BOSON THEORIES","11 pages, Latex","Z.Phys. C68 (1995) 513-517","10.1007/BF01620731",,"hep-th",,"  We make a comparative study of chiral-boson theories in the Florenani-Jackiw
(FJ) and linear constraint formulations. A special attention is given to the
case with an improved way of implementing the linear constraint. We show that
it has the same spectrum of the FJ formulation.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 15:22:27 GMT""}]","2009-10-28"
"hep-th/9505097","Bernard de Wit","B. de Wit and A. Van Proeyen","Isometries of special manifolds","Proceedings of the Meeting on Quaternionic Structures in Mathematics
  and Physics, Trieste, September 1994; ILAS/FM-6/1996, p.109--134. Minor
  correction and one additional reference",,,"THU-95/13, KUL-TF-95/13","hep-th",,"  We describe special Ka\""hler geometry, special quaternionic manifolds, and
very special real manifolds and analyze the structure of their isometries. The
classification of the homogeneous manifolds of these types is presented.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 15:26:29 GMT""},{""version"":""v2"",""created"":""Thu, 6 Jul 1995 20:11:22 GMT""},{""version"":""v3"",""created"":""Thu, 12 Oct 1995 18:21:39 GMT""},{""version"":""v4"",""created"":""Mon, 30 Jun 1997 12:54:08 GMT""}]","2008-02-03"
"math/9505208",,"Koji Fujiwara","The second bounded cohomology of a group with infinitely many ends",,,,"MSRI 1995-044","math.GR",,"  We study the second bounded cohomology of an amalgamated free product of
groups, and an HNN extension of a group. As an application, we have a group
with infinitely many ends has infinite dimensional second bounded cohomology.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 00:00:00 GMT""}]","2008-02-03"
"q-alg/9505012","Victor Ginzburg","Victor Ginzburg, Mikhail Kapranov, Eric Vasserot","Elliptic Algebras and Equivariant Elliptic Cohomology","28 pages, Plain TeX",,,,"q-alg alg-geom math.AG math.QA",,"  In this paper we explain the parallelism in the classification of three
different kinds of mathematical objects:
  (i) Classical r-matrices.
  (ii) Generalized cohomology theories that have Chern classes for complex
vector bundles.
  (iii) 1-dimensional formal groups.
  The main point of the paper is a construction of the elliptic algebra
associated to Belavin's classical elliptic r-matrix in terms of Equivariant
elliptic cohomology of the Steinberg varieties associated to some partial flag
manifolds.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 03:43:47 GMT""}]","2008-02-03"
"q-alg/9505013","Michitomo Nishizawa","Michitomo Nishizawa","On a q-analogue of the multiple gamma functions","8 pages, AMS-Latex",,"10.1007/BF00416023",,"q-alg math.QA",,"  A $q$-analogue of the multiple gamma functions is introduced, and is shown to
satisfy the generalized Bohr-Morellup theorem. Furthermore we give some
expressions of these function.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 11:29:57 GMT""}]","2016-09-08"
"q-alg/9505014","Fronsdal","Christian Fronsdal (UCLA)","Universal T-matrix for Twisted Quantum gl(N)","30 pages. Plain TeX","Nato Workshop Proceedings, San Antonio Texas Feb. 1993",,,"q-alg math.QA",,"  The Universal T-matrix is the capstone of the structure that consists of a
quantum group and its dual, and the central object from which spring the
T-matrices (monodromies) of all the associated integrable models. A closed
expression is obtained for the case of multiparameter (twisted) quantum
$gl(N)$. The factorized nature of standard quantum groups, that allows the
explicit expression for $U\hskip-1mm T $ to be obtained with relative ease,
extends to some nonstandard quantum groups, such as those based on $A_n^{(2)}$,
and perhaps to all. The paper is mostly concerned with parameters in general
position, but the extension to roots of unity is also explored, in the case of
$g\ell(N)$. The structure of the dual is now radically different, and an
interesting generalization of the $q$-exponential appears in the formulas for
the Universal T- and R-matrices. The projection to quantum $sl(N)$ is simple
and direct; this allows, in particular, to apply recent results concerning
deformations of twisted $gl(N)$ to the semisimple quotient.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 07:05:48 GMT""}]","2014-05-27"
"q-alg/9505015","Donin Joseph","J. Donin and S. Shnider","Deformations of quadratic algebras and the corresponding quantum
  semigroups","Latex, 15 pages",,,,"q-alg math.QA",,"  Let $V$ be a finite dimensional vector space. Given a decomposition $V\otimes
V=\oplus_i^n I_i$, define $n$ quadratic algebras $(V, J_m)$ where
$J_m=\oplus_{i\neq m} I_i$. This decomposition defines also the quantum
semigroup $M(V;I_1,...,I_n)$ which acts on all these quadratic algebras. With
the decomposition we associate a family of associative algebras
$A_k=A_k(I_1,...I_n)$, $k\geq 2$. In the classical case, when $V\otimes V$
decomposes into the symmetric and skewsymmetric tensors, $A_k$ coincides with
the group algebra of the symmetric group $S_k$. Let $I_{ih}$ be deformations of
the subspaces $I_i$. In the paper we give a criteria for flatness of the
corresponding deformations of the quadratic algebras $(V[[h]],J_{ih}$ and the
quantum semigroup $M(V[[h]];I_{1h},...,I_{nh})$. It says that the deformations
will be flat if the algebras $A_k(I_1,...,I_n)$ are semisimple and under the
deformation their dimension does not change.
  Usually, the decomposition into $I_i$ is defined by a given Yang-Baxter
operator $S$ on $V\otimes V$, for which $I_i$ are its eigensubspaces, and the
deformations $I_{ih}$ are defined by a deformation $S_h$ of $S$. We consider
the cases when $S_h$ is a deformation of Hecke or Birman-Wenzl symmetry, and
also the case when $S_h$ is the Yang-Baxter operator which appears by a
representation of the Drinfeld-Jimbo quantum group. Applying the flatness
criteria we prove that in all these cases we obtain flat deformations of the
quadratic algebras and the corresponding quantum semigroups.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 15:02:29 GMT""}]","2008-02-03"
"q-alg/9505016","Fronsdal","C.Fronsdal (UCLA), A. Galindo (U. Complutense)","Deformations of Multiparameter Quantum gl(N)","15 pages. Plain TeX","Lett. Math. Phys. 34 (1995) 25","10.1007/BF00739372",,"q-alg math.QA",,"  Multiparameter quantum gl(N) is not a rigid structure. This paper defines an
essential deformation as one that cannot be interpreted in terms of a
similarity transformation, nor as a perturbation of the parameters. All the
equivalence classes of first order essential deformations are found, as well as
a class of exact deformations. This work provides quantization of all the
classical Lie bialgebra structures (constant r-matrices) found by Belavin and
Drinfeld for sl(n). A special case, that requires the Hecke parameter to be a
cubic root of unity, stands out.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 07:55:17 GMT""}]","2014-05-27"
"quant-ph/9505006","Haret Rosu","Haret C. Rosu, M. Reyes, K.B. Wolf, and O. Obreg\'on","Second solution of Demkov-Ostrovsky superpotentials","Several changes in the text in order to make it more precise and
  correct, one more reference, mathematical results not affected",,,"IFUG-95/08 r","quant-ph",,"  We work out the second solution of the DO superpotentials in the $R_0=0$
sector.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 03:24:00 GMT""},{""version"":""v2"",""created"":""Sun, 4 Jun 1995 22:37:00 GMT""}]","2008-02-03"
"quant-ph/9505007",,"Laura M. Morato and Lorenza Viola","MARKOV DIFFUSIONS IN COMOVING COORDINATES AND STOCHASTIC QUANTIZATION OF
  THE FREE RELATIVISTIC SPINLESS PARTICLE","31 pages + 1 figure available upon request; Plain REVTeX","J.Math.Phys. 36 (1995) 4691-4710; Erratum-ibid. 37 (1996) 4769","10.1063/1.531333","DFPD 95/TH/19, April 1995","quant-ph",,"  We revisit the classical approach of comoving coordinates in relativistic
hydrodynamics and we give a constructive proof for their global existence under
suitable conditions which is proper for stochastic quantization. We show that
it is possible to assign stochastic kinematics for the free relativistic
spinless particle as a Markov diffusion globally defined on ${\sf M}^4$. Then
introducing dynamics by means of a stochastic variational principle with
Einstein's action, we are lead to positive-energy solutions of Klein-Gordon
equation. The procedure exhibits relativistic covariance properties.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 14:48:40 GMT""}]","2009-10-28"
"quant-ph/9505008","Robert B. Griffiths","Robert B. Griffiths (Carnegie-Mellon)","Review of R. Omnes, THE INTERPRETATION OF QUANTUM MECHANICS","Plain Tex, 5 pages, no figures",,,,"quant-ph",,"  Omnes' interpretation of quantum mechanics is summarized, and compared with
other consistent-history approaches by Gell-Mann and Hartle, and by Griffiths.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 15:23:31 GMT""}]","2007-05-23"
