"adap-org/9504007","Theodore C. Belding","Theodore C. Belding (University of Michigan CSE Division)","The Distributed Genetic Algorithm Revisited","8 pages. uuencoded, gnuzipped PostScript. To appear in ICGA-95",,,,"adap-org nlin.AO",,"  This paper extends previous work done by Tanese on the distributed genetic
algorithm (DGA). Tanese found that the DGA outperformed the canonical serial
genetic algorithm (CGA) on a class of difficult, randomly-generated Walsh
polynomials. This left open the question of whether the DGA would have similar
success on functions that were more amenable to optimization by the CGA. In
this work, experiments were done to compare the DGA's performance on the Royal
Road class of fitness functions to that of the CGA. Besides achieving
superlinear speedup on KSR parallel computers, the DGA again outperformed the
CGA on the functions R3 and R4 with regard to the metrics of best fitness,
average fitness, and number of times the optimum was reached. Its performance
on R1 and R2 was comparable to that of the CGA. The effect of varying the DGA's
migration parameters was also investigated. The results of the experiments are
presented and discussed, and suggestions for future research are made.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 03:42:52 GMT""}]","2008-02-03"
"hep-ph/9505231","Antonio Pich","A. Pich","QUANTUM CHROMODYNAMICS","LaTeX, 51 pages, 32 figures (included in separate .uu file) Lectures
  at the 1994 European School of High-Energy Physics (Sorrento, 1994)",,,"FTUV/95-19; IFIC/95-19","hep-ph",,"  These lectures provide an overview of Quantum Chromodynamics (QCD), the
$SU(3)_C$ gauge theory of the strong interactions. After briefly reviewing the
empirical considerations which lead to the introduction of {\it colour}, the
QCD Lagrangian is discussed. The running of the strong coupling and the
associated property of {\it Asymptotic Freedom} are analyzed. Some selected
experimental tests and the present knowledge of $\alpha_s$ are summarized. A
short description of the QCD flavour symmetries and the {\it dynamical breaking
of chiral symmetry} is also given.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 15:11:05 GMT""}]","2007-05-23"
"hep-ph/9505232","Chi-Yee Cheung","Chi-Yee Cheung, Wei-Min Zhang, and Guey-lin Lin","Light-Front Heavy Quark Effective Theory and Heavy Meson Bound States","23 pages, Revtex, no figures","Phys.Rev. D52 (1995) 2915-2925","10.1103/PhysRevD.52.2915","IP-ASTP-05-95","hep-ph",,"  The heavy quark effective theory is developed on the light-front. Based on
this effective theory, a light-front heavy meson bound state with definite spin
and parity is constructed. Within the effective theory, the Isgur-Wise function
is derived in terms of the asymptotic light-front bound state amplitudes in the
limit $m_Q\rightarrow\infty$; the result is a general expression for arbitrary
recoil velocities. With the asymptotic form of the BSW amplitudes, the
Isgur-Wise function is given by $\xi(v\cdot v')=1/v\cdot v'$. The slope at the
zero-recoil point is $\rho^2=-\xi'(1)=1$, in excellent agreement with the
recent CLEO result of $\rho^2=1.01\pm0.15\pm0.09$.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 14:41:07 GMT""}]","2009-10-28"
"hep-ph/9505237","Igor Dyatlov","I.T.Dyatlov","Ground State for the Quark Mass Hierarchy and Mixings","12 pages, LATEX",,,"Preprint PNPI-2043, 1995","hep-ph",,"  A multiflavor model for dynamical chiral breaking reveals a solution highly
suitable for stimulation of flavor mass hierarchy and mixings. The mechanism
triggering the both phenomena simultaneously suppresses flavor changings. Thus,
the main features of the observed quark system may spontaneously appear as
inherent properties of a specific ground state.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 08:25:36 GMT""}]","2009-09-25"
"hep-th/9505021","Piljin Yi","Piljin Yi","Quantum Stability of Accelerated Black Holes","LaTeX, 22 pages, 5 uuencoded figures (minor errors corrected, more
  discussions on the case with black holes formed by gravitational collapse.)","Phys.Rev. D53 (1996) 7041-7049","10.1103/PhysRevD.53.7041","CU-TP-690","hep-th gr-qc",,"  We study quantum aspects of the accelerated black holes in some detail.
Explicitly shown is the fact that a uniform acceleration stabilizes certain
charged black holes against the well-known thermal evaporation. Furthermore, a
close inspection of the geometry reveals that this is possible only for
near-extremal black holes and that most nonextremal varieties continue to
evaporate with a modified spectrum under the acceleration. We also introduce a
two-dimensional toy model where the energy-momentum flow is easily obtained for
general accelerations, and find the behavior to be in accordance with the
four-dimensional results. After a brief comparison to the classical system of a
uniformly accelerated charge, we close by pointing out the importance of this
result in the WKB expansion of the black hole pair-creation rate.
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 18:43:31 GMT""},{""version"":""v2"",""created"":""Tue, 19 Sep 1995 10:18:58 GMT""}]","2009-10-28"
"hep-th/9505023","Cumrun Vafa","Cumrun Vafa","A Stringy Test of the Fate of the Conifold","12 pages","Nucl.Phys.B447:252-260,1995","10.1016/0550-3213(95)00279-2","HUTP-95/A014","hep-th",,"  By studying string loop corrections to superpotential of type II strings
compactified on Calabi-Yau threefolds we find a quantum stringy test and a
confirmation of a recent proposal of Strominger on the fate of the conifold
singularity. We also propose a connection between the spectrum of Bogomolnyi
saturated solitons and one-loop string partition function of $N=2$ topological
strings.
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 19:01:52 GMT""}]","2010-11-01"
"hep-th/9505024","Gerard Jungman","V.John, G.Jungman, S.Vaidya","The Renormalization Group and Quantum Hall Edge States","21 pages; submitted as uuencoded, compressed postscript","Nucl.Phys. B455 (1995) 505-521","10.1016/0550-3213(95)00449-3","SU-4240-609","hep-th cond-mat",,"  The role of edge states in phenomena like the quantum Hall effect is well
known. In this paper we show how the choice of boundary conditions for a
one-particle Schr\""odinger equation can give rise to states localized at the
edge of the system. We consider both the example of a free particle and the
more involved example of a particle in a magnetic field. In each case, edge
states arise from a non-trivial scaling limit involving the boundary
conditions. Second quantization of these quantum mechanical systems leads to a
multi-particle ground state carrying a persistent current at the edge. We show
that the theory quantized with this vacuum displays an ``anomaly'' at the edge
which is the mark of a quantized Hall conductivity in the presence of an
external magnetic field. We also offer interpretations for the physics of such
boundary conditions which may have a bearing on the nature of the excitations
of these systems.
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 18:37:19 GMT""}]","2009-10-28"
"hep-th/9505025","David R. Morrison","Paul S. Aspinwall and David R. Morrison","U-Duality and Integral Structures","14 pages, latex once only (Revision has minor changes and an added
  reference)","Phys.Lett.B355:141-149,1995","10.1016/0370-2693(95)00745-7","CLNS-95/1334","hep-th",,"  We analyze the U-duality group for the case of a type II superstring
compactified to four dimensions on a K3 surface times a torus. The various
limits of this theory are considered which have interpretations as type IIA and
IIB superstrings, the heterotic string, and eleven-dimensional supergravity,
allowing all these theories to be directly related to each other. The integral
structure which appears in the Ramond-Ramond sector of the type II superstring
is related to the quantum cohomology of general Calabi-Yau threefolds which
allows the moduli space of type II superstring compactifications on Calabi-Yau
manifolds to be analyzed.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 01:32:49 GMT""},{""version"":""v2"",""created"":""Tue, 16 May 1995 11:36:40 GMT""}]","2010-11-01"
"hep-th/9505026","Gary Au","G. Au and B. Spence","Hamiltonian Reduction and Supersymmetric Toda Models","15pp., LaTeX","Mod.Phys.Lett. A10 (1995) 2157-2168","10.1142/S0217732395002313","UM-P-95/31 QMW-PH-95/7","hep-th",,"  New formulations of the solutions of N=1 and N=2 super Toda field theory are
introduced, using Hamiltonian Reduction of the N=1 and N=2 super WZNW Models to
the super Toda Models. These parameterisations are then used to present the
Hamiltonian formulations of the super Toda theories on the spaces of solutions.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 02:20:55 GMT""}]","2015-06-26"
"math/9505211","Emanuel Knill","Emanuel Knill, S. Muthukrishnan","Group testing problems in experimental molecular biology","7 pages",,,"LACES 94B-95-26","math.CO q-bio",,"  In group testing, the task is to determine the distinguished members of a set
of objects L by asking subset queries of the form ``does the subset Q of L
contain a distinguished object?'' The primary biological application of group
testing is for screening libraries of clones with hybridization probes. This is
a crucial step in constructing physical maps and for finding genes. Group
testing has also been considered for sequencing by hybridization. Another
important application includes screening libraries of reagents for useful
chemically active zones. This preliminary report discusses some of the
constrained group testing problems which arise in biology.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 00:00:00 GMT""}]","2008-02-03"
"nucl-th/9505001","Susan Gardner","S. Gardner, C.J. Horowitz, and J. Piekarewicz","Charge-Symmetry-Breaking Potentials from Isospin-Violating Meson-Baryon
  Coupling Constants","8 pages, revtex","Phys.Rev.Lett.75:2462-2465,1995","10.1103/PhysRevLett.75.2462","FSU-SCRI-95-37, IU/NTC 95-05","nucl-th hep-ph",,"  We consider charge-symmetry violations in the nucleon-nucleon force which
result from isospin-violating meson-baryon coupling constants. The vector
mesons are assumed to couple to the nucleon's electromagnetic current, which we
decompose into isoscalar and isovector quark components. We compute these
currents in the context of a constituent quark model. The isospin violations in
the meson-baryon couplings arise from the difference in the up and down
constituent quark masses. We show that class IV charge-symmetry-breaking
potentials arise in the resulting $\omega$ and $\rho$ exchange contributions to
the $NN$ force. The magnitude of these contributions is consistent with that
phenomenologically required by the measured difference of $n$ and $p$ analyzing
powers in elastic $\vec{n}-\vec{p}$ scattering at 183 MeV.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 03:29:03 GMT""}]","2008-11-26"
"q-alg/9505005","Alex Verbovetsky","Alexander Verbovetsky","On quantized algebra of Wess-Zumino differential operators at roots of
  unity","AMS-TeX 2.1, 10 pages",,,,"q-alg math.QA",,"  Quantum algebra of differential operators are studied
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 19:03:39 GMT""}]","2008-02-03"
"quant-ph/9505002","Zdenek Hradil","Zdenek Hradil","Quantization of electromagnetic field in inhomogeneous dispersive
  dielectrics","15 pages, Revtex,emlines.sty",,"10.1103/PhysRevA.53.3687",,"quant-ph",,"  Canonical quantization of electromagnetic field inside the time--spatially
dispersive inhomogeneous dielectrics is presented. Interacting electromagnetic
and matter excitation fields create the closed system, Hamiltonian of which may
be diagonalized by generalized polariton transformation. Resulting dispersion
relations coincide with the classical ones obtained by the solution of wave
equation, the corresponding mode decomposition is, however, orthogonal and
complete in the enlarged Hilbert space.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 10:32:54 GMT""}]","2009-10-28"
