"astro-ph/9503068","Thomas Janka","H.-Thomas Janka (Department of Astronomy and Astrophysics, University
  of Chicago)","WHEN DO SUPERNOVA NEUTRINOS OF DIFFERENT FLAVORS HAVE SIMILAR
  LUMINOSITIES BUT DIFFERENT SPECTRA ?","uuencoded compressed postscript, 10 pages. Accepted for publication
  in Astroparticle Physics.","Astropart.Phys. 3 (1995) 377-384","10.1016/0927-6505(95)00016-A","MPA green report no 858.","astro-ph hep-ph",,"  Muon and tau neutrinos ($\nu_x$) interact with protoneutron star matter only
via neutral currents and exchange energy with the stellar gas predominantly by
neutrino-electron scattering and neutrino-pair processes. In contrast, electron
neutrinos and antineutrinos ($\nu_e$ and $\bar\nu_e$) are frequently absorbed
and produced in charged-current mediated reactions with nucleons. Therefore the
emergent $\nu_e$ and $\bar\nu_e$ originate from layers with lower temperatures
further out in the star and are emitted with much lower characteristic spectral
temperatures. In addition, a major contribution to the $\nu_e$ and $\bar\nu_e$
opacities is due to absorptions, while the opacity of $\nu_x$ is strongly
dominated by scattering reactions with nucleons and nuclei in which the $\nu_x$
energy is (essentially) conserved. Therefore the $\nu_x$ distribution is nearly
isotropic when $\nu_x$ decouple energetically and their outward diffusion is
slowed down. In a generalized form to include this effect, the Stefan-Boltzmann
Radiation Law can account for both the facts that $\nu_e$ ($\bar\nu_e$) and
$\nu_x$ emerge from the star with similar luminosities but with very different
characteristic spectral temperatures. Simple analytical expressions to estimate
the effect are given. If, as recently argued, even at densities significantly
below nuclear matter density neutral-current scatterings were associated with
considerable energy transfer between neutrino and target particle, one might
expect spectral temperatures of $\nu_x$ much closer to those of $\nu_e$ and
$\bar\nu_e$. This is of relevance for the detection of neutrino signals from
supernovae.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 17:22:39 GMT""}]","2016-08-30"
"hep-ph/9503353",,"Geert Jan van Oldenborgh","Hard Photons in W Pair Production at LEP 2","15 pages, latex+elsart, full ps file available at
  http://rulgm4.LeidenUniv.nl/preprints.html or at
  ftp://rulgm4.LeidenUniv.nl/pub/preprints. Added soft radiation","Nucl.Phys. B470 (1996) 71-83",,"INLO-PUB-95/04","hep-ph",,"  The properties of hard photon radiation in $W$ pair production at LEP 2 are
studied, with emphasis on the energy loss relevant to the W mass measurement.
We use a combination of the exact 1-photon matrix element and leading
logarithmic structure functions. Defining unobservable, observable and initial
state photons in the phase space, it is shown that neither the one-photon
matrix element nor the leading logarithmic structure functions alone give an
adequate description of the energy loss due to observable or initial state
photons. An event generator based on these calculations is available.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 18:16:28 GMT""},{""version"":""v2"",""created"":""Fri, 17 Mar 1995 07:35:18 GMT""},{""version"":""v3"",""created"":""Tue, 27 Feb 1996 10:08:55 GMT""}]","2008-02-03"
"hep-ph/9503354","Stefano Moretti","S. Moretti and J.B. Tausk","QCD effects and $b$-tagging at LEP I","16 pages, latex, 11 figures appended (tarred and uuencoded), the
  complete paper is available via anonymous ftp at
  ftp://cpt1.dur.ac.uk/pub/preprints/dtp94/dtp94104/ (get dtp94104_*.ps)","Z.Phys.C69:635-646,1996","10.1007/s002880050067","DFTT 60/94, DTP/94/104, MZ-THEP-95-10","hep-ph",,"  We analyze the impact of using $b$-tagged samples in studying non-Abelian
effects due to QCD in $e^+e^-\ar 4$jet events at $\sqrt s=M_{Z^0}$, using
angular variable analyses and comparisons with $e^+e^-\ar 3 \mbox{jet}\gamma$
events. We find that QCD effects are largely enhanced in $b$-quark samples with
respect to `unflavoured' ones, where energy-ordering is used to distinguish
between gluon and quark jets. We show that the $b$-quark mass influences the
angular distributions significantly and should not be neglected
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 17:30:46 GMT""}]","2014-11-17"
"hep-ph/9503355","Tanmay Vachaspati","Thomas W. Kephart and Tanmay Vachaspati","Topological Incarnations of Electroweak Defects","12 pages + 1 figure; LaTeX","Phys.Lett.B388:481-486,1996","10.1016/S0370-2693(96)01179-3","CWRU-P3-1995; VAND-TH-95-1","hep-ph astro-ph hep-th",,"  We propose a criterion to classify hybrid defects occurring in field
theoretic models such as the standard electroweak model. This criterion leads
us to consider the minimal extension of the electroweak model in which
electroweak magnetic monopoles and $Z$-strings are topological. We briefly
discuss the cosmology of such defects.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 18:06:44 GMT""}]","2010-11-01"
"hep-ph/9503356","Chris Quigg","Estia J. Eichten and Chris Quigg","Quarkonium Wave Functions at the Origin","9 pages, RevTeX, no figures","Phys.Rev.D52:1726-1728,1995","10.1103/PhysRevD.52.1726","FERMILAB--PUB--95/045--T","hep-ph",,"  We tabulate values of the radial Schr\""{o}dinger wave function or its first
nonvanishing derivative at zero quark-antiquark separation, for $c\bar{c}$,
$c\bar{b}$, and $b\bar{b}$ levels that lie below, or just above, flavor
threshold. These quantities are essential inputs for evaluating production
cross sections for quarkonium states.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 20:27:28 GMT""}]","2016-09-01"
"hep-ph/9503357","Mostafa Mostafa","M. G.-H. Mostafa, Cheuk-Yin Wong, Lali Chatterjee, and Zhong-Qi Wang","Effect of $q\bar q$ Initial-state Interaction on Dilepton Emission Rate
  from Quark-Gluon Plasma","14 pages(REVTeX),includes 3 uuencoded compressed postscript figures",,,"ORNL-CTP-95-03/ASU-FSHEP-95-01","hep-ph",,"  We calculate the dilepton production rate from a thermalized quark-gluon
plasma in heavy-ion collisions at RHIC energies. Higher-order QCD corrections
are included by using an analytical correction factor $K^{(i)}$, which takes
into account the $q\bar q$ initial-state interactions. We show that the
analytic correction factor gives very good agreement with experimental
Drell-Yan data and leads to large enhancement of the thermal dilepton emission
rates. We compare the thermal dilepton yields with the expected production from
open-charm decays and Drell-Yan background and assess the prospects of
observing thermal dileptons from the quark-gluon-plasma at invariant masses of
a few GeV.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 21:59:02 GMT""},{""version"":""v2"",""created"":""Mon, 18 Dec 1995 16:06:08 GMT""}]","2009-09-25"
"hep-ph/9503358","Leszek Roszkowski","L. Roszkowski and M. Shifman","Reconciling Supersymmetric Grand Unification with $\alpha_s(m_Z)\approx
  0.11$","18 pages, LaTex format for text; epsf.sty needed for including 3
  Postscript figures in the text. CHANGES: Comments on dark matter and
  non-minimal supergravity (see end of Sec. 2.3) and several references added;
  also some minor corrections made.","Phys.Rev. D53 (1996) 404-412","10.1103/PhysRevD.53.404","TPI-MINN-95/04-T, UMN-TH-1330-95","hep-ph",,"  We argue that supersymmetric grand unification of gauge couplings is not
incompatible with small $\alpha_s$, even without large GUT-scale corrections,
if one relaxes a usual universal gaugino mass assumption. A commonly assumed
relation $M_2\simeq m_{\rm gluino}/3$ is in gross contradiction with
$\alpha_s\approx 0.11$. Instead, small $\alpha_s$ favors $M_2\gg m_{\rm
gluino}$. If this is indeed the case our observation casts doubt on another
commonly used relation $M_1\simeq 0.5 M_2$ which originates from the same
constraint of a common gaugino mass at the GUT scale. One firm prediction
emerging within the small $\alpha_s$ scenario with the unconstrained gaugino
masses is the existence of a relatively light gluino below $\sim$ 200\gev.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 23:46:24 GMT""},{""version"":""v2"",""created"":""Thu, 30 Mar 1995 19:57:56 GMT""}]","2009-10-28"
"hep-ph/9503359",,"H.-J. He, Y.-P. Kuang, C.-P. Yuan","Equivalence Theorem as a Criterion for Probing the Electroweak Symmetry
  Breaking Mechanism","Latex, Talk presented at the "" Beyond The Standard Model IV "",
  December 13-18, 1994, Tahoe, California, USA. Published in Conference
  Proceedings",,,"VPI-IHEP-95-05, TUIMP-TH-95/65, MSUHEP-50315","hep-ph",,"  Based upon our recent study on the Lorentz non-invariance ambiguity in the
longitudinal weak-boson scatterings and the precise conditions for the validity
of the Equivalence Theorem (ET), we further examine the intrinsic connection
between the longitudinal weak-boson scatterings and probing the electroweak
symmetry breaking (EWSB) mechanism. We reveal the profound physical content of
the ET as being able to discriminate processes which are insensitive to probing
the EWSB sector. With this physical content as a criterion, we analyze the
sensitivities to various effective operators for probing the mechanism of the
EWSB.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 04:32:51 GMT""},{""version"":""v2"",""created"":""Mon, 28 Aug 1995 02:41:57 GMT""}]","2019-08-15"
"hep-ph/9503360","David Kaplan","David B. Kaplan","Electroweak Baryogenesis","Talk presented at ``Beyond the Standard Model IV'', Tahoe City
  12/17/94. 10 pages, uuencoded with 3 figures; PlainTex & epsf.tex.",,,"DOE/ER/40561-189-INT95-00-86","hep-ph",,"  Baryogenesis during the electroweak phase transition is a plausible scenario
for for the origin of matter in the Universe. Furthermore, it has the advantage
over other scenarios in that one can imagine that much of the physics involved
may be experimentally probed before long. In the past year a consensus has
developed about major mechanisms involved. In this talk I give an overview of
the standard picture, and discuss briefly the advances over the past year that
suggest electroweak baryogenesis is a robust phenomenon.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 01:09:58 GMT""}]","2016-09-01"
"hep-ph/9503361","Stefan Guesken","S. Guesken","Hunting for the Beauty: Heavy-Light Quark Systems on the Lattice","Invited talk given at the 138. WE Heraeus-Seminar on Heavy Quark
  Physics 14.12-16.12.94, Bad Honnef, Germany, 13 pages, postscript, uufile
  encoded",,,"WUB 95-08","hep-ph hep-lat",,"  We present selected topics on heavy-light physics on the lattice in order to
illustrate the current status of this field. In particular results concerning
$f_B$, semileptonic decays, the decay $B \rightarrow K^*\gamma$ and heavy
baryon masses are discussed. Special emphasis is paid to the question of
systematic effects which stem from the lattice discretization of QCD.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 11:19:17 GMT""}]","2016-09-01"
"hep-th/9503111","Emili Elizalde","E. Elizalde and S.D. Odintsov","THE HIGGS-YUKAWA MODEL IN CURVED SPACETIME","LaTeX, 9 pages, 1 uu-figure","Phys.Rev.D51:5950-5953,1995","10.1103/PhysRevD.51.5950","CEAB 95/3-16","hep-th",,"  The Higgs-Yukawa model in curved spacetime (renormalizable in the usual
sense) is considered near the critical point, employing the $1/N$--expansion
and renormalization group techniques. By making use of the equivalence of this
model with the standard NJL model, the effective potential in the linear
curvature approach is calculated and the dynamically generated fermionic mass
is found. A numerical study of chiral symmetry breaking by curvature effects is
presented.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 17:46:07 GMT""}]","2016-09-06"
"hep-th/9503112","Robert Konik","Robert M. Konik and Andre LeClair","Short Distance Expansions of Correlation Functions in the Sine-Gordon
  Theory","46 pages; Latex; 9 Postscript figures, uuencoded","Nucl.Phys. B479 (1996) 619-653","10.1016/0550-3213(96)00279-9","CLNS 95/1326","hep-th",,"  We examine the two-point correlation functions of the fields
exp(i$\alpha\Phi$) in the sine-Gordon theory at all values of the coupling
constant $\hat\beta$. Using conformal perturbation theory, we write down
explicit integral expressions for every order of the short distance expansion.
Using a novel technique analagous to dimensional regularisation, we evaluate
these integrals for the first few orders finding expressions in terms of
generalised hypergeometric functions. From these derived expressions, we
examine the limiting forms at the points where the sine-Gordon theory maps onto
a doubled Ising and the Gross-Neveu SU(2) models. In this way we recover the
known expansions of the spin and disorder fields about criticality in the Ising
model and the well known Kosterlitz-Thouless flows in the Gross-Neveu SU(2)
model.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 04:37:38 GMT""}]","2016-09-06"
"hep-th/9503120","Erik Verlinde","Erik Verlinde","Black Hole Evaporation and Complementarity","6 pages, 2 figs. summary of lectures presented by Erik Verlinde at
  the 1994 Les Houches Summer School ``Fluctuating Geometries in Statistical
  Mechanics and Field Theory.'' (also available at http://xxx.lanl.gov/lh94/ )
  (based on work with Y. Kiem, K. Schoutens and H. Verlinde)",,,,"hep-th gr-qc",,"  About twenty years ago Hawking made the remarkable suggestion that the black
hole evaporation process will inevitably lead to a fundamental loss of quantum
coherence. The mechanism by which the quantum radiation is emitted appears to
be insensitive to the detailed history of the black hole, and thus it seems
that most of the initial information is lost for an outside observer. However,
direct examination of Hawking's original derivation (or any later one) of the
black hole emission spectrum shows that one inevitably needs to make reference
to particle waves that have arbitrarily high frequency near the horizon as
measured in the reference frame of the in-falling matter. This exponential
red-shift effect associated with the black hole horizon leads to a breakdown of
the usual separation of length scales, and effectively works as a magnifying
glass that makes the consequences of the short distance, or rather, high energy
physics near the horizon visible at larger scales to an asymptotic observer.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 14:19:02 GMT""}]","2016-09-06"
"nucl-th/9503017","Naoya Hata","Naoya Hata and Wick Haxton","Implications of the GALLEX Source Experiment for the Solar Neutrino
  Problem","LaTeX (2.09), 18 p + Fig 2-5 (uuencoded ps file). Contact Authors for
  Fig 1. Entire ps file avilable by anonymous ftp at
  ftp://upenn5.hep.upenn.edu/pub/hata/papers/ga_source.ps.Z","Phys.Lett. B353 (1995) 422-431","10.1016/0370-2693(95)00598-F","OSU-TA-3/95, DOE/ER/40561-186-INT95-0084.","nucl-th astro-ph hep-ph",,"  We argue that, prior to the recent GALLEX $^{51}$Cr source experiment, the
excited state contributions to the $^{71}$Ga capture cross section for
$^{51}$Cr and $^7$Be neutrinos were poorly constrained, despite forward-angle
(p,n) measurements. We describe the origin of the uncertainties and estimate
their extent. We explore the implications of the source experiment for solar
neutrino capture in light of these uncertainties. A reanalysis of the $^7$Be
and $^8$B flux constraints and MSW solutions of the solar neutrino puzzle is
presented.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 17:44:12 GMT""}]","2016-09-08"
"q-alg/9503008",,"Robert J. Finkelstein (Department of Physics, UCLA)","q-Deformation of the Lorentz Group","Tex file, 17 pages",,"10.1063/1.531800","UCLA/95/TEP/1","q-alg math.QA",,"  We describe a q-deformation of the Lorentz group in terms of a q-deformation
of the van der Waerden spinor algebra.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 18:53:04 GMT""}]","2016-09-08"
"q-alg/9503009","Quesne Christiane","C. Quesne","On some nonlinear extensions of the angular momentum algebra","22 pages, plain TeX + preprint.sty, no figures, to appear in J.Phys.A","J. Phys. A 28 (1995) 2847-2860","10.1088/0305-4470/28/10/015",,"q-alg math.QA",,"  Deformations of the Lie algebras so(4), so(3,1), and e(3) that leave their
so(3) subalgebra undeformed and preserve their coset structure are considered.
It is shown that such deformed algebras are associative for any choice of the
deformation parameters. Their Casimir operators are obtained and some of their
unitary irreducible representations are constructed. For vanishing deformation,
the latter go over into those of the corresponding Lie algebras that contain
each of the so(3) unitary irreducible representations at most once. It is also
proved that similar deformations of the Lie algebras su(3), sl(3,R), and of the
semidirect sum of an abelian algebra t(5) and so(3) do not lead to associative
algebras.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 07:27:06 GMT""}]","2016-09-08"
"solv-int/9503002","Leon Jerome","C. Claude and J. Leon (Physique Mathematique et Theorique, CNRS-URA
  768, Universite Montpellier II, 34095 MONTPELLIER FRANCE)","Theory of Pump Depletion and Spike Formation in Stimulated Raman
  Scattering","LaTex file, includes two figures in LaTex format, 9 pages",,"10.1103/PhysRevLett.74.3479","PM 94-16","solv-int nlin.PS nlin.SI patt-sol",,"  By using the inverse spectral transform, the SRS equations are solved and the
explicit output data is given for arbitrary laser pump and Stokes seed profiles
injected on a vacuum of optical phonons. For long duration laser pulses, this
solution is modified such as to take into account the damping rate of the
optical phonon wave. This model is used to interprete the experiments of Druhl,
Wenzel and Carlsten (Phys. Rev. Lett., (1983) vol. 51, p. 1171), in particular
the creation of a spike of (anomalous) pump radiation. The related nonlinear
Fourier spectrum does not contain discrete eigenvalue, hence this Raman spike
is not a soliton.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 10:41:45 GMT""}]","2009-10-28"
