"alg-geom/9508011","Ziv Ran","Ziv Ran","On the quantum cohomology of the plane, old and new","AMSTeX2.1",,,,"alg-geom math.AG",,"  We describe a method for counting maps of curves of given genus (and variable
moduli) to $\Bbb P^2$, essentially by splitting the $\Bbb P^2$ in two; then
specialising to the case of genus 0 we show that the method of quantum
cohomology may be viewed as the 'mirror' of the former method where one splits
the $\Bbb P^1$ rather than the $\Bbb P^2$, and we indicate a proof of the
associativity of quantum multiplication based on this idea.
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 23:14:02 GMT""},{""version"":""v2"",""created"":""Mon, 23 Oct 1995 09:43:17 GMT""}]","2008-02-03"
"hep-ph/9508358","George Sterman","George Sterman","Soft Gluon Resummation","15 Pages, 5 Postscript figures, uses epsf.sty (corrected figures)","AIP Conf.Proc.357:608-622,1996","10.1063/1.49628","ITP-SB-95-30","hep-ph",,"  I discuss some of the basic techniques and results of soft gluon resummation,
and their applications to scattering at collider energies.
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 19:16:06 GMT""},{""version"":""v2"",""created"":""Thu, 24 Aug 1995 19:17:45 GMT""}]","2014-11-17"
"hep-ph/9508359","Patricia Ball","Patricia Ball, J.-M. Frere, M. Tytgat","Phenomenological Evidence for the Gluon Content of $\eta$ and $\eta'$","13 pages, Latex2e, 4 figures (uuencoded and gzipped)","Phys.Lett. B365 (1996) 367-376","10.1016/0370-2693(95)01287-7","CERN-TH/95-220, ULB-TH/95-11","hep-ph",,"  We discuss the effect of $\eta$--$\eta'$ mixing and of axial current
anomalies on various decay processes. We describe the 2$\gamma$ decays of
$\eta$ and $\eta'$, the radiative decays of low-lying vector mesons as well as
the decays $\eta\to 3\pi$, $J/\psi\to\eta\gamma$ and $J/\psi\to\eta'\gamma$ in
one unified framework, in which they are related to the electromagnetic and
strong axial current anomalies, respectively. We also discuss briefly the
enhancement of $\eta'$ in $D_s$ decays and suggest a possible relation to
gluon-mediated processes. The importance of the decays of the glueball
candidates $f_0(1500)$ and $ f_0(1590)$ into $\eta \eta'$ channels is also
stressed.
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 20:54:43 GMT""}]","2009-10-28"
"hep-ph/9508360","Tetsuo Hatsuda","M. Asakawa (Dep. of Phys., Columbia Univ.) and T. Hatsuda (Inst. of
  Phys., Univ. of Tsukuba)","What Thermodynamics tells about QCD Plasma near Phase Transition","6 pages revtex, 4 postscript figures","Phys.Rev. D55 (1997) 4488-4491","10.1103/PhysRevD.55.4488","CU-TP-705, UTHEP-316","hep-ph hep-lat nucl-th",,"  Due to a rapid change of the entropy density $s(T)$ across the critical
temperature $T_c$ of the QCD phase transition, the pressure $P(T)$ and the
energy density $e(T)$ above $T_c$ generally deviate from their Stefan-Boltzmann
values. We shall demonstrate this both analytically and numerically for a
general class of $s(T)$ consistent with thermodynamical constraints and make a
qualitative comparison of the result with the lattice QCD data. Quantities
related to $ds(T)/dT$ such as the specific heat and sound velocity are also
discussed.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 00:22:38 GMT""}]","2009-10-28"
"hep-ph/9508361","Hung Jung Lu","Hung Jung Lu","Resolved Photon and Rapidity Gap in Jet Events","REVTeX file, 22 pages, 9 uuencoded PostScript figures",,,"AZPH-TH/95-21","hep-ph",,"  We study the production of jet events containing large rapidity gaps in
particle colliders due to the resolved photon mechanism. In particular, we
analize these events at DESY HERA and future $e^+e^-$ linear colliders,
including the possibility of $\gamma\gamma$ laser backscattering beams. These
events allow the study of the perturbative pomeron in environments
complementary to the hadron-hadron colliders, and also provide insight into the
survival probability of the rapidity gaps involving photon initial state.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 01:05:48 GMT""}]","2007-05-23"
"hep-ph/9508362","Tom Browder","T.E. Browder and S. Pakvasa (University of Hawaii)","Experimental Implications of Large CP Violation and Final State
  Interactions in the Search for $D^0\bar{D^0}$ Mixing","16 pages, LATEX format with 2 figures (Revised version contains an
  extended discussion of the models used to calculate the phase difference from
  final state interactions.)","Phys.Lett. B383 (1996) 475-481","10.1016/0370-2693(96)00776-9","UH 511-828-95","hep-ph",,"  We discuss the implications of CP violation as well as final state
interaction phases in the experimental search for $D^0-\bar{D}^0$ mixing. At
the present level of sensitivity, these are not yet a significant systematic
experimental limitation.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 03:12:46 GMT""},{""version"":""v2"",""created"":""Wed, 6 Mar 1996 00:50:39 GMT""}]","2009-10-28"
"hep-ph/9508363",,"Zhenjun Xiao and Xuelei Wang","Pseudo-Goldstone Bosons in Technicolor Models and the Phenomenology","31 pages, latex, no macros, 2 figures, hard copies are available upon
  request. Invited talk Given at CCAST Seminar of Precision Test of the
  Standard Model and Superhigh Energy Physics, Beijing, P.R.China, April 18 to
  May 17, 1995; to appear in the Proceedings",,,"HNU-TH-95/16","hep-ph",,"  In this report we present a review of recent developments in the TC/ETC
theories, concentrating on the theoretical estimations and the phenomenological
analysis about the Non-Oblique corrections on the $Zb\overline{b}$ vertex from
ETC dynamics and Pseudo-Goldstone Bosons. The relevant studies about the vertex
corrections on other processes from the PGBs were also considered.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 13:32:50 GMT""}]","2009-09-25"
"hep-ph/9508364",,"V.L. Eletsky (ITEP)","On the mass splitting between axial and vector heavy-light mesons","5 pages, Latex, 6 figures in one uuencoded compressed postsript file
  (replacing corrupt file originally submitted)","Phys.Atom.Nucl. 59 (1996) 2002-2005; Yad.Fiz. 59N11 (1996)
  2077-2080",,"BUTP-95/21","hep-ph",,"  Mass splitting between axial and vector $\bar{Q}q$ mesons is considered
within the standard QCD sum rules. In agreement with the first experimental
data on the $B_1$ meson ($J^P =1^{+}$) we find that the splitting for B is
about the same as for D and show that $1/m_Q$ corrections to the meson masses
are small.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 15:28:13 GMT""},{""version"":""v2"",""created"":""Fri, 25 Aug 1995 14:13:10 GMT""}]","2008-02-03"
"hep-ph/9508366","Charles A. Nelson","Charles A. Nelson","Tests for Tau's Charged-Current Structure","Contributed paper to LP95, Beijing. Revision of SUNY BING [10/1/94]
  which will appear in Phys. Let. [ tau ---> pi nu channel added; appendix
  deleted] Before LaTeXing, cut off ""by-line"" at bottom","Phys. Lett. B355 (1995) 561","10.1016/0370-2693(95)00779-K","SUNY BING 5/15/95","hep-ph",,"  The Lorentz structure of the tau lepton's charged-current can almost be
completely determined by use of stage-two spin-correlation functions for the
$\{\rho ^{-},\rho ^{+}\}$and $\{a_1^{-},a_1^{+}\}$ decay modes. It is possible
to test for a ``$(V-A)$ $ + $ something'' structure in the
${J^{Charged}}_{Lepton}$ current, so as to bound the scales $\Lambda$ for ``new
physics"" such as arising from tau weak magnetism, weak electricity, and/or
2nd-class currents. In practice, only limited information can be obtained from
the $\tau \rightarrow \pi \nu$ modes.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 13:13:10 GMT""}]","2009-10-28"
"hep-ph/9508367","Charles A. Nelson","Charles A. Nelson, Minseob Kim, Daryl P. Nazareth, and Hui-Chun Yang","A General Treatment of Tau Semi-Leptonic Decays","Contributed paper to LP95, Beijing. Expanded version to be submitted
  to Phys. Rev. Before LaTeXing, cut off ""by-line"" at bottom",,,"SUNY BING 7/1/95","hep-ph",,"  The most general Lorentz invariant spin-correlation functions for $\tau
^{-}\rightarrow \rho ^{-}\nu ,a_1^{-}\nu ,K^{*-}\nu , \pi ^{-}\nu ,K^{-}\nu $
are expressed in terms of eight semi-leptonic parameters. They are physically
defined in terms of tau-decay partial-width-intensities for
polarized-final-states. The parameters are also expressed in terms of a
``$(V-A)\ +\ $additional chiral coupling'' structure in the
${J^{Charged}}_{Lepton}$ current, so as to bound the scales $\Lambda $\ for
``new physics'' such as arising from leptonic CP violation, tau weak magnetism,
weak electricity, and/or second-class currents. The two tests for leptonic CP
violation in $\tau \rightarrow \rho \nu \ $ decay are generalized to $\tau
\rightarrow a_1\nu \ $ decay and to two additional tests if there are $\nu _R\
$ and $\bar \nu _L\ $ couplings.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 13:13:42 GMT""}]","2007-05-23"
"hep-th/9508114","Forgacs Peter","Peter Forgacs and Jozsef Gyurusi (Research Ins. for Particle and Nucl.
  Phys, Budapest)","Static spherically symmetric monopole solutions in the presence of a
  dilaton field","9 pages (incl. 14 figures in eps format) Latex. Figures are to be
  decompressed from figs.uu included here as an uuencoded file. Cause of
  resubmission:problem with the previously uuencoded file","Phys.Lett.B366:205-211,1996","10.1016/0370-2693(95)01321-0",,"hep-th",,"  A numerical study of static spherically symmetric monople solutions of a
spontaneously broken SU(2) gauge theory coupled to a dilaton field is
presented. Regular solutions seem to exist only up to a maximal value of the
dilaton coupling. In addition to the generalization of the 't Hooft-Polyakov
monopole a discrete family of regular solutions is found, corresponding to
radial excitations, absent in the theory without dilaton.
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 19:22:24 GMT""},{""version"":""v2"",""created"":""Sun, 27 Aug 1995 12:42:29 GMT""}]","2010-11-19"
"hep-th/9508115","Frederic Lesage","D. Serban, F. Lesage, V. Pasquier","Single particle Green's function in the Calogero-Sutherland model for
  rational couplings $\beta=p/q$","9 pages, RevTeX, epsf.tex, 4 figures, files uuencoded","Nucl.Phys. B466 (1996) 499-512","10.1016/0550-3213(96)00071-5","USC-95-023","hep-th cond-mat",,"  We derive an exact expression for the single particle Green function in the
Calogero-Sutherland model for all rational values of the coupling $\beta$. The
calculation is based on Jack polynomial techniques and the results are given in
the thermodynamical limit. Two type of intermediate states contribute. The
firts one consists of a particle propagating out of the Fermi sea and the
second one consists of a particle propagating in one direction, q particles in
the opposite direction and p holes.
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 22:32:49 GMT""}]","2009-10-28"
"hep-th/9508116","Sunao Sakai","Sunao.Sakai (Faculty of Education,Yamagata University)","Finite Temperature QCD with Wilson Fermions","7 pages, 7 Postscript figures",,"10.1143/PTPS.122.109","YAMAGATA-HEP-95-11","hep-th hep-lat",,"  The nature of finite temperature transition in QCD is studied on a lattice
with Wilson fermion. For massless quarks, the transition is smooth for two
flavors, while it is of first order for three and six flavors. Form the study
of transition in the case of non-degenerate as well as degenerate massive quark
case,it is suggest that the finite temperature transition in the real world is
first order.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 09:57:21 GMT""}]","2009-10-28"
"hep-th/9508117","Savdeep Sethi","S. Sethi, M. Stern, and E. Zaslow","Monopole and Dyon Bound States in N=2 Supersymmetric Yang-Mills Theories","34 pages, harvmac","Nucl.Phys. B457 (1995) 484-512","10.1016/0550-3213(95)00517-X","HUTP-95/A031, DUK-M-95-12","hep-th dg-ga math.DG",,"  We study the existence of monopole bound states saturating the BPS bound in
N=2 supersymmetric Yang-Mills theories. We describe how the existence of such
bound states relates to the topology of index bundles over the moduli space of
BPS solutions. Using an $L^2$ index theorem, we prove the existence of certain
BPS states predicted by Seiberg and Witten based on their study of the vacuum
structure of N=2 Yang-Mills theories.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 03:19:41 GMT""}]","2009-10-28"
"hep-th/9508118","Waichi Ogura","Yukinori Yasui (Osaka City U.) and Waichi Ogura (Osaka U.)","Vortex Filament in Three-manifold and the Duistermaat-Heckman Formula","Revised to include Figure2 (a PostScript file). 15 pages, LaTex2e, 2
  figures",,"10.1016/0375-9601(95)00906-X","OU-HET 219","hep-th",,"  Symplectic geometry of the vortex filament in a curved three-manifold is
investigated. There appears an infinite sequence of constants of motion in
involution in the case of constant curvature. The Duistermaat-Heckman formula
is examined perturbatively for the classical partition function in our model
and verified up to the 3-loop order.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 08:22:35 GMT""},{""version"":""v2"",""created"":""Mon, 4 Sep 1995 06:57:39 GMT""},{""version"":""v3"",""created"":""Tue, 19 Sep 1995 12:31:35 GMT""}]","2009-10-28"
"hep-th/9508119","Leonid Burakovsky","L. Burakovsky and L.P. Horwitz","Covariant Thermodynamics and ``Realistic'' Friedmann Model",,,,,"hep-th",,"  We discuss a cosmological Friedmann model modified by inclusion of off-shell
matter which has an equation of state $p,\rho \propto T^5,$ $p=1/4\rho .$ Such
matter is shown to have energy density comparable with that of non-interacting
radiation at temperatures of the order of the Hagedorn temperature, $\sim
10^{12}$ K, indicating the possibility of a phase transition. It is argued that
the $T^5$-phase, or an admixture, lies below the high-temperature $T^4$-phase.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 09:50:01 GMT""}]","2007-05-23"
"hep-th/9508120","Leonid Burakovsky","L. Burakovsky and L.P. Horwitz","5D Generalized Inflationary Cosmology",,"Gen.Rel.Grav. 27 (1995) 1043","10.1007/BF02148647",,"hep-th",,"  We consider 5D Kaluza-Klein type cosmological model with the fifth coordinate
being a generalization of the invariant ``historical'' time $\tau $ of the
covariant theory of Horwitz and Piron. We distinguish between vacuum-,
off-shell matter-, and on-shell matter-dominated eras as the solutions of the
corresponding 5D gravitational field equations, and build an inflationary
scenario according to which passage from the off-shell matter-dominated era to
the on-shell one occurs, probably as a phase transition. We study the effect of
this phase transition on the expansion rate in both cases of local $O(4,1)$ and
$O(3,2)$ invariance of the extended $(x^\mu ,\tau )$ manifold and show that it
does not change in either case. The expansion of the model we consider is not
adiabatic; the thermodynamic entropy is a growing function of cosmic time for
the closed universe, and can be a growing function of historical time for the
open and the flat universe. A complete solution of the 5D gravitational field
equations is obtained for the on-shell matter-dominated universe. The open and
the closed universe are shown to tend asymptotically to the standard 4D
cosmological models, in contrast to the flat universe which does not have the
corresponding limit. Finally, possible cosmological implications are briefly
discussed.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 09:50:30 GMT""}]","2009-10-28"
"hep-th/9508121","Leonid Burakovsky","L. Burakovsky, L.P. Horwitz and W.C. Schieve","On Relativistic Bose-Einstein Condensation",,,,,"hep-th",,"  We discuss the properties of an ideal relativistic gas of events possessing
Bose-Einstein statistics. We find that the mass spectrum of such a system is
bounded by $\mu \leq m\leq 2M/\mu _K,$ where $\mu $ is the usual chemical
potential, $M$ is an intrinsic dimensional scale parameter for the motion of an
event in space-time, and $\mu _K$ is an additional mass potential of the
ensemble. For the system including both particles and antiparticles, with
nonzero chemical potential $\mu ,$ the mass spectrum is shown to be bounded by
$|\mu |\leq m\leq 2M/\mu _K,$ and a special type of high-temperature
Bose-Einstein condensation can occur. We study this Bose-Einstein condensation,
and show that it corresponds to a phase transition from the sector of
continuous relativistic mass distributions to a sector in which the boson mass
distribution becomes sharp at a definite mass $M/\mu _K.$ This phenomenon
provides a mechanism for the mass distribution of the particles to be sharp at
some definite value.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 09:51:08 GMT""}]","2007-05-23"
"hep-th/9508122","Leonid Burakovsky","L. Burakovsky and L.P. Horwitz","Generalized Boltzmann Equation in a Manifestly Covariant Relativistic
  Statistical Mechanics",,"Found.Phys. 25 (1995) 1335-1358","10.1007/BF02055334",,"hep-th",,"  We consider the relativistic statistical mechanics of an ensemble of $N$
events with motion in space-time parametrized by an invariant ``historical
time'' $\tau .$ We generalize the approach of Yang and Yao, based on the Wigner
distribution functions and the Bogoliubov hypotheses, to find the approximate
dynamical equation for the kinetic state of any nonequilibrium system to the
relativistic case, and obtain a manifestly covariant Boltzmann-type equation
which is a relativistic generalization of the Boltzmann-Uehling-Uhlenbeck (BUU)
equation for indistinguishable particles. This equation is then used to prove
the $H$-theorem for evolution in $\tau .$ In the equilibrium limit, the
covariant forms of the standard statistical mechanical distributions are
obtained. We introduce two-body interactions by means of the direct action
potential $V(q),$ where $q$ is an invariant distance in the Minkowski
space-time. The two-body correlations are taken to have the support in a
relative $O( 2,1)$-invariant subregion of the full spacelike region. The
expressions for the energy density and pressure are obtained and shown to have
the same forms (in terms of an invariant distance parameter) as those of the
nonrelativistic theory and to provide the correct nonrelativistic limit.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 09:51:53 GMT""}]","2009-10-28"
"hep-th/9508123","Leonid Burakovsky","L. Burakovsky, L.P. Horwitz and W.C. Schieve","Towards a Realistic Equation of State of Strongly Interacting Matter","LaTeX, figures not included","Found.Phys.Lett. 8 (1995) 537-548","10.1007/BF02186245",,"hep-th",,"  We consider a relativistic strongly interacting Bose gas. The interaction is
manifested in the off-shellness of the equilibrium distribution. The equation
of state that we obtain for such a gas has the properties of a realistic
equation of state of strongly interacting matter, i.e., at low temperature it
agrees with the one suggested by Shuryak for hadronic matter, while at high
temperature it represents the equation of state of an ideal ultrarelativistic
Stefan-Boltzmann gas, implying a phase transition to an effectively weakly
interacting phase.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 09:52:22 GMT""}]","2009-10-28"
"hep-th/9508124","Martin Cederwall","Martin Cederwall, Gabriele Ferretti, Bengt E.W. Nilsson and Per
  Salomonson","Low Energy Dynamics of Monopoles in N=2 SYM with Matter","plain tex, 12 pages. A note added regarding the recently published
  papers hep-th/9508117 and hep-th/9508156. Two other references added. Minor
  changes in text","Mod.Phys.Lett. A11 (1996) 367-380","10.1142/S0217732396000412","Goteborg-ITP-95-16","hep-th",,"  We derive, for $N\is2$ super-Yang--Mills with gauge group $SU(2)$ and
massless matter, the supersymmetric quantum mechanical models describing the
time evolution of multi-monopole configurations in the low energy
approximation. This is a first step towards identifying the solitonic states
mapped to fundamental excitations by duality in the model with four
hypermultiplets in the fundamental representation.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 13:36:07 GMT""},{""version"":""v2"",""created"":""Thu, 19 Oct 1995 15:07:54 GMT""},{""version"":""v3"",""created"":""Wed, 25 Oct 1995 14:06:40 GMT""}]","2009-10-28"
"hep-th/9508125",,"Chuan-Jie Zhu","The structure of the ground ring in critical $W_3$ gravity","10 pages, LaTeX (elsart)",,,"SISSA/99/95/EP","hep-th",,"  By explicit calculation, I determine the structure of the ground ring of the
critical $W_3$ gravity and show that there is an $su(3)$ invariant quadratic
relation among the six basic elements. By using this result, I also construct
some discrete physical states of the critical $W_3$ gravity.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 14:04:11 GMT""}]","2007-05-23"
"hep-th/9508126",,"Chuan-Jie","The complete structure of the $WG_2$ algebra and its BRST quantization","14 pages, LaTeX (elsart)",,,"SISSA/100/95/EP","hep-th",,"  The complete structure of the $WG_2$ algebra is obtained from an explicit
realization by an abstract Virasoro algebra and a free boson field. We then
construct its BRST operator and find a seven-parameter family of nilpotnt BRST
operators. These free parameters are related to the canonical transformations
of the ghost, antighost fields which leave the total stress-energy tensor and
the antighost field $b$ invariant.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 14:04:31 GMT""}]","2007-05-23"
"hep-th/9508128","Juan Antonio Nieto Garcia","M. Medina and J.A. Nieto","A Relation Between Gravity in $(3+1)$--Dimensions and Pontrjagin
  Topological Invariant","9 pages, TeX","Nuovo Cim.B111:535-544,1996","10.1007/BF02724562","Esc.Cien.Fis-Mat,UMSNH,August-95","hep-th",,"  A relation between the MacDowell-Mansouri theory of gravity and the
Pontrjagin toplogical invariant in $(3+1)$ dimensions is discussed. This
relation may be of especial interest in the quest of finding a mechanism to go
from non-dynamical to dynamical gravity.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 15:14:12 GMT""},{""version"":""v2"",""created"":""Tue, 29 Aug 1995 16:47:03 GMT""}]","2009-07-22"
"mtrl-th/9508009","J. L. Goniakowski","J. Goniakowski and M. J. Gillan (Physics Department, Keele University,
  Staffordshire, U.K.)","The Adsorption of H2O on TiO2 and SnO2(110) Studied by First-Principles
  Calculations",,,"10.1016/0039-6028(95)01252-4",,"mtrl-th cond-mat.mtrl-sci",,"  First-principles calculations based on density functional theory and the
pseudopotential method have been used to investigate the energetics of H$_2$O
adsorption on the (110) surface of TiO$_2$ and SnO$_2$. Full relaxation of all
atomic positions is performed on slab systems with periodic boundary
conditions, and the cases of full and half coverage are studied. Both molecular
and dissociative (H$_2$O $\rightarrow$ OH$^-$ + H$^+$) adsorption are treated,
and allowance is made for relaxation of the adsorbed species to unsymmetrical
configurations. It is found that for both TiO$_2$ and SnO$_2$ an unsymmetrical
dissociated configuration is the most stable. The symmetrical molecularly
adsorbed configuration is unstable with respect to lowering of symmetry, and is
separated from the fully dissociated configuration by at most a very small
energy barrier. The calculated dissociative adsorption energies for TiO$_2$ and
SnO$_2$ are in reasonable agreement with the results of thermal desorption
experiments. Calculated total and local electronic densities of states for
dissociatively and molecularly adsorbed configurations are presented and their
relation with experimental UPS spectra is discussed.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 11:57:43 GMT""}]","2009-10-28"
"mtrl-th/9508010","J. L. Goniakowski","J. Goniakowski, J.M. Holender, L.N. Kantorovich and M.J. Gillan
  (Physics Department, Keele University, Staffordshire, U.K.) J.A. White (TCM
  Group, Cavendish Laboratory, Cambridge University, Cambridge, U.K.)","The Influence of Gradient Corrections on Bulk and Surface Properties of
  TiO2 and SnO2","REVTEX with 1 figure",,,,"mtrl-th cond-mat.mtrl-sci",,"  First-principles calculations based on density functional theory and the
pseudo\-potential method have been used to investigate the influence of
gradient corrections to the standard LDA technique on the equilibrium structure
and energetics of rutile TiO$_2$ and SnO$_2$ perfect crystals and their (110)
surfaces. We find that gradient corrections increase the calculated lattice
parameters by roughly 3~\%, as has been found for other types of material.
Gradient corrections give only very minor changes to the equilibrium surface
structure, but reduce the surface energies by about 30~\%.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 12:28:32 GMT""}]","2008-02-03"
"nucl-th/9508038","Elaine Remillard","K.C. Chase and A.Z. Mekjian","Exact methods for Campi plots","7 pages, revtex 3.0, 2 figs. available on request",,,"RU9552","nucl-th",,"  We introduce for canonical fragmention models an exact method for computing
expectation values which exclude the largest cluster. This method allows for
the computation of the reduced multiplicity and other quantities of interest
introduced by Campi, and a comparison shows that the percolation model and a
recent canonical model differ mostly only in small respects in these ensemble
averages.
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 17:56:30 GMT""}]","2009-09-25"
"nucl-th/9508039","Ray Nix","Akira Iwamoto, Peter Moller, J. Rayford Nix, and Hiroyuki Sagawa","Collisions of Deformed Nuclei and Superheavy-Element Production","15 pages. LaTeX with iopconf.sty style file. Presented at 2nd
  RIKEN/INFN Joint Symposium, Wako-shi, Saitama, Japan, May 22-26, 1995. To be
  published in symposium proceedings by World Scientific, Singapore. Seven
  figures not included here. PostScript version with figures available at
  http://t2.lanl.gov/pub/publications/publications.html or at
  ftp://t2.lanl.gov/pub/publications/riken95",,,"LA-UR-95-2932","nucl-th",,"  A detailed understanding of complete fusion cross sections in heavy-ion
collisions requires a consideration of the effects of the deformation of the
projectile and target. Our aim here is to show that deformation and orientation
of the colliding nuclei have a very significant effect on the fusion-barrier
height and on the compactness of the touching configuration. To facilitate
discussions of fusion configurations of deformed nuclei, we develop a
classification scheme and introduce a notation convention for these
configurations. We discuss particular deformations and orientations that lead
to compact touching configurations and to fusion-barrier heights that
correspond to fairly low excitation energies of the compound systems. Such
configurations should be the most favorable for producing superheavy elements.
We analyse a few projectile-target combinations whose deformations allow
favorable entrance-channel configurations and whose proton and neutron numbers
lead to compound systems in a part of the superheavy region where alpha
half-lives are calculated to be observable, that is, longer than 1 microsecond.
","[{""version"":""v1"",""created"":""Wed, 23 Aug 1995 20:40:29 GMT""}]","2007-05-23"
"nucl-th/9508040","Claus Slotta","Urs Achim Wiedemann, Pierre Scotto and Ulrich Heinz","Transverse Momentum Dependence of Hanbury-Brown/Twiss Correlation Radii","34 pages, 3 Postscript figures, RevTeX","Phys.Rev.C53:918-931,1996","10.1103/PhysRevC.53.918","TRP-95-12","nucl-th",,"  The transverse momentum dependence of Hanbury-Brown/Twiss (HBT)
interferometry radii for 2-body correlation functions provides experimental
access to the collective dynamics in heavy-ion collisions. We present an
analytical approximation scheme for these HBT radii which combines the recently
derived model-independent expressions with an approximate determination of the
saddle point of the emission function. The method is illustrated for a
longitudinally boost-invariant hydrodynamical model of a heavy ion collision
with freeze-out on a sharp hypersurface. The analytical approximation converges
rapidly to the width of the numerically computed correlation function and
reproduces correctly its exact transverse momentum dependence. However, higher
order corrections within our approximation scheme are essential, and the
previously published lowest order results with simple $m_{\perp}$ scaling
behaviour are quantitatively and qualitatively unreliable.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 07:38:40 GMT""}]","2008-11-26"
"q-alg/9508014","Mathias Pillin","Mathias Pillin","On the deformability of Heisenberg algebras","16 pages, latex, no figures","Commun. Math. Phys. 180 (1996) 23","10.1007/BF02101181","YITP/U-95-32","q-alg hep-th math.QA",,"  Based on the vanishing of the second Hochschild cohomology group of the
enveloping algebra of the Heisenberg algebra it is shown that differential
algebras coming from quantum groups do not provide a non-trivial deformation of
quantum mechanics. For the case of a q-oscillator there exists a deforming map
to the classical algebra. It is shown that the differential calculus on quantum
planes with involution, i.e. if one works in position-momentum realization, can
be mapped on a q-difference calculus on a commutative real space. Although this
calculus leads to an interesting discretization it is proved that it can be
realized by generators of the undeformed algebra and does not posess a proper
group of global transformations.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 06:52:04 GMT""}]","2009-10-28"
"q-alg/9508015","Oh Choo Hiap","C H Oh and K Singh","Real Forms of the Oscillator Quantum Algebra and its Representations","10 pages, Ams-Tex, To be published in Letters in Mathematical physics",,"10.1007/BF00403253","NUS/HEP/95201","q-alg math.QA",,"  We consider the conditions under which the $q$-oscillator algebra becomes a
Hopf $*$-algebra. In particular, we show that there are at least two real forms
associated with the algebra. Furthermore, through the representations, it is
shown that they are related to ${\text {su}}_{q^{1/2}}(2)$ with different
conjugations.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 09:40:17 GMT""},{""version"":""v2"",""created"":""Fri, 25 Aug 1995 09:01:37 GMT""},{""version"":""v3"",""created"":""Tue, 29 Aug 1995 06:46:30 GMT""},{""version"":""v4"",""created"":""Wed, 30 Aug 1995 08:53:12 GMT""}]","2009-10-28"
"quant-ph/9508021","Ruediger Schack","I. C. Percival (Physics, QMW, University of London)","Quantum space-time fluctuations and primary state diffusion","17 pages in Plain TeX, submitted to Proc. Roy. Soc. A",,"10.1098/rspa.1995.0139",,"quant-ph gr-qc",,"  Nondifferentiable fluctuations in space-time on a Planck scale introduce
stochastic terms into the equations for quantum states, resulting in a proposed
new foundation for an existing alternative quantum theory, primary state
diffusion (PSD). Planck-scale stochastic space-time structure results in
quantum fluctuations, whilst larger-scale curvature is responsible for
gravitational forces. The gravitational field and the quantum fluctuation field
are the same, differing only in scale. The quantum mechanics of small systems,
classical mechanics of large systems and the physics of quantum experiments are
all derived dynamically, without any prior division into classical and quantum
domains, and without any measurement hypothesis. Unlike the earlier derivation
of PSD, the new derivation, based on a stochastic space-time differential
geometry, has essentially no free parameters. However many features of this
structure remain to be determined. The theory is falsifiable in the laboratory,
and critical matter interferometry experiments to distinguish it from ordinary
quantum mechanics may be feasible within the next decade.
","[{""version"":""v1"",""created"":""Thu, 24 Aug 1995 14:51:00 GMT""}]","2015-06-26"
