"adap-org/9508001",,"Bruce W. Roberts and M. E. J. Newman (Cornell University)","A model for evolution and extinction","Postscript (compressed etc. using uufiles), 16 pages, with 15
  embedded figures","J. Theor. Biol. 180, 39 (1996)",,"CU-MSC-8-95-4","adap-org nlin.AO q-bio",,"  We present a model for evolution and extinction in large ecosystems. The
model incorporates the effects of interactions between species and the
influences of abiotic environmental factors. We study the properties of the
model by approximate analytic solution and also by numerical simulation, and
use it to make predictions about the distribution of extinctions and species
lifetimes that we would expect to see in real ecosystems. It should be possible
to test these predictions against the fossil record. The model indicates that a
possible mechanism for mass extinction is the coincidence of a large
coevolutionary avalanche in the ecosystem with a severe environmental
disturbance.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 12:25:32 GMT""}]","2008-02-03"
"hep-ph/9508253",,"J. Lopez and D. Nanopoulos","The Missing Doublet Model Revamped","22 pages, 1 figure (uuencoded)","Phys. Rev. D 53, 2670 (1996)","10.1103/PhysRevD.53.2670","CTP-TAMU-29/95","hep-ph",,"  We revisit the Missing Doublet Model (MDM) as a means to address the apparent
difficulties of the minimal $SU(5)$ supergravity model in dealing with the
doublet-triplet splitting problem, the prediction of $\alpha_3(M_Z)$, and the
proton lifetime. We revamp the original MDM by extending its observable sector
to include fields and interactions that naturally suppress the dimension-five
proton decay operators and that allow see-saw neutrino masses. We also endow
the model with a hidden sector which (via gaugino condensation) triggers
supersymmetry breaking of the desired magnitude, and (via hidden matter
condensation) yields a new dynamical intermediate scale for the right-handed
neutrino masses ($\sim10^{10}\GeV$), and provides an effective Higgs mixing
parameter $\mu$. The model is consistent with gauge coupling unification for
experimentally acceptable values of $\alpha_3(M_Z)$, and with proton decay
limits even for large values of $\tan\beta$. The right-handed neutrinos can be
produced subsequent to inflation, and their out-of-equilibrium decays induce a
lepton asymmetry which is later reprocessed (via sphaleron interactions) into a
baryon asymmetry at the electroweak scale. The resulting see-saw neutrino
masses provide a candidate for the hot dark matter component of the Universe
($m_{\nu_\tau}\sim{\cal O}(10\eV)$) and are consistent with the MSW solution to
the solar neutrino problem. We finally compare the features of this traditional
GUT model with that of the readily string-derivable $SU(5)\times U(1)$ model,
and discuss the prospects of deriving the revamped MDM from string theory.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 19:01:58 GMT""}]","2016-08-24"
"hep-ph/9508254",,"Manuel Drees (Madison) and Atsushi Yamada (Tokyo)","A Decisive Test of Superstring-Inspired E(6) Models","LaTeX with equation.sty, 26 pages, 6 figures (not included). A
  complete PS file of the paper, including the figures, can be obtained via
  anonymous ftp from
  ftp://phenom.physics.wisc.edu/pub/preprints/1995/madph-95-905.ps.Z","Phys.Rev. D53 (1996) 1586-1604","10.1103/PhysRevD.53.1586","MADPH-95-905, UT-710","hep-ph",,"  We point out that in a large class of superstring--inspired $E(6)$ models,
either an e+e- collider operating at a center--of--mass energy $\rs= 1.5$ TeV
or higher must detect the pair production of charged or neutral exotic leptons,
or an e+e- collider with $\rs \geq 300$ GeV must discover at least one light
neutral Higgs boson with invisible branching ratio exceeding 50\%. If neither
of these two signals is seen, the lightest neutral exotic lepton would
overclose the universe, and the model could be completely excluded, independent
of the values of the numerous free parameters. Future Higgs searches might
lower the energy of the e+e- collider needed to test these models decisively.
The only assumptions we have to make are that $R-$parity is exact, so that the
lightest exotic lepton is stable if it is lighter than the lightest neutralino,
and that no $SO(10)$ singlet scalar gets a vacuum expectation of order
$10^{10}$ GeV or higher. If the second condition is violated, the model
effectively reduces to an $SO(10)$ model as far as collider experiments are
concerned.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 20:04:00 GMT""}]","2009-10-28"
"hep-ph/9508255","Sinisa Veseli","S. Veseli and M. G. Olsson","Radiative rare $B$ decays revisited","Latex (uses epsf macro), 20 pages of text, 1 postscript figure
  included","Phys.Lett. B367 (1996) 309-316","10.1016/0370-2693(95)01408-X","MADPH-95-900","hep-ph",,"  We reexamine contributions of higher $K$-resonances to the radiative rare
decays $b\rar s\gamma$ in the limit where both $b$- and $s$-quark are
considered heavy. Using the non-relativistic quark model, and the form factor
definitions consistent with the HQET covariant trace formalism, we find
significant disagreement with previous work which also used heavy quark
symmetry, and excellent agreement with experimental results. In particular, the
two largest fractions of the inclusive $b\rar s\gamma$ branching ratio are
found to be $(16.8\pm 6.4)\%$ for $B\rar K^{*}(892)\gamma$ and $(6.2\pm 2.9)\%$
for $B\rar K_{2}^{*}(1430)\gamma$ decays. We also compare the contribution from
the radiative decays into the eight $K$-meson states to the inclusive
experimental $b\rar s\gamma$ mass distribution.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 20:53:33 GMT""}]","2009-10-28"
"hep-ph/9508256","Adhikari Rathin","Rathin Adhikari and Biswarup Mukhopadhyaya","Some Signals for a Light Neutralino","LaTex File, 6 Pages, Two Figures (available from authors by request).
  Presented at the International Workshops on Particle Theory and
  Phenomenology, IITAP, Iowa State University, USA, May 17-26, 1995",,,"IC/95/214, MRI/PHY/18-95","hep-ph",,"  If a light gaugino sector exists in the supersymmetric standard model then
the mass of lightest neutralino may be of the order of 1 GeV or less. As a
consequence of neutral flavor violation in supersymmetric theories $B_s$-meson
may decay into a pair of lightest neutralinos in such a case. It is found that
the parameter space for such light neutralinos can be appreciably constrained
by looking for such decays. We also show how a rare B-decays ($B
\longrightarrow K(K^{*}) + invisible$ channels) can help us in probing a light
neutralino in B-factories in a reasonably model- independent manner. Finally,
we observe that that the decay of a tau-lepton into a muon and a pair of light
neutralinos can cause a violation of weak universality which is larger in
magnitude than that from any source known so far.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 21:22:17 GMT""}]","2009-09-25"
"hep-ph/9508257",,"O. J. P. Eboli, M. B. Magro, P. G. Mercadante","Anomalous g^5_z coupling at $\gamma\gamma$ colliders","12 pages, 4 figures as uudecoded ps files","Phys.Rev. D52 (1995) 3836-3840","10.1103/PhysRevD.52.3836","MADPH-95-893 IFUSP-P 1160","hep-ph",,"  We study the constraints on the anomalous coupling $g^Z_5$ that can be
obtained from the analysis of the reaction $\gamma\gamma \rightarrow W^+ W^- Z$
at future linear $e^+e^-$ colliders. We find out that a $0.5$ ($1$) TeV
$e^+e^-$ collider operating in the $\gamma\gamma$ mode can probe values of
$g_5^Z$ of the order of $0.15$ ($4.5 \times 10^{-2}$) for an integrated
luminosity of $10$ fb$^{-1}$. This shows that the ability to search for this
anomalous interaction of the $\gamma\gamma$ mode is better than the one of the
usual $e^+e^-$ mode, and it is similar to the ability of the $e\gamma$ mode.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 23:19:38 GMT""}]","2009-10-28"
"hep-ph/9508258",,"A. Brignole, L.E. Ibanez, C. Munoz and C. Scheich","Some issues in soft SUSY-breaking terms from dilaton/moduli sectors","27 pages, no figures, Latex; version to appear in Z. Phys. C (some
  changes in the discussion on gaugino versus scalar masses in sections 2 and
  5, minor corrections elsewhere)","Z.Phys.C74:157-170,1997","10.1007/s002880050379","FTUAM-95-26; LBL-37564","hep-ph hep-th",,"  We study the structure of the soft SUSY-breaking terms obtained from some
classes of 4-D strings under the assumption of dilaton/moduli dominance in the
process of SUSY-breaking. We generalize previous analysis in several ways and
in particular consider the new features appearing when several moduli fields
contribute to SUSY breaking (instead of an overall modulus $T$). Some
qualitative features indeed change in the multimoduli case.A general discussion
for symmetric Abelian orbifolds as well as explicit examples are given. Certain
general sum-rules involving soft terms of different particles are shown to
apply to large classes of models. Unlike in the overall modulus $T$ case,
gauginos may be lighter than scalars even at the tree-level. However, if one
insists in getting that pattern of soft terms, these sum rules force some of
the scalars to get negative mass$^2$. These tachyonic masses could be a problem
for standard model 4-D strings but an advantage in the case of string-GUTs.We
also discuss the possible effects of off-diagonal metrics for the matter fields
which may give rise to flavour-changing neutral currents. Different sources for
the bilinear $B$ soft term are studied. It is found that the Giudice-Masiero
mechanism for generating a ``$\mu $-term'', as naturally implemented in
orbifolds, leads to the prediction $|tg\beta |=1$ at the string scale,
independently of the Goldstino direction.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 09:50:58 GMT""},{""version"":""v2"",""created"":""Fri, 26 Jul 1996 08:56:24 GMT""}]","2008-11-26"
"hep-ph/9508259","Christophe Royon","H. Navelet, R. Peschanski, Ch. Royon","Deep-Inelastic Onium Scattering","10 pages, 2 Postscript figures","Phys.Lett.B366:329-336,1996","10.1016/0370-2693(95)01360-1","DAPNIA/SPP 95-15, SPhT-T95-090","hep-ph",,"  Using the colour dipole approach of the QCD perturbative (BFKL) Pomeron
exchange in onium-onium scattering, we compute the cross section for small but
hierarchically different onium sizes. A specific term dependent on the
size-ratio is generated. In deep inelastic onium scattering it appears as a
scaling violation contribution to the quark structure function near the BFKL
singularity. We find that the extension of the formalism for deep inelastic
onium scattering to the proton structure function provides a remarkably good
3-parameter fit to HERA data at small x with a simple physical interpretation
in terms of the dipole formulation.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 11:31:15 GMT""}]","2008-11-26"
"hep-ph/9508260","Michelangelo Mangano","Michelangelo L. Mangano (CERN)","Heavy Quark Production In Hadronic Collisions","12 pages, latex, 7 postscript figures, compressed and submitted
  separately. To appear in the Proceedings of the 6th International Symposium
  on Heavy Flavour Physics, Pisa, Italy, June 6-10, 1995","Nuovo Cim.A109:683-694,1996","10.1007/BF02731702","CERN-TH/95-191","hep-ph",,"  We review the physics of heavy quark and quarkonium production in high energy
hadronic collisions. We discuss the status of the theoretical calculations and
compare the current results with the most recent measurements from the Tevatron
collider experiments.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 11:36:09 GMT""}]","2010-11-11"
"hep-ph/9508261","Leif Lonnblad","Leif Lonnblad (CERN-TH)","Small-x Effects in W + jets Production at the Tevatron","16 pages, postscript figures included with \special macros","Nucl.Phys. B458 (1996) 215-230","10.1016/0550-3213(95)00576-5","CERN-TH/95-212","hep-ph",,"  The jet structure in events with Drell-Yan-produced W bosons is discussed,
and a new model for describing such event is presented. The model is shown to
explain recent measurements of the W-jet rapidity correlation and predicts a
transverse energy flow at high W rapidities (corresponding to probing small-x
partons in one of the incoming protons) higher than conventional parton cascade
event generators.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 13:23:01 GMT""}]","2009-10-28"
"hep-ph/9508262","Alexander Studenikin","R.N.Faustov, V.O.Galkin and A.Yu.Mishurov","Relativistic Description of Exclusive Heavy-to-Light Semileptonic Decays
  $B\to\pi(\rho)e\nu$","20 pages, two figures included, LATEX","Phys.Rev.D53:6302-6315,1996","10.1103/PhysRevD.53.6302",,"hep-ph",,"  The method of calculating electroweak decay matrix elements between
heavy-heavy and heavy-light meson states is developed in the framework of
relativistic quark model based on the quasipotential approach in quantum field
theory. This method is applied for the study of exclusive semileptonic
$B\to\pi(\rho)$ decays. It is shown that the large value of the final
$\pi(\rho)$ meson recoil momentum allows for the expansion in inverse powers of
$b$-quark mass of the decay form factors at $q^2=0$, where $q^2$ is a momentum
carried by the lepton pair. This $1/m_b$ expansion considerably simplifies the
analysis of these decays and is carried out up to the second order. The
$q^2$-dependence of the form factors is investigated. It is found that the
$q^2$-behaviour of the axial form factor $A_1$ is different from the other form
factors. It is argued that the ratios $\Gamma(B\to\rho e\nu)/\Gamma(B\to\pi
e\nu)$ and $\Gamma_L/\Gamma_T$ are sensitive probes of the $A_1$
$q^2$-dependence, and thus their experimental measurement may discriminate
between different approaches. We find $\Gamma(B\to\pi e\nu)=(3.0\pm0.6)
\times|V_{ub}|^2\times10^{12}$s$^{-1}$ and $\Gamma(B\to\rho e\nu) =(5.4\pm
1.2)\times|V_{ub}|^2\times10^{12}$s$^{-1}$. The relation between semileptonic
and rare radiative $B$-decays is discussed.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 14:25:57 GMT""}]","2011-01-27"
"hep-ph/9508263",,"H. M. Asatrian, G. K. Yeghiyan","Higgs Boson Masses in Supersymmetric Theories","18 pages, 5 figures, during the two last revisions some misprints
  were corrected","Mod.Phys.Lett. A10 (1995) 2943","10.1142/S0217732395003082","Preprint YERPHI-1448(18)-95","hep-ph",,"  The Higgs boson mass problem is considered in the next to minimal
supersymmetric standard model. The Higgs potential and the renormalization
group equations for the gauge, Yukawa and scalar coupling constants are
analyzed. The restrictions for the Higgs boson masses are found for the cases
of presence and absence of spontaneous CP- violation.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 13:27:39 GMT""},{""version"":""v2"",""created"":""Wed, 9 Aug 1995 16:29:05 GMT""},{""version"":""v3"",""created"":""Fri, 24 Nov 1995 11:13:31 GMT""},{""version"":""v4"",""created"":""Sat, 16 Mar 1996 09:45:41 GMT""},{""version"":""v5"",""created"":""Wed, 14 Aug 1996 12:48:21 GMT""},{""version"":""v6"",""created"":""Sat, 31 Aug 1996 14:12:09 GMT""}]","2009-10-28"
"hep-th/9508032",,"Nguyen Ai Viet and Kameshwar C.Wali (Syracuse University)","A Discretized Version of Kaluza-Klein Theory with Torsion and Massive
  Fields","24 pages","Int.J.Mod.Phys. A11 (1996) 2403-2418","10.1142/S0217751X96001206","SU-4240-615","hep-th gr-qc",,"  We consider an internal space of two discrete points in the fifth dimension
of the Kaluza-Klein theory by using the formalism of noncommutative geometry
developed in a previous paper \cite{VIWA} of a spacetime supplemented by two
discrete points. With the nonvanishing internal torsion 2-form there are no
constraints implied on the vielbeins. The theory contains a pair of tensor, a
pair of vector and a pair of scalar fields. Using the generalized Cartan
structure equation we are able not only to determine uniquely the hermitian and
metric compatible connection 1-forms, but also the nonvanishing internal
torsion 2-form in terms of vielbeins. The resulting action has a rich and
complex structure, a particular feature being the existence of massive modes.
Thus the nonvanishing internal torsion generates a Kaluza-Klein type model with
zero and massive modes.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 17:00:14 GMT""}]","2015-06-26"
"hep-th/9508033",,"G. Aldazabal, A. Font, L.E. Ibanez and A.M. Uranga","Building GUTs from strings","40 pages, no figures, Latex","Nucl.Phys.B465:34-70,1996","10.1016/0550-3213(96)00046-6","FTUAM-95-27","hep-th hep-ph",,"  We study in detail the structure of Grand Unified Theories derived as the
low-energy limit of orbifold four-dimensional strings. To this aim, new
techniques for building level-two symmetric orbifold theories are presented.
New classes of GUTs in the context of symmetric orbifolds are then constructed.
The method of permutation modding is further explored and SO(10) GUTs with both
$45$ or $54$-plets are obtained. SU(5) models are also found through this
method. It is shown that, in the context of symmetric orbifold $SO(10)$ GUTs,
only a single GUT-Higgs, either a $54$ or a $45$, can be present and it always
resides in an order-two untwisted sector. Very restrictive results also hold in
the case of $SU(5)$. General properties and selection rules for string GUTs are
described. Some of these selection rules forbid the presence of some particular
GUT-Higgs couplings which are sometimes used in SUSY-GUT model building. Some
semi-realistic string GUT examples are presented and their properties briefly
discussed.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 18:24:57 GMT""}]","2009-10-09"
"hep-th/9508034","Poul H. Damgaard, Nbi","P.H. Damgaard, F. De Jonghe and K. Bering","Sp(2)-Symmetric Lagrangian BRST Quantization","LaTeX, 19 pages","Nucl.Phys. B455 (1995) 440-460",,"UUITP-12/95","hep-th",,"  One Lagrangian BRST quantization principle is that of imposing correct
Schwinger-Dyson equations through the BRST Ward identities. In this paper we
show how to derive the analogous $Sp(2)$-symmetric quantization condition in
flat coordinates from an underlying $Sp(2)$-symmetric Schwinger-Dyson BRST
symmetry. We also show under what conditions this can be recast in the language
of triplectic quantization.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 07:36:45 GMT""}]","2007-05-23"
"hep-th/9508035","Aristophanes Dimakis","A. Dimakis and C. Tzanakis","Non-commutative Geometry and Kinetic Theory of Open Systems","22 pages, LaTeX","J.Phys.A29:577-594,1996","10.1088/0305-4470/29/3/012",,"hep-th",,"  The basic mathematical assumptions for autonomous linear kinetic equations
for a classical system are formulated, leading to the conclusion that if they
are differential equations on its phase space $M$, they are at most of the 2nd
order. For open systems interacting with a bath at canonical equilibrium they
have a particular form of an equation of a generalized Fokker-Planck type. We
show that it is possible to obtain them as Liouville equations of Hamiltonian
dynamics on $M$ with a particular non-commutative differential structure,
provided certain geometric in character, conditions are fulfilled. To this end,
symplectic geometry on $M$ is developped in this context, and an outline of the
required tensor analysis and differential geometry is given. Certain questions
for the possible mathematical interpretation of this structure are also
discussed.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 12:29:43 GMT""}]","2008-11-26"
"hep-th/9508036","Jorge Pullin","Daniel Armand-Ugon, Rodolfo Gambini, Octavio Obregon, Jorge Pullin","Towards a loop representation for quantum canonical supergravity","12 pages Revtex, figures with epsf. An important revision was made of
  section four. We were able to identify the exact quantum state of all the
  constraints of supergravity as the Dubrovnik version of the Kauffman
  polynomial. This provides the first known link of that polynomial to quantum
  field theory","Nucl.Phys. B460 (1996) 615-631","10.1016/0550-3213(95)00582-X","CGPG-95/8-3","hep-th gr-qc math.QA q-alg",,"  We study several aspects of the canonical quantization of supergravity in
terms of the Asthekar variables. We cast the theory in terms of a $GSU(2)$
connection and we introduce a loop representation. The solution space is
similar to the loop representation of ordinary gravity, the main difference
being the form of the Mandelstam identities. Physical states are in general
given by knot invariants that are compatible with the $GSU(2)$ Mandelstam
identities. There is an explicit solution to all the quantum constraint
equations connected with the Chern-Simons form, which coincides exactly with
the Dubrovnik version of the Kauffman Polynomial. This provides for the first
time the possibility of finding explicit analytic expressions for the
coefficients of that knot polynomial.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 15:39:37 GMT""},{""version"":""v2"",""created"":""Tue, 28 Nov 1995 02:55:49 GMT""}]","2009-10-28"
"math/9508218","Emanuel Knill","Emanuel Knill","An analysis of Bennett's pebble game","15 pages",,,"LACES 68Q-95-31","math.CO cs.CC",,"  Bennett's pebble game was introduced to obtain better time/space tradeoffs in
the simulation of standard Turing machines by reversible ones. So far only
upper bounds for the tradeoff based on the pebble game have been published.
Here we give a recursion for the time optimal solution of the pebble game given
a space bound. We analyze the recursion to obtain an explicit asymptotic
expression for the best time-space product.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 00:00:00 GMT""}]","2016-09-06"
"mtrl-th/9508006","Mauri Francesco","Andrea Dal Corso, Francesco Mauri, and Angel Rubio","Density-Functional Theory of the nonlinear optical susceptibility:
  application to cubic semiconductors",,,,,"mtrl-th chem-ph cond-mat.mtrl-sci",,"  We present a general scheme for the computation of the time dependent (TD)
quadratic susceptibility ($\chi^{(2)}$) of an extended insulator obtained by
applying the `$2n+1$' theorem to the action functional as defined in TD density
functional theory. The resulting expression for $\chi^{(2)}$ includes
self-consistent local-field effects, and is a simple function of the linear
response of the system. We compute the static $\chi^{(2)}$ of nine III-V and
five II-VI semiconductors using the local density approximation(LDA) obtaining
good agreement with experiment. For GaP we also evaluate the TD $\chi^{(2)}$
for second harmonic generation using TD-LDA.
","[{""version"":""v1"",""created"":""Mon, 7 Aug 1995 22:12:03 GMT""}]","2008-02-03"
"nucl-th/9508012",,"P. Halse, P. Van Isacker and B.R. Barrett","Sum Rules for B(M1,0+ -> 1+) Strength in IBM-3 and IBM-4","8 pages in LATEX with no figures","Phys.Lett. B363 (1995) 145-150","10.1016/0370-2693(95)01213-A","U. of Arizona report #AZPH-TH/95-20","nucl-th",,"  Sum rules for $B(M1,0^+_1\rightarrow1^+_i)$ strength are derived for
even-even nuclei in the isospin-invariant forms of the IBM, IBM-3 and IBM-4, in
the cases where the respective natural internal symmetries, isospin $U$(3) and
$U(6)\supset SU$(4), are conserved. Subsequently, the total strength is
resolved into its component partial sums to the allowed isospins (and $SU(4)$
representations in IBM-4). In cases where the usual IBM dynamical symmetries
are also valid, a complete description of all $B(M1,0^+_1\rightarrow1^+_i)$ is
given. In contrast to IBM-2, there is fragmentation of the strength even in the
dynamical symmetry cases, for $T\neq 0$, over two states in IBM-3, and over
three states in IBM-4. The presence of $pn$ bosons in the ground state of the
extended versions reduces the expected strength from that for IBM-2, allowing
in principle the possibility of using $B(M1)$ data for a given nucleus to infer
which version is the most appropriate.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 00:13:36 GMT""}]","2009-10-28"
"nucl-th/9508013","E. Bender","E. Bender, K.W. Schmid and Amand Faessler (Institut f\""ur Theoretische
  Physik, Universit\""at T\""ubingen, Germany)","sd-Shell Study with a Multi-Configuration Mixing Approach designed for
  Large Scale Nuclear Structure Calculations","21 pages LaTeX file, 2 LaTeX tables, 7 Postscript figures","Phys.Rev.C52:3002-3012,1995","10.1103/PhysRevC.52.3002",,"nucl-th",,"  A systematic numerical investigation of a recently developed nuclear
structure approach is presented which diagonalizes the Hamiltonian in the space
of the symmetry-projected Hartree-Fock-Bogoliubov (HFB) vacuum and
symmetry-projected quasiparticle excitations with respect to it. The underlying
HFB transformation, which is assumed to be time-reversal and axially symmetric,
is determined by variation after the projection. The model allows the use of
large basis systems. It has been applied to the calculation of energy spectra
of several even-even, odd-odd and odd mass nuclei in the sd shell with mass
numbers reaching from A=20 to 30. The Chung-Wildenthal interaction has been
used. Good agreement with the exact shell model diagonalization and a
considerable improvement on a previous approach, where the HFB transformation
was significantly more restricted, is obtained.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 10:12:30 GMT""}]","2008-11-26"
"nucl-th/9508014",,"H.-W. Hammer and D. Drechsel (University of Mainz, Germany)","Parity violating pion electroproduction off the nucleon","17 pages, RevTeX, 6 figures (in separate file figs.uu), uses epsf,
  accepted for publication in Z. Phys. A","Z.Phys. A353 (1995) 321-331","10.1007/BF01292338","MKPH-T-95-10","nucl-th hep-ph",,"  Parity violating (PV) contributions due to interference between $\gamma$ and
$Z^0$ exchange are calculated for pion electroproduction off the nucleon. A
phenomenological model with effective Lagrangians is used to determine the
resulting asymmetry for the energy region between threshold and $\Delta(1232)$
resonance. The $\Delta$ resonance is treated as a Rarita-Schwinger field with
phenomenological $N \Delta$ transition currents. The background contributions
are given by the usual Born terms using the pseudovector $\pi N$ Lagrangian.
Numerical results for the asymmetry are presented.
","[{""version"":""v1"",""created"":""Tue, 8 Aug 1995 13:18:13 GMT""}]","2015-06-26"
