"acc-phys/9508001","George Parzen","G. Parzen (Brookhaven National Laboratory)","Linear Orbit Parameters for the Exact Equations of Motion","14 pages, gzipped postscript paper (120k)",,,"BNL-60090","acc-phys physics.acc-ph",,"  This paper defines the beta function and other linear orbit parameters using
the exact equations of motion. The orbit functions are redefined using the
exact equations. Expressions are found for the transfer matrix and the
emittances. Differential equations are found for the beta function and the eta
function. New relationships between the linear orbit parameters are found.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 14:38:10 GMT""}]","2008-02-03"
"hep-ph/9508407",,"M. Jetter (TRIUMF)","$\eta \to \pi^0 \gamma \gamma$ to ${\cal{O}}(p)^6$ in Chiral
  Perturbation Theory","24 pages, 3 tables and 8 figures. A LaTeX error has been fixed","Nucl.Phys. B459 (1996) 283-310","10.1016/0550-3213(95)00598-6","TRI-PP-95-59","hep-ph nucl-th",,"  The decay $\eta \to \pi^0 \gamma \gamma$ is discussed in the framework of
SU(3) chiral perturbation theory. The process is dominated by the
${\cal{O}}(p^6)$ in the momentum expansion where tree-level amplitudes from the
effective Lagrangian ${\cal{L}}^6$ enter together with one--loop contributions
from ${ \cal{L}}^4$ and two--loop contributions from ${\cal{L}}^2$. We estimate
the 6 independent ${\cal{L}}^6$ coupling constants by resonance saturation
consistent with the pion production process $\gamma \gamma \to \pi^0 \pi^0$ and
calculate the pion--loop part of the one- and two--loop amplitude. Predictions
for the total rate and spectrum of $\eta \to \pi^0 \gamma \gamma$ are given
together with a discussion of the uncertainties involved.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 00:01:12 GMT""},{""version"":""v2"",""created"":""Fri, 1 Sep 1995 01:14:48 GMT""}]","2009-10-28"
"hep-ph/9508408",,"I.I. Bigi","The QCD Perspective on Lifetimes of Heavy-Flavour Hadrons","48 pages,LATEX,5 figures can be obtained from the Author on request;
  preliminary version; final version will form part of a Physics Report on
  Charm and Beauty Lifetimes; Comments and criticisms are highly welcome for
  improving the manuscript",,,"UND-HEP-95-BIG02","hep-ph",,"  Over the last few years a theoretical treatment for the weak decays of
heavy-flavour hadrons has been developed that is genuinely based on QCD. Its
methodology is described as it applies to total lifetimes, and the underlying
theoretical issues are discussed. Theoretical expectations are compared with
present data. One discrepancy emerges: the beauty baryon lifetime appears to be
significantly shorter than predicted. The ramifications of those findings are
analyzed in detail, and future refinements are described.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 04:45:25 GMT""}]","2009-09-25"
"hep-ph/9508409",,"Michael Kr\""amer (DESY)","QCD Corrections to Inelastic $J/\psi$ Photoproduction","42 pages, Latex, 24 figures appended as uuencoded file, uses epsfig,
  complete postscript file at
  ftp://x4u2.desy.de/pub/preprints/desy/1995/desy95-155.ps, hardcopy can be
  obtained from mkraemer@desy.de","Nucl.Phys.B459:3-50,1996","10.1016/0550-3213(95)00568-4","DESY 95-155","hep-ph",,"  We present a complete calculation of the higher-order perturbative QCD
corrections to inelastic photoproduction of $J/\psi$ particles. A comprehensive
analysis of total cross sections and differential distributions for the energy
range of the fixed-target experiments and for inelastic $J/\psi$
photoproduction at HERA is performed. The cross section and the $J/\psi$ energy
spectrum are compared with the available photoproduction data including first
results from HERA. This analysis will not only provide information on the gluon
distribution of the proton but appears to be a clean test for the underlying
picture of quarkonium production as developed so far in the perturbative QCD
sector.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 09:59:26 GMT""}]","2009-04-13"
"hep-ph/9508410","Gunther Piller","G. Piller and A. W. Thomas","$J/\psi$ production as a probe of charge symmetry violations and nuclear
  corrections in parton distributions","9 pages with 4 figures. To appear in Z. Phys. C","Z.Phys.C70:661-664,1996","10.1007/s002880050140","ADP-95-25/T180, TUM/T39-95-8","hep-ph",,"  We investigate the sensitivity of $J/\Psi$ production in proton-neutron and
proton-deuteron collisions to charge symmetry violations in the parton
distributions as well as to nuclear corrections. It is found that the effects
of charge symmetry violations in the quark distributions are confined to large
$x_F$ and difficult to measure in experiments currently being planned. However,
from proton-deuteron experiments it should be possible to isolate nuclear
corrections to the gluon distribution.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 09:40:35 GMT""}]","2008-11-26"
"hep-ph/9508411","German Valencia","Xiao-Gang He and G. Valencia","CP Violation in $Lambda \to p \pi^-$ Beyond the Standard Model","34 pages, LaTeX, To appear in Phys. Rev. D","Phys.Rev. D52 (1995) 5257-5268","10.1103/PhysRevD.52.5257","ISU-HET-95-3, OITS-579","hep-ph",,"  The $\cp$ violating asymmetry $A(\Lambda^0_-)$ has been estimated to occur at
the level of a few times $10^{-5}$ within the minimal standard model. The
experiment E871 expects to reach a sensitivity of $10^{-4}$ to the asymmetry
$A(\Lambda^0_-)+A(\Xi^-_-)$. In this paper we study some of the implications of
such a measurement for $\cp$ violation beyond the minimal standard model. We
find that it is possible to have $A(\Lambda^0_-)$ at the few times $10^{-4}$
level while satisfying the constraints imposed by the measurements of $\cp$
violation in kaon decays.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 14:22:29 GMT""}]","2009-10-28"
"hep-ph/9508414",,"Eugene Levin (LAFEX,CBPF/PNPI,St.Petersburg)","Landau-Pomeranchuk-Migdal effect for nuclear matter in QCD","13 pages, 4 figures","Phys.Lett. B380 (1996) 399-408","10.1016/0370-2693(96)00526-6","CBPF-NF-061/95","hep-ph",,"  Soft photon and gluon radiation off a fast quark propagating through nuclear
matter is discussed. The close anology between the Landau - Pomeranchuk -
Migdal (LPM) effect in QED and the emission of soft gluons, suggested in ref.
\cite{BDPS} for ``hot"" plasma, is confirmed and the relation between Mueller's
approach and traditional calculations is established. It is shown that
perturbative QCD can be applied to take into account the LPM coherent
suppression both for photon and gluon induced radiation. The formulae for the
photon and gluon radiation densities are presented.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 15:54:07 GMT""},{""version"":""v2"",""created"":""Fri, 1 Sep 1995 11:28:45 GMT""}]","2009-10-28"
"hep-th/9508170","Chang Zhe","Zhe Chang","Quantum Group and Quantum Symmetry","127 pages, Latex","Phys.Rept. 262 (1995) 137-225","10.1016/0370-1573(95)00063-M","IC/94/89","hep-th",,"  This is a self-contained review on the theory of quantum group and its
applications to modern physics. A brief introduction is given to the
Yang-Baxter equation in integrable quantum field theory and lattice statistical
physics. The quantum group is primarily introduced as a systematic method for
solving the Yang-Baxter equation. Quantum group theory is presented within the
framework of quantum double through quantizing Lie bi-algebra. Both the highest
weight and the cyclic representations are investigated for the quantum group
and emphasis is laid on the new features of representations for $q$ being a
root of unity. Quantum symmetries are explored in selected topics of modern
physics.
","[{""version"":""v1"",""created"":""Wed, 30 Aug 1995 17:24:08 GMT""}]","2015-06-26"
"hep-th/9508171","Kazuto Oshima","Kazuto Oshima","Instanton effects and Witten complex in supersymmetric quantum mechanics
  on SO(4)","26pages, Latex","Prog.Theor.Phys. 96 (1996) 1237-1248","10.1143/PTP.96.1237","Gunma-Tech-95-1","hep-th",,"  We examine supersymmetric quantum mechanics on $SO(4)$ to realize Witten's
idea. We find instanton solutions connecting approximate vacuums. We calculate
Hessian matrices for these solutions to determine true vacuums. Our result is
in agreement with de Rham cohomology of $SO(4)$. We also give a criterion for
cancellation of instanton effects for a pair of instanton paths.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 05:08:46 GMT""}]","2009-10-28"
"hep-th/9508173","Alexander Niemeyer","A. Niemeyer and H.P. Nilles","Gaugino Condensation and the Vacuum Expectation Value of the Dilaton","10 pages, 1 postscript figure, uses epsf",,,"TUM-HEP 226/95, SFB 375/20","hep-th",,"  The mechanism of gaugino condensation has emerged as a prime candidate for
supersymmetry breakdown in low energy effective supergravity (string) models.
One of the open questions in this approach concerns the size of the gauge
coupling constant which is dynamically fixed through the vev of the dilaton. We
argue that a nontrivial gauge kinetic function $f(S)$ could solve the potential
problem of a runaway dilaton. The actual form of $f(S)$ might be constrained by
symmetry arguments.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 09:59:11 GMT""}]","2007-05-23"
"hep-th/9508174",,"O.M.Khudaverdian","Batalin--Vilkovisky Formalism and Odd Symplectic Geometry","plain TeX, 39 pages, no figures",,,,"hep-th",,"  It is a review of some results in Odd symplectic geometry related to the
Batalin-Vilkovisky Formalism
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 10:04:34 GMT""}]","2007-05-23"
"hep-th/9508175","George Papadopoulos","G. Papadopoulos","Supersymmetric Toda Field Theories","13 pages","Phys.Lett.B365:98-104,1996","10.1016/0370-2693(95)01271-0",,"hep-th",,"  We present new supersymmetric extensions of Conformal Toda and $A^{(1)}_N$
Affine Toda field theories. These new theories are constructed using methods
similar to those that have been developed to find supersymmetric extensions of
two-dimensional bosonic sigma models with a scalar potential. In particular, we
show that the Conformal Toda field theory admits a (1,1)-supersymmetric
extension, and the $A^{(1)}_N$ Affine Toda field admits a (1,0)-supersymmetric
extension.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 12:32:44 GMT""}]","2009-10-09"
"hep-th/9508176","John Gracey","Massimiliano Ciuchini and J.A. Gracey","On the N = 2 supersymmetric CP(N) sigma model and Chern Simons terms","24 pages latex, 2 uuencoded figures and 2 uuencoded tables","Nucl.Phys. B454 (1995) 103-126","10.1016/0550-3213(95)00428-U","IFUP-TH 31/95, LTH-353","hep-th",,"  We use the large $N$ self consistency method to compute the critical
exponents of the fields and coupling of the supersymmetric CP(N) sigma model at
leading order in $1/N$ in various dimensions. We verify that the correction to
the critical beta-function slope vanishes at O(1/N) which is consistent with
supersymmetry. The three dimensional model is investigated explicitly when a
Chern Simons term is included supersymmetrically. We determine the modification
that this has on the gauge independent quantity \beta^\prime(g_c) as a function
of the Chern Simons coupling, \vartheta. For an N = 2 supersymmetric Chern
Simons term the exponent is independent of \vartheta at O(1/N), whilst it is
invariant under \vartheta \rightarrow 1/\vartheta when an N = 1 supersymmetric
Chern Simons term is included.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 14:33:40 GMT""}]","2009-10-28"
"hep-th/9508177","Paul Townsend","J.M. Izquierdo, N.D. Lambert, G. Papadopoulos and P.K. Townsend","Dyonic Membranes","Phyzzx. 27 pp. Additional para. added to introduction","Nucl.Phys.B460:560-578,1996","10.1016/0550-3213(95)00606-0","R/95/40","hep-th",,"  We present dyonic multi-membrane solutions of the N=2 D=8 supergravity theory
that serves as the effective field theory of the $T^2$-compactified type II
superstring theory. The `electric' charge is fractional for generic asymptotic
values of an axion field, as for D=4 dyons. These membrane solutions are
supersymmetric, saturate a Bogomolnyi bound, fill out orbits of an $Sl(2;\Z)$
subgroup of the type II D=8 T-duality group, and are non-singular when
considered as solutions of $T^3$-compactified D=11 supergravity. On $K_3$
compactification to D=4, the conjectured type II/heterotic equivalence allows
the $Sl(2;\Z)$ group to be reinterpreted as the S-duality group of the
toroidally compactified heterotic string and the dyonic membranes wrapped
around homology two-cycles of $K_3$ as S-duals of perturbative heterotic string
states.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 15:57:21 GMT""},{""version"":""v2"",""created"":""Fri, 27 Oct 1995 17:51:17 GMT""},{""version"":""v3"",""created"":""Mon, 20 Nov 1995 17:34:55 GMT""}]","2009-10-09"
"nucl-th/9508048","Werner Koepf","S. Pepin and Fl. Stancu (Universite de Liege), W. Koepf (Tel Aviv
  University) and L. Wilets (University of Washington)","The Nucleon-Nucleon Interaction in the Chromo-Dielectric Soliton Model:
  Dynamics","16 pages (REVTEX), 6 figures (uuencoded Postscript) optionally
  included using epsfig.sty","Phys.Rev.C53:1368-1373,1996","10.1103/PhysRevC.53.1368","DOE/ER/40427-12-N95","nucl-th",,"  The present work is an extension of a previous study of the nucleon-nucleon
interaction based on the chromo-dielectric soliton model. The former approach
was static, leading to an adiabatic potential. Here we perform a dynamical
study in the framework of the Generator Coordinate Method. In practice, we
derive an approximate Hill-Wheeler differential equation and obtain a local
nucleon-nucleon potential as a function of a mean generator coordinate. This
coordinate is related to an effective separation distance between the two
nucleons by a Fujiwara transformation. This latter relationship is especially
useful in studying the quark substructure of light nuclei. We investigate the
explicit contribution of the one-gluon exchange part of the six-quark
Hamiltonian to the nucleon-nucleon potential, and we find that the dynamics are
responsible for a significant part of the short-range N-N repulsion.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 06:53:28 GMT""}]","2008-11-26"
"solv-int/9508005","Ismagil Habibullin","I.T. Habibullin","Symmetry approach in boundary value problems","7 pages, LaTeX",,"10.2991/jnmp.1996.3.1-2.16",,"solv-int nlin.SI",,"  The problem of construction of the boundary conditions for nonlinear
equations is considered compatible with their higher symmetries. Boundary
conditions for the sine-Gordon, Jiber-Shabat and KdV equations are discussed.
New examples are found for the Jiber-Shabat equation.
","[{""version"":""v1"",""created"":""Thu, 31 Aug 1995 07:07:35 GMT""},{""version"":""v2"",""created"":""Wed, 6 Sep 1995 02:04:35 GMT""}]","2015-06-26"
