"adap-org/9508004","Pillet Claude-Alain","V. Jaksic (IMA, University of Minnesota, Minneapolis) and C.-A. Pillet
  (Dep. de Physique Theorique, Universite de Geneve)","Ergodic Properties of the Spin - Boson System","31 pages, postscript",,,,"adap-org nlin.AO",,"  We investigate the dynamics of a 2-level atom (or spin-1/2) coupled to a
mass-less bosonic field at positive temperature. We prove that, at small
coupling, the combined quantum system approaches thermal equilibrium. Moreover
we establish that this approach is exponentially fast in time. We first reduce
the question to a spectral problem for the Liouvillean, a self-adjoint operator
naturally associated with the system. To compute this operator, we invoke
Tomita-Takesaki theory. Once this is done we use complex deformation techniques
to study its spectrum. The corresponding zero temperature model is also
reviewed and compared.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 08:42:20 GMT""}]","2008-02-03"
"hep-ph/9508314",,"S. Bar-Shalom (Technion), D. Atwood (SLAC), G. Eilam (Technion), R.R.
  Mendel (Univ. of Western Ontario) and A. Soni (BNL)","Large Tree Level CP Violation in $e^+e^-\to t\bar{t}H^0$ in The Two
  Higgs Doublet Model","UU encoded tar compressed tex file with postscript figures","Phys.Rev. D53 (1996) 1162-1167","10.1103/PhysRevD.53.1162","SLAC-PUB-95-6981","hep-ph",,"  We find a large CP violation effect within the Two-Higgs-Doublet-Model for
the reaction $e^+e^-\to t\bar{t}H^0$ at future linear colliders. The
CP-asymmetry arises already at the tree level as a result of interference
between diagrams with $H^0$ emission from $t$ (and $\bar{t}$) and its emission
from a $Z^0$ and can be about 10--20\%. In the best case one needs a few
hundred $t\bar{t}H^0$ events to observe CP violation at the 3$\sigma$ level.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 20:01:44 GMT""}]","2009-10-28"
"hep-ph/9508315",,"J.T.A. Lang, J.E. Paton, and A.M. Green","Perturbative Static Four-Quark Potentials","13 pages, 7 figures, uses macro FEYNMAN.TEX (available in macro
  archive)","Phys.Lett. B366 (1996) 18-25","10.1016/0370-2693(95)01324-5",,"hep-ph hep-lat",,"  A first attempt to understand hadron dynamics at low energies in terms of the
fundamental quark and gluon degrees of freedom incorporates the effects of the
gluonic field into a potential depending only on the spatial positions of the
quarks, which are considered in the infinite mass limit. A suitable framework
for calculating such potentials between static quarks, i.e.\ a generalization
of the Wilson loop will be discussed.
  Making a connection with recent Monte Carlo lattice simulations for the
lowest two energies of a system of two quarks and two antiquarks, the static
$qq\bar{q}\bar{q}$-potential will be calculated in perturbation theory to
fourth order. The result will be shown to be exactly equal to the prediction of
a straightforward two-body approach, which in Monte Carlo lattice simulations
has been found to be a reasonable approximation for very small interquark
distances.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 02:20:50 GMT""}]","2016-09-01"
"hep-ph/9508316","Mihir Worah","Mihir P. Worah (EFI and U Chicago)","Cosmological Baryon Asymmetry and Kaon CP Violation from a Common Source","26 pages, Latex. 6 figures submitted as uuencoded file, uses
  epsfig.sty","Phys.Rev. D53 (1996) 3902-3912","10.1103/PhysRevD.53.3902","EFI 95-43","hep-ph",,"  We extend an earlier model for radiatively generated fermion masses based on
the Pati-Salam group to include CP violation. Spontaneous CP violation in the
early universe gives rise to a complex mass matrix for heavy sterile neutrinos.
The out-of-equilibrium decay of these neutrinos generates a $B-L$ asymmetry.
The sterile neutrinos also act as a mass seed in generating one-loop (complex)
mass matrices for the quarks. Thus, the two low energy manifestations of CP
violation -- the CKM phase and the baryon number asymmetry -- can both be
traced in a calculable way to a common source.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 22:06:16 GMT""}]","2009-10-28"
"hep-ph/9508317","Genevieve Belanger","G. B\'elanger, F. Boudjema, D. London and H. Nadeau","Inverse Neutrinoless Double Beta Decay Revisited","paper in LATEX, 24 pages, 10 figures in separate uuencoded psfile.
  Complete psfile available via anonymous ftp at
  ftp://lapphp0.in2p3.fr/pub/preprints-theorie/doublebeta.uu or via www at
  http://lapphp0.in2p3.fr/preplapp/psth/doublebeta.ps.gz","Phys.Rev. D53 (1996) 6292-6301","10.1103/PhysRevD.53.6292","ENSLAPP-A-537/95, UdeM-GPP-TH-95-30, McGill/95-37","hep-ph",,"  We critically reexamine the prospects for the observation of the $\Delta L=2$
lepton-number-violating process $\eeWW$ using the $e^-e^-$ option of a
high-energy $e^+e^-$ collider (NLC). We find that, except in the most contrived
scenarios, constraints from neutrinoless double beta decay render the process
unobservable at an NLC of $\sqrt{s}<2$ TeV. Other $\Delta L=2$ processes such
as $\ggllww$, $\egnllw$, $\eennll$ ($\ell=\mu,\tau$), and $\egeww$, which use
various options of the NLC, require a $\sqrt{s}$ of at least 4 TeV for
observability.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 08:41:38 GMT""}]","2009-10-28"
"hep-ph/9508318","Leonid Razumov","Leonid V. Razumov and Hans Feldmeier, (Gesellshaft fuer Schwerionen
  Forschung, GSI)","Photon Intensity Interferometry for Expanding Sources","LaTeX209, 12 pages, 2 PostScript figures, requires 'epsfig.sty'. More
  information is available at http://www.gsi.de/groups/the/razumov.html",,"10.1016/0370-2693(96)00323-1","GSI-Preprint-95-46","hep-ph nucl-th",,"  Using Quantum Field Theory we derive a general formula for the double
inclusive spectra of photons radiated by a system in local equilibrium. The
derived expression differs significantly from the one mostly used up to now in
photon intensity interferometry of heavy--ion collisions. We present a
covariant expression for double inclusive spectra adapted for usage in
numerical simulations. Application to a schematic model with a Bj\o rken type
expansion gives strong evidence for the need of reinvestigating photon--photon
correlations for expanding sources.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 12:35:59 GMT""},{""version"":""v2"",""created"":""Thu, 5 Oct 1995 15:52:36 GMT""}]","2009-10-28"
"hep-ph/9508319","Ivanov D. Y.","D.Yu. Ivanov","Diffractive light vector meson production at large momentum transfers","14 pages (LateX), one LaTeX figure using feynman.tex","Phys.Rev. D53 (1996) 3564-3572","10.1103/PhysRevD.53.3564","Novosibirsk, Institute of Mathematics, TP--208","hep-ph",,"  The diffractive process $\gamma^*(Q^2) p\to V+X$ (where $V= \rho^0, \omega ,
\phi$ are the vector mesons, consisted of light quarks, $X$ represents the
hadrons to that a proton dissociates) is studied. We consider the region of
large momentum transfers, $|t|>>\Lambda^2_{QCD}$, and large energies, s. In the
leading log approximation of perturbative QCD ( using BFKL equation ) the
asymptotic behaviour of the cross section in the limit $s\to\infty , s>>|t|,
Q^2$ is obtained.
  We compare the results derived from BFKL equation with that obtained in the
lowest order of QCD (two--gluon exchange in the $t$- channel). The possibility
to investigate these reactions at HERA is discussed.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 10:42:24 GMT""},{""version"":""v2"",""created"":""Fri, 18 Aug 1995 06:07:18 GMT""}]","2016-09-01"
"hep-ph/9508325","Annelies Oosterhof-Meij","E.A. De Wolf, I.M. Dremin, W. Kittel","Scaling laws for density correlations and fluctuations in multiparticle
  dynamics","139 pages, LATEX, 67 figures (hard copies on request from
  annelies@hef.kun.nl )","Phys.Rept. 270 (1996) 1-141","10.1016/0370-1573(95)00069-0","HEN-362","hep-ph",,"  Experimental data are presented on particle correlations and fluctuations in
various high-energy multiparticle collisions, with special emphasis on evidence
for scaling-law evolution in small phase-space domains. The notions of
intermittency and fractality as related to the above findings are described.
Phenomenological and theoretical work on the subject is reviewed.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 09:35:30 GMT""},{""version"":""v2"",""created"":""Fri, 18 Aug 1995 16:46:25 GMT""},{""version"":""v3"",""created"":""Mon, 21 Aug 1995 11:08:23 GMT""}]","2009-10-28"
"hep-th/9508076","Valerie Nowak","Stephen L. Adler and Andrew C. Millard","Generalized Quantum Dynamics as Pre-Quantum Mechanics","79 pages, no figures, plain tex","Nucl.Phys. B473 (1996) 199-244","10.1016/0550-3213(96)00253-2","IASSNS-HEP 95/66","hep-th gr-qc hep-ph",,"  We address the issue of when generalized quantum dynamics, which is a
classical symplectic dynamics for noncommuting operator phase space variables
based on a graded total trace Hamiltonian ${\bf H}$, reduces to Heisenberg
picture complex quantum mechanics. We begin by showing that when ${\bf H}={\bf
Tr} H$, with $H$ a Weyl ordered operator Hamiltonian, then the generalized
quantum dynamics operator equations of motion agree with those obtained from
$H$ in the Heisenberg picture by using canonical commutation relations. The
remainder of the paper is devoted to a study of how an effective canonical
algebra can arise, without this condition simply being imposed by fiat on the
operator initial values. We first show that for any total trace Hamiltonian
which involves no noncommutative constants, there is a conserved
anti--self--adjoint operator $\tilde C$ with a structure which is closely
related to the canonical commutator algebra. We study the canonical
transformations of generalized quantum dynamics, and show that $\tilde C$ is a
canonical invariant, as is the operator phase space volume element. The latter
result is a generalization of Liouville's theorem, and permits the application
of statistical mechanical methods to determine the canonical ensemble governing
the equilibrium distribution of operator initial values. We give arguments
based on a Ward identity analogous to the equipartition theorem of classical
statistical mechanics, suggesting that statistical ensemble averages of Weyl
ordered polynomials in the operator phase space variables correspond to the
Wightman functions of a unitary complex quantum mechanics, with a conserved
operator Hamiltonian and with the standard canonical commutation relations
obeyed by Weyl ordered operator strings. Thus there is a well--defined sense in
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 19:22:02 GMT""},{""version"":""v2"",""created"":""Thu, 28 Sep 1995 14:07:35 GMT""},{""version"":""v3"",""created"":""Wed, 20 Dec 1995 19:58:53 GMT""}]","2009-10-28"
"hep-th/9508077","David Lamb","A.Z. Capri, M. Kobayashi, and D.J. Lamb","Two observers calculate the trace anomaly","RevTeX, 13 pages, some typos corrected and an appendix added, this is
  the version to appear in Class. and Quantum Gavity","Class.Quant.Grav. 13 (1996) 179-188","10.1088/0264-9381/13/2/006","Alberta Thy 17-95","hep-th gr-qc",,"  We adapt a calculation due to Massacand and Schmid to the coordinate
independent definition of time and vacuum given by Capri and Roy in order to
compute the trace anomaly for a massless scalar field in a curved spacetime in
1+1 dimensions. The computation which requires only a simple regulator and
normal ordering yields the well-known result $\frac{R}{24\pi}$ in a
straightforward manner.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 19:48:51 GMT""},{""version"":""v2"",""created"":""Thu, 25 Jan 1996 16:03:56 GMT""}]","2009-10-28"
"hep-th/9508078","Elias Kiritsis","Elias Kiritsis and Costas Kounnas (CERN)","Infrared behavior of Closed Superstrings in Strong Magnetic and
  Gravitational Fields","Minor corrections. Version to appear in Nucl. Phys. B","Nucl.Phys. B456 (1995) 699-731","10.1016/0550-3213(95)00540-2","CERN-TH/95-171, LPTENS-95/28","hep-th gr-qc",,"  A large class of four-dimensional supersymmetric ground states of closed
superstrings with a non-zero mass gap are constructed. For such ground states
we turn on chromo-magnetic fields as well as curvature. The exact spectrum as
function of the chromo-magnetic fields and curvature is derived. We examine the
behavior of the spectrum, and find that there is a maximal value for the
magnetic field $H_{\rm max}\sim M_{\rm planck}^2$. At this value all states
that couple to the magnetic field become infinitely massive and decouple. We
also find tachyonic instabilities for strong background fields of the order
${\cal O}(\mu M_{\rm planck})$ where $\mu$ is the mass gap of the theory.
Unlike the field theory case, we find that such ground states become stable
again for magnetic fields of the order ${\cal O}(M^2_{\rm planck})$. The
implications of these results are discussed.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 22:19:26 GMT""},{""version"":""v2"",""created"":""Fri, 18 Aug 1995 16:30:10 GMT""},{""version"":""v3"",""created"":""Tue, 10 Oct 1995 23:10:07 GMT""}]","2009-10-28"
"hep-th/9508080","Wai Ming Koo","C. Ahn, W.M.Koo","Boundary Yang-Baxter equation in the RSOS/SOS representation","30 pages, 5 figures, uses Latex with eepic.sty and epic.sty. Paper
  substantially expanded; section on SOS model is revised and a new section on
  the Bethe ansatz equation is added",,"10.1016/0550-3213(96)00160-5","SNUTP-95-080, EWHA-TH-006","hep-th cond-mat",,"  We construct and solve the boundary Yang-Baxter equation in the RSOS/SOS
representation. We find two classes of trigonometric solutions; diagonal and
non-diagonal. As a lattice model, these two classes of solutions correspond to
RSOS/SOS models with fixed and free boundary spins respectively. Applied to
(1+1)-dimenional quantum field theory, these solutions give the boundary
scattering amplitudes of the particles. For the diagonal solution, we propose
an algebraic Bethe ansatz method to diagonalize the SOS-type transfer matrix
with boundary and obtain the Bethe ansatz equations.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 06:59:17 GMT""},{""version"":""v2"",""created"":""Wed, 20 Mar 1996 07:44:11 GMT""}]","2009-10-28"
"hep-th/9508081","Andreas Bette","Andreas Bette","On Hamiltonian and Quantum Dynamics of Massless Particles","LateX, 21 pages",,,,"hep-th",,"  A short review of special relativistic dynamics describing a particle acted
upon by an arbitrary conservative external force is presented. If the mass of
the particle is zero and the force is central then the equations of motion turn
out to be completely integrable. A well-known result. Hamiltonian flows on the
twistor phase space T are constructed which, for conservative forces and value
of the helicity equal to zero, reproduce equations of motion of the classical
massless particle. For helicities different from zero the same hamiltonian
flows produce equations of motion showing a curious ""Zitterbewegung"" like
behaviour. A canonical Poincare covariant quantization procedure on T is
suggested. One simple example describing a spinning and massless 3-D quantum
mechanical harmonic oscillator is analysed in some detail.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 12:30:02 GMT""}]","2007-05-23"
"hep-th/9508082",,"J.S.Dowker","Spin on the 4-ball","8p,JyTex","Phys.Lett. B366 (1996) 89-94","10.1016/0370-2693(95)01376-8","MUTP/95/13","hep-th",,"  Using known mode properties, the functional determinant for massless
spin-half fields on the Euclidean 4-ball is calculated and shown to be
different for spectral (nonlocal) and mixed (local) boundary conditions. The
local result agrees with that from a conformal argument. Some higher-spin
results are also given.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 13:28:55 GMT""}]","2009-10-28"
"hep-th/9508083","Andreas Bette","Andreas Bette","Twistor Phase Space Dynamics and the Lorentz Force Equation","LaTeX file, 20 pages",,,,"hep-th",,"  Using Lorentz force equation as an input a Hamiltonian mechanics on the
non-projective two twistor phase space TxT is formulated. Such a construction
automatically reproduces dynamics of the intrinsic classical relativistic spin.
The charge appears as a dynamical variable. It is also shown that if the
classical relativistic spin function on TxT vanishes, the natural conformally
invariant symplectic structure on TxT reduces to the natural symplectic
structure on the cotangent bundle of the Kaluza-Klein space.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 14:11:00 GMT""}]","2007-05-23"
"hep-th/9508084",,"C.R. Fernandez-Pousa and J.L. Miramontes","The Hamiltonian Structure of Soliton Equations and Deformed W-Algebras","41 pages, plain TeX, no figures. New introduction and references
  added. Version to be published in Annals of Physics (N.Y.)","Annals Phys. 253 (1997) 83-120","10.1006/aphy.1997.5621","US-FT/23-95, SWAT/95/83","hep-th nlin.SI solv-int",,"  The Poisson bracket algebra corresponding to the second Hamiltonian structure
of a large class of generalized KdV and mKdV integrable hierarchies is
carefully analysed. These algebras are known to have conformal properties, and
their relation to $\cal W$-algebras has been previously investigated in some
particular cases. The class of equations that is considered includes
practically all the generalizations of the Drinfel'd-Sokolov hierarchies
constructed in the literature. In particular, it has been recently shown that
it includes matrix generalizations of the Gelfand-Dickey and the constrained KP
hierarchies. Therefore, our results provide a unified description of the
relation between the Hamiltonian structure of soliton equations and $\cal
W$-algebras, and it comprises almost all the results formerly obtained by other
authors. The main result of this paper is an explicit general equation showing
that the second Poisson bracket algebra is a deformation of the Dirac bracket
algebra corresponding to the $\cal W$-algebras obtained through Hamiltonian
reduction.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 10:49:28 GMT""},{""version"":""v2"",""created"":""Fri, 18 Aug 1995 06:48:49 GMT""},{""version"":""v3"",""created"":""Fri, 30 Aug 1996 12:47:55 GMT""}]","2009-10-28"
"nucl-th/9508026",,"R. Rapp, J.W. Durso and J. Wambach","Chirally Constraining the $\pi \pi$ Interaction in Nuclear Matter","20 pages RevTeX and 5 figures (uuencoded .ps-files)","Nucl.Phys. A596 (1996) 436-450","10.1016/0375-9474(95)00405-X","KFA-IKP(TH)-1995-16","nucl-th",,"  A general prescription for the construction of $\pi \pi$ interaction
potentials which preserve scattering length constraints from chiral symmetry
when iterated in scattering equations is derived. The prescription involves
only minor modifications of typical meson-exchange models, so that coupling
constants and cut-off masses in the models are not greatly affected.
Calculations of $s$-wave $\pi \pi$ scattering amplitudes in nuclear matter for
two models are compared with those for similar models which violate the chiral
constraint. While the prescription tends to suppress the accumulation of the
near sub-threshold strength of the $\pi \pi$ interaction, an earlier conjecture
that amplitudes which satisfy chiral constraints will not exhibit an
instability towards $\pi \pi~s-$wave pair condensation appears to be incorrect.
At the same time, however, conventional $\pi \pi$ interaction models which fit
scattering data well can readily be adjusted to avoid the instability in
nuclear matter without recourse to exotic mechanisms.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 20:28:45 GMT""},{""version"":""v2"",""created"":""Thu, 17 Aug 1995 11:41:15 GMT""}]","2009-10-28"
"nucl-th/9508027","Boris Blankleider","B. Blankleider, A.N. Kvinikhidze (Physics Department, Flinders
  University)","Few-Body Descriptions of the piNN System in Three and Four Dimensions","LaTeX, epsf, 8 pages + 6 figures (appended as uuencoded PS-files),
  invited talk at Symposium on Meson-Nucleon Physics..., Blaubeuren, Germany,
  July, '95. Shortened version with minor corrections",,,,"nucl-th",,"  We summarise the recent theoretical progress in few-body descriptions of the
piNN system. Previous descriptions, both three- and four-dimensional, are shown
to possess serious theoretical inconsistencies. We illustrate how
three-dimensional approaches suffer from renormalisation problems, and how
four-dimensional descriptions contain both overcounting and undercounting of
diagrams. We then show how such theoretical problems have been recently
overcome, leading to new practical few-body equations for the piNN system.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 12:46:55 GMT""},{""version"":""v2"",""created"":""Fri, 17 Nov 1995 02:43:39 GMT""}]","2008-02-03"
"nucl-th/9508028","Gabor Papp","H. Feldmeier, J. N\'emeth and G. Papp","Multifragmentation calculated with relativistic force","23 pages, latex, with 10 PS figures, available at
  http://www.gsi.de/~papp/","Heavy Ion Phys.3:71-92,1996","10.1007/BF03053634","GSI-95-47","nucl-th",,"  A saturating hamiltonian is presented in a relativistically covariant
formalism. The interaction is described by scalar and vector mesons, with
coupling strengths adjusted to the nuclear matter. No explicit density depe
ndence is assumed. The hamiltonian is applied in a QMD calculation to determine
the fragment distribution in O + Br collision at different energies (50 -- 200
MeV/u) to test the applicability of the model at low energies. The results are
compared with experiment and with previous non-relativistic calculations.
  PACS: 25.70Mn, 25.75.+r
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 08:44:28 GMT""}]","2022-02-23"
"q-alg/9508008",,"Tomasz Brzezinski","Quantum Fibre Bundles. An Introduction","TeX, 12 pages, Lectures read at the ""Workshop on Classical and
  Quantum Gauge Theory"", Banach Center, Warsaw, May 1995",,,,"q-alg math.QA",,"  An approach to construction of a quantum group gauge theory based on the
quantum group generalisation of fibre bundles is reviewed.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 11:06:44 GMT""}]","2008-02-03"
"quant-ph/9508011","Domenico Giulini","Domenico Giulini","Quantum Mechanics On Spaces With Finite Fundamental Group","40 Pages, Plain-TeX, no figures","Helv. Phys. Acta 68 (1995) 438",,"Freiburg THEP-95/16","quant-ph gr-qc",,"  We consider in general terms dynamical systems with finite-dimensional,
non-simply connected configuration-spaces. The fundamental group is assumed to
be finite. We analyze in full detail those ambiguities in the quantization
procedure that arise from the non-simply connectedness of the classical
configuration space. We define the quantum theory on the universal cover but
restrict the algebra of observables $\O$ to the commutant of the algebra
generated by deck-transformations. We apply standard superselection principles
and construct the corresponding sectors. We emphasize the relevance of all
sectors and not just the abelian ones.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 18:14:03 GMT""}]","2007-05-23"
"quant-ph/9508012","Tad Hogg","Tad Hogg (Xerox Palo Alto Research Center)","Quantum Computing and Phase Transitions in Combinatorial Search","29 pages, uuencoded tar compressed postscript in a self-unpacking
  shell script created using the uufiles script. For related information on
  phase transitions in search see
  ftp://parcftp.xerox.com/pub/dynamics/constraints.html","J. of Artificial Intelligence Research 4,91-128 (1996)",,,"quant-ph",,"  We introduce an algorithm for combinatorial search on quantum computers that
is capable of significantly concentrating amplitude into solutions for some NP
search problems, on average. This is done by exploiting the same aspects of
problem structure as used by classical backtrack methods to avoid unproductive
search choices. This quantum algorithm is much more likely to find solutions
than the simple direct use of quantum parallelism. Furthermore, empirical
evaluation on small problems shows this quantum algorithm displays the same
phase transition behavior, and at the same location, as seen in many previously
studied classical search methods. Specifically, difficult problem instances are
concentrated near the abrupt change from underconstrained to overconstrained
problems.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 21:11:43 GMT""}]","2007-05-23"
"quant-ph/9508013","Alain Joye","Alain Joye (Centre de Physique Th\'eorique, C.N.R.S. Marseille and
  Phymat, Universit\'e de Toulon et du Var)","Exponential Asymptotics in a Singular Limit for $n$-Level Scattering
  Systems","35 pages, Latex",,,"CPT-95/P.3216","quant-ph",,"  The singular limit $\eps\ra 0$ of the $S$-matrix associated with the equation
$i\eps d\psi(t)/dt=H(t)\psi(t)$ is considered, where the analytic generator
$H(t)\in M_n(\C)$ is such that its spectrum is real and non-degenerate for all
$t\in\R$. Sufficient conditions allowing to compute asymptotic formulas for the
exponentially small off-diagonal elements of the $S$-matrix as $\eps\ra 0$ are
explicited and a wide class of generators for which these conditions are
verified is defined. These generators are obtained by means of generators whose
spectrum exhibits eigenvalue crossings which are perturbed in such a way that
these crossings turn to avoided crossings. The exponentially small asymptotic
formulas which are derived are shown to be valid up to exponentially small
relative error, by means of a joint application of the complex WKB method
together with superasymptotic renormalization. The application of these results
to the study of quantum adiabatic transitions in the time dependent
Schr\""odinger equation and of the semiclassical scattering properties of the
multichannel stationary Schr\""odinger equation closes this paper. The results
presented here are a generalization to $n$-level systems, $n\geq 2$, of results
previously known for $2$-level systems only.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 20:36:03 GMT""}]","2007-05-23"
