"alg-geom/9508010","Dmitri Zaitser","Alan Huckleberry, Dmitri Zaitsev","Actions of groups of birationally extendible automorphisms","30 pages, AmS-TeX- Version 2.1 (amstex.tex)",,,,"alg-geom math.AG math.CV",,"  We study the actions of a Lie group $G$ by birationally extendible
automorphisms on a domain $D\subset C^n$. For a large class of such domains
defined by polynomial inequalities, all automorphisms are of this type. In the
cases 1) $G$ has finitely many components or 2) the degree of the automorphisms
is bounded, we prove that the action of $G$ is projectively linearizable, i.e.
there exist a linear representation of $G$ on some $ C^{N+1}$ and a holomorphic
$G$-equivariant embedding $i: D\to P^N$, which is a restriction of a rational
mapping. As a corollary we obtain as many rational invariant functions as the
dimension of generic orbits allows. A hard copy is available from
Dmitri.Zaitsev@rz.ruhr-uni-bochum.de
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 14:00:28 GMT""},{""version"":""v2"",""created"":""Wed, 30 Aug 1995 15:25:26 GMT""}]","2008-02-03"
"hep-th/9508100","Olaf Lechtenfeld","Olaf Lechtenfeld (Univ. of Hannover, Germany)","On the BRST Cohomology of N=2 Strings","Talk at ``Strings '95'', March 95; 2 pages",,,"ITP-UH-21/95","hep-th",,"  We analyze the BRST cohomology of the critical N=2 NSR string using chiral
bosonization. Picture-changing and spectral flow is made explicit in a
holomorphic field basis. The integration of fermionic and U(1) moduli is
performed and yields picture- and U(1) ghost number-changing insertions into
the string measure for n-point amplitudes at arbitrary genus and U(1) instanton
number.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 16:12:49 GMT""}]","2007-05-23"
"hep-th/9508101","Nami Fux Svaiter","A.P.C.Malbouisson, F.S.Nogueira and N.F.Svaiter (CBPF)","A non-perturbative approach to the Coleman- Weinberg mechanism in
  massless scalar QED",,"Mod.Phys.Lett. A11 (1996) 749-754","10.1142/S0217732396000758",,"hep-th",,"  We rederive non-perturbatively the Coleman-Weinberg expression for the
effective potential for massless scalar QED. Our result is not restricted to
small values of the coupling constants. This shows that the Coleman- Weinberg
result can be established beyond the range of validity of perturbation theory.
Also, we derive it in a manifestly renormalization group invariant way. It is
shown that with the derivation given no Landau ghost singularity arises. The
finite temperature case is discussed.
  Pacs number: 11.10.Ef,11.10.Gh.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 21:22:14 GMT""}]","2015-06-26"
"hep-th/9508102","Nami Fux Svaiter","A.P.C.Malbouisson and N.F.Svaiter (CBPF)","On the finite temperature $\lambda\varphi^{4}$ and Gross-Neveu models.
  Is there a first order phase transition in $(\lambda\varphi^{4})_{D=3}$?",,"Physica A233 (1996) 573-583","10.1016/S0378-4371(96)00222-1",,"hep-th",,"  We study the behavior of two diferent models at finite temperature in a
$D$-dimensional spacetime. The first one is the $\lambda\varphi^{4}$ model and
the second one is the Gross-Neveu model. Using the one-loop approximation we
show that in the $\lambda\varphi^{4}$ model the thermal mass increase with the
temperature while the thermal coupling constant decrese with the temperature.
Using this facts we establish that in the $(\lambda\varphi^{4})_{D=3}$ model
there is a temperature $\beta^{-1}_{\star}$ above which the system can develop
a first order phase transition, where the origin corresponds to a metastable
vacuum. In the massless Gross-Neveu model, we demonstrate that for $D=3$ the
thermal correction to the coupling constant is zero. For $D\neq 3$ our results
are inconclusive.
  Pacs numbers: 11.10.Ef, 11.10.Gh
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 21:36:20 GMT""}]","2015-06-26"
"hep-th/9508103",,"S. G. Rajeev and O. T. Turgut (University of Rochester, Rochester, NY)","Poisson Algebra of Wilson Loops and Derivations of Free Algebras","20 pages, no special macros necessary","J.Math.Phys. 37 (1996) 637-649","10.1063/1.531433",,"hep-th",,"  We describe a finite analogue of the Poisson algebra of Wilson loops in
Yang-Mills theory. It is shown that this algebra arises in an apparently
completely different context; as a Lie algebra of vector fields on a
non-commutative space. This suggests that non-commutative geometry plays a
fundamental role in the manifestly gauge invariant formulation of Yang-Mills
theory. We also construct the deformation of the loop algebra induced by
quantization, in the large N_c limit.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 04:31:26 GMT""}]","2009-10-28"
"hep-th/9508104","Guido","Andrei A. Bytsenko, Guido Cognola and Sergio Zerbini","Finite Temperature Effects for Massive Fields in D-dimensional
  Rindler-like Spaces","20 pages, LaTex, some references and a missing term in Eq.(6.2) added","Nucl.Phys.B458:267-290,1996","10.1016/0550-3213(95)00585-4","University of Trento, UTF 357","hep-th gr-qc",,"  The first quantum corrections to the free energy for massive fields in
$D$-dimensional space-times of the form $\R\times\R^+\times\M^{N-1}$, where
$D=N+1$ and $\M^{N-1}$ is a constant curvature manifold, is investigated by
means of the $\zeta$-function regularization. It is suggested that the nature
of the divergences, which are present in the thermodynamical quantities, might
be better understood making use of the conformal related optical metric and
associated techniques. The general form of the horizon divercences of the free
energy is obtained as a function of free energy densities of fields having
negative square masses (absence of the gap in the Laplace operator spectrum) on
ultrastatic manifolds with hyperbolic spatial section $H^{N-2n}$ and of the
Seeley-DeWitt coefficients of the Laplace operator on the manifold $\M^{N-1}$.
Furthermore, recurrence relations are found relating higher and lower
dimensions. The cases of Rindler space, where $\M^{N-1}=\R^{N-1}$ and very
massive $D$-dimensional black holes, where $\M^{N-1}=S^{N-1}$ are treated as
examples. The renormalization of the internal energy is also discussed.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 10:21:15 GMT""},{""version"":""v2"",""created"":""Tue, 29 Aug 1995 15:30:38 GMT""},{""version"":""v3"",""created"":""Wed, 30 Aug 1995 07:41:41 GMT""}]","2010-11-22"
"hep-th/9508105","Matthias R. Gaberdiel","M.R. Gaberdiel","WZW models of general simple groups","23 pages, LATEX; a few conceptual matters are clarified and some
  references are added; final version, to appear in Nucl. Phys. B","Nucl.Phys. B460 (1996) 181-202","10.1016/0550-3213(95)00587-0","DAMTP-95-46","hep-th",,"  It is shown that a WZW model corresponding to a general simple group
possesses in general different quantisations which are parametrised by
$Hom(\pi_1(G),Hom(\pi_1(G),U(1)))$. The quantum theories are generically
neither monodromy nor modular invariant, but all the modular invariant theories
of Felder et.al. are contained among them.
  A formula for the transformation of the Sugawara expression for $L_0$ under
conjugation with respect to non-contractible loops in $LG$ is derived. This
formula is then used to analyse the monodromy properties of the various
quantisations. It turns out that for $\pi_1(G)\cong \Zop_N$, with $N$ even,
there are $2$ monodromy invariant theories, one of which is modular invariant,
and for $\pi_1(G)\cong \Zop_2\times\Zop_2$ there are $8$ monodromy invariant
theories, two of which are modular invariant. A few specific examples are
worked out in detail to illustrate the results.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 09:44:47 GMT""},{""version"":""v2"",""created"":""Thu, 2 Nov 1995 19:29:45 GMT""}]","2016-09-06"
"hep-th/9508107","Plesser Ronen","David R. Morrison and M. Ronen Plesser","Towards Mirror Symmetry as Duality for Two-Dimensional Abelian Gauge
  Theories","14 pages, latex, no figures","Nucl.Phys.Proc.Suppl.46:177-186,1996","10.1016/0920-5632(96)00020-5","CLNS-95/1356, IASSNS-HEP-95/64","hep-th",,"  Superconformal sigma models with Calabi--Yau target spaces described as
complete intersection subvarieties in toric varieties can be obtained as the
low-energy limit of certain abelian gauge theories in two dimensions. We
formulate mirror symmetry for this class of Calabi--Yau spaces as a duality in
the abelian gauge theory, giving the explicit mapping relating the two
Lagrangians. The duality relates inequivalent theories which lead to isomorphic
theories in the low-energy limit. This formulation suggests that mirror
symmetry could be derived using abelian duality. The application of duality in
this context is complicated by the presence of nontrivial dynamics and the
absence of a global symmetry. We propose a way to overcome these obstacles,
leading to a more symmetric Lagrangian. The argument, however, fails to produce
a derivation of the conjecture.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 12:39:01 GMT""}]","2011-10-11"
"hep-th/9508108","Jorge Gamboa Rios","J. Gamboa","On the Initial Singularity Problem in Two Dimensional Quantum Cosmology","9pp, Revtex 3.0. New references added. To appear in Phys. Rev. D","Phys.Rev. D53 (1996) 6991-6994","10.1103/PhysRevD.53.6991","USACH 95/10/01","hep-th gr-qc",,"  The problem of how to put interactions in two-dimensional quantum gravity in
the strong coupling regime is studied. It shows that the most general
interaction consistent with this symmetry is a Liouville term that contain two
parameters $(\alpha, \beta)$ satisfying the algebraic relation $2\beta - \alpha
=2$ in order to assure the closure of the diffeomorphism algebra. The model is
classically soluble and it contains as general solution the temporal
singularity. The theory is quantized and we show that the propagation amplitude
fall tozero in $\tau =0$. This result shows that the classical singularities
are smoothed by quantum effects and the bing-bang concept could be considered
as a classical extrapolation instead of a physical concept.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 13:48:52 GMT""},{""version"":""v2"",""created"":""Thu, 29 Feb 1996 19:36:17 GMT""}]","2009-10-28"
"hep-th/9508109","Anna Koubek","Anni Koubek","Local Operators in Massive Quantum Field Theories","6 pages, latex",,"10.1007/BFb0102567","DAMTP-95/26","hep-th",,"  Contribution to the proceedings of Schladming 1995. A review of the form
factor approach and its utilisation to determine the space of local operators
of integrable massive quantum theories is given. A few applications are
discussed.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 14:36:45 GMT""}]","2015-06-26"
"nucl-th/9508033","Iosif B. Khriplovich","I.B. Khriplovich, A.I. Milstein, S.S. Petrosyan","Nuclear Structure Corrections to Deuterium Hyperfine Structure and Lamb
  Shift","14 pages, latex, no figures",,"10.1016/0370-2693(95)01354-7","BINP 95-69","nucl-th",,"  The low-energy theorem for the forward Compton scattering is generalized to
the case of an arbitrary target spin. The generalization is used to calculate
the corresponding contribution to the deuterium hyperfine structure. The
nuclear-structure corrections are quite essential in this case due to the
deuteron large size. Corrections of this type calculated here remove the
discrepancy between the theoretical and experimental values of the deuterium
hyperfine splitting. Explicit analytical result is obtained also for the
deuteron polarizability contribution to the Lamb shift.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 10:39:27 GMT""}]","2009-10-28"
"nucl-th/9508034","Sabine Jeschonnek","A.Bianconi, S.Jeschonnek, N.N.Nikolaev, and B.G.Zakharov","Universal pattern in (e,e'p) at large missing momenta: quasi-deuteron or
  diffractive final state interactions?","10 pages, Latex, 3 uuencoded figures","Phys.Lett. B363 (1995) 217-222","10.1016/0370-2693(95)01218-4","KFA-IKP(Th)-1995-14","nucl-th",,"  The intrinsic single particle momentum distributions in nuclei are supposed
to show a universal behavior at large momenta, dominated by short-range
correlated pairs, or quasi-deuterons. We discuss whether the quasi-deuteron
universality survives the final state interaction effects, which are present in
the missing momentum spectra measured in $A(e,e'p)$ experiments at GeV
energies. We demonstrate that in the observed missing momentum spectra an
approximate universality is present, but originating from the universal pattern
of diffractive final state interactions of the struck proton independent of the
target nucleus.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 12:21:25 GMT""}]","2009-10-28"
"nucl-th/9508035","Susan Gardner","S. Gardner, C.J. Horowitz, and J. Piekarewicz","Isospin-Violating Meson-Nucleon Vertices as an Alternate Mechanism of
  Charge-Symmetry Breaking","20 pages, revtex, 3 uuencoded PostScript figures","Phys.Rev.C53:1143-1153,1996","10.1103/PhysRevC.53.1143","FSU-SCRI-95-81, IU/NTC 95-10, UK/95-08","nucl-th hep-ph",,"  We compute isospin-violating meson-nucleon coupling constants and their
consequent charge-symmetry-breaking nucleon-nucleon potentials. The couplings
result from evaluating matrix elements of quark currents between nucleon states
in a nonrelativistic constituent quark model; the isospin violations arise from
the difference in the up and down constituent quark masses. We find, in
particular, that isospin violation in the omega-meson--nucleon vertex dominates
the class IV CSB potential obtained from these considerations. We evaluate the
resulting spin-singlet--triplet mixing angles, the quantities germane to the
difference of neutron and proton analyzing powers measured in elastic
$\vec{n}-\vec{p}$ scattering, and find them commensurate to those computed
originally using the on-shell value of the $\rho$-$\omega$ mixing amplitude.
The use of the on-shell $\rho$-$\omega$ mixing amplitude at $q^2=0$ has been
called into question; rather, the amplitude is zero in a wide class of models.
Our model possesses no contribution from $\rho$-$\omega$ mixing at $q^2=0$, and
we find that omega-meson exchange suffices to explain the measured $n-p$
analyzing power difference~at~183 MeV.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 15:07:22 GMT""}]","2008-11-26"
"patt-sol/9508001","Teiji Kunihiro","Teiji Kunihiro","A Geometrical Formulation of the Renormalization Group Method for Global
  Analysis II: Partial Differential Equations","19 pages, LATEX. No figures",,,"RYUTHP 95-4","patt-sol chao-dyn cond-mat funct-an math.FA nlin.CD nlin.PS",,"  It is shown that the renormalization group (RG) method for global analysis
can be formulated in the context of the classical theory of envelopes: Several
examples from partial differential equations are analyzed. The amplitude
equations which are usually derived by the reductive perturbation theory are
shown to be naturally derived as the equations describing the envelopes of the
local solutions obtained in the perturbation theory.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 04:29:40 GMT""},{""version"":""v2"",""created"":""Thu, 24 Aug 1995 09:53:27 GMT""}]","2008-02-03"
"q-alg/9508010","Mohssen Alishahiha","M. Alishahiha","Generalization of the $h$-Deformation to Higher Dimensions","LaTeX file, 9 pages.",,"10.1088/0305-4470/28/21/021","IPM-95-100","q-alg math.QA",,"  In this article we construct $GL_{h}(3)$ from $GL_{q}(3)$ by a singular map.
We show that there exist two singular maps which map $GL_{q}(3)$ to new quantum
groups. We also construct their $R$-matrices and will show although the maps
are singular but their $R$-matrices are not. Then we generalize these singular
maps to the case $GL(N)$ and for $C_{n}$ series.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 21:25:27 GMT""}]","2009-10-28"
"q-alg/9508011","Hidetoshi Awata","H. Awata, H. Kubo, S. Odake and J. Shiraishi","Quantum $W_N$ Algebras and Macdonald Polynomials","LaTeX file, 17-pages, no-figures, a reference added","Commun. Math. Phys. 179 (1996) 401","10.1007/BF02102595","YITP/U-95-34, DPSU-95-9, UT-718","q-alg hep-th math.QA",,"  We derive a quantum deformation of the $W_N$ algebra and its quantum Miura
transformation, whose singular vectors realize the Macdonald polynomials.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 16:07:03 GMT""},{""version"":""v2"",""created"":""Thu, 31 Aug 1995 17:04:45 GMT""},{""version"":""v3"",""created"":""Mon, 4 Sep 1995 16:30:04 GMT""},{""version"":""v4"",""created"":""Sat, 23 Sep 1995 13:39:11 GMT""}]","2009-10-28"
"quant-ph/9508015",,"Alan Kostelecky","Atomic Supersymmetry, Oscillators, and the Penning Trap","published festschrift; publication information on cover page macro
  added",,,"IUHET 227","quant-ph",,"  This paper begins with some background information and a summary of results
in atomic supersymmetry. The connection between the supersymmetric Coulomb and
oscillator problems in arbitrary dimensions is outlined. Next, I treat the
issue of finding a description of supersymmetry-based quantum-defect theory in
terms of oscillators. A model with an anharmonic term that yields analytical
eigenfunctions is introduced to solve this problem in arbitrary dimensions.
Finally, I show that geonium atoms (particles contained in a Penning trap)
offer a realization of a multidimensional harmonic oscillator in an idealized
limit. The anharmonic theory presented here provides a means of modeling the
realistic case.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 17:01:59 GMT""},{""version"":""v2"",""created"":""Tue, 22 Aug 1995 05:50:26 GMT""}]","2008-02-03"
"quant-ph/9508016",,"J. Finkelstein (LBL and SJSU)","Can Future Events Influence the Present?","3 pages, LaTeX, no figures",,,"SJSU/TP-95-13","quant-ph hep-th",,"  Widom, Srivastava, and Sassaroli have published [Phys. Lett. A 203, 255
(1995)] a calculation which purports to show that ""future events can affect
present events"". In this note an error in their calculation is identified.
","[{""version"":""v1"",""created"":""Mon, 21 Aug 1995 22:39:22 GMT""}]","2007-05-23"
"supr-con/9508003","Asai Yoshihiro","Yoshihiro Asai (ETL, Tsukuba, Japan)","Superconducting, magnetic, and charge correlations in the doped
  two-chain Hubbard model","RevTeX 3.0, 11 pages, 5 figs via FAX, Phys.Rev.B to appear",,"10.1103/PhysRevB.52.10390","YA#HUB003Y95M01","supr-con cond-mat.supr-con",,"  Superconducting, magnetic, and charge correlation functions and dynamic spin
correlation functions of the doped two-chain Hubbard model is studied with the
projector Quantum Monte carlo method and Lanczos recursion method. Of the three
correlation functions, the interchain singlet superconducting correlation
function is the most long range. Our data is not consistent with the
Luther-Emery picture.
","[{""version"":""v1"",""created"":""Tue, 22 Aug 1995 07:15:09 GMT""}]","2009-10-28"
