"adap-org/9501005","Tsuyoshi Mizuguchi","Tsuyoshi Mizuguchi and Masaki Sano (Research Institute of Electrical
  Communication Tohoku University, Sendai 980-77, Japan)","Proportion Regulation in Globally Coupled Nonlinear Systems","11 pages (revtex format) and 5 figures (PostScript).",,"10.1103/PhysRevLett.75.966",,"adap-org nlin.AO",,"  As a model of proportion regulation in differentiation process of biological
system, globally coupled activator-inhibitor systems are studied. Formation and
destabilization of one and two cluster state are predicted analytically.
Numerical simulations show that the proportion of units of clusters is chosen
within a finite range and it is selected depend on the initial condition.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 10:59:00 GMT""}]","2015-06-30"
"hep-ph/9501417",,"F. Sannino and J. Schechter","Exploring $\pp$ scattering in the $\1N$ picture","27 LaTex pages + 13 figures (also available in hard-copy)","Phys.Rev. D52 (1995) 96-107","10.1103/PhysRevD.52.96","SU-4240-601","hep-ph",,"  In the large $N_c$ approximation to $QCD$, the leading $\pp$ scattering
amplitude is expressed as the sum of an infinite number of tree diagrams. We
investigate the possibility that an adequate approximation at energies up to
somewhat more than one $GeV$ can be made by keeping diagrams which involve the
exchange of resonances in this energy range in addition to the simplest chiral
contact terms. In this approach crossing symmetry is automatic but individual
terms tend to drastically violate partial wave unitarity. We first note that
the introduction of the $\rho$ meson in a chirally invariant manner
substantially delays the onset of drastic unitarity violation which would be
present for the {\it current algebra} term alone. This suggests a possibility
of local (in energy) cancellation which we then explore in a phenomenological
way. We include exchanges of leading resonances up to the $1.3 GeV$ region.
However, unitarity requires more structure which we model by a four derivative
contact term or by a low lying scalar resonance which is presumably subleading
in the $\1N$ expansion, but may nevertheless be important. The latter two
flavor model gives a reasonable description of the phase shift $\delta^0_0$ up
until around $860 MeV$, before the effects associated which the $K\bar{K}$
threshold come into play.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 01:57:43 GMT""}]","2009-10-28"
"hep-ph/9501418",,"Ikaros I. Bigi","A QCD TREATMENT OF THE WEAK DECAYS OF HEAVY FLAVOUR HADRONS -- WITHOUT
  VOODOO AND UNDUE INCANTATIONS","19 pages, LATEX, no figures",,,"UND-HEP-95-BIG01","hep-ph",,"  There now exist several theoretical technologies for treating weak decays of
heavy flavour hadrons that are genuinely based on QCD without having to invoke
a deus ex machina. I focus on one of those, which employs an expansion in
inverse powers of the heavy quark mass. It has developed into a rather mature
framework incorporating many subtle aspects of quantum field theory. I describe
its methodology for treating fully integrated decay rates as well as
differential distributions, in particular energy spectra; the importance of a
new type of sum rules, the SV sum rules, is emphasized. First practical
benefits from this theoretical technology are listed, like predictions on
lifetime ratios and extracting the KM parameter $|V(cb)|$ from inclusive and
from exclusive semileptonic $B$ decays. An outlook is given onto future
developments concerning the determination of the properly defined mass of the
heavy quark and its kinetic energy and a reliable extraction of
$|V(ub)/V(cb)|$. A few comments on charm decays are added.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 03:26:34 GMT""}]","2016-09-01"
"hep-ph/9502201","Ralf Hempfling","Ralf Hempfling","Coupling Constant Unification in Extended SUSY Models","12 pages, LATEX","Phys.Lett. B351 (1995) 206-212","10.1016/0370-2693(95)00378-X","MPI-PhT/95-9","hep-ph",,"  The unification of gauge coupling constants in the minimal supersymmetric
model (MSSM) is unaffected at the one-loop level by the inclusion of additional
mass-degenerate SU(5) multiplets. Perturbativity puts an upper limit on the
number of additional fields. We analyse the evolution of the gauge coupling
constants in all models satisfying these criteria using two-loop $\beta$
functions and including low energy threshold effects. We find that similarly to
the minimal supersymmetric model (MSSM) unification takes place within the
theoretical and experimental errors. The dominant proton decay mode is more
suppressed in all extended models as opposed to the MSSM due to renormalization
group effects. However, the prediction for the bottom to $\tau$ mass ratio
becomes worse in all models under consideration.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 10:21:56 GMT""}]","2016-09-01"
"hep-ph/9502202","Lyubovitskij Valery","M.A.Ivanov and V.E.Lyubovitskij","Isgur-Wise Function and Observables of $\Lambda_b$ Baryon","9 pages, LaTeX (3 figures avaible under request)",,,"Preprint JINR P2-94-325, 1994","hep-ph",,"  In connection with planned experiments devoted to investigation of
semileptonic decays of beauty baryons Isgur-Wise function and observables of
$\Lambda_b$ baryon (decay rates and distributions, leptonic spectra and
asymmetry parameters) are calculated in the framework of diquark model with
taking into account of infrared regime for heavy quark.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 13:25:17 GMT""}]","2016-09-01"
"hep-ph/9502203","Gudrun Eickmeyer","D. Schildknecht","Implications of Electroweak Precision Tests","8 pages, uuencoded ps-file",,,"BI-TP 95/03","hep-ph",,"  Invited Talk presented at the First Arctic Workshop on Particle Physics,
Saariselkae, August 1994 and at the Workshop on Elementary Particles and
Quantum Field Theory, Moscow, September 1994
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 09:32:02 GMT""}]","2016-09-01"
"hep-ph/9502204","Philip Page","Philip R. Page (University of Oxford)","Excited Charmonium Decays by Flux-Tube Breaking and the $\psi^{'}$
  Anomaly at CDF","18 pages, LaTeX, 5 tables, 3 postscript figures, with minor
  alterations and improved cross-referencing","Nucl.Phys. B446 (1995) 189-210","10.1016/0550-3213(95)00171-N","OUTP-94-34P","hep-ph",,"  The hadronic decay of radially and orbitally excited charmonium above charm
threshold by $^3 P_{0}$ pair creation and chromoelectric flux--tube breaking is
discussed in an harmonic oscillator approximation. We find independent evidence
from a study of widths for a 2S admixture in the predominantly 1D state
$\psi(3770)$, and explore the possibility of metastable radially excited $2 \;
^{3}P_{0,1,2}$ states being a source of the anomalously large production of
$\psi^{'}$ at the Tevatron. At least one of them is expected to be narrow as a
consequence of the existence of nodes in the radial wave function.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 10:59:41 GMT""},{""version"":""v2"",""created"":""Thu, 2 Mar 1995 15:09:59 GMT""}]","2016-09-01"
"hep-ph/9502205",,"A. Pietil\""a and J. Maalampi","WW$\gamma$ and WWZ Production in $e^-e^-$ Collisions in the Left-Right
  Model","27 pages, latex, 9 figures available on request","Phys.Rev. D52 (1995) 1386-1397","10.1103/PhysRevD.52.1386","HU-TFT-95-7","hep-ph",,"  We have investigated the three vector boson production in electron-electron
collisions in the framework of the left-right symmetric electroweak model. The
process occurs due to lepton number violating interactions mediated by Majorana
neutrinos and triplet Higgs scalars. We find that only the reactions with a
heavy gauge boson pair in the final state, $e^-e^-\to W^{-}_2 W^{-}_2\gamma$
and $e^-e^- \to W^{-}_2 W^{-}_2Z^0_1$, are phenomenologically interesting from
the point of view of the Next Linear Collider. If the mass of $W_2^-$ is 0.5
TeV and the mass of the heavy Majorana neutrino of the order of 1 TeV, the
cross section of both reactions is in the range 1 to 10 fb at $\sqrt{s}= 2$
TeV, depending on the mass of the doubly charged triplet Higgs $\delta^{--}$,
yielding a 1 % background for the pair production of $W_2^-$. At the
$\delta^{--}$ resonance the cross section can be as large as 1 pb.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 12:08:02 GMT""}]","2009-10-28"
"hep-ph/9502206","Ellwanger","U. Ellwanger, M. Rausch de Traubenberg, C. A. Savoy","HIGGS PHENOMENOLOGY OF THE SUPERSYMMETRIC MODEL WITH A GAUGE SINGLET","12 pages (Plain Tex), 7 figs","Z.Phys. C67 (1995) 665-670","10.1007/BF01553993","LPTHE Orsay 95-04, LPT Strasbourg 95-01, SPhT Saclay T95/04","hep-ph",,"  We discuss the Higgs sector of the supersymmetric standard model extended by
a gauge singlet for the range of parameters, which is compatible with universal
soft supersymmetry breaking terms at the GUT scale. We present results for the
masses, couplings and decay properties of the lightest Higgs bosons, in
particular with regard to Higgs boson searches at LEP. The prospects differ
significantly from the ones within the MSSM.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 14:20:22 GMT""}]","2009-10-28"
"hep-ph/9502207","Martin Gremm","M. Gremm, G. Koepp, L.M. Sehgal","Tau Polarization in $ \Lambda_b \to X_c \tau \bar{\nu}$ and $B \to X_c
  \tau \bar{\nu}$","LATEX, 20 pages, 5 Postscript figures","Phys.Rev. D52 (1995) 1588-1596","10.1103/PhysRevD.52.1588",,"hep-ph",,"  We discuss the longitudinal and transverse $\tau$-polarization in inclusive
decays of hadrons containing $b$-quarks. The calculation is performed by means
of an OPE in HQET. Some mathematical difficulties in calculating transverse
polarizations are explained. Numerical results are presented for longitudinal
and for transverse polarizations, both in and perpendicular to the decay plane.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 13:42:00 GMT""}]","2016-09-01"
"hep-ph/9502208","Wolfgang Schweiger","W. Schweiger","Exclusive Photon-Induced Hadronic Reactions at Large Momentum Transfers","11 pages, 5 figures available as tared, compressed and uuencoded
  PS-files",,,"UNIGRAZ-UTP 25-01-95","hep-ph",,"  It is generally assumed that due to factorization of long- and short-distance
dynamics perturbative QCD can be applied to exclusive hadronic reactions at
large momentum transfers. Within such a perturbative approach diquarks turn out
to be a useful phenomenological device to model non-perturbative effects still
observable in the kinematic range accessible by present-days experiments. The
basic ingredients of the perturbative formalism with diquarks, i.e. Feynman
rules for diquarks and quark-diquark wave functions of baryons, are briefly
summarized. Applications of the diquark model to the electromagnetic form
factors of the proton in the space- as well as time-like region,
Compton-scattering off protons, gamma-gamma -> p-pbar, and photoproduction of
Kaons are discussed.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 14:28:01 GMT""}]","2016-09-01"
"hep-ph/9502209",,"T.S.Evans and A.C.Pearson (Imperial College, London)","Thermalisation of Gauge Bosons in the Abelian Higgs Model","13 pages, latex, 3 eps figures available through anonymous ftp from
  ftp://euclid.tp.ph.ic.ac.uk/papers/94-5_16.tex or at
  http://euclid.tp.ph.ic.ac.uk/Papers/index.html","Phys.Rev.D55:3748-3755,1997","10.1103/PhysRevD.55.3748","Imperial/TP/94-95/16","hep-ph",,"  The thermalisation rate for long wavelength fluctuations of the gauge field
in the abelian Higgs model is calculated from the imaginary part of the self
energy. The calculation is performed for both the symmetric and symmetry broken
phase of the theory.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 15:57:48 GMT""}]","2010-11-01"
"hep-th/9501140","Sergei Ketov","S. James Gates Jr. (Dept. Physics, U. of Maryland), and Sergei V.
  Ketov (ITP, U. of Hannover)","No N=4 Strings on Wolf Spaces","31 pages, LaTeX, special macros are included","Phys.Rev. D52 (1995) 2278-2293","10.1103/PhysRevD.52.2278","ITP-UH-01/95 and UMDEPP-95-90","hep-th",,"  We generalize the standard $N=2$ supersymmetric Kazama-Suzuki coset
construction to the $N=4$ case by requiring the {\it non-linear}
(Goddard-Schwimmer) $N=4~$ quasi-superconformal algebra to be realized on
cosets. The constraints that we find allow very simple geometrical
interpretation and have the Wolf spaces as their natural solutions. Our results
obtained by using components-level superconformal field theory methods are
fully consistent with standard results about $N=4$ supersymmetric
two-dimensional non-linear sigma-models and $N=4$ WZNW models on Wolf spaces.
We construct the actions for the latter and express the quaternionic structure,
appearing in the $N=4$ coset solution, in terms of the symplectic structure
associated with the underlying Freudenthal triple system. Next, we gauge the
$N=4~$ QSCA and build a quantum BRST charge for the $N=4$ string propagating on
a Wolf space. Surprisingly, the BRST charge nilpotency conditions rule out the
non-trivial Wolf spaces as consistent string backgrounds.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 19:22:52 GMT""}]","2016-09-06"
"hep-th/9501141","Rupak Chatterjee","Rupak Chatterjee","Dynamical Symmetries and Nambu Mechanics","9 pages, Latex, Section four on the SO(4)-Kepler problem has been
  expanded","Lett. Math. Phys. 36 (1996) 117","10.1007/BF00714375","hep-th/9501141","hep-th",,"  It is shown that several Hamiltonian systems possessing dynamical or hidden
symmetries can be realized within the framework of Nambu's generalized
mechanics. Among such systems are the SU(n)-isotropic harmonic oscillator and
the SO(4)-Kepler problem. As required by the formulation of Nambu dynamics, the
integrals of motion for these systems necessarily become the so-called
generalized Hamiltonians. Furthermore, in most of these problems, the
definition of these generalized Hamiltonians is not unique.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 19:16:40 GMT""},{""version"":""v2"",""created"":""Fri, 10 Feb 1995 16:49:46 GMT""}]","2016-09-06"
"hep-th/9501142",,"Bruno IOCHUM, Thomas SCH\""UCKER","YANG-MILLS-HIGGS versus CONNES-LOTT","30 pages, LaTeX","Commun.Math.Phys. 178 (1996) 1-26","10.1007/BF02104906","CPT-94/P.3090","hep-th",,"  By a suitable choice of variables we show that every Connes-Lott model is a
Yang-Mills-Higgs model. The contrary is far from being true. Necessary
conditions are given. Our analysis is pedestrian and illustrated by examples.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 21:43:16 GMT""}]","2016-09-06"
"hep-th/9501143",,"S.A.Frolov","Gauge-invariant Hamiltonian formulation of lattice Yang-Mills theory and
  the Heisenberg double","11 pages, latex, no figures","Mod.Phys.Lett. A10 (1995) 2619-2632","10.1142/S0217732395002751","LMU-TPW 95-1","hep-th",,"  It it known that to get the usual Hamiltonian formulation of lattice
Yang-Mills theory in the temporal gauge $A_{0}=0$ one should place on every
link the cotangent bundle of a Lie group. The cotangent bundle may be
considered as a limiting case of a so called Heisenberg double of a Lie group
which is one of the basic objects in the theory of Lie-Poisson and quantum
groups. It is shown in the paper that there is a generalization of the usual
Hamiltonian formulation to the case of the Heisenberg double.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 18:09:49 GMT""}]","2015-06-26"
"hep-th/9501144","Kenneth S. Clubok","M.B. Halpern, E. Kiritsis, N. Obers and K. Clubok","Irrational Conformal Field Theory","195 pages, Latex, 12 figures, to appear in Physics Reports. Typos
  corrected in Sections 13 and 14, and a footnote added in Section 14","Phys.Rept.265:1-138,1996","10.1016/0370-1573(95)00017-8","UCB-PTH-95/02, LBL-36686, CERN-TH.95/2, CPTH-A342.0195","hep-th",,"  This is a review of irrational conformal field theory, which includes
rational conformal field theory as a small subspace. Central topics of the
review include the Virasoro master equation, its solutions and the dynamics of
irrational conformal field theory. Discussion of the dynamics includes the
generalized Knizhnik-Zamolodchikov equations on the sphere, the corresponding
heat-like systems on the torus and the generic world- sheet action of
irrational conformal field theory.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 01:27:01 GMT""},{""version"":""v2"",""created"":""Tue, 7 Feb 1995 09:07:29 GMT""}]","2010-11-01"
"hep-th/9501145","Funahashi Kunio","Kunio Funahashi, Taro Kashiwa, Seiji Sakoda and Kazuyuki Fujii","EXACTNESS IN THE WKB APPROXIMATION FOR SOME HOMOGENEOUS SPACES","27pages, latex, no figures","J.Math.Phys.36:4590-4611,1995","10.1063/1.530910","KYUSHU-HET-21","hep-th quant-ph",,"  Analysis of the WKB exactness in some homogeneous spaces is attempted. $CP^N$
as well as its noncompact counterpart $D_{N,1}$ is studied. $U(N+1)$ or U(N,1)
based on the Schwinger bosons leads us to $CP^N$ or $D_{N,1}$ path integral
expression for the quantity, ${\rm tr} e^{-iHT}$, with the aid of coherent
states. The WKB approximation terminates in the leading order and yields the
exact result provided that the Hamiltonian is given by a bilinear form of the
creation and the annihilation operators. An argument on the WKB exactness to
more general cases is also made.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 01:34:40 GMT""}]","2010-11-01"
"hep-th/9502001","Harvinder Singh","Jnanadeva Maharana","HIDDEN SYMMETRIES OF TWO DIMENSIONAL STRING EFFECTIVE ACTION","11 pages, Latex file, no figures","Phys.Rev.Lett. 75 (1995) 205-208","10.1103/PhysRevLett.75.205","IP/BBSR/95-9","hep-th",,"  The ten dimensional heterotic string effective action with graviton, dilaton
and antisymmetric tensor fields is dimensionally reduced to two spacetime
dimensions. The resulting theory, with some constraints on backgrounds, admits
infinite sequence of conserved nonlocal currents. It is shown that generators
of the infinitesimal transformations associated with these currents satisfy
Kac-Moody algebra.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 19:30:43 GMT""}]","2016-09-06"
"hep-th/9502002","Harvinder Singh","Jnanadeva Maharana","SYMMETRIES OF THE DIMENSIONALLY REDUCED STRING EFFECTIVE ACTION","15 pages, plain-TEX file, no figures","Mod.Phys.Lett. A11 (1996) 9-17","10.1142/S0217732396000035","IP/BBSR-95-5","hep-th",,"  A two dimensional string effective action is obtained by dimensionally
reducing the bosonic part of the ten dimensional heterotic string effective
action. It is shown that this effective action, with a few restrictions on some
backgrounds describes a two dimensional model which admits an infinite sequence
of nonlocal conserved currents.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 19:30:31 GMT""}]","2015-06-26"
"hep-th/9502003","N. D. Hari Dass","Ramesh Anishetty, Rahul Basu, N.D. Hari Dass, and H.S.Sharatchandra","Infrared Behaviour of Systems With Goldstone Bosons","28 pages,2 Figs, a new section on some universal features of
  multipion processes has been added","Int.J.Mod.Phys. A14 (1999) 3467-3496","10.1142/S0217751X99001615","IMSc-94/52","hep-th",,"  We develop various complementary concepts and techniques for handling quantum
fluctuations of Goldstone bosons.We emphasise that one of the consequences of
the masslessness of Goldstone bosons is that the longitudinal fluctuations also
have a diverging susceptibility characterised by an anomalous dimension $(d-2)$
in space-time dimensions $2<d<4$.In $d=4$ these fluctuations diverge
logarithmically in the infrared region.We show the generality of this
phenomenon by providing three arguments based on i). Renormalization group
flows, ii). Ward identities, and iii). Schwinger-Dyson equations.We obtain an
explicit form for the generating functional of one-particle irreducible
vertices of the O(N) (non)--linear $\sigma$--models in the leading 1/N
approximation.We show that this incorporates all infrared behaviour correctly
both in linear and non-linear $\sigma$-- models. Our techniques provide an
alternative to chiral perturbation theory.Some consequences are discussed
briefly.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 07:18:37 GMT""},{""version"":""v2"",""created"":""Thu, 2 Feb 1995 10:26:17 GMT""},{""version"":""v3"",""created"":""Tue, 16 Dec 1997 07:19:57 GMT""}]","2009-10-28"
"hep-th/9502004",,"R. N. Lee and A. I. Milstein","Quasiclassical Green function and Delbruck scattering in a screened
  Coulomb field","11 pages, LATEX, no figures",,"10.1016/0375-9601(95)00055-8","BUDKERINP 94-97","hep-th",,"  A simple integral representation is derived for the quasiclassical Green
function of the Dirac equation in an arbitrary spherically-symmetric decreasing
external field. The consideration is based on the use of the quasiclassical
radial wave functions with the main contribution of large angular momenta taken
into account. The Green function obtained is applied to the calculation of the
Delbruck scattering amplitudes in a screened Coulomb field.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 07:27:53 GMT""}]","2009-10-28"
"hep-th/9502005","Henning Wissowski","Wulf Boettger, Henning Wissowski, Hans A. Kastrup","Constructing solutions of Hamilton-Jacobi equations for 2 D fields with
  one component by means of Baecklund transformations","LaTeX, 44 pages, 3 figures, submitted to: Journal of Mathematical
  Physics; replaced due to mailer problems","J.Math.Phys. 44 (2003) 263-301","10.1063/1.1526451","PITHA 63/94","hep-th cond-mat funct-an gr-qc math.FA",,"  The Hamilton-Jacobi formalism generalized to 2-dimensional field theories
according to Lepage's canonical framework is applied to several relativistic
real scalar fields, e.g. massless and massive Klein-Gordon, Sinh and
Sine-Gordon, Liouville and $\phi^4$ theories. The relations between the
Euler-Lagrange and the Hamilton-Jacobi equations are discussed in DeDonder and
Weyl's and the corresponding wave fronts are calculated in Carath\'eodory's
formulation. Unlike mechanics we have to impose certain integrability
conditions on the velocity fields to guarantee the transversality relations and
especially the dynamical equivalence between Hamilton-Jacobi wave fronts and
families of extremals embedded therein. B\""acklund Transformations play a
crucial role in solving the resulting system of coupled nonlinear PDEs.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 07:33:51 GMT""},{""version"":""v2"",""created"":""Thu, 2 Feb 1995 11:38:03 GMT""},{""version"":""v3"",""created"":""Fri, 3 Feb 1995 10:00:43 GMT""}]","2016-09-06"
"hep-th/9502006",,"Guido Cognola, Luciano Vanzo and Sergio Zerbini","ONE-LOOP QUANTUM CORRECTIONS TO THE ENTROPY FOR A 4-DIMENSIONAL ETERNAL
  BLACK HOLE","9 pages Latex, -- Latex problems have been eliminated","Class.Quant.Grav.12:1927-1936,1995","10.1088/0264-9381/12/8/010","UTF 342","hep-th",,"  The first quantum corrections to the free energy for an eternal 4-dimensional
black hole is investigated at one-loop level, in the large mass limit of the
black hole, making use of the conformal techniques related to the optical
metric. The quadratic and logarithmic divergences as well as a finite part
associated with the first quantum correction to the entropy are obtained at a
generic temperature. It is argued that, at the Hawking temperature, the horizon
divergences of the internal energy should cancel. Some comments on the
divergences of the entropy are also presented.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 10:08:22 GMT""},{""version"":""v2"",""created"":""Thu, 2 Feb 1995 10:27:47 GMT""}]","2010-04-06"
"math/9502236","Andreas Seeger","Anthony Carbery, Andreas Seeger","Homogeneous Fourier multipliers of Marcinkiewicz type","28 pages. The online version of the journal issue provided by the
  current publisher has faulty typesetting. A 1995 posting on arXiv shows only
  7 pages. We therefore post the original preprint version of the paper","Arkiv f\""or Matematik, 33 (1995), no. 1, 45-80",,,"math.FA math.CA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  This 1995 paper contains a sharp version of the classical Marcinkiewicz
multiplier theorem for the class of homogeneous Fourier multipliers in two
dimensions; here a one-dimensional Marcinkiewicz condition is sufficient.
Examples are given to show that the straightforward extension of this statement
to higher dimensions does not hold. We provide appropriate versions in higher
dimensions which rely on a Fefferman-Stein weighted norm inequality for a
relevant C\'ordoba type square function. The proof of this inequality is given
by an early version of an induction on scales argument. For $p<1$ we prove a
multiplier theorem on product-type $H^p$-spaces.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 00:00:00 GMT""},{""version"":""v2"",""created"":""Sun, 26 Apr 2020 12:40:47 GMT""}]","2020-04-29"
"mtrl-th/9502001",,"Jorge Berger and Joseph E. Avron (Technion)","A Classification Scheme for Toroidal Molecules","Latex, 41 pages, 18 figs upon request. Accepted for publication in J.
  Chem. Soc. - Faraday Trans",,,,"mtrl-th cond-mat.mtrl-sci",,"  We construct a class of periodic tilings of the plane, which corresponds to
toroidal arrangements of trivalent atoms, with pentagonal, hexagonal and
heptagonal rings. Each tiling is characterized by a set of four integers and
determines a toroidal molecule. The tiling rules are motivated by geometric
considerations and the tiling patterns are rich enough to describe a wide class
of toroidal carbon molecules, with a broad range of shapes and numbers of
atoms. The molecular dimensions are simply related to the integers that
determine the tiling. The configurational energy and the delocalisation energy
of several molecules obtained in this way were computed for Tersoff and
H\""uckel models. The results indicate that many of these molecules are not
strained, and may be expected to be stable. We studied the influence of size on
the H\""{u}ckel spectrum: it bears both similarities and differences as compared
with the case of tubules.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 12:22:40 GMT""},{""version"":""v2"",""created"":""Wed, 12 Jul 1995 05:52:29 GMT""}]","2008-02-03"
"q-alg/9501032","Tanya Khovanova","Joseph Bernstein","Sacler lectures","plain TeX, 18 pages, no figures",,,"IAS 897-92","q-alg math.QA",,"  The series of three lectures given at Tel-Aviv University in 1992:
  1. Tensor categories.
  2. Quantum groups.
  3. Topological (quantum) field theories.
  Published as the preprint IAS 897-92 of Tel-Aviv University and The Mortimer
and Raymond Sacler Institute of Advanced Studies.
","[{""version"":""v1"",""created"":""Tue, 31 Jan 1995 22:42:06 GMT""}]","2008-02-03"
"q-alg/9502001",,"V.K. Dobrev, P. Truini and L.C. Biedenharn,","Representation Theory Approach to the Polynomial Solutions of q -
  Difference Equations : U_q(sl(3)) and Beyond,","uuencoded Z-compressed .tar file containing two ps files,","J.Math.Phys. 35 (1994) 6058-6075","10.1063/1.530728","J. Math. Phys. 35 (1994) 6058-6075, (also as preprint ASI-TPA/7/94,
  GEF-Th-1/94, DOE-ER40757-043 \& CPP-94-11 (March 1994)).","q-alg math.QA",,"  A new approach to the theory of polynomial solutions of q - difference
equations is proposed. The approach is based on the representation theory of
simple Lie algebras and their q - deformations and is presented here for
U_q(sl(n)). First a q - difference realization of U_q(sl(n)) in terms of
n(n-1)/2 commuting variables and depending on n-1 complex representation
parameters r_i, is constructed. From this realization lowest weight modules
(LWM) are obtained which are studied in detail for the case n=3 (the well known
n=2 case is also recovered). All reducible LWM are found and the polynomial
bases of their invariant irreducible subrepresentations are explicitly given.
This also gives a classification of the quasi-exactly solvable operators in the
present setting. The invariant subspaces are obtained as solutions of certain
invariant q - difference equations, i.e., these are kernels of invariant q -
difference operators, which are also explicitly given. Such operators were not
used until now in the theory of polynomial solutions. Finally the states in all
subrepresentations are depicted graphically via the so called Newton diagrams.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 07:16:38 GMT""}]","2016-09-08"
"q-alg/9502002","Ziemowit Popowicz","G.E.Arutuynov (Moscow, Russia), A.P.Isaev (Dubna, Russia), Z.Popowicz
  (Wroclaw, Poland)","Poincare'-Birkhoff-Witt property for bicovariant differential algebras
  on simple quantum groups","12 pages,latex","J.Phys.A28:4349-4359,1995","10.1088/0305-4470/28/15/015",,"q-alg math.QA",,"  We investigate the possibility to construct bicovariant differential calculi
on quantum groups SO_q(N) and Sp_q(N) as a quantization of an underlying
bicovariant bracket.We show that, opposite to GL(N) and SL(N)-cases, neither of
possible graded SO- and Sp- bicovariant brackets (associated with a
quasitriangular r-matrices) obey the Jacobi identity when the differential
forms are Lie algebra- valued. The absence of a classical Poisson structure
gives an indication that differential algebras describing bicovariant
differential calculi on quantum orthogonal and symplectic groups are not of
Poincar'e- Birkhoff- -Witt type.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 07:07:39 GMT""}]","2011-07-19"
"quant-ph/9502001",,"T. Calarco, R. Onofrio","Optimal Measurements of Magnetic Flux in Superconducting Circuits and
  Macroscopic Quantum Mechanics","11 pages (no figures), to be published in Physics Letters A","Phys. Lett. A 198 (1995) 279","10.1016/0375-9601(94)01020-U","DFPD 95/GP/01","quant-ph",,"  A model of repeated quantum measurements of magnetic flux in superconducting
circuits manifesting tunneling is discussed. The perturbation due to the
previous measurements of magnetic flux is always present unless quantum
nondemolition measurements are performed. By replacing the classical notion of
noninvasivity with this condition, temporal Bell-like inequalities allows one
to test the observability at the macroscopic level of the conflict between
realism and quantum theory.
","[{""version"":""v1"",""created"":""Wed, 1 Feb 1995 11:11:32 GMT""}]","2009-10-28"
