"alg-geom/9502004","Masanori Kobayashi","Masanori Kobayashi","Duality of Weights, Mirror Symmetry and Arnold's Strange Duality","22 pages, AmSTeX2.1",,,,"alg-geom math.AG",,"  A notion of duality of weight systems which corresponds to Batyrev's toric
mirror symmetry is given. Explicit duality on the (1,1)-cohomology of K3
surfaces which are minimal models of toric hypersurfaces is constructed using
monomial divisor mirror map of Aspinwall-Greene-Morrison. It is shown that
Arnold's strange duality for exceptional unimodal singularities reduces to this
duality.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 13:41:10 GMT""}]","2008-02-03"
"hep-th/9502029","Kanno","Hiroaki Kanno and Y\H{u}ji Ohta","Topological Strings with Scaling Violation and Toda Lattice Hierarchy","27 pages, latex, no figures","Nucl.Phys.B442:179-204,1995","10.1016/S0550-3213(95)00138-7",,"hep-th",,"  We show that there is a series of topological string theories whose
integrable structure is described by the Toda lattice hierarchy. The monodromy
group of the Frobenius manifold for the matter sector is an extension of the
affine Weyl group $\widetilde W (A_N^{(1)})$ introduced by Dubrovin. These
models are generalizations of the topological $CP^1$ string theory with scaling
violation. The logarithmic Hamiltonians generate flows for the puncture
operator and its descendants. We derive the string equation from the
constraints on the Lax and the Orlov operators. The constraints are of
different type from those for the $c=1$ string theory. Higher genus expansion
is obtained by considering the Lax operator in matrix form.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 01:55:06 GMT""}]","2010-11-01"
"hep-th/9502030","Robert Marnelius","Igor Batalin, Robert Marnelius","Completely anticanonical form of Sp(2)-symmetric Lagrangian quantization","7 pages,latexfile","Phys.Lett. B350 (1995) 44-48","10.1016/0370-2693(95)00333-G","ITP-G\""oteborg 94-30","hep-th",,"  The Sp(2)-symmetric Lagrangian quantization scheme is represented in a
completely anticanonical form. Antifields are assigned to all field variables
including former ""parametric"" ones \pi^{Aa}. The antibrackets (F, G)^a as well
as the operators \triangle^a and V^a are extended to include the new
anticanonical pairs \pi^{Aa}, \bar{\phi}_A. A new version of the gauge fixing
mechanism in the Lagrangian effective action is proposed. The corresponding
functional integral is shown to be gauge independent.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 11:59:18 GMT""}]","2016-09-06"
"hep-th/9502031","Alexei Semikhatov","I Batalin, R Marnelius, A Semikhatov","Triplectic Quantization: A Geometrically Covariant Description of the
  Sp(2)-symmetric Lagrangian Formalism","Revised version -- our treatment in Section 5 has been extended and
  several pedagogical notes inserted in Sections 2--4; more references added.","Nucl.Phys. B446 (1995) 249-285","10.1016/0550-3213(95)00176-S","ITP G\""oteborg 94-31","hep-th",,"  A geometric description is given for the Sp(2) covariant version of the
field-antifield quantization of general constrained systems in the Lagrangian
formalism. We develop differential geometry on manifolds in which a basic set
of coordinates (`fields') have two superpartners (`antifields'). The
quantization on such a triplectic manifold requires introducing several
specific differential-geometric objects, whose properties we study. These
objects are then used to impose a set of generalized master-equations that
ensure gauge-independence of the path integral. The theory thus quantized is
shown to extend to a level-1 theory formulated on a manifold that includes
antifields to the Lagrange multipliers. We also observe intriguing relations
between triplectic and ordinary symplectic geometry.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 10:28:01 GMT""},{""version"":""v2"",""created"":""Sun, 26 Feb 1995 22:38:48 GMT""},{""version"":""v3"",""created"":""Mon, 27 Feb 1995 21:57:40 GMT""}]","2013-07-31"
"hep-th/9502032",,"M. C. Diamantini, P. Sodano, C. A. Trugenberger","Self Duality and Oblique Confinement in Planar Gauge Theories","32 pages, harvmac","Nucl.Phys. B448 (1995) 505-532","10.1016/0550-3213(95)00252-N","UGVA-DPT 1994/11-88 and DFUPG 98/94","hep-th cond-mat",,"  We investigate the non-perturbative structure of two planar $Z_p \times Z_p$
lattice gauge models and discuss their relevance to two-dimensional condensed
matter systems and Josephson junction arrays. Both models involve two compact
U(1) gauge fields with Chern-Simons interactions, which break the symmetry down
to $Z_p \times Z_p$. By identifying the relevant topological excitations
(instantons) and their interactions we determine the phase structure of the
models. Our results match observed quantum phase transitions in Josephson
junction arrays and suggest also the possibility of {\it oblique confining
ground states} corresponding to quantum Hall regimes for either charges or
vortices.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 10:06:47 GMT""}]","2009-10-28"
"hep-th/9502033",,"Olivier Piguet","On the Role of Vector Supersymmetry in Topological Field Theory","17 pages, latex, no figures. Talk given at the ``XV Encontro Nacional
  de Fisica de Particulas e Campos'', Angra dos Reis, Brazil, October 1994.",,,"UGVA-DPT 1995/02-880","hep-th",,"  Vector supersymmetry is typical of topological field theory. Its role in the
construction of gauge invariant quantities is explained, as well as its role in
the cancellation of the ultraviolet divergences. The example of the
Chern-Simons theory in three dimensions is treated in details.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 12:39:19 GMT""}]","2016-09-06"
"hep-th/9502034","Xiang Qian Luo","Qi-Zhou Chen, Xiang-Qian Luo, Shuo-Hong Guo","QCD_3 Vacum Wave Function","10 pages plus 3 figures, encoded with uufiles.","Phys.Lett. B341 (1995) 349-354","10.1016/0370-2693(94)01403-Y","HLRZ-94-25, published in Physics Letters B341 (1995) 349-354.","hep-th",,"  We investigate quantum chromodynamics in 2+1 dimensions ($\rm{QCD}_3$) using
the Hamiltonian lattice field theory approach. The long wavelength structure of
the ground state, which is closely related to the confinement phenomenon, is
analyzed and its vacuum wave function is evaluated by means of the recently
developed truncated eigenvalue equation method. The third order estimations
show nice scaling for the physical quantities.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 14:01:43 GMT""}]","2016-09-06"
"hep-th/9502035",,"S. De Bievre, M. Degli Esposti, R. Giachetti","QUANTIZATION OF A CLASS OF PIECEWISE AFFINE TRANSFORMATIONS ON THE TORUS","no. 28 pages in AMSTEX","Commun.Math.Phys. 176 (1996) 73-94","10.1007/BF02099363",,"hep-th",,"  We present a unified framework for the quantization of a family of discrete
dynamical systems of varying degrees of ""chaoticity"". The systems to be
quantized are piecewise affine maps on the two-torus, viewed as phase space,
and include the automorphisms, translations and skew translations. We then
treat some discontinuous transformations such as the Baker map and the
sawtooth-like maps. Our approach extends some ideas from geometric quantization
and it is both conceptually and calculationally simple.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 15:51:50 GMT""}]","2009-10-28"
"nucl-th/9502014",,"C.H. Chen, C.L. Wu, D.H. Feng, A. Arima","Inverted Pairing and Excitation Induced by Quadrupole-Quadrupole
  Interaction","Submitted to Phys. Rev. Lett",,,,"nucl-th",,"  In this paper, eit is shown for a single-$j$ shell that the intrinsic
excitations induced by the quadrupole-quadrupole interaction can be viewed as
that due to the inverted surface-delta interaction whose multipole-pairing
component with the largest spin is the dominant term and is attractive. This
allow us to trace the origin of the recently introduced optimum pair
description of rotation and leads naturally to analytical expressions for the
rotational energies for the various bands in a single $j$-shell with the
quadrupole-quadrupole interaction.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 05:25:10 GMT""}]","2007-05-23"
"nucl-th/9502015","Jouni A. Niskanen","J.A. Niskanen (University of Helsinki)","Comment on ""Role of heavy meson exchange in near threshold N N --> d pi""","7 pages, figures by fax or mail from janiskanen@phcu.helsinki.fi","Phys.Rev.C53:526-528,1996","10.1103/PhysRevC.53.526","HU-TFT-95-6","nucl-th",,"  In a recent paper by C. J. Horowitz (Phys. Rev. C {\bf 48}, 2920 (1993)) a
heavy meson exchange is incorporated into threshold NN --> d pi to enhance the
grossly underestimated cross section. However, that calculation uses an
unjustified assumption on the initial and final momenta, which causes an
overestimate of this effect by a factor of 3--4. I point out that the inclusion
of the Delta(1232) isobar increases the cross section significantly even at
threshold.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 11:03:15 GMT""}]","2016-09-08"
"patt-sol/9502001",,"V. S. Gerdjikov (Institute of Nuclear Research and Nuclear Energy,
  Sofia 1784, Bulgaria) and N. A. Kostov (Institute of Electronics, Sofia 1784,
  Bulgaria)","INVERSE SCATTERING TRANSFORM ANALYSIS OF STOKES-ANTI-STOKES STIMULATED
  RAMAN SCATTERING","16 pages, LaTeX, no figures",,"10.1103/PhysRevA.54.4339","INRNE Preprint TH--94/8","patt-sol nlin.PS",,"  Zakharov-Shabat--Ablowitz-Kaup-Newel-Segur representation for
Stokes-anti-Stokes stimulated Raman scattering is proposed. Periodical waves,
solitons and self-similarity solutions are derived. Transient and bright
threshold solitons are discussed.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 12:19:04 GMT""}]","2016-09-08"
"q-alg/9502006","Alexander A. Voronov","M. Flato, M. Gerstenhaber, A. A. Voronov","Cohomology and Deformation of Leibniz Pairs","15 pages",,"10.1007/BF00739377",,"q-alg math.QA",,"  Cohomology and deformation theories are developed for Poisson algebras
starting with the more general concept of a Leibniz pair, namely of an
associative algebra $A$ together with a Lie algebra $L$ mapped into the
derivations of $A$. A bicomplex (with both Hochschild and Chevalley-Eilenberg
cohomologies) is essential.
","[{""version"":""v1"",""created"":""Mon, 6 Feb 1995 00:17:57 GMT""}]","2016-09-08"
