"alg-geom/9502008",,"Vincenzo Ancona and Giorgio Ottaviani","On singularities of ${\cal M}_{I\!\! P^3}(c_1,c_2)$","7 pages, Plain Tex",,,,"alg-geom math.AG",,"  Let ${\cal M}_{I\!\! P^3}(c_1,c_2)$ be the moduli space of stable rank-$2$
vector bundles on $I\!\! P^3$ with Chern classes $c_1$, $ c_2$. We prove the
following results.
  1) Let $0 \le \beta < \gamma $ be two integers, ($\gamma \ge 2)$, such that
$2\gamma-3\beta>0$; then ${\cal M}_{I\!\! P^3}(0,2\gamma^2-3\beta^2)$ is
singular (the case $\beta =0$ was previously proved by M. Maggesi).
  2) Let $0 \le \beta < \gamma $ be two odd integers ($\gamma \ge 5)$, such
that $2\gamma-3\beta+1>0$; then ${\cal M}_{I\!\!
P^3}(-1,2(\gamma/2)^2-3(\beta/2)^2+1/4)$ is singular.
  In particular ${\cal M}_{I\!\! P^3}(0,5)$, ${\cal M}_{I\!\! P^3}(-1,6)$ are
singular.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 17:18:43 GMT""}]","2015-06-30"
"hep-ph/9502299",,"C.Gerschel, J. H\""ufner and E.Quack","Empirical regularities in the $x$--dependence of nuclear J/Psi
  suppression","8 pages, 3 figures added after -- cut here -- in uuencoded compressed
  postscript form","J.Phys.G22:1335-1342,1996","10.1088/0954-3899/22/9/006","GSI-95-14","hep-ph",,"  The measured ratios $R(x,A_1/A_2)$ for $J/\Psi$, $\Psi'$ and $\mu^+\mu^-$
production on two different targets $A_1, A_2$ as a function of the fractional
momentum $x$ of the final state are well fit with a very simple functional form
having three adjustable parameters. An empirical relation is found between the
three parameters of the fit. The deduced $J/\Psi$ absorption cross sections
$\sigma_{abs}$ cluster around two values of which only $\sigma_{abs} = 5.8 \pm
0.2$ mb seems acceptable.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 14:05:41 GMT""}]","2016-09-01"
"hep-th/9502072",,"A. Ceresole, R. D'Auria, S. Ferrara and A. Van Proeyen","Duality Transformations in Supersymmetric Yang-Mills Theories coupled to
  Supergravity,","41 pages, harvmac, no figures. References added, and minor printing
  error corrected.","Nucl.Phys. B444 (1995) 92-124","10.1016/0550-3213(95)00175-R","CERN-TH 7547/94, POLFIS-TH. 01/95, UCLA 94/TEP/45, KUL-TF-95/4","hep-th",,"  We consider duality transformations in N=2, d=4 Yang--Mills theory coupled to
N=2 supergravity. A symplectic and coordinate covariant framework is
established, which allows one to discuss stringy `classical and quantum duality
symmetries' (monodromies), incorporating T and S dualities. In particular, we
shall be able to study theories (like N=2 heterotic strings) which are
formulated in symplectic basis where a `holomorphic prepotential' F does not
exist, and yet give general expressions for all relevant physical quantities.
Duality transformations and symmetries for the N=1 matter coupled Yang--Mills
supergravity system are also exhibited. The implications of duality symmetry on
all N>2 extended supergravities are briefly mentioned. We finally give the
general form of the central charge and the N=2 semiclassical spectrum of the
dyonic BPS saturated states (as it comes by truncation of the N=4 spectrum).
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 17:38:56 GMT""},{""version"":""v2"",""created"":""Fri, 3 Mar 1995 17:59:09 GMT""}]","2016-09-06"
"hep-th/9502073","Evgenyi Ivanov","Evgenyi A. Ivanov","On the harmonic superspace geometry of $(4,4)$ supersymmetric sigma
  models with torsion","33 pages, LaTeX, the essentially extended and revised version to be
  published in Phys. Rev. D","Phys. Rev. D 53, 2201 (1996)","10.1103/PhysRevD.53.2201","ESI-196 (1995), JINR E2-95-53","hep-th",,"  Starting from the dual action of $(4,4)$ $2D$ twisted multiplets in the
harmonic superspace with two independent sets of $SU(2)$ harmonic variables, we
present its generalization which hopefully provides an off-shell description of
general $(4,4)$ supersymmetric sigma models with torsion. Like the action of
the torsionless $(4,4)$ hyper-K\""ahler sigma models in the standard harmonic
superspace, it is characterized by a number of superfield potentials. They
depend on $n$ copies of a triple of analytic harmonic $(4,4)$ superfields. As
distinct from the hyper-K\""ahler case, the potentials prove to be severely
constrained by the self-consistency condition which stems from the
commutativity of the left and right harmonic derivatives. We show that for
$n=1$ these constraints reduce the general action to that of $(4,4)$ twisted
multiplet, while for $n\geq 2$ there exists a wide class of new actions which
cannot be written only via twisted multiplets. Their most striking feature is
the nonabelian and in general nonlinear gauge invariance which substitutes the
abelian gauge symmetry of the dual action of twisted multiplets and ensures the
correct number of physical degrees of freedom. We show, on a simple example,
that these actions describe sigma models with non-commuting left and right
complex structures on the bosonic target.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 20:51:45 GMT""},{""version"":""v2"",""created"":""Mon, 25 Dec 1995 18:13:04 GMT""}]","2016-08-24"
"hep-th/9502074","Youngjai Kiem","Youngjai Kiem, Erik Verlinde and Herman Verlinde","Black Hole Horizons and Complementarity","Some minor modifications in text and the title change","Phys.Rev. D52 (1995) 7053-7065","10.1103/PhysRevD.52.7053","CERN-TH.7469/94, PUPT-1504","hep-th",,"  We investigate the effect of gravitational back-reaction on the black hole
evaporation process. The standard derivation of Hawking radiation is
re-examined and extended by including gravitational interactions between the
infalling matter and the outgoing radiation. We find that these interactions
lead to substantial effects. In particular, as seen by an outside observer,
they lead to a fast growing uncertainty in the position of the infalling matter
as it approaches the horizon. We argue that this result supports the idea of
black hole complementarity, which states that, in the description of the black
hole system appropriate to outside observers, the region behind the horizon
does not establish itself as a classical region of space-time. We also give a
new formulation of this complementarity principle, which does not make any
specific reference to the location of the black hole horizon.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 18:44:39 GMT""},{""version"":""v2"",""created"":""Fri, 19 May 1995 16:34:40 GMT""}]","2009-10-28"
"hep-th/9502075","Fred Dilkes","F.A.Dilkes and D.G.C.McKeon (University of Western Ontario)","A Massive Renormalizable Abelian Gauge Theory in 2+1 Dimensions","LaTeX, 17 pages, expanded reference list and discussion of
  relationship to previous work","Phys.Rev. D52 (1995) 4668-4674","10.1103/PhysRevD.52.4668",,"hep-th",,"  The standard formulation of a massive Abelian vector field in $2+1$
dimensions involves a Maxwell kinetic term plus a Chern-Simons mass term; in
its place we consider a Chern-Simons kinetic term plus a Stuekelberg mass term.
In this latter model, we still have a massive vector field, but now the
interaction with a charged spinor field is renormalizable (as opposed to super
renormalizable). By choosing an appropriate gauge fixing term, the Stuekelberg
auxiliary scalar field decouples from the vector field. The one-loop spinor
self energy is computed using operator regularization, a technique which
respects the three dimensional character of the antisymmetric tensor
$\epsilon_{\alpha\beta\gamma}$. This method is used to evaluate the vector self
energy to two-loop order; it is found to vanish showing that the beta function
is zero to two-loop order. The canonical structure of the model is examined
using the Dirac constraint formalism.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 20:35:43 GMT""},{""version"":""v2"",""created"":""Fri, 9 Jun 1995 17:08:26 GMT""}]","2009-10-28"
"hep-th/9502077","Vadim S. Kaplunovsky","Vadim Kaplunovsky and Jan Louis","On Gauge Couplings in String Theory","82 pages, 6 in-line figures, uses phyzzx.tex and epsf.tex macros","Nucl.Phys. B444 (1995) 191-244","10.1016/0550-3213(95)00172-O","UTTG-24-94 and LMU-TPW-94-24","hep-th",,"  We investigate the field dependence of the gauge couplings of $N=1$ string
vacua from the point of view of the low energy effective quantum field theory.
We find that field-theoretical considerations severely constrain the form of
the string loop corrections; in particular, the dilaton dependence of the gauge
couplings is completely universal at the one-loop level. The moduli dependence
of the string threshold corrections is also constrained, and we illustrate the
power of such constraints with a detailed discussion of the orbifold vacua and
the $(2,2)$ (Calabi-Yau) vacua of the heterotic string.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 03:57:01 GMT""},{""version"":""v2"",""created"":""Wed, 15 Feb 1995 05:25:16 GMT""}]","2016-09-06"
"hep-th/9502078","Won-Tae Kim","Won T. Kim and Julian Lee","ADM, Bondi mass, and energy conservation in two-dimensional dilaton
  gravities","11 pages, latex, no figures","Int.J.Mod.Phys. A11 (1996) 553-562","10.1142/S0217751X96000250","SNUTP 95-005","hep-th",,"  We show how a stress-energy pseudotensor can be constructed in
two-dimensional dilatonic gravity theories (classical, CGHS and RST) and derive
the expression for the ADM mass in these theories from it. We define the Bondi
mass for these theories by using the pseudotensor formalism. The resulting
expression is the generalization of the expression for the ADM mass. The
boundary condition needed for the energy conservation is also investigated. It
is shown that under appropriate boundary conditions, our definition of the
Bondi mass is exactly the ADM mass minus the matter radiation energy at null
infinity.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 06:02:41 GMT""}]","2015-06-26"
"hep-th/9502079","Hoi-Kwong Lo","Hoi-Kwong Lo (Institute for Advanced Study)","Elusive Order Parameters for Non-Abelian Gauge Theories","companion paper to hep-th/9502080. Problem with figures fixed. 11
  pages, 2 figures, Revtex",,,"IASSNS-HEP-95/4","hep-th hep-lat hep-ph",,"  In this Letter, we construct a set of order parameters for non-Abelian gauge
theories which probe directly the unbroken group and are free of the
deficiencies caused by quantum fluctuations and gauge fixing which have plagued
all previous attempts. These operators can be used to map out the phase diagram
of a non-Abelian gauge theory.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 06:18:28 GMT""},{""version"":""v2"",""created"":""Thu, 28 Sep 1995 18:36:06 GMT""}]","2009-09-25"
"hep-th/9502080","Hoi-Kwong Lo","Hoi-Kwong Lo (Institute for Advanced Study)","Aharonov-Bohm Order Parameters for Non-Abelian Gauge Theories","How quantum fluctuations destroy the coherence between various
  strings are discussed explicitly. That linked Wilson loops are useful order
  parameters for a Maxwell- Chern-Simons-Higgs theory is noted. The generality
  of our results is emphasized. Problems with figures have also been fixed. 43
  pages, 13 figures, Revtex, accepted for publication in PRD","Phys.Rev. D52 (1995) 7247-7264","10.1103/PhysRevD.52.7247","IASSNS-HEP-95/8","hep-th hep-lat hep-ph",,"  The Aharonov-Bohm effect has been invoked to probe the phase structure of a
gauge theory. Yet in the case of non-Abelian gauge theories, it proves
difficult to formulate a general procedure that unambiguously specifies the
realization of the gauge symmetry, e.g. the unbroken subgroup. In this paper,
we propose a set of order parameters that will do the job. We articulate the
fact that any useful Aharonov-Bohm experiment necessarily proceeds in two
stages: calibration and measurement. World sheets of virtual cosmic string
loops can wrap around test charges, thus changing their states relative to
other charges in the universe. Consequently, repeated flux measurements with
test charges will not necessarily agree. This was the main stumbling block to
previous attempts to construct order parameters for non-Abelian gauge theories.
In those works, the particles that one uses for calibration and subsequent
measurement are stored in {\em separate} ``boxes''. By storing all test
particles in the {\em same} ``box'', we show how quantum fluctuations can be
overcome. The importance of gauge fixing is also emphasized.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 06:28:15 GMT""},{""version"":""v2"",""created"":""Thu, 28 Sep 1995 18:11:17 GMT""}]","2009-10-28"
"hep-th/9502083","Yusuke Taniguchi","Hiroyuki Hata and Yusuke Taniguchi","Color Confinement in Perturbation Theory from a Topological Model,","12 pages + 1 uuencoded eps figure, LaTeX","Prog.Theor.Phys. 94 (1995) 435-444","10.1143/PTP.94.435","KUNS-1325","hep-th",,"  Color confinement by the mechanism of Kugo and Ojima can treat confinement of
any quantized color carrying fields including dynamical quarks. However, the
non-perturbative condition for this confinement has been known to be satisfied
only in the pure-gauge model (PGM), which is a topological model without
physical degrees of freedom. Here we analyze the Yang-Mills theory by adding
physical degrees of freedom as perturbation to PGM. We find that quarks and
gluons are indeed confined in this perturbation theory.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 07:56:12 GMT""}]","2016-09-06"
"hep-th/9502084","Diego Mazzitelli","G. Alejandro, F.D. Mazzitelli and C. N\'u\~nez","QUANTUM CORRECTIONS AND EXTREMAL BLACK HOLES","12 pages, LaTex, no figures. We have improved the main argument
  leading to the non-existence of an extremal black hole in the quantum theory","Phys.Lett.B355:92-98,1995","10.1016/0370-2693(95)00736-5","IC/95/16","hep-th gr-qc",,"  We consider static solutions of two dimensional dilaton gravity models as toy
laboratories to address the question of the final fate of black holes. A non
perturbative correction to the CGHS potential term is shown to lead classically
to an extremal black hole geometry, thus providing a plausible solution to
Hawking evaporation paradox. However, the full quantum theory does not admit an
extremal solution.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 08:33:13 GMT""},{""version"":""v2"",""created"":""Mon, 5 Jun 1995 13:30:19 GMT""}]","2009-03-27"
"hep-th/9502085","Bimonte Giuseppe","G. Bimonte, R. Iengo and G. Lozano","UV asymptotically free QED as a broken YM theory in the unitary gauge","8 pages","Phys.Lett. B355 (1995) 277-282","10.1016/0370-2693(95)00700-U","IC/95/12, SISSA/EP/17/95, INFN-NA-iV-3/95","hep-th",,"  We compute the $\beta$-function of a YM theory, broken to $U(1)$, by
evaluating the coupling constant renormalization in the broken phase. We
perform the calculation in the unitary gauge where only physical particles
appear and the theory looks like a version of QED containing massive charged
spin 1 particles. We consider an on-shell scattering process and after
verifying that the non-renormalizable divergences which appear in the Green's
functions cancel in the expression of the amplitude, we show that the coupling
constant renormalization is entirely due to the photon self-energy as in QED.
However we get the expected asymptotic freedom and the physical charge
decreases logarithmically as a function of the symmetry breaking scale.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 13:18:20 GMT""}]","2016-09-06"
"hep-th/9502086","Cadoni Mariano","Mariano Cadoni, Marco Cavaglia'","Instability of the R^3\times S^1 vacuum in low-energy effective string
  theory","9 pages, plain-tex file, 2 figures available upon request","Phys.Rev.D52:2583-2586,1995","10.1103/PhysRevD.52.2583","INFNCA-TH9501, SISSA 16/95/A","hep-th",,"  We present and discuss an euclidean solution of the low-energy effective
string action that can be interpreded as a semiclassical decay process of the
ground state of the theory.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 13:22:37 GMT""}]","2010-11-01"
"hep-th/9502087","Dept of Theor. Phys.","I.L. Buchbinder, B.R. Mistchuk, V.D. Pershin","BRST - BFV analysis of anomalies in bosonic string theory interacting
  with background gravitational field","11 pages, LATEX, no figures","Phys.Lett. B353 (1995) 457-462","10.1016/0370-2693(95)00585-9","TSPI-95-1","hep-th",,"  The general BRST-BFV analysis of anomaly in the string theory coupled to
background fields is carried out. An exact equation for c-valued symbol of
anomaly operator is found and structure of its solutions is studied.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 15:53:57 GMT""}]","2009-10-28"
"math/9502206","Bernhard Herwig","Bernhard Herwig","Many (omega)-categorical Structures Have the Small Index Property",,,,"Logic E-prints February 14, 1995","math.LO",,"  A class K of finite structures is said to have the extension property for
automorphisms (EP) if for every A in K there exists an extension B in K such
that every partial isomorphism on the structure A extends to an automorphism of
B. Hrushovski proved EP for the class of all finite graphs. The main problem is
to keep B finite.
  Hodges, Hodkinson, Lascar and Shelah showed in their paper that in certain
cases the EP for the class K implies the Small Index Property (SIP) for the
""generic"" countable structure determined by K. E.g. Hrushovskis result yields
the SIP for the random graph.
  In this preprint we prove the EP for the class of all finite K_n - free
graphs (i.e. graphs with no complete subgraph of given size n), which implies
SIP for the generic K_n - free graph. Also we prove EP for a certain family of
classes of directed graphs, which implies SIP for the ""Henson digraphs"". This
is a family of continuum many non isomorphic countable directed
omega-categorical graphs. Finally we state EP for a more general family of
classes, which covers all the cases mentioned above.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 00:00:00 GMT""}]","2008-02-03"
"math/9502226",,"Kevin Cattell, Michael J. Dinneen, Michael R. Fellows","Obstructions to within a few vertices or edges of acyclic","16 pages",,,"LACES 05C-95-19","math.CO",,"  Finite obstruction sets for lower ideals in the minor order are guaranteed to
exist by the Graph Minor Theorem. It has been known for several years that, in
principle, obstruction sets can be mechanically computed for most natural lower
ideals. In this paper, we describe a general-purpose method for finding
obstructions by using a bounded treewidth (or pathwidth) search. We illustrate
this approach by characterizing certain families of cycle-cover graphs based on
the two well-known problems: $k$-{\sc Feedback Vertex Set} and $k$-{\sc
Feedback Edge Set}. Our search is based on a number of algorithmic strategies
by which large constants can be mitigated, including a randomized strategy for
obtaining proofs of minimality.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 00:00:00 GMT""}]","2016-09-06"
"math/9502227","Erik Koelink","Erik Koelink, Walter Van Assche","Orthogonal polynomials and Laurent polynomials related to the Hahn-Exton
  q-Bessel function",,,,"OP-SF 14 Feb 1995","math.CA",,"  Laurent polynomials related to the Hahn-Exton $q$-Bessel function, which are
$q$-analogues of the Lommel polynomials, have been introduced by Koelink and
Swarttouw. The explicit strong moment functional with respect to which the
Laurent $q$-Lommel polynomials are orthogonal is given. The strong moment
functional gives rise to two positive definite moment functionals. For the
corresponding sets of orthogonal polynomials the orthogonality measure is
determined using the three-term recurrence relation as a starting point. The
relation between Chebyshev polynomials of the second kind and the Laurent
$q$-Lommel polynomials and related functions is used to obtain estimates for
the latter.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 00:00:00 GMT""}]","2009-09-25"
"mtrl-th/9502004","Weiqing Zhong","W. Zhong, David Vanderbilt, and K. M. Rabe","First-principles theory of ferroelectric phase transitions for
  perovskites: The case of BaTiO3","33 pages latex file, 9 figures",,"10.1103/PhysRevB.52.6301",,"mtrl-th cond-mat.mtrl-sci",,"  We carry out a completely first-principles study of the ferroelectric phase
transitions in BaTiO$_3$. Our approach takes advantage of two features of these
transitions: the structural changes are small, and only low-energy distortions
are important. Based on these observations, we make systematically improvable
approximations which enable the parameterization of the complicated energy
surface. The parameters are determined from first-principles total-energy
calculations using ultra-soft pseudopotentials and a preconditioned
conjugate-gradient scheme. The resulting effective Hamiltonian is then solved
by Monte Carlo simulation. The calculated phase sequence, transition
temperatures, latent heats, and spontaneous polarizations are all in good
agreement with experiment. We find the transitions to be intermediate between
order-disorder and displacive character. We find all three phase transitions to
be of first order. The roles of different interactions are discussed.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 20:42:57 GMT""}]","2016-09-07"
"nucl-th/9502032","Arturo De Pace","A. De Pace (Istituto Nazionale di Fisica Nucleare, Sezione di Torino)","Glauber isovector spin responses for (p,n) reactions at 494 MeV","8 pages, uses REVTeX and epsfig, 2 postscript figures; a postscript
  version of the paper is available by anonymous ftp at
  ftp://toxd01.to.infn.it/pub/depace/papers/9502/","Phys. Rev. Lett. 75 (1995) 29","10.1103/PhysRevLett.75.29",,"nucl-th",,"  The separated isovector spin-longitudinal and spin-transverse responses from
a recent (p,n) quasifree experiment at 494 MeV are analyzed in a Glauber theory
framework up to two-step contributions. Nuclear correlations are treated in the
continuum random phase approximation, accounting for the spreading width of the
particle-hole states. A good description of the spin-longitudinal response is
achieved, hinting at some evidence of pionic effects in the quasielastic
region. The spin-transverse response is underestimated and we show that
multistep contributions, while sizable, are not sufficient to provide an
explanation of the discrepancy.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 17:10:00 GMT""}]","2016-09-08"
"nucl-th/9502033",,"Paul J. Ellis, Roland Knorren and Madappa Prakash","Kaon Condensation in Neutron Star Matter with Hyperons","13 pages, latex, 3 figures by fax/mail from ellis@physics.spa.umn.edu","Phys.Lett. B349 (1995) 11-17","10.1016/0370-2693(95)00231-9","NUC-MINN-94/7-T. Accepted for Phys. Lett. B","nucl-th",,"  Based on the Kaplan-Nelson Lagrangian, we investigate kaon condensation in
dense neutron star matter allowing for the explicit presence of hyperons. Using
various models we find that the condensate threshold is sensitive to the
behavior of the scalar density; the more rapidly it increases with baryon
density, the lower is the threshold for condensation. The presence of hyperons,
particularly the $\Sigma^-$, shifts the threshold for $K^-$ condensation to a
higher density. In the mean field approach, with hyperons, the condensate
amplitude grows sufficiently rapidly that the nucleon effective mass vanishes
at a finite density and a satisfactory treatment of the thermodynamics cannot
be achieved. Thus, calculations of kaon-baryon interactions beyond the mean
field level appear to be necessary.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 18:18:29 GMT""}]","2016-09-08"
"nucl-th/9502034",,"P.Zhuang, U.Heinz","Relativistic Quantum Transport Theory for Electrodynamics","32 pages, no figures, standard Latex","Ann.Phys.245:311-338,1996","10.1006/aphy.1996.0011","TPR-95-2","nucl-th",,"  We investigate the relationship between the covariant and the
three-dimensional (equal-time) formulations of quantum kinetic theory. We show
that the three-dimensional approach can be obtained as the energy average of
the covariant formulation. We illustrate this statement in scalar and spinor
QED. For scalar QED we derive Lorentz covariant transport and constraint
equations directly from the Klein-Gordon equation rather than through the
previously used Feshbach-Villars representation. We then consider pair
production in a spatially homogeneous but time-dependent electric field and
show that the pair density is derived much more easily via the energy averaging
method than in the equal-time representation. Proceeding to spinor QED, we
derive the covariant version of the equal-time equation derived by
Bialynicki-Birula et al. We show that it must be supplemented by another
self-adjoint equation to obtain a complete description of the covariant spinor
Wigner operator. After spinor decomposition and energy average we study the
classical limit of the resulting three-dimensional kinetic equations. There are
only two independent spinor components in this limit, the mass density and the
spin density, and we derive also their covariant equations of motion. We then
show that the equal-time kinetic equation provides a complete description only
for constant external electromagnetic fields, but is in general incomplete. It
must be supplemented by additional constraints which we derive explicitly from
the covariant formulation.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 14:04:24 GMT""}]","2016-09-08"
"patt-sol/9502003","Raul Montagne","M. San Miguel, R. Montagne, A. Amengual, E. Hernandez-Garcia","MULTIPLE FRONT PROPAGATION IN A POTENTIAL NON-GRADIENT SYSTEM","13 pages of text including 6 Figures in a tar-compressed and
  uuencoded file (using uufiles package). To appear in ""Instabilities and
  Nonequilibrium Structures V"", Eds. E. Tirapegui and W. Zeller, Kluwer,
  Dordrecht, 1995. Latex version with figures available at
  http://formentor.uib.es/~montagne/textos/chile93","in 'Instabilities and Nonequilibrium Structures V', Eds. E.
  Tirapegui and W. Zeller, Kluwer Publisher, 1996",,,"patt-sol cond-mat nlin.PS",,"  A classification of dynamical systems in terms of their variational
properties is reviewed. Within this classification, front propagation is
discussed in a non-gradient relaxational potential flow. The model is motivated
by transient pattern phenomena in nematics. A front propagating into an
unstable homogenous state leaves behind an unstable periodic pattern, which
decays via a second front and a second periodic state. An interface between
unstable periodic states is shown to be a source of propagating fronts in
opposite directions.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 10:32:07 GMT""},{""version"":""v2"",""created"":""Wed, 15 Feb 1995 09:45:41 GMT""}]","2016-09-08"
"quant-ph/9502010","Eli Eisenberg","Eli Eisenberg and Larry Horwitz","INTRINSIC MECHANISM FOR ENTROPY CHANGE IN CLASSICAL AND QUANTUM
  EVOLUTION","20 pages. For more information or comments contact E. Eisenberg at
  eisenber@alon.cc.biu.ac.il (internet).","Phys. Rev. A 52, 70 (1995).","10.1103/PhysRevA.52.70",,"quant-ph",,"  It is shown that the existence of a time operator in the Liouville space
representation of both classical and quantum evolution provides a mechanism for
effective entropy change of physical states. In particular, an initially
effectively pure state can evolve under the usual unitary evolution to an
effectively mixed state.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 08:44:14 GMT""}]","2016-09-08"
"solv-int/9502003","David Fairlie","D.B. Fairlie and I.A.B. Strachan","The Hamiltonian structure of the dispersionless Toda hierarchy","12 pages, latex, no figures","Physica D: Vol 90, Issues 1-2 (1996), 1-8","10.1016/0167-2789(95)00229-4","DTP/95/5","solv-int nlin.SI",,"  The Hamiltonian structure of the two-dimensional dispersionless Toda
hierarchy is studied, this being a particular example of a system of
hydrodynamic type. The polynomial conservation laws for the system turn out,
after a change of variable, to be associated with the axially symmetric
solutions of the 3-dimensional Laplace equation and this enables a generating
function for the Hamiltonian densities to be derived in closed form.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 16:41:01 GMT""}]","2020-12-16"
