"alg-geom/9511002","Dr. Mueller-Stach","Stefan M\""uller-Stach","Constructing Indecomposable Motivic Cohomology Classes on Algebraic
  Surfaces","Latex 2e, 34 pages",,,,"alg-geom math.AG",,"  We describe a method to construct indecomposable classes in Bloch's higher
Chow group $CH^2(X,1)$ on algebraic surfaces over the complex numbers via
transcendental methods and apply it to obtain examples on K3-surfaces and some
surfaces of general type.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 13:15:32 GMT""}]","2014-10-24"
"gr-qc/9511010","Steve F. Rippl","Steve Rippl, Henk van Elst, Reza Tavakol and David Taylor","Kinematics and Dynamics of $f(R)$ Theories of Gravity","13 pages, latex, to appear in GRG","Gen.Rel.Grav. 28 (1996) 193-205","10.1007/BF02105423",,"gr-qc",,"  We generalise the equations governing relativistic fluid dynamics given by
Ehlers and Ellis for general relativity, and by Maartens and Taylor for
quadratic theories, to generalised $f(R)$ theories of gravity. In view of the
usefulness of this alternative framework to general relativity, its
generalisation can be of potential importance for deriving analogous results to
those obtained in general relativity. We generalise, as an example, the results
of Maartens and Taylor to show that within the framework of general $f(R)$
theories, a perfect fluid spacetime with vanishing vorticity, shear and
acceleration is Friedmann--Lema\^{\i}tre--Robertson--Walker only if the fluid
has in addition a barotropic equation of state. It then follows that the
Ehlers--Geren--Sachs theorem and its ``almost'' extension also hold for $f(R)$
theories of gravity.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 14:23:51 GMT""}]","2009-10-28"
"hep-ex/9511001","Jorge L. Lopez","R. Adler, etal (CPLEAR Collaboration) and J. Ellis, J. Lopez, N.
  Mavromatos, and D. Nanopoulos","Test of CPT Symmetry and Quantum Mechanics with Experimental data from
  CPLEAR","9 pages of uuencoded postscript (includes 3 figures)","Phys.Lett.B364:239-245,1995","10.1016/0370-2693(95)01416-0","CERN-PPE/95-149","hep-ex hep-ph hep-th",,"  We use fits to recent published CPLEAR data on neutral kaon decays to
$\pi^+\pi^-$ and $\pi e\nu$ to constrain the CPT--violation parameters
appearing in a formulation of the neutral kaon system as an open
quantum-mechanical system. The obtained upper limits of the CPT--violation
parameters are approaching the range suggested by certain ideas concerning
quantum gravity.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 17:13:29 GMT""}]","2008-11-26"
"hep-lat/9511002","Peer Ueberholz","UKQCD Collaboration, presented by Peer Ueberholz","Results from Lattice QCD for baryons containing a heavy quark","3 pages, uuencoded, Proceedings of the EPS/HEP95 conference",,,"Edinburgh preprint 95/557","hep-lat",,"  We present the calculation of the spectrum of baryons containing one heavy
quark. Heavy baryon and meson mass splittings are computed and compared with
experiment. We give preliminary results for the form factor $G_1$ for the
semileptonic decay $ \Lambda_b \rightarrow \Lambda_c l \bar{\nu} $ and
investigate its flavour symmetry.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 08:36:35 GMT""}]","2007-05-23"
"hep-ph/9511204","Steve Godfrey","Mikulas Gintner, Stephen Godfrey and Gilles Couture","W-Pair Production in the Process $e^+e^- \to \ell \nu q\bar{q}'$ and
  Measurement of the $WW\gamma$ and $WWZ$ Couplings","Latex file uses revtex version 2 4 figures (uuencoded) will be added
  with figures command. Full postcript version with embedded figures is
  available at ftp://ftp.physics.carleton.ca/pub/theory/godfrey/ocipc9503.ps","Phys.Rev.D52:6249-6263,1995","10.1103/PhysRevD.52.6249","OCIP/C-95-03","hep-ph",,"  We performed a detailed analysis of the process $e^+e^-\to \ell \nu
q\bar{q}'$ where we included all tree level Feynman diagrams that contribute to
this final state. We studied the sensitivity of this process to anomalous
trilinear gauge boson couplings of the $WW\gamma$ and $WWZ$ vertices using two
popular parametrizations. We used a maximum likelihood analysis of a five
dimensional differential cross-section based on the $W$ and $W$ decay product
angular distributions. We concentrated on LEP-200 energies, taking
$\sqrt{s}=175$ GeV, and energies appropriate to the proposed Next Linear
Collider (NLC), a high energy $e^+e^-$ collider with center of mass energies
$\sqrt{s}=500$ and 1~TeV. At 175 GeV, $g_1^Z$ can be measured to about $\pm
0.2$, $\kappa_Z$ to $\pm 0.2$ and $\kappa_\gamma$ to $\pm 0.3$, $\lambda_Z$ to
$\pm 0.2$ and $\lambda_\gamma$ to $\pm 0.3$. at 95\% C.L. assuming
500~pb$^{-1}$ integrated luminosity. Although these will be improvements of
existing measurements they are not sufficiently precise to test the standard
model at the loop level and are unlikely to see deviations from SM
expectations. At 500~GeV with 50~fb$^{-1}$ integrated luminosity, $g_1^Z$ can
be measured to about $\pm 0.01$, $\kappa_Z$ and $\kappa_\gamma$ to $\pm 0.005$
and $\lambda_Z$ and $\lambda_\gamma$ to $\pm 0.003$ at 95\% C.L. while at 1 TeV
with 200~fb$^{-1}$ integrated luminosity, $\kappa_V$ and $\lambda_V$ can be
measured to about $\pm 0.005$ and $\pm 10^{-3}$ respectively. The 500~GeV
measurements will be at the level of loop contributions to the couplings and
may show hints of new physics while the 1~TeV should be sensitive to new
physics at the loop level.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 18:41:35 GMT""}]","2010-01-15"
"hep-ph/9511205","Milo Svec","M.Svec","Study of sigma(750) and rho0(770) production in measurements of
  piN(polarized) -> pi(+)pi(-)n on a polarized target at 5.98,11.85 and 17.2
  GeV/c","73 pages","Phys.Rev.D53:2343-2361,1996","10.1103/PhysRevD.53.2343","McGill/95-55","hep-ph nucl-th",,"  We present a new and improved model independent amplitude analysis of
reactions $\pi^+ n_\uparrow \to \pi^+ \pi^- p$ at 5.98 and 11.85 GeV/c and
$\pi^- p_\uparrow \to \pi^- \pi^+ n$ at 17.2 GeV/c measured with transversely
polarized targets at the CERN Proton Synchrotron. A clear signal for
$\sigma(750)$ resonance emerges in all four solutions for $S$-wave intensity
$I_S$ at 5.98 and 11.85 GeV/c and in both solutions for $S$-wave amplitude
$|\overline S|^2\Sigma$ at 17.2 GeV/c. Its $\pi^+\pi^-$ decay width is
estimated to be in the range 200--300 MeV. We find significant suppression of
$\rho^0$ production in the amplitudes $|U|^2\Sigma$, $|\overline N |^2\Sigma$
and, at 17.2 GeV/c, in $|L|^2\Sigma$. The mass dependence of amplitudes
$|\overline L |^2\Sigma$ and $|L|^2\Sigma$ shows unexpected structures within
the $\rho^0$ mass region which correlate the mass spectra corresponding to
opposite nucleon spins. These features of $P$-wave moduli reveal the essential
role of nucleon spin in pion production process and contradict the
factorization hypothesis. Our results emphasize the need for a systematic study
of pion production on the level of amplitudes in a new generation of dedicated
experiments with spin at the recently proposed high-intensity hadron
facilities.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 19:16:40 GMT""}]","2008-11-26"
"hep-ph/9511206","Tao Han","M. Golden, T. Han and G. Valencia","Strongly-Interacting Electroweak Sector --Model Independent Approaches--","Report contributed to ESB & BSM Book, ed. by T. Barklow, S. Dawson,
  H. Haber and J. Siegrist. LaTex file; 75 pages; 17 figures (not included
  here). Complete ps file available by anonymous ftp at
  ftp://ucdhep.ucdavis.edu/han/dpf/report/report_full.ps",,"10.1142/9789812830265_0005","UCD-95-32, ISU-HET-95-6","hep-ph",,"  Phenomenology of a strongly-interacting electroweak symmetry breaking sector
at current and future colliders is reviewed.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 21:20:50 GMT""}]","2016-11-03"
"hep-ph/9511207","Paul Langacker","Paul Langacker","Precision Experiments, Grand Unification, and Compositeness","Invited talk presented at {\it SUSY-95}, Palaiseau, France, May 1995.
  19 pages, Latex, 6 figures, not included; postscript file with embedded
  figures by anonymous ftp at
  ftp://dept.physics.upenn.edu/pub/Langacker/paris.ps",,,"NSF-ITP-95-140, UPR-0683T","hep-ph",,"  Precision electroweak data allow one to test the standard model, constrain
its parameters, and search for the effects of some kinds of new physics. The
results of the most recent data from LEP, SLC, and elsewhere are described, as
are their predictions for $m_t$, $M_H$, and $\alpha_s$. The implications for
the two major classes of extensions of the standard model,
supersymmetry/unification and compositeness, are described.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 00:14:44 GMT""}]","2007-05-23"
"hep-ph/9511208","Randy Kobes","Randy Kobes (University of Winnipeg)","Hard thermal loop resummation techniques in hot gauge theories","LaTeX, 11 pages, 6 uuencoded figures included. Also available at
  http://theory.uwinnipeg.ca/users/randy/webfiles/china.uu or at
  ftp://theory.uwinnipeg.ca/pub/local/randy/china.uu",,,"WIN-95-21","hep-ph",,"  A review is given of the hard thermal loop resummation methods initiated by
Braaten, Pisarski, and others. We describe some successes of these techniques
as well as instances where modifications are necessary. Some possible
directions where these modifications may lead are also discussed. [Review talk
given at the 4th workshop on thermal field theories held in Dalian, China]
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 03:38:10 GMT""}]","2007-05-23"
"hep-ph/9511209","ChengXing Zhai","Lowell Brown and Chengxing Zhai","Atomic effects in tritium beta decay","81 pages, 15 Postscript figures, uses a non-standard style file
  ""table.sty"" which is appended at the end of the latex file","Annals Phys. 249 (1996) 298-361","10.1006/aphy.1996.0072","UW/PT-95-16, PURD-TH-95-11","hep-ph nucl-th",,"  The electron neutrino mass has been measured in several tritium beta decay
experiments. These experiments are sensitive to a small neutrino mass because
the energy release of the decay is small. But the very smallness of the energy
release implies that the Coulomb interactions of the slowly moving emitted beta
electron are relatively large. Using field theoretic techniques, we derive a
systematic and controlled expansion which accounts for the Coulomb effects,
including the mutual interaction of the beta ray electron and the electron in
the final $^3{\rm He}^+$ ion. In our formulation, an effective potential which
describes the long range Coulomb force experienced by the beta ray is
introduced to ensure that our expansion is free of infrared divergences. Both
the exclusive differential decay rate to a specific final $^3{\rm He}^+$ state
and the inclusive differential decay rate are calculated to order $\eta^2$,
where $\eta$ is the usual Coulomb parameter. We analyze the order $\eta^2$
correction to the beta ray spectrum and estimate how it may affect the neutrino
mass squared parameter and the endpoint energy when this corrected spectrum is
used to compare with the experiments. We find that the effect is small.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 06:37:51 GMT""}]","2009-10-28"
"hep-ph/9511210","Nils A. Tornqvist","Nils A. Tornqvist and Matts Roos (Helsinki)","Resurrection of the Sigma Meson","13 pages in Latex using RevTex (and psfig.sty), 4 figures available
  as ps files from N. To""rnqvist (Tornqvist@phcu.Helsinki.Fi) on request","Phys.Rev.Lett.76:1575-1578,1996","10.1103/PhysRevLett.76.1575","HU-SEFT-R-1995-15","hep-ph nucl-th",,"  It is shown from a very general model and an analysis of data on the lightest
0++ meson nonet that the f0(980) and f0(1200) resonance poles are two
manifestations of the same ss state. Similarily the a0(980) and the a0(1450)
are likely to be two manifestations of the same qq state. On the other hand,
the uu+dd state, when unitarized and strongly distorted by hadronic mass
shifts, becomes an extremely broad Breit-Wigner-like background, m=860 MeV,
Gamma=880 MeV, with its pole at s=(0.158-i0.235) GeV^2. This we identify with
the sigma meson required by models for spontaneous breaking of chiral symmetry.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 07:11:52 GMT""}]","2008-11-26"
"hep-ph/9511211","Victor Nikonov","V.V.Anisovich, L.G.Dakhno and V.A.Nikonov (St.Petersburg Nuclear
  Physics Institute, Russia)","QCD-Motivated Pomeron and High Energy Hadronic Diffractive Cross
  Sections","LaTex, 17 pages, 8 Encapsulated PostScript figures, uses epsf.sty","Phys.Atom.Nucl. 59 (1996) 702-708; Yad.Fiz. 59N4 (1996) 735-741",,,"hep-ph",,"  Soft diffractive cross sections in $pp$ (or $\bar pp$), $\pi p$ and $\gamma
p$ collisions are calculated using QCD-motivated pomeron. The $s$-channel
unitarization of the amplitude is performed by the eikonal approach, and in the
framework of the quark structure of hadrons the colour screening is taken into
account. The performed description of the diffractive processes has led to the
parameters of the bare pomeron $P$ which occurred to be close to the
corresponding parameters of the Lipatov's pomeron. Parameters of the bare
pomeron and those of the three-reggeon block $PGG$ ($G$ is a reggeized gluon)
has been fixed by the data at moderately high energies; for superhigh energies
the predictions are made. The intercept of the bare pomeron is found to be in
remarkable agreement with the low-$x$ data for deep inelastic scattering. An
evaluation of the effective colour transparency radius is done which can be
used in hadron-nuclei reactions.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 11:30:12 GMT""}]","2007-05-23"
"hep-ph/9511212","Mohammad Ahmady","Mohammad R. Ahmady","Momentum Dependent Photon-Vector Meson Coupling and Parity Violating
  effects in B --> X_s l^+ l^-","11 pages, Latex, 3 figures (included)",,,"OCHA-PP-69","hep-ph",,"  We examine the leptonic forward-backward and polarization (left-right)
asymmetries in the dileptonic B -> X_s l^+ l^- decay when the momentum
dependence of $\psi$ and $\psi'-\gamma$ conversion strength is taken into
account. The results indicate only a small shift in the asymmetry
distributions.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 13:16:57 GMT""}]","2007-05-23"
"hep-ph/9511216","Tanmay Vachaspati","Hong Liu and Tanmay Vachaspati","Perturbed Electroweak Strings and Fermion Zero Modes","17 pages + 1 figure; RevTeX","Nucl.Phys. B470 (1996) 176-194","10.1016/0550-3213(96)00158-7","CWRU-P14-95","hep-ph",,"  The effect of perturbations of electroweak strings on quark zero modes is
studied in 2+1 and 3+1 dimensions. As first discovered by Naculich, it is found
that the bosonic perturbations that destabilize the string give a mass to the
zero modes and also lift their degeneracy. The effect of the zero modes on the
stability of the string is discussed qualitatively and we argue that the
fermionic vacuum instability found by Naculich should lead to a distortion of
the bosonic string but not be responsible for decay.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 09:38:15 GMT""}]","2015-06-25"
"hep-th/9511002","Detlev Buchholz","Detlev Buchholz","Quarks, gluons, colour: Facts or fiction?","22 pages, ams-latex; the article had to be replaced because of tex
  problems, there are no changes in the text","Nucl.Phys. B469 (1996) 333-356","10.1016/0550-3213(96)00143-5","DESY 95-197","hep-th",,"  A general method is presented which allows one to determine from the local
gauge invariant observables of a quantum field theory the underlying particle
and symmetry structures appearing at the lower (ultraviolet) end of the
spatio--temporal scale. Particles which are confined to small scales, i.e., do
not appear in the physical spectrum, can be uncovered in this way without
taking recourse to gauge fields or indefinite metric spaces. In this way
notions such as quark, gluon, colour symmetry and confinement acquire a new and
intrinsic meaning which is stable under gauge or duality transformations. The
method is illustrated by the example of the Schwinger model.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 16:41:08 GMT""},{""version"":""v2"",""created"":""Thu, 2 Nov 1995 13:12:12 GMT""}]","2009-10-28"
"hep-th/9511003","Park daegil","D.K.Park, Hung Soo Kim, and Jae Kwan Kim","Is Lavelle-McMullan transformation a really new symmetry in QED?","LATEX, 9 pages, two figures generated by Feynman","Mod.Phys.Lett. A11 (1996) 2555-2560","10.1142/S0217732396002563",,"hep-th",,"  Lavelle-McMullan symmetry of QED is examined at classical and quantum levels.
It is shown that Lavelle-McMullan symmetry does not give any new non-trivial
information in QED by examining the Ward-Takahashi identities. Being inspired
by the examination of Ward-Takahashi identity, we construct the generalized
non-local and non-covariant symmetries of QED.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 10:16:32 GMT""}]","2015-06-26"
"hep-th/9511005","Carlos Aragao","C.A.A. de Carvalho and R.M. Cavalcanti","Tunnelings as Catastrophes","5 pages, revtex, 5 figures, uuencoded tar-compressed",,,,"hep-th cond-mat",,"  We use path-integrals to derive a general expression for the semiclassical
approximation to the partition function of a one-dimensional quantum-mechanical
system. Our expression depends solely on ordinary integrals which involve the
potential. For high temperatures, the semiclassical expression is dominated by
single closed paths. As we lower the temperature, new closed paths appear,
including tunneling paths. The transition from single to multiple-path regime
corresponds to well-defined catastrophes. Tunneling sets in whenever they
occur. (Our formula fully accounts for this feature.)
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 17:07:32 GMT""},{""version"":""v2"",""created"":""Fri, 3 Nov 1995 15:14:14 GMT""}]","2008-02-03"
"hep-th/9511006","Reinhard Oehme","Reinhard Oehme","Reduction of Coupling Parameters","Plenary talk presented at the XVIIIth International Workshop on High
  Energy Physics and Field Theory, Moscow-Protvino, June 1995. To be published
  in the Proceedings. 20 pages, Latex",,,"EFI 95-47, MPI-Ph/95-81","hep-th hep-ph",,"  The general theory of the reduction in the number of coupling parameters is
discussed. The method involves renormalization group invariant relations
between couplings. It is more general than the imposition of symmetries. There
are reduced theories with no known symmetry. The reduction scheme is finding
many applications. Discussed in some detail are the construction of gauge
theories with ``minimal'' coupling for Yang-Mills and matter fields, and the
Gauge-Yukawa Unification within N=1 supersymmetric GUT's.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 18:23:14 GMT""}]","2007-05-23"
"hep-th/9511007","Reinhard Oehme","Reinhard Oehme","Dispersion Relations in Gauge Theories with Confinement","Plenary talk presented at the XVIIIth International Workshop on High
  Energy Physics and Field Theory, Moscow-Protvino, June 1995. To be published
  in the Proceedings. 13 pages, Latex",,,"EFI 95-54, MPI-Ph/95-82","hep-th hep-ph",,"  The analytic structure of {\it physical} amplitudes is considered for gauge
theories with confinement of excitations corresponding to the elementary
fields. Confinement is defined in terms of the BRST algebra. BRST-invariant,
local, composite fields are introduced, which interpolate between physical
asymptotic states. It is shown that the singularities of physical amplitudes
are the same as in an effective theory with only physical fields. In
particular, there are no structure singularities (anomalous thresholds)
associated with confined constituents, like quarks and gluons. The old proofs
of dispersion relations for hadronic amplitudes remain valid in QCD.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 18:49:34 GMT""}]","2007-05-23"
"hep-th/9511008","Marco Moriconi","M. Moriconi (Princeton University), K. Schoutens (University of
  Amsterdam)","Thermodynamic Bethe Ansatz for N = 1 Supersymmetric Theories","24 pages, Revtex","Nucl.Phys. B464 (1996) 472-491","10.1016/0550-3213(95)00649-4","PUPT-1572, ITFA-95-17","hep-th",,"  We study a series of $N\!=\!1$ supersymmetric integrable particle theories in
$d=1+1$ dimensions. These theories are represented as integrable perturbations
of specific $N\!=\!1$ superconformal field theories. Starting from the
conjectured $S$-matrices for these theories, we develop the Thermodynamic Bethe
Ansatz (TBA), where we use that the 2-particle $S$-matrices satisfy a free
fermion condition. Our analysis proves a conjecture by E.~Melzer, who proposed
that these $N\!=\!1$ supersymmetric TBA systems are ``folded'' versions of
$N\!=\!2$ supersymmetric TBA systems that were first studied by P.~Fendley and
K.~Intriligator.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 04:21:34 GMT""}]","2009-10-28"
"hep-th/9511009","Marco Moriconi","M.Moriconi (Princeton University), K. Schoutens (University of
  Amsterdam)","Supersymmetric Scattering in Two Dimensions","3 pages, wstwocl.sty, epsfig.sty, talk delivered at the HEP95
  Conference of the EPS, Brussels, July/August 1995",,,"PUPT-1571, ITFA-95-18","hep-th",,"  We briefly review results on two-dimensional supersymmetric quantum field
theories that exhibit factorizable particle scattering. Our particular focus is
on a series of $N\!=\!1$ supersymmetric theories, for which exact $S$-matrices
have been obtained. A Thermodynamic Bethe Ansatz (TBA) analysis for these
theories has confirmed the validity of the proposed $S$-matrices and has
pointed at an interesting `folding' relation with a series of $N\!=\!2$
supersymmetric theories.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 04:20:58 GMT""}]","2007-05-23"
"hep-th/9511011",,"Bruno Iochum, Daniel Kastler, Thomas Schucker (Marseille)","Riemannian and Non-commutative Geometry in Physics","9 pages LaTeX, 2 figures uuencoded and gzipped, writeup of talk in
  Madeira",,,"CPT-95/P.3260","hep-th",,"  We feel that non-commutative geometry is to particle physics what Riemannian
geometry is to gravity. We try to explain this feeling.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 13:53:38 GMT""},{""version"":""v2"",""created"":""Fri, 3 Nov 1995 11:06:53 GMT""},{""version"":""v3"",""created"":""Thu, 9 Nov 1995 10:06:17 GMT""}]","2008-02-03"
"hep-th/9511012",,"K. Chadan, R. Kobayashi, A. Martin and J. Stubbe","Generalization of the Calogero-Cohn Bound on the Number of Bound States","1 page. Correctly formatted version (replaces previous version)",,"10.1063/1.531450","CERN-TH/95-152","hep-th",,"  It is shown that for the Calogero-Cohn type upper bounds on the number of
bound states of a negative spherically symmetric potential $V(r)$, in each
angular momentum state, that is, bounds containing only the integral
$\int^\infty_0 |V(r)|^{1/2}dr$, the condition $V'(r) \geq 0$ is not necessary,
and can be replaced by the less stringent condition $(d/dr)[r^{1-2p}(-V)^{1-p}]
\leq 0, 1/2 \leq p < 1$, which allows oscillations in the potential. The
constants in the bounds are accordingly modified, depend on $p$ and $\ell$, and
tend to the standard value for $p = 1/2$.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 15:02:18 GMT""},{""version"":""v2"",""created"":""Mon, 13 Nov 1995 09:59:37 GMT""}]","2009-10-28"
"math/9511207",,"Narcisse Randrianantoanina","Absolutely Summing Operators on non commutative $C^*$-algebras and
  applications",,,,"Banach Archive 11/2/95","math.FA",,"  Let $E$ be a Banach space that does not contain any copy of $\ell^1$ and $\A$
be a non commutative $C^*$-algebra. We prove that every absolutely summing
operator from $\A$ into $E^*$ is compact, thus answering a question of Pe\l
czynski.
  As application, we show that if $G$ is a compact metrizable abelian group and
$\Lambda$ is a Riesz subset of its dual then every countably additive
$\A^*$-valued measure with bounded variation and whose Fourier transform is
supported by $\Lambda$ has relatively compact range. Extensions of the same
result to symmetric spaces of measurable operators are also presented.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 00:00:00 GMT""}]","2016-09-06"
"math/9511208","Yunping Jiang","Yunping Jiang","The Renormalization Method and Quadratic-Like Maps",,,,"MSRI 1995-081","math.DS",,"  The renormalization of a quadratic-like map is studied. The three-dimensional
Yoccoz puzzle for an infinitely renormalizable quadratic-like map is discussed.
For an unbranched quadratic-like map having the {\sl a priori} complex bounds,
the local connectivity of its Julia set is proved by using the
three-dimensional Yoccoz puzzle. The generalized version of Sullivan's sector
theorem is discussed and is used to prove his result that the Feigenbaum
quadratic polynomial has the {\sl a priori} complex bounds and is unbranched. A
dense subset on the boundary of the Mandelbrot set is constructed so that for
every point of the subset, the corresponding quadratic polynomial is unbranched
and has the {\sl a priori} complex bounds.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 00:00:00 GMT""}]","2016-09-06"
"math/9511218","c/o U. Toronto Math","Dharma P. Gupta, David R. Masson","Contiguous relations, continued fractions and orthogonality",,,,"OP-SF 2 Nov 1995","math.CA",,"  We examine a special linear combination of balanced very-well-poised $\tphia$
basic hypergeometric series that is known to satisfy a transformation. We call
this $\Phi$ and show that it satisfies certain three-term contiguous relations.
From two sets of contiguous relations for $\Phi$ we obtain fifty-six pairwise
linearly independent solutions to a three-term recurrence that generalizes the
recurrence for Askey-Wilson polynomials. The associated continued fraction is
evaluated using Pincherle's theorem. From this continued fraction we are able
to derive a discrete system of biorthogonal rational functions. This ties
together Wilson's results for rational biorthogonality, Watson's $q$-analogue
of Ramanujan's Entry 40 continued fraction and a conjecture of Askey concerning
the latter. Some new $q$-series identities are also obtained. One is an
important three-term transformation for $\Phi$'s which generalizes all the
known two and three-term $\ephis$ transformations. Others are new and
unexpected quadratic identities for these very-well-poised $\ephis$'s.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 00:00:00 GMT""}]","2016-09-06"
"nucl-th/9511001","Jifang Zhang","Nimai C. Mukhopadhyay, J. -F. Zhang and M. Benmerrouche","Photoproduction of Etas and N$^*$(1535) Electrostrong Properties","1 fig. in ps.. It is an invited talk in Baryon'95, Santa Fe, Oct.
  1995",,,"RPI-95-N105, SAL-TH-95-08","nucl-th hep-ph",,"  From the new Mainz data of eta photoproduction off protons\cite{ref1} and
deuterons\cite{ref2}, we can extract, via the effective Lagrangian approach
(ELA)\cite{ref3}, the electrostrong parameters $\xi_{p}$ and $\xi_{n}$ for the
N$^*$(1535) excitation. These parameters are, in units of $10^{-4} MeV^{-1}$,
$(2.20\pm 0.15)$ and $(-1.86\pm 0.20)$ respectively. They yield the ratio of
the helicity amplitudes for the excitation of N$^*$(1535) by photons off
neutrons and protons to be $A^{n}_{1/2}/A^{p}_{1/2}=-0.84\pm 0.15$, a quantity
of fundamental importance in the baryon structure. Best estimates in the quark
model are close to this ratio.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 19:07:24 GMT""}]","2016-09-08"
"q-alg/9511001","Shahn Majid","S. Majid","Double-Bosonisation and the Construction of {$U_q(g)$}","LATEX 57 pages and epsf figures",,,"DAMTP/95-57","q-alg math.QA",,"  We introduce a quasitriangular Hopf algebra or `quantum group' $U(B)$, the
{\em double-bosonisation}, associated to every braided group $B$ in the
category of $H$-modules over a quasitriangular Hopf algebra $H$, such that $B$
appears as the `positive root space', $H$ as the `Cartan subalgebra' and the
dual braided group $B^*$ as the `negative root space' of $U(B)$. The choice
$B=f$ recovers Lusztig's construction of $U_q(g)$, where $f$ is Lusztig's
algebra associated to a Cartan datum; other choices give more novel quantum
groups. As an application, our construction provides a canonical way of
building up quantum groups from smaller ones by repeatedly extending their
positive and negative root spaces by linear braided groups; we explicitly
construct $U_q(sl_3)$ from $U_q(sl_2)$ by this method, extending it by the
quantum-braided plane $A_q^2$. We provide a fundamental representation of
$U(B)$ in $B$. A projection from the quantum double, a theory of double
biproducts and a Tannaka-Krein reconstruction point of view are also provided.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 04:29:05 GMT""}]","2008-02-03"
"q-alg/9511002",,"S. Zakrzewski","Phase spaces related to standard classical $r$-matrices","20 pages, LaTeX, no figures",,"10.1088/0305-4470/29/8/030",,"q-alg math.QA",,"  Fundamental representations of real simple Poisson Lie groups are Poisson
actions with a suitable choice of the Poisson structure on the underlying
(real) vector space. We study these (mostly quadratic) Poisson structures and
corresponding phase spaces (symplectic groupoids).
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 11:09:10 GMT""}]","2009-10-28"
"quant-ph/9511002","George Svetlichny","George Svetlichny (Pontif\'icia Universidade Cat\'olica, Rio de
  Janeiro)","Quantum Formalism with State-Collapse and Superluminal Communication","Version accepted for publication. More extensive discussion and
  clarification. Essential conclusions unchanged. 29 pages. LaTeX. Foundations
  of Physics (to appear)","Foundation of Physics 28, (1998) 131",,,"quant-ph gr-qc hep-th",,"  Given the collapse hypothesis (CH) of quantum measurement, EPR-type
correlations along with the hypothesis of the impossibility of superluminal
communication (ISC) have the effect of globalizing gross features of the
quantum formalism making them universally true. In particular, these hypotheses
imply that state transformations of density matrices must be linear and that
evolution which preserves purity of states must also be linear. A gedanken
experiment shows that lorentz covariance along with the second law of
thermodynamics imply a non-entropic version of ISC. Partial results using
quantum logic suggest, given ISC and a version of CH, a connection between
lorentz covariance and the covering law. These results show that standard
quantum mechanics is structurally unstable, and suggest that viable
relativistic alternatives must question CH. One may also speculate that some
features of the hilbert-space model of quantum mechanics have their origin in
space-time structure.
","[{""version"":""v1"",""created"":""Wed, 1 Nov 1995 18:44:08 GMT""},{""version"":""v2"",""created"":""Wed, 24 Sep 1997 21:30:46 GMT""}]","2016-08-15"
