"alg-geom/9511006","Geng Xu","Geng Xu","On the intersections of rational curves with cubic plane curves","14 pages plain TeX",,,,"alg-geom math.AG",,"  Let C be a smooth cubic curve in the complex projective plane. We show that
for every positive integer k, there are only finite number of rational curves
of degree k each intersects the cubic C at exactly one point. The number of
such rational curves is known when k is 1, as a smooth cubic has 9 flexes
points. This number seems to be closely related to the number of plane rational
curves of degree k passing through 3k-1 general points, which has been
computed.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 22:59:22 GMT""},{""version"":""v2"",""created"":""Fri, 10 Nov 1995 21:14:19 GMT""},{""version"":""v3"",""created"":""Fri, 12 Jul 1996 16:59:00 GMT""}]","2008-02-03"
"hep-ph/9511278",,"Thomas D. Cohen","Isospin Violation and Possible Signatures of Disoriented Chiral
  Condensates in Ultrarelativistic Heavy Ion Collisions","13 pages, revtex, 3 figures. Replaced version is shorter and easier
  to read than original. It corresponds to the version submitted to the journal","Phys.Lett.B372:193-197,1996","10.1016/0370-2693(96)00051-2",,"hep-ph nucl-th",,"  It is possible that isospin violating dynamical effects are amplified due to
coherence if a disoriented chiral condensate (or other source of a coherent
pion state) is formed in a heavy ion collison. It is shown explicitly that
altering the isospin of the coherent state by order of one unit can change the
number of $\pi^0$'s in the condensate by some finite fraction of the total
number. A possible signature of such amplified isospin violating effects is
that the ratio of neutral to total low $p_T$ pions averaged over many events
may differ markedly from 1/3. Such a signal would not be washed out if multiple
domains of coherent pions form.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 15:06:57 GMT""},{""version"":""v2"",""created"":""Thu, 4 Jan 1996 21:57:07 GMT""}]","2014-11-17"
"hep-ph/9511279","Bohdan Grzadkowski","Bohdan Grzadkowski (Warsaw University)","Four-Fermi Effective Operators at e^+ e^- ---> \bar{t} t","LaTex, 10 pages, 4 PostScript figures (uuencoded)","Acta Phys.Polon. B27 (1996) 921-932",,"IFT 17/95","hep-ph",,"  The process of top quark pair production at Next Linear Collider (NLC) has
been considered adopting an effective Lagrangian approach and including all
operators of dim~6 which can be tree-level-generated within unknown underlying
theory. All contributing helicity amplitudes are presented. It has been found
that four-fermion operators can provide the leading non-standard contribution
to the total cross section. Expected statistical significance of the
non-standard signal for the total cross section and forward-backward asymmetry
have been calculated taking into account existing experimental constraints. It
has been shown that adopting realistic luminosity of NLC and conservative
efficiency for the top-quark pair detection, the total cross section may be
sensitive to non-standard physics of an energy scale around $\Lambda=5\tev$.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 15:25:46 GMT""}]","2007-05-23"
"hep-ph/9511285","Yakov Azimov","Ya. I. Azimov (Petersburg Nuclear Physics Institute, Russia)","Neutral Kaons without Weisskopf-Wigner Approximation","LaTeX, 19 pages, no figures","Phys.Atom.Nucl.59:856-863,1996; Yad.Fiz.59N5:894-902,1996",,"PNPI 2077 TH-50-1995","hep-ph",,"  The model-independent formalism is constructed to describe decays of mixed
particles without using the Weisskopf-Wigner approximation. Limitations due to
various symmetries are traced for neutral $K-$mesons. As an application we show
that effects of $CPT-$violation and going beyond WWA may be separated and
studied independently.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 09:55:38 GMT""}]","2008-11-26"
"hep-th/9511057","Gerard Jungman","G. Harris, G.Jungman","Comment on ""Dynamics of Weak First Order Phase Transitions""","2 pages; revtex","Phys. Rev. Lett. 75, 588 (1995)","10.1103/PhysRevLett.75.588",,"hep-th",,"  We comment on an earlier paper of M. Gleiser, regarding mechanisms of
first-order phase transitions.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 23:42:39 GMT""}]","2009-10-28"
"hep-th/9511058","Rolf Schimmrigk","Monika Lynker and Rolf Schimmrigk","Conifold Transitions and Mirror Symmetries","23 pages","Nucl.Phys. B484 (1997) 562-582","10.1016/S0550-3213(96)00557-3","NSF-ITP-95-141, BONN-TH-95-20","hep-th",,"  Recent work initiated by Strominger has lead to a consistent physical
interpretation of certain types of transitions between different string vacua.
These transitions, discovered several years ago, involve singular conifold
configurations which connect distinct Calabi-Yau manifolds. In this paper we
discuss a number of aspects of conifold transitions pertinent to both
worldsheet and spacetime mirror symmetry. It is shown that the mirror transform
based on fractional transformations allows an extension of the mirror map to
conifold boundary points of the moduli space of weighted Calabi-Yau manifolds.
The conifold points encountered in the mirror context are not amenable to an
analysis via the original splitting constructions. We describe the first
examples of such nonsplitting conifold transitions, which turn out to connect
the known web of Calabi-Yau spaces to new regions of the collective moduli
space. We then generalize the splitting conifold transition to weighted
manifolds and describe a class of connections between the webs of ordinary and
weighted projective Calabi-Yau spaces. Combining these two constructions we
find evidence for a dual analog of conifold transitions in heterotic N$=$2
compactifications on K3$\times $T$^2$ and in particular describe the first
conifold transition of a Calabi-Yau manifold whose heterotic dual has been
identified by Kachru and Vafa. We furthermore present a special type of
conifold transition which, when applied to certain classes of Calabi-Yau K3
fibrations, preserves the fiber structure.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 07:42:45 GMT""}]","2009-10-28"
"hep-th/9511060",,"J.S.Dowker, J.S.Apps, K.Kirsten, M.Bordag","Spectral invariants for the Dirac equation on the d-Ball with various
  boundary conditions","13p,JyTeX, some cosmetic changes and a few more comments","Class.Quant.Grav.13:2911-2920,1996","10.1088/0264-9381/13/11/007","MUTP/95/21","hep-th funct-an gr-qc math.FA",,"  The mode properties for spectral and mixed boundary conditions for massless
spin-half fields are derived for the $d$--ball. The corresponding functional
determinants and heat-kernel coefficients are presented, the latter as
polynomials in $d$.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 14:28:29 GMT""},{""version"":""v2"",""created"":""Thu, 23 Nov 1995 09:54:51 GMT""}]","2019-08-17"
"hep-th/9511061","Ioannis Giannakis","Mark Evans and Ioannis Giannakis (Rockefeller University)","T-Duality in Arbitrary String Backgrounds","25 pages, plain Tex, new references added","Nucl.Phys.B472:139-162,1996","10.1016/0550-3213(96)00204-0","RU95-04, CTP-TAMU-28/95","hep-th",,"  T-Duality is a poorly understood symmetry of the space-time fields of string
theory that interchanges long and short distances. It is best understood in the
context of toroidal compactification where, loosely speaking, radii of the
torus are inverted. Even in this case, however, conventional techniques permit
an understanding of the transformations only in the case where the metric on
the torus is endowed with Abelian Killing symmetries. Attempting to apply these
techniques to a general metric appears to yield a non-local world-sheet theory
that would defy interpretation in terms of space-time fields. However, there is
now available a simple but powerful general approach to understanding the
symmetry transformations of string theory, which are generated by certain
similarity transformations of the stress-tensors of the associated conformal
field theories. We apply this method to the particular case of T-Duality and i)
rederive the known transformations, ii) prove that the problem of non-locality
is illusory, iii) give an explicit example of the transformation of a metric
that lacks Killing symmetries and iv) derive a simple transformation rule for
arbitrary string fields on tori.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 15:32:28 GMT""},{""version"":""v2"",""created"":""Thu, 9 May 1996 21:13:30 GMT""}]","2008-11-26"
"math/9511216","David Goldberg","David Goldberg, Rebecca A. Herb","Some results on the admissible representations of non-connected
  reductive p-adic groups",,,,"MSRI 1995-089","math.RT",,"  We examine the theory of induced representations for non-connected reductive
$p$-adic groups for which $G/G^0$ is abelian. We first examine the structure of
those representations of the form $\Ind_{P^0}^G(\sigma),$ where $P^0$ is a
parabolic subgroup of $G^0$ and $\s$ is a discrete series representation of the
Levi component of $P^0.$ Here we develop a theory of $R$--groups, extending the
theory in the connected case. We then prove some general results in the theory
of representations of non-connected $p$-adic groups whose component group is
abelian. We define the notion of cuspidal parabolic for $G$ in order to give a
context for this discussion. Intertwining operators for the non-connected case
are examined and the notions of supercuspidal and discrete series are defined.
Finally, we examine parabolic induction from a cuspidal parabolic subgroup of
$G.$ Here we also develop a theory of $R$--groups, and show that these groups
parameterize the induced representations in a manner that is consistent with
the connected case and with the first set of results as well.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 00:00:00 GMT""}]","2016-09-06"
"nucl-th/9511008","Kazuo Tsushima","A. Sibirtsev, K. Tsushima and Amand Faessler (Institute for
  Theoretical Physics, University of Tuebingen, Germany)","Delta excitation in antiproton-deutron annihilation","13 pages including 7 figures. Latex file. The uuencoded ps files for
  the figures are added. To be published in Z. Phys. A","Z.Phys. A354 (1996) 215-218","10.1007/s002180050034",,"nucl-th hep-ph",,"  The $\Delta$-excitation in $\overline{p}d$ annihilation at rest was studied.
The annihilation amplitude from the statistical model and the $\pi N$ amplitude
from the resonance model were adopted in our calculations. We analyze the
invariant mass of the $\pi^+p$ and $\pi^-p$ systems selecting the protons with
momenta above 400 MeV/c and with respect to the different final reaction
channels. Our model reproduces reasonably the experimental data.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 10:26:15 GMT""}]","2015-06-26"
"quant-ph/9511009",,"B.L.G. Bakker, M.I. Polikarpov and A.I. Veselov","Pauli-Potential and Green Function Monte-Carlo Method for Many-Fermion
  Systems","12 pages, LaTeX, 4 figures","Few Body Syst. 25 (1998) 101-113","10.1007/s006010050097","ITEP-TH-11/95","quant-ph atom-ph hep-lat nucl-th",,"  The time evolution of a many-fermion system can be described by a Green's
function corresponding to an effective potential, which takes
anti-symmetrization of the wave function into account, called the
Pauli-potential. We show that this idea can be combined with the Green's
Function Monte Carlo method to accurately simulate a system of many
non-relativistic fermions. The method is illustrated by the example of systems
of several (2-9) fermions in a square well.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 16:04:42 GMT""}]","2009-10-28"
"quant-ph/9511010","Christopher Fuchs","H. Barnum, C. M. Caves, C. A. Fuchs, R. Jozsa, B. Schumacher","Noncommuting mixed states cannot be broadcast","11 pages, formatted in RevTeX","Phys.Rev.Lett. 76 (1996) 2818-2821","10.1103/PhysRevLett.76.2818",,"quant-ph",,"  We show that, given a general mixed state for a quantum system, there are no
physical means for {\it broadcasting\/} that state onto two separate quantum
systems, even when the state need only be reproduced marginally on the separate
systems. This result generalizes and extends the standard no-cloning theorem
for pure states.
","[{""version"":""v1"",""created"":""Wed, 8 Nov 1995 22:20:40 GMT""}]","2009-10-28"
"quant-ph/9511011","M. Daumer","M. Daumer, D. D\""urr (LMU Munich), S. Goldstein (Rutgers), N. Zanghi
  (Genova)","On the Flux-Across-Surfaces Theorem","13 pages, latex, 1 figure, very minor revisions, to appear in Letters
  in Mathematical Physics, Vol. 38, Nr. 1","Lett.Math.Phys. 38 (1996) 103-116","10.1007/BF00398303",,"quant-ph",,"  The quantum probability flux of a particle integrated over time and a distant
surface gives the probability for the particle crossing that surface at some
time. We prove the free Flux-Across-Surfaces Theorem, which was conjectured by
Combes, Newton and Shtokhamer, and which relates the integrated quantum flux to
the usual quantum mechanical formula for the cross section. The integrated
quantum flux is equal to the probability of outward crossings of surfaces by
Bohmian trajectories in the scattering regime.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 10:20:40 GMT""},{""version"":""v2"",""created"":""Fri, 9 Feb 1996 18:01:50 GMT""},{""version"":""v3"",""created"":""Thu, 9 May 1996 13:21:32 GMT""}]","2009-10-28"
"solv-int/9511003","Helge Frauenkron","Alessandro Torcini, Helge Frauenkron, Peter Grassberger (Theoretische
  Physik, Bergische Universit\""at-Gesamthochschule Wuppertal, Wuppertal,
  Germany)","A Novel Integration Scheme for Partial Differential Equations: an
  Application to the Complex Ginzburg-Landau Equation","10 pages Postscript + 2 figures, uudecoded, gzipped, tarred submitted
  to Physica D",,,,"solv-int nlin.SI",,"  A new integration scheme, combining the stability and the precision of usual
pseudo-spectral codes with the locality of finite differences methods, is
introduced. It turns out to be particularly suitable for the study of front and
disturbance propagation in extended systems. An application to the complex
Ginzburg-Landau equation shows the higher precision of this method with respect
to spectral ones.
","[{""version"":""v1"",""created"":""Thu, 9 Nov 1995 15:58:58 GMT""}]","2008-02-03"
