"alg-geom/9510003","Nakajima Hiraku","Hiraku Nakajima","Instantons and affine Lie algebras","12 pages, AMSLaTeX v 1.1","Nucl.Phys.Proc.Suppl.46:154-161,1996","10.1016/0920-5632(96)00017-5",,"alg-geom hep-th math.AG math.QA q-alg",,"  Various constructions of the affine Lie algebra action on the homology group
of moduli spaces of instantons on 4-manifolds are discussed. The analogy
between the local-global principle and the role of mass is also explained. The
detailed proofs are given in separated papers \cite{Na-algebra,Na-Hilbert}.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 18:36:05 GMT""}]","2011-07-19"
"hep-lat/9511003","Luis Antonio Fernandez","H. G. Ballesteros, L. A. Fernandez, V. Martin-Mayor and A. Munoz
  Sudupe (Dept. de Fisica Teorica I, Universidad Complutense de Madrid, Spain)","New Universality Class in three dimensions: the Antiferromagnetic $RP^2$
  model","10 pages, 2 Postscript figures. Revised version: references added","Phys.Lett. B378 (1996) 207-212","10.1016/0370-2693(96)00358-9",,"hep-lat cond-mat",,"  We present the results of a Monte Carlo simulation of the $RP^2$ model in
three dimensions with negative coupling. We observe a second order phase
transition between the disordered phase and an antiferromagnetic, unfrustrated,
ordered one. We measure, with a Finite Size Scaling analysis, the thermal
exponent, obtaining $\nu=0.784(8)$. We have found two magnetic-type relevant
operators whose related $\eta$ exponents are $0.038(2)$ and $1.338(8)$
respectively.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 16:19:04 GMT""},{""version"":""v2"",""created"":""Tue, 7 Nov 1995 10:59:57 GMT""}]","2009-10-28"
"hep-lat/9511004","Martin Hasenbusch","M. Hasenbusch and R.R. Horgan","Tests of the continuum limit for the $SO(4)$ Principal Chiral Model and
  the prediction for $\L_\MS$","27 pages , 1 Postscript-file, uuencoded","Phys.Rev. D53 (1996) 5075-5089","10.1103/PhysRevD.53.5075","DAMTP 95-61","hep-lat",,"  We investigate the continuum limit in $SO(N)$ Principal Chiral Models
concentrating in detail on the $SO(4)$ model and its covering group
SU(2)xSU(2). We compute the mass gap in terms of Lambda_MS and compare with the
prediction of Hollowood of $m/\L_\MS = 3.8716$. We use the finite-size scaling
method of L\""uscher et al. to deduce $m/\L_\MS$ and find that for the $SO(4)$
model the computed result of $m/\L_\MS \sim 14$ is in strong disagreement with
theory but that a similar analysis of the SU(2)xSU(2) yields excellent
agreement with theory. We conjecture that for $SO(4)$ violations of the
finite-size scaling assumption are severe forthe values of the correlation
length, $\xi$, investigated and that our attempts to extrapolate the results to
zero lattice spacing, although plausible, are erroneous. Conversely, the
finite-size scaling violations in the SU(2)xSU(2) simulation are consistent
with perturbation theory and the computed $beta-$function agrees well with the
3-loop approximation for couplings evaluated at scales $L/a \le \xi$, where
$\xi$ is measured in units of the lattice spacing, $a$. We conjecture that
lattice vortex artifacts in the $SO(4)$ model are responsible for delaying the
onset of the continuum limit until much larger correlation lengths are achieved
notwithstanding the apparent onset of scaling. Results for the mass spectrum
for SO(N) m, N=8,10 are given whose comparison with theory gives plausible
support to our ideas.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 17:46:10 GMT""}]","2009-10-28"
"hep-lat/9511005","Erich Focht","E. Focht, J. Jersak and J. Paul","Interplay of universality classes in a three-dimensional Yukawa model","24 pp. LaTeX 2e src, needs psfig.sty","Phys.Rev.D53:4616-4627,1996","10.1103/PhysRevD.53.4616","Juelich HLRZ 46/95","hep-lat",,"  We investigate numerically on the lattice the interplay of universality
classes of the three-dimensional Yukawa model with U(1) chiral symmetry, using
the Binder method of finite size scaling. At zero Yukawa coupling the scaling
related to the magnetic Wilson--Fisher fixed point is confirmed. At
sufficiently strong Yukawa coupling the dominance of the chiral fixed point
associated with the 3D Gross--Neveu model is observed for various values of the
coupling parameters, including infinite scalar selfcoupling. In both cases the
Binder method works consistently in a broad range of lattice sizes. However,
when the Yukawa coupling is decreased the finite size behavior gets complicated
and the Binder method gives inconsistent results for different lattice sizes.
This signals a cross-over between the universality classes of the two fixed
points.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 14:56:50 GMT""}]","2014-11-17"
"hep-ph/9511213","Jonathan Bagger","Jonathan A. Bagger","Destabilizing Divergences in Supergravity Theories","Invited Talk presented at SUSY-95, Ecole Polytechnique, Palaiseau,
  France, 15-19 May 1995",,,"JHU-TIPAC-95025","hep-ph hep-th",,"  We study the stability of the gauge hierarchy in hidden-sector supergravity
theories. We show that a destabilizing tadpole can appear if a theory has a
gauge- and global-symmetry singlet with renormalizable couplings to the visible
fields. We also find a quadratically divergent two-loop contribution to the
supersymmetric effective potential. This term illustrates the difficulty of
using the ""LHC mechanism"" to control quadratic divergences in theories with
Planck-scale vevs.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 18:29:29 GMT""}]","2007-05-23"
"hep-ph/9511214","Boris Kopeliovich","B. Kopeliovich (Heidelberg), J. Nemchik and E. Predazzi (Torino)","Hadronization in Nuclear Environment and Electroproduction of Leading
  Hadrons","5 pages, latex file and 4 uuencoded figures; Invited talk given by B.
  Kopeliovich at the ELFE Workshop, Cambridge, 22-29 July, 1995",,,,"hep-ph nucl-th",,"  Radiative energy loss of a highly virtual quark originating from a
deep-inelastic electron scattering plays a crucial role in production of
leading hadrons off nuclei. The density of energy loss for gluon radiation
turns out to be time- and energy--dependent in inclusive hadron production.
Important phenomena involved are Sudakov's suppression of no radiation of that
part of gluon spectrum, which is forbidden by energy conservation, and color
transparency, which suppresses the final state interaction of the produced
colorless wave packet. We model the soft part of hadronization, which usually
is supposed to be due to the color strings, using also the gluon radiation and
nicely reproduce the string parameters. Our parameter-free calculations provide
a good agreement with available data on $z_h$-dependence of the quark
fragmentation function in vacuum, as well as $\nu$-, $z_h$- and
$Q^2$-dependence of nuclear effects. We come to the conclusion that the energy
range of ELFE - HERMES is most sensitive to the underlying dynamics of
hadronization provided that nuclear targets are used.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 20:34:20 GMT""}]","2007-05-23"
"hep-ph/9511215","Boris Kopeliovich","J. Huefner (Heidelberg U.), B. Kopeliovich (MPI-K, Heidelberg) and J.
  Nemchik (INFN, Torino)","The Role of the Coherence Length in Exclusive Electroproduction of
  Vector Mesons off Nuclei","5 pages, latex file and 6 uuencoded figures; Invited talk given by B.
  Kopeliovich at the ELFE Workshop, Cambridge, 22-29 July, 1995",,,,"hep-ph nucl-th",,"  The variation of the coherence length $l_c=2\nu/(Q^2+m_V^2)$ in virtual
photoproduction of vector mesons off nuclei as a function of the photon energy
$\nu$ or virtuality $Q^2$ results in dramatic changes in the values of the
nuclear transparency. Color transparency effects can be easily mixed up with
the effects of the coherence length in incoherent photoproduction on nuclei.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 20:34:43 GMT""}]","2007-05-23"
"hep-ph/9511217","Basim Kamal","B. Kamal","QCD Corrections to Spin Dependent Drell-Yan and a Global Subtraction
  Scheme","18 pages, 8 figures in 1 postscript file","Phys.Rev. D53 (1996) 1142-1152","10.1103/PhysRevD.53.1142","McGill-95-48","hep-ph",,"  We present QCD corrections to the Drell-Yan process in the transversely
polarized, longitudinally polarized and unpolarized cases. The analytical
results are presented in a form valid for all $n$-dimensional regularization
schemes. A universal mass factorization scheme is presented in which the
results reduce to those of dimensional reduction. The connection between the
parton distributions and fragmentation functions of dimensional reduction and
those of dimensional regularization is elucidated in a simple manner. Numerical
results are presented for proton-proton collisions at energies relevant to RHIC
(Relativistic Heavy Ion Collider). The perturbative stability of the transverse
and longitudinal asymmetries is investigated.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 22:44:39 GMT""}]","2009-10-28"
"hep-ph/9511218","Ann Nelson","Ann E. Nelson","New Issues In Low Energy Dynamical Supersymmetry Breaking","8 pages, uses ptptex, invited talk given at the Yukawa International
  Seminar, August 1995","Prog.Theor.Phys.Suppl.123:365-372,1996","10.1143/PTPS.123.365","UW-PTH/95-17","hep-ph",,"  Comparatively simple models, with low energy structure similar to that of the
MSSM, but with far fewer arbitrary parameters, can be constructed in which
supersymmetry is dynamically broken at low energies. The phenomenology of these
models is somewhat different than that of the usual scenario with supersymmetry
broken in a hidden sector.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 23:43:06 GMT""}]","2011-04-15"
"hep-ph/9511219",,"E. Farhi, J. Goldstone, A. Lue and K. Rajagopal","Collision Induced Decays of Electroweak Solitons: Fermion Number
  Violation with Two and Few Initial Particles","64 pages, revtex, epsf, all figures included. Revised version.
  Section V replaced with a corrected version. Qualitative conclusions
  unchanged. Numerical value of one exponent has changed","Phys.Rev. D54 (1996) 5336-5360","10.1103/PhysRevD.54.5336","CTP-2483, HUTP-95-A039","hep-ph hep-th",,"  We consider a variant of the standard electroweak theory in which the Higgs
sector has been modified so that there is a classically stable weak scale
soliton. We explore fermion number violating processes which involve soliton
decay. A soliton can decay by tunnelling under the sphaleron barrier, or the
decay can be collision induced if the energy is sufficient for the barrier to
be traversed. We present a classical solution to the Minkowski space equations
of motion in which a soliton is kicked over the barrier by an incoming pulse.
This pulse corresponds to a quantum coherent state with mean number of $W$
quanta $\sim 2.5/g^2$ where $g$ is the $SU(2)$ gauge coupling constant. We also
give a self-contained treatment of the relationship between classical
solutions, including those in which solitons are destroyed, and tree-level
quantum amplitudes. Furthermore, we consider a limit in which we can reliably
estimate the amplitude for soliton decay induced by collision with a single
$W$-boson. This amplitude depends on $g$ like $\exp (-cg^{-1/3})$, and is
larger than that for spontaneous decay via tunnelling in the same limit.
Finally we show that in soliton decays, light $SU(2)_L$ doublet fermions are
anomalously produced. Thus we have a calculation of a two body process with
energy above the sphaleron barrier in which fermion number is violated.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 00:14:11 GMT""},{""version"":""v2"",""created"":""Fri, 26 Jul 1996 23:39:23 GMT""}]","2009-10-28"
"hep-ph/9511220","Robert Mann","J.R. Mureika and R.B. Mann","Mass or Gravitationally Induced Neutrino Oscillations? -- A Comparison
  of $\B$ Neutrino Flux Spectra in a Three--Generation Framework","14 pages, latex, epsf, 5 figures; to appear in Phys Lett B","Phys.Lett. B368 (1996) 112-118","10.1016/0370-2693(95)01489-6","WATPHYS-TH95/07","hep-ph gr-qc",,"  Both gravitational and mass induced neutrino oscillation mechanisms provide
possible resolutions to the Solar Neutrino Problem. The distinguishing feature
between the two mechanisms is their dependence on the neutrino energy. We
investigate the implications of this by computing the $\B$ neutrino spectrum as
determined from each mechanism using a realistic three--flavor evolution model.
We find that in the limit of small $\tetau$ mixing angle, the differences are
significant enough to observe in future solar neutrino experiments.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 01:01:33 GMT""}]","2009-10-28"
"hep-ph/9511221",,"Z.G. Berezhiani, A.D. Dolgov and R.N. Mohapatra","Asymmetric Inflationary Reheating and the Nature of Mirror Universe","13 pages, LATEX, no figures (slight textual changes, few references
  added)","Phys.Lett.B375:26-36,1996","10.1016/0370-2693(96)00219-5","INFN-FE 16-95, UMD-PP-96-15, IFIC/95-64, FTUV/95-61","hep-ph astro-ph",,"  The existence of a shadow world (or mirror universe) with matter and forces
identical to that of the visible world but interacting with the latter only via
gravity can be motivated by superstring theories as well as by recent attempts
to understand the nature of a sterile neutrino needed if all known neutrino
data are to be consistent with each other. A simple way to reconcile the
constraints of big bang nucleosynthesis in such a theory is to postulate that
the reheating temperature after inflation in the mirror universe is lower than
that in the visible one. We have constructed explicit models that realize this
proposal and have shown that the asymmetric reheating can be related to a
difference of the electroweak symmetry breaking scales in the two sectors,
which is needed for a solution of the neutrino puzzles in this picture.
Cosmological implications of the mirror matter are also discussed.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 00:03:09 GMT""},{""version"":""v2"",""created"":""Sun, 19 Nov 1995 12:19:16 GMT""}]","2008-11-26"
"hep-ph/9511222","Shoichi Sasaki Rcnp","Shoichi Sasaki(RCNP), Hideo Suganuma(RCNP) and Hiroshi Toki(RCNP)","Chiral Symmetry Restoration at Finite Temperature in the Dual
  Ginzburg-Landau Theory","Talk presented by S. Sasaki at 7th International Conference on 'the
  Structure of Baryons (Baryons '95)', Oct. 3 - 7, 1995, Santa Fe, New Mexico,
  4 pages, latex. (4 figures - available on request from
  ssasaki@miho.rcnp.osaka-u.ac.jp)",,,,"hep-ph",,"  We study the relation between QCD-monopole condensation and dynamical
chiral-symmetry breaking in the dual Ginzburg-Landau Theory, which realizes the
color confinement due to the dual Meissner effect. Solving the Schwinger-Dyson
equation at finite temperature numerically, we find the chiral symmetry is
restored at high temperature. The critical temperature of the chiral symmetry
restoration is strongly correlated with the string tension.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 05:21:02 GMT""},{""version"":""v2"",""created"":""Tue, 7 Nov 1995 02:50:29 GMT""}]","2009-09-25"
"hep-ph/9511223","Shoichi Midorikawa","M. Honda, T. Kajita, K. Kasahara, and S. Midorikawa","Atmospheric Neutrinos","8 pages, PTPTEX.sty, to appear in Proceedings of YKIS '95, From the
  Standard Model to Grand Unified Theories","Prog.Theor.Phys.Suppl.123:483-490,1996","10.1143/PTPS.123.483",,"hep-ph",,"  The atmospheric neutrino-flux is calculated over the wide energy range from 1
GeV to 3,000 GeV for the study of neutrino-physics using the data from
underground neutrino-detectors. The uncertainty of atmospheric neutrino-flux is
also discussed. A brief comment is made to interpret the anomaly in terms of
neutrino oscillations.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 07:16:24 GMT""},{""version"":""v2"",""created"":""Sat, 4 Nov 1995 04:18:11 GMT""},{""version"":""v3"",""created"":""Mon, 6 Nov 1995 08:44:49 GMT""}]","2011-04-15"
"hep-ph/9511224","Z. Hioki","Zenr\=o Hioki","Structure of Electroweak Radiative Corrections","16 pages, latex, 1 figure (drawn on latex), Lecture at the XIX
  International School on Theoretical Physics ``Particle Physics and
  Astrophysics in the Standard Model and Beyond"", Bystra, Poland, September
  19-26, 1995","Acta Phys.Polon.B27:1569-1579,1996",,"TOKUSHIMA 95-05","hep-ph",,"  Looking into the inside of radiative corrections is an interesting subject as
a deeper study of the standard electroweak theory after its remarkable success
in the precision analyses. I will discuss here a test of ``structure"" of the EW
radiative corrections to the weak-boson masses, and show that we can now
analyze several different parts separately.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 10:15:09 GMT""}]","2011-01-13"
"hep-ph/9511225","Patrick Peter","B. Carter","How About Vortons ?","10 pages, plain TeX. Contribution to the Session on (non baryonic)
  Dark Matter in Cosmology, XXXth Rencontres de Moriond, January, 1995",,,,"hep-ph",,"  It has been suggested that cosmological dark matter may include a population
of vortons (meaning small centrifugally stabilised cosmic string loops) as an
outcome of (non-standard) electroweak symmetry breaking. The implications for
this conjecture of recent theoretical progress on superconducting string theory
are discussed, particularly in relation to problems of stability. It is
tentatively concluded that if the underlying field theory provides a carrier
field with mass not too far below that of the relevant Higgs mass (which may be
a few hundred G.e.V.) electroweak string formation may conceivably produce
enough vortons (with an extended mass distribution peaking perhaps at several
hundred T.e.V.) to provide a marginally significant dark matter contribution.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 10:56:08 GMT""}]","2007-05-23"
"hep-ph/9511226","Roberto Ugoccioni","R. Ugoccioni (Lund Univ.), A. Giovannini (Torino Univ. and INFN,
  Torino) and S. Lupia (Max-Planck-Inst. Muenchen)","Clan Structure in Rapidity Intervals","Talk presented by R. Ugoccioni at XXV Multiparticle Dynamics, Stara
  Lesna, Slovakia, Sept. 1995. LaTeX with epsfig, 11 pages, 3 figures.
  Postscript file available through
  http://www.thep.lu.se/tf2/hep/article.hep.html",,,"LU TP 95-28, DFTT 65/95, MPI-PhT/95-106","hep-ph",,"  We present a cascading model for a single jet, inspired to QCD and to the
phenomenological analysis of multiplicity distributions. The model, describing
as it does a two dimensional evolution in virtuality and rapidity, allows
analytical predictions for clan analysis parameters to be made.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 14:18:52 GMT""}]","2007-05-23"
"hep-th/9511010",,"J.M. Roman and R. Tarrach (U. Barcelona)","The regulated four parameter one dimensional point interaction","17 pages, no figures, Tex file","J.Phys.A29:6073-6086,1996","10.1088/0305-4470/29/18/033","UB-ECM-PF-95/21","hep-th",,"  The general four parameter point interaction in one dimensional quantum
mechanics is regulated. It allows the exact solution, but not the perturbative
one. We conjecture that this is due to the interaction not being asymptotically
free. We then propose a different breakup of unperturbed theory and
interaction, which now is asymptotically free but leads to the same physics.
The corresponding regulated potential can be solved both exactly and
perturbatively, in agreement with the conjecture.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 16:21:02 GMT""}]","2008-11-26"
"hep-th/9511013",,"L. Frappat, A. Sciarrino, S. Sciuto, P. Sorba","Anyonic Realization of the Quantum Affine Lie Algebra U_q(A_N)","13p LaTeX Document (should be run twice)","Phys.Lett.B369:313-324,1996","10.1016/0370-2693(95)01518-3","ENSLAPP-AL-552/95, DSF-T-40/95, DFTT-60/95","hep-th math.QA q-alg",,"  We give a realization of quantum affine Lie algebra $U_q(\hat A_{N-1})$ in
terms of anyons defined on a two-dimensional lattice, the deformation parameter
$q$ being related to the statistical parameter $\nu$ of the anyons by $q =
e^{i\pi\nu}$. In the limit of the deformation parameter going to one we recover
the Feingold-Frenkel fermionic construction of undeformed affine Lie algebra.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 16:40:52 GMT""}]","2008-11-26"
"hep-th/9511014","Reinhard Oehme","Reinhard Oehme","Superconvergence, Confinement and Duality","Talk presented at the International Workshop on High Energy Physics,
  Novy Svit, Crimea, September 1995. To be published in the Proceedings. 15
  pages, Latex",,,"EFI 95-45, MPI Ph/95-102","hep-th hep-ph",,"  Arguments for the confinement of transverse gauge field excitations, which
are based upon superconvergence relations of the propagator, and upon the BRST
algebra, are reviewed and applied to supersymmetric models. They are shown to
be in agreement with recent results obtained as a consequence of holomorphy and
duality in certain $N=1$ SUSY models. The significance of the one loop
anomalous dimension of the gauge field in the Landau gauge is emphasized. For
the models considered, it is shown to be proportional, with negative relative
sign, to the one loop coefficient of the renormalization group function for the
{\it dual map} of the original theory.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 19:23:11 GMT""}]","2007-05-23"
"hep-th/9511015","Cornwall","John M. Cornwall and Bryce Yan","String Tension and Chern-Simons Fluctuations in the Vortex Vacuum of d=3
  Gauge Theory","Latex, 35 pages, 2 .eps figures in a uuencoded file","Phys.Rev. D53 (1996) 4638-4649","10.1103/PhysRevD.53.4638","UCLA/95/TEP/36","hep-th",,"  Based on a model of the d=3 SU(2) pure gauge theory vacuum as a
monopole-vortex condensate, we give a quantitative (if model-dependent)
estimate of the relation between the string tension and a gauge-invariant
measure of the Chern-Simons susceptibility, due to vortex linkages, in the
absence of a Chern-Simons term in the action. We also give relations among
these quantities and the vacuum energy and gauge-boson mass. Both the
susceptibility and the string tension come from the same physics: The topology
of linking, twisting, and writhing of closed vortex strings. The closed-vortex
string is described via a complex scalar field theory whose action has a
precisely-specified functional form, inferred from previous work giving the
exact form of a gauge-theory effective potential at low momentum. Applications
to high-T phenomena, including B+L anomalous violation, are mentioned.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 20:00:35 GMT""}]","2009-10-28"
"hep-th/9511016",,"Rulin Xiu (Lyman Lab of Physics, Harvard Univ. Cambridge, MA)","One-loop Correction and the Dilaton Runaway Problem","19 pages","Phys. Rev. D 55, 5075 (1997)","10.1103/PhysRevD.55.5075","HUTP-95/A040","hep-th",,"  We examine the one-loop vacuum structure of an effective theory of gaugino
condensation coupled to the dilaton for string models in which the gauge
coupling constant does not receive string threshold corrections. The new
ingredients in our treatment are that we take into account the one-loop
correction to the dilaton K\""ahler potential and we use a formulation which
includes a chiral field $H$ corresponding to the gaugino bilinear. We find
through explicit calculation that supersymmetry in the Yang-Mills sector is
broken by gaugino condensation.
  The dilaton and $H$ field have masses on the order of the gaugino
condensation scale independently of the dilaton VEV. Although the calculation
performed here is at best a model of the full gaugino condensation dynamics,
the result shows that the one-loop correction to the dilaton K\""ahler potential
as well as the detailed dynamics at the gaugino condensation scale may play an
important role in solving the dilaton runaway problem.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 16:05:31 GMT""}]","2016-08-24"
"hep-th/9511017",,"M. Billo' (SISSA)","R-symmetry of heterotic N=2 supergravities","11 pages, plain LaTex. To Appear in the Proceedings of the conference
  ``Gauge theories, applied supersymmetry and quantum gravity'', Leuven, July
  1995",,,,"hep-th",,"  The topological twist of N=2, D=4 matter-coupled supergravities requires a
suitable R-symmetry. This symmetry is realised in the effective supergravities
arising at tree level from certain heterotic compactifications. The set of
instanton equations (topological gauge-fixings) is thus obtained. The
conditions that R-symmetry should satisfy also when these theories are replaced
by their ``exact'' quantum-corrected counterparts are investigated.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 09:07:10 GMT""}]","2007-05-23"
"hep-th/9511019","Bernard de Wit","B. de Wit","Special geometry and perturbative analysis of $N=2$ heterotic vacua","LateX using wstwocl, 5 pp. To appear in Procs. of the EPS95
  Conference, Brussels",,,"THU-95/30","hep-th",,"  The requirement of target-space duality and the use of nonrenormalization
theorems lead to strong constraints on the perturbative prepotential that
encodes the low-energy effective action of $N=2$ heterotic superstring vacua.
The analysis is done in the context of special geometry, which governs the
couplings of the vector multiplets. The presentation is kept at an introductory
level.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 11:31:39 GMT""}]","2007-05-23"
"hep-th/9511020","Klaus Bering Larsen","K. Bering","From Hamiltonian to Lagrangian Sp(2) BRST Quantization","13 pages, LaTeX","Mod.Phys.Lett. A11 (1996) 499-513","10.1142/S0217732396000540","UUITP-18/95","hep-th",,"  We give a formal proof of the equivalence of Hamiltonian and Lagrangian BRST
quantization. This is done for a generic $Sp(2)$-symmetric theory using flat
(Darboux) coordinates. A new quantum master equation is derived in a
Hamiltonian setting which contains all the Hamiltonian fields and momenta of a
given theory.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 11:45:24 GMT""}]","2015-06-26"
"nucl-th/9511002",,"E.M. Henley, W-Y.P. Hwang, and L.S. Kisslinger","The Weak Parity-Violating Pion-Nucleon Coupling (Revised)","13 pages, uses LaTex; figures can be obtained from any of the
  authors: Henley@phys.washington.edu, Kisslinger@kelvin. phys.cmu.edu,
  Hwang@mitlns.mit.edu","Phys.Lett.B367:21-27,1996; Erratum-ibid.B440:449,1998","10.1016/0370-2693(95)01403-9",,"nucl-th",,"  We use QCD sum rules to obtain the weak parity-violating pion-nucleon
coupling constant $f_{\pi NN}$. We find that $f_{\pi NN}\approx 2\times
10^{-8}$, about an order of magnitude smaller than the ``best estimates'' based
on quark models. This result follows from the cancellation between perturbative
and nonperturbative QCD processes not found in quark models, but explicit in
the QCD sum rule method. Our result is consistent with the experimental upper
limit found from $^{18}$F parity-violating measurements.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 19:08:57 GMT""}]","2014-11-18"
"nucl-th/9511003","David Blaschke","D. Blaschke, Yu.L. Kalinovsky, G. Roepke, S. Schmidt, M.K. Volkov","1/N_c- expansion of the quark condensate at finite temperature","19 pages, REVTeX, 5 figures","Phys.Rev.C53:2394-2400,1996","10.1103/PhysRevC.53.2394","MPG-VT-UR 52/95","nucl-th",,"  Previously the quark and meson properties in a many quark system at finite
temperature have been studied within effective QCD approaches in the Hartree
approximation. In the present paper we consider the influence of the mesonic
correlations on the quark self-energy and on the quark propagator within a
systematic $1/N_c$- expansion. Using a general separable ansatz for the
nonlocal interaction, we derive a selfconsistent equation for the $1/N_c$
correction to the quark propagator. For a separable model with cut-off
formfactor, we obtain a decrease of the condensate of the order of 20\% at zero
temperature. A lowering the critical temperature for the onset of the chiral
restoration transition due to the inclusion of mesonic correlations is obtained
what seems to be closer to the results from lattice calculations.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 14:55:18 GMT""},{""version"":""v2"",""created"":""Sun, 21 Jan 1996 23:04:49 GMT""}]","2008-11-26"
"quant-ph/9511003","Isaac Chuang","I. L. Chuang and R. Laflamme","Quantum Error Correction by Coding","11 pages RevTeX + 2 figures in postscript; Please see
  http://feynman.stanford.edu/qcomp/ for figures.",,,,"quant-ph",,"  Recent progress in quantum cryptography and quantum computers has given hope
to their imminent practical realization. An essential element at the heart of
the application of these quantum systems is a quantum error correction scheme.
We propose a new technique based on the use of coding in order to detect and
correct errors due to imperfect transmission lines in quantum cryptography or
memories in quantum computers. We give a particular example of how to detect a
decohered qubit in order to transmit or preserve with high fidelity the
original qubit.
","[{""version"":""v1"",""created"":""Fri, 3 Nov 1995 09:45:25 GMT""}]","2007-05-23"
"solv-int/9510011","Basile Grammaticos","A. Ramani and B. Grammaticos","Discrete Painleve equations: coalescences, limits and degeneracies","PlainTeX",,"10.1016/0378-4371(95)00439-4",,"solv-int nlin.SI",,"  Starting from the standard form of the five discrete Painlev\'e equations we
show how one can obtain (through appropriate limits) a host of new equations
which are also the discrete analogues of the continuous Painlev\'e equations. A
particularly interesting technique is the one based on the assumption that some
simplification takes place in the autonomous form of the mapping following
which the deautonomization leads to a new $n$-dependence and introduces more
new discrete Painlev\'e equations.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 16:46:04 GMT""}]","2015-06-26"
"solv-int/9510012","Wen-Xiu Ma","Wen-Xiu Ma, Benno Fuchssteiner and Walter Oevel (Paderborn University,
  Germany)","A three-by-three matrix spectral problem for AKNS hierarchy and its
  binary Nonlinearization","21pages, in Latex",,"10.1016/S0378-4371(96)00225-7",,"solv-int hep-th nlin.SI",,"  A three-by-three matrix spectral problem for AKNS soliton hierarchy is
proposed and the corresponding Bargmann symmetry constraint involved in Lax
pairs and adjoint Lax pairs is discussed. The resulting nonlinearized Lax
systems possess classical Hamiltonian structures, in which the nonlinearized
spatial system is intimately related to stationary AKNS flows. These
nonlinearized Lax systems also lead to a sort of involutive solutions to each
AKNS soliton equation.
","[{""version"":""v1"",""created"":""Thu, 2 Nov 1995 22:35:37 GMT""}]","2015-06-26"
