"alg-geom/9511007","Victor Ginzburg","Victor Ginzburg","Perverse sheaves on a Loop group and Langlands' duality","89 pages, several LaTeX errors fixed",,,,"alg-geom hep-th math.AG math.QA q-alg",,"  An intrinsic construction of the tensor category of finite dimensional
representations of the Langlands dual group of G in terms of a tensor category
of perverse sheaves on the loop group, LG, is given. The construction is
applied to the study of the topology of the affine Grassmannian of G and to
establishing a Langlands type correspondence for ""automorphic"" sheaves on the
moduli space of G-bundles.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 23:09:20 GMT""},{""version"":""v2"",""created"":""Mon, 27 Nov 1995 17:33:58 GMT""},{""version"":""v3"",""created"":""Fri, 5 Apr 1996 13:20:31 GMT""},{""version"":""v4"",""created"":""Mon, 20 Nov 2000 00:19:31 GMT""}]","2008-02-03"
"hep-th/9511092","J. David Vergara","J. Antonio Garcia, J. David Vergara and Luis F. Urrutia","BRST-BFV quantization and the Schwinger action principle","28 pages, LaTeX","Int.J.Mod.Phys. A11 (1996) 2689-2706","10.1142/S0217751X96001309","ICN-UNAM-95-32","hep-th",,"  We introduce an operator version of the BRST-BFV effective action for
arbitrary systems with first-class constraints. Using the Schwinger action
principle we calculate the propagators corresponding to: (i) the parametrized
non-relativistic free particle, (ii) the relativistic free particle and (iii)
the spining relativistic free particle. Our calculation correctly imposes the
BRST-invariance at the end-points. The precise use of the additional boundary
terms required in the description of fermionic variables is also incorporated.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 00:21:03 GMT""}]","2015-06-26"
"hep-th/9511093","Alon Faraggi","Alon E. Faraggi","On the origin of three generation free fermionic superstring models","12 pages, phyzzx.tex, tables.tex",,,"UFIFT-HEP-95-29","hep-th",,"  The three generation superstring models in the free fermionic models have had
remarkable success in describing the real--world. The most explored models use
the NAHE set to obtain three generations and to separate the hidden and
observable sectors. It is of course well known that the full NAHE set is not
required in order to construct three generation free fermionic models. I argue
that all the semi--realistic free fermionic models that have been constructed
to date correspond to $Z_2\times Z_2$ orbifolds. Thus, the successes of the
semi--realistic free fermionic models, if taken seriously, suggest that the
true string vacuum is a $Z_2\times Z_2$ orbifold with nontrivial background
fields and quantized Wilson lines.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 05:16:07 GMT""}]","2007-05-23"
"hep-th/9511094","Kwek Leong Chuan","Belal E. Baaquie","Maximum temperature for an Ideal Gas of $\hat U(1)$ Kac-Moody Fermions","Needs subeqnarray.sty; To be published in Phys. Rev. D, Dec 15, 1995.
  Some typographical errors have been corrected in the revised version","Phys.Rev. D53 (1996) 879-881","10.1103/PhysRevD.53.879",,"hep-th",,"  A lagrangian for gauge fields coupled to fermions with the Kac-Moody group as
its gauge group yields, for the pure fermions sector, an ideal gas of Kac-Moody
fermions. The canonical partition function for the $\hat U(1)$ case is shown to
have a maximum temperature $kT_{M} = |\lambda| /\pi$, where $\lambda $ is the
coupling of the super charge operator $G_0 $ to the fermions. This result is
similar to the case of strings but unlike strings the result is obtained from a
well-defined lagrangian.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 08:03:45 GMT""},{""version"":""v2"",""created"":""Thu, 23 Nov 1995 03:35:35 GMT""}]","2009-10-28"
"hep-th/9511095",,"C. Bizdadea and S. O. Saliu","Extravariables in the BRST Quantization of Second-Class Constrained
  Systems; Existence Theorems","LaTeX, 37 pages; Correctly formatted version; The authors may be
  reached at e-mail address: odile@udjmath1.sfos.ro","Nucl.Phys. B469 (1996) 302-332","10.1016/0550-3213(96)00153-8","Preprint Univ. Craiova (Romania) UC-TP-8/95","hep-th",,"  In this paper we show how the BRST quantization can be applied to systems
possessing only second-class constraints through their conversion to some
first-class ones starting with our method exposed in [Nucl.Phys. B456
(1995)473]. Thus, it is proved that i) for a certain class of second-class
systems there exists a standard coupling between the variables of the original
phase-space and some extravariables such that we can transform the original
system into a one-parameter family of first-class systems; ii) the BRST
quantization of this family in a standard gauge leads to the same path integral
as that of the original system. The analysis is accomplished in both reducible
and irreducible cases. In the same time, there is obtained the Lagrangian
action of the first-class family and its provenience is clarified. In this
context, the Wess-Zumino action is also derived. The results from the
theoretical part of the paper are exemplified in detail for the massive
Yang-Mills theory and for the massive abelian three-form gauge fields.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 07:51:37 GMT""},{""version"":""v2"",""created"":""Wed, 15 Nov 1995 08:05:42 GMT""}]","2009-10-28"
"hep-th/9511096","Euro Spallucci","S.Ansoldi, A.Aurilia, E.Spallucci","Membrane Vacuum as a Type II Superconductor","14 pages, no figures, LaTeX; to be Published on In.J.Mod.Phys.B
  Umezawa Memorial Issue","Int.J.Mod.Phys. B10 (1996) 1695-1705","10.1142/S0217979296000775","UTS-DFT-95-10","hep-th",,"  We study a functional field theory of membranes coupled to a rank--three
tensor gauge potential. We show that gauge field radiative corrections lead to
membrane condensation which turns the gauge field into a {\it massive spin--0
field}. This is the Coleman--Weinberg mechanism for {\it membranes}. An analogy
is also drawn with a type--II superconductor. The ground state of the system
consists of a two--phase medium in which the superconducting background
condensate is ``pierced'' by four dimensional domains, or ``bags'', of non
superconducting vacuum. Bags are bounded by membranes whose physical thickness
is of the order of the inverse mass acquired by the gauge field.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 09:35:11 GMT""}]","2015-06-26"
"hep-th/9511099","Alexander Moroz","Alexander Moroz","The Aharonov-Casher Theorem and the Axial Anomaly in the Aharonov-Bohm
  Potential","13 pages, 1 figure included, compressed postscript file","Phys.Lett. B358 (1995) 305","10.1016/0370-2693(95)01043-P",,"hep-th hep-ph",,"  The spectral properties of the Dirac Hamiltonian in the the Aharonov-Bohm
potential are discussed. By using the Krein-Friedel formula, the density of
states (DOS) for different self-adjoint extensions is calculated. As in the
nonrelativistic case, whenever a bound state is present in the spectrum it is
always accompanied by a (anti)resonance at the energy. The Aharonov-Casher
theorem must be corrected for singular field configurations. There are no zero
(threshold) modes in the Aharonov-Bohm potential. For our choice of the 2d
Dirac Hamiltonian, the phase-shift flip is shown to occur at only positive
energies. This flip gives rise to a surplus of the DOS at the lower threshold
coming entirely from the continuous part of the spectrum. The results are
applied to several physical quantities: the total energy, induced
fermion-number, and the axial anomaly.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 10:40:07 GMT""}]","2009-10-28"
"hep-th/9511100",,"P.A. Marchetti","Bosonization and Duality in Condensed Matter Systems","TeX, 14 pg",,,"DFPD 95/TH/61","hep-th cond-mat",,"  We show that abelian bosonization of 1+1 dimensional fermion systems can be
interpreted as duality transformation and, as a conseguence, it can be
generalized to arbitrary dimensions in terms of gauge forms of rank $d-1$,
where $d$ is the dimension of the space. This permit to treat condensed matter
systems in $d>1$ as gauge theories. Furthermore we show that in the ``scaling""
limit the bosonized action is quadratic in a wide class of condensed matter
systems. (Talk given at ``Common trends in Condensed Matter and High Energy
Physics"", September 3--10, 1995 -- Chia).
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 15:14:41 GMT""}]","2007-05-23"
"nucl-th/9511016","Michael Frank","M.R. Frank and T. Meissner","Low-energy QCD: Chiral coefficients and the quark-quark interaction","28 pages, Latex, 6 postscript figures available on request to
  frank@phys.washington.edu","Phys.Rev.C53:2410-2421,1996","10.1103/PhysRevC.53.2410","DOE/ER/40561-235-INT95-00-108","nucl-th hep-ph",,"  A detailed investigation of the low-energy chiral expansion is presented
within a model truncation of QCD. The truncation allows for a phenomenological
description of the quark-quark interaction in a framework which maintains the
global symmetries of QCD and permits a $1/N_c$ expansion. The model dependence
of the chiral coefficients is tested for several forms of the quark-quark
interaction by varying the form of the running coupling, $\alpha (q^2)$, in the
infrared region. The pattern in the coefficients that arises at tree level is
consistent with large $N_c$ QCD, and is related to the model truncation.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 22:07:25 GMT""},{""version"":""v2"",""created"":""Tue, 14 Nov 1995 17:53:30 GMT""}]","2008-11-26"
"nucl-th/9511017","Silvano Simula","S. Simula","Nucleon-Nucleon Correlations and Multiquark Cluster Effects in Deep
  Inelastic Electron Scattering off Few-Nucleon Systems at $x>1$","5 pages as .uu encoded postscript file","Few Body Syst.Suppl.9:466-470,1995",,,"nucl-th hep-ph",,"  Inclusive $A(e,e')X$ and semi-inclusive $A(e,e'N)X$ deep inelastic electron
scattering processes off few-nucleon systems are investigated at $x > 1$,
showing some of the relevant features of the cross section which are sensitive
to the effects arising from nucleon-nucleon correlations and possible exotic
multiquark cluster configurations at short internucleon separations.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 08:16:45 GMT""}]","2011-04-15"
"q-alg/9511006","Alexei","A.P.Isaev","Twisted Yang-Baxter equations for linear quantum (super)groups","11 pages, LaTeX","J.Phys.A29:6903-6910,1996","10.1088/0305-4470/29/21/021","Univ. of Pisa preprint IFUP-TH 62/95","q-alg math.QA",,"  We consider the modified (or twisted) Yang-Baxter equations for the
$SL_{q}(N)$ groups and $SL_{q}(N|M)$ supergroups. The general solutions for
these equations are presented in the case of the linear quantum (super)groups.
The introduction of spectral parameters in the twisted Yang-Baxter equation and
its solutions are also discussed.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 19:24:46 GMT""}]","2008-11-26"
"q-alg/9511007","Leonid I. Korogodsky","Leonid L. Vaksman","Intertwining Operators And Quantum Homogeneous Spaces","20 pages. The general subject is quantum groups. The paper is written
  in LaTeX",,"10.1007/BF02070867","EFI-95-11","q-alg math.QA",,"  In the present paper the algebras of functions on quantum homogeneous spaces
are studied. The author introduces the algebras of kernels of intertwining
integral operators and constructs quantum analogues of the Poisson and Radon
transforms for some quantum homogeneous spaces. Some applications and the
relation to $q$-special functions are discussed.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 1995 22:45:33 GMT""}]","2009-10-28"
"q-alg/9511008","A. Kazarnovski-Krol","A.Kazarnovski-Krol","Cycle for integration for zonal spherical function of type $A_n$","31 pages, Ams-Tex, including 12 Postscript figures",,,,"q-alg math.QA",,"  Integral of a certain multivalued form over cycle $\pmb\Delta$ provides zonal
spherical function of type $A_n$. This paper is devoted to quantum group
analysis and verification of monodromy properties of the distinguished cycle
$\pmb\Delta$. Zonal spherical function is a particular conformal block of
$WA_n$-algebra.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 04:31:47 GMT""},{""version"":""v2"",""created"":""Wed, 17 Apr 1996 22:46:33 GMT""},{""version"":""v3"",""created"":""Thu, 6 Mar 1997 00:33:30 GMT""}]","2008-02-03"
"quant-ph/9511015","Hiro","Masahiro Morikawa","Spontaneous dissipation from generalized radiative corrections","10 pages",,,"OCHA-PP-53","quant-ph",,"  We derive dissipative effective Hamiltonian for the unstable Lee model
without any ad hoc coarse graining procedure. Generalized radiative
corrections, utilizing the in-in formalism of quantum field theory,
automatically yield irreversibility as well as the decay of quantum coherence.
Especially we do not need to extend the ordinary Hilbert space for describing
the intrinsically dissipative system if we use the generalized in-in formalism
of quantum field theory.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 07:54:49 GMT""}]","2007-05-23"
"quant-ph/9511016","D. Duerr","D. D\""urr (Munich), S. Goldstein (Rutgers), N. Zanghi (Genova)","Bohmian Mechanics as the Foundation of Quantum Mechanics","35 pages, latex, no figures, Contribution to ``Bohmian Mechanics and
  Quantum Theory: An Appraisal,'' edited by J.T. Cushing, A. Fine, S.
  Goldstein, Kluwer Academic Press, to appear",,,,"quant-ph",,"  In order to arrive at Bohmian mechanics from standard nonrelativistic quantum
mechanics one need do almost nothing! One need only complete the usual quantum
description in what is really the most obvious way: by simply including the
positions of the particles of a quantum system as part of the state description
of that system, allowing these positions to evolve in the most natural way. The
entire quantum formalism, including the uncertainty principle and quantum
randomness, emerges from an analysis of this evolution. This can be expressed
succinctly---though in fact not succinctly enough---by declaring that the
essential innovation of Bohmian mechanics is the insight that {\it particles
move }!
","[{""version"":""v1"",""created"":""Tue, 14 Nov 1995 11:18:31 GMT""}]","2007-05-23"
