"alg-geom/9511011","Pavel Katsylo","Pavel Katsylo","The 2-dimensional jacobian conjecture via Klein's program","AMSTeX",,,,"alg-geom math.AG",,"  We investigate the 2-dimensional jacobian conjecture via Klein's program.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 09:42:41 GMT""}]","2008-02-03"
"hep-ph/9511378","Mirjam Cvetic","Mirjam Cvetic and Paul Langacker (University of Pennsylvania)","Implications of Abelian Extended Gauge Structures From String Models","20 Pages, uses RevTeX (additional references and comments added)","Phys.Rev.D54:3570-3579,1996","10.1103/PhysRevD.54.3570","IASSNS-HEP-95/90, UPR-0684T, NSF-ITP-95-147","hep-ph hep-th",,"  Within a class of superstring vacua which have an additional non-anomalous
$U(1)'$ gauge factor, we address the scale of the $U(1)'$ symmetry breaking and
constraints on the exotic particle content and their masses. We also show that
an extra gauge $U(1)'$ provides a new mechanism for generating a naturally
small effective $\mu$ term. In general, existing models are not consistent with
all phenomenological constraints; however, they do provide a testing ground to
address the above issues, yielding a set of concrete scenarios. Under the
assumptions that the spontaneous $U(1)'$ breaking takes place in the observable
sector and that the supersymmetry breaking scalar mass square terms are
positive at the string scale, the breaking of $U(1)'$ symmetry is radiative. It
can take place when the appropriate Yukawa couplings of exotic particles are of
order one, which occurs for $Z_2\times Z_2$ fermionic orbifold constructions at
symmetric points of moduli space. The $Z'$ mass is either of ${\cal O}(M_Z)$,
when the symmetry breaking is due to a single standard model singlet, or is of
a scale intermediate between the string and electro-weak scales, determined by
the radiative corrections (or by competing non-renormalizable operators), when
the breaking is due to two or more mirror-like singlets. In the former case,
the $M_{Z'}/M_Z$ hierarchy achievable without excessive fine tuning is within
future experimental reach.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 02:45:38 GMT""},{""version"":""v2"",""created"":""Tue, 28 Nov 1995 23:28:18 GMT""}]","2009-09-17"
"hep-ph/9511379","K. J. Barnes","K.J.Barnes, O.J.Senior, N.D.Virgo","Reconstructed CKM Matrices","15 pages,LaTeX,no macros","J.Phys.A29:4957-4966,1996","10.1088/0305-4470/29/16/017","SHEP 95-33","hep-ph",,"  We construct quark mixing matrices within a group theoretic framework which
is easily applicable to any number of generations. Familiar cases are retrieved
and related, and it is hoped that our viewpoint may have advantages both
phenomenologically and for constructing underlying mass matrix schemes.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 17:03:48 GMT""}]","2019-08-17"
"hep-ph/9511380","Carlos R. Ordonez","C. Ordonez, L. Ray and U. van Kolck","The Two-Nucleon Potential from Chiral Lagrangians","Postscript file; figures available by request","Phys.Rev.C53:2086-2105,1996","10.1103/PhysRevC.53.2086","UTTG-15-95","hep-ph nucl-th",,"  Chiral symmetry is consistently implemented in the two-nucleon problem at
low-energy through the general effective chiral lagrangian. The potential is
obtained up to a certain order in chiral perturbation theory both in momentum
and coordinate space. Results of a fit to scattering phase shifts and bound
state data are presented, where satisfactory agreement is found for laboratory
energies up to about 100 Mev.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 20:08:08 GMT""},{""version"":""v2"",""created"":""Tue, 21 Nov 1995 20:12:48 GMT""},{""version"":""v3"",""created"":""Wed, 22 Nov 1995 20:20:22 GMT""}]","2008-11-26"
"hep-ph/9511381","Kazuya Kumekawa","H.Fujisaki, K.Kumekawa, M.Yamaguchi, M.Yoshimura","Particle Production and Gravitino Abundance after Inflation","23 pages + 13 figures","Phys.Rev.D54:2494-2503,1996","10.1103/PhysRevD.54.2494","TU/95/493, TUM-HEP-229/95, SFB-375/24","hep-ph astro-ph",,"  Thermal history after inflation is studied in a chaotic inflation model with
supersymmetric couplings of the inflaton to matter fields. Time evolution
equation is solved in a formalism that incorporates both the back reaction of
particle production and the cosmological expansion. The effect of the
parametric resonance gives rise to a rapid initial phase of the inflaton decay
followed by a slow stage of the Born term decay. Thermalization takes place
immediately after the first explosive stage for a medium strength of the
coupling among created particles. As an application we calculate time evolution
of the gravitino abundance that is produced by ordinary particles directly
created from the inflaton decay, which typically results in much more enhanced
yield than what a naive estimate based on the Born term would suggest.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 09:27:33 GMT""}]","2014-11-17"
"hep-ph/9511382","Goloskokov Sergei Vitalievich","S.V.Goloskokov","Structure of Pomeron Couplings and Single-Spin Asymmetry in Diffractive
  $Q \bar Q$ Production","7 pages, latex, 5 figures in compressed uufile","Phys.Rev.D53:5995-5999,1996","10.1103/PhysRevD.53.5995","IFUP-TH 66/95","hep-ph",,"  Transverse single spin asymmetry in polarized diffractive $Q \bar Q$
production is calculated. It is shown that this asymmetry depends strongly on
the spin structure of the pomeron coupling, which permits one to study the
pomeron couplings properties in future polarized experiments.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 13:35:02 GMT""}]","2010-01-06"
"hep-ph/9511383","Marcello Lissia","Suzhou Huang and Marcello Lissia","The Dimensionally Reduced Effective Theory for Quarks in High
  Temperature QCD","29 pages, RevTeX 3.0, plus 7 figures (postscript). This is the
  revised version that will appear in Nuclear Physics B; modifications to the
  original version leave results unchanged and mostly better clarify
  motivations and strategy","Nucl.Phys.B480:623-654,1996","10.1016/S0550-3213(96)00463-4","MIT-CTP#2361 and INFNCA-TH-94-25","hep-ph hep-lat nucl-th",,"  We show that QCD undergoes dimensional reduction at high temperatures also in
the quark sector. In the kinematic region relevant to screening physics, where
the lowest Matsubara modes are close to their ``mass-shells'', all static
Green's functions involving both quarks and gluons, are reproducible in the
high-$T$ limit by a renormalizable three dimensional Lagrangian up to order
$\tilde{g}^2(T)\sim 1/ln T$. This three dimensional theory only contains
explicitly the lightest bosonic and fermionic Matsubara modes, while the
heavier modes correct the tree-level couplings and generate extra local
vertices. We also find that the quark degrees of freedom that have been
retained in the reduced theory are nonrelativistic in the high-$T$ limit. We
then improve our result to order $\tilde{g}^4(T)$ through an explicit
nonrelativistic expansion, in the spirit of the heavy quark effective theory.
This effective theory is relevant for studying QCD screening phenomena with
observables made from quarks, e.g. mesonic and baryonic currents, already at
temperatures not much higher than the chiral transition temperature $T_c$.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 15:24:20 GMT""},{""version"":""v2"",""created"":""Mon, 23 Sep 1996 14:49:39 GMT""}]","2011-01-04"
"hep-ph/9511384","Gunther Piller","N.N. Nikolaev, G. Piller and B.G. Zakharov","Inclusive Heavy-Flavor Production from Nuclei","14 pages with 3 figures. To appear in Z. Phys. A","Z.Phys. A354 (1996) 99-105","10.1007/s002180050017","TUM/T39-95-17, KFA-IKP(TH)-1995-20","hep-ph nucl-th",,"  We describe a light-cone wave function formulation for hadroproduction of
heavy-flavors at high energies. At moderate values of $x_F$ heavy-flavor
production can be viewed as a diffractive excitation of heavy quark-antiquark
Fock states, present in the interacting gluon from the projectile. The approach
developed here is well suited to address coherence effects in heavy-quark
production from nuclei at small values of $x_{t} \lsim 0.1\cdot A^{-1/3}$.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 15:03:04 GMT""}]","2009-10-28"
"hep-th/9511137","Mikhail Plyushchay","Mikhail S. Plyushchay","Anyons as spin particles: from classical mechanics to field theory","9 pages, LaTeX; Talk given at the Conference ``Theories of
  Fundamental Interactions"", Maynooth, Ireland, May 1995; to be published in
  ``Topics in Quantum Field Theory"" (World Scientific, Ed. T. Thcrakian, 1995)",,,,"hep-th",,"  (2+1)-dimensional relativistic fractional spin particles are considered
within the framework of the group-theoretical approach to anyons starting from
the level of classical mechanics and concluding by the construction of the
minimal set of linear differential field equations.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 01:29:41 GMT""}]","2007-05-23"
"hep-th/9511138","Gerald Dunne","Carl M. Bender (Washington U.) and Gerald V. Dunne (U. Connecticut)","Quasi-Exactly Solvable Systems and Orthogonal Polynomials","9pp, RevTeX, no figures; to appear in J. Math. Phys","J.Math.Phys. 37 (1996) 6-11","10.1063/1.531373","WU-HEP-95-12","hep-th",,"  This paper shows that there is a correspondence between quasi-exactly
solvable models in quantum mechanics and sets of orthogonal polynomials $\{
P_n\}$. The quantum-mechanical wave function is the generating function for the
$P_n (E)$, which are polynomials in the energy $E$. The condition of
quasi-exact solvability is reflected in the vanishing of the norm of all
polynomials whose index $n$ exceeds a critical value $J$. The zeros of the
critical polynomial $P_J(E)$ are the quasi-exact energy eigenvalues of the
system.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 19:26:03 GMT""}]","2009-10-28"
"hep-th/9511139","Tobias Hurth","Tobias Hurth","Nonabelian Gauge Symmetry in the Causal Epstein-Glaser Approach","32 pages, latex-file, no figures","Int.J.Mod.Phys. A12 (1997) 4461-4476","10.1142/S0217751X97002437","Zuerich University Preprint ZU-TH 20/95","hep-th hep-ph",,"  We present some generalizations of a recently proposed alternative approach
to nonabelian gauge theories based on the causal Epstein-Glaser method in
perturbative quantum field theory. Nonabelian gauge invariance is defined by a
simple commutator relation in every order of perturbation theory separately
using only the linear (abelian) BRS-transformations of the asymptotic fields.
This condition is sufficient for the unitarity of the S-matrix in the physical
subspace. We derive the most general specific coupling compatible with the
conditions of nonabelian gauge invariance and normalizability. We explicitly
show that the quadrilinear terms, the four-gluon-coupling and the
four-ghost-coupling, are generated by our linear condition of nonabelian gauge
invariance. Moreover, we work out the required generalizations for linear
gauges.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 23:59:01 GMT""}]","2009-10-28"
"hep-th/9511140","George Leibbrandt","Brian J. Hand (Guelph) and George Leibbrandt (CERN, Geneva)","The Wilson Loop in Yang-Mills Theory in the General Axial Gauge","12 pages, 2 figures",,,"CERN-TH.227-95","hep-th",,"  We test the unified-gauge formalism by computing a Wilson loop in Yang-Mills
theory to one-loop order. The unified-gauge formalism is characterized by the
abritrary, but fixed, four-vector $N_\mu$, which collectively represents the
light-cone gauge $(N^2 = 0)$, the temporal gauge $(N^2 > 0)$, the pure axial
gauge $(N^2 < 0)$ and the planar gauge $(N^2 < 0)$. A novel feature of the
calculation is the use of distinct sets of vectors, $\{ n_{\mu}, n_{\mu}^{\ast}
\}$ and $\{N_{\mu}, N_{\mu}^{\ast}\}$, for the path and for the gauge-fixing
constraint, respectively. The answer for the Wilson loop is independent of
$N_{\mu}$, and agrees numerically with the result obtained in the Feymman
gauge.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 19:54:18 GMT""}]","2007-05-23"
"hep-th/9511141","Jan De Boer","Jan de Boer, Bas Peeters, Kostas Skenderis, and Peter van
  Nieuwenhuizen","The equivalence between the operator approach and the path integral
  approach for quantum mechanical non-linear sigma models","17 pages, LaTeX, with one figure (needs psfig). To appear in
  proceedings of workshop on gauge theories, applied supersymmetry and quantum
  gravity, Leuven, Belgium, July 10-14, 1995, and strings'95, USC, March 13-18,
  1995",,,"ITP-SB-95-49, QMW-PH-95-40","hep-th",,"  We give background material and some details of calculations for two recent
papers [1,2] where we derived a path integral representation of the transition
element for supersymmetric and nonsupersymmetric nonlinear sigma models in one
dimension (quantum mechanics). Our approach starts from a Hamiltonian
$H(\hat{x}, \hat{p}, \hat{\psi}, \hat{\psi}^\dagger)$ with a priori operator
ordering. By inserting a finite number of complete sets of $x$ eigenstates, $p$
eigenstates and fermionic coherent states, we obtain the discretized path
integral and the discretized propagators and vertices in closed form. Taking
the continuum limit we read off the Feynman rules and measure of the continuum
theory which differ from those often assumed. In particular, mode
regularization of the continuum theory is shown in an example to give incorrect
results. As a consequence of time-slicing, the action and Feynman rules,
although without any ambiguities, are necessarily noncovariant, but the final
results are covariant if $\hat{H}$ is covariant. All our derivations are exact.
Two loop calculations confirm our results.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 21:16:02 GMT""}]","2007-05-23"
"hep-th/9511143","Henric Rhedin","Henric Rhedin","Gauged supersymmetric WZNW model using the BRST approach","Plain Latex, minor changes","Phys.Lett. B373 (1996) 76-80","10.1016/0370-2693(96)00142-6","G\""oteborg ITP 95-23","hep-th",,"  We consider the supersymmetric WZNW model gauged in a manifestly
supersymmetric way. We find the BRST charge and the necessary condition for
nilpotency. In the BRST framework the model proves to be a Lagrangian
formulation of the supersymmetric coset construction, known as the N=1
Kazama-Suzuki coset construction.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 10:17:29 GMT""},{""version"":""v2"",""created"":""Wed, 22 Nov 1995 08:43:53 GMT""}]","2009-10-28"
"hep-th/9511144","Manoelito Martins de Souza","Manoelito M. de Souza","Electrodynamics Classical Inconsistencies","15 pages, Revtex, 1 ps figure",,,"UFES-DF-MMS-95/3","hep-th gr-qc hep-ph",,"  The problems of Classical Electrodynamics with the electron equation of
motion and with non-integrable singularity of its self-field stress tensor are
well known. They are consequences, we show, of neglecting terms that are null
off the charge world line but that gives a non null contribution on its world
line. The self-field stress tensor of a point classical electron is integrable,
there is no causality violation and no conflict with energy conservation in its
equation of motion, and there is no need of any kind of renormalization nor of
any change in the Maxwell's theory for this.
  (This is part of the paper hep-th/9510160, stripped , for simplicity, of its
non-Minkowskian geometrization of causality and of its discussion about the
physical meaning of the Maxwell-Faraday concept of field).
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 13:37:53 GMT""},{""version"":""v2"",""created"":""Thu, 23 Nov 1995 11:48:23 GMT""}]","2016-09-06"
"hep-th/9511145","Henneaux M.","Marc Henneaux","Uniqueness of the Freedman-Townsend Interaction Vertex For Two-Form
  Gauge Fields","12 pages Latex file","Phys.Lett. B368 (1996) 83-88","10.1016/0370-2693(95)01506-X",,"hep-th",,"  Let $B_{\mu \nu }^a$ ($a=1,...,N$) be a system of $N$ free two-form gauge
fields, with field strengths $H_{\mu \nu \rho }^a = 3 \partial _{[\mu }B_{\nu
\rho ]}^a$ and free action $S_0$ equal to $(-1/12)\int d^nx\ g_{ab}H_{\mu \nu
\rho }^aH^{b\mu \nu \rho }$ ($n\geq 4$). It is shown that in $n>4$ dimensions,
the only consistent local interactions that can be added to the free action are
given by functions of the field strength components and their derivatives (and
the Chern-Simons forms in $5$ mod $3$ dimensions). These interactions do not
modify the gauge invariance $B_{\mu \nu }^a\rightarrow B_{\mu \nu }^a+\partial
_{[\mu }\Lambda _{\nu ]}$ of the free theory. By contrast, there exist in $n=4$
dimensions consistent interactions that deform the gauge symmetry of the free
theory in a non trivial way. These consistent interactions are uniquely given
by the well-known Freedman-Townsend vertex. The method of proof uses the
cohomological techniques developed recently in the Yang-Mills context to
establish theorems on the structure of renormalized gauge-invariant operators.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 15:31:11 GMT""}]","2009-10-28"
"hep-th/9511146","Dmitri Gitman","Dmitri M.Gitman","Canonical and D-transformations in Theories with Constraints","16 pages, LaTeX","Int.J.Theor.Phys. 35 (1996) 87-99","10.1007/BF02082935","IFUSP/P-1125, Outubro/1994","hep-th",,"  A class class of transformations in a super phase space (we call them
D-transformations) is described, which play in theories with second-class
constraints the role of ordinary canonical transformations in theories without
constraints.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 15:44:37 GMT""}]","2009-10-28"
"nucl-th/9511025",,"Thomas A. Kaeding and H. Thomas Williams","Program for Generating Tables of SU(3) Coupling Coefficients","LaTeX, 29 pages, no figures","Comput.Phys.Commun. 98 (1996) 398-414","10.1016/0010-4655(96)00085-9","LBL-37969","nucl-th",,"  A C-Language program which tabulates the isoscalar factors and Clebsch-Gordan
coefficients for products of representations in SU(3) is presented. These are
efficiently computed using recursion relations, and the results are presented
in exact precision as square roots of rational numbers. Output is in LaTeX
format.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 21:47:29 GMT""}]","2009-10-28"
"q-alg/9511014","Vladimir Roubtsov","J.Donin, D.Gurevich and V.Rubtsov","Quantum hyperboloid and braided modules","18 pp., Latex",,,,"q-alg math.QA",,"  When a quantum hyperboloid is realized, as a three - parameter algebra
$\ahqc$, in the usual manner, the following problem arises: what is a
``representation theory'' of this algebra? We construct the series of all spin
representations of $\ahqc$, and we discuss a braided version of the orbit
method, i.e. a correspondence between orbits in $\gggg^*$ and $\gggg$-modules.
A braided trace and a braided involution are discussed as well.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 16:14:47 GMT""}]","2019-08-17"
"q-alg/9511015","Sergei M. Sergeev","S. M. Sergeev, V. V. Bazhanov and V. V. Mangazeev","Quantum Dilogarithm and Tetrahedron Equation","9 pages, latex, no figures This paper has been temporarily withdrawn
  for corrections.",,,"Preprint IHEP 95-129","q-alg math.QA",,"  This paper has been temporarily withdrawn for corrections.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 11:15:13 GMT""},{""version"":""v2"",""created"":""Wed, 6 Dec 1995 12:27:19 GMT""}]","2008-02-03"
"quant-ph/9511025","Hoi-Kwong Lo","Hoi-Kwong Lo and H. F. Chau","Quantum Cryptography in Noisy Channels","22 pages, REVTEX",,,"IASSNS-HEP-95/93","quant-ph",,"  We provide a complete proof of the security of quantum cryptography against
any eavesdropping attack including coherent measurements even in the presence
of noise. Polarization-based cryptographic schemes are shown to be equivalent
to EPR-based schemes. We also show that the performance of a noisy channel
approaches that of a noiseless one as the error rate tends to zero. (i.e., the
secrecy capacity $C_s (\epsilon) \to C_s (0)$ as $\epsilon \to 0$.) One
implication of our results is that one can {\it double} the efficiency of a
most well-known quantum cryptographic scheme proposed by Bennett and Brassard
simply by assigning vastly different probabilities to the two conjugate bases.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 19:34:12 GMT""}]","2007-05-23"
"quant-ph/9511026","Alexey Kitaev","A.Yu.Kitaev (L.D.Landau Institute for Theoretical Physics, Moscow)","Quantum measurements and the Abelian Stabilizer Problem","22 pages, LATEX",,,,"quant-ph",,"  We present a polynomial quantum algorithm for the Abelian stabilizer problem
which includes both factoring and the discrete logarithm. Thus we extend famous
Shor's results. Our method is based on a procedure for measuring an eigenvalue
of a unitary operator. Another application of this procedure is a polynomial
quantum Fourier transform algorithm for an arbitrary finite Abelian group. The
paper also contains a rather detailed introduction to the theory of quantum
computation.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 20:39:33 GMT""}]","2007-05-23"
"quant-ph/9511027","John Smolin","Charles H. Bennett, Gilles Brassard, Sandu Popescu, Benjamin
  Schumacher, John A. Smolin and William K. Wootters","Purification of Noisy Entanglement and Faithful Teleportation via Noisy
  Channels","4 pages (revtex) plus 1 figure (postscript). See also
  http://vesta.physics.ucla.edu/~smolin/ . Replaced to correct interchanged
  $\sigma_x$ and $\sigma_z$ near top of column 2, page 2","Phys.Rev.Lett.76:722-725,1996","10.1103/PhysRevLett.76.722",,"quant-ph",,"  Two separated observers, by applying local operations to a supply of
not-too-impure entangled states ({\em e.g.} singlets shared through a noisy
channel), can prepare a smaller number of entangled pairs of arbitrarily high
purity ({\em e.g.} near-perfect singlets). These can then be used to faithfully
teleport unknown quantum states from one observer to the other, thereby
achieving faithful transfrom one observer to the other, thereby achieving
faithful transmission of quantum information through a noisy channel. We give
upper and lower bounds on the yield $D(M)$ of pure singlets ($\ket{\Psi^-}$)
distillable from mixed states $M$, showing $D(M)>0$ if
$\bra{\Psi^-}M\ket{\Psi^-}>\half$.
","[{""version"":""v1"",""created"":""Mon, 20 Nov 1995 21:16:55 GMT""},{""version"":""v2"",""created"":""Wed, 22 Nov 1995 17:00:55 GMT""}]","2008-11-26"
"quant-ph/9511028","Olavo Leopoldino Da Silva Filho","L.S.F. Olavo","Quantum Mechanics as a Classical Theory VIII: Second Quantization","9 pages, LaTex, no figures",,,"UnB-008","quant-ph",,"  We continue in this paper our program of rederiving all quantum mechanical
formalism from the classical one. We now turn our attention to the derivation
of the second quantized equations, both for integral and half-integral spins.
We then show that all the quantum results may be derived using our approach and
also show the interpretation suggested by this derivation. This paper may be
considered as a first approach to the study of the quantum field theory
beginning by the same classical ideas we are supporting since the first paper
of this series.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 12:18:16 GMT""}]","2007-05-23"
"supr-con/9511001",,"Dmitry A. Ryndyk (Institute for Physics of Microstructures of Russian
  Academy of Sciencies, Nizhny Novgorod, Russia)","Synchronization in one-dimensional array of Josephson coupled thin
  layers","REVTeX, 8 pages, no figures",,,,"supr-con cond-mat.supr-con",,"  We obtain self-consistent macroscopic equations describing interlayer
Josephson effect and intralayer disequilibrium in one-dimensional array of
Josephson coupled layers. We show that ``nonequilibrium coupling'' can lead to
effective spatial and time synchronization and formation of coherent dynamic
resistive state (collective Josephson effect) in Nb-AlO-Nb stacked junctions
and HTSC (intrinsic Josephson effect). We propose it to be the origin of
collective switching phenomena observed in PbBiSrCaCuO.
","[{""version"":""v1"",""created"":""Tue, 21 Nov 1995 10:28:30 GMT""}]","2008-02-03"
