"alg-geom/9511009","Misha Verbitsky","Misha Verbitsky","Cohomology of compact hyperkaehler manifolds and its applications","12 pages, LaTeX 2.09","GAFA vol. 6 no. 4 pp. 601--612 (1996)",,,"alg-geom math.AG",,"  This article contains a compression of results from alg-geom/9501001, with
most proofs omitted. We prove that every two points of the connected moduli
space of holomorphically symplectic manifolds can be connected with so-called
``twistor lines'' -- projective lines holomorphically embedded to the moduli
space and corresponding to the hyperk\""ahler structures. This has interesting
implications for the geometry of compact hyperk\""ahler manifolds and of
holomorphic vector bundles over such manifolds.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 01:15:11 GMT""}]","2008-02-03"
"hep-ph/9511337","Tim Tait","Ehab Malkawi and Tim Tait (Michigan State University)","Top-Charm Strong Flavor-Changing Neutral Currents at the Tevatron","25 pages, 2 postscript figures using epsf.sty This replacement
  includes the correction of a few errors which have small effects on the
  results. It is the version to be published in Phys Rev D","Phys.Rev.D54:5758-5762,1996","10.1103/PhysRevD.54.5758","MSUHEP-51116","hep-ph",,"  The possibility of an anomalous coupling between the top and charm quarks and
the gluon field is explored in a model-independent way using an effective
Lagrangian that is gauge-invariant under a non-linear realization of SU(3)$_{C}
\times$ SU(2$)_{L} \times$ U(1$)_{Y}$. Even for the current 200 $pb^{-1}$ of
integrated luminosity at the Tevatron, the new physics scale that strongly
modifies the coupling of t-c-g must be larger than about 2.5 TeV if no signal
is found within a 3$\sigma$ confidence limit. For 1 $fb^{-1}$ of data, this
constraint can be pushed up to 3.8 TeV.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 05:19:42 GMT""},{""version"":""v2"",""created"":""Thu, 12 Sep 1996 15:22:11 GMT""}]","2008-11-26"
"hep-ph/9511338","Mihoko Nojiri","Keisuke Fujii, Mihoko M. Nojiri and Toshifumi Tsukamoto (KEK)","Precision Study of MSSM at future $e^+e^-$ linear colliders","7 pages, no figure. Complete version with 5 figures avaiable at
  ftp://ftp.kek.jp/kek/preprints/TH/TH-455 . Hard copy is also avaiable
  directly from the author(nojirim@theory.kek.jp); uses ptptex.sty","Prog.Theor.Phys.Suppl. 123 (1996) 203-212","10.1143/PTPS.123.203","KEK Preprint 95-152, KEK-TH-455","hep-ph",,"  The lighter scalar tau lepton $\sti$ may be the lightest scalar lepton and
therefore would be found earlier in future collider experiments. We point out
the impact of the measurement of the mass and the mixing angle of $\st$ to
discriminate the models of SUSY breaking. Furthermore, the measurement of the
polarization of $\tau$ lepton($P_{\tau}$) from the decaying $\sti$ helps to
determine the Yukawa sector of minimal supersymmetric standard model. We
present our MC study of the production and the decay of $\sti$ lepton at a
future linear collider at $\sqrt{s}=500$ GeV. The mass, mixing angle of $\sti$
and $P_{\tau}(\sti\rightarrow\tau \chi_1^0)$ would be measured precisely at the
future LC. ( talks given at Yukawa International Seminar(YIKS) '95 on some very
hot and humid day in August, and also at Workshop on {\it Physics and
Experiments with Linear $e^+e^-$ Colliders} Appi, Iwate Japan Sep.8-12 1995.)
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 05:33:32 GMT""}]","2009-10-28"
"hep-ph/9511339","Pieter Maris","P. Maris","Dynamical Mass Generation in QED3 with Chern--Simons Term","12 pages with 5 figures, LaTeX with ptptex, wrapfig, and epsf; talk
  given at YKIS '95: From the Standard Model to Grand Unified Theories, August
  '95, Kyoto, Japan, to appear in the proceedings","Prog.Theor.Phys.Suppl.123:61-70,1996","10.1143/PTPS.123.61","DPNU-95-42","hep-ph",,"  In (2+1)-dimensional QED with a Chern-Simons term, we study dynamical
breaking of chiral symmetry, using the Dyson--Schwinger equation for the
fermions. There is a region in parameter space were dynamical chiral symmetry
breaking occurs, just as in pure QED3 (without Chern--Simons term); outside
this region, this chiral symmetry breaking solution does not exists. Our
results, both numerically and analytically, show that the chiral phase
transition is a discontinuous first-order transition.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 10:33:14 GMT""}]","2011-04-15"
"hep-ph/9511340","Alexei Novikov","H.B.Nielsen, A.V.Novikov, V.A.Novikov, M.I.Vysotsky","Higgs potential bounds on extra quark-lepton generations","7pp, LaTeX, uses epsf, 5 figures, PS file available at
  http://venus.itep.ru/preprints/1995/95058.ps.gz","Phys.Lett. B374 (1996) 127-130","10.1016/0370-2693(96)00180-3","ITEP 58-95","hep-ph",,"  We consider the bounds for the values of higgs mass $M_H$ and of the mass of
the extra quarks and leptons $M_{extra}$ derived from the stability of vacuum
and from the absence of Landau pole in Higgs potential. We find that in the
case of the absence of new physics up to the GUT scale the bounds for the mass
of the 4th generation are so restrictive that the negative result of CDF search
for extra quarks closes the window for fourth generation. In the case of the
absence of new physics up to $10^5$ GeV we get weaker but still nontrivial
bounds on $M_H$ and $M_{extra}$ as well.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 14:06:07 GMT""}]","2009-10-28"
"hep-ph/9511342",,"A. Djouadi, J. Kalinowski and P.M. Zerwas","Two- and Three-Body Decay Modes of SUSY Higgs Particles","21 pages in latex + 13 pages figures included as a uufile, uses
  psfig.sty and oldlfont (optional)","Z.Phys. C70 (1996) 435-448",,"DESY 95--211, KA--TP--9--95 and IFT--95--14","hep-ph",,"  We summarize the dominant decay modes of the neutral and charged Higgs bosons
in the Minimal Supersymmetric extension of the Standard Model. While two--body
decays are in general dominating, the branching ratios for three--body decays
of the heavy scalar, pseudoscalar and charged Higgs bosons can be large below
the thresholds if top quarks, $W/Z$ bosons or heavy scalar bosons are involved.
Analytical expressions have been derived for the partial decay widths and the
physical implications of these decay modes are discussed.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 15:18:12 GMT""}]","2007-05-23"
"hep-ph/9511347","Andrew Akeroyd","A.G. Akeroyd","Fermiophobic Higgs bosons at the Tevatron","10 pages, Latex, 5 figures, to appear in Phys. Lett. B, figures
  included","Phys.Lett. B368 (1996) 89-95","10.1016/0370-2693(95)01478-0","DTP-95/88","hep-ph",,"  Higgs bosons with negligible couplings to fermions can arise in various
non--minimal Higgs sectors. We show that such a particle could be discovered
during the current run at the Tevatron, and would be evidence against a minimal
supersymmetric Higgs sector.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 15:48:50 GMT""},{""version"":""v2"",""created"":""Fri, 17 Nov 1995 11:56:02 GMT""}]","2009-10-28"
"hep-ph/9511353","Bruno Machet","B. Machet","Chiral scalar fields, electroweak SU(2)left x U(1) and the quantization
  of the electric charge","10 pages, Latex (with amssymb), no figures",,,"PAR-LPTHE 95/52","hep-ph hep-th",,"  I study the scalar representations of the electroweak group of the Standard
Model, with a special emphasis on their chiral properties and on their
behaviour by the discrete symmetries P and CP. A gauge theory for J=0 mesons
naturally springs out, together with a new approach to the question of the
electroweak violation of CP. When acting in the 4-dimensional space of states
spanned by the special representations under scrutiny in this paper, the
electric charge appears as one of the three generators of the diagonal SU(2)
and its eigenvalues are consequently quantized.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 07:45:37 GMT""}]","2007-05-23"
"hep-th/9511106","Andrea Lorek","M. Fichtmueller, A. Lorek and J. Wess","q-deformed Phase Space and its Lattice Structure","11 pages, latex, no figures","Z.Phys.C71:533-538,1996","10.1007/s002880050201",,"hep-th",,"  A q-deformed two-dimensional phase space is studied as a model for a
noncommutative phase space. A lattice structure arises that can be interpreted
as a spontaneous breaking of a continuous symmetry. The eigenfunctions of a
Hamiltonian that lives on such a lattice are derived as wavefunctions in
ordinary $x$-space.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 16:01:28 GMT""}]","2010-11-19"
"hep-th/9511108","Ignatios Antoniadis","I. Antoniadis, S. Ferrara and T.R. Taylor","N=2 Heterotic Superstring and its Dual Theory in Five Dimensions","26 pages, LaTeX","Nucl.Phys.B460:489-505,1996","10.1016/0550-3213(95)00659-1","CERN-TH/95-300, CPTH-S396.1195, LPTENS-95/49","hep-th",,"  We study quantum effects in five dimensions in heterotic superstring theory
compactified on K_3 x S_1 and analyze the conjecture that its dual effective
theory is eleven-dimensional supergravity compactified on a Calabi-Yau
threefold. This theory is also equivalent to type II superstring theory
compactified on the same Calabi-Yau manifold, in an appropriate large volume
limit. In this limit the conifold singularity disappears and is replaced by a
singularity associated to enhanced gauge symmetries, as naively expected from
the heterotic description. Furthermore, we exhibit the existence of additional
massless states which appear in the strong coupling regime of the heterotic
theory and are related to a different type of singular points on Calabi-Yau
threefolds.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 18:57:35 GMT""}]","2011-05-05"
"hep-th/9511109","Carmen Molina Paris","Bryce DeWitt and Carmen Molina-Paris (University of Texas at Austin)","Gauge Theory Without Ghosts","8 pages, uses revtex",,,,"hep-th",,"  A quantum effective action for gauge field theories is constructed that is
gauge invariant and independent of the choice of gauge breaking terms and the
ghost determinant.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 21:27:44 GMT""}]","2007-05-23"
"hep-th/9511110",,"G. Grignani, G. Semenoff, P. Sodano and O. Tirkkonen","Charge Screening in the Finite Temperature Schwinger Model","27 pages, latex, no figures. References addded and some misprints
  corrected","Int.J.Mod.Phys. A11 (1996) 4103-4128","10.1142/S0217751X96001930","DFUPG 109-95, UBC/GS/124-95","hep-th",,"  We compute the effective action and correlators of the Polyakov loop operator
in the Schwinger model at finite temperature and discuss the realization of the
discrete symmetries that occur there. We show that, due to nonlocal effects of
massless fermions in two spacetime dimensions, the discrete symmetry which
governs the screening of charges is spontaneously broken even in an effective
one-dimensional model, when the volume is infinite. In this limit, the thermal
state of the Schwinger model screens an arbitrary external charge; consequently
the model is in the deconfined phase, with the charge of the deconfined
fermions completely screened. In a finite volume we show that the Schwinger
model is always confining.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 21:46:03 GMT""},{""version"":""v2"",""created"":""Mon, 4 Dec 1995 17:14:17 GMT""}]","2009-10-28"
"hep-th/9511111","Alexander Belopolsky","Alexander Astashkevich and Alexander Belopolsky","String center of mass operator and its effect on BRST cohomology","41 pages, LaTeX","Commun.Math.Phys.186:109-136,1997","10.1007/BF02885675","MIT-CTP 2471","hep-th",,"  We consider the theory of bosonic closed strings on the flat background
R(25,1). We show how the BRST complex can be extended to a complex where the
string center of mass operator, x^mu_0, is well defined. We investigate the
cohomology of the extended complex. We demonstrate that this cohomology has a
number of interesting features. Unlike in the standard BRST cohomology, there
is no doubling of physical states in the extended complex. The cohomology of
the extended complex is more physical in a number of of aspects related to the
zero-momentum states. In particular, we show that the ghost number one
zero-momentum cohomology states are in one to one correspondence with the
generators of the global symmetries of the background i.e., the Poincare
algebra.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 22:36:30 GMT""}]","2014-11-18"
"hep-th/9511112","Oleg Zaboronsky","Albert Schwarz and Oleg Zaboronsky","Supersymmetry and localization","16 pages, LATEX","Commun.Math.Phys. 183 (1997) 463-476","10.1007/BF02506415",,"hep-th",,"  We study conditions under which an odd symmetry of the integrand leads to
localization of the corresponding integral over a (super)manifold. We also show
that in many cases these conditions guarantee exactness of the stationary phase
approximation of such integrals.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 23:10:25 GMT""}]","2015-06-26"
"hep-th/9511113","Susan McCormick","George Leibbrandt (CERN, Geneva) and Mark Staley (Guelph)","QCD Pressure at Two Loops in the Temporal Gauge","19 pages, 2 figures, list of 63 integrals","Nucl.Phys. B461 (1996) 259-274","10.1016/0550-3213(95)00656-7","CERN-TH.228-95","hep-th",,"  We apply the method of \underline{zeta} functions, together with the
$n_\mu^*$-prescription for the temporal gauge, to evaluate the thermodynamic
pressure in QCD at finite temperature $T$. Working in the imaginary-time
formalism and employing a special version of the unified-gauge prescription, we
show that the pure-gauge contribution to the pressure at two loops is given by
$P_2^{\mbox{{\scriptsize gauge}}} = -(g^2/144)N_cN_gT^4$, where $N_c$ and $N_g$
denote the number of colours and gluons, respectively. This result agrees with
the value in the Feynman gauge.
","[{""version"":""v1"",""created"":""Wed, 15 Nov 1995 16:19:18 GMT""},{""version"":""v2"",""created"":""Thu, 16 Nov 1995 18:10:38 GMT""}]","2009-10-28"
"hep-th/9511114","Maxim Zyskin","M.Zyskin","Light-Ray Radon Transform for Abelianin and Nonabelian Connection in 3
  and 4 Dimensional Space with Minkowsky Metric","We add an important discussion part, establishing the relation of our
  Radon transform with the self-dual Yang-Mills, string theory, and the
  represntation theory of the group SL(2,R)","Phys.Rev. D56 (1997) 1175-1187","10.1103/PhysRevD.56.1175",,"hep-th",,"  We consider a real manifold of dimension 3 or 4 with Minkovsky metric, and
with a connection for a trivial GL(n,C) bundle over that manifold. To each
light ray on the manifold we assign the data of paralel transport along that
light ray. It turns out that these data are not enough to reconstruct the
connection, but we can add more data, which depend now not from lines but from
2-planes, and which in some sence are the data of parallel transport in the
complex light-like directions, then we can reconstruct the connection up to a
gauge transformation. There are some interesting applications of the
construction: 1) in 4 dimensions, the self-dual Yang Mills equations can be
written as the zero curvature condition for a pair of certain first order
differential operators; one of the operators in the pair is the covariant
derivative in complex light-like direction we studied. 2) there is a relation
of this Radon transform with the supersymmetry. 3)using our Radon transform, we
can get a measure on the space of 2 dimensional planes in 4 dimensional real
space. Any such measure give rise to a Crofton 2-density. The integrals of this
2-density over surfaces in R^4 give rise to the Lagrangian for maps of real
surfaces into R^4, and therefore to some string theory. 4) there are relations
with the representation theory. In particular, a closely related transform in 3
dimensions can be used to get the Plancerel formula for representations of
SL(2,R).
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 02:57:13 GMT""},{""version"":""v2"",""created"":""Thu, 16 Nov 1995 06:05:52 GMT""},{""version"":""v3"",""created"":""Thu, 18 Jan 1996 07:06:14 GMT""},{""version"":""v4"",""created"":""Wed, 1 Jan 1997 07:19:23 GMT""}]","2016-09-06"
"hep-th/9511115","Andrei Linde","Renata Kallosh and Andrei Linde","Supersymmetric Balance of Forces and Condensation of BPS States","19 pages, LaTeX","Phys.Rev.D53:5734-5744,1996","10.1103/PhysRevD.53.5734","SU-ITP-95-26","hep-th",,"  Until now all known static multi black hole solutions described BPS states
with charges of the same sign. Such solutions could not be related to flat
directions in the space of BPS states. The total number of such states could
not spontaneously increase because of the charge conservation. We show that
there exist static BPS configurations which remain in equilibrium even if they
consist of states with opposite electric (or magnetic) charges from vector
multiplets. This is possible because of the exact cancellation between the
Coulomb and scalar forces. In particular, in the theories with N=4 or N=2
supersymmetry there exist stable massless multi center configurations with
vanishing total charge. Since such configurations have vanishing energy and
charge independently of their number, they can be associated with flat
directions in the space of all possible BPS states. For N=2 case this provides
a realization of the idea that BPS condensates could relate to each other
different vacua of the string theory.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 06:16:38 GMT""}]","2009-09-29"
"hep-th/9511117","Hajime Aoki","H.Aoki, H.Kawai, J.Nishimura and A.Tsuchiya","Operator Product Expansion in Two-Dimensional Quantum Gravity","22 pages, LaTeX, 7 figures, Revised version, description of the
  interpretation of the results improved, 2 figures modified","Nucl.Phys. B474 (1996) 512-528",,"KEK-TH-454, DPNU-95-41","hep-th",,"  We consider correlation functions of operators and the operator product
expansion in two-dimensional quantum gravity. First we introduce correlation
functions with geodesic distances between operators kept fixed. Next by making
two of the operators closer, we examine if there exists an analog of the
operator product expansion in ordinary field theories. Our results suggest that
the operator product expansion holds in quantum gravity as well, though special
care should be taken regarding the physical meaning of fixing geodesic
distances on a fluctuating geometry.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 08:17:28 GMT""},{""version"":""v2"",""created"":""Fri, 1 Dec 1995 13:24:43 GMT""},{""version"":""v3"",""created"":""Wed, 26 Jun 1996 19:17:46 GMT""}]","2008-02-03"
"hep-th/9511118",,"Laszlo Feher, Izumi Tsutsui","Regularization of Toda lattices by Hamiltonian reduction","42 pages, plain TeX, one reference added, to appear in J. Geom. Phys","J.Geom.Phys. 21 (1997) 97-135","10.1016/S0393-0440(96)00010-1","INS-Rep.-1123","hep-th nlin.SI solv-int",,"  The Toda lattice defined by the Hamiltonian $H={1\over 2} \sum_{i=1}^n p_i^2
+ \sum_{i=1}^{n-1} \nu_i e^{q_i-q_{i+1}}$ with $\nu_i\in \{ \pm 1\}$, which
exhibits singular (blowing up) solutions if some of the $\nu_i=-1$, can be
viewed as the reduced system following from a symmetry reduction of a subsystem
of the free particle moving on the group $G=SL(n,\Real )$. The subsystem is
$T^*G_e$, where $G_e=N_+ A N_-$ consists of the determinant one matrices with
positive principal minors, and the reduction is based on the maximal nilpotent
group $N_+ \times N_-$. Using the Bruhat decomposition we show that the full
reduced system obtained from $T^*G$, which is perfectly regular, contains
$2^{n-1}$ Toda lattices. More precisely, if $n$ is odd the reduced system
contains all the possible Toda lattices having different signs for the $\nu_i$.
If $n$ is even, there exist two non-isomorphic reduced systems with different
constituent Toda lattices. The Toda lattices occupy non-intersecting open
submanifolds in the reduced phase space, wherein they are regularized by being
glued together. We find a model of the reduced phase space as a hypersurface in
${\Real}^{2n-1}$. If $\nu_i=1$ for all $i$, we prove for $n=2,3,4$ that the
Toda phase space associated with $T^*G_e$ is a connected component of this
hypersurface. The generalization of the construction for the other simple Lie
groups is also presented.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 08:53:50 GMT""},{""version"":""v2"",""created"":""Fri, 17 Nov 1995 05:06:36 GMT""},{""version"":""v3"",""created"":""Mon, 26 Aug 1996 08:27:43 GMT""}]","2009-10-28"
"hep-th/9511119","Pierre van Baal","Pierre van Baal (Instituut-Lorentz, University of Leiden)","Global issues in gauge fixing","19p with 7 figs, uufiles -gz format. Talk at the ECT* workshop
  ""Non-perturbative approaches to QCD"", July 10-29, 1995, Trento, Italy",,,"INLO-PUB-19/95","hep-th",,"  We review the global issues associated to gauge fixing ambiguities and their
consequence for glueball spectroscopy. To avoid infrared singularities the
theory is formulated in a finite volume. The examples of a cubic and spherical
geometry will be discussed in some detail. Our methods are not powerful enough
to study the infinite volume limit, but the results clearly indicate that for
low-lying states, wave functionals are sensitive to global gauge copies which
we will argue is equivalent to saying that they are sensitive to the geometric
and topological features of configuration space.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 10:02:36 GMT""}]","2007-05-23"
"hep-th/9511120","Giovanni Felder","Giovanni Felder, Alexander Varchenko","Three formulas for eigenfunctions of integrable Schroedinger operators","29 pages, AMSLaTeX",,,,"hep-th",,"  We give three formulas for meromorphic eigenfunctions (scattering states) of
Sutherland's integrable N-body Schroedinger operators and their
generalizations. The first is an explicit computation of the Etingof-Kirillov
traces of intertwining operators, the second an integral representation of
hypergeometric type, and the third is a formula of Bethe ansatz type. The last
two formulas are degenerations of elliptic formulas obtained previously in
connection with the Knizhnik-Zamolodchikov-Bernard equation. The Bethe ansatz
formulas in the elliptic case are reviewed and discussed in more detail here:
Eigenfunctions are parametrized by a ``Hermite-Bethe'' variety, a
generalization of the spectral variety of the Lame' operator. We also give the
q-deformed version of our first formula. In the scalar sl_N case, this gives
common eigenfunctions of the commuting Macdonald-Rujsenaars difference
operators.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 04:28:56 GMT""}]","2007-05-23"
"hep-th/9511121","Alexander Moroz","Alexander Moroz","On indices of the Dirac operator in a non-Fredholm case","9 pages, plain latex, no figures. Two definitions supplied and one
  reference added + some minor corrections, to appear in Mod. Phys. Lett. A","Mod.Phys.Lett. A11 (1996) 979-986","10.1142/S0217732396001004","TPBU-2-95","hep-th hep-ph",,"  The Dirac Hamiltonian with the Aharonov-Bohm potential provides an example of
a non-Fredholm operator for which all spectral asymmetry comes entirely from
the continuous spectrum. In this case one finds that the use of standard
definitions of the resolvent regularized, the heat kernel regularized, and the
Witten indices misses the contribution coming from the continuous spectrum and
gives vanishing spectral asymmetry and axial anomaly. This behaviour in the
case of the continuous spectrum seems to be general and its origin is
discussed.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 15:47:58 GMT""},{""version"":""v2"",""created"":""Fri, 15 Mar 1996 14:48:34 GMT""}]","2009-10-28"
"math/9511211",,"Jiye Yu","Nonexistence of Continuous Peaking Functions",,,,"MSRI 1995-084","math.CV",,"  We construct a smoothly bounded pseudoconvex domain such that every boundary
point has a p.s.h. peak function but some boundary point admits no (local)
holomorphic peak function.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 00:00:00 GMT""}]","2008-02-03"
"quant-ph/9511018","Adriano Barenco","V. Vedral, A. Barenco and A. Ekert","Quantum Networks for Elementary Arithmetic Operations","7 pages, LaTeX, + 6 PS figures in a tar compressed file. See also
  http://eve.physics.ox.ac.uk/QChome.html",,"10.1103/PhysRevA.54.147",,"quant-ph",,"  Quantum computers require quantum arithmetic. We provide an explicit
construction of quantum networks effecting basic arithmetic operations: from
addition to modular exponentiation. Quantum modular exponentiation seems to be
the most difficult (time and space consuming) part of Shor's quantum
factorising algorithm. We show that the auxiliary memory required to perform
this operation in a reversible way grows linearly with the size of the number
to be factorised.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 10:34:53 GMT""}]","2009-10-28"
"solv-int/9511006","Ravil I. Yamilov","D. Levi, R. Yamilov","Classification of evolutionary equations on the lattice. I. The general
  theory","24 pages, AmsTeX",,,,"solv-int nlin.SI",,"  A modification of the symmetry approach for the classification of integrable
differential-difference equations of the form $$ u_{n,t} = f_n(u_{n-1}, u_n,
u_{n+1}), $$ where $n$ is a discrete integer variable, is presented (the
well-known Volterra and Toda equations can be written in this form). If before,
in the framework of the symmetry approach, only equations similar to $$ u_{n,t}
= f(u_{n-1}, u_n, u_{n+1}), $$ i.e. defined by a function $f$, were considered,
now we have an infinite set $f_n$ of a priori quite different functions.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 09:58:04 GMT""}]","2008-02-03"
