"alg-geom/9511018","Alexander Polishchuk","Alexander Polishchuk","Symplectic biextensions and a generalization of the Fourier-Mukai
  transform","AMSLaTeX. Missing package ""comm"" is inserted",,,,"alg-geom math.AG",,"  A generalization of the Fourier-Mukai transform is proposed. The construction
is based on analogy with the classical picture of representations of the
Heisenberg group.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 18:32:30 GMT""},{""version"":""v2"",""created"":""Fri, 1 Dec 1995 19:50:53 GMT""}]","2008-02-03"
"hep-ph/9511446","Kaladi Babu","K.S. Babu (IAS) and S.M. Barr (Bartol)","Large neutrino mixing angles in unified theories","16 pages, Plain LaTeX, no figures","Phys.Lett.B381:202-208,1996","10.1016/0370-2693(96)00552-7","IASSNS-HEP 95/100, BA-95-56","hep-ph",,"  Typically in unified theories the neutrino mixing angles, like the
Cabibbo-Kobayashi-Maskawa (CKM) angles of the quarks, are related to the small
mass ratios between fermions of different generations and are therefore quite
small. A new approach for explaining the intergenerational mass hierarchies is
proposed here which, while giving small CKM angles, naturally leads to neutrino
angles of order unity. Such large mixing angles may be required for a
resolution of the atmospheric neutrino anomaly and may also be relevant for the
solar neutrino puzzle. The mechanism presented here provides a framework in
which novel approaches to the fermion mass question can arise. In particular,
within this framework a variant of the texture idea allows highly predictive
models to be constructed, an illustrative example of which is given. It is
shown how the neutrino mixing angles may be completely determined in such
schemes.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 06:02:33 GMT""}]","2011-05-12"
"hep-ph/9511447",,"Gautam Bhattacharyya (CERN)","LEP- and low energy-bounds on R-parity-violating supersymmetric Yukawa
  couplings","2 pages, postscript (uucompressed), to appear in the Proceedings of
  the International Europhysics Conference on High Energy Physics, Brussels, 27
  July - 2 August, 1995",,,,"hep-ph",,"  Electroweak precision data at LEP are used to place bounds on some
$\lambda'$-type ($L$-violating) and $\lambda''$-type ($B$-violating) $R$-parity
violating supersymmetric Yukawa couplings. We consider one-loop corrections
(triangles and self-energies) induced by these couplings to the $Z$-partial
widths. The couplings involving the top quark induce stronger loop effects and
hence are more strongly constrained than others. On the other hand, information
on $D$- and $\tau$-decays are used to constrain some of the $\lambda'$-type
couplings which are complementary to the ones constrained from LEP. Among the
bounds we have derived, many are new from a phenomenological view-point.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 08:42:38 GMT""}]","2007-05-23"
"hep-ph/9511448","Erwin Mirkes","Erwin Mirkes and Dieter Zeppenfeld","Dijet Production at HERA in Next-to-Leading Order","11 pages (Latex) plus 5 figures enclosed as a uuencoded postscript
  file. The complete paper, including figures, is also available via anonymous
  ftp at ftp://www-ttp.physik.uni-karlsruhe.de/ , or via www at
  http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/","Phys.Lett. B380 (1996) 205-212","10.1016/0370-2693(96)00426-1","TTP95-42, MADPH-95-916","hep-ph",,"  Two-jet cross sections in deep inelastic scattering at HERA are calculated in
next-to-leading order. The QCD corrections are implemented in a new
$ep\rightarrow n$ jets event generator, MEPJET, which allows to analyze
arbitrary jet definition schemes and general cuts in terms of parton 4-momenta.
First results are presented for the JADE, the cone and the $k_T$ schemes. For
the $W$-scheme, disagreement with previous results and large radiative
corrections and recombination scheme dependencies are traced to a common
origin.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 09:47:28 GMT""},{""version"":""v2"",""created"":""Thu, 1 Feb 1996 17:11:44 GMT""},{""version"":""v3"",""created"":""Tue, 16 Jul 1996 11:45:07 GMT""}]","2009-10-28"
"hep-ph/9511449","Eric Laenen","Walter T. Giele, Stephane Keller (Fermilab), Eric Laenen (CERN)","QCD Corrections to W Boson plus Heavy Quark Production at the Tevatron","12 pages, Latex, epsfig, 7 figures appended as uuencode file","Phys.Lett.B372:141-149,1996","10.1016/0370-2693(96)00078-0","CERN-TH/95-282, FERMILAB-Pub/95-369-T","hep-ph",,"  The next-to-leading order QCD corrections to the production of a $W$-boson in
association with a jet containing a heavy quark are presented. The calculation
is fully differential in the final state particle momenta and includes the mass
of the heavy quark. We study for the case of the Tevatron the sensitivity of
the cross section to the strange quark distribution function, the dependence of
the cross section on the heavy quark mass, the transverse momentum distribution
of the jet containing the heavy quark, and the momentum distribution of the
heavy quark in the jet.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 10:00:45 GMT""}]","2008-11-26"
"hep-ph/9511450","M. Thies","M. Thies (University of Erlangen-N\""urnberg)","QCD in the axial gauge","Inv. talk presented at the International School of Nuclear Physics
  ""Quarks in Hadrons and Nuclei"", Erice, September 19-27, 1995; 12 pages","Prog.Part.Nucl.Phys.36:85-96,1996","10.1016/0146-6410(96)00012-9","FAU-TP3-95/12","hep-ph",,"  We review a recent attempt to deal with non-perturbative features of QCD by
analytical means, using a manifestly gauge invariant, canonical approach.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 10:07:53 GMT""}]","2011-04-15"
"hep-ph/9511451","Asim K. Ray","Ambar Ghosal and Asim K. Ray","Degenerate Dirac Neutrinos In An ${SU(2)}_L\times {U(1)}_Y$ Model With
  $S_3\times Z_3\times Z_4$ Discrete Symmetry","17 LATEX pages",,,"VB-HEP/Th-95/8","hep-ph",,"  We demonstrate that almost degenerate Dirac neutrinos of mass of few eV and
transition magnetic moment of the order of ${10}^{-11}$ $\mu_B$ can be obtained
in an ${SU(2)}_L\times {U(1)}_Y$ model with $S_3\times Z_3\times Z_4$ discrete
symmetry and appropriate Higgs fields. Transition magnetic moment of the Dirac
neutrino arises from to the contribution of leptons and charged Higgs fields at
the one loop level.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 20:01:00 GMT""}]","2007-05-23"
"hep-ph/9511452","Jan Bolz","P. Kroll (University of Wuppertal, Germany)","Spin effects in hard exclusive reactions","Invited talk presented at the SPIN95 Conference, Protvino (1995); 14
  pages Latex (uses 'epsf' and 'psfig'), including 5 PS-figures in uu-encoded
  compressed file",,,"WU-B 95-31","hep-ph",,"  The present status of applications of perturbative QCD to large momentum
transfer exclusive reactions is discussed. It is argued that in the region of
momentum transfer accessible to present day experiments soft contributions
dominate the exclusive processes.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 13:58:48 GMT""}]","2007-05-23"
"hep-ph/9511453","Per Osland","Arild Skjold, Per Osland (Bergen)","CP Investigations in the Higgs Sector","12 pages, LaTex2e, plus 7 uuencoded figures. Invited paper, Third
  Tallinn Symposium on Neutrino Physics, Lohusalu, Estonia, October 7-11, 1995",,,"Bergen Scientific/Technical Report No. 1995-17","hep-ph",,"  In a more general electroweak theory, there could be Higgs particles that are
odd under $CP$. When such particles decay via vector bosons to two
fermion-antifermion pairs, the momenta of those will be correlated in a way
which is determined by the $CP$ of the particle. Similarly, in the Bjorken
process correlations among momenta of the initial electron and final-state
fermions are sensitive to the $CP$ quantum number. Monte Carlo data on the
expected efficiency demonstrate that it should be possible to verify the scalar
character of an intermediate-mass Standard Model Higgs boson after three years
of data taking at a future linear collider. This is most likely not possible at
LEP2. Signals of possible presence of $CP$ violation in the Higgs sector are
briefly discussed.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 14:13:58 GMT""}]","2007-05-23"
"hep-ph/9511454","Adam Falk","Adam F. Falk, Michael Luke and Martin J. Savage","Phenomenology of the $1/m_Q$ Expansion in Inclusive $B$ and $D$ Meson
  Decays","18 pages, 3 embedded figures, uses REVTeX and epsf.sty; this is the
  slightly revised version to appear in Physical Review D","Phys.Rev.D53:6316-6325,1996","10.1103/PhysRevD.53.6316","CMU--HEP95--20, JHU--TIPAC--95024, UTPT--95-24","hep-ph",,"  We apply a recent theoretical analysis of hadronic observables in inclusive
semileptonic heavy hadron decays to the phenomenology of $B$ and $D$ mesons.
Correlated bounds on the nonperturbative parameters $\bar\Lambda$ and
$\lambda_1$ are derived by considering data from $B$ decays and, independently,
data from $D$ decays. The two sets of bounds are found to be consistent with
each other. The data from $B$ decays are then are used to extract a lower limit
on the CKM matrix element $|V_{cb}|$. We address the issue of the convergence
of the perturbative expansions used in the analysis, and compare our bounds on
$\bar\Lambda$ and $\lambda_1$ to lattice and QCD sum rule results. Finally, we
argue that a comparison of the analyses of $D$ and $D_s$ decays provides
evidence for the applicability of parton-hadron duality in the semileptonic
decay of charmed hadrons.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 14:53:45 GMT""},{""version"":""v2"",""created"":""Wed, 6 Dec 1995 15:30:24 GMT""},{""version"":""v3"",""created"":""Fri, 19 Apr 1996 14:15:34 GMT""}]","2014-11-17"
"hep-ph/9511455",,"B. Bajc, S. Fajfer, and R. J. Oakes","An effective model for charmed meson semileptonic decays","17 pages, Latex file","Phys.Rev. D53 (1996) 4957-4963","10.1103/PhysRevD.53.4957","IJS-TP-95/18, CMU-HEP-95-22, NUHEP-TH-95-13","hep-ph",,"  We analyze charm meson semileptonic decays using the measured ratios
$\Gamma_L/\Gamma_T$ and $\Gamma_{+}/\Gamma_{-}$ from $D\to {\bar K}^{*}$ and
the branching ratios for $D \to {\bar K}^{*}$ and $D \to {\bar K}$. First we
introduce the light vector mesons in a model which combines the heavy quark
effective Lagrangian and the chiral perturbation approach. We propose a method
which predicts the behavior of the form factors. Using the available
experimental data we determine the values of some model parameters and
reproduce the observed branching ratios for $D_{s} \to \Phi$, $D_{s} \to (\eta
+ \eta^{\prime})$ and $D \to \pi$. We make predictions for the yet unmeasured
branching ratios and polarization observables.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 15:56:17 GMT""}]","2009-10-28"
"hep-th/9511199","Dr R. Szabo","L. D. Paniak, G. W. Semenoff and R. J. Szabo","Conformal Motions and the Duistermaat-Heckman Integration Formula","13 pages LaTeX, run twice. Uses epsf.tex, 2 postscript files read
  directly into LaTeX file from directory","Phys.Lett. B372 (1996) 236-245","10.1016/0370-2693(96)00086-X","UBC/S-95/1, OUTP-95-46P","hep-th",,"  We derive a geometric integration formula for the partition function of a
classical dynamical system and use it to show that corrections to the WKB
approximation vanish for any Hamiltonian which generates conformal motions of
some Riemannian geometry on the phase space. This generalizes previous cases
where the Hamiltonian was taken as an isometry generator. We show that this
conformal symmetry is similar to the usual formulations of the
Duistermaat-Heckman integration formula in terms of a supersymmetric Ward
identity for the dynamical system. We present an explicit example of a
localizable Hamiltonian system in this context and use it to demonstrate how
the dynamics of such systems differ from previous examples of the
Duistermaat-Heckman theorem.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 17:07:15 GMT""}]","2009-10-28"
"hep-th/9511200",,"Kris Thielemans, Stefan Vandoren","Gauging Conformal Algebras with Relations between the Generators","10 pages, LaTex, This paper is based on proceedings for the Sixth
  Seminar on Quantum Gravity, Moscow, 12-17 June '95 and the Conference on
  Gauge theories, Applied Supersymmetry and Quantum Gravity, Leuven, 10-14 July
  '95",,,"KUL-TF-95/22, Imperial/TP/94-95/58","hep-th",,"  We investigate the gauging of conformal algebras with relations between the
generators. We treat the $W_{5/2}$--algebra as a specific example. We show that
the gauge-algebra is in general reducible with an infinite number of stages. We
show how to construct the BV-extended action, and hence the classical BRST
charge. An important conclusion is that this can always be done in terms of the
generators of the $W$--algebra only, that is, independent of the realisation.
The present treatment is still purely classical, but already enables us to
learn more about reducible gauge algebras and the BV-formalism.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 17:12:46 GMT""}]","2007-05-23"
"hep-th/9511201","Mark DE WILD Propitius","Mark de Wild Propitius and F. Alexander Bais","Discrete gauge theories","85+2 pages, LaTeX, 13 eps figures uuencoded. Lectures presented by
  the second author at the CRM-CAP Summer School `Particles and Fields 94',
  Bannf, Alberta, Canada, August 16-24, 1994. Some minor typos corrected,
  references added, figures slightly changed, a discussion expanded. Postscript
  version also available at http://parthe.lpthe.jussieu.fr/~mdwp",,,"PAR-LPTHE 95-46 and ITFA-95-46","hep-th",,"  In these lecture notes, we present a self-contained discussion of planar
gauge theories broken down to some finite residual gauge group H via the Higgs
mechanism. The main focus is on the discrete H gauge theory describing the long
distance physics of such a model. The spectrum features global H charges,
magnetic vortices and dyonic combinations. Due to the Aharonov-Bohm effect,
these particles exhibit topological interactions. Among other things, we review
the Hopf algebra related to this discrete H gauge theory, which provides an
unified description of the spin, braid and fusion properties of the particles
in this model. Exotic phenomena such as flux metamorphosis, Alice fluxes,
Cheshire charge, (non)abelian braid statistics, the generalized spin-statistics
connection and nonabelian Aharonov-Bohm scattering are explained and
illustrated by representative examples.
  Preface: Broken symmetry revisited,
  1 Basics: 1.1 Introduction, 1.2 Braid groups, 1.3 Z_N gauge theory, 1.3.1
Coulomb screening, 1.3.2 Survival of the Aharonov-Bohm effect, 1.3.3 Braid and
fusion properties of the spectrum, 1.4 Nonabelian discrete gauge theories,
1.4.1 Classification of stable magnetic vortices, 1.4.2 Flux metamorphosis,
1.4.3 Including matter,
  2 Algebraic structure: 2.1 Quantum double, 2.2 Truncated braid groups, 2.3
Fusion, spin, braid statistics and all that...,
  3 \bar{D}_2 gauge theory: 3.1 Alice in physics, 3.2 Scattering doublet
charges off Alice fluxes, 3.3 Nonabelian braid statistics, 3.A Aharonov-Bohm
scattering, 3.B B(3,4) and P(3,4),
  Concluding remarks and outlook
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 18:38:42 GMT""},{""version"":""v2"",""created"":""Wed, 20 Mar 1996 17:34:19 GMT""}]","2008-02-03"
"hep-th/9511202","John Klauder","John R. Klauder","Poisson Distributions for Sharp-Time Fields: Antidote for Triviality","33 pages, LaTeX, no figures, revised version of preprint",,,,"hep-th",,"  Standard lattice-space formulations of quartic self-coupled Euclidean scalar
quantum fields become trivial in the continuum limit for sufficiently high
space-time dimensions, and in particular the moment generating functional for
space-time smeared fields becomes a Gaussian appropriate to that of a (possibly
generalized) free field. For sharp-time fields this fact implies that the
ground-state expectation functional also becomes Gaussian in the continuum
limit. To overcome these consequences of the central limit theorem, an
auxiliary, nonclassical potential is appended to the original lattice form of
the model and parameters are tuned so that a generalized Poisson field
distribution emerges in the continuum limit for the ground-state probability
distribution. As a consequence, the sharp-time expectation functional is
infinitely divisible, but the Hamiltonian operator is such, in the general
case, that the generating functional for the space-time smeared field is not
infinitely divisible in Minkowski space. This feature permits the models in
question to escape a manifestly trivial scattering matrix imposed on all
infinitely divisible covariant Minkowski fields. Two sequentially related
proposals for an alternative lattice formulation of interacting covariant
models in four and more space-time dimensions are analyzed in some detail.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 20:39:33 GMT""}]","2007-05-23"
"hep-th/9511203",,"H. Lu, C.N. Pope, E. Sezgin and K.S. Stelle","Dilatonic p-brane solitons","9 pages, Latex, no figures","Phys.Lett.B371:46-50,1996","10.1016/0370-2693(95)01595-7","CTP-TAMU-40/95, Imperial/TP/95--96","hep-th",,"  We find new 4-brane and 5-brane solitons in massive gauged $D=6$, $N=2$ and
$D=7$, $N=1$ supergravities. In each case, the solutions preserve half of the
original supersymmetry. These solutions make use of the metric and dilaton
fields only. We also present more general dilatonic $(D-2)$-branes in $D$
dimensions.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 04:09:31 GMT""}]","2009-10-07"
"hep-th/9511204","Ti-Ming Chiang","Ti-ming Chiang, Brian R. Greene, Mark Gross and Yakov Kanter","Black Hole Condensation and the Web of Calabi-Yau Manifolds","23 pages, 3 postscript figures, uses vanilla.sty, harvmac","Nucl.Phys.Proc.Suppl. 46 (1996) 82-95",,"CLNS-95/1376","hep-th",,"  We review recent work concerning topology changing phase transitions through
black hole condensation in Type II string theory. We then also briefly describe
a present study aimed at extending the known web of interconnections between
Calabi-Yau manifolds. We show, for instance, that all 7555 Calabi-Yau
hypersurfaces in weighted projective four space are mathematically connected by
extremal transitions.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 04:10:11 GMT""}]","2007-05-23"
"hep-th/9511205","Albert Yu. Petrov","I.L.Buchbinder and A.Yu.Petrov (Department of Theoretical Physics,
  Tomsk State Pedagogical Institute, Russia)","Quantum dynamics of N=1, D=4 supergravity chiral compensator",,"Class.Quant.Grav. 13 (1996) 2081-2096","10.1088/0264-9381/13/8/006","TSPI-TH2/94","hep-th",,"  A new four-dimensional $N=1$ superfield model is suggested. The model is
induced by supertrace anomaly of matter superfields in curved superspace and
leads to effective theory of supergravity chiral compensator. A renormalization
structure of this model is studied, one-loop counterterms are calculated and
renormalization group equations are investigated. It is shown that the theory
under consideration is infrared free.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 04:48:41 GMT""},{""version"":""v2"",""created"":""Wed, 6 Dec 1995 08:44:46 GMT""}]","2009-10-28"
"hep-th/9511206","Masao Jinzenji","Masao Jinzenji","On Quantum Cohomology Rings for Hypersurfaces in $CP^{N-1}$","32 pages, Revised version","J.Math.Phys. 38 (1997) 6613-6638","10.1063/1.532228","UT-HEP-734-95","hep-th",,"  Using the torus action method, we construct one variable polynomial
representation of quantum cohomology ring for degree $k$ hypersurface in
$CP^{N-1}$ . The results interpolate the well-known result of $CP^{N-2}$ model
and the one of Calabi-Yau hypersuface in $CP^{N-1}$. We find in $k\leq N-2$
case, principal relation of this ring have very simple form compatible with
toric compactification of moduli space of holomorphic maps from $CP^{1}$ to
$CP^{N-1}$.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 09:03:14 GMT""},{""version"":""v2"",""created"":""Fri, 12 Apr 1996 10:33:19 GMT""}]","2009-10-28"
"hep-th/9511207",,"A. Bellini, M. Ciafaloni and P. Valtancoli","Solving The N-Body Problem in (2+1)-Gravity","43 pages, LaTeX, ( figures are not included )","Nucl.Phys. B462 (1996) 453-492","10.1016/0550-3213(96)00031-4","DFF 238/11/95","hep-th",,"  We construct a non-perturbative, single-valued solution for the metric and
the motion of $N$ interacting particles in $2+1$-Gravity. The solution is
explicit for two particles with any speed and for any number of particles with
small speed. It is based on a mapping from multivalued Minkowskian coordinates
to single-valued ones, which solves the non-abelian monodromies due to
particles' momenta. The two and three-body cases are treated in detail.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 12:14:01 GMT""}]","2009-10-28"
"hep-th/9511208","Bgato","Beatriz Gato-Rivera and Jose Ignacio Rosado","The Other Spectral Flow","Latex, 7 pages","Mod.Phys.Lett. A11 (1996) 423-429","10.1142/S0217732396000461","IMAFF-95/37, NIKHEF-95-063","hep-th",,"  Recently we showed that the spectral flow acting on the N=2 twisted
topological theories gives rise to a topological algebra automorphism. Here we
point out that the untwisting of that automorphism leads to a spectral flow on
the untwisted N=2 superconformal algebra which is different from the usual one.
This ""other"" spectral flow does not interpolate between the chiral ring and the
antichiral ring. In particular, it maps the chiral ring into the chiral ring
and the antichiral ring into the antichiral ring. We discuss the similarities
and differences between both spectral flows. We also analyze their action on
null states.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 12:33:34 GMT""}]","2015-06-26"
"hep-th/9511209",,"R. Guida, N. Magnoli","All order I.R. finite expansion for short distance behavior of massless
  theories perturbed by a relevant operator","27 pages","Nucl.Phys. B471 (1996) 361-388","10.1016/0550-3213(96)00175-7","GEF-Th12/1995","hep-th",,"  We consider here renormalizable theories without relevant couplings and
present an I.R. consistent technique to study corrections to short distance
behavior (Wilson O.P.E. coefficients) due to a relevant perturbation. Our
method is the result of a complete reformulation of recent works on the field,
and is characterized by a more orthodox treatment of U.V. divergences that
allows for simpler formulae and consequently an explicit all order
(regularization invariant) I.R. finitess proof. Underlying hypotheses are
discussed in detail and found to be satisfied in conformal theories that
constitute a natural field of application of this approach.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 11:55:47 GMT""}]","2009-10-28"
"hep-th/9511210","Romuald Janik","Romuald Janik","Modular Invariance and the Odderon","9 pages, LaTeX, uses amssym.def for \Bbb 'blackboard math' fonts","Phys.Lett. B371 (1996) 293-297","10.1016/0370-2693(96)00014-7","TPJU-18/95","hep-th hep-ph",,"  We identify a new symmetry for the equations governing odderon amplitudes,
corresponding in the Regge limit of QCD to the exchange of 3 reggeized gluons.
The symmetry is a modular invariance with respect to the unique normal subgroup
of sl(2,Z) {\,} of index 2.
  This leads to a natural description of the Hamiltonian and conservation-law
operators as acting on the moduli space of elliptic curves with a fixed
``sign'': elliptic curves are identified if they can be transformed into each
other by an {\em even} number of Dehn twists.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 12:22:49 GMT""},{""version"":""v2"",""created"":""Thu, 30 Nov 1995 07:09:50 GMT""}]","2016-09-06"
"hep-th/9511211","Max welling","Max Welling (Institute of Theoretical Physics Utrecht)","Some approaches to 2+1-dimensional gravity coupled to point-particles","24 pages Latex, 12 figures (uuencoded) Talk given at Kazan Summer
  School",,,"THU-95/33","hep-th gr-qc",,"  In these notes we will review some approaches to 2+1 dimensional gravity and
the way it is coupled to point-particles. First we look into some exact static
and stationary solutions with and without cosmological constant. Next we study
the polygon approach invented by 't Hooft. The third section treats the
Chern-Simonons formulation of 2+1-gravity. In the last part we map the problem
of finding the gravitational field around point-particles to the
Riemann-Hilbert problem.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 13:12:47 GMT""}]","2007-05-23"
"math/9510201","Salah Baouendi","M. S. Baouendi, P. Ebenfelt, and Linda Preiss Rothschild","Algebraicity of holomorphic mappings between real algebraic sets in
  ${\bold C}^n$",,,,,"math.CV",,"  We give conditions under which a germ of a holomorphic mapping in $\Bbb C^N$,
mapping an irreducible real algebraic set into another of the same dimension,
is actually algebraic.
  Let $A\subset \bC^N$ be an irreducible real algebraic set. Assume that there
exists $\po \in A$ such that $A$ is a minimal, generic, holomorphically
nondegenerate submanifold at $\po$. We show here that if $H$ is a germ at $p_1
\in A$ of a holomorphic mapping from $\bC^N$ into itself, with Jacobian $H$ not
identically $0$, and $H(A)$ contained in a real algebraic set of the same
dimension as $A$, then $H$ must extend to all of $\bC^N$ (minus a complex
algebraic set) as an algebraic mapping. Conversely, we show that for any
``model case'' (i.e., $A$ given by quasi-homogeneous real polynomials), the
conditions on $A$ are actually necessary for the conclusion to hold.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 23:49:58 GMT""}]","2016-09-06"
"math/9511203",,"Michael Christ","Global $C^\nf$ Irregularity of the $\bar\partial$--Neumann Problem for
  Worm Domains",,,,,"math.CV",,"  No abstract available.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 21:18:37 GMT""}]","2008-02-03"
"math/9511204",,"Michael Christ and Song-Ying Li","On Analytic Solvability and Hypoellipticity For $\dbar$ and $\dbar_b",,,,,"math.CV",,"  No abstract available.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 21:18:16 GMT""}]","2009-09-25"
"math/9511217",,"Carroll Guillory","Bourgain algebras, minimal envelopes, minimal support sets, and some
  applications",,,,"MSRI 1995-090","math.OA",,"  We explicitly compute certain Douglas algebras that are invariant under both
the Bourgain map and the minimal envelope map. We also compute the Bourgain
algebra and the minimal envelope of the maximal subalgebras of a certain singly
generated Douglas algebra.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 00:00:00 GMT""}]","2016-09-06"
"nucl-th/9511031","Derek Leinweber","Derek B. Leinweber, Xuemin Jin and R. J. Furnstahl","New QCD Sum Rules for In-Medium Nucleons","Invited talk presented at Baryons '95. 5 page RevTeX Manuscript with
  embedded figures. This and related papers may also be obtained from
  http://www.phys.washington.edu/~derek/Publications.html",,,"UW-DOE/ER/40427-21-N95","nucl-th hep-ph",,"  New QCD sum rules for nucleons in nuclear matter are derived from a mixed
correlation function of spin-1/2 and spin-3/2 interpolating fields. These sum
rules allow a determination of the scalar self-energy of the nucleon
independent of the poorly known four-quark condensates. An analysis of these
new sum rules in concert with previous nucleon sum rules from spin-1/2
interpolators indicates consistency with the expectations of relativistic
mean-field phenomenology. We find $M^* = 0.68 \pm 0.08$ GeV and $\Sigma_v =
0.31 \pm 0.06$ GeV at nuclear matter saturation density.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 19:16:29 GMT""}]","2007-05-23"
"nucl-th/9511032","Petr Vogel","K. Langanke, P. Vogel and E. Kolbe","Signal for supernova $\nu_\mu$ and $\nu_\tau$ neutrinos in water
  \v{C}erenkov detectors","8 pages, RevTex 3.0, figures and text available at
  http://www.krl.caltech.edu/preprints/MAP.html","Phys.Rev.Lett. 76 (1996) 2629-2632","10.1103/PhysRevLett.76.2629","MAP-187","nucl-th astro-ph",,"  We suggest that photons with energies between 5 and 10 MeV, generated by the
($\nu,\nu'p\gamma$) and ($\nu,\nu'n\gamma$) reactions on $^{16}$O, constitute a
signal which allows a unique identification of supernova $\nu_\mu$ and
$\nu_\tau$ neutrinos in water \v{C}erenkov detectors. We calculate the yield of
such $\gamma$ events and estimate that a few hundred of them would be detected
in Superkamiokande for a supernova at 10 kpc distance.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 19:46:03 GMT""}]","2009-10-28"
"nucl-th/9511033","Fermin Aldabe","Fermin Aldabe","Can Plane Wave Modes be Physical Modes in Soliton Models?","Latex. Published in Phys. Lett. B",,"10.1016/0370-2693(95)00385-X",,"nucl-th",,"  I show that plane waves may not be used as asymptotic states in soliton
models because they describe unphysical states. When asymptotic states are
taken to be physical there is no T-matrix of $\cO(1)$.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 22:14:31 GMT""}]","2009-10-28"
"nucl-th/9511034","Fermin Aldabe","Fermin Aldabe","Quantum Solitons Lead to Yukawa Coupling","LATEX, Submitted to Phys. Lett. B",,,,"nucl-th",,"  Recently, it was shown that zero modes in semiclassical soliton models do not
lead to Yukawa couplings. We show that taking into account the contributions of
the quantum soliton into the renormalization scheme, which cannot be done in
semiclassical treatments, leads to a Yukawa coupling. A similar analysis should
be possible for the Skyrmion, renewing the hope, that this model will lead to a
correct description of hadron physics.
","[{""version"":""v1"",""created"":""Tue, 28 Nov 1995 22:15:09 GMT""}]","2007-05-23"
"nucl-th/9511035","Oleg Vorov","O.K.Vorov","Limits of Time-Reversal Violating Interaction from Compound Nuclear
  Experiments","Phys. Lett. B; to be published, 16 pages, REVTEX 3, no figures","Phys. Lett. B368 (1996) 191","10.1016/0370-2693(95)01514-0",,"nucl-th",,"  Mean square matrix elements of the time reversal invariance violating (TRIV)
interaction between the compound nuclear states are calculated within the
statistical model, using the explicit form of the TRIV interaction via the
$\rho$-meson exchange. From the comparison of the calculated values with the
data known for $p+ ^{27}Al \Leftrightarrow ^{24}Mg + \alpha$ reaction, and for
$\gamma$-correlation measurements in $^{113}Cd(n,\gamma)^{114}Cd$ process, the
bounds on the TRIV constant are obtained ${\bar g}_{\rho} \alt 1.8 \times
10^{-2}$ and ${\bar g}_{\rho} \alt 1.1 \times 10^{-2}$. The sensitivity of the
recently proposed detailed balance test experiments on isolated resonances in
$^{32}S$ to the value of ${\bar g}_{\rho}$ is shown to be as high as to reach
values ${\bar g}_{\rho} \sim 10^{-4}$.
","[{""version"":""v1"",""created"":""Wed, 29 Nov 1995 14:37:30 GMT""}]","2009-10-28"
