"adap-org/9511002","Denis V. Juriev","Denis V. Juriev","Octonionic binocular mobilevision. An overview","references are renewed, English grammar is corrected (6pp,amstex)",,,"RCMPI-95/05","adap-org nlin.AO",,"  This paper is a compact overview of the heuristic approach to the recently
elaborated octonionic binocular mobilevision.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 18:13:51 GMT""},{""version"":""v2"",""created"":""Fri, 5 Jul 1996 15:02:17 GMT""}]","2008-02-03"
"hep-ph/9511351",,"S. Moretti and W.J. Stirling","Contributions of below--threshold decays to ${\cal {MSSM}}$ Higgs
  branching ratios: Erratum","2 pages, Latex, 2 figures uuencoded, complete ps file available via
  anonymous ftp at:
  ftp://axpc.hep.phy.cam.ac.uk/disk$alpha1:[public.dtp94104E]dtp_94104E.ps",,"10.1016/0370-2693(95)01477-2","DFTT 60/94E, DTP/94/104E","hep-ph",,"  In Ref.~\cite{paper} we calculated all the experimentally relevant branching
ratios of the Higgs bosons of the Minimal Supersymmetric Standard Model, paying
particular attention to the contributions from below--threshold decays.
Unfortunately, an error in one of the subroutines of the {\tt FORTRAN} code we
used was affecting the computation of the off--shell partial widths of the
decays $A\ar Z^{0*}h^*$ and $H^\pm\ar W^{\pm *}h^*$. This has now been fixed,
and the corrected plots are presented here
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 23:28:37 GMT""}]","2009-10-28"
"hep-ph/9511352","Erhan Iltan","T. M. Aliev, D. A. Demir, E. Iltan, N.K.PAK","The CP Asymmetry in $b \to s l^+ l^-$ Decay","18 pages, 5 postscript figures, LaTeX formatted","Phys.Rev. D54 (1996) 851-856","10.1103/PhysRevD.54.851","METU-PHYS-HEP-95-12","hep-ph",,"  Using the experimental upper bound on the neutron EDM and experimental result
on $b\rightarrow s\gamma$ branching ratio we have calculated CP asymmetry and
$\Gamma^{2HDM}(b\rightarrow s{\it{l^{+}l^{-}}})/\Gamma^{SM}(b\rightarrow
s{\it{l^{+}l^{-}}})$. It is shown that in the invariant dilepton mass $q^{2}$
region $(m_{\psi'}^{2}+0.2\; GeV^{2})<\;q^{2}<\;m^{2}_{b}$ the CP asymmetry is
maximal and quite detectable.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 00:14:38 GMT""}]","2009-10-28"
"hep-ph/9511354","Dr. Tamas Biro","T.S.Biro (MTA KFKI RMKI Budapest, Hungary)","Chaotic Dynamics of SU(2) Gauge Fields in the Presence of Static Charges","LaTeX, 10 pages, 2 figs as .PS in ym_figs.uu Submitted to Chaos,
  Solitons and Fractals",,"10.1016/0960-0779(95)00121-2",,"hep-ph chao-dyn hep-lat nlin.CD nucl-th",,"  We have found in numerical simulations that the chaoticity of the classical
hamiltonian lattice SU(2) gauge theory is reduced in the presence of static
charges at the same total energy. The transition from strongly to weakly
chaotic behavior is rather sudden at a critical charge strength.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 10:01:30 GMT""}]","2015-06-25"
"hep-ph/9511355",,"Paolo Cea, Luigi Tedesco","Generalized Gaussian Effective Potential: Second Order Thermal
  Corrections","13 pages, uuencoded compressed (using GNU's gzip) tar file containing
  1 TeX file, 3 Postscript figures","Mod.Phys.Lett. A12 (1997) 1077-1086","10.1142/S0217732397001096","BARI-TH 208/95","hep-ph",,"  We discuss the finite temperature generalized Gaussian effective potential.
We put out a very simple relation between the thermal corrections to the
generalizedGaussian effective potential and those of the effective potential.
We evaluate explicitly the second order thermal corrections in the case of the
selfinteracting scalar field in one spatial dimension.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 13:16:05 GMT""}]","2015-06-25"
"hep-ph/9511356","Arnd Brandenburg","A. Brandenburg, D. M\""uller, O. V. Teryaev","Extraction of the pion distribution amplitude from polarized muon pair
  production","13 pages, using revtex, two figures added separately as one uuencoded
  Z-compressed file","Phys. Rev. D 53, 6180 (1996)","10.1103/PhysRevD.53.6180","PITHA 95/29, NTZ 28/95","hep-ph nucl-th",,"  We consider the production of muon pairs from the scattering of pions on
longitudinally polarized protons. We calculate the cross section and the single
spin asymmetry for this process, taking into account pion bound state effects.
We work in the kinematic region where the photon has a large longitudinal
momentum fraction, which allows us to treat the bound state problem
perturbatively. Our predictions are directly proportional to the pion
distribution amplitude. A measurement of the polarized Drell-Yan cross section
thus allows the determination of the shape of the pion distribution amplitude.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 12:52:17 GMT""}]","2016-08-24"
"hep-ph/9511362","Erhan Iltan","T. M. Aliev, D. A. Demir, E. Iltan and N. K. Pak","Radiative $B^{*}B\gamma$ and $D^{*}D\gamma$ coupling constants in light
  cone QCD sum rules","13 pages, Latex, 3 figures","Phys.Rev. D54 (1996) 857-862","10.1103/PhysRevD.54.857","METU-PHYS-HEP-95/13","hep-ph",,"  The radiative decays $ B^{*} (D^{*})\to B(D) \gamma$ are investigated in the
framework of light cone QCD sum rules. The transition amplitude and decay rates
are estimated.It is shown that our results on branching ratios of D meson
decays are in good agreement with the existing experimental data.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 11:51:01 GMT""}]","2015-06-25"
"hep-th/9511116","Leonard Susskind","Leonard Susskind","Particle Growth and BPS Saturated States","9 pages, phyzzx","Phys. Rev. D 53, 5734 (1996)","10.1103/PhysRevD.53.5734","SU-ITP-95-23","hep-th",,"  Consistency of the Bekenstein bound on entropy requires the physical
dimensions of particles to grow with momentum as the particle is boosted to
transplanckian energies. In this paper the problem of particle growth in
heterotic string theory is mapped into a problem involving the properties of
BPS saturated black holes as the charge is increased. Explicit calculation
based on the black hole solutions of Sen are shown to lead to a growth pattern
consistent with the holographic speculation described in earlier work.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 01:32:47 GMT""},{""version"":""v2"",""created"":""Tue, 21 Nov 1995 00:26:02 GMT""}]","2016-08-24"
"hep-th/9511122","Thomas Thiemann","Thomas Thiemann","An axiomatic approach to quantum gauge field theory","15 pages, Latex, contribution to Banach Symposium, Warsaw 1995,
  Workshop Section on gauge field theory","Banach Center Publ.39:389-403,1996",,"CGPG-95/7-1, HUTMP-95/B-345","hep-th",,"  In the present article we display a new constructive quantum field theory
approach to quantum gauge field theory, utilizing the recent progress in the
integration theory on the moduli space of generalized connections modulo gauge
transformations. That is, we propose a new set of Osterwalder Schrader like
axioms for the characteristic functional of a measure on the space of
generalized connections modulo gauge transformations rather than for the
associated Schwinger distributions. We show non-triviality of our axioms by
demonstrating that they are satisfied for two-dimensional Yang-Mills theory on
the plane and the cylinder. As a side result we derive a closed and analytical
expression for the vacuum expectation value of an arbitrary product of Wilson
loop functionals from which we derive the quantum theory along the Glimm and
Jaffe algorithm which agrees exactly with the one as obtained by canonical
methods.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 19:44:36 GMT""}]","2011-04-15"
"hep-th/9511123",,"Rulin Xiu","Dynamical Determination of Dilaton and Moduli Vacuum Expectation Values","7 pages, revtex",,,"HUTP-95/A044","hep-th",,"  We determine the dilaton and moduli vacuum expectation values using the
one-loop effective potential and topological constraints. A new ingredient of
this analysis is that we use a dilaton K\""ahler potential that includes
renormalization effects to all loops. We find that the dilaton vacuum
expectation value is related to certain topological properties of the compact
spacetime. We demonstrate that values of the dilaton vacuum expectation value
that are consistent with the weak scale measurements can be dynamically
obtained in this fashion.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 21:41:11 GMT""}]","2007-05-23"
"hep-th/9511124","Kazuo Fujikawa","Kazuo Fujikawa (Univ. of Tokyo)","Gribov Problem and BRST Symmetry","20 pages plus 1 figure. To be published in the Proceedings of
  International Symposium on BRS Symmetry(Universal Academy Press, Tokyo)",,,"UT-732, 1995","hep-th",,"  After a brief historical comment on the study of BRS(or BRST) symmetry , we
discuss the quantization of gauge theories with Gribov copies. A path integral
with BRST symmetry can be formulated by summing the Gribov-type copies in a
very specific way if the functional correspondence between $\tau$ and the gauge
parameter $\omega$ defined by $\tau (x) = f( A_{\mu}^{\omega}(x))$ is
``globally single valued'', where $f( A_{\mu}^{\omega}(x)) = 0 $ specifies the
gauge condition. As an example of the theory which satisfies this criterion, we
comment on a soluble gauge model with Gribov-type copies recently analyzed by
Friedberg, Lee, Pang and Ren. We also comment on a possible connection of the
dynamical instability of BRST symmetry with the Gribov problem on the basis of
an index notion.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 07:50:07 GMT""}]","2007-05-23"
"hep-th/9511125","Hiroaki Kanno","Hiroaki Kanno","BRS Cohomology in Topological String Theory and Integrable Systems","17 pages, latex, no figures, Talk presented at International
  symposium on BRS symmetry, RIMS, Kyoto, September 18-22, 1995",,,,"hep-th",,"  In cohomological field theory we can obtain topological invariants as
correlation functions of BRS cohomology classes. A proper understanding of BRS
cohomology which gives non-trivial results requires the equivariant cohomology
theory. Both topological Yang-Mills theory and topological string theory are
typical examples of this fact. After reviewing the role of the equivariant
cohomology in topological Yang-Mills theory, we show in purely algebraic
framework how the $U(1)$ equivariant cohomology in topological string theory
gives the gravitational descendants. The free energy gives a generating
function of topological correlation functions and leads us to consider a
deformation family of cohomological field theories. In topological strings such
a family is controlled by the theory of integrable system. This is most easily
seen in the Landau-Ginzburg approach by looking at the contact term
interactions between topological observables.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 07:22:10 GMT""}]","2007-05-23"
"hep-th/9511126","Hiroshi Itoyama","H. Itoyama and A. Morozov","Integrability and Seiberg-Witten Theory: Curves and Periods","26 pages","Nucl.Phys. B477 (1996) 855-877","10.1016/0550-3213(96)00358-6","ITEP-M5/95, OU-HET-227","hep-th",,"  Interpretation of exact results on the low-energy limit of $4d$ $N=2$ SUSY YM
in the language of $1d$ integrability theory is reviewed. The case of elliptic
Calogero system, associated with the flow between $N=4$ and $N=2$ SUSY in $4d$,
is considered in some detail.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 09:01:31 GMT""},{""version"":""v2"",""created"":""Mon, 20 Nov 1995 04:40:03 GMT""}]","2009-10-28"
"hep-th/9511127","Sunil Mukhi","Camillo Imbimbo and Sunil Mukhi","Matrix Models, Quantum Penner Action and Two-Dimensional String Theory","Latex file, 8 pages. Based on a talk given by the second author at
  the NATO ASI, Cargese, July 11-25 1995",,,,"hep-th",,"  A very elementary model of a single positive hermitian random matrix coupled
to an external matrix is defined and studied. Expanding the exact effective
action around its classical solution leads to the ``quantum Penner action'',
from which a rich structure of correlation functions is obtained. These are
shown to be equal to the all-orders perturbative expansion of tachyon
amplitudes in the two-dimensional string at self-dual radius.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 15:15:44 GMT""},{""version"":""v2"",""created"":""Sat, 18 Nov 1995 15:31:13 GMT""}]","2008-02-03"
"hep-th/9511128","Martin Reuter","M.Reuter","Effective Average Action of Chern-Simons Field Theory","14 pages, latex","Phys.Rev. D53 (1996) 4430-4435","10.1103/PhysRevD.53.4430","DESY 95-111","hep-th",,"  The renormalization of the Chern-Simons parameter is investigated by using an
exact and manifestly gauge invariant evolution equation for the scale-dependent
effective average action.
","[{""version"":""v1"",""created"":""Fri, 17 Nov 1995 10:14:17 GMT""}]","2009-10-28"
"q-alg/9511009",,"Ludwik Dabrowski and Preeti Parashar","h-deformation of GL(1|1)","latex file, 8 pages, minor changes",,"10.1007/BF00398357","SISSA: 137/95/FM","q-alg math.QA",,"  h-deformation of (graded) Hopf algebra of functions on supergroup GL(1|1) is
introduced via a contration of GL_q (1|1). The deformation parameter h is odd
(grassmann). Related differential calculus on h-superplane is presented.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 18:32:19 GMT""},{""version"":""v2"",""created"":""Sun, 17 Dec 1995 23:30:55 GMT""}]","2009-10-28"
"solv-int/9511007","Ayrton Zadra","L.E. Saltini and A. Zadra","Algebra of Non-Local Charges in Supersymmetric Non-Linear Sigma Models","LateX file, 19 pages, figures included with epsf; file with figures
  has been replaced","Int.J.Mod.Phys. A12 (1997) 419-436","10.1142/S0217751X97000487","IFUSP/P-1188","solv-int hep-th nlin.SI",,"  We propose a graphic method to derive the classical algebra (Dirac brackets)
of non-local conserved charges in the two dimensional supersymmetric non-linear
$O(N)$ sigma model. As in the purely bosonic theory we find a cubic Yangian
algebra. We also consider the extension of graphic methods to other integrable
theories.
","[{""version"":""v1"",""created"":""Thu, 16 Nov 1995 19:21:32 GMT""},{""version"":""v2"",""created"":""Fri, 17 Nov 1995 13:04:09 GMT""}]","2009-10-28"
