"alg-geom/9506025","A. Libgober","A.Libgober","Automorphisms of crepant resolutions for quotient spaces","11 pages, PlainTex",,,"Duke preprint Duke-M-95-06","alg-geom math.AG",,"  A formula for calculating the Lefschetz number of an automorphism acting on a
crepant resolution for a quotient of a Kahler manifold derived from an
equivariant version of McKay correspondence. The latter is proven in some
cases. As an application the Lefschetz numbers of of involutions acting on
Calabi-Yau threefolds and their mirrors are compared.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 21:43:07 GMT""}]","2008-02-03"
"hep-ph/9506458","Jogesh Pati","Jogesh C. Pati (IAS, Princeton and U Maryland College Park)","The Role of Gravity in Determining Physics at High as Well as Low
  Energies","14 pages, 2 figures, Plain TeX",,,"IASSNS-HEP-95/54 (June 1995)","hep-ph hep-th",,"  It is noted that in the context of a supersymmetric preonic approach to
unification, gravity, though weak, can play an essential role in determining
some crucial aspects of low-energy physics. These include: (i) SUSY-breaking,
(ii) electroweak symmetry-breaking, and (iii) generation of masses of quarks
and leptons, all of which would vanish if we turn off gravity. Such a role of
gravity has its roots in the Witten index theorem which would forbid
SUSY-breaking, within the class of theories under consideration, in the absence
of gravity.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 17:58:58 GMT""}]","2009-09-25"
"hep-ph/9506459",,"Howard Baer, Michal Brhlik, Ray Munroe and Xerxes Tata","Prospects for Supersymmetry at LEP2","22 page REVTEX file + 9 uuencoded figures; a uuencoded PS file with
  PS figures is available via anonymous ftp at
  ftp://hep.fsu.edu/preprints/baer/FSUHEP950501.uu","Phys.Rev.D52:5031-5044,1995","10.1103/PhysRevD.52.5031","FSU-HEP-950501, UH-511-829-95","hep-ph",,"  Working within the framework of the minimal supergravity model with gauge
coupling unification and radiative electroweak symmetry breaking (SUGRA), we
map out regions of parameter space explorable by experiments at LEP2, for
center of mass energy options of $\sqrt{s}=150,\ 175$, $190$ and 205 GeV. We
compute signals from all accessible $2 \rightarrow 2$ SUSY pair production
processes using the ISAJET simulation program, and devise cuts that enhance the
signal relative to Standard Model backgrounds, and which also serve to
differentiate various supersymmetric processes from one another. We delineate
regions of SUGRA parameter space where production of neutralino pairs, chargino
pairs, slepton pairs and the production of the light Higgs scalar of SUSY is
detectable above Standard Model backgrounds and distinguishable from other SUSY
processes. In addition, we find small regions of SUGRA parameter space where
$\te\te$, $\tz_2\tz_2$ and $\tnu_L\tnu_L$ production yields spectacular events
with up to four isolated leptons. The combined regions of parameter space
explorable by LEP2 are compared with the reach of Tevatron Main Injector era
experiments. Finally, we comment on how the reach via the neutralino pair
channel is altered when the radiative electroweak symmetry breaking constraint
is relaxed.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 19:05:15 GMT""}]","2009-02-11"
"hep-ph/9506460",,"Christopher D. Carone and Hitoshi Murayama","Light U(1) Gauge Boson Coupled to Baryon Number","8pp. LaTeX, 5 figures included as uuencoded, gzipped, encapsulated
  postscript files. Talk presented by C. Carone at the Workshop on Particle
  Theory and Phenomenology, May 17-19, 1995, Iowa State University, Ames Iowa.
  Full postscript available from
  http://theor1.lbl.gov/www/theorgroup/papers/37432.ps",,,"LBL-37432","hep-ph",,"  We discuss the phenomenology of a light U(1) gauge boson, $\gamma_B$, that
couples only to baryon number. Gauging baryon number at high energies can
prevent dangerous baryon-number violating operators that may be generated by
Planck scale physics. However, we assume at low energies that the new U(1)
gauge symmetry is spontaneously broken and that the $\gamma_B$ mass $m_B$ is
smaller than $m_Z$. We show for $m_\Upsilon<m_B<m_Z$ that the $\gamma_B$
coupling $\alpha_B$ can be as large as $\sim 0.1$ without conflicting with the
current experimental constraints. We argue that $\alpha_B\sim 0.1$ is large
enough to produce visible collider signatures and that evidence for the
$\gamma_B$ could be hidden in existing LEP data. We show that there are
realistic models in which mixing between the $\gamma_B$ and the electroweak
gauge bosons occurs only as a radiative effect and does not lead to conflict
with precision electroweak measurements. Such mixing may nevertheless provide a
leptonic signal for models of this type at an upgraded Tevatron.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 22:37:31 GMT""},{""version"":""v2"",""created"":""Fri, 30 Jun 1995 18:17:05 GMT""}]","2008-02-03"
"hep-ph/9506461","Tao Han","T. Han, R.D. Peccei, and X. Zhang","Top-Quark Decay Via Flavor-Changing Neutral Currents at Hadron Colliders","17 pages, RevTeX, postscript file available via anonymous ftp:
  ftp://ucdhep.ucdavis.edu/han/top/paper_top.ps 7 figures separated as
  figs_top.uu or fig#_top.ps","Nucl.Phys. B454 (1995) 527-540","10.1016/0550-3213(95)95688-C","UCD-95-17, UCLA/95/TEP/24, AMES-HET-95-01, FERMILAB-PUB-95/160-T","hep-ph",,"  We study low energy experimental constraints on an anomalous top-quark
coupling associated with the flavor-changing neutral current vertex $Z \bar t
c$. In view of these constraints, we discuss the experimental observability of
the induced rare decay mode $t \rightarrow Zc$, both at the Fermilab Tevatron
(with the Main Injector or a luminosity-upgrade) and at the LHC.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 01:03:21 GMT""}]","2009-10-28"
"hep-ph/9506462","Piotr Raczka","Piotr A. Raczka (Institute of Theoretical Physics, Department of
  Physics, Warsaw, Poland)","Improved Evaluation of the NNLO QCD Effects in the Tau Decay,
  $e^{+}e^{-}$ Annihilation into Hadrons and Deep-Inelastic Sum Rules","Talk presented at the XXXth Rencontres de Moriond Les Arcs, France,
  March 1995, 6 pages Latex, one compressed uuencoded figure",,,"IFT/8/95","hep-ph",,"  A systematic method is proposed for analyzing the renormalization scheme
uncertainties in the next-next-to-leading order QCD predicitions, based on a
condition which eliminates schemes that give rise to large cancellations in the
expression for the characteristic scheme invariant combination of the expansion
coefficients. Using this method it is shown that the QCD corrections to the tau
lepton decay are rather stable with respect to change of the scheme, provided
that an improved formula is used, which involves numerical evaluation of the
contour integral in the complex energy plane with the Adler function under the
integral. Optimized predictions for the tau decay corrections are given. It is
shown that also in the case of the of QCD corrections to $e^{+}e^{-}$
annihilation into hadrons the conventional expansion has sizable scheme
dependence, even at large energies. However, a considerable improvement is
obtained when the QCD corrections are expressed as a contour integral, with the
Adler function under the integral, resumming in this way the large $\pi^{2}$
contributions. In the case of the corrections to the Bjorken sum rule for
polarized structure functions it is found that for $n_{f}=4$ they are
insensitive to change of the scheme. However, the $n_{f}=3$ expression is found
to be strongly scheme dependent at lower energies.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 04:10:26 GMT""}]","2007-05-23"
"hep-ph/9506463",,"Kacper Zalewski","Structure and Decays of Particles Containing Heavy Quarks (Theory)","12 pages, Proceedings of the conference Physics in Collision 1995",,,,"hep-ph",,"  Some recent results and problems in the theory of particles containing heavy
quarks ar reviewed.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 09:42:00 GMT""}]","2007-05-23"
"hep-ph/9506464","Herbert Weigel","A. Abada, R. Alkofer, H. Reinhardt and H. Weigel","Monopole Excitations of Baryons in the Nambu--Jona--Lasinio Soliton
  Model","17 pages, 2 figures, postscript file submitted as uuencoded
  compressed file, page format has been changed to comply with US standards","Nucl.Phys. A593 (1995) 488-502","10.1016/0375-9474(95)00342-X","UNITU--THEP--9/1995","hep-ph",,"  We investigate the monopole excitations of the soliton in the
Nambu--Jona--Lasinio model. By studying the solutions to the corresponding
Bethe--Salpeter equation in the background of the soliton we exclude the
existence of real large amplitude fluctuations. This allows us to treat the
collective coordinate for the monopole excitations, which parametrizes the
extension of the soliton, in the harmonic approximation. The canonical
quantization of this coordinate yields a spectrum which agrees reasonably well
with the empirical data for the Roper resonance, N(1440), and the corresponding
one for the Delta, $\Delta$(1600). We also comment on going beyond the harmonic
approximation.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 08:16:53 GMT""},{""version"":""v2"",""created"":""Tue, 4 Jul 1995 17:57:29 GMT""}]","2009-10-28"
"hep-ph/9506465","Timo van Ritbergen","S.A. Larin, T. van Ritbergen, J.A.M. Vermaseren","The large top quark mass expansion for Higgs boson decays into bottom
  quarks and into gluons","9 pages, a postscript file that includes 1 figure is available via
  anonymous ftp at ftp://nikhefh.nikhef.nl/pub/preprints/95-027.ps.Z","Phys.Lett. B362 (1995) 134-140","10.1016/0370-2693(95)01192-S","NIKHEF-H/95-027","hep-ph",,"  We calculate the large top quark mass expansions for the H -> bb_bar decay
rate in the order (alpha_s)^2 and for the H -> gluons decay rate in the order
(alpha_s)^3. The obtained expansions rapidly converge in the region of their
validity, M_H < 2 m_top, i.e. below the threshold of tt_bar production.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 09:14:57 GMT""}]","2009-10-28"
"hep-ph/9506466","Stefano Moretti","Stefano Moretti","Finite width and irreducible background effects to $t\bar t$ production
  at $\gamma\gamma$ Next Linear Colliders","11 pages, Latex, 4 figures uuencoded, complete ps file available via
  anonymous ftp at:
  ftp://cpt1.dur.ac.uk/pub/preprints/dtp95/dtp9556/dtp9556_text.ps and
  dtp9556_fig*.ps, *=1,2,3,4","J.Phys. G21 (1995) 1325-1332","10.1088/0954-3899/21/10/006","DTP/95/56, DFTT 39/95","hep-ph",,"  We study the complete process \phphbbww\ using exact matrix element
computations at tree-level, at a $\sqrt s=500$ GeV \eeb\ linear collider of the
next generation. Incoming photons produced via back-scattering of laser light
are considered. Sizable effects due to the finite width of the top quark as
well as to the irreducible background to $t\bar t$ production and decay are
predicted.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 10:38:44 GMT""}]","2009-10-28"
"hep-ph/9506467","D. R. T. Jones","P.M. Ferreira, I. Jack, and D.R.T. Jones","Infra--red soft universality","12 pages, tex, five figures in a uuencoded postscript file. Uses
  harvmac and epsf","Phys.Lett.B357:359-364,1995","10.1016/0370-2693(95)00911-4","LTH 352","hep-ph",,"  We show that in a special class of theories the commonly assumed universal
form of the soft supersymmetry--breaking terms is approached in the infra--red
limit. The resulting universal scalar mass and trilinear coupling are predicted
in terms of the gaugino mass.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 13:54:41 GMT""}]","2010-02-09"
"hep-ph/9506468","Jean Letessier","Jean Letessier, Johann Rafelski, Ahmed Tounsi","Energy Dependence of Strange Particle Yields from a QGP-Fireball","Detailed account of work published and recorded as hep-ph/9506469 /
  Phys. Lett. B390 (1997) 363. 39 pages, LaTeX, 14 postscript figures",,,,"hep-ph nucl-th",,"  We explore, as function of the collision energy and stopping in relativistic
nuclear collisions, the production yields of strange particles, in particular
strange antibaryons,assuming formation of a deconfined thermal QGP-fireball
which undergoes a sudden hadronisation. The non-equilibrium freeze-out
conditions are established and strange antibaryon excitation functions are
shown to have characteristic features that should allow to discriminate between
the QGP hypothesis and other reaction scenarios.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 14:42:46 GMT""},{""version"":""v2"",""created"":""Mon, 24 Nov 1997 14:39:16 GMT""}]","2008-02-03"
"hep-ph/9506469","Jean Letessier","Johann Rafelski, Jean Letessier and Ahmed Tounsi","QGP Formation and Strange Antibaryons","Replaced by the published version. 11 pages, 3 figures","Phys.Lett. B390 (1997) 363-369","10.1016/S0370-2693(96)01383-4",,"hep-ph nucl-th",,"  We analyze current experimental results and explore, as function of the
collision energy and stopping in relativistic nuclear collisions, the
production yields of strange antibaryons, assuming formation of a deconfined
thermal QGP-fireball which undergoes a sudden hadronisation.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 15:05:41 GMT""},{""version"":""v2"",""created"":""Mon, 24 Nov 1997 12:26:13 GMT""}]","2009-10-28"
"hep-ph/9506470","Scott Chapman","Scott Chapman, Pierre Scotto and Ulrich Heinz","The ``Out-Longitudinal'' Cross Term and Other Model Independent Features
  of the Two-Particle HBT Correlation Function","4 pages, uuencoded compressed postscript","Nucl.Phys.A590:449c-452c,1995","10.1016/0375-9474(95)00252-V","LA-UR-95-2150","hep-ph",,"  Using two specific models and a model independent formalism, we show that an
``out-longitudinal'' cross term should be included in any gaussian fits to
correlation data. In addition, we show that correlation radii (including the
cross term) measure lengths of homogeneity within the source, not necessarily
geometric sizes.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 15:38:15 GMT""}]","2010-05-27"
"hep-th/9506193","Charlotte Kristjansen","B. Eynard and C. Kristjansen, (SPhT, Saclay)","Exact Solution of the O(n) Model on a Random Lattice","44 pages, LaTeX file, no figures","Nucl.Phys.B455:577-618,1995","10.1016/0550-3213(95)00469-9","SPhT/95-068","hep-th",,"  We present an exact solution of the $O(n)$ model on a random lattice. The
coupling constant space of our model is parametrized in terms of a set of
moment variables and the same type of universality with respect to the
potential as observed for the one-matrix model is found. In addition we find a
large degree of universality with respect to $n$; namely for $n\in ]-2,2[$ the
solution can be presented in a form which is valid not only for any potential,
but also for any $n$ (not necessarily rational). The cases $n=\pm 2$ are
treated separately. We give explicit expressions for the genus zero
contribution to the one- and two-loop correlators as well as for the genus one
contribution to the one-loop correlator and the free energy. It is shown how
one can obtain from these results any multi-loop correlator and the free energy
to any genus and the structure of the higher genera contributions is described.
Furthermore we describe how the calculation of the higher genera contributions
can be pursued in the scaling limit.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 16:11:35 GMT""}]","2008-11-26"
"hep-th/9506195","Ara Sedrakyan","T.Hakobyan, A.Sedrakyan","Spin Chain Hamiltonians with Affine $U_q g$ symmetry","10 pages, LATEX","Phys. Lett. B377 (1996) 250","10.1016/0370-2693(95)01320-2","BUTP-95/20","hep-th",,"  We construct the family of spin chain Hamiltonians, which have affine $U_q g$
guantum group symmetry. Their eigenvalues coincides with the eigenvalues of the
usual spin chain Hamiltonians which have non-affine $U_q g_0$ quantum group
symmetry, but have the degeneracy of levels, corresponding to affine $U_q g$.
The space of states of these chaines are formed by the tensor product of the
fully reducible representations.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 17:17:50 GMT""}]","2007-05-23"
"hep-th/9506196","Steve Giddings","Steven B. Giddings and John M. Pierre","Some exact results in supersymmetric theories based on exceptional
  groups","27 pages (harvmac l mode)","Phys. Rev. D 52, 6065 (1995)","10.1103/PhysRevD.52.6065","UCSBTH-95-14","hep-th hep-ph",,"  We begin an investigation of supersymmetric theories based on exceptional
groups. The flat directions are most easily parameterized using their
correspondence with gauge invariant polynomials. Symmetries and holomorphy
tightly constrain the superpotentials, but due to multiple gauge invariants
other techniques are needed for their full determination. We give an explicit
treatment of $G_2$ and find gaugino condensation for $N_f\leq 2$, and an
instanton generated superpotential for $N_f=3$. The analogy with $SU(N_c)$
gauge theories continues with modified and unmodified quantum moduli spaces for
$N_f=4$ and $N_f=5$ respectively, and a non-Abelian Coulomb phase for
$N_f\geq6$. Electric variables suffice to describe this phase over the full
range of $N_f$. The appendix gives a self-contained introduction to $G_2$ and
its invariant tensors.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 00:26:59 GMT""}]","2016-08-24"
"hep-th/9506197","Rainer Dick","Rainer Dick","Remarks on chiral symmetry breaking with massless fermions","LaTex, 7 pages, one misleading remark corrected and a comment added",,,,"hep-th hep-ph",,"  In this talk I present recent results on Lorentz covariant correlation
functions $\langle q(p_1)\overline{q}(p_2)\rangle$ on the cone $p^2=0$. In
particular, chiral symmetry breaking terms are constructed which resemble
fermionic 2--point functions of 2--D CFT up to a scalar factor.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 18:45:35 GMT""},{""version"":""v2"",""created"":""Thu, 6 Jul 1995 02:49:58 GMT""}]","2008-02-03"
"hep-th/9506198","Andre LeClair","Andre LeClair and Dennis Nemeschansky","Affine Lie Algebra Symmetry of Sine-Gordon Theory at Reflectionless
  Points","8 pages, plaintex, uses harvmac","Mod.Phys.Lett. A11 (1996) 139-146","10.1142/S0217732396000163","CLNS 95/1340, CERN-Th/95-113","hep-th",,"  The quantum affine symmetry of the sine-Gordon theory at q^2 = 1, which
occurs at the reflectionless points, is studied. Conserved currents that
correspond to the closure of simple root generators are considered, and shown
to be local. We argue that they satisfy the affine sl(2) algebra. Examples of
these currents are explicitly constructed.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 20:09:03 GMT""}]","2015-06-26"
"hep-th/9506199","Kenneth S. Clubok","K. Clubok and M.B. Halpern","The WZW Model as a Dynamical System on Affine Lie Groups","46 pages, Latex","Int.J.Mod.Phys. A11 (1996) 2167-2212","10.1142/S0217751X96001097","UCB-PTH-95/23, LBL-37455","hep-th",,"  Working directly on affine Lie groups, we construct several new formulations
of the WZW model. In one formulation WZW is expressed as a one-dimensional
mechanical system whose variables are coordinates on the affine Lie group. When
written in terms of the affine group element, this formulation exhibits a
two-dimensional WZW term. In another formulation WZW is written as a
two-dimensional field theory, with a three-dimensional WZW term, whose fields
are coordinates on the affine group. On the basis of these equivalent
formulations, we develop a translation dictionary in which the new formulations
on the affine Lie group are understood as mode formulations of the conventional
WZW formulation on the Lie group. Using this dictionary, we also express WZW as
a three-dimensional field theory on the Lie group with a four-dimensional WZW
term.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 21:01:37 GMT""}]","2015-06-26"
"hep-th/9506200","Amanda Peet","Amanda W. Peet (Princeton University)","Entropy and supersymmetry of $D$ dimensional extremal electric black
  holes versus string states","26 pages, LaTeX. Version to appear in Nucl. Phys. B. (minor changes:
  typos fixed and eq.(4.16) corrected)","Nucl.Phys. B456 (1995) 732-752","10.1016/0550-3213(95)00537-2","PUPT-1548","hep-th",,"  Following the work of Sen, we consider the correspondence between extremal
black holes and string states in the context of the entropy. We obtain and
study properties of electrically charged black hole backgrounds of tree level
heterotic string theory compactified on a $p$ dimensional torus, for
$D=(10-p)=4 \ldots 9$. We study in particular a one--parameter extremal class
of these black holes, the members of which are shown to be supersymmetric. We
find that the entropy of such an extremal black hole, when calculated at the
stringy stretched horizon, scales in such a way that it can be identified with
the entropy of the elementary string state with the corresponding quantum
numbers.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 02:01:18 GMT""},{""version"":""v2"",""created"":""Sun, 15 Oct 1995 18:07:06 GMT""}]","2009-10-28"
"hep-th/9506201",,"Brian Davies and Masato Okado","Excitation Spectra of Spin Models constructed from Quantized Affine
  Algebras of type $B_n^{(1)}$, $D_n^{(1)}$","Plain TeX --- 178k including 3 eps files. 1. For correct
  cross-references, run twice (as with LaTeX). 2. The FIGURES for this paper
  are at the end of this file. They must split off and saved with names
  fig1.eps, fig2.eps, fig3.eps The standard macros package epsf.tex is also
  required","Int.J.Mod.Phys. A11 (1996) 1975-2018","10.1142/S0217751X96001012",,"hep-th",,"  The energy and momentum spectrum of the spin models constructed from the
vector representation of the quantized affine algebras of type $\B$ and $\D$
are computed using the approach of Davies et al. \cite{DFJMN92}. The results
are for the anti-ferromagnetic (massive) regime, and they agree with the mass
spectrum found from the factorized S--matrix theory by Ogievetsky et al.
\cite{ORW87}. The other new result is the explicit realization of the fusion
construction for the quantized affine algebras of type $\B$ and $\D$.}
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 15:32:59 GMT""}]","2015-06-26"
"hep-th/9506203","Igor Tyutin","I. A. Batalin and I. V. Tyutin","On the Perturbative Equivalence Between the Hamiltonian and Lagrangian
  Quantizations","14 pages, LaTeX, no figures","Int.J.Mod.Phys. A11 (1996) 1353-1366","10.1142/S0217751X96000626","FIAN/TD/95-13","hep-th",,"  The Hamiltonian (BFV) and Lagrangian (BV) quantization schemes are proved to
be equivalent perturbatively to each other. It is shown in particular that the
quantum master equation being treated perturbatively possesses a local formal
solution.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 10:59:01 GMT""}]","2015-06-26"
"hep-th/9506204",,"J.S.Dowker and J.S.Apps","Functional determinants on certain domains","14p, plain TeX, talk presented at the 6th Moscow Quantum Gravity
  Seminar, Moscow, June 12-19, 1995.(Minor errors corrected.)","Int.J.Mod.Phys.D5:799-812,1996","10.1142/S0218271896000485","MUTP/95/9","hep-th",,"  Functional determinants on various domains of the sphere and flat space are
presented for scalar and spinor fields.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 13:41:51 GMT""},{""version"":""v2"",""created"":""Mon, 3 Jul 1995 08:30:53 GMT""}]","2011-04-20"
"hep-th/9506205","A. A. Kehagias","Alexandros A. Kehagias","Infinite-dimensional algebras in dimensionally reduced string theory","13 pages, Latex","Phys.Lett.B360:19-25,1995","10.1016/0370-2693(95)01149-K","NTUA-51/95","hep-th",,"  We examine 4-dimensional string backgrounds compactified over a two torus.
There exist two alternative effective Lagrangians containing each two
$SL(2)/U(1)$ sigma-models. Two of these sigma-models are the complex and the
K\""ahler structures on the torus. The effective Lagrangians are invariant under
two different $O(2,2)$ groups and by the successive applications of these
groups the affine $\widehat{O}(2,2)$ Kac-Moody is emerged. The latter has also
a non-zero central term which generates constant Weyl rescalings of the reduced
2-dimensional background. In addition, there exists a number of discrete
symmetries relating the field content of the reduced effective Lagrangians.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 15:12:54 GMT""}]","2010-11-19"
"math/9506201",,"Xianghong Gong","Fixed points of elliptic reversible transformations with integrals",,,,,"math.CV",,"  We show that for a certain family of integrable reversible transformations,
the curves of periodic points of a general transformation cross the level
curves of its integrals. This leads to the divergence of the normal form for a
general reversible transformation with integrals. We also study the integrable
holomorphic reversible transformations coming from real analytic surfaces in
C^2 with non-degenerate complex tangents. We show the existence of real
analytic surfaces with hyperbolic complex tangents, which are contained in a
real hyperplane, but cannot be transformed into the Moser-Webster normal form
through any holomorphic transformation.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 18:21:06 GMT""}]","2009-09-25"
"math/9506202",,"Xianghong Gong","Divergence of the normalization for real Lagrangian surfaces near
  complex tangents",,,,,"math.CV",,"  We study real Lagrangian analytic surfaces in C^2 with a non-degenerate
complex tangent. Webster proved that all such surfaces can be transformed into
a quadratic surface by formal symplectic transformations of C^2. We show that
there is a certain dense set of real Lagrangian surfaces which cannot be
transformed into the quadratic surface by any holomorphic (convergent)
transformation of C^2. The divergence is contributed by the parabolic character
of a pair of involutions generated by the real Lagrangian surfaces.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 18:21:02 GMT""}]","2009-09-25"
"math/9506203",,"Xianghong Gong","Integrable analytic vector fields with a nilpotent linear part",,,,,"math.CV",,"  We study the normalization of integrable analytic vector fields with a
nilpotent linear part. We prove that such an analytic vector field can be
transformed into a certain form by convergent transformations when it has a
non-singular formal integral. In particular, we show that a formally
linearizable analytic vector field with a nilpotent linear part is linearizable
by convergent transformations. We then prove that there are smoothly
linearizable parabolic analytic transformations which cannot be embedded into
the flow of any analytic vector field with a nilpotent linear part.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 18:20:58 GMT""}]","2008-02-03"
"math/9506204",,"Xianghong Gong","Unimodular invariants of totally real tori in C^n",,,,,"math.CV",,"  We study the global invariants of real analytic manifolds in the complex
space with respect to the group of holomorphic unimodular transformations. We
consider only totally real manifolds which admits a certain fibration over the
circle. We find a complete set of invariants for totally real tori in C^n which
are close to the standard torus. The invariants are obtained by an analogous
classification of complex-valued analytic $n$-forms on the standard torus. We
also study the realization of certain exact complex-valued analytic $n$-forms
on the standard torus through non-critical totally real embeddings.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 18:20:54 GMT""}]","2009-09-25"
"nucl-ex/9506002","James Ritman","J.L.Ritman, N.Herrmann, D.Best and the FOPI collaboration","On the transverse momentum distribution of strange hadrons produced in
  relativistic heavy ion collisions","3 pages TeX using pljour2 (Springer Verlag), or compressed and
  uuencoded postscript","Z.Phys. A352 (1995) 355-357","10.1007/BF01299750",,"nucl-ex",,"  Particles with strange quark content produced in the system 1.93 AGeV
$^{58}$Ni on $^{58}$Ni have been investigated at GSI Darmstadt with the FOPI
detector system. The correlation of these produced particles was analyzed with
respect to the reaction plane. Lambda baryons exhibit a very pronounced
sideward flow pattern which is qualitatively similar to the proton flow.
However, the kaon ($K^+$,$K^0_S$) flow patterns are significantly different
from that of the protons, and their form may be useful to restrict theoretical
models on the form of the kaon potential in the nuclear medium.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 08:58:22 GMT""},{""version"":""v2"",""created"":""Mon, 3 Jul 1995 10:34:43 GMT""}]","2019-08-17"
"nucl-th/9506029",,"G. Kn\""ochlein, D. Drechsel, L. Tiator (Inst.Nucl.Phys., Mainz,
  Germany)","Photo- and Electroproduction of Eta Mesons","24 pages RevTeX/LaTeX2.09, NFSS1, 13 figures (in separate file
  (tar,gzip and uue)), accepted for publication in Z. Phys. A","Z.Phys.A352:327-343,1995","10.1007/BF01289506","MKPH-T-95-02","nucl-th",,"  Eta photo- and electroproduction off the nucleon is investigated in an
effective lagrangian approach that contains Born terms and both vector meson
and nucleon resonance contributions. In particular, we review and develop the
formalism for coincidence experiments with polarization degrees of freedom. The
different response functions appearing in single and double polarization
experiments have been studied. We will present calculations for structure
functions and kinematical conditions that are most sensitive to details of the
lagrangian, in particular with regard to contributions of nucleon resonances
beyond the dominant $S_{11}$(1535) resonance.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 17:13:18 GMT""}]","2008-11-26"
"nucl-th/9506030","Thomas Meissner","Thomas Meissner (University of South Carolina)","The Pion-Nucleon Form Factor From QCD Sum Rules","13 pages (REVTEX), 6 figures as 5 postscript files (as fig.uu tarred,
  compressed, uudecoded)","Phys.Rev.C52:3386-3392,1995","10.1103/PhysRevC.52.3386","USC(NT)-95-4","nucl-th hep-ph",,"  QCD sum rules are used to calculate the $q^2$ dependence of the $\pi NN$
coupling $g_{\pi NN} (q^2)$ in the spacelike region $0.5 \ {\mbox{GeV}}^2
\lesssim q^2 \lesssim 1.5\ {\mbox{GeV}}^2$. We study the Borel sum rule for the
three point function of one pseudoscalar and two nucleon currents up to order
four in the operator product expansion. The Borel transform is performed with
respect to the nucleon momenta, whereas the momentum $q^2$ of the pseudoscalar
vertex is kept fixed at spacelike values. The results can be well fitted using
a monopole form with a cutoff mass of about $\Lambda_\pi \approx 800 \
{\mbox{MeV}}.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 21:30:44 GMT""}]","2008-11-26"
"nucl-th/9506031","Roelof Bijker","R. Bijker and A. Leviatan","Electromagnetic couplings in a collective model of the nucleon","latex, 12 pages, 5 figures uuencoded. Invited talk at the XVIII
  Nuclear Physics Symposium at Oaxtepec, to be published in Revista Mexicana de
  Fisica","Rev. Mex. Fis. 41, Suplemento 1 (1995) 62",,,"nucl-th hep-ph",,"  We study the electromagnetic properties of the nucleon and its excitations in
a collective model. In the ensuing algebraic treatment all results for helicity
amplitudes and form factors can be derived in closed form in the limit of a
large model space. We discuss nucleon form factors and transverse
electromagnetic couplings in photo- and electroproduction, including transition
form factors that can be measured at new electron facilities.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 23:29:35 GMT""}]","2007-05-23"
