"adap-org/9506003",,"Jan Finjord (Stavanger College and CNLS, LANL)","Self-Organization in Models of Populations with Two-Parent Reproduction
  on a Rugged Fitness Landscape","6 pages plus 5 figures as 6 postscript files, tar-compressed and
  uuencoded into one 84 kb file",,,,"adap-org nlin.AO q-bio",,"  The two-parent reproduction model of Derrida and Peliti is simulated on a
rugged fitness landscape. Fixed fitness values for each possible genotype are
assigned randomly, with all fit individuals having the same probability of
reproduction. The previously observed transition to a self-organized state of
the population with less recombinational load, implies an abrupt change of
genetic overlap distributions, showing up characteristics of a phase
transition. A crossover variant of the model has a smoother transition to the
adapted regime, with a residual collective adaptation for small values of the
threshold in fitness. When a geographical constraint (shortest possible
distance) on pairwise reproduction in a population arranged one-dimensionally
is imposed, a poised state results, suggestive of self-organized criticality.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 23:53:40 GMT""}]","2015-06-30"
"hep-ph/9506430","Seong-Youl Choi","S.Y. Choi and K. Hagiwara","Probing the Top-Quark Electric Dipole Moment at a Photon Linear Collider","Latex, 11 pages, 1 figure (not included). One compressed postscript
  file of the paper available at
  ftp://ftp.kek.jp/kek/preprints/TH/TH-443/kekth443.ps.gz","Phys.Lett.B359:369-374,1995","10.1016/0370-2693(95)01094-7","KEK-TH-443, KEK Preprint 95-80","hep-ph",,"  We probe the top-quark electric dipole moment (EDM) in top-quark pair
production via photon-photon fusion at a photon linear collider. We show how
linearly-polarized photon beams can be used to extract information on the
top-quark EDM without the use of complicated angular correlations of top-quark
decay products. If the luminosity of the laser back-scattered photon-photon
collisions is comparable to that of the $e^+e^-$ collisions, then the
measurement of the top-quark EDM obtained by counting top-quark-production
events in photon fusion can be as accurate as the measurement obtained by
studying the $t\bar{t}$ decay correlations in $e^+e^-$ collisions using a
perfect detector.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 08:39:00 GMT""}]","2008-11-26"
"hep-ph/9506431",,"N.V.Krasnikov","The phenomenology of scalar octets","8 pages, latex, no figures","JETP Lett. 62 (1995) 7-11; Pisma Zh.Eksp.Teor.Fiz. 62 (1995) 9-13",,"Preprint ENSLAPP-A-529/95","hep-ph",,"  We discuss the phenomenology of colour scalar octets. Namely, we consider the
discovery potential of scalar octets at LEP, FNAL and LHC. Scalar octets decay
mainly into two gluons and new hadrons composed from scalar colour octets are
rather long lived $(\Gamma \leq O(10)Kev)$. For the scalar octet masses $M \geq
O(50)Gev$ scalar octets producing at FNAL or LHC decay into two gluons that
leads to additional four-jet events. We propose to look for scalar octets by
the measurement of the distributions of differential cross sections on the
invariant di-jet masses. Scalar octets naturally arise in models with
compactification of additional space dimensions. In such models the branching
ratio for the scalar octet bound state into two photons is $O(10^{-2})$ that
leads to the events with two photons and two jets. We also point out that the
current experimental data don't contradict to the existence of light ($M \sim
O(1)Gev$) scalar octets. Light scalar octets give additional contribution into
QCD $\beta$-function and allow to improve the agreement between deep inelastic
and LEP data.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 08:38:23 GMT""}]","2007-05-23"
"hep-ph/9506432",,"V.S. Fadin, R. Fiore, A. Quartarolo","Reggeization of quark-quark scattering amplitude in QCD","31 pages+2figures(appended as a postscript file), Latex","Phys.Rev. D53 (1996) 2729-2741","10.1103/PhysRevD.53.2729","CS-TH 12/95","hep-ph",,"  $s$-channel discontinuity of quark-quark scattering amplitude with gluon
quantum numbers in the $t$ channel and negative signature is calculated in the
Regge kinematical region in the two-loop approximation. Using this
discontinuity and assuming that the Regge asymptotic behaviour is given by the
Reggeized gluon contribution, we calculate the gluon trajectory in the two-loop
approximation. Remarkable cancellations lead to the independence of the
trajectory on properties of the scattered quarks, confirming the gluon
Reggeization.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 09:36:37 GMT""}]","2009-10-28"
"hep-ph/9506433","Patrick Peter du Darc","Anne-Christine Davis and Patrick Peter","Cosmic Strings are Current-Carrying","5 pages, uses LaTeX-ReVTeX, no figures","Phys.Lett. B358 (1995) 197-202","10.1016/0370-2693(95)00966-O","CERN-TH/95-173 and DAMTP-95-34","hep-ph",,"  A synthesis of previous work done on the microscopic structure of cosmic
strings in realistic models is made and reveals that strings are expected to be
not only superconducting in the sense of Witten, but also generically
current-carrying, either at the GUT scale or at the electroweak scale. This
applies to any GUT string forming model leading to the standard electroweak
theory as a low energy limit. The current consists of charged vector bosons.
Cosmological consequences are briefly discussed.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 13:11:38 GMT""}]","2009-10-28"
"hep-ph/9506434","Stamenov Dimiter","Aleksander V. Sidorov, Dimiter B. Stamenov","Constraints on ""Fixed Point"" QCD from the CCFR Data on Deep Inelastic
  Neutrino-Nucleon Scattering","7 pages, LaTex","Phys.Lett. B357 (1995) 423-426","10.1016/0370-2693(95)00940-M","IC/95/120","hep-ph",,"  The results of LO {\it Fixed point} QCD (FP-QCD) analysis of the CCFR data
for the nucleon structure function $~xF_3(x,Q^2)~$ are presented. The
predictions of FP-QCD, in which $~\alpha_{s}(Q^2)~$ tends to a nonzero coupling
constant $\alpha_{0}$ as $~Q^2\to \infty~,$ are in good agreement with the
data. If $~\alpha_{0}~$ is a first order zero of the $~\beta~$ function,
constraints for the possible values of the $~\beta~$ function parameter $~b~$
regulating how fast $~\alpha_ s(Q^2)~$ tends to its asymptotic value
$~\alpha_{0}~$ are found from the data. The corresponding values of
$~\alpha_{0}~$ are also determined. Having in mind the recent QCD fits to the
same data we conclude that in spite of the high precision and the large
$~(x,Q^2)~$ kinematic range of the CCFR data they cannot discriminate between
QCD and FP-QCD predictions for $~xF_3(x,Q^2)~$.
  PACS: 12.38.Qk; 19.90+b; 13.60 Hb
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 14:01:20 GMT""}]","2016-09-01"
"hep-ph/9506435","Don Lichtenberg","D. B. Lichtenberg (Indiana University)","Quantitative corrections to mass sum rules involving baryons containing
  heavy quarks","4 pages, plaintex",,,"IUHET-306, June, 1995","hep-ph",,"  Quantitative corrections are estimated to three of Franklin's sum rules
involving the masses of baryons containing at least one charmed quark and to
three analogous sum rules for baryons containing at least one bottom quark. The
corrections arise from three-body contributions to baryon interaction energies
and are calculated from a semiempirical formula for the colormagnetic
contributions to baryon masses.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 14:12:08 GMT""}]","2007-05-23"
"hep-ph/9506436","Peter Rehberg","P. Rehberg, S. P. Klevansky and J. H""ufner","Hadronization in the SU(3) Nambu-Jona-Lasinio Model","43 Pages REVTeX, 25 Figures as separate file","Phys.Rev.C53:410-429,1996","10.1103/PhysRevC.53.410","HD-TVP-95-06","hep-ph nucl-th",,"  The hadronization process for quarks combining into two mesons, q\bar q\to
MM' at temperature T is described within the SU(3) Nambu- Jona-Lasinio model
with finite current quark masses. Invariant matrix elements, cross-sections and
transition rates are calculated to leading order in a 1/N_c expansion. Four
independent classes, u\bar d, u\bar s, u\bar u and s\bar s\to hadrons are
analysed, and the yield is found to be dominated by pion production. Threshold
behaviour is determined by the exothermic or endothermic nature of the
processes constituting the hadronization class. A strong suppression of
transition rates is found at the pionic Mott temperature T_{M\pi}=212 MeV, at
which the pion becomes a resonant state. The mean time for hadronization is
calculated to be 2-4 fm/c near the Mott temperature. The calculation of
strangeness changing processes indicates that hadronization accounts for a 1%
increase in the absolute value of the kaon to pion ratio at T=150 MeV.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 14:38:38 GMT""},{""version"":""v2"",""created"":""Wed, 28 Jun 1995 08:02:56 GMT""}]","2010-04-06"
"hep-ph/9506437",,"J. Binnewies (Hamburg), B.A. Kniehl (FNAL), and G. Kramer (Hamburg)","Neutral-Kaon Production in e^+e^-, ep, and p\bar p Collisions at
  Next-to-Leading Order","15 pages, latex, 7 figures (uuencoded compressed tar postscript)","Phys.Rev. D53 (1996) 3573-3581","10.1103/PhysRevD.53.3573","DESY 95-114, FERMILAB-PUB-95/154-T, MPI/PhT/95-54","hep-ph hep-ex",,"  We present new sets of fragmentation functions for neutral kaons, both at
leading and next-to-leading order. They are fitted to data on inclusive K^0
production in e^+e^- annihilation taken by MARK II at PEP (\sqrt s = 29 GeV)
and by ALEPH at LEP. Our fragmentation functions lead to a good description of
other e^+e^- data on inclusive K^0 production at various energies. They also
nicely agree with the K_S^0 transverse-momentum spectra measured by H1 at the
DESY ep collider HERA, by UA5 at the CERN Sp\bar pS Collider, and by CDF at the
Fermilab Tevatron.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 14:48:11 GMT""}]","2009-10-28"
"hep-th/9506169","Georg Maximilian Gandenberger","G.M. Gandenberger and N.J. MacKay","Exact S-matrices for d_{n+1}^{(2)} affine Toda solitons and their bound
  states","Some minor changes and misprints corrected. Version to appear in
  Nuclear Physics B, 40 pages, LATEX","Nucl.Phys. B457 (1995) 240-272","10.1016/0550-3213(95)00462-9","DAMTP-95-33","hep-th",,"  We conjecture an exact S-matrix for the scattering of solitons in
$d_{n+1}^{(2)}$ affine Toda field theory in terms of the R-matrix of the
quantum group $U_q(c_n^{(1)})$. From this we construct the scattering
amplitudes for all scalar bound states (breathers) of the theory. This S-matrix
conjecture is justified by detailed examination of its pole structure. We show
that a breather-particle identification holds by comparing the S-matrix
elements for the lowest breathers with the S-matrix for the quantum particles
in real affine Toda field theory, and discuss the implications for various
forms of duality.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 18:01:26 GMT""},{""version"":""v2"",""created"":""Fri, 6 Oct 1995 10:46:38 GMT""}]","2009-10-28"
"hep-th/9506170","Kimyeong Lee","Hsien-Chung Kao, Kimyeong Lee and Taejin Lee","The Chern-Simons Coefficient in Supersymmetric Yang-Mills Chern-Simons
  Theories","10 pages, tex with phyzzx macro, no figures","Phys.Lett. B373 (1996) 94-99","10.1016/0370-2693(96)00119-0","IP-ASTP-07, CU-TP-701, SNUTP-95-067","hep-th",,"  We study one-loop correction to the Chern-Simons coefficient $\kappa=k/4\pi$
in $N=1,2,3$ supersymmetric Yang-Mills Chern-Simons systems. In the pure
bosonic case, the shift of the parameter $k$ is known to be $k\rightarrow k +
c_v$, where $c_v$ is the quadratic Casimir of the gauge group. In the $N=1$
case, the fermionic contribution cancels the bosonic contribution by half and
the shift is $k \rightarrow k+ c_v/2$, making the theory anomalous if $c_v$ is
odd. In the $N=2,3$ cases, the fermionic contribution cancels the bosonic
contribution completely and there is no correction. We also calculate the mass
corrections, showing the supersymmetry is preserved. As the matter fields
decouple from the gauge field in the pure Chern-Simons limit, this work sheds
some light on the regularization dependency of the correction in pure
Chern-Simons systems. We also discuss the implication to the case when the
gauge symmetry is spontaneously broken by the Higgs mechanism.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 18:01:12 GMT""}]","2017-08-23"
"hep-th/9506172","Seung H. Son","Seung Hwan Son (University of Illinois at Urbana-Champaign)","The equations of some dispersionless limit","AmSTeX, 6 pages, amsppt.sty",,,,"hep-th",,"  This short article presents a table of new equations which can be regarded as
the generalized equations of the dispersionless limit of several nonlinear
equations. From the definition expressed in an algebraic formula, one can get
an equation for any positive numbers p and q. The equations were calculated by
using the computers and were examined by hand-calculation up to p=10. Relations
with some dispersionless hierarchies are mentioned.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 20:18:19 GMT""}]","2007-05-23"
"hep-th/9506173","Ahmed Hindawi","Ahmed Hindawi, Burt A. Ovrut, and Daniel Waldram","Higher-Derivative Gravitation in Bosonic and Superstring Theories","8 pages, LaTeX2e and AMS-LaTeX 1.2, Talk presented at SUSY'95, Ecole
  Polytechnique in Palaiseau, Palaiseau, France, May 15-19, 1995",,,"UPR-672T","hep-th gr-qc",,"  A discussion of the number of degrees of freedom, and their dynamical
properties, in higher-derivative gravitational theories is presented. The
complete non-linear sigma model for these degrees of freedom is exhibited using
the method of auxiliary fields. As a by-product we present a consistent
non-linear coupling of a spin-2 tensor to gravitation. It is shown that
non-vanishing $(C_{\mu\nu\alpha\beta})^{2}$ terms arise in $N=1$, $D=4$
superstring Lagrangians due to one-loop radiative corrections with light field
internal lines.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 01:05:44 GMT""},{""version"":""v2"",""created"":""Sun, 3 Sep 1995 00:37:00 GMT""},{""version"":""v3"",""created"":""Tue, 26 Sep 1995 19:57:28 GMT""}]","2008-02-03"
"hep-th/9506174","Tom Wynter","Vladimir A. Kazakov, Matthias Staudacher and Thomas Wynter","Almost Flat Planar Diagrams","harvmac.tex and pictex.tex. Must be compiled ""big"". Diagrams are
  written directly into the text in pictex commands","Commun.Math.Phys. 179 (1996) 235-256","10.1007/BF02103721","LPTENS-95/24","hep-th",,"  We continue our study of matrix models of dually weighted graphs. Among the
attractive features of these models is the possibility to interpolate between
ensembles of regular and random two-dimensional lattices, relevant for the
study of the crossover from two-dimensional flat space to two-dimensional
quantum gravity. We further develop the formalism of large $N$ character
expansions. In particular, a general method for determining the large $N$ limit
of a character is derived. This method, aside from being potentially useful for
a far greater class of problems, allows us to exactly solve the matrix models
of dually weighted graphs, reducing them to a well-posed Cauchy-Riemann
problem. The power of the method is illustrated by explicitly solving a new
model in which only positive curvature defects are permitted on the surface, an
arbitrary amount of negative curvature being introduced at a single insertion.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 14:24:19 GMT""}]","2009-10-28"
"hep-th/9506176","M. Yoshimura","M.Yoshimura","Catastrophic Particle Production under Periodic Perturbation","33 pages","Prog.Theor.Phys. 94 (1995) 873-898","10.1143/PTP.94.873","TU/95/484","hep-th gr-qc hep-ph",,"  We develop a formalism to investigate the behavior of quantum field and
quantum ground state when the field is coupled to perturbation that
periodically oscillates. Working in the Schroedinger picture of quantum field
theory, we confirm that the phenomenon of parametric resonance in the classical
theory implies an instability of quantum vacuum, and correspondingly it gives
rise to catastrophic particle production if the oscillation lasts indefinitely;
the produced number of particles exponentially increases without bound as time
proceeds. The density matrix describing the limiting stage of the quantum state
is determined by a small set of parameters. Moreover, the energy spectrum and
the intensity of produced particles are worked out in greatest detail in the
limit of weak coupling or small amplitude perturbation. In the case of strong
coupling or large amplitude perturbation the leading adiabatic formula is
derived. Application to cosmological fate of weakly interacting spinless fields
(WISF) such as the invisible axion, the Polonyi, and the modular fields is
discussed. Although very little effect is expected on the invisible axion, the
Polonyi type field has a chance that it catastrophically decays at an early
epoch without much production of entropy, provided that an intrinsic coupling
is large enough.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 05:27:01 GMT""}]","2009-10-28"
"hep-th/9506177","J. A. de Azcarraga","Jose A. de Azcarraga and Alan J. Macfarlane","Group Theoretical Foundations of Fractional Supersymmetry","Plain Latex, 18 pages","J.Math.Phys. 37 (1996) 1115-1127","10.1063/1.531451","FTUV/95-23 IFIC/95-23","hep-th math.QA q-alg",,"  Fractional supersymmetry denotes a generalisation of supersymmetry which may
be constructed using a single real generalised Grassmann variable, $\theta =
\bar{\theta}, \, \theta^n = 0$, for arbitrary integer $n = 2, 3, ...$. An
explicit formula is given in the case of general $n$ for the transformations
that leave the theory invariant, and it is shown that these transformations
possess interesting group properties. It is shown also that the two generalised
derivatives that enter the theory have a geometric interpretation as generators
of left and right transformations of the fractional supersymmetry group.
Careful attention is paid to some technically important issues, including
differentiation, that arise as a result of the peculiar nature of quantities
such as $\theta$.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 08:01:45 GMT""}]","2009-10-28"
"hep-th/9506178","Marc Chemtob","M. Chemtob","Threshold corrections in orbifold models and superstring unification of
  gauge interactions","24 pages. 2 figures. Revised version: Several misprints corrected.
  Few minor additions.","Phys.Rev.D53:3920-3941,1996","10.1103/PhysRevD.53.3920","Saclay T95/086","hep-th",,"  The string one loop renormalization of the gauge coupling constants is
examined in abelian orbifold models. The contributions to string threshold
corrections independent of the compactification moduli fields are evaluated
numerically for several representative examples of orbifold models. We consider
cases with standard and non-standard embeddings as well as cases with discrete
Wilson lines background fields which match reasonably well with low energy
phenomenology. We examine one loop gauge coupling constants unification in a
description incorporating the combined effects of moduli dependent and
independent threshold corrections, an adjustable Kac-Moody level for the
hypercharge group factor and a large mass threshold associated with an
anomalous $U(1)$ mechanism.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 09:28:42 GMT""},{""version"":""v2"",""created"":""Tue, 18 Jul 1995 16:53:33 GMT""}]","2008-11-26"
"hep-th/9506179",,"Stefano De Leo and Pietro Rotelli","Quaternion Higgs and the Electroweak Gauge Group","14 pages, LaTex, nofigures, to appear in Int.J.of Mod.Phys.A","Int.J.Mod.Phys. A10 (1995) 4359","10.1142/S0217751X95002011","LE-95-06","hep-th",,"  We show that, in quaternion quantum mechanics with a complex geometry, the
minimal four Higgs of the unbroken electroweak theory naturally determine the
quaternion invariance group which corresponds to the Glashow group.
Consequently, we are able to identify the physical significance of the
anomalous Higgs scalar solutions. We introduce and discuss the complex
projection of the Lagrangian density.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 08:47:42 GMT""}]","2015-06-26"
"hep-th/9506180","Jens L. Petersen","J.L. Petersen, J. Rasmussen, M. Yu","Hamiltonian Reduction of $SL(2)$-theories at the Level of Correlators","13 pages, LaTeX","Nucl.Phys. B457 (1995) 343-356","10.1016/0550-3213(95)00503-X","NBI-HE-95-19","hep-th",,"  Since the work of Bershadsky and Ooguri and Feigin and Frenkel it is well
known that correlators of $SL(2)$ current algebra for admissible
representations should reduce to correlators for conformal minimal models. A
precise proposal for this relation has been given at the level of correlators:
When $SL(2)$ primary fields are expressed as $\phi_j(z_n,x_n)$ with $x_n$ being
a variable to keep track of the $SL(2)$ representation multiplet (possibly
infinitely dimensional for admissible representations), then the minimal model
correlator is supposed to be obtained simply by putting all $x_n=z_n$. Although
strong support for this has been presented, to the best of our understanding a
direct, simple proof seems to be missing so in this paper we present one based
on the free field Wakimoto construction and our previous study of that in the
present context. We further verify that the explicit $SL(2)$ correlators we
have published in a recent preprint reduce in the above way, up to a constant
which we also calculate. We further discuss the relation to more standard
formulations of hamiltonian reduction.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 11:26:05 GMT""},{""version"":""v2"",""created"":""Wed, 23 Aug 1995 09:42:32 GMT""}]","2009-10-28"
"math/9506206",,"Ilya Kapovich","Quasiconvexity and Amalgams","AMS-Tex, 28 pages, no figures. Submitted to Intern. J. Alg. Comp",,,"MAGNUS preprint #95-06-27B","math.GR",,"  We obtain a criterion for quasiconvexity of a subgroup of an amalgamated free
product of two word hyperbolic groups along a virtually cyclic subgroup. The
result provides a method of constructing new word hyperbolic group in class
(Q), that is such that all their finitely generated subgroups are quasiconvex.
It is known that free groups, hyperbolic surface groups and most 3-dimensional
Kleinian groups have property (Q). We also give some applications of our
results to one-relator groups and exponential groups.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 00:00:00 GMT""}]","2008-02-03"
"nucl-th/9506022","A. Baha Balantekin","J.E. Seger and A. B. Balantekin","Fermion Pair Production From an Electric Field Varying in Two Dimensions","Latex, 14 pages of text. Full postscript version available via the
  worldwide web at http://nucth.physics.wisc.edu/ or by anonymous ftp from
  ftp://nucth.physics.wisc.edu:/pub/preprints/","J.Math.Phys. 37 (1996) 219-226","10.1063/1.531385","MAD-NT-95-01","nucl-th hep-ph",,"  The Hamiltonian describing fermion pair production from an arbitrarily
time-varying electric field in two dimensions is studied using a
group-theoretic approach. We show that this Hamiltonian can be encompassed by
two, commuting SU(2) algebras, and that the two-dimensional problem can
therefore be reduced to two one-dimensional problems. We compare the group
structure for the two-dimensional problem with that previously derived for the
one-dimensional problem, and verify that the Schwinger result is obtained under
the appropriate conditions.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 19:14:36 GMT""}]","2009-10-28"
"nucl-th/9506023",,"Thomas D. Cohen and Gerald A. Miller","Rho-Omega Mixing Off Shell and Charge Symmetry Breaking In the N-N
  Potential","22 pages, revtex, no figures","Phys.Rev.C52:3428-3436,1995","10.1103/PhysRevC.52.3428","DOE/ER/40427-5-N95","nucl-th",,"  The role of the off-shell dependence of $\rho-\omega$ mixing in the charge
symmetry breaking nucleon-nucleon potential is discussed. It is shown that
models describing the off-shell dependence of $\rho-\omega$ mixing are not
sufficient to determine the charge symmetry breaking nucleon-nucleon potential.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 22:07:13 GMT""}]","2008-11-26"
"q-alg/9506022","Sergej Khoroshkin","S.Kharchev, S.Khoroshkin and D.Lebedev","Intertwining operators and Hirota bilinear equations","Latex, 13 pages, no figures. Contribution to the Proceedings of
  Alushta Conference, June 1994",,"10.1007/BF02066660",,"q-alg math.QA",,"  An interpretation of Hirota bilinear relations for classical $\tau$ functions
is given in terms of intertwining operators. Noncommutative example of
$U_q(sl_2)$ is presented.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 18:32:59 GMT""}]","2009-10-28"
"q-alg/9506023",,"Toshiki Nakashima","Crystallized structure for level 0 part of modified quantum affine
  algebra","39 pages, LaTex",,,,"q-alg math.QA",,"  Crystal base of the level 0 part of the modified quantum affine algebra
$\widetilde U_q(\widehat{sl_2})_0$ is given by path. Weyl group actions,
extremal vectors and crystal structure of all irreducible components are
described explicitly.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 21:17:19 GMT""}]","2008-02-03"
"q-alg/9506024","Yao-zhong Zhang","Mark D. Gould, Jon R. Links and Yao-Zhong Zhang","Type-I Quantum Superalgebras, $q$-Supertrace and Two-variable Link
  Polynomials","the version to be published in J. Math. Phys","J.Math.Phys. 37 (1996) 987-1003","10.1063/1.531422","University of Queensland and Kyoto University preprint YITP/K-1113","q-alg hep-th math.QA",,"  A new general eigenvalue formula for the eigenvalues of Casimir invariants,
for the type-I quantum superalgebras, is applied to the construction of link
polynomials associated with {\em any} finite dimensional unitary irrep for
these algebras. This affords a systematic construction of new two-variable link
polynomials asociated with any finite dimensional irrep (with a real highest
weight) for the type-I quantum superalgebras. In particular infinite families
of non-equivalent two-variable link polynomials are determined in fully
explicit form.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 05:09:12 GMT""},{""version"":""v2"",""created"":""Mon, 9 Oct 1995 05:06:02 GMT""}]","2009-10-28"
"q-alg/9506025","Anna Jadczyk","V.D. Lyakhovsky","Classical Limits, Quantum Duality and Lie-Poisson Structures","15 pages",,,"IFT UWr 891/95","q-alg math.QA",,"  Quantum duality principle is applied to study classical limits of quantum
algebras and groups. For a certain type of Hopf algebras the explicit procedure
to construct both classical limits is presented. The canonical forms of
quantized Lie-bialgebras are proved to be two-parametric varieties with two
classical limits called dual. When considered from the point of view of
quantized symmetries such varieties can have boundaries that are noncommutative
and noncocommutative. In this case the quantum duality and dual limits still
exist while instead of Lie bialgebra one has a pair of tangent vector fields.
The properties of these constructions called quantizations of Hopf pairs are
studied and illustrated on examples.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 11:24:30 GMT""},{""version"":""v2"",""created"":""Wed, 5 Jul 1995 14:07:26 GMT""}]","2008-02-03"
"q-alg/9506026","Eric Vasserot","M. Varagnolo and E. Vasserot","Schur duality in the toroidal setting","Plain TeX, 14 pages",,"10.1007/BF02517898",,"q-alg math.QA",,"  The goal of the present paper is to prove with simple algebraic methods a
Schur duality between Cherednik's double affine Hecke algebra of type GL(l) and
the toroidal quantum group of type SL(n+1) introduced by V. Ginzburg, M.
Kapranov and E. Vasserot in their ""Langlands duality on algebraic surfaces"".
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 14:38:53 GMT""}]","2009-10-28"
"quant-ph/9506039","Ruediger Schack","R. Schack, T. A. Brun and I. C. Percival (Physics, QMW, University of
  London)","Quantum state diffusion, localization and computation","16 pages in LaTeX, 2 uuencoded postscript figures, submitted to J.
  Phys. A","J.Phys. A28 (1995) 5401-5414","10.1088/0305-4470/28/18/028",,"quant-ph chao-dyn nlin.CD",,"  Numerical simulation of individual open quantum systems has proven advantages
over density operator computations. Quantum state diffusion with a moving basis
(MQSD) provides a practical numerical simulation method which takes full
advantage of the localization of quantum states into wave packets occupying
small regions of classical phase space. Following and extending the original
proposal of Percival, Alber and Steimle, we show that MQSD can provide a
further gain over ordinary QSD and other quantum trajectory methods of many
orders of magnitude in computational space and time. Because of these gains, it
is even possible to calculate an open quantum system trajectory when the
corresponding isolated system is intractable. MQSD is particularly advantageous
where classical or semiclassical dynamics provides an adequate qualitative
picture but is numerically inaccurate because of significant quantum effects.
The principles are illustrated by computations for the quantum Duffing
oscillator and for second harmonic generation in quantum optics. Potential
applications in atomic and molecular dynamics, quantum circuits and quantum
computation are suggested.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 14:53:00 GMT""},{""version"":""v2"",""created"":""Wed, 28 Jun 1995 13:34:00 GMT""}]","2009-10-28"
