"adap-org/9506002","Alexey Chekhlov","Alexei Chekhlov and Victor Yakhot (Program in Applied and
  Computational Mathematics, Princeton University, Princeton, New Jersey)","Kolmogorov turbulence in a random-force-driven Burgers equation","13 LaTeX pages, psfig.sty macros, Phys. Rev. E 51, R2739 (1995).",,"10.1103/PhysRevE.51.R2739",,"adap-org nlin.AO",,"  The dynamics of velocity fluctuations, governed by the one-dimensional
Burgers equation, driven by a white-in-time random force with the spatial
spectrum $\overline{|f(k)|^2}\proptok^{-1}$, is considered. High-resolution
numerical experiments conducted in this work give the energy spectrum
$E(k)\propto k^{-\beta}$ with $\beta =5/3\pm 0.02$. The observed two-point
correlation function $C(k,\omega)$ reveals $\omega\propto k^z$ with the
""dynamical exponent"" $z\approx 2/3$. High-order moments of velocity differences
show strong intermittency and are dominated by powerful large-scale shocks. The
results are compared with predictions of the one-loop renormalized perturbation
expansion.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 07:58:38 GMT""}]","2015-06-30"
"hep-ph/9506401","Robert Peschanski","R. Peschanski","Is it Possible to Unify the QCD Evolution of Structure Functions in $X$
  and $Q^2$ ?","7 pages, latex, no figures; Contribution to the XXXth Rencontres de
  MORIOND - March, 19-26,1995",,,"Saclay preprint SPhT T95/78","hep-ph",,"  We start from the two existing QCD evolution equations for structure
functions, the BFKL and DGLAP equations, and discuss the theoretical hints for
a unifying picture of the evolution in $x$ and $Q^2.$ The main difficulty is
due to the property of angular ordering of the gluon radiation driving the
evolution and the cancellation of the related collinear singularities. At the
leading $\log\ 1/x$ and leading $\log \ Q^2$ accuracy, we find a unified set of
equations satisfying the constraints.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 09:07:34 GMT""}]","2007-05-23"
"hep-ph/9506403","Johannes Bluemlein","J. Bl\""umlein","On the $k_{\perp}$ dependent gluon density of the proton","4 pages, uuencoded ps file",,,"DESY 95--121","hep-ph",,"  The $k_{\perp}$ dependent gluon distribution is calculated accounting for the
resummation of small~$x$ effects due to the Lipatov equation. It is represented
by a convolution of a gluon density in the collinear limit and a universal
function ${\cal G}(x,k^2,\mu)$ for which an analytic expression is derived.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 10:51:46 GMT""}]","2007-05-23"
"hep-ph/9506404","Jake Lee","C. S. Kim and Jake Lee","Large $p_T$ Hadroproduction of $Z$ as a Probe of Gluon Distribution
  inside Proton","(a) 13 pages(LaTeX) + 1 figure ps file(3 pages):compressed, uuencoded
  (b) accepted by Phys.Lett.B. (c) some figures are combined and one is
  omitted. (d) conclusion part is included into abstract","Phys.Lett. B366 (1996) 293","10.1016/0370-2693(95)01315-6","YUMS 95-014, SNUTP 95-053","hep-ph",,"  The transverse momentum distribution of single vector boson production at
hadron colliders provides useful ways of testing the Standard Model and
searching new physics beyond the Standard Model. We study large $p_{_T}$
hadroproduction of $Z$-boson as a probe of gluon distributions inside proton.
We investigate how to get initial gluon-involving contributions, or how to
subtract quark-quark (or -antiquark) contributions from total cross section. We
also investigated the simultaneous measurement of the rapidity and the
transverse momentum of the produced $Z$ boson, to obtain momentum fractions of
initial partons. And we extracted relevant uncertainties involving in
experimental and theoretical analyses. This large $p_{_T}$ hadroproduction of
$Z$ can be used as constraints on analyses of global parton (gluon and quarks)
distribution functions inside proton.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 12:51:06 GMT""},{""version"":""v2"",""created"":""Tue, 24 Oct 1995 06:05:34 GMT""}]","2009-10-28"
"hep-ph/9506405","Murray Moinester","Murray A. Moinester","How to Search for Doubly Charmed Baryons and Tetraquarks","21 pages text (latex), Review paper, submitted to Zeitschrift fur
  Physik A, Revised 30 June 1995 for additions to intrinsic charm discussion","Z.Phys.A355:349-362,1996","10.1007/s002180050123","Tel Aviv University TAUP-2255-95, 21 June 1995","hep-ph",,"  Possible experimental searches of doubly charmed baryons and tetraquarks at
fixed target experiments with high energy hadron beams and a high intensity
spectrometer are considered here. The baryons considered are: $\Xi_{cc}^{+}$
(ccd), $\Xi_{cc}^{++}$ (ccu), and $\Omega_{cc}^{+}$ (ccs); and the tetraquark
is T ($cc\bar{u}\bar{d}$). Estimates are given of masses, lifetimes, internal
structure, production cross sections, decay modes, branching ratios, and
yields. Experimental requirements are given for optimizing the signal and
minimizing the backgrounds. This paper is designed as an experimental and
theoretical review. It may therefore be of assistance in the planning for a
future state-of-the-art very charming experiment, in the spirit of the aims of
the recent CHARM2000 workshop.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 14:09:36 GMT""},{""version"":""v2"",""created"":""Sat, 24 Jun 1995 14:27:22 GMT""},{""version"":""v3"",""created"":""Fri, 30 Jun 1995 14:38:24 GMT""}]","2014-11-17"
"hep-ph/9506406","Alexander V. Lanyov","A.A.Bel'kov, A.V.Lanyov and S.Scherer","$\gamma\gamma\to\pi^0\pi^0$ and $\eta\to\pi^0\gamma\gamma$ at $O(p^6)$
  in the NJL model","16 pages, LaTeX, 2 figures included. Complete Postscript file is
  available at http://cv.jinr.dubna.su/~lanyov/save/gg-prep.ps","J.Phys.G22:1383-1394,1996","10.1088/0954-3899/22/10/004","JINR E2-95-266, MKPH-T-95-08","hep-ph",,"  We discuss the processes $\gamma\gamma\to\pi^0\pi^0$ and $\eta\to\pi^0
\gamma\gamma$ at $O(p^6)$ in the momentum expansion. The calculation involves
tree--level, one--loop and two--loop diagrams of a chiral effective lagrangian
which is obtained by a bosonization of the NJL model. The importance of
integrating out meson resonances (reduction) is pointed out. Our final results
for the total cross section of $\gamma\gamma\to\pi^0\pi^0$ are in good
agreement with the experimental data of the Crystal Ball Collaboration. For the
width of the $\eta\to\pi^0\gamma\gamma$ decay we obtain the value $0.11$ eV
which has to be compared with the experimental value of $(0.84 \pm 0.18)$ eV.
Alternatively, taking empirical parameters from a vector--meson--dominance
model the prediction for the decay width is $0.35$ eV. We present a prediction
for the differential decay probability as a function of
$m_{\gamma\gamma}^2/m_\eta^2$.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 14:14:07 GMT""},{""version"":""v2"",""created"":""Sat, 24 Jun 1995 14:50:01 GMT""}]","2008-11-26"
"hep-ph/9506407",,"F. Feruglio, A. Masiero, S. Rigolin and R. Strocchi","Bounds on Heavy Chiral Fermions","14 pages, LaTeX, 3 uuencoded postscript figures in additional file","Phys.Lett. B355 (1995) 329-336","10.1016/0370-2693(95)00696-I","DFPD 95/TH/27","hep-ph",,"  We derive the low-energy electroweak effective lagrangian for the case of
additional heavy, unmixed, sequential fermions. Present data still allow for
the presence of a new quark and/or lepton doublet with masses greater than
$M_Z/2$, provided that these multiplets are sufficiently degenerate. Deviations
of the effective lagrangian predictions from a full one-loop computation are
sizeable only for fermion masses close to the threshold $M_Z/2$. Some of the
constraints on new sequential fermions coming from accelerator results and
cosmological considerations are presented. We point out that the new fermions
can significantly affect the production and decay rate into $\gamma \gamma$ of
the intermediate Higgs at LHC.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 13:28:02 GMT""}]","2009-10-28"
"hep-ph/9506408","Ralf Hempfling","Ralf Hempfling","Supersymmetry at Present and Future Colliders","7 pages, LATEX, uses world-sci.sty file required ; talk given at the
  Ringberg Workshop ``Dark Matter in the Universe'', Ringberg, Germany, Mar.
  6-10, 1995, to appear in the proceedings",,,"MPI-PhT/95-56","hep-ph",,"  The theoretical expectations for the supersymmetric particle spectrum is
reviewed and a brief overview on present constraints on supersymmetric models
from collider experiments is presented. Finally, we discuss the discovery
potential of future collider experiments.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 14:04:59 GMT""}]","2007-05-23"
"hep-ph/9506409",,"Andrew Bordner (Kyoto University)","Parameter Bounds in the Supersymmetric Standard Model from Charge/Color
  Breaking Vacua","23 pages, 5 Postscript figures, uses revtex.sty and epsf.sty",,,"KUNS-1351","hep-ph",,"  We calculate limits on the trilinear soft-breaking parameter, $A_{t}$, in the
Minimal Supersymmetric Standard model by requiring the absence of nonzero top
squark vacuum expectation values. Assuming a low $\tan\beta$, which implies a
large top Yukawa coupling, we also calculate one-loop corrections to the
effective potential. The resulting numerical calculations of the charge/color
breaking limits are presented as best-fit surfaces. We compare these results
with the analytical limit, $A_{t}^{2} < 3(m_{2}^{2}+m_{q}^{2}+m_{t}^{2})$, and
find that although this bound is a good estimate of the charge/color breaking
bounds for a simplified model of the top sector, stricter bounds are found by a
numerical minimization of the Minimal Supersymmetric Standard Model potential.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 14:30:44 GMT""}]","2007-05-23"
"hep-th/9506151",,"JM Figueroa-O'Farrill and S Stanciu","Nonreductive WZW models and their CFTs","dvi.uu (34 pages)","Nucl.Phys. B458 (1996) 137-164","10.1016/0550-3213(95)00556-0","QMW-PH-95-16","hep-th",,"  We study two-dimensional WZW models with target space a nonreductive Lie
group. Such models exist whenever the Lie group possesses a bi-invariant
metric. We show that such WZW models provide a lagrangian description of the
nonreductive (affine) Sugawara construction. We investigate the gauged WZW
models and we prove that gauging a diagonal subgroup results in a conformal
field theory which can be identified with a coset construction. A large class
of exact four-dimensional string backgrounds arise in this fashion. We then
study the topological conformal field theory resulting from the $G/G$ coset. We
identify the Kazama algebra extending the BRST algebra, and the BV algebra
structure in BRST cohomology which it induces.
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 16:47:18 GMT""},{""version"":""v2"",""created"":""Fri, 23 Jun 1995 09:18:07 GMT""}]","2009-10-28"
"hep-th/9506152",,"JM Figueroa-O'Farrill and S Stanciu","On the structure of symmetric self-dual Lie algebras","19 pages, .dvi.uu (needs AMSFonts 2.1+)","J.Math.Phys. 37 (1996) 4121-4134","10.1063/1.531620","QMW-PH-95-24","hep-th",,"  A finite-dimensional Lie algebra is called (symmetric) self-dual, if it
possesses an invariant nondegenerate (symmetric) bilinear form. Symmetric
self-dual Lie algebras have been studied by Medina and Revoy, who have proven a
very useful theorem about their structure. In this paper we prove a refinement
of their theorem which has wide applicability in Conformal Field Theory, where
symmetric self-dual Lie algebras start to play an important role due to the
fact that they are precisely the Lie algebras which admit a Sugawara
construction. We also prove a few corollaries which are important in Conformal
Field Theory. (This paper provides mathematical details of results used, but
only sketched, in the companion paper hep-th/9506151.)
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 16:46:54 GMT""},{""version"":""v2"",""created"":""Fri, 23 Jun 1995 09:18:37 GMT""}]","2009-10-28"
"hep-th/9506153","Ali Mostafazadeh","Ali Mostafazadeh","Topological Aspects of Parasupersymmetry","LaTeX File, 10 pages",,,"ipm-June 1995","hep-th",,"  Parasupersymmetric quantum mechanics is exploited to introduce a topological
invariant associated with a pair of parameter dependent Fredholm (respectively
elliptic differential) operators satisfying two compatibility conditions. An
explicit algebraic expression for this topological invariant is provided. The
latter identifies the parasupersymmetric topological invariant with the sum of
the analytic (Atiyah-Singer) indices of the corresponding operators.
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 16:36:36 GMT""}]","2007-05-23"
"hep-th/9506156","Tomas Ortin","Eric Bergshoeff, Bert Janssen, Tomas Ortin","Solution--Generating Transformations and the String Effective Action","latex file, 42 pages (less if you use optional commands) No changes
  at all. Resubmited due to mailer problems","Class.Quant.Grav. 13 (1996) 321-343","10.1088/0264-9381/13/3/002","UG-1/95, QMW-PH-95-1","hep-th",,"  We study exhaustively the solution-generating transformations (dualities)
that occur in the context of the low-energy effective action of superstring
theory. We first consider target-space duality (``T duality'') transformations
in absence of vector fields. We find that for one isometry the full duality
group is (SO^{\uparrow}(1,1))^{3} x D_{4}, the discrete part (D_{4}) being
non-Abelian. We, then, include non-Abelian Yang--Mills fields and find the
corresponding generalization of the T duality transformations. We study the
\alpha^{\prime} corrections to these transformations and show that the T
duality rules considerably simplify if the gauge group is embedded in the
holonomy group. Next, in the case in which there are Abelian vector fields, we
consider the duality group that includes the transformation introduced by Sen
that rotates among themselves components of the metric, axion and vector field.
Finally we list the duality symmetries of the Type II theories with one
isometry.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 01:29:14 GMT""},{""version"":""v2"",""created"":""Sat, 10 Feb 1996 21:33:14 GMT""},{""version"":""v3"",""created"":""Fri, 9 Feb 1996 10:51:29 GMT""},{""version"":""v4"",""created"":""Thu, 15 Feb 1996 11:34:21 GMT""}]","2009-10-28"
"hep-th/9506157","Yao-zhong Zhang","Takeo Inami, Satoru Odake and Yao-Zhong Zhang","Supersymmetric extension of the sine-Gordon theory with integrable
  boundary interactions","Latex 9 pages, submitted to Phys. Lett. B","Phys.Lett. B359 (1995) 118-124","10.1016/0370-2693(95)01072-X","Kyoto University and Shinshu University preprint YITP/K-1109,
  DPSU-95-2","hep-th cond-mat",,"  Integrability and supersymmetry of the supersymmetric extension of the
sine-Gordon theory on a half-line are examined and the boundary potential which
preserves both the integrability and supersymmetry on the bulk is derived. It
appears that unlike the boundary bosonic sine-Gordon theory, integrability and
supersymmetry strongly restrict the form and parameters of the boundary
potential, so that no free parameter in the boundary term is allowed up to a
choice of signs.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 06:36:53 GMT""}]","2009-10-28"
"math/9506213",,"Tomasz Dubejko","Circle Packings in the Unit Disc",,,,"MSRI 1995-054","math.CV",,"  A Bl-packing is a (branched) circle packing that ``properly covers'' the unit
disc. We establish some fundamental properties of such packings. We give
necessary and sufficient conditions for their existence, prove their
uniqueness, and show that their underlying surfaces, known as carriers, are
quasiconformally equivalent to surfaces of classical Blaschke products. We also
extend our earlier approximation results of to general combinatorial patterns
of tangencies in Bl-packings. Finally, a branched version of the Discrete
Uniformization Theorem of Beardon and Stephenson is given.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 00:00:00 GMT""}]","2016-09-06"
"nucl-th/9506016",,"R. Knorren, M. Prakash and P.J. Ellis","Strangeness in Hadronic Stellar Matter","36 pages, revtex, figures by fax/mail from authors","Phys.Rev.C52:3470-3482,1995","10.1103/PhysRevC.52.3470","SUNY-NTG-95-15, NUC-MINN-95-13-T","nucl-th",,"  We examine the presence of strangeness-bearing components, hyperons and
kaons, in dense neutron star matter. Calculations are performed using
relativistic mean field models, in which both the baryon-baryon and kaon-baryon
interactions are mediated by meson exchange. Results of kaon condensation are
found to be qualitatively similar to previous work with chiral models, if
compatibility of the kaon optical potentials is required. The presence of
strangeness, be it in the form of hyperons or kaons, implies a reduction in the
maximum mass and a relatively large number of protons, sufficient to allow
rapid cooling to take place. The need to improve upon the poorly-known
couplings of the strange particles, which determine the composition and
structure of neutron stars, is stressed. We also discuss generic problems with
effective masses in mean field theories.
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 18:11:46 GMT""}]","2009-09-25"
"nucl-th/9506017","Silas Beane","S.R. Beane, C.Y. Lee, and U. van Kolck","Neutral Pion Photoproduction on Nuclei in Baryon Chiral Perturbation
  Theory","24 pages, 4 uuencoded postscript figures, uses LaTex and epsf.tex.
  Added footnote and references. Minor changes in text and format","Phys.Rev.C52:2914-2924,1995","10.1103/PhysRevC.52.2914","DUKE-TH-95-88, DOE/ER/40427-06-N95","nucl-th hep-ph",,"  Threshold neutral pion photoproduction on light nuclei is studied in the
framework of baryon chiral perturbation theory. We obtain a general formula for
the electric dipole amplitude in the special case of neutral pion
photoproduction on a nucleus. To third order in small momenta, the amplitude is
a sum of 2- and 3-body interactions with no undetermined parameters. With
reasonable input from the single nucleon sector, our result for neutral pion
photoproduction on the deuteron is in agreement with experiment.
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 20:13:51 GMT""},{""version"":""v2"",""created"":""Thu, 7 Dec 1995 22:29:49 GMT""}]","2008-11-26"
"nucl-th/9506019","Elaine Remillard","M.S. Fayache, S. Shelly Sharma and L. Zamick","The Isovector Quadrupole-Quadrupole Interaction Used in Shell Model
  Calculations","12 pages, revtex, 2 figures (available on request)",,"10.1016/0370-2693(95)00899-V","RU9543","nucl-th",,"  An interaction $-\chi Q\cdot Q(1+B\vec{\tau}(1)\cdot \vec{\tau}(2))$ is used
in a shell model calculation for $^{10}Be$. Whereas for $B=0$ the $2_1^+$ state
is two-fold degenerate, introducing a negative $B$ causes an `isovector' $2^+$
state to come down to zero energy at $B=-0.67$ and an $S=1~L=1$ triplet
($J=0^+,~1^+,~2^+$) to come down to zero energy at $B=-0.73$. These are
undesirable properties, but a large negative $B$ is apparently needed to fit
the energy of the isovector giant quadrupole resonance.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 13:50:18 GMT""}]","2009-10-28"
"q-alg/9506017","Gustav Delius","Gustav W. Delius and Andreas Hueffmann (Dept. Of Mathematics, King's
  College, London)","On Quantum Lie Algebras and Quantum Root Systems","22 pages, latex, version to appear in J. Phys. A. see
  http://www.mth.kcl.ac.uk/~delius/q-lie.html for calculations and further
  information","J.Phys.A29:1703-1722,1996","10.1088/0305-4470/29/8/018","KCL-TH-95-04","q-alg hep-th math.QA",,"  As a natural generalization of ordinary Lie algebras we introduce the concept
of quantum Lie algebras ${\cal L}_q(g)$. We define these in terms of certain
adjoint submodules of quantized enveloping algebras $U_q(g)$ endowed with a
quantum Lie bracket given by the quantum adjoint action. The structure
constants of these algebras depend on the quantum deformation parameter $q$ and
they go over into the usual Lie algebras when $q=1$.
  The notions of q-conjugation and q-linearity are introduced. q-linear
analogues of the classical antipode and Cartan involution are defined and a
generalised Killing form, q-linear in the first entry and linear in the second,
is obtained. These structures allow the derivation of symmetries between the
structure constants of quantum Lie algebras.
  The explicitly worked out examples of $g=sl_3$ and $so_5$ illustrate the
results.
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 17:12:46 GMT""},{""version"":""v2"",""created"":""Tue, 6 Feb 1996 16:35:50 GMT""}]","2016-09-08"
"q-alg/9506018","Timothy J. Hodges","Timothy J. Hodges","On the Cremmer-Gervais quantizations of SL(n)","14 pages, AMS-Latex",,,,"q-alg math.QA",,"  Non-standard quantum groups $C_R [GL(n)]$ and $C_R [SL(n)]$ are constructed
for a two parameter version of the Cremmer-Gervais $R$-matrix. An epimorphism
is constructed from $C_R [GL(n)]$ onto the restricted dual
$U_{\bar{R}}(\frak{gl}(n-1))$ associated to a related smaller $R$-matrix of the
same form.
  A related result is proved concerning factorizable Lie bialgebras. For any
such Lie bialgebra, the dual Lie bialgebra has a canonical homomorphic image
which is again factorizable.
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 19:27:45 GMT""}]","2008-02-03"
"q-alg/9506019","Yao-zhong Zhang","Mark D. Gould, Jon R. Links and Yao-Zhong Zhang","Eigenvalus of Casimir Invariants for Type-I Quantum Superalgebras","13 pages, AmsTex file; to appear in Lett. Math. Phys","Lett. Math. Phys. 36 (1996) 415-425","10.1007/BF00714406","University of Queensland and Kyoto University preprint YITP/K-1112","q-alg hep-th math.QA",,"  We present the eigenvalues of the Casimir invariants for the type I quantum
superalgebras on any irreducible highest weight module.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 06:41:34 GMT""},{""version"":""v2"",""created"":""Wed, 26 Jul 1995 07:36:31 GMT""}]","2009-10-28"
"quant-ph/9506036","Elaine Remillard","S. Shelly Sharma, N. K. Sharma, and Larry Zamick","Atom in a $q$-Analog Harmonic Oscillator Trap","13 pages, revtex, 4 figures available upon request",,,"RU9544","quant-ph nucl-th",,"  We study the population inversion and Q-function of a two-level atom,
interacting with single-mode laser light field, in a $q$-analog harmonic
oscillator trap for increasing $q$. For $\tau=.003(q=e^{\tau})$ the collapses
and revivals of population inversion become well defined facilitating
experimental observation but for large $\tau \sim 0.1$ the time dependence of
population inversion is completely wiped out.
","[{""version"":""v1"",""created"":""Thu, 22 Jun 1995 20:05:08 GMT""}]","2009-09-25"
"quant-ph/9506037","Peter Nattermann","P. Nattermann","Symmetry, Local Linearization, and Gauge Classification of the
  Doebner-Goldin Equation","17 pages, LaTeX, 1 figure, to appear in Reports on Mathematical
  Physics","Rep. Math. Phys. 36(2/3), 387-402","10.1016/0034-4877(96)83634-2","ASI-TPA/8/95","quant-ph hep-th nlin.SI solv-int",,"  For the family of nonlinear Schr\""odinger equations derived by H.-D.~Doebner
and G.A.~Goldin (J.Phys.A 27, 1771) we calculate the complete set of Lie
symmetries. For various subfamilies we find different finite and infinite
dimensional Lie symmetry algebras. Two of the latter lead to a local
transformation linearizing the particular subfamily. One type of these
transformations leaves the whole family of equations invariant, giving rise to
a gauge classification of the family. The Lie symmetry algebras and their
corresponding subalgebras are finally characterized by gauge invariant
parameters.
","[{""version"":""v1"",""created"":""Fri, 23 Jun 1995 12:51:36 GMT""}]","2009-10-28"
