"adap-org/9505005","Dan Stein","C. M. Newman (Courant Institute of Mathematical Sciences, New York
  University, New York, NY 10012, USA), D.L. Stein (Department of Physics,
  University of Arizona, Tucson, AZ 85721 USA)","Ground State Structure in a Highly Disordered Spin Glass Model","LaTex file",,"10.1007/BF02179805",,"adap-org nlin.AO",,"  We propose a new Ising spin glass model on $Z^d$ of Edwards-Anderson type,
but with highly disordered coupling magnitudes, in which a greedy algorithm for
producing ground states is exact. We find that the procedure for determining
(infinite volume) ground states for this model can be related to invasion
percolation with the number of ground states identified as $2^{\cal N}$, where
${\cal N} = {\cal N}(d)$ is the number of distinct global components in the
``invasion forest''. We prove that ${\cal N}(d) = \infty$ if the invasion
connectivity function is square summable. We argue that the critical dimension
separating ${\cal N} = 1$ and ${\cal N} = \infty$ is $d_c = 8$. When ${\cal
N}(d) = \infty$, we consider free or periodic boundary conditions on cubes of
side length $L$ and show that frustration leads to chaotic $L$ dependence with
{\it all} pairs of ground states occuring as subsequence limits. We briefly
discuss applications of our results to random walk problems on rugged
landscapes.
","[{""version"":""v1"",""created"":""Wed, 31 May 1995 17:27:19 GMT""}]","2015-06-30"
"hep-lat/9506001",,"C. Alexandrou, A. Borrelli, Ph. de Forcrand, A. Galli, F. Jegerlehner","Full QCD with the L\""uscher local bosonic action","21 pages Latex","Nucl.Phys. B456 (1995) 296-312","10.1016/0550-3213(98)00488-X","PSI-PR-95-09; IPS Report 95-14; UCY-PHY-95/5","hep-lat",,"  We investigate L\""uscher's method of including dynamical Wilson fermions in a
lattice simulation of QCD with two quark flavours. We measure the accuracy of
the approximation by comparing it with Hybrid Monte Carlo results for gauge
plaquette and Wilson loops. We also introduce an additional global Metropolis
step in the update. We show that the complexity of L\""uscher's algorithm
compares favourably with that of the Hybrid Monte Carlo.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 10:25:44 GMT""},{""version"":""v2"",""created"":""Fri, 2 Jun 1995 10:13:08 GMT""}]","2009-10-28"
"hep-lat/9506002","Ettore","M. Campostrini, A. Pelissetto, P. Rossi and E. Vicari","Four-point renormalized coupling constant in O(N) models","30 pages + 19 figures in an uuencoded postscript file","Nucl.Phys. B459 (1996) 207-242","10.1016/0550-3213(95)00569-2","IFUP-TH 24/95","hep-lat cond-mat",,"  The renormalized zero-momentum four-point coupling $g_r$ of O(N)-invariant
scalar field theories in $d$ dimensions is studied by applying the 1/N
expansion and strong coupling analysis. The O(1/N) correction to the
$\beta$-function and to the fixed point value $g_r^*$ are explictly computed.
Strong coupling series for lattice non-linear sigma models are analyzed near
criticality in d=2 and d=3 for several values of $N$ and the corresponding
values of $g_r^*$ are extracted. Large-N and strong coupling results are
compared with each other, finding a good general agreement. For small N the
strong coupling analysis in 2-d gives the best determination of $g^*_r$ to date
(or comparable for N=2,3 with the available Monte Carlo estimates), and in 3-d
it is consistent with available $\phi^4$ field theory results.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 12:25:35 GMT""}]","2009-10-28"
"hep-ph/9505428","Uri Sarid","R. Rattazzi (Rutgers) and U. Sarid (Stanford)","The Unified Minimal Supersymmetric Model with Large Yukawa Couplings","59 pages, plus 10 postscript figures and 2 postscript tables
  uuencoded and attached as part 2, plain LaTeX + epsf macros","Phys.Rev.D53:1553-1585,1996","10.1103/PhysRevD.53.1553","SU-ITP-94-16","hep-ph",,"  The consequences of assuming the third-generation Yukawa couplings are all
large and comparable are studied in the context of the minimal supersymmetric
extension of the standard model. General aspects of the RG evolution of the
parameters, theoretical constraints needed to ensure proper electroweak
symmetry breaking, and experimental and cosmological bounds on low-energy
parameters are presented. We also present complete and exact semi-analytic
solutions to the 1-loop RG equations. Focusing on SU(5) or SO(10) unification,
we analyze the relationship between the top and bottom masses and the
superspectrum, and the phenomenological implications of the GUT conditions on
scalar masses. Future experimental measurements of the superspectrum and of the
strong coupling will distinguish between various GUT-scale scenarios. And if
present experimental knowledge is to be accounted for most naturally, a
particular set of predictions is singled out.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 06:22:17 GMT""}]","2011-01-27"
"hep-ph/9505436",,"M.I.Krivoruchenko (ITEP, Moscow)","A Constraint to the Parity-Conserving Parameter of the
  Neutron-Antineutron Oscillations","5 pages, fugure is available upon request by FAX, general treatment
  of the neutron mixing parameters","Phys.Atom.Nucl. 59 (1996) 1244-1246; Yad.Fiz. 59N7 (1996)
  1301-1303",,"ITEP-48-95","hep-ph",,"  The phenomenology of neutrino oscillations is extended to the neutron-
antineutron oscillations predicted by the grand unified theories. There are six
parameters in general describing the one-flavor oscillations: two real Majorana
masses (of opposite signs), three Euler's angles, and a phase multiplier ""chi"".
The sum of the Majorana masses, treated as a small parity- violating parameter
""epsilon"", induces the nuclear decays (A,Z) -> (A-2,Z) and determines the
oscillation rate of neutrons in the vacuum. We derive a constraint to a small
parity-conserving parameter ""epsilon-prime"" representing a combination of two
Euler's angles. This parameter gives no significant contribution to the neutron
oscillation rate in the vacuum, while contributes to the nuclear decay rate.
The nuclear stability implies ""epsilon-prime"" < 1/year. Absence of the vacuum
neutron oscillations together with existence of the nuclear decays (A,Z) ->
(A-2,Z) would become simplest manifestation of the ""epsilon-prime"" =/ 0.
","[{""version"":""v1"",""created"":""Wed, 31 May 1995 17:02:51 GMT""},{""version"":""v2"",""created"":""Wed, 18 Oct 1995 11:47:40 GMT""}]","2008-02-03"
"hep-ph/9505439",,"Denis Comelli","What can we learn from the $Z \to b\bar{b} $ vertex?","4 pages,no figures, to appear in Proc. of XXXth Rencontres de Moriond
  Les Arcs France",,,"FTUV/95-24 IFIC/95-24","hep-ph",,"  I stress the fact that a complete study of possible New Physics effects in
the $Z \rightarrow b\bar{b}$ vertex requires a combined analysis of the ratio
$R_b= \Gamma(Z \rightarrow b\bar{b})/ \Gamma(Z \rightarrow hadrons)$ and the
longitudinally polarized forward backward asymmetry, $A_b$.
  This is illustrated with a number of models such as the two Higgs-doublet
model, the MSSM, Technicolour and models with an extra $Z'$. The use of
effective lagrangean techniques is briefly discussed.
","[{""version"":""v1"",""created"":""Wed, 31 May 1995 16:35:17 GMT""}]","2016-09-01"
"hep-ph/9505440",,"Luis M. A. Bettencourt(Imperial)","Coarse-Grained Fluctuation Probabilities in the Standard Model and
  Subcritical Bubbles","Latex file, 13 pages. 7 figures, available in compressed form by
  anonymous ftp from ftp://euclid.tp.ph.ic.ac.uk/papers/94-5_38.fig Latex and
  postscript versions also available at
  http://euclid.tp.ph.ic.ac.uk/Papers/index.html","Phys.Lett. B356 (1995) 297-306","10.1016/0370-2693(95)00827-8","IMPERIAL/TP/94-95/38","hep-ph",,"  We compute systematically the probability for fluctuations of the Higgs
field, averaged over a given spatial scale, to exceed a specified value, in the
Standard Model. For the particular case of interest of averages over one
coherence volume we show that, even in the worst possible case of taking the
one-loop improved effective potential parameters, the probability for the field
to fluctuate from the symmetric to the asymmetric minimum before the latter
becomes stable is very small for Higgs masses of the order of those of the $W$
and $Z$ bosons, whereas the converse is more likely. As such, metastability
should be satisfied dynamically at the Electroweak phase transition and its
dynamics should therefore proceed by the usual mechanism of bubble nucleation
with subcritical fluctuations playing no particularly relevant role in it.
","[{""version"":""v1"",""created"":""Wed, 31 May 1995 16:36:43 GMT""}]","2009-10-28"
"hep-ph/9505441",,"Stanley J. Brodsky, Thomas G. Rizzo and Ivan Schmidt","W ANOMALOUS MOMENTS AND THE POLARIZATION ASYMMETRY ZERO IN gamma e --> W
  nu","21 pages, uuencoded postscript file. For hard copy, send e-mail to
  TECHPUB@SLAC.STANFORD.EDU","Phys.Rev.D52:4929-4935,1995","10.1103/PhysRevD.52.4929",,"hep-ph",,"  We show from general principles that there must be a center of mass energy,
$\sqrt s_0$, where the polarization asymmetry $A=\Delta \sigma({\gamma e \to W
\nu })/ \sigma({\gamma e \to W \nu })$ for circularly-polarized photon and
electron beams vanishes. In the case of the Standard Model, the crossing point
where the asymmetry changes sign occurs in Born approximation at $\sqrt
s_{\gamma e} = 3.1583\ldots M_W \simeq 254$ GeV. We demonstrate the sensitivity
of the position of the polarization asymmetry zero to modifications of the SM
trilinear $\gamma W W$ coupling. Given reasonable assumptions for the
luminosity and energy range for the Next Linear Collider(NLC) with a
backscattered laser beam, we show that the zero point, $\sqrt s_0$, of the
polarization asymmetry may be determined with sufficient precision to constrain
the anomalous couplings of the $W$ to better than the 1\% level at $95\%$ CL.
In addition to the fact that only a limited range of energy is required, the
polarization asymmetry measurements have the important advantage that many of
the systematic errors cancel in taking cross section ratios. The position of
the zero thus provides an additional weapon in the arsenal used to probe
anomalous trilinear gauge couplings.
","[{""version"":""v1"",""created"":""Wed, 31 May 1995 18:01:07 GMT""}]","2009-09-11"
"hep-ph/9505442","Antonio Pineda","A. Pineda and J. Soto","Matching the HQET to Coulomb Type Bound States","15 pages, tex, 4 figures avaliable upon request","Phys.Lett.B361:95-104,1995","10.1016/0370-2693(95)01017-K","UB-ECM-PF-95/6","hep-ph",,"  We show that the infinite imaginary anomalous dimensions of certain heavy
quark-antiquark currents in the HQET arise due to an inappropriate commutation
of two limits, namely coinciding velocities and infinite cut-off. This
commutation is not apparent when dimensional regularization is used, but it can
be made manifest in a cut-off regularization. We argue that operators
containing heavy quark and antiquark fields with the same velocity in the HQET
must not be matched to perturbative QCD but to Coulomb-type bound state
contributions. We show how to do so at one loop level.
","[{""version"":""v1"",""created"":""Wed, 31 May 1995 20:45:26 GMT""}]","2009-09-25"
"hep-ph/9505443","Rafel Escribano","R. Escribano, E. Masso and R. Toldra","THE ORTHOPOSITRONIUM DECAY PUZZLE AND PRIMORDIAL NUCLEOSYNTHESIS","11 pages, LaTeX file, 1 figure in a compressed uuencoded additional
  file. Full postscript file available at
  ftp://ftp.ifae.es/preprint/ft/uabft366.ps","Phys.Lett. B356 (1995) 313-318","10.1016/0370-2693(95)00797-O","UAB-FT-366","hep-ph astro-ph",,"  The discrepancy between the experimental decay rate of orthopositronium
(o-Ps) and the QED theoretical prediction can be solved by invoking decays of
o-Ps into exotic particles with branching ratios of the order of 10^{-3}. We
show that considerations based on primordial nucleosynthesis and effective
Lagrangians place a very stringent upper bound: B = Gamma(o-Ps -> ``exotic'' +
...)/Gamma(o-Ps) <= 2 x 10^{-15}, ruling out the exotic decay solution to the
puzzle.
","[{""version"":""v1"",""created"":""Wed, 31 May 1995 20:05:38 GMT""}]","2009-10-28"
"hep-ph/9505444",,"S.I. Blinnikov, A.D. Dolgov, L.B. Okun and M.B. Voloshin","How strong can the coupling of leptonic photons be?","13 pages in standard LaTeX","Nucl.Phys. B458 (1996) 52-64","10.1016/0550-3213(95)00579-X","ITEP-31-95, FTUV/95-18, IFIC/95-18, TPI-MINN-95/12-T, UMN-TH-1342-95","hep-ph",,"  Consequences of possible existence of leptonic photon are considered for a
range of values of leptonic charge. In the case of a strong Coulomb-like
leptonic repulsion between electrons the existence of ordinary condensed matter
is impossible: antineutrinos cannot neutralize this destructive repulsion. The
upper limit of leptonic charge is inferred from the E\""{o}tv\""os type
experiments. If however there exist light stable scalar bosons with leptonic
charge (e.g. singlet antisneutrinos) they may neutralize the electron
repulsion. Possible experimental manifestations of such leptonic bosons in
gases and condensed matter are briefly discussed.
","[{""version"":""v1"",""created"":""Wed, 31 May 1995 19:34:47 GMT""}]","2009-10-28"
"hep-ph/9505445","Alexander Ignatiev","A.Yu.Ignatiev and G.C.Joshi","Magnetic Monopole and the Finite Photon Mass: Are They Compatible?","12 pages, revtex, no figures","Mod.Phys.Lett. A11 (1996) 2735-2741","10.1142/S0217732396002733","UM-P-94/133; RCHEP-94/37","hep-ph hep-th",,"  We analyze the role played by the gauge invariance for the existence of Dirac
monopole. To this end, we consider the electrodynamics with massive photon and
ask if the magnetic charge can be introduced there. We show that the derivation
of the Dirac quantization condition based on the angular momentum algebra
cannot be generalized to the case of massive electrodynamics. Possible
implications of this result are briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 05:50:53 GMT""}]","2015-06-25"
"hep-ph/9506203","W. James Stirling","V.A. Khoze and W.J. Stirling","On the Coulomb Effects on the W Line Shape at LEP2","11 pages + 4 uuencoded postscript figures. Figures 1 and 2 were
  incorrect in the original submission and have now been corrected","Phys.Lett. B356 (1995) 373-380","10.1016/0370-2693(95)00807-W","DTP/95/42","hep-ph",,"  One of the most powerful methods for obtaining a precision measurement of M_W
at LEP2 is from direct reconstruction of the invariant mass distribution of W
bosons produced in e+e- --> W+W-. We investigate the effects on the W line
shape, and in particular on the average invariant mass, of phase-space and
first-order Coulomb corrections. The latter are shown to have a non-negligible
effect on the reconstructed mass, inducing shifts of order -20 MeV at collision
energies above threshold, compared to the Born approximation cross section. The
sign and magnitude of the effect can be understood in a simple model
calculation in which one of the W bosons is assumed to be stable.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 09:02:24 GMT""},{""version"":""v2"",""created"":""Fri, 9 Jun 1995 07:13:09 GMT""}]","2009-10-28"
"hep-ph/9506204","Ulf Meissner","V. Bernard, N. Kaiser, Ulf-G. Mei{\ss}ner","Chiral Prediction for the $\pi N$ Scattering Length $a^-$ to Order
  ${\cal O}(M_\pi^4)$","5 pp, LaTeX file, 2 figures (appended as separate compressed tar
  file, amin.uu)","Phys.Rev.C52:2185-2187,1995","10.1103/PhysRevC.52.2185","CRN 95-23 and TK 95 14","hep-ph nucl-th",,"  We evaluate the S-wave pion--nucleon scattering length $a^-$ in the framework
of heavy baryon chiral perturbation theory up--to--and--including terms of
order $M_\pi^4$. We show that the order $M_\pi^4$ piece of the isovector
amplitude at threshold, $T^-_{\rm thr}$, vanishes exactly. We predict for the
isovector scattering length, $0.088 \, M_{\pi^+}^{-1} \le a^- \le 0.096 \,
M_{\pi^+}^{-1}$.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 13:04:04 GMT""}]","2008-11-26"
"hep-ph/9506205",,"John F. Donoghue","On the Marriage of Chiral Perturbation Theory and Dispersion Relations","20 pages, Latex",,,"UMHEP-417","hep-ph",,"  I describe the methodology for the use of dispersion relations in connection
with chiral perturbation theory. The conditions for matching the two formalisms
are given at $O(E^2)$ and $O(E^4)$. The two have several complementary
features, as well as some limitations, and these are described by the use of
examples, which include chiral sum rules related to the Weinberg sum rules,
form factors, and a more complicated reaction, $\gamma \gamma \rightarrow \pi
\pi$. (Invited talk presented at the International Workshop on Chiral Dynamics
in Hadrons and Nuclei, Feb 6-10, 1995, Seoul, Korea)
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 14:07:08 GMT""}]","2007-05-23"
"hep-ph/9506206","D. R. T. Jones","D. R. Timothy Jones (Liverpool)","Dred, universality and the superparticle spectrum","9 pages. Uses latex and psfig. One figure in a separate postscript
  file",,,"LTH 350","hep-ph",,"  Recent work on the use of dimensional reduction for the regularisation of
non--supersymmetric theories is reviewed. It is then shown that there exists a
class of theories for which a universal form of the soft supersymmetry breaking
terms is invariant under renormalisation. It is argued that this universal form
might be approached as an infra--red fixed point for the unified theory above
the unification scale. The superparticle spectrum is calculated for these
theories.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 14:11:39 GMT""}]","2007-05-23"
"hep-ph/9506212",,"N. Armesto, C. Pajares and Yu. M. Shabelski","BEAUTY HADRON PRODUCTION AT HERA-B ENERGY IN DUAL PARTON MODELS","LaTeX, 17 pages plus 6 Postscript figures available in a separate
  tar-compressed-uuencoded file",,,"US-FT/7-95","hep-ph",,"  Production of charmed and beauty mesons and baryons in hadron-nucleon
collisions at not very high energy is considered in the framework of the
Quark-Gluon String Model. We take into account the possible corrections to the
model which disappear at asymptotically high energies but could be important at
comparatively low energies, essentially in the case of heavy flavour
production. The case of nuclear targets is also considered and the
$A$-dependence of charmed and beauty hadron yields is calculated. Predictions
for the case of beauty hadron production at $\sqrt{s}$ = 39 GeV are presented.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 09:59:05 GMT""},{""version"":""v2"",""created"":""Fri, 2 Jun 1995 02:18:18 GMT""}]","2008-02-03"
"hep-th/9505187","Massimo Porrati","M. Porrati","On the Existence of States Saturating the Bogomol'nyi Bound in N=4
  Supersymmetry","12 pages, plain Latex. Revised version accepted by Phys. Lett. B (at
  last!)","Phys.Lett. B377 (1996) 67-75","10.1016/0370-2693(96)00346-2","NYU-TH-95/05/03","hep-th",,"  We give an argument showing that in N=4 supersymmetric gauge theories there
exists at least one bound state saturating the Bogomol'nyi bound with electric
charge $p$ and magnetic charge $q$, for each $p$ and $q$ relatively prime, and
we comment on the uniqueness of such state. This result is a necessary
condition for the existence of an exact S-duality in N=4 supersymmetric
theories.
","[{""version"":""v1"",""created"":""Wed, 31 May 1995 17:54:44 GMT""},{""version"":""v2"",""created"":""Mon, 17 Jul 1995 18:34:52 GMT""},{""version"":""v3"",""created"":""Wed, 31 Jan 1996 18:15:58 GMT""}]","2009-10-28"
"hep-th/9505188","Peter Haagensen","Peter E. Haagensen (McGill University)","New Gauge Invariant Variables for Yang-Mills Theory","9pp., LaTeX",,,"McGill/95-30","hep-th",,"  A new set of gauge invariant variables is defined to describe the physical
Hilbert space of $d = 3 + 1$ $SU(2)$ Yang-Mills theory in the fixed-time
canonical formalism. A natural geometric interpretation arises due to the
$GL(3)$ covariance found to hold for the basic equations and commutators of the
theory in the canonical formalism. We emphasize, however, that we are not
interested in and do not consider the coupling of the theory to gravity. We
concentrate here on a technical difficulty of this approach, the calculation of
the electric field energy. This in turn hinges on the well-definedness of the
transformation of variables, an issue which is settled through degenerate
perturbation theory arguments.
","[{""version"":""v1"",""created"":""Wed, 31 May 1995 20:26:54 GMT""}]","2007-05-23"
"hep-th/9505190","Philip Argyres","Philip C. Argyres, Alon E. Faraggi, and Alfred D. Shapere","Curves of Marginal Stability in N=2 Super-QCD","Plain TeX, 2 pages, 1 uuencoded figure included using epsf",,,"IASSNS-HEP-94/103, UK-HEP/95-07","hep-th",,"  We present a simple argument determining the shape of the curves of marginal
stability in the N=2 supersymmetric SU(2) QCD with less than 4 massless
flavors. The argument relies only on the modular properties of $a_D/a$ and its
weak-coupling behavior.
","[{""version"":""v1"",""created"":""Wed, 31 May 1995 21:11:32 GMT""}]","2007-05-23"
"hep-th/9505192","Giuseppe Cammarata","G.Cammarata, R.Coquereaux (Centre de Physique Theorique -CNRS-Luminy)","COMMENTS ABOUT HIGGS FIELDS, NONCOMMUTATIVE GEOMETRY AND THE STANDARD
  MODEL","pp 20, LaTeX file, no figures, also available via anonymous ftp at
  ftp://cpt.univ-mrs.fr/ or via gopher gopher://cpt.univ-mrs.fr/","Lectures Notes in Physics 469, Springer, 27-50","10.1007/BFb0102551","CPT-95/P.3184","hep-th",,"  We make a short review of the formalism that describes Higgs and Yang Mills
fields as two particular cases of an appropriate generalization of the notion
of connection. We also comment about the several variants of this formalism,
their interest, the relations with noncommutative geometry, the existence (or
lack of existence) of phenomenological predictions, the relation with Lie
super-algebras etc.
","[{""version"":""v1"",""created"":""Wed, 31 May 1995 21:55:14 GMT""}]","2015-06-26"
"hep-th/9505193","Yoshihisa Kitazawa","Yoshihisa Kitazawa","Quantum Gravity is Renormalizable near Two Dimensions","16 pages, latex, no figures","Nucl.Phys. B453 (1995) 477-488","10.1016/0550-3213(95)00412-L","TIT-HEP-293, HUTP-95/A018","hep-th",,"  We prove the renormalizability of quantum gravity near two dimensions. The
successful strategy is to keep the volume preserving diffeomorphism as the
manifest symmetry of the theory. The general covariance is recovered by further
imposing the conformal invariance. The proof utilizes BRS formalism in parallel
with Yang-Mills theory. The crucial ingredient of the proof is the relation
between the conformal anomaly and the $\beta$ functions.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 05:31:15 GMT""}]","2009-10-28"
"hep-th/9505194","Keith Dienes","Keith R. Dienes (IAS, Princeton)","SPACETIME PROPERTIES OF (1,0) STRING VACUA","6 pages, LaTeX, one encapsulated figure",,,"IASSNS-HEP-95/41 (June 1995)","hep-th",,"  We discuss one of the generic spacetime consequences of having (1,0)
worldsheet supersymmetry in tachyon-free string theory, namely the appearance
of a ``misaligned supersymmetry'' in the corresponding spacetime spectrum.
Misaligned supersymmetry is a universal property of (1,0) string vacua which
describes how the arrangement of bosonic and fermionic states at all string
energy levels conspires to preserve finite string amplitudes, even in the
absence of full spacetime supersymmetry. Misaligned supersymmetry also
constrains the degree to which spacetime supersymmetry can be broken without
breaking modular invariance, and is responsible for the vanishing of various
mass supertraces evaluated over the infinite string spectrum.
  [Talk delivered at Strings '95, based on material drawn from hep-th/9402006
and hep-th/9409114. To appear in Proceedings.]
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 06:20:27 GMT""}]","2016-09-06"
"hep-th/9506001","Keith Dienes","Keith R. Dienes (IAS, Princeton), Moshe Moshe (Technion), Robert C.
  Myers (McGill)","SUPERTRACES IN STRING THEORY","6 pages, LaTeX, one encapsulated figure",,,"IASSNS-HEP-95/42; McGill/95-28 (June 1995)","hep-th",,"  We demonstrate that the spectrum of any consistent string theory in $D$
dimensions must satisfy a number of supertrace constraints: $ Str~M^{2n}=0 $
for $0 \leq n < D/2-1$, integer $n$. These results hold for a large class of
string theories, including critical heterotic strings. For strings lacking
spacetime supersymmetry, these supertrace constraints will be satisfied as a
consequence of a hidden ``misaligned supersymmetry'' in the string spectrum.
[Talk given by R.C.M. at Strings '95; to appear in Proceedings]
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 06:14:38 GMT""}]","2007-05-23"
"hep-th/9506002","Neil Marcus","Neil Marcus","The other topological twisting of N=4 Yang-Mills","19 (big), 13 (little) pages, LaTeX. (Type b or l when prompted.)
  Files are also available from http://www.tau.ac.il/~neil/links/papers/flat/
  or http://www.tau.ac.il/~neilm/.Me/papers/flat/","Nucl.Phys. B452 (1995) 331-345","10.1016/0550-3213(95)00389-A","TAUP-2247-95","hep-th dg-ga math.DG",,"  We present the alternative topological twisting of N=4 Yang-Mills, in which
the path integral is dominated not by instantons, but by flat connections of
the COMPLEXIFIED gauge group. The theory is nontrivial on compact orientable
four-manifolds with nonpositive Euler number, which are necessarily not simply
connected. On such manifolds, one finds a single topological invariant,
analogous to the Casson invariant of three-manifolds.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 06:15:06 GMT""}]","2009-10-28"
"hep-th/9506003","Kazuo Fujikawa","Kazuo Fujikawa","Analytic index and chiral fermions","18 pages, plain Latex","Indian J.Phys. 70A (1996) 275-291",,"UT-707, 1995","hep-th",,"  A recent application of an index relation of the form, $dim\ ker\ M - dim\
ker\ M^{\dagger} = \nu$, to the generation of chiral fermions in a vector-like
gauge theory is reviewed. In this scheme the chiral structure arises from a
mass term with a non-trivial index.The essence of the generalized Pauli-Villars
regularization of chiral gauge theory, which is based on this mechanism, is
also clarified.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 08:17:16 GMT""}]","2016-09-06"
"hep-th/9506004","Bernd J. Schroers","B.J. Schroers","Bogomol'nyi solitons in a gauged $O(3)$ sigma model","10 pages, Latex, 2 postscript figures","Phys.Lett. B356 (1995) 291-296","10.1016/0370-2693(95)00833-7","DTP 95-27","hep-th",,"  The scale invariance of the $O(3)$ sigma model can be broken by gauging a
$U(1)$ subgroup of the $O(3)$ symmetry and including a Maxwell term for the
gauge field in the Lagrangian. Adding also a suitable potential one obtains a
field theory of Bogomol'nyi type with topological solitons. These solitons are
stable against rescaling and carry magnetic flux which can take arbitrary
values in some finite interval. The soliton mass is independent of the flux,
but the soliton size depends on it. However, dynamically changing the flux
requires infinite energy, so the flux, and hence the soliton size, remains
constant during time evolution.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 09:01:00 GMT""}]","2009-10-28"
"hep-th/9506005","Juergen Fuchs","J. Fuchs","The singularity structure of the Yang-Mills configuration space","13 pages, latex. Invited talk at the Workshop on Quantum and
  Classical Gauge Theory, Banach Center, Warsaw, May 1995","Banach Center Publications 30 (1995) 287-300",,"NIKHEF 95-026","hep-th",,"  The geometric description of Yang-Mills theories and their configuration
space M is reviewed. The presence of singularities in M is explained and some
of their properties are described. The singularity structure is analyzed in
detail for structure group SU(2).
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 11:08:17 GMT""}]","2020-10-08"
"hep-th/9506007","Robert Carroll","R. Carroll (Mathematics Dept., University of Illinois) and Y. Kodama
  (Mathematics Dept., Ohio State University)","Solution of the dispersionless Hirota equations","Latex","J.Phys. A28 (1995) 6373-6388","10.1088/0305-4470/28/22/013",,"hep-th nlin.SI solv-int",,"  The dispersionless differential Fay identity is shown to be equivalent to a
kernel expansion providing a universal algebraic characterization and solution
of the dispersionless Hirota equations. Some calculations based on D-bar data
of the action are also indicated.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 15:33:11 GMT""}]","2009-10-28"
"hep-th/9506009",,"Vicente Pleitez","Extra dimensions and color confinement","9 pages, Revtex 3.0",,,"IFT-P.019/95","hep-th",,"  We consider an extension of the ordinary four dimensional Minkowski space by
introducing additional dimensions which have their own Lorentz transformation.
Particles can transform in a different way under each Lorentz group. We show
that only quark interactions are slightly modified and that color confinement
is automatic since these degrees of freedom run only in the extra dimensions.
No compactification of the extra dimensions is needed.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 14:40:00 GMT""}]","2007-05-23"
"math/9505201",,"Shulim Kaliman and Mikhail Zaidenberg","Shulim Kaliman and Mikhail Zaidenberg",,,,,"math.CV",,"  No abstract available.
","[{""version"":""v1"",""created"":""Wed, 31 May 1995 21:41:11 GMT""}]","2009-09-25"
"math/9506223","Peter W. Michor","Peter W. Michor","Basic differential forms for actions of Lie groups II.",,"Proc. Amer. Math. Soc. 125 (1997), 2175-2177",,"ESI Preprint 304; Michor 99-08","math.DG math.RT",,"  The assumption in the main result of [Peter W. Michor: Basic Differential
Forms for Actions of Lie Groups, Proc. AMS 124, 5 (1996) 1633-1642] is removed.
Thus: A section of a Riemannian $G$-manifold $M$ is a closed submanifold $\Si$
which meets each orbit orthogonally. It is shown that the algebra of
$G$-invariant differential forms on $M$ which are horizontal in the sense that
they kill every vector which is tangent to some orbit, is isomorphic to the
algebra of those differential forms on $\Si$ which are invariant with respect
to the generalized Weyl group of $\Si$, without any further condition.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 00:00:00 GMT""}]","2016-09-06"
"q-alg/9506001","Xiao-Song Lin","Matt Greenwood and Xiao-Song Lin","On Vassiliev knot invariants induced from finite type 3-manifold
  invariants","14 pages, amslatex, 9 figures not included. The compressed archive of
  the amslatex file and 9 postscript figure files can be obtained at
  ftp://math.columbia.edu/pub/lin/gl.tar.Z",,,,"q-alg math.QA",,"  We prove that the knot invariant induced by a $\Bbb Z$-homology 3-sphere
invariant of order $\leq k$ in Ohtsuki's sense, where $k\geq 4$, is of order
$\leq k-2$. The method developed in our computation shows that there is no
$\Bbb Z$-homology 3-sphere invariant of order 5. This result agrees with a
conjecture of Rozansky based on physical predictions about the asymptotic
behavior of Witten's Chern-Simons path integral.
","[{""version"":""v1"",""created"":""Thu, 1 Jun 1995 15:05:42 GMT""}]","2008-02-03"
