"alg-geom/9506024","David Cox","Eduardo Cattani, David Cox, and Alicia Dickenstein","Residues in Toric Varieties","35 pages, manuscript dated June 22, 1995, TeX, C Version 3.14t3",,,,"alg-geom math.AG",,"  We study residues on a complete toric variety X, which are defined in terms
of the homogeneous coordinate ring of X. We first prove a global transformation
law for toric residues. When the fan of the toric variety has a simplicial cone
of maximal dimension, we can produce an element with toric residue equal to 1.
We also show that in certain situations, the toric residue is an isomorphism on
an appropriate graded piece of the quotient ring. When X is simplicial, we
prove that the toric residue is a sum of local residues. In the case of equal
degrees, we also show how to represent X as a quotient (Y-{0})/C* such that the
toric residue becomes the local residue at 0 in Y.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 18:02:59 GMT""}]","2008-02-03"
"gr-qc/9506066",,"Giampiero Esposito, Alexander Yu. Kamenshchik, Igor V. Mishakov,
  Giuseppe Pollifrone","Gravitons in One-Loop Quantum Cosmology: Correspondence Between
  Covariant and Non-Covariant Formalisms","29 pages, latex, recently appearing in Physical Review D, volume 50,
  pages 6329-6337, November 1994. The authors apologize for the delay in
  circulating the paper, due to technical problems now fixed","Phys.Rev. D50 (1994) 6329-6337","10.1103/PhysRevD.50.6329","DSF 94/14","gr-qc",,"  The discrepancy between the results of covariant and non-covariant one-loop
calculations for higher-spin fields in quantum cosmology is analyzed. A
detailed mode-by-mode study of perturbative quantum gravity about a flat
Euclidean background bounded by two concentric 3-spheres, including
non-physical degrees of freedom and ghost modes, leads to one-loop amplitudes
in agreement with the covariant Schwinger-DeWitt method. This calculation
provides the generalization of a previous analysis of fermionic fields and
electromagnetic fields at one-loop about flat Euclidean backgrounds admitting a
well-defined 3+1 decomposition.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 06:47:27 GMT""}]","2009-10-28"
"gr-qc/9506067","P. R. Brady","Patrick R. Brady and John D. Smith","Black hole singularities: a numerical approach","4 pages Phys. Rev. style including five figures, provided as
  compressed postscript files. To appear in Physical Review Letters","Phys.Rev.Lett. 75 (1995) 1256-1259","10.1103/PhysRevLett.75.1256","NCL95-TP2","gr-qc",,"  The singularity structure of charged spherical collapse is studied by
considering the evolution of the gravity-scalar field system. A detailed
examination of the geometry at late times strongly suggests the validity of the
mass-inflation scenario~\cite{PI:90}. Although the area of the two-spheres
remains finite at the Cauchy horizon, its generators are eventually focused to
zero radius. Thus the null, mass-inflation singularity {\em generally}\/
precedes a crushing $r=0$ singularity deep inside the black hole core. This
central singularity is spacelike.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 11:35:45 GMT""}]","2009-10-28"
"gr-qc/9506068","Nobuyuki Sakai","Nobuyuki Sakai, Hisa-aki Shinkai, Takashi Tachizawa and Kei-ichi Maeda","Dynamics of Topological Defects and Inflation","12 pages, revtex, 13 figures, some discussions are modified, to
  appear in Phys.Rev.D","Phys.Rev.D53:655,1996; Erratum-ibid.D54:2981,1996;
  Phys.Rev.D54:2981,1996","10.1103/PhysRevD.53.655 10.1103/PhysRevD.54.2981","WU-AP/49/95","gr-qc astro-ph hep-th",,"  We study the dynamics of topological defects in the context of ``topological
inflation"" proposed by Vilenkin and Linde independently. Analysing the time
evolution of planar domain walls and of global monopoles, we find that the
defects undergo inflationary expansion if $\eta\stackrel{>}{\sim}0.33m_{Pl}$,
where $\eta$ is the vacuum expectation value of the Higgs field and $m_{Pl}$ is
the Planck mass. This result confirms the estimates by Vilenkin and Linde. The
critical value of $\eta$ is independent of the coupling constant $\lambda$ and
the initial size of the defect. Even for defects with an initial size much
greater than the horizon scale, inflation does not occur at all if $\eta$ is
smaller than the critical value. We also examine the effect of gauge fields for
static monopole solutions and find that the spacetime with a gauge monopole has
an attractive nature, contrary to the spacetime with a global monopole. It
suggests that gauge fields affect the onset of inflation.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 14:24:37 GMT""},{""version"":""v2"",""created"":""Fri, 30 Jun 1995 12:18:23 GMT""},{""version"":""v3"",""created"":""Mon, 23 Oct 1995 08:01:45 GMT""}]","2014-11-17"
"gr-qc/9506070","Dr John W. Barrett","John W. Barrett","Quantum Gravity as Topological Quantum Field Theory","23 pages, amstex, JMP special issue (deadline permitting). (Text not
  changed)","J.Math.Phys. 36 (1995) 6161-6179","10.1063/1.531239",,"gr-qc quant-ph",,"  The physics of quantum gravity is discussed within the framework of
topological quantum field theory. Some of the principles are illustrated with
examples taken from theories in which space-time is three dimensional.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 15:43:52 GMT""},{""version"":""v2"",""created"":""Mon, 24 Jul 1995 12:05:09 GMT""}]","2009-10-28"
"hep-ex/9506014",,"Melvyn J. Shochet (University of Chicago)","Proton-Antiproton Collider Physics","Summary of the 10th Topical Workshop on Proton-Antiproton Collider
  Physics, Fermilab, May 9-13, 1995. Postscript file (34 pages with 82 embedded
  figures; 5.7 MB) available at
  http://www-cdf.fnal.gov/physics/conf95/cdf3225_pbarp_wkshp_summary.ps","AIPConf.Proc.357:685-720,1996","10.1063/1.49657","EFI-95-39","hep-ex",,"  Summary of the 10th Topical Workshop on Proton-Antiproton Collider Physics,
Fermilab, May 9-13, 1995.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 18:41:06 GMT""}]","2009-10-28"
"hep-lat/9506027",,"C. Alexandrou (University of Cyprus) and A. Galli (Paul Scherrer Inst)","The $\bar{s}s$ content of the D-meson at infinite coupling","9 pages Latex file plus 2 uuencoded postscript figures","Phys.Lett. B363 (1995) 93-100","10.1016/0370-2693(95)01182-P","UCY-PHY-95/8, PSI-PR-95-12","hep-lat hep-ph",,"  We calculate the $\bar{s}s$ condensate in the D - and B - mesons using the
unquenched hopping parameter expansion at infinite coupling for the Wilson
lattice action. We discuss the phenomenological relevance of our result.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 17:05:09 GMT""}]","2009-10-28"
"hep-lat/9506030","Peter Hasenfratz","T. DeGrand, A. Hasenfratz, P. Hasenfratz and F. Niedermayer","The classically perfect fixed point action for SU(3) gauge theory","34 pages (latex) + 7 figures (Postscript), uuencoded","Nucl.Phys. B454 (1995) 587-614","10.1016/0550-3213(95)00458-5","BUTP-95/14","hep-lat",,"  In this paper (the first of a series) we describe the construction of fixed
point actions for lattice $SU(3)$ pure gauge theory. Fixed point actions have
scale invariant instanton solutions and the spectrum of their quadratic part is
exact (they are classical perfect actions). We argue that the fixed point
action is even 1--loop quantum perfect, i.e. in its physical predictions there
are no $g^2 a^n$ cut--off effects for any $n$. We discuss the construction of
fixed point operators and present examples. The lowest order $q {\bar q}$
potential $V(\vec{r})$ obtained from the fixed point Polyakov loop correlator
is free of any cut--off effects which go to zero as an inverse power of the
distance $r$.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 18:53:05 GMT""}]","2009-10-28"
"hep-lat/9506031","Peter Hasenfratz","T. DeGrand, A. Hasenfratz, P. Hasenfratz and F. Niedermayer","Non--perturbative tests of the fixed point action for SU(3) gauge theory","28 pages (latex) + 11 figures (Postscript), uuencoded","Nucl.Phys. B454 (1995) 615-637","10.1016/0550-3213(95)00459-6","BUTP-95/15","hep-lat",,"  In this paper (the second of a series) we extend our calculation of a
classical fixed point action for lattice $SU(3)$ pure gauge theory to include
gauge configurations with large fluctuations. The action is parameterized in
terms of closed loops of link variables. We construct a few-parameter
approximation to the classical FP action which is valid for short correlation
lengths. We perform a scaling test of the action by computing the quantity $G =
L \sqrt{\sigma(L)}$ where the string tension $\sigma(L)$ is measured from the
torelon mass $\mu = L \sigma(L)$. We measure $G$ on lattices of fixed physical
volume and varying lattice spacing $a$ (which we define through the
deconfinement temperature). While the Wilson action shows scaling violations of
about ten per cent, the approximate fixed point action scales within the
statistical errors for $ 1/2 \ge aT_c \ge 1/6$. Similar behaviour is found for
the potential measured in a fixed physical volume.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 18:54:23 GMT""}]","2009-10-28"
"hep-lat/9506032","Peter Hasenfratz","F. Farchioni, P. Hasenfratz, F. Niedermayer and A. Papa","The absence of cut--off effects for the fixed point action in 1--loop
  perturbation theory","8 pages (latex) + 1 figure (Postscript), uuencoded","Nucl.Phys. B454 (1995) 638-644","10.1016/0550-3213(95)00460-A","BUTP-95/16","hep-lat",,"  In order to support the formal renormalization group arguments that the fixed
point action of an asymptotically free model gives cut--off independent
physical predictions in 1--loop perturbation theory, we calculate the finite
volume mass--gap $m(L)$ in the non--linear $\sigma$--model. No cut--off effect
of the type $g^4\left(a/L\right)^n$ is seen for any $n$. The results are
compared with those of the standard and tree level improved Symanzik actions.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 10:06:26 GMT""}]","2009-10-28"
"hep-ph/9506438","Edmond Iancu","J.-P. Blaizot and E. Iancu","Non-perturbative aspects of screening phenomena in abelian and non
  abelian gauge theories","29 pages, LaTex, 7 figures (not included, available upon request)","Nucl.Phys. B459 (1996) 559-588","10.1016/0550-3213(95)00547-1","Saclay-T95/055, IPNO/TH 95-28","hep-ph",,"  When computed to one-loop order in resummed perturbation theory, the
non-abelian Debye mass appears to be logarithmically sensitive to the magnetic
scale $g^2T$. More generally, we show that in higher orders power-like infrared
divergences forbid the use of perturbation theory to calculate the corrections
to Debye screening. A similar infrared problem occurs in the determination of
the mass-shell for the scalar propagator in 2+1-dimensional scalar
electrodynamics. In this context, we provide a non-perturbative approach which
solves the infrared problems and allows for an accurate calculation of the
scalar propagator in the vicinity of the mass-shell.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 16:19:49 GMT""}]","2009-10-28"
"hep-ph/9506439","Zepeda","William A. Ponce, Arnulfo Zepeda and Jes\'us M. Mira","Is U(1)$_H$ a Good Family Symmetry?","10 pages, Accepted for publication in Z. Phys. C","Z.Phys. C69 (1996) 683-686",,,"hep-ph",,"  We analyze U(1)$_H$ as a horizontal symmetry and its possibilities to explain
the known elementary-fermion masses. We find that only two candidates, in the
context of SU(3)$_c\otimes$SU(2)$_L\otimes$U(1)$_Y\otimes$U(1)$_H$
nonsupersymmetric, are able to fit the experimental result m$_b<<$m$_t$.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 16:38:56 GMT""}]","2007-05-23"
"hep-ph/9506440","Christo Christov","T. Watabe, Chr.V. Christov and K. Goeke","Axial form factor in the chiral quark soliton model","9 pages, 2 figures included, RevTeX format, no special macros",,,"RUB-TPII-3/95","hep-ph",,"  We calculate the axial form factor in the chiral quark soliton (semibosonized
Nambu - Jona-Lasinio) model using the semiclassical quantization scheme in the
next to leading order in angular velocity. The obtained axial form factor is in
a good absolute (without additional scaling) agreement with the experimental
data. Both the value at the origin and the $q$-dependence of the form factor as
well as the axial m.s.radius are fairly well reproduced.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 18:05:58 GMT""},{""version"":""v2"",""created"":""Wed, 28 Jun 1995 08:49:50 GMT""},{""version"":""v3"",""created"":""Mon, 3 Jul 1995 08:21:38 GMT""}]","2008-02-03"
"hep-ph/9506441","Walter T. Giele","W.T. Giele and E.W.N. Glover","Physics with jets in $p\bar p$ collisions","8 pages, Latex, 8 postscript figures. Also available at
  http://WWW-theory.fnal.gov/people/giele/Papers/Conf-95-168-T.uu",,,"DTP/95/50, FERMILAB-CONF-168-T","hep-ph",,"  We discuss the possibilities for extracting information on the parton density
functions and the strong coupling constant from one- and two-jet events at the
Fermilab TEVATRON. First we study the inclusive two-jet triply differential
cross section $d^3\sigma/dE_Td\eta_1d\eta_2$. Different $\eta_1$ and $\eta_2$
pseudorapidity regions are directly related to the parton momentum fractions at
leading order and the shape of the triply differential distribution at fixed
transverse energy $E_T$ is a particularly powerful tool for constraining the
parton distributions at small to moderate $x$ values. Second, we consider the
one-jet inclusive transverse energy distribution where there is impressive
agreement between theory and experiment over a wide range of transverse energy.
By equating the next-to-leading order theoretical prediction for a given set of
input parton densities with the published CDF data, the evolution of the strong
coupling constant at scale $\mu$ can be studied between $\mu \sim 50~$GeV and
$\mu \sim 400~$GeV. This evolution is in agreement with QCD and corresponds to
$\alpha_s(M_Z)$ = 0.121 for the MRSA parameterisation.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 17:33:57 GMT""}]","2007-05-23"
"hep-ph/9506442","Walter T. Giele","W.T. Giele, E.W.N. Glover and J.Yu","The Determination of $\alpha_S$ at Hadron Colliders","22 pages, Latex, 7 postscript figures. Also available at
  http://WWW-theory.fnal.gov/people/giele/Papers/Pub-95-127-T.uu","Phys.Rev.D53:120-130,1996","10.1103/PhysRevD.53.120","FERMILAB-PUB-127-T, DTP/95/52","hep-ph",,"  Hadron colliders offer a unique opportunity to test perturbative QCD because,
rather than producing events at a specific beam energy, the dynamics of the
hard scattering is probed simultaneously at a wide range of momentum transfers.
This makes the determination of $\al$ and the parton density functions (PDF) at
hadron colliders particularly interesting. In this paper we restrict ourselves
to extracting $\al$ for a given PDF at a scale which is directly related to the
transverse energy produced in the collision. As an example, we focus on the
single jet inclusive transverse energy distribution and use the published
'88-'89 CDF data with an integrated luminosity of 4.2 pb$^{-1}$. The evolution
of the coupling constant over a wide range of scales (from 30~GeV to 500~GeV)
is clearly shown and is in agreement with the QCD expectation. The data to be
obtained in the current Tevatron run (expected to be well in excess 100
pb$^{-1}$ for both the CDF and D\O\ experiments) will significantly decrease
the experimental errors.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 17:34:02 GMT""}]","2008-11-26"
"hep-ph/9506443",,"Ira Z. Rothstein","What Do We Know About the Tau Neutrino?","Talk given at PASCOS 95 (10 pages 2 figures included)",,,,"hep-ph",,"  In this talk I review the present bounds on the tau neutrino, concentrating
on the possibility of bringing the mass bound below an MeV.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 19:17:03 GMT""}]","2007-05-23"
"hep-ph/9506444","Tatsu Takeuchi","Tatsu Takeuchi","The status of the electroweak sector of the standard model","13 pages, uuencoded postscript. Talk presented at the International
  Symposium on Vector Boson Self-Interactions, Feb 1-3, 1995, UCLA, CA",,"10.1063/1.49306","FERMILAB-CONF/173-T","hep-ph",,"  I will discuss the current status of the determination of $\alpha(m_Z)$ and
$\alpha_s(m_Z)$.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 22:41:36 GMT""}]","2009-10-28"
"hep-ph/9506445",,"Reginald T. Cahill and Susan M. Gunner (Department of Physics,
  Flinders University)","Quark and Gluon Propagators from Meson Data","12 pages. Extended text. 3 new figures. Figures also available from
  Reg.Cahill@flinders.edu.au","Phys.Lett. B359 (1995) 281-287","10.1016/0370-2693(95)01106-Z",,"hep-ph nucl-th",,"  We report robust calculations of various low energy QCD hadronic properties.
We use a multi-rank separable expansion for the gluon propagator which greatly
facilitates the numerical computations within the Global Colour Model for QCD.
The parameters for the propagators are determined by fitting experimental
values for $f_{\pi}$ and the $\pi$ and $a_1$ meson masses.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 05:15:51 GMT""},{""version"":""v2"",""created"":""Tue, 22 Aug 1995 00:04:07 GMT""}]","2009-10-28"
"hep-ph/9506446","Johannes Bluemlein","J. Bl\""umlein","On the $k_{\perp}$ dependent gluon density in hadrons and the photon","8 pages, uuencoded ps file",,,"DESY 95--125, Contribution to the Proc. of the 1995 Renc. de Moriond
  (QCD), March 1995","hep-ph",,"  The $k_{\perp}$ dependent gluon distribution for protons, pions,and photons
is calculated accounting for the resummation of small~$x$ effects due to the
Lipatov equation. It is represented by a convolution of a gluon density in the
collinear limit and a universal function ${\cal G}(x,k^2,\mu)$ for which an
analytic expression is derived.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 07:26:40 GMT""}]","2007-05-23"
"hep-ph/9506447",,"W.Buchmuller, A.Hebecker","Calculating the diffractive from the inclusive structure function","talk at Workshop on DIS and QCD, Paris, April 1995, 3 pages LaTeX,
  uses qcdparis.sty, 2 figures (uuencoded)",,,,"hep-ph",,"  It is demonstrated that the global properties of the rapidity gap events at
HERA can be understood based on electron-gluon scattering and a
non-perturbative mechanism of colour neutralization. Using the measured
inclusive structure function $F_2$ to determine the parameters of the parton
model, the diffractive structure function $F_2^D$ is predicted. The ratio of
diffractive and inclusive cross sections, $R_D = \sigma_D/\sigma_{incl}\simeq
1/9$, is determined by the probability of the produced quark-antiquark pair to
evolve into a colour singlet state.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 12:50:21 GMT""}]","2007-05-23"
"hep-ph/9506448","Helmut Neufeld","H. Neufeld and H. Rupertsberger","The Electromagnetic Interaction in Chiral Perturbation Theory","15 pages, latex","Z.Phys.C71:131-138,1996","10.1007/s002880050156","UWThPh-1995-18","hep-ph",,"  We investigate electromagnetic effects in the framework of chiral
perturbation theory. Using a completely independent method, we confirm Urech's
results for the divergences of the one--loop functional in the electromagnetic
sector. We perform a one--loop analysis of all $P_{\ell 2}$ ($P = \pi, K,
\eta$) and the $K_{\ell 3}$ form factors $f_+^{K^+\pi^0}(0)$,
$f_+^{K^0\pi^-}(0)$, including a systematic treatment of the $\cO(e^2p^2)$
contributions in the mesonic part. We illustrate our results by several
numerical estimates.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 14:39:53 GMT""}]","2008-11-26"
"hep-ph/9506449","Kirsten Buttner","Kirsten B\""uttner and M.R. Pennington","Should the Pomeron and imaginary parts be modelled by two gluons and
  real quarks?","7 pages, latex, 2 figures, replaced ~\epsfig... by \mbox{\epsfig...}","Phys.Lett. B356 (1995) 354-358","10.1016/0370-2693(95)00815-3","DTP-95/54","hep-ph",,"  We illustrate that solution of the Schwinger-Dyson equation for the gluon
propagator in QCD does not support an infrared softened behaviour, but only an
infrared enhancement. This has consequences for the modelling of the Pomeron in
terms of dressed gluon exchange. It highlights that an understanding of the
Pomeron within QCD must take account of the bound state nature of hadrons.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 15:58:58 GMT""},{""version"":""v2"",""created"":""Thu, 29 Jun 1995 10:13:31 GMT""}]","2009-10-28"
"hep-th/9506181",,"M. Matone","Koebe 1/4-Theorem and Inequalities in N=2 Super-QCD","11 pages, LaTex file, Expanded version: new results, technical
  details explained, misprints corrected and references added","Phys.Rev. D53 (1996) 7354-7358","10.1103/PhysRevD.53.7354","DFPD/95/TH/38","hep-th",,"  The critical curve ${\cal C}$ on which ${\rm Im}\,\hat\tau =0$,
$\hat\tau=a_D/a$, determines hyperbolic domains whose Poincar\'e metric is
constructed in terms of $a_D$ and $a$. We describe ${\cal C}$ in a parametric
form related to a Schwarzian equation and prove new relations for $N=2$ Super
$SU(2)$ Yang-Mills. In particular, using the Koebe 1/4-theorem and Schwarz's
lemma, we obtain inequalities involving $u$, $a_D$ and $a$, which seem related
to the Renormalization Group. Furthermore, we obtain a closed form for the
prepotential as function of $a$. Finally, we show that $\partial_{\hat\tau}
\langle {\rm tr}\,\phi^2\rangle_{\hat \tau}={1\over 8\pi i b_1}\langle
\phi\rangle_{\hat\tau}^2$, where $b_1$ is the one-loop coefficient of the beta
function.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 22:32:39 GMT""},{""version"":""v2"",""created"":""Thu, 29 Feb 1996 16:05:28 GMT""}]","2009-10-28"
"hep-th/9506182","Dan Kabat","D. Kabat, S. H. Shenker, and M. J. Strassler","Black Hole Entropy in the O(N) Model","21 pages, uses harvmac and epsf. one additional reference","Phys.Rev.D52:7027-7036,1995","10.1103/PhysRevD.52.7027","RU-95-34","hep-th gr-qc",,"  We consider corrections to the entropy of a black hole from an $O(N)$
invariant linear $\s$-model. We obtain the entropy from a $1/N$ expansion of
the partition function on a cone. The entropy arises from diagrams which are
analogous to those introduced by Susskind and Uglum to explain black hole
entropy in string theory. The interpretation of the \sm entropy depends on
scale. At short distances, it has a state counting interpretation, as the
entropy of entanglement of the $N$ fields $\pa$. In the infrared, the effective
theory has a single composite field $\s \sim \pa \pa$, and the state counting
interpretation of the entropy is lost.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 23:21:38 GMT""},{""version"":""v2"",""created"":""Tue, 18 Jul 1995 18:39:38 GMT""}]","2008-11-26"
"hep-th/9506183","Madore","J. Madore","Linear Connections on Fuzzy Manifolds","10 pages PlainTex; LPTHE Orsay 95/42; ESI Vienna 235","Class.Quant.Grav. 13 (1996) 2109-2120","10.1088/0264-9381/13/8/008",,"hep-th",,"  Linear connections are introduced on a series of noncommutative geometries
which have commutative limits. Quasicommutative corrections are calculated.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 09:27:20 GMT""}]","2009-10-28"
"hep-th/9506184","Savvidy","G.K.Savvidy and K.G.Savvidy","Interaction Hierarchy. Gonihedric String and Quantum Gravity","11 pages,Latex","Modern Physics Letters A 11 (1996) 1379-1396","10.1142/S0217732396001399","Crete-TH-June-1995","hep-th",,"  We have found that the Regge gravity \cite{regge,sorkin}, can be represented
as a $superposition$ of less complicated theory of random surfaces with
$Euler~character$ as an action. This extends to Regge gravity our previous
result \cite{savvidy}, which allows to represent the gonihedric string
\cite{savvidy1} as a superposition of less complicated theory of random paths
with $curvature$ action. We propose also an alternative linear action
$A(M_{4})$ for the four and high dimensional quantum gravity. From these
representations it follows that the corresponding partition functions are equal
to the product of Feynman path integrals evaluated on time slices with
curvature and length action for the gonihedric string and with Euler character
and gonihedric action for the Regge gravity. In both cases the interaction is
proportional to the overlapping sizes of the paths or surfaces on the
neighboring time slices. On the lattice we constructed spin system with local
interaction, which have the same partition function as the quantum gravity. The
scaling limit is discussed.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 11:23:07 GMT""},{""version"":""v2"",""created"":""Thu, 29 Jun 1995 14:26:59 GMT""}]","2009-10-28"
"hep-th/9506185","Filippo Colomo","Luca Lusanna","Aspects of Galilean and Relativistic Particle Mechanics with Dirac's
  Constraints","Talk given at the Conference ``Theories of Fundamental Interactions"",
  Maynooth (Ireland), May 1995. (LaTeX file)",,,,"hep-th gr-qc",,"  Relevant physical models are described by singular Lagrangians, so that their
Hamiltonian description is based on the Dirac theory of constraints. The
qualitative aspects of this theory are now understood, in particular the role
of the Shanmugadhasan canonical transformation in the determination of a
canonical basis of Dirac's observables allowing the elimination of gauge
degrees of freedom from the classical description of physical systems. This
programme was initiated by Dirac for the electromagnetic field with charged
fermions. Now Dirac's observables for Yang-Mills theory with fermions (whose
typical application is QCD) have been found in suitable function spaces where
the Gribov ambiguity is absent. Also the ones for the Abelian Higgs model are
known and those for the $SU(2) \times U(1)$ electroweak theory with fermions
are going to be found with the same method working for the Abelian case. The
main task along these lines will now be the search of Dirac's observables for
tetrad gravity in the case of asymptotically flat 3-manifolds. The philosophy
behind this approach is ``first reduce, then quantize"": this requires a global
symplectic separation of the physical variables from the gauge ones so that the
role of differential geometry applied to smooth field configurations is
dominating, in contrast with the standard approach of ``first quantizing, then
reducing"", where, in the case of gauge field theory, the reduction process
takes place on distributional field configurations, which dominate in quantum
measures. This global separation has been accomplished till now, at least at a
heuristic level, and one is going to have a classical (pseudoclassical for the
fermion) variables basis for the physical description of the $SU(3)\times
SU(2)\times U(1)$ standard model; instead, with tetrad gravity one expects to
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 10:46:35 GMT""}]","2007-05-23"
"hep-th/9506186","Peter Bantay","P. Bantay and P. Vecsernyes","Mapping Class Group Representations and Generalized Verlinde Formula","10 pages, PlainTex, 1 figure appended","Int.J.Mod.Phys. A14 (1999) 1325-1336","10.1142/S0217751X99000683","KL-TH 95/14","hep-th",,"  Unitary representations of centrally extended mapping class groups $\tilde
M_{g,1}, g\geq 1$ are given in terms of a rational Hopf algebra $H$, and a
related generalization of the Verlinde formula is presented. Formulae
expressing the traces of mapping class group elements in terms of the fusion
rules, quantum dimensions and statistics phases are proposed.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 14:01:14 GMT""},{""version"":""v2"",""created"":""Wed, 5 Jul 1995 12:40:28 GMT""}]","2009-10-28"
"hep-th/9506187","Luis J. Garay","Maximo Banados, Luis J. Garay and Marc Henneaux","The local degrees of freedom of higher dimensional pure Chern-Simons
  theories","9 pages, RevTeX3.0 (LaTeX2.09), no figures","Phys.Rev.D53:593-596,1996","10.1103/PhysRevD.53.593","Imperial/TP/94--95/45","hep-th",,"  The canonical structure of higher dimensional pure Chern-Simons theories is
analysed. It is shown that these theories have generically a non-vanishing
number of local degrees of freedom, even though they are obtained by means of a
topological construction. This number of local degrees of freedom is computed
as a function of the spacetime dimension and the dimension of the gauge group.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 14:26:24 GMT""}]","2009-12-30"
"math/9506205",,"Ilya Kapovich","Detecting quasiconvexity: algorithmic aspects","AMS-Tex, 7 pages, no figures. To appear in the Proceedings of the
  DIMACS meeting on Computational Group Theory (March 1994)",,,"MAGNUS preprint #95-06-27A","math.GR",,"  The main result of this paper states that for any group $G$ with an automatic
structure $L$ with unique representatives one can construct a uniform partial
algorithm which detects $L$-rational subgroups and gives their preimages in
$L$. This provides a practical, not just theoretical, procedure for solving the
occurrence problem for such subgroups.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 20:46:27 GMT""}]","2008-02-03"
"nucl-th/9506024","Kim Maltman","Kim Maltman","Two Model-Independent Results for the Momentum Dependence of Rho-Omega
  Mixing","14 pages, uses REVTEX Entire manuscript available as a ps file at
  http://www.physics.adelaide.edu.au/theory/home.html Also available via
  anonymous ftp at ftp://adelphi.adelaide.edu.au/pub/theory/ADP-95-35.T189.ps","Phys.Lett. B362 (1995) 11-16","10.1016/0370-2693(95)01208-8","ADP-95-35/T189","nucl-th",,"  Two model-independent results on the momentum-dependence of $\rho$-$\omega$
mixing are described. First, an explicit choice of interpolating fields for the
vector mesons is displayed for which both the mixing in the propagator and the
isospin-breaking at the nucleon-vector meson vertices (and hence also the
one-vector-meson-exchange contribution to NN charge symmetry breaking) vanish
identically at $q^2=0$. Second, it is shown, using the constraints of unitarity
and analyticity on the spectral function of the vector meson propagator, that
there is no possible choice of interpolating fields for the $\rho^0$,
$\omega^0$ mesons such that, with the $\rho\omega$ element of the propagator
defined by $\Delta^{\rho\omega}_{\mu\nu}(q^2)= (g_{\mu\nu}-q_\mu q_\nu
/q^2)$$\theta (q^2)/(q^2-m^2_\rho )(q^2- m^2_\omega )$, $\theta (q^2)$ is
independent of momentum. It follows that the standard treatment of charge
symmetry breaking in few-body systems cannot be interpreted as arising from any
realizable effective meson-baryon Lagrangian and must, therefore, be considered
purely phenomenological in content.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 03:51:58 GMT""}]","2009-10-28"
"nucl-th/9506025","Richard Davidson","H.W.L. Naus (Institute for Theoretical Physics, University of
  Heidelberg, Heidelberg, Germany) and R.M. Davidson (National Institute for
  Nuclear Physics and High Energy Physics, Amsterdam, The Netherlands)","Analysis of the Low-Energy Theorem for \gamma p \to p \pi^0","5 pages, Revtex, no figures, no tables","Z.Phys. A354 (1996) 329-332","10.1007/s002180050053",,"nucl-th",,"  The derivation of the `classical' low-energy theorem (LET) for \gamma p
\rightarrow p\pi^0 is re-examined and compared to chiral perturbation theory.
Both results are correct and are not contradictory; they differ because
different expansions of the same quantity are involved. Possible modifications
of the extended partially conserved axial-vector current relation, one of the
starting points in the derivation of the LET, are discussed. An alternate, more
transparent form of the LET is presented.
","[{""version"":""v1"",""created"":""Wed, 28 Jun 1995 11:08:01 GMT""}]","2015-06-26"
