"alg-geom/9507012","Nakajima Hiraku","Hiraku Nakajima","Heisenberg algebra and Hilbert schemes of points on projective surfaces","AMS-LaTeX v. 1.1, 16 pages",,,,"alg-geom math.AG",,"  I have just replaced the first line by %&amslplain in order to be compiled by
AMS-LaTeX.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 05:04:25 GMT""},{""version"":""v2"",""created"":""Fri, 29 Sep 1995 23:03:44 GMT""}]","2008-02-03"
"hep-th/9507105","Alexander A. Reshetnyak","P.M.Lavrov","Superfield quantization of general gauge theories","15 pages, Latex, no figures","Phys.Lett. B366 (1996) 160","10.1016/0370-2693(95)01350-4","TSU QFTD 20/95","hep-th",,"  A superfield version on superspace $(x^\mu,\theta^a)$ is proposed for the
$Sp(2)$-- covariant Lagrangian quantization of general gauge theories. The
BRST- and antiBRST- transformations are realized on superfields as
supertranslations in the $\theta^a$-- directions. A new (geometric)
interpretation of the Ward identities in the quantum gauge theory is given.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 11:26:52 GMT""}]","2009-10-28"
"hep-th/9507106","Hong","R. Hong Tuan","Factorization of Spanning Trees on Feynman Graphs","47 pages, Plain Tex, 3 PostScript figures",,,"LPTHE Orsay 92/59","hep-th",,"  In order to use the Gaussian representation for propagators in Feynman
amplitudes, a representation which is useful to relate string theory and field
theory, one has to prove first that each $\alpha$- parameter (where $\alpha$ is
the parameter associated to each propagator in the $\alpha$-representation of
the Feynman amplitudes) can be replaced by a constant instead of being
integrated over and second, prove that this constant can be taken equal for all
propagators of a given graph. The first proposition has been proven in one
recent letter when the number of propagators is infinite. Here we prove the
second one. In order to achieve this, we demonstrate that the sum over the
weighted spanning trees of a Feynman graph $G$ can be factorized for disjoint
parts of $G$. The same can also be done for cuts on $G$, resulting in a
rigorous derivation of the Gaussian representation for super-renormalizable
scalar field theories. As a by-product spanning trees on Feynman graphs can be
used to define a discretized functional space.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 14:10:27 GMT""}]","2007-05-23"
"hep-th/9507107","John T. Whelan","John T. Whelan","Generalized quantum mechanics of nonabelian gauge theories","54 pages, revtex, two PostScript figures included as a (8kB)
  uuencoded gzipped tar file. (Some corrections and format changes in
  preparation for submission to journal; figures now included as
  reasonably-sized (10-15kB) PostScript files)","Phys. Rev. D 53, 3118 (1996)","10.1103/PhysRevD.53.3118","UCSBTH-95-17","hep-th gr-qc quant-ph",,"  Hartle's generalized quantum mechanics in the sum-over-histories formalism is
used to describe a nonabelian gauge theory. Predictions are made for certain
alternatives, with particular attention given to coarse-grainings involving the
constraint. In this way, the theory is compared to other quantum-mechanical
descriptions of gauge theories in which the constraints are imposed by hand.
The vanishing of the momentum space constraint is seen to hold, both through a
simple formal argument and via a more careful description of the Lorentzian
path integral as defined on a spacetime lattice. (Incidentally, the treatment
of the time slicing in the path integral may be of general technical interest.)
The configuration space realization of the constraint is shown to behave in a
more complicated fashion. For some coarse grainings, we recover the known
result from an abelian theory, that coarse grainings by values of the
constraint either predict its vanishing or fail to decohere. However, sets of
alternatives defined in terms of a more complicated quantity in the abelian
case are exhibited where definite predictions can be made which disagree with
the assumption that the constraints vanish. Finally, the configuration space
sum-over-histories theory is exhibited in a manifestly Lorentz-invariant
formulation.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 13:11:01 GMT""},{""version"":""v2"",""created"":""Fri, 1 Sep 1995 00:51:24 GMT""}]","2016-08-24"
"q-alg/9507015","Pat Gilmer","Patrick Gilmer","A TQFT for Wormhole cobordisms over the field of rational functions","7 pages, in amstex, uses epsf.tex for figures","Knot Theory, Warsaw 1995 ,ed V.F.R.Jones , J.Kania-Bartoszynska ,
  J.H.Przytycki , P.Traczyk ,V.Turaev, Banach Center Publications 42,1998,
  119-127",,,"q-alg math.QA",,"  We consider a cobordism category whose morphisms are punctured connect sums
of $S^1 \times S^2$'s (wormhole spaces) with embedded admissibly colored banded
trivalent graphs. We define a TQFT on this cobordism category over the field of
rational functions in an indeterminant $A.$ For $r$ large, we recover, by
specializing $A$ to a primitive 4rth root of unity, the
Witten-Reshetikhin-Turaev TQFT restricted to links in wormhole spaces. Thus,
for $r$ large, the $r$th Witten-Reshetikhin-Turaev invariant of a link in some
wormhole space, properly normalized, is the value of a certain rational
function at $e^{\frac{\pi i}{2r}}.$ We relate our work to Hoste and Przytycki's
calculation of the Kauffman bracket skein module of $S^1 \times S^2.$
","[{""version"":""v1"",""created"":""Wed, 19 Jul 1995 18:00:47 GMT""}]","2015-12-22"
"q-alg/9507016","Durdevic Miko-IM","Mico Durdevic","Braided Clifford Algebras as Braided Quantum Groups","10 pages, AMS-LaTeX",,,"Preprint, Instituto de Matematicas, UNAM, Mexico","q-alg math.QA",,"  The paper deals with braided Clifford algebras, understood as
Chevalley-Kahler deformations of braided exterior algebras. It is shown that
Clifford algebras based on involutive braids can be naturally endowed with a
braided quantum group structure. Basic group entities are constructed
explicitly.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 02:18:44 GMT""}]","2008-02-03"
"q-alg/9507017","Durdevic Miko-IM","Mico Durdevic","Characteristic Classes of Quantum Principal Bundles","48 pages, AMS-LaTeX",,,"Preprint, Instituto de Matematicas, UNAM, Mexico","q-alg math.QA",,"  A noncommutative-geometric generalization of classical Weil theory of
characteristic classes is presented, in the conceptual framework of quantum
principal bundles. A particular care is given to the case when the bundle does
not admit regular connections. A cohomological description of the domain of the
Weil homomorphism is given. Relations between universal characteristic classes
for the regular and the general case are analyzed. In analogy with classical
geometry, a natural spectral sequence is introduced and investigated. The
appropriate counterpart of the Chern character is constructed, for structures
admitting regular connections. Illustrative examples and constructions are
presented.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 02:21:36 GMT""}]","2008-02-03"
"q-alg/9507018","Durdevic Miko-IM","Mico Durdevic","Quantum Principal Bundles and Tannaka-Krein Duality Theory","12 pages, AMS-LaTeX, Workshop on Algebra, Morelia, Mexico, Jan 95",,,"Preprint, Instituto de Matematicas, UNAM, Mexico","q-alg math.QA",,"  The structure of quantum principal bundles is studied, from the viewpoint of
Tannaka-Krein duality theory. It is shown that if the structure quantum group
is compact, principal G-bundles over a quantum space M are in a natural
correspondence with certain contravariant functors defined on the category of
finite-dimensional unitary representations of G, with the values in the
category of finite projective bimodules over a *-algebra representing the base
space.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 02:27:24 GMT""}]","2008-02-03"
"q-alg/9507019","Durdevic Miko-IM","Mico Durdevic","Geometry of Quantum Principal Bundles I","64 pages, AMS-LaTeX, To appear in CMP",,"10.1007/BF02099507","Preprint IM, UNAM, Mexico/Belgrade University, Serbia","q-alg math.QA",,"  A theory of principal bundles possessing quantum structure groups and
classical base manifolds is presented. Structural analysis of such quantum
principal bundles is performed. A differential calculus is constructed,
combining differential forms on the base manifold with an appropriate
differential calculus on the structure quantum group. Relations between the
calculus on the group and the calculus on the bundle are investigated. A
concept of (pseudo)tensoriality is formulated. The formalism of connections is
developed. In particular, operators of horizontal projection, covariant
derivative and curvature are constructed and analyzed. Generalizations of the
first structure equation and of the Bianchi identity are found. Illustrative
examples are presented.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 02:34:05 GMT""}]","2009-10-28"
"q-alg/9507020","Durdevic Miko-IM","Mico Durdevic","On Framed Quantum Principal Bundles","13 pages, AMS-LaTeX",,,"Preprint, IM-UNAM, Mexico","q-alg math.QA",,"  A noncommutative-geometric formalism of framed principal bundles is sketched,
in a special case of quantum bundles (over quantum spaces) possessing classical
structure groups. Quantum counterparts of torsion operators and Levi-Civita
type connections are analyzed. A construction of a natural differential
calculus on framed bundles is described. Illustrative examples are presented.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 02:36:37 GMT""}]","2008-02-03"
"q-alg/9507021","Durdevic Miko-IM","Mico Durdevic","Quantum Principal Bundles and Corresponding Gauge Theories","28 pages, AMS-LaTeX","J.Phys.A30:2027-2054,1997","10.1088/0305-4470/30/6/025","Preprint IM/UNAM, Mexico/Belgrade University, Serbia","q-alg hep-th math.QA",,"  A generalization of classical gauge theory is presented, in the framework of
a noncommutative-geometric formalism of quantum principal bundles over smooth
manifolds. Quantum counterparts of classical gauge bundles, and classical gauge
transformations, are introduced and investigated. A natural differential
calculus on quantum gauge bundles is constructed and analyzed. Kinematical and
dynamical properties of corresponding gauge theories are discussed.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 02:40:55 GMT""}]","2008-11-26"
"q-alg/9507022","Durdevic Miko-IM","Mico Durdevic","Quantum Principal Bundles as Hopf-Galois Extensions","7 pages, AMS-LaTeX",,,"Preprint, Math Institute-UNAM, Mexico","q-alg math.QA",,"  It is shown that every quantum principal bundle with a compact structure
group is a Hopf-Galois extension. This property naturally extends to the level
of general differential structures, so that every differential calculus over a
quantum principal bundle with a compact structure group is a
graded-differential variant of the Hopf-Galois extension.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 02:43:33 GMT""}]","2008-02-03"
"solv-int/9507003",,"Renat Z. Zhdanov, Ihor V. Revenko and Wilhelm I. Fushchych","On the new approach to variable separation in the time-dependent
  Schr\""odinger equation with two space dimensions","21 pages, latex, to appear in the ""Journal of Mathematical Physics""
  (1995)",,"10.1063/1.531274",,"solv-int hep-ph nlin.SI",,"  We suggest an effective approach to separation of variables in the
Schr\""odinger equation with two space variables. Using it we classify
inequivalent potentials $V(x_1,x_2)$ such that the corresponding Schr\"" odinger
equations admit separation of variables. Besides that, we carry out separation
of variables in the Schr\"" odinger equation with the anisotropic harmonic
oscillator potential $V=k_1x_1^2+k_2x_2^2$ and obtain a complete list of
coordinate systems providing its separability. Most of these coordinate systems
depend essentially on the form of the potential and do not provide separation
of variables in the free Schr\"" odinger equation ($V=0$).
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 07:46:02 GMT""}]","2009-10-28"
