"adap-org/9507006","Alexey Chekhlov","Alexei Chekhlov and Victor Yakhot (Program in Applied and
  Computational Mathematics, Princeton University, Princeton, New Jersey 08544,
  USA)","Kolmogorov turbulence in a random-force-driven Burgers equation:
  anomalous scaling and probability density functions","12 pages, psfig macro, 4 figs in Postscript, accepted to Phys. Rev. E
  as a Brief Communication",,"10.1103/PhysRevE.52.5681",,"adap-org nlin.AO",,"  High-resolution numerical experiments, described in this work, show that
velocity fluctuations governed by the one-dimensional Burgers equation driven
by a white-in-time random noise with the spectrum $\overline{|f(k)|^2}\propto
k^{-1}$ exhibit a biscaling behavior: All moments of velocity differences
$S_{n\le 3}(r)=\overline{|u(x+r)-u(x)|^n}\equiv\overline{|\Delta u|^n}\propto
r^{n/3}$, while $S_{n>3}\propto r^{\zeta_n}$ with $\zeta_n\approx 1$ for real
$n>0$ (Chekhlov and Yakhot, Phys. Rev. E {\bf 51}, R2739, 1995). The
probability density function, which is dominated by coherent shocks in the
interval $\Delta u<0$, is ${\cal P}(\Delta u,r)\propto (\Delta u)^{-q}$ with
$q\approx 4$.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 19:21:57 GMT""}]","2009-10-28"
"hep-ph/9507414",,"D. Boyanovsky, M. D'attanasio, H.J. de Vega, R. Holman and D.-S.Lee","Reheating and Thermalization, Linear Vs. Non-Linear Relaxation","Revtex 3.0; 34 pages","Phys.Rev. D52 (1995) 6805-6827","10.1103/PhysRevD.52.6805","PITT-17/95","hep-ph gr-qc hep-th nucl-th",,"  We consider the case of a scalar field, the inflaton, coupled to both lighter
scalars and fermions, and the study the relaxation of the inflaton via particle
production in both the linear and non-linear regimes. This has an immediate
application to the reheating problem in inflationary universe models. The
linear regime analysis offers a rationale for the standard approach to the
reheating problem, but we make a distinction between relaxation and
thermalization. We find that particle production when the inflaton starts in
the {\it non-linear} region is typically a far more efficient way of
transfering energy out of the inflaton zero mode and into the quanta of the
lighter scalar than single particle decay. For the non-linear regime we take
into account self-consistently the evolution of the expectation value of the
inflaton field coupled to the evolution of the quantum fluctuations. An
exhaustive numerical analysis reveals that the distribution of produced
particles is far from thermal, and the effect of open channels. In the
fermionic case, Pauli blocking begins to hinder the transfer of energy into the
fermion modes very early on in the evolution of the inflaton. We examine the
implications of our results to the question of how to calculate the reheating
temperature of the universe after inflation.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 22:25:23 GMT""}]","2009-10-28"
"hep-ph/9507415","Thomas G. Rizzo","Thomas G. Rizzo","Can We Observe Weak Anomalous Couplings of Heavy Quarks Through Three
  Jet Events?","26 pages with 9 embedded figures; gzipped, uuencoded postscript file.
  To obtain a copy of this paper send e-mail to techpub@slac.stanford.edu","Phys.Rev. D53 (1996) 2326-2336","10.1103/PhysRevD.53.2326","SLAC-PUB-95-6914","hep-ph",,"  The rates and corresponding jet distributions for the decay $Z\to b\bar bg$
and the process $e^+e^-\to t\bar tg$ may be sensitive to anomalous dipole-like
couplings of heavy quarks to the photon and $Z$. In the $b$-quark case, after
updating our previous analysis on the constraints imposed by current
experiments on $Zb\bar b$ anomalous couplings, we show that the variation of
these couplings within their presently allowed ranges leads to rather minor
modifications to the Standard Model expectations for $Z\to b\bar bg$
observables. In the $t$-quark case, significant deviations from the Standard
Model predictions for $t\bar tg$ production at the Next Linear Collider are
possible.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 23:40:21 GMT""}]","2009-10-28"
"hep-ph/9507416",,"David Atwood (SLAC), Laura Reina (BNL), Amarjit Soni (BNL)","Flavor Changing Neutral Scalar Currents at $\mu^+\mu^-$ Colliders","9 Pages LaTeX, 1 Postscript Figure","Phys.Rev.Lett. 75 (1995) 3800-3803","10.1103/PhysRevLett.75.3800","SLAC-PUB-95-6962","hep-ph",,"  The prospect of observing the flavor changing decay $\fH\to t\bar c$ of a
neutral Higgs boson produced via $s$-channel and its subsequent decay into
$t\bar c$ is considered at a $\mu^+\mu^-$ collider. Numerical estimates are
given in the context of a two Higgs doublet model with flavor changing
couplings. It is found that for many values of the model parameters such {\it
tree-level} flavor changing decays will be produced at an observable level. In
addition studies of the helicity of the top will allow the determination of the
relative strengths of the flavor changing Higgs couplings and these may be
measured with about $10^3$ events.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 03:43:15 GMT""}]","2009-10-28"
"hep-ph/9507417","Jan Kalinowski","Jan Kalinowski","Three-Body Decays of the Susy Higgs Bosons","7 pages, uuencoded postscript file, Presented at the Int. Symposium
  on Particle Theory and Phenomenology, May 1995, Ames",,,"IFT-95-11, DFTT 45/95","hep-ph",,"  In this talk I discuss three-body decays of the SUSY Higgs bosons which
proceed via intermediate two-body states in which one of the particles is
off-mass-shell. Some of these decays will be shown to have substantial
branching ratios in some range of the SUSY parameter space.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 07:01:55 GMT""}]","2007-05-23"
"hep-ph/9507418","Ulf Meissner","V. Bernard, N. Kaiser, Ulf-G. Mei{\ss}ner","The reaction $\pi N \to \pi \pi N$ at threshold in chiral perturbation
  theory","30 pp, LaTeX file, uses epsf, 6 figures (appended), corrections in
  sections 5 and 6, conclusions unchanged","Nucl.Phys. B457 (1995) 147-174","10.1016/0550-3213(95)00526-9","CRN 95-26 and TK 95 16","hep-ph nucl-th",,"  In the framework of heavy baryon chiral perturbation theory, we give thIn the
framework of heavy baryon chiral perturbation theory, we give the chiral
expansion for the $\pi N \to \pi \pi N$ threshold amplitudes $D_1$ and $D_2$ to
quadratic order in the pion mass. The theoretical results agree within one
standard deviation with the empirical values. We also derive a relation between
the two threshold amplitudes of the reaction $\pi N \to \pi \pi N$ and the $\pi
\pi$ S--wave scattering lengths, $a_0^0$ and $a_0^2$, respectively, to order
${\cal O}(M_\pi^2)$. We show that there are uncertainties mostly related to
resonance excitation which make an accurate determination of the $\pi \pi$
scattering length $a_0^0$ from the $\pi \pi N$ threshold amplitudes at present
very difficult. The situation is different in the $\pi \pi$ isospin two final
state. Here, the chiral series converges and one finds $a_0^2 = -0.031 \pm
0.007$ consistent with the one--loop chiral perturbation theory prediction.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 08:32:19 GMT""},{""version"":""v2"",""created"":""Tue, 13 Feb 1996 13:01:29 GMT""}]","2009-10-28"
"hep-ph/9507419","Youichi Yamada","K. Hagiwara, S. Matsumoto and Y. Yamada","Supersymmetric contribution to the quark-lepton universality violation
  in charged currents","9 pages, LaTeX, 3 figures, uuencoded gziped .ps file, to be published","Phys.Rev.Lett.75:3605-3608,1995","10.1103/PhysRevLett.75.3605","KEK-TH-446","hep-ph",,"  The supersymmetric one-loop contribution to the quark-lepton universality
violation in the low-energy charged current weak interactions is studied. It is
shown that the recent experimental data with the 1-$\sigma$ deviation from the
universality may be explained by the existence of the light sleptons
($<220$GeV) and relatively light chargino and neutralinos ($<600$GeV) with
significant gaugino components. The sign of the universality violation is
briefly discussed.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 09:22:53 GMT""},{""version"":""v2"",""created"":""Sat, 5 Aug 1995 06:47:58 GMT""},{""version"":""v3"",""created"":""Thu, 28 Sep 1995 19:00:31 GMT""},{""version"":""v4"",""created"":""Tue, 3 Oct 1995 15:47:56 GMT""}]","2008-11-26"
"hep-ph/9507420","Andrzej Czarnecki","Andrzej Czarnecki and William J. Marciano","Electroweak Radiative Corrections To Polarized M{\o}ller Scattering
  Asymmetries","14 pages, Revtex, postscript file including figures is available at
  ftp://ttpux2.physik.uni-karlsruhe.de/ttp95-14/ttp95-14.ps or via WWW at
  http://ttpux2.physik.uni-karlsruhe.de/cgi-bin/preprints/ (129.13.102.139)","Phys. Rev. D 53, 1066 (1996)","10.1103/PhysRevD.53.1066","TTP95-14","hep-ph",,"  One loop electroweak radiative corrections to left-right parity violating
M{\o}ller scattering ($e^-e^-\to e^-e^-$) asymmetries are presented. They
reduce the standard model (tree level) prediction by 40$\pm 3$ \% where the
main shift and uncertainty stem from hadronic vacuum polarization loops. A
similar reduction also occurs for the electron-electron atomic parity violating
interaction. That effect can be attributed to an increase of
$\sin^2\theta_W(q^2)$ by $3\%$ in running from $q^2=m_Z^2$ to 0. The
sensitivity of the asymmetry to ``new physics'' is also discussed.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 15:17:58 GMT""}]","2016-08-24"
"hep-ph/9507421","Lev F. M.","Felix M. Lev","Effect of Binding in Deep Inelastic Scattering Revisited","41 pages. The revised version is self-contained and additional
  arguments that perturbative QCD does not apply to DIS are given",,,,"hep-ph",,"  In the Bjorken limit of the present theory of deep inelastic scattering (DIS)
the structure functions (up to anomalous dimensions and perturbative QCD
corrections) are described by the parton model. However the current operator in
the parton model does not properly commute with the representation operators
corresponding to the Lorentz group, space reflection and time reversal. To
investigate the violation of these symmetries in the parton model we consider a
model in which the current operator explicitly satisfies extended Poincare
invariance and current conservation. It is shown that due to binding of quarks
in the nucleon the Bjorken variable x no longer can be interpreted as the
internal light cone momentum fraction $\xi$ even in the Bjorken limit. As a
result, the data on DIS alone do not make it possible to determine the $\xi$
distribution of quarks in the nucleon. We also consider a qualitative
explanation of the fact that in the parton model the values given by the sum
rules exceed the corresponding experimental quantities while the quark
contribution to the nucleon momentum and spin is underestimated.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 11:53:35 GMT""},{""version"":""v2"",""created"":""Wed, 6 Nov 1996 13:10:14 GMT""}]","2008-02-03"
"hep-ph/9507422","""V. A."" Khoze","V.S. Fadin (Budker Institute, Novosibirsk), V.A. Khoze, A.D. Martin
  and W.J. Stirling (Durham University, UK)","Higher-order Coulomb Corrections to the Threshold e+ e- --> W+ W- Cross
  Section","10 pages in LATEX. Two figures included in tarred, compressed, and
  uuencoded file","Phys.Lett. B363 (1995) 112-117","10.1016/0370-2693(95)01194-U","DTP/95/64","hep-ph",,"  The QED Coulomb correction is one of the most important corrections to the e+
e- --> W+ W- total cross section near threshold. We calculate these corrections
through second order, and discuss the implications for extracting M_W from a
threshold cross section measurement at LEP2. Analytic expressions are derived
in various kinematic limits.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 13:54:10 GMT""}]","2009-10-28"
"hep-th/9507134",,"M. Alvarez, F.M. de Carvalho Filho, and L. Griguolo (MIT)","Time-dependent quantum scattering in 2+1 dimensional gravity","15 pages in LaTeX with 3 PostScript figures","Commun.Math.Phys. 178 (1996) 467-482","10.1007/BF02099458","MIT-CTP-2451","hep-th",,"  The propagation of a localized wave packet in the conical space-time created
by a pointlike massive source in 2+1 dimensional gravity is analyzed. The
scattering amplitude is determined and shown to be finite along the classical
scattering directions due to interference between the scattered and the
transmitted wave functions. The analogy with diffraction theory is emphasized.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 18:02:15 GMT""}]","2009-10-28"
"hep-th/9507135","Mans Henningson","M. Henningson","Extended superspace, higher derivatives and SL(2, Z) duality","Some added clarifications and comments; to appear in Nucl. Phys. B","Nucl.Phys. B458 (1996) 445-455","10.1016/0550-3213(95)00567-6","YCTP-P12-95","hep-th",,"  We consider the low-energy effective action for the Coulomb phase of an $N =
2$ supersymmetric gauge theory with a rank one gauge group. The $N = 2$
superspace formalism is naturally invariant under an $SL(2, {\bf Z})$ group of
duality transformations, regardless of the form of the action. The leading and
next to leading terms in the long distance expansion of the action are given by
the holomorphic prepotential and a real analytic function respectively. The
latter is shown to be modular invariant with respect to $SL(2, {\bf Z})$.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 18:32:13 GMT""},{""version"":""v2"",""created"":""Thu, 17 Aug 1995 14:31:51 GMT""},{""version"":""v3"",""created"":""Thu, 2 Nov 1995 17:04:27 GMT""}]","2009-10-28"
"hep-th/9507136","Eduardo Fradkin","Daniel Cabra (Universidad de La Plata), Eduardo Fradkin (University of
  Illinois), Gerardo L.Rossini (Universidad de La Plata) and Fidel A.Schaposnik
  (Universidad de La Plata)","Gauge Invariance and Finite Temperature Effective Actions of
  Chern-Simons Gauge Theories with Fermions","Revtex, multicol","Phys.Lett. B383 (1996) 434-438","10.1016/0370-2693(96)00613-2",,"hep-th",,"  We discuss the behavior of theories of fermions coupled to Chern-Simons gauge
fields with a non-abelian gauge group in three dimensions and at finite
temperature. Using non-perturbative arguments and gauge invariance, and in
contradiction with perturbative results, we show that the coefficient of the
Chern-Simons term of the effective actions for the gauge fields at finite
temperature can be {\it at most} an integer function of the temperature. This
is in a sense a generalized no-renormalization theorem. We also discuss the
case of abelian theories and give indications that a similar condition should
hold there too. We discuss consequences of our results to the thermodynamics of
anyon superfluids and fractional quantum Hall systems.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 22:45:42 GMT""}]","2019-08-15"
"hep-th/9507137","Alex Kovner","Ian I. Kogan and Alex Kovner","The Two Phases of Topologically Massive Compact $U(1)$ Theory","43 pages, no figures, plain LateX","Phys.Rev. D53 (1996) 4510-4525","10.1103/PhysRevD.53.4510","UMN-TH-1403-95; TPI-MINN-95/23-T; OUTP-95-30 P","hep-th",,"  The mean field like gauge invariant variational method formulated recently,
is applied to a topologically massive QED in 3 dimensions. We find that the
theory has a phase transition in the Chern Simons coefficient $n$. The phase
transition is of the Berezinsky-Kosterlitz - Thouless type, and is triggered by
the liberation of Polyakov monopoles, which for $n>8$ are tightly bound into
pairs. In our Hamiltonian approach this is seen as a similar behaviour of the
magnetic vortices, which are present in the ground state wave functional of the
compact theory. For $n>8$, the low energy behavior of the theory is the same as
in the noncompact case. For $n<8$ there are no propagating degrees of freedom
on distance scales larger than the ultraviolet cutoff. The distinguishing
property of the $n<8$ phase, is that the magnetic flux symmetry is
spontaneoously broken.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 01:36:41 GMT""}]","2009-10-28"
"hep-th/9507138","Nobuki Maeda","Nobuki Maeda","Chiral Anomaly and Effective Field Theory for the Quantum Hall Liquid
  with Edges","13 pages, LaTex, figures not included, references are added","Phys.Lett. B376 (1996) 142-147","10.1016/0370-2693(96)00274-2","EPHOU-95-004","hep-th cond-mat",,"  Under general assumptions, we present a low-energy effective action for the
quantum Hall state when edges exist. It is shown that the chiral edge current
is necessary to make the effective action to be gauge invariant. However the
chiral edge current is irrelevant to the Hall current. The exactly quantized
value of $\sigma_{xy}$ is observed only when the Hall current does not flow at
the edge region. Our effective theory is applicable to the quantum Hall liquid
on a surface with non-trivial topology and physical meanings of the topology
are discussed.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 06:57:13 GMT""},{""version"":""v2"",""created"":""Thu, 27 Jul 1995 09:34:29 GMT""},{""version"":""v3"",""created"":""Fri, 28 Jul 1995 04:27:19 GMT""}]","2009-10-28"
"hep-th/9507139","Moretti Walter","Valter Moretti, Luciano Vanzo (Dept. Phys. Univ. Trento Italy)","Thermal Wightman Functions and Renormalized Stress Tensors in the
  Rindler Wedge","More comments and formulas added in the case of spin 1, a few signs
  changed in some formulas, it will appear on Phys. Lett","Phys.Lett. B375 (1996) 54-59","10.1016/0370-2693(96)00223-7","UTF 352","hep-th gr-qc",,"  The Wightman functions in the Rindler portion of Minkowski space-time are
presented for any value of the temperature and for massless spin fields up to
s=1 and the renormalized stress tensor relative to Minkowski vacuum is
discussed. A gauge ambiguity in the vector case is pointed out.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 10:11:02 GMT""},{""version"":""v2"",""created"":""Wed, 21 Feb 1996 09:55:09 GMT""}]","2009-10-28"
"hep-th/9507140",,"J.M.F. Labastida, M. Mari\~no","Polynomial Invariants for SU(2) Monopoles","50 pages, uses phyzzx.tex, a minor tex problem has been fixed","Nucl.Phys. B456 (1995) 633-668","10.1016/0550-3213(95)00536-0",,"hep-th alg-geom dg-ga math.AG math.DG",,"  We present an explicit expression for the topological invariants associated
to $SU(2)$ monopoles in the fundamental representation on spin four-manifolds.
The computation of these invariants is based on the analysis of their
corresponding topological quantum field theory, and it turns out that they can
be expressed in terms of Seiberg-Witten invariants. In this analysis we use
recent exact results on the moduli space of vacua of the untwisted $N=1$ and
$N=2$ supersymmetric counterparts of the topological quantum field theory under
consideration, as well as on electric-magnetic duality for $N=2$ supersymmetric
gauge theories.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 12:46:28 GMT""},{""version"":""v2"",""created"":""Mon, 16 Oct 1995 09:33:45 GMT""},{""version"":""v3"",""created"":""Thu, 23 Nov 1995 16:32:07 GMT""}]","2009-10-28"
"math/9507213","Vladimir G. Kanovei","Vladimir Kanovei","On a Glimm -- Effros dichotomy and an Ulm--type classification in
  Solovay model",,"J. Symbolic Logic, 1997, 62, 4, pp. 1333--1351","10.2307/2275646","Logic E-prints July 26, 1995","math.LO",,"  We prove that in Solovay model every OD equivalence E on reals either admits
an OD reduction to the equality on the set of all countable (of length <
omega_1) binary sequences, or continuously embeds E_0, the Vitali equivalence.
  If E is a Sigma_1^1 (resp. Sigma_1^2) relation then the reduction in the
``either'' part can be chosen in the class of all Delta_1 (resp. Delta_2)
functions.
  The proofs are based on a topology generated by OD sets.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 00:00:00 GMT""}]","2018-08-22"
"q-alg/9507028","Patricia Flad","Michel Dubois-Violette and Thierry Masson","On the first order operators in bimodules","13 pages, AMSLaTeX","Lett.Math.Phys. 37 (1996) 467-474","10.1007/BF00312677","LPTHE-ORSAY 95/56","q-alg dg-ga math.DG math.QA",,"  We analyse the structure of the first order operators in bimodules introduced
by A. Connes. We apply this analysis to the theory of connections on bimodules
generalizing thereby several proposals.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 17:45:37 GMT""}]","2009-10-28"
"q-alg/9507029","Ruibin Zhang","R. B. Zhang","The gl(M|N) Super Yangian and Its Finite Dimensional Representations","14 pages plain latex","Lett.Math.Phys. 37 (1996) 419-434","10.1007/BF00312673",,"q-alg hep-th math.QA",,"  Methods are developed for systematically constructing the finite dimensional
irreducible representations of the super Yangian Y(gl(M|N)) associated with the
Lie superalgebra gl(M|N). It is also shown that every finite dimensional
irreducible representation of Y(gl(M|N)) is of highest weight type, and is
uniquely characterized by a highest weight. The necessary and sufficient
conditions for an irrep to be finite dimensional are given.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 06:28:31 GMT""}]","2009-10-28"
"q-alg/9507030","Masson Thierry","Thierry Masson","Submanifolds and Quotient Manifolds in Noncommutative Geometry","20 pages, AMSLaTeX",,"10.1063/1.531522","LPTHE-ORSAY 95/53","q-alg dg-ga math.DG math.QA",,"  We define and study noncommutative generalizations of submanifolds and
quotient manifolds, for the derivation-based differential calculus introduced
by M.~Dubois-Violette and P.~Michor. We give examples to illustrate these
definitions.
","[{""version"":""v1"",""created"":""Wed, 26 Jul 1995 10:35:47 GMT""}]","2009-10-28"
"quant-ph/9507011","Salman Habib","James Anglin and Salman Habib","Classical Dynamics for Linear Systems: The Case of Quantum Brownian
  Motion","9 pages, LaTeX","Mod.Phys.Lett.A11:2655-2662,1996","10.1142/S0217732396002654","LA-UR-95-2091","quant-ph cond-mat gr-qc",,"  It has long been recognized that the dynamics of linear quantum systems is
classical in the Wigner representation. Yet many conceptually important linear
problems are typically analyzed using such generally applicable techniques as
influence functionals and Bogoliubov transformations. In this Letter we point
out that the classical equations of motion provide a simpler and more intuitive
formalism for linear quantum systems. We examine the important problem of
Brownian motion in the independent oscillator model, and show that the quantum
dynamics is described directly and completely by a c-number Langevin equation.
We are also able to apply recent insights into quantum Brownian motion to show
that the classical Fokker-Planck equation is always local in time, regardless
of the spectral density of the environment.
","[{""version"":""v1"",""created"":""Tue, 25 Jul 1995 22:07:32 GMT""}]","2011-08-04"
