"alg-geom/9507001","Iwamoto Masayuki","Masayuki Iwamoto","General n-canonical divisors on two-dimensional smoothable
  semi-log-terminal singularities","AMSLaTeX v 1.1",,,,"alg-geom math.AG",,"  In this paper we calculate genaral n-canonical divisors on smoothable
semi-log-terminal singularities in dimension 2, in other words, the full
sheaves associated to the double dual of the nth tensor power of the dualizing
sheaves of these singularities. And as its application we give the inequality
which bound the Gorenstein index by the local self intersection number of the
n-canonical divisor of these singularities.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 07:46:34 GMT""}]","2008-02-03"
"hep-ph/9507213","Yuval Grossman","Yuval Grossman, Howard E. Haber and Yosef Nir","QCD corrections to charged Higgs-mediated $b \to c \tau \nu$ decay","10 pages, 1 figure, revtex","Phys.Lett.B357:630-636,1995","10.1016/0370-2693(95)00946-I","CERN-TH/95-182, WIS-95/27/Jul-PH, SCIPP-95/33","hep-ph",,"  We calculate the $O(\alpha_s)$ corrections to the charged Higgs mediated
inclusive semi-tauonic $B$ decay. By working in the Landau gauge, we
demonstrate how to obtain the charged Higgs contributions (both direct and
interference terms) from the known QCD corrections to $t \to b H^+$. Combining
our results with $O(1/m_b^2)$ corrections to the spectator model and comparing
the theoretical prediction with the recent experimental measurements, we find a
model-independent $2\sigma$ upper bound on the ratio of Higgs vacuum
expectation values, $\tan\beta<0.52(m_H/1 GeV)$.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 20:40:50 GMT""}]","2008-11-26"
"hep-ph/9507214",,"L. Dixon","Strings and Supersymmetry as Tools for Perturbative QCD","LaTex, 11 pages with 2 encapsulated figures in a uuencoded file.
  Presented at SUSY95, Paris, May, 1995",,,"SLAC-PUB-95-6946","hep-ph hep-th",,"  We review techniques simplifying the analytic calculation of one-loop QCD
amplitudes with many external legs, for use in next-to-leading-order
corrections to multi-jet processes. We explain how a supersymmetry-inspired
organization works well in conjunction with other tools, namely the color and
helicity decompositions of amplitudes, and the constraints imposed by
perturbative unitarity and collinear singularities. String theory seems most
useful as a heuristic guide. Using these techniques, the complete set of
one-loop five-parton QCD amplitudes, as well as certain sequences of special
helicity amplitudes with an arbitrary number of external gluons, have been
obtained.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 00:52:57 GMT""}]","2007-05-23"
"hep-ph/9507215","Raymond Volkas","R. R. Volkas","Prospects for mass unification at low energy scales","33 pages text plus 7 figures, LaTeX, uses epsf.tex","Phys.Rev. D53 (1996) 2681-2698","10.1103/PhysRevD.53.2681","DAMTP-94-106 and UM-P-94/128","hep-ph",,"  A simple Pati-Salam SU(4) model with a low symmetry breaking scale of about
1000 TeV is presented. The analysis concentrates on calculating radiative
corrections to tree-level mass relations for third generation fermions. The
tree-level relation $m_b/m_{\tau}=1$ predicted by such models can receive large
radiative corrections up to about $50\%$ due to threshold effects at the mass
unification scale. These corrections are thus of about the same importance as
those that give rise to renormalisation group running. The high figure of
$50\%$ can be achieved because 1-loop graphs involving the physical charged
Higgs boson give corrections to $m_{\tau}-m_b$ that are proportional to the
large top quark mass. These corrections can either increase or decrease
$m_b/m_{\tau}$ depending on the value of an unknown parameter. They can also be
made to vanish through a fine-tuning. A related model of tree-level
$t$-$b$-$\tau$ unification which uses the identification of SU(2)$_R$ with
custodial SU(2) is then discussed. A curious relation $m_b \simeq \sqrt{2}
m_{\tau}$ is found to be satisfied at tree-level in this model. The overall
conclusion of this work is that the tree-level relation $m_b = m_{\tau}$ at low
scales such as 1000 TeV or somewhat higher can produce a successful value for
$m_b/m_{\tau}$ after corrections, but one must be mindful that radiative
corrections beyond those incorporated through the renormalisation group can be
very important. This motivates that an on-going search for the rare decays
$K^0_L \to \mu^{\pm} e^{\mp}$ be maintained.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 03:29:53 GMT""}]","2009-10-28"
"hep-ph/9507216",,"Ernestos N. Argyres, Wim Beenakker, Ansgar Denner, Stefan Dittmaier,
  Jiri Hoogland, Ronald Kleiss, Geert Jan van Oldenborgh, Costas G.
  Papadopoulos and Giampiero Passarino","Stable Calculations for Unstable Particles: Restoring Gauge Invariance","13 pages LaTeX inc 1 figure, uses epsf, axodraw. The ps file is
  available as ftp://rulgm4.leidenuniv.nl/pub/preprints/stable.ps or on
  http://rulgm4.leidenuniv.nl/ under preprints. Added two references","Phys.Lett. B358 (1995) 339-346","10.1016/0370-2693(95)01002-8","INLO-PUB-8/95","hep-ph",,"  We discuss theoretical and phenomenological aspects of the use of boson
propagators with energy-dependent widths in predictions for high-energy
scattering processes. In general, gauge invariance is violated in such
calculations. We discuss several approaches to restore gauge invariance,
necessary for a reliable result. The most promising method is the addition of
the relevant parts of the fermionic corrections, which fulfills all Ward
identities. The numerical difference between this and other approaches is
studied. A number of recommendations are given for LEP2 computations.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 13:46:23 GMT""},{""version"":""v2"",""created"":""Thu, 6 Jul 1995 12:34:53 GMT""}]","2009-10-28"
"hep-ph/9507217","Vladimir A. Saleev","V.Saleev","Charm Photoproduction At Large Transverse Momentum And The Charm Content
  Of The Photon","LaTeX, 4 pages, 4 figures are not included",,,"SSU-HEP-95/04","hep-ph",,"  The charm quark photoproduction at large transverse momentum in the resolved
photon interaction via partonic subprocess $\cg$ is studied. It is shown that
at HERA energies the contribution of the charm quark excitation in the photon
in the inclusive charm production at $\pt>5$ GeV/c dominates over the other
resolved photon contribution via the gluon content of the photon and it is
about 30\% of the contribution of the $c\bar c$-pair production via the
photon-gluon fusion mechanism.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 07:18:56 GMT""}]","2007-05-23"
"hep-ph/9507218","Werner Koepf","W. Koepf, L.L. Frankfurt (Tel Aviv Univ.), M. Strikman (Penn State)","The Nucleon's Virtual Meson Cloud and Deep Inelastic Lepton Scattering","34 pages, RevTeX, 6 figures optionally included using epsfig.sty","Phys.Rev.D53:2586-2598,1996","10.1103/PhysRevD.53.2586","TAUP-2273-95","hep-ph nucl-th",,"  We address the question whether the nucleon's antiquark sea can be attributed
entirely to its virtual meson cloud and, in essence, whether there exists a
smooth transition between hadronic and quark-gluon degrees of freedom. We take
into account contributions from $\pi$ and $K$ mesons and compare with the
nucleon's antiquark distributions which serve as a non-perturbative input to
the QCD evolution equations. We elucidate the different behavior in the flavor
singlet and non-singlet channels and study the dependence of our results on the
scale $Q^2$. The meson-nucleon cut-offs that we determine give not only an
indication on the size of the region within which quarks are confined in a
nucleon, but we find that the scale of these form factors is closely related to
the four-momentum transfer, $Q^2$, where gluons are resolved by a high energy
probe, and that large meson loop momenta, $|{\bf k}| \approx 0.8$ GeV,
contribute significantly to the sea quark distributions. While the agreement of
our calculations with data-based parametrizations is satisfactory and scale
independent for the flavor breaking share of the nucleon's antiquark sea, the
flavor singlet component is quite poorly described. This hints the importance
of gluon degrees of freedom.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 11:16:58 GMT""}]","2008-11-26"
"hep-ph/9507219",,"Karim Benakli and Goran Senjanovi{\'c}","Stringy Unification Helps See-Saw Mechanism","TEX 21 pages, 13 uuencoded figures (updated references)","Phys.Rev.D54:5734-5744,1996","10.1103/PhysRevD.54.5734","IC/95/140","hep-ph hep-th",,"  In this paper we explore the possibility of intermediate scale physics in the
context of superstring models with {\it higher Kac-Moody levels}, by focusing
on left-right and Pati-Salam symmetries. We find that the left-right scale may
lie in the range $10^{10} - 10^{12}$ GeV which is favored by neutrino physics,
while the Pati-Salam scale is at most two or three orders of magnitude below
the unification scale $M_X$. We also show that the scale of $B-L$ breaking can
be as low as 1 TeV or so, providing protection against too rapid proton decay
in supersymmetry. Our results allow a natural value for the scale $M_X \sim
10^{18}$ GeV and the agreement with the experiment requires the value of
$\sin^2 {\theta_w}$ at $M_X$ to be in general very different from the usually
assumed $3/8$.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 14:32:16 GMT""},{""version"":""v2"",""created"":""Wed, 5 Jul 1995 14:27:08 GMT""},{""version"":""v3"",""created"":""Tue, 8 Aug 1995 10:18:09 GMT""}]","2014-11-17"
"hep-ph/9507220","Michael A. Doncheski","M. A. Doncheski, J. Steegborn and M. L. Stong","Fragmentation production of doubly heavy baryons","13 pages, macro package epsfig needed, 6 .eps figure files in a
  separate uuencoded, compressed and tarred file; complete paper available at
  http://www.physics.carleton.ca/~mad/papers/paper.ps","Phys.Rev.D53:1247-1252,1996","10.1103/PhysRevD.53.1247","OCIP/C-95-8, TTP95-24","hep-ph",,"  Baryons with a single heavy quark are being studied experimentally at
present. Baryons with two units of heavy flavor will be abundantly produced not
only at future colliders, but also at existing facilities. In this paper we
study the production via heavy quark fragmentation of baryons containing two
heavy quarks at the Tevatron, the LHC, HERA, and the NLC. The production rate
is woefully small at HERA and at the NLC, but significant at $pp$ and
$p\bar{p}$ machines. We present distributions in various kinematical variables
in addition to the integrated cross sections at hadron colliders.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 14:53:01 GMT""}]","2014-11-17"
"hep-ph/9507233","Slava Ilyin","Ilya F. Ginzburg","Physical Program for Photon Colliders","16 pages, two figures (in PS format) are stored in the file `figs.uu'
  prepared by standard script `uufiles' (see Comments in the beginning of this
  file); Talk given at 10 Workshop on Photon--Photon Collisions, Sheffield,
  April 1995",,,"IM SO RAN Preprint -95 -1/200","hep-ph",,"  The physical program for the photon linear colliders (PLC) is discussed. We
consider the problems in electroweak theory, hadron physics and QCD, new
particles and interactions. We arrange this program for the main stages of PLC,
which are the parts of an entire program for linear colliders. Some important
unsolved problems are listed.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 13:33:41 GMT""}]","2007-05-23"
"hep-th/9507007","Oren Bergman","Oren Bergman and Charles B. Thorn","Super-Galilei Invariant Field Theories in 2+1 Dimensions","25 pages + 2 postscript figures, phyzzx and psfig required","Phys.Rev.D52:5997-6007,1995","10.1103/PhysRevD.52.5997","UFIFT-HEP-95-12","hep-th",,"  We extend the Galilei group of space-time transformations by gradation,
construct interacting field-theoretic representations of this algebra, and show
that non-relativistic Super-Chern-Simons theory is a special case. We also
study the generalization to matrix valued fields, which are relevant to the
formulation of superstring theory as a $1/N_c$ expansion of a field theory. We
find that in the matrix case, the field theory is much more restricted by the
supersymmetry.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 18:18:31 GMT""}]","2010-11-19"
"hep-th/9507008",,"A. Brandhuber, K. Landsteiner","On the Monodromies of N=2 Supersymmetric Yang-Mills Theory with Gauge
  Group SO(2n)","14 pages, 5 Postscript figures, LaTeX file, uses epsf.sty","Phys.Lett. B358 (1995) 73-80","10.1016/0370-2693(95)00986-U","CERN-TH/95-180","hep-th",,"  We present families of algebraic curves describing the moduli-space of
$N\!=\!2$ supersymmetric Yang-Mills theory with gauge group $SO(2n)$. We test
our curves by computing the weak coupling monodromies and the number of
$N\!=\!1$ vacua.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 17:32:46 GMT""}]","2009-10-28"
"hep-th/9507009",,"J.G. Russo","Entropy and black hole horizons","13 pages, harvmac, 1 figure (section 2 expanded)","Phys.Lett. B359 (1995) 69-76","10.1016/0370-2693(95)01020-Q","CERN-TH/95-179","hep-th gr-qc",,"  The standard approach of counting the number of eigenmodes of $N$ scalar
fields near the horizon is used as a basis to provide a simple statistical
mechanical derivation of the black hole entropy in two and four dimensions. The
Bekenstein formula $S={A\ov 4G\h}$ and the two-dimensional entropy $S=2M/\l\h $
are naturally obtained (up to a numerical constant of order 1). This approach
provides an explanation on why the black hole entropy is of order $1/\h $ and
why it is independent of the number of field-theoretical degrees of freedom.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 18:17:46 GMT""},{""version"":""v2"",""created"":""Wed, 12 Jul 1995 14:13:27 GMT""}]","2009-10-28"
"hep-th/9507010","G. Mussardo","G. Delfino and G. Mussardo","The Spin-Spin Correlation Function in the Two-Dimensional Ising Model in
  a Magnetic Field at $T=T_c$","53 pages, latex, 15 figures","Nucl.Phys. B455 (1995) 724-758","10.1016/0550-3213(95)00464-4","OUTP-95-385, ISAS/EP/95/78","hep-th cond-mat hep-lat",,"  The form factor bootstrap approach is used to compute the exact contributions
in the large distance expansion of the correlation function $<\sigma(x)
\sigma(0)>$ of the two-dimensional Ising model in a magnetic field at $T=T_c$.
The matrix elements of the magnetization operator $\sigma(x)$ present a rich
analytic structure induced by the (multi) scattering processes of the eight
massive particles of the model. The spectral representation series has a fast
rate of convergence and perfectly agrees with the numerical determination of
the correlation function.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 18:04:46 GMT""}]","2009-10-28"
"hep-th/9507011","Wolfgang Lerche","W.Lerche","BPS States, Weight Spaces and Vanishing Cycles","for Proceedings of ``Strings 95'', 12p, plain TeX, 6 uuencoded ps
  figures","Nucl.Phys.Proc.Suppl. 46 (1996) 122-129","10.1016/0920-5632(96)00014-X","CERN-TH/95-183","hep-th",,"  We review some simple group theoretical properties of BPS states, in relation
with the singular homology of level surfaces. Primary focus is on classical and
quantum N=2 supersymmetric Yang-Mills theory, though the considerations can be
applied to string theory as well.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 19:25:50 GMT""}]","2009-10-28"
"hep-th/9507012","Paul Aspinwall","Paul S. Aspinwall","Enhanced Gauge Symmetries and K3 Surfaces","9 pages, LaTeX","Phys.Lett. B357 (1995) 329-334","10.1016/0370-2693(95)00957-M","CLNS-95/1348","hep-th",,"  String-string duality dictates that type IIA strings compactified on a K3
surface acquire non-abelian gauge groups for certain values of the K3 moduli.
We argue that, contrary to expectation, the theories for which such enhanced
gauge symmetries appear are not orbifolds in the string sense. For a specific
example we show that a theory with enhanced gauge symmetry and an orbifold
theory have the same classical K3 surface as a target space but the value of
the ``B-field'' differs. This raises the possibility that the conformal field
theory associated to a string theory with an enhanced gauge group is badly
behaved in some way.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 18:48:11 GMT""}]","2009-10-28"
"hep-th/9507013",,"Ofer Aharony, Jacob Sonnenschein, Michael E. Peskin, and Shimon
  Yankielowicz","Exotic Non-Supersymmetric Gauge Dynamics from Supersymmetric QCD","36 pages, latex + 2 figures (uuencoded ps)","Phys.Rev.D52:6157-6174,1995","10.1103/PhysRevD.52.6157","SLAC-PUB-6938,CERN-TH/95-159,TAUP-2269-95","hep-th hep-lat hep-ph",,"  We extend Seiberg's qualitative picture of the behavior of supersymmetric QCD
to nonsupersymmetric models by adding soft supersymmetry breaking terms. In
this way, we recover the standard vacuum of QCD with $N_f$ flavors and $N_c$
colors when $N_f < N_c$. However, for $N_f \geq N_c$, we find new exotic
states---new vacua with spontaneously broken baryon number for $N_f = N_c$, and
a vacuum state with unbroken chiral symmetry for $N_f > N_c$. These exotic
vacua contain massless composite fermions and, in some cases, dynamically
generated gauge bosons. In particular Seiberg's electric-magnetic duality seems
to persist also in the presence of (small) soft supersymmetry breaking. We
argue that certain, specially tailored, lattice simulations may be able to
detect the novel phenomena. Most of the exotic behavior does not survive the
decoupling limit of large SUSY breaking parameters.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 21:54:00 GMT""}]","2009-09-29"
"hep-th/9507014","Eugene Tyurin","Eugene Tyurin (ITP, SUNY at Stony Brook)","Non-Abelian Axial-Vector Duality: a Geometric Description","10 pages, plain LaTeX 2e. The paper (and conclusions) is
  significantly revised due to a misprint in one of the references. If you read
  the old version, you SHOULD get this one","Phys.Lett.B364:157-162,1995","10.1016/0370-2693(95)01245-1","ITP-SB-95-21","hep-th",,"  We give a geometric characterization of the quasi axial-vector
(Kiritsis-Obers) target space duality in the spirit of the bi-algebra
(Klimcik-Severa) approach. We show that the sigma-models constructed by taking
quotients have non-abelian chiral currents that obey ""non-commutative
conservation laws"" and provide the criterion for a sigma-model to have a dual
using the axial-vector procedure.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 02:34:35 GMT""},{""version"":""v2"",""created"":""Wed, 9 Aug 1995 19:52:46 GMT""}]","2008-11-26"
"hep-th/9507015","P. K. Ghosh","Pijush K. Ghosh and Sanjay K. Ghosh","Topological and Nontopological Solitons in a Gauged O(3) Sigma Model
  with Chern-Simons term","Few minor changes have been made. To appear in Phys. Lett. B","Phys.Lett. B366 (1996) 199-204","10.1016/0370-2693(95)01365-2","IP/BBSR/95-67","hep-th",,"  The $O(3)$ nonlinear sigma model with its $U(1)$ subgroup gauged, where the
gauge field dynamics is solely governed by a Chern-Simons term, admits both
topological as well as nontopological self-dual soliton solutions for a
specific choice of the potential. It turns out that the topological solitons
are infinitely degenerate in any given sector.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 03:43:41 GMT""},{""version"":""v2"",""created"":""Mon, 6 Nov 1995 04:32:52 GMT""}]","2009-10-28"
"hep-th/9507016","Julio Guerrero Garcia","V. Aldaya, M. Calixto and J. Guerrero","Algebraic Quantization, Good Operators and Fractional Quantum Numbers","29 pages, latex, 1 figure included with EPSF. Revised version with
  minor changes intended to clarify notation. Acepted for publication in Comm.
  Math. Phys","Commun.Math.Phys. 178 (1996) 399-424","10.1007/BF02099455",,"hep-th",,"  The problems arising when quantizing systems with periodic boundary
conditions are analysed, in an algebraic (group-) quantization scheme, and the
``failure"" of the Ehrenfest theorem is clarified in terms of the already
defined notion of {\it good} (and {\it bad}) operators. The analysis of
``constrained"" Heisenberg-Weyl groups according to this quantization scheme
reveals the possibility for new quantum (fractional) numbers extending those
allowed for Chern classes in traditional Geometric Quantization. This study is
illustrated with the examples of the free particle on the circumference and the
charged particle in a homogeneous magnetic field on the torus, both examples
featuring ``anomalous"" operators, non-equivalent quantization and the latter,
fractional quantum numbers. These provide the rationale behind flux
quantization in superconducting rings and Fractional Quantum Hall Effect,
respectively.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 12:12:03 GMT""},{""version"":""v2"",""created"":""Fri, 7 Jul 1995 18:43:24 GMT""},{""version"":""v3"",""created"":""Mon, 10 Jul 1995 11:37:15 GMT""},{""version"":""v4"",""created"":""Thu, 28 Sep 1995 17:23:57 GMT""}]","2009-10-28"
"hep-th/9507017","Ramy Brustein","R. Brustein, M. Gasperini, M. Giovannini and G. Veneziano","Relic Gravitational Waves from String Cosmology","14 pages, latex, 2 figures included as epsf files","Phys.Lett. B361 (1995) 45-51","10.1016/0370-2693(95)01128-D","BGU PH-95/06, CERN-TH/95-144","hep-th astro-ph gr-qc",,"  A large class of string-cosmology backgrounds leads to a spectrum of relic
stochastic gravitational waves, strongly tilted towards high frequencies, and
characterized by two basic parameters of the cosmological model. We estimate
the required sensitivity for detection of the predicted gravitational radiation
and show that a region of our parameter space is within reach for some of the
planned gravitational-wave detectors.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 11:33:47 GMT""}]","2009-10-28"
"nucl-th/9507001","Sergey Efremov","S.V. Efremov and E.Ya. Paryev","Subthreshold $K^+$ Production on Nuclei by $\pi^+$ Mesons","18 pages, LaTeX, uses ws-art.sty, gzip+uuencoded postscript. Figures
  are available by request from efremov@physics.rice.edu","Phys.Atom.Nucl.59:2063-2073,1996; Few Body
  Syst.Suppl.9:285-292,1995",,,"nucl-th",,"  The inclusive $K^+$ mesons production in $\pi^+$--nucleus reactions in the
subthreshold energy regime is analyzed with respect to the one--step
($\pi^+n\to K^+\Lambda$) and the two--step ($\pi^+n\to \eta p_1,~ \eta p_2\to
K^+\Lambda$) incoherent production processes on the basis of an appropriate
folding model, which allows one to take into account the various forms of an
internal nucleon momentum distribution as well as on-- and off--shell
propagation of the struck target nucleon. Contrary to proton--nucleus reactions
primary reaction channel is found to be significant practically at all
considered energies. Detailed predictions for the $K^+$ total and invariant
differential cross sections from \piC-- and \piPb--collisions at subthreshold
energies are provided.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 17:52:59 GMT""}]","2011-04-15"
"q-alg/9507001","Philippe Roche","E.Buffenoir and Ph.Roche","Link Invariants and Combinatorial Quantization of Hamiltonian
  Chern-Simons Theory","39, latex, 7 figures",,"10.1007/BF02101008","CPTH RR 367-07-95","q-alg math.QA",,"  We define and study the properties of observables associated to any link in
$\Sigma\times {\bf R}$ (where $\Sigma$ is a compact surface) using the
combinatorial quantization of hamiltonian Chern-Simons theory. These
observables are traces of holonomies in a non commutative Yang-Mills theory
where the gauge symmetry is ensured by a quantum group. We show that these
observables are link invariants taking values in a non commutative algebra, the
so called Moduli Algebra. When $\Sigma=S^2$ these link invariants are pure
numbers and are equal to Reshetikhin-Turaev link invariants.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 13:26:45 GMT""}]","2009-10-28"
"quant-ph/9507001",,"K. R. W. Jones","Newtonian Quantum Gravity","38 pages, RevTex. Uses epsf. Five ""tar.gz"" compressed PostScipt
  figures included separately","Austral.J.Phys.48:1055-1081,1995","10.1071/PH951055",,"quant-ph",,"  Puts forward a complete scenario for interpreting nonlinear field theories
highlighting the role played by gravitational self--energy in enabling a
consistent revival of the Schroedinger approach to unifying micro and macro
physics.
","[{""version"":""v1"",""created"":""Tue, 4 Jul 1995 04:18:29 GMT""}]","2015-06-26"
"solv-int/9506005","Yuji Kodama","Yuji Kodama and Jian Ye","Iso-spectral deformations of general matrix and their reductions on Lie
  algebras","25 pages, AMSLaTex",,"10.1007/BF02108824",,"solv-int hep-th nlin.SI",,"  We study an iso-spectral deformation of general matrix which is a natural
generalization of the Toda lattice equation. We prove the integrability of the
deformation, and give an explicit formula for the solution to the initial value
problem. The formula is obtained by generalizing the orthogonalization
procedure of Szeg\""{o}. Based on the root spaces for simple Lie algebras, we
consider several reductions of the hierarchy. These include not only the
integrable systems studied by Bogoyavlensky and Kostant, but also their
generalizations which were not known to be integrable before. The behaviors of
the solutions are also studied. Generically, there are two types of solutions,
having either sorting property or blowing up to infinity in finite time.
","[{""version"":""v1"",""created"":""Mon, 3 Jul 1995 18:15:34 GMT""}]","2009-10-28"
